,https://roic.ai/company/TK,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1306500000,1355000000,1373000000,1460000000,- -,1974000000,2468000000,2724000000,3588000000,5504000000,5294000000,7733000000,10422000000,10215000000,9511000000,9911000000,11131000000,11002000000,11556000000,11779690000,13061248000,12814752000,8092437000,8391670000,8072864000,6945912000
48,Accounts Payable,- -,11500000,12000000,16000000,16000000,- -,22000000,24000000,22000000,52000000,62000000,41000000,70000000,90000000,60000000,57000000,45000000,97000000,111000000,98000000,85290000,64212000,53507000,24107000,31201000,135496000,456152000
49,Short-Term Debt,- -,- -,19102000,36283000,52932000,- -,72170000,51830000,83605000,103221000,208387000,298054000,369043000,474873000,580403000,409973000,543890000,448579000,871747000,1029688000,663463000,1123076000,1050729000,915070000,419544000,752356000,465178000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72393000,77023000,6182000,5112000,17001000,22316000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,87500000,17898000,27717000,29068000,- -,43830000,51170000,84395000,119779000,143613000,125946000,262564000,291104000,384415000,373915000,548109000,563105000,540253000,818312000,615734000,699500000,542224000,425755000,235384000,275707000,-43404000
53,Total Current Liabilities,- -,99000000,49000000,80000000,98000000,- -,138000000,127000000,190000000,275000000,414000000,465000000,774000000,933000000,1031000000,846000000,1154000000,1131000000,1523000000,1946000000,1364487000,1886788000,1646460000,1364932000,686129000,1163559000,877926000
54,Long-Term Debt,- -,768400000,707000000,663000000,672000000,- -,725000000,884000000,1047000000,1534000000,2536000000,2135000000,3351000000,5638000000,5377000000,4931000000,4626000000,5643000000,5330000000,5680000000,6058459000,6332563000,5993441000,3663092000,4649116000,4044447000,3344298000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1000000,- -,13000000,59000000,65000000,127000000,316000000,458000000,1080000000,1195000000,1739000000,1494000000,2153000000,2928000000,2834000000,2798000000,3258416000,3922872000,4275486000,2287222000,2247434000,2382995000,252397000
58,Total Non-Current Liabilities,- -,768400000,707000000,663000000,673000000,- -,738000000,943000000,1112000000,1661000000,2852000000,2593000000,4431000000,6833000000,7116000000,6425000000,6779000000,8571000000,8164000000,8478000000,9316875000,10255435000,10268927000,5950314000,6896550000,6427442000,3596695000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,36652000,636541000,554235000,558137000,857280000,984066000,920724000,738134000,647047000,637574000,598329000,63550000,59127000,392839000,1160457000,1673845000,1988175000,1766258000
61,Total Liabilities,- -,867400000,756000000,743000000,771000000,- -,876000000,1070000000,1302000000,1936000000,3266000000,3058000000,5205000000,7766000000,8147000000,7271000000,7933000000,9702000000,9687000000,10424000000,10681362000,12142223000,11915387000,7315246000,7582679000,7591001000,4474621000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,236000000,248000000,261000000,- -,453000000,467000000,471000000,493000000,535000000,472000000,589000000,629000000,643000000,656000000,673000000,661000000,682000000,714000000,770759000,775018000,887075000,919078000,1045659000,1052284000,- -
64,Retained Earnings,- -,406500000,364000000,382000000,428000000,- -,641000000,936000000,954000000,1096000000,1759000000,1834000000,1943000000,2023000000,1508000000,1585000000,1314000000,793000000,648000000,435000000,355867000,158898000,22893000,-135892000,-234395000,-546684000,- -
65,Other Comprehensive Income/Loss,- -,-312300000,-377000000,-458000000,-501000000,- -,10000000,-10000000,-3095000,63524000,-56132000,-68830000,-11887000,-104105000,-82061000,-1534000,-8171000,-23903000,-14768000,-17189000,-28298000,-14891000,-10603000,-5995000,-2273000,-23737000,-48883000
66,Other Total Stockholders Equity,- -,344900000,376000000,458000000,501000000,- -,- -,5000000,-7000,-697000,-510000,-628000,8109000,139975000,-472000,624000,-382000,-401000,157000,-23000,- -,- -,- -,- -,- -,- -,530291000
67,Total Stockholders Equity,- -,439100000,599000000,630000000,689000000,- -,1099000000,1398000000,1421898000,1651827000,2237358000,2236542000,2528222000,2687870000,2068467000,2240090000,1978447000,1429696000,1315389000,1131788000,1098328000,919025000,899365000,777191000,808991000,481863000,481408000
68,Total Liabilities And Stockholders Equity,- -,1306500000,1355000000,1373000000,1460000000,- -,1975000000,2468000000,2723898000,3587827000,5503358000,5294542000,7733222000,10453870000,10215467000,9511090000,9911447000,11131696000,11002389000,11555788000,11779690000,13061248000,12814752000,8092437000,8391670000,8072864000,4956029000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-1000000,- -,102000,173000,642000,-542000,-222000,-31870000,-467000,-90000,-447000,-696000,-389000,212000,- -,- -,- -,- -,- -,- -,1989883000
70,Total Liabilities & Equity,- -,1306500000,1355000000,1373000000,1460000000,- -,1974000000,2468000000,2724000000,3588000000,5504000000,5294000000,7733000000,10422000000,10215000000,9511000000,9911000000,11131000000,11002000000,11556000000,11779690000,13061248000,12814752000,8092437000,8391670000,8072864000,6945912000
71,SEC Link,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911971/000091197107000015/form20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000136231008001926/c72958e20vf.htm,https://www.sec.gov/Archives/edgar/data/911971/000095012309018781/c87304e20vf.htm,https://www.sec.gov/Archives/edgar/data/911971/000095012310040979/c99642e20vf.htm,https://www.sec.gov/Archives/edgar/data/911971/000095012311035397/c15356e20vf.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312512182144/d247979d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312513181831/d458659d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312514163511/d684501d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312515157023/d848703d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312516556541/d127018d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000162828017003553/tkc201620-fdoc.htm,https://www.sec.gov/Archives/edgar/data/911971/000162828018005389/tkc201720-fdoc.htm,https://www.sec.gov/Archives/edgar/data/911971/000162828019003715/0001628280-19-003715-index.html,https://www.sec.gov/Archives/edgar/data/911971/000162828020004822/tkc201920-fdoc.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,6400000,29100000,42600000,70500000,-19595000,270000000,336500000,53400000,177400000,757400000,570900000,262200000,63500000,-469500000,128400000,-267300000,-368900000,-160200000,-114700000,-54757000,82151000,-123182000,-163276000,-79237000,-310577000,-82933000
74,Depreciation and Amortization,- -,-96400000,83603000,90698000,94941000,-68299000,100153000,136283000,149296000,191237000,237498000,205529000,223965000,329113000,344377000,361199000,392451000,428608000,455898000,431086000,422904000,509500000,571825000,485829000,276307000,290672000,261131000
75,Deferred Income Tax,- -,- -,- -,- -,- -,1500000,999000,6963000,11413000,36501000,35048000,-2340000,- -,- -,- -,22889000,- -,- -,-14406000,2872000,10173000,-16767000,24468000,12232000,19724000,25482000,8988000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14117000,11255000,15264000,- -,9393000,7320000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-1200000,-1320000,5459000,5201000,896000,-36676000,28197000,7038000,-4256000,-26550000,-8644000,50360000,-47514000,-28816000,148655000,45415000,-84347000,-115209000,64184000,60631000,-12291000,38333000,106567000,-14754000,-4823000,99172000
78,Accounts Receivable,- -,3600000,- -,- -,- -,-5462000,- -,- -,- -,- -,-60494000,58357000,-15417000,-44837000,-50851000,64886000,-10203000,-68914000,-132873000,-77837000,136660000,-6488000,96497000,-1925000,-25090000,-38811000,38589000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-300000,- -,- -,- -,-6571000,- -,- -,- -,- -,11484000,-17690000,19262000,18588000,-29718000,-2731000,-12252000,12216000,18408000,-10877000,-17643000,-24727000,-10705000,-14499000,8929000,104579000,-6576000
81,Other Working Capital,- -,- -,-1320000,5459000,5201000,- -,-36676000,28197000,7038000,-4256000,- -,- -,- -,- -,- -,25254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,178700000,-8732000,401000,-9523000,137011000,-1221000,12207000,-6703000,54693000,-188692000,-156403000,9191000,-90081000,571669000,-304147000,225920000,131832000,113460000,-98178000,7366000,207716000,108676000,72393000,-19905000,382552000,697659000
83,Cash Provided by Operating Activities,- -,87500000,102651000,139158000,161119000,51513000,333255000,520150000,214444000,455575000,814704000,609042000,545716000,255018000,431847000,368251000,411750000,107193000,288936000,292584000,446317000,770309000,620120000,513745000,182135000,383306000,984017000
84,CAPEX,- -,-19400000,-119334000,-81663000,-249475000,-29911000,-65166000,-381500000,-170563000,-422380000,-581476000,-599518000,-455890000,-910304000,-716765000,-495214000,-343091000,-755045000,-523597000,-753755000,-994931000,-1795901000,-648326000,-1054052000,-693792000,-109523000,-26507000
85,Acquisitions Net,- -,- -,- -,- -,- -,-37968000,-2685000,-5087000,- -,-729784000,-287350000,-82399000,- -,-16975000,-261776000,-8795000,-50927000,-322500000,-275857000,-157762000,-77834000,-87556000,-61885000,-85920000,15551000,27609000,-991000
86,Purchases of Investments,- -,-115100000,-41993000,-2296000,-42154000,-6000000,-31014000,-5000000,-102000000,-37291000,-4369000,- -,-9868000,-59165000,-261501000,-25526000,-116461000,-163652000,- -,-320502000,-25000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,110800000,111770000,- -,21234000,13724000,- -,35975000,6675000,35142000,135357000,- -,18766000,57093000,63745000,1084000,26347000,8774000,23307000,17289000,27670000,20824000,23535000,17422000,10882000,- -,- -
88,Other Investing Activites,- -,19500000,60101000,- -,67495000,75936000,19426000,- -,-1885000,252310000,428290000,515224000,-175432000,-1071200000,348064000,221327000,70918000,60964000,134904000,30738000,89261000,39355000,511463000,68379000,3903000,31523000,90559000
89,Cash Used for Investing Activites,- -,-4200000,10544000,-83959000,-202900000,15781000,-79439000,-355612000,-267773000,-894753000,-309548000,-166693000,-622424000,-2000551000,-828233000,-307124000,-413214000,-1171459000,-641243000,-1183992000,-980834000,-1823278000,-175213000,-1054171000,-663456000,-50391000,63061000
90,Debt Repayment,- -,-102700000,-608362000,-266116000,-184531000,-42252000,-493683000,-823764000,-59830000,-1529400000,-1947646000,-2769785000,-1453567000,-2223598000,-1680584000,-1813300000,-1801276000,-1420051000,-1336572000,-1723821000,-3101906000,-1599546000,-2861314000,-1565535000,-1518310000,-1396045000,-2388930000
91,Common Stock Issued,- -,- -,137872000,1283000,5126000,- -,24843000,20584000,4221000,25015000,51279000,20359000,15325000,34508000,4224000,328568000,651377000,636963000,496224000,446893000,452061000,575368000,432881000,198566000,103655000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-14162000,-1547000,- -,-61237000,-538377000,-233305000,-80430000,-20512000,- -,-40111000,-122195000,- -,-12000000,- -,- -,- -,-19444000,- -,-25729000,-15635000
93,Dividends Paid,- -,- -,-7094000,-13493000,-15990000,-23150000,-32973000,-34094000,-34073000,-35719000,-42362000,-49151000,-63065000,-72499000,-82877000,-201689000,-92695000,-93480000,-83299000,-90265000,-91004000,-125881000,-17406000,-18977000,-22082000,-5523000,- -
94,Other Financing Activites,- -,-2800000,447679000,238870000,207606000,100000000,208970000,680548000,254233000,1986941000,1629563000,2704552000,1918250000,4186311000,2547627000,1233639000,1641407000,1975408000,1223318000,2245770000,3467610000,2074516000,1890534000,1823274000,1871523000,1045068000,1307052000
95,Cash Used/Provided by Financing Activities,- -,-105500000,-29905000,-39456000,12211000,34598000,-292843000,-170888000,163004000,446837000,-370403000,-632402000,183638000,1844292000,767878000,-452782000,358702000,976645000,299671000,866577000,726761000,924457000,-555305000,417884000,434786000,-382229000,-1097513000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-105500000,83290000,15743000,-29570000,101892000,-39027000,-6350000,109675000,7659000,134753000,-190053000,106930000,98759000,371492000,-391655000,357238000,-87621000,-52636000,-24831000,192244000,-128512000,-110398000,-122542000,-46535000,-49314000,-50435000
98,Cash at the End of Period,- -,- -,99790000,117523000,87953000,220327000,181300000,174950000,284625000,292284000,427037000,236984000,343914000,442673000,814165000,422510000,779748000,692127000,639491000,614660000,806904000,678392000,567994000,445452000,505639000,456325000,405890000
99,Cash at the Beginning of Period,- -,38600000,16500000,101780000,117523000,118435000,220327000,181300000,174950000,284625000,292284000,427037000,236984000,343914000,442673000,814165000,422510000,779748000,692127000,639491000,614660000,806904000,678392000,567994000,552174000,505639000,456325000
100,Free Cash Flow,- -,68100000,-16683000,57495000,-88356000,21602000,268089000,138650000,43881000,33195000,233228000,9524000,89826000,-655286000,-284918000,-126963000,68659000,-647852000,-234661000,-461171000,-548614000,-1025592000,-28206000,-540307000,-511657000,273783000,957510000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911971/000091197107000015/form20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000136231008001926/c72958e20vf.htm,https://www.sec.gov/Archives/edgar/data/911971/000095012309018781/c87304e20vf.htm,https://www.sec.gov/Archives/edgar/data/911971/000095012310040979/c99642e20vf.htm,https://www.sec.gov/Archives/edgar/data/911971/000095012311035397/c15356e20vf.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312512182144/d247979d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312513181831/d458659d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312514163511/d684501d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312515157023/d848703d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000119312516556541/d127018d20f.htm,https://www.sec.gov/Archives/edgar/data/911971/000162828017003553/tkc201620-fdoc.htm,https://www.sec.gov/Archives/edgar/data/911971/000162828018005389/tkc201720-fdoc.htm,https://www.sec.gov/Archives/edgar/data/911971/000162828019003715/0001628280-19-003715-index.html,https://www.sec.gov/Archives/edgar/data/911971/000162828020004822/tkc201920-fdoc.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
