,https://roic.ai/company/HSKA,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,6600000,10700000,5900000,1500000,3176000,5710000,6026000,4877000,4982000,5231000,5275000,5524000,4705000,5400000,5492000,6332000,5784000,6016000,5855000,6890000,10794000,9659000,13389000,89030000,86334000,223574000
32,Short-Term Investments,- -,- -,- -,22500000,2482000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6600000,10700000,5900000,24000000,5658000,5710000,6026000,4877000,4982000,5231000,5275000,5524000,4705000,5400000,5492000,6332000,5784000,6016000,5855000,6890000,10794000,9659000,13389000,89030000,86334000,223574000
34,Net Receivables,700000,4400000,6700000,9700000,8433000,10313000,9722000,12673000,10634000,9008000,11372000,11064000,9514000,9222000,8866000,7938000,11044000,12609000,12811000,16444000,20957000,17780000,19443000,19017000,35874000,34170000
35,Inventory,4400000,8500000,12200000,14000000,8716000,8589000,8191000,10328000,11726000,11654000,13090000,16395000,15249000,12018000,11901000,12401000,12483000,11687000,12658000,16101000,20395000,32596000,25104000,26601000,40037000,49361000
36,Other Current Assets,17500000,19200000,46700000,900000,742000,1063000,761000,839000,1100000,952000,915000,2144000,1822000,1853000,1020000,2220000,3644000,3599000,3076000,1827000,3127000,2877000,4471000,5219000,9030000,12450000
37,Total Current Assets,29200000,42800000,71500000,48600000,23549000,25675000,24700000,28717000,28442000,26845000,30652000,35127000,31290000,28493000,27279000,28891000,32955000,33911000,34400000,41262000,55273000,62912000,62407000,139867000,171275000,319555000
38,PP&E,8200000,15800000,21200000,19600000,12901000,10118000,8968000,7973000,7925000,7428000,6948000,10669000,8509000,6349000,5486000,4869000,6005000,9928000,13410000,17020000,16581000,17331000,15981000,21195000,40999000,38611000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,771000,834000,890000,905000,999000,1000000,- -,- -,- -,20910000,26647000,26687000,26679000,36204000,88276000,118826000
40,Intangible Assets,3500000,5500000,4300000,1600000,1457000,1400000,1718000,1993000,2142000,2243000,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,2346000,1958000,9764000,11472000,55992000,56705000
41,Intangible Assets,3500000,5500000,4300000,1600000,1457000,1400000,1718000,1993000,2142000,2243000,771000,834000,890000,905000,999000,1000000,1120000,21571000,21205000,20966000,28993000,28645000,36443000,47676000,144268000,175531000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8018000,7424000,6704000,5424000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,28776000,29749000,28387000,29284000,27134000,26746000,26358000,25721000,25883000,21122000,11877000,14121000,6429000,5694000,19429000
44,Other Non-Current Assets,1300000,1100000,1100000,1400000,1253000,564000,199000,213000,215000,268000,92000,185000,- -,- -,- -,- -,- -,1785000,2108000,4588000,8875000,15022000,19482000,21833000,30899000,45522000
45,Total Non-Current Assets,13000000,22400000,26600000,22600000,15611000,12082000,10885000,10179000,10282000,9939000,7843000,40464000,39148000,35641000,35769000,33003000,33871000,59642000,62444000,68457000,75571000,72875000,94045000,104557000,228564000,284517000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42200000,65200000,98100000,71200000,39160000,37757000,35585000,38896000,38724000,36784000,38495000,75591000,70438000,64134000,63048000,61894000,66826000,93553000,96844000,109719000,130844000,135787000,156452000,244424000,399839000,604072000
48,Accounts Payable,1600000,5600000,7500000,6900000,3370000,4263000,4362000,6186000,6697000,5186000,4849000,5653000,3904000,4172000,4162000,3999000,5298000,4448000,4897000,7624000,7154000,9489000,7469000,6600000,15119000,15374000
49,Short-Term Debt,- -,3900000,7500000,8200000,2146000,6552000,9934000,8311000,10677000,10716000,9297000,13390000,11812000,4582000,3079000,- -,2552000,4930000,189000,302000,750000,6000000,- -,1745000,2087000,2227000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594000,748000,661000,632000,681000,4390000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,343000,463000,633000,2708000,2912000,3281000,2977000,2807000,1664000,1811000,1902000,2407000,3908000,4584000,5461000,3439000,3992000,2526000,2930000,6854000,6901000
52,Other Current Liabilities,3700000,1800000,4600000,5300000,4725000,6302000,4515000,3386000,3187000,1908000,4553000,3175000,3705000,3689000,3608000,3388000,4132000,4420000,5382000,5416000,21071000,6245000,10368000,20924000,18055000,19424000
53,Total Current Liabilities,5300000,11300000,19600000,20400000,10241000,17460000,19274000,18516000,23269000,20722000,21980000,25195000,22228000,14107000,12660000,9289000,14389000,17706000,15052000,18803000,32414000,25726000,20363000,32199000,42115000,43926000
54,Long-Term Debt,4400000,10200000,11300000,5100000,2808000,2052000,761000,1735000,1439000,2703000,1916000,1149000,381000,- -,- -,- -,- -,369000,227000,69000,- -,- -,6031000,46469000,52871000,103443000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4972000,4590000,4166000,3575000,11298000,12754000,11572000,11455000,9621000,7082000,5966000,4667000,3854000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,691000,11856000,12667000
57,Other Non-Current Liabilities,- -,- -,100000,300000,1011000,1079000,6340000,11989000,11437000,10126000,7851000,6364000,5306000,- -,- -,- -,- -,13659000,15679000,15747000,- -,- -,567000,4735000,1277000,4328000
58,Total Non-Current Liabilities,4400000,10200000,11400000,5400000,3819000,3131000,7101000,13724000,12876000,12829000,9767000,7513000,5687000,4972000,4590000,4166000,3575000,25326000,28660000,27388000,11455000,9621000,13680000,57861000,70671000,124292000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,9000,11000,27000,20000,11000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6158000,5945000,5736000
61,Total Liabilities,9700000,21500000,31000000,25800000,14060000,20591000,26375000,32240000,36145000,33551000,31747000,32708000,27915000,19079000,17250000,13455000,17964000,43032000,43712000,46191000,43869000,35347000,34043000,90060000,112786000,168218000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,34000,48000,48000,49000,49000,50000,51000,51000,52000,52000,52000,52000,54000,3463000,63000,66000,70000,73000,77000,79000,95000,- -
64,Retained Earnings,30300000,-67600000,-116800000,-152600000,-174472000,-193163000,-201832000,-205291000,-210106000,-209824000,-207996000,-173188000,-174038000,-171796000,-171778000,-169633000,-170032000,-171110000,-169511000,-163992000,-151827000,-143463000,-134979000,-136444000,-150861000,- -
65,Other Comprehensive Income/Loss,-1500000,-3700000,-7100000,-11000000,-13645000,-16591000,-732000,-233000,103000,-47000,92000,335000,46000,-30000,284000,242000,296000,580000,283000,187000,97000,232000,277000,513000,14169000,5037000
66,Other Total Stockholders Equity,3700000,115000000,191000000,209000000,213183000,226872000,211726000,212131000,212533000,- -,214601000,215685000,216463000,216829000,217240000,217778000,218544000,217588000,222297000,227267000,238635000,243598000,257034000,290216000,423650000,- -
67,Total Stockholders Equity,32500000,43700000,67100000,45400000,25100000,17166000,9210000,6656000,2579000,3233000,6748000,42883000,42523000,45055000,45798000,48439000,48862000,50521000,53132000,63528000,86975000,100440000,122409000,154364000,287053000,435854000
68,Total Liabilities And Stockholders Equity,42200000,65200000,98100000,71200000,39160000,37757000,35585000,38896000,38724000,36784000,38495000,75591000,70438000,64134000,63048000,61894000,66826000,93553000,96844000,109719000,130844000,135787000,156452000,244424000,399839000,604072000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,42200000,65200000,98100000,71200000,39160000,37757000,35585000,38896000,38724000,36784000,38495000,75591000,70438000,64134000,63048000,61894000,66826000,93553000,96844000,109719000,130844000,135787000,156452000,244424000,399839000,604072000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1038133/000092735699000475/0000927356-99-000475-index.html,https://www.sec.gov/Archives/edgar/data/1038133/000095013400002290/0000950134-00-002290-index.html,https://www.sec.gov/Archives/edgar/data/1038133/000103813301500010/0001038133-01-500010-index.html,https://www.sec.gov/Archives/edgar/data/1038133/000103813302000011/0001038133-02-000011-index.html,https://www.sec.gov/Archives/edgar/data/1038133/000095016803001160/0000950168-03-001160-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000091205704000341/0000912057-04-000341-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000104746905008629/0001047469-05-008629-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038133/000110465907024411/0001104659-07-024411-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000110465908014804/0001104659-08-014804-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000110465909017873/0001104659-09-017873-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000095012310015125/0000950123-10-015125-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000095012311026926/0000950123-11-026926-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000119312512085251/0001193125-12-085251-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000119312513108014/0001193125-13-108014-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813314000017/0001038133-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813315000051/0001038133-15-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813316000212/0001038133-16-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813317000018/0001038133-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813318000007/0001038133-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813319000015/0001038133-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813320000013/0001038133-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813321000011/0001038133-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1038133/000103813322000007/0001038133-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-18000000,-37300000,-44300000,-35800000,-21870000,-18691000,-8669000,-3459000,-4815000,282000,1828000,34808000,-850000,2242000,18000,2145000,1203000,-1196000,2603000,5239000,10508000,9953000,5850000,-1465000,-14399000,-1148000
74,Depreciation and Amortization,2300000,4700000,6300000,6100000,4969000,3724000,2641000,1894000,1730000,2007000,2005000,2183000,3266000,2565000,2298000,2052000,1699000,2497000,3712000,4187000,4645000,4754000,4595000,4916000,11385000,13555000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000,-29983000,-536000,1291000,-10000,1056000,606000,-637000,1304000,1327000,3932000,8864000,-2255000,-1805000,-1541000,-4464000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,336000,414000,378000,423000,1881000,2269000,2260000,2745000,5227000,4968000,9490000,18263000
77,Change in Working Capital,1500000,7600000,20400000,-23700000,-14892000,-5093000,-2789000,4775000,-5028000,950000,2549000,1260000,-870000,5324000,233000,4983000,-1036000,-2361000,3143000,3111000,400000,14327000,4858000,65624000,21492000,146469000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292000,356000,929000,-3099000,-159000,-510000,-4216000,-4700000,5156000,-1076000,3796000,-5755000,2193000
79,Inventory,-400000,-2400000,-1600000,-1800000,2380000,127000,362000,-1907000,-1398000,38000,-1419000,-6840000,599000,3103000,-699000,-850000,-1405000,-1687000,-5592000,-7240000,-4731000,-13834000,6046000,918000,-5409000,-14905000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000,-10000,-164000,1298000,-2276000,900000,3059000,-688000,3143000,-2020000,-1686000,-280000,662000
81,Other Working Capital,23900000,31500000,51900000,28200000,13308000,8215000,5426000,10201000,5173000,6123000,8672000,9932000,9062000,14386000,14619000,19602000,18566000,16205000,19348000,22459000,22859000,37186000,42044000,107668000,129160000,275629000
82,Other Non-Cash Items,100000,-9300000,-20500000,20200000,15907000,6002000,2316000,-2640000,6975000,-3091000,-5405000,-9998000,680000,-3120000,-934000,-5762000,-3219000,-123000,-6861000,-14008000,-15890000,-30234000,-4988000,-68942000,-27083000,-166428000
83,Cash Provided by Operating Activities,-14100000,-34300000,-38100000,-33200000,-15886000,-14058000,-6501000,570000,-1138000,148000,1125000,-1730000,1690000,8615000,1941000,4888000,-369000,-1397000,5782000,2125000,5855000,10409000,13287000,3296000,-656000,6247000
84,CAPEX,-5200000,-6100000,-6500000,-3300000,-1207000,-839000,-1207000,-1827000,-1831000,-1563000,-1481000,-2357000,-554000,-276000,-620000,-1084000,-1509000,-1930000,-2337000,-3773000,-3417000,-3469000,-4108000,-1044000,-686000,-1768000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3019000,- -,- -,115000,-13757000,-8091000,305000,-119271000,-4513000
86,Purchases of Investments,-32400000,-18700000,-123800000,-21200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,14200000,18300000,96200000,44300000,20000000,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-600000,-2600000,-500000,500000,6406000,196000,5795000,35000,400000,100000,1640000,47000,- -,- -,- -,- -,- -,5020000,6000,- -,- -,57000,-2725000,-1184000,-6640000,-28720000
89,Cash Used for Investing Activites,-24000000,-9100000,-34600000,20300000,25199000,1857000,4588000,-1792000,-1431000,-1463000,159000,-2310000,-554000,-276000,-620000,-1084000,-1509000,71000,-2331000,-3773000,-3302000,-17169000,-12174000,-1923000,-126597000,-35001000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7611000,-1504000,-3079000,- -,-1025000,-4929000,-141000,-747000,-35047000,-3010000,-13941000,-1431000,-890000
91,Common Stock Issued,36000000,44200000,64500000,13900000,758000,11133000,137000,619000,409000,557000,766000,851000,372000,53000,75000,124000,390000,323000,1430000,1258000,1620000,2452000,4034000,1829000,4273000,169230000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1076000,-1271000,-3447000,-1477000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1602000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1900000,3300000,3400000,-5500000,-8348000,3698000,2036000,-647000,2086000,1276000,-2194000,3316000,-2348000,- -,- -,- -,2552000,2246000,- -,1609000,530000,39222000,2874000,89823000,122399000,-1936000
95,Cash Used/Provided by Financing Activities,37900000,47500000,67900000,8400000,-7590000,14831000,2173000,-28000,2495000,1775000,-1428000,4167000,-1976000,-7558000,-1429000,-2955000,1340000,1544000,-3499000,2726000,1403000,5551000,2627000,74264000,123764000,166404000
96,Effect of Forex Changes on Cash,- -,- -,100000,100000,-46000,-96000,56000,101000,179000,-211000,188000,122000,21000,-86000,200000,-9000,-10000,14000,-114000,-43000,-52000,74000,-10000,4000,793000,-410000
97,Net Change In Cash,37900000,47500000,67900000,-4400000,1677000,2534000,316000,-1149000,105000,249000,44000,249000,-819000,695000,92000,840000,-548000,232000,-161000,1035000,3904000,-1135000,3730000,75641000,-2696000,137240000
98,Cash at the End of Period,- -,- -,- -,1500000,3176000,5710000,6026000,4877000,4982000,5231000,5275000,5524000,4705000,5400000,5492000,6332000,5784000,6016000,5855000,6890000,10794000,9659000,13389000,89030000,86334000,223574000
99,Cash at the Beginning of Period,6800000,6600000,10700000,5900000,1499000,3176000,5710000,6026000,4877000,4982000,5231000,5275000,5524000,4705000,5400000,5492000,6332000,5784000,6016000,5855000,6890000,10794000,9659000,13389000,89030000,86334000
100,Free Cash Flow,-19300000,-40400000,-44600000,-36500000,-17093000,-14897000,-7708000,-1257000,-2969000,-1415000,-356000,-4087000,1136000,8339000,1321000,3804000,-1878000,-3327000,3445000,-1648000,2438000,6940000,9179000,2252000,-1342000,4479000
