,https://roic.ai/company/FTV,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,- -,- -,803200000,962100000,1178400000,1205200000,2944000000,819300000
34,Net Receivables,- -,911500000,956300000,979300000,945400000,1143600000,1195100000,1384500000,810300000,930200000
35,Inventory,- -,494500000,511200000,522900000,544600000,580600000,574500000,640300000,455500000,512700000
36,Other Current Assets,- -,249000000,215900000,91900000,195500000,250500000,223200000,458800000,237100000,252700000
37,Total Current Assets,- -,1655000000,1683400000,1594100000,2488700000,2936800000,3171200000,3688800000,4446900000,2514900000
38,PP&E,- -,454800000,480800000,514800000,547600000,712500000,576100000,726300000,610700000,571100000
39,Goodwill,- -,3989700000,3995100000,3949000000,3979000000,5098500000,6133100000,8399300000,7359200000,- -
40,Intangible Assets,- -,852100000,857500000,759000000,747300000,1276000000,2476300000,3845000000,3290600000,- -
41,Intangible Assets,- -,4841800000,4852600000,4708000000,4726300000,6374500000,8609400000,12244300000,10649800000,13042200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,288500000,338800000,393700000,427200000,476800000,548900000,779600000,344100000,337300000
45,Total Non-Current Assets,- -,5585100000,5672200000,5616500000,5701100000,7563800000,9734400000,13750200000,11604600000,13950600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7240100000,7355600000,7210600000,8189800000,10500600000,12905600000,17439000000,16051500000,16465500000
48,Accounts Payable,- -,616900000,623400000,657100000,666200000,727500000,706500000,765500000,480800000,557900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,455600000,1554900000,1446800000,2196300000
50,Tax Payable,- -,41300000,35300000,36100000,63500000,87100000,174700000,99000000,65500000,- -
51,Deferred Revenue,- -,155000000,165300000,177300000,204600000,213400000,288100000,410100000,376400000,- -
52,Other Current Liabilities,- -,505000000,496300000,489100000,595700000,661400000,741900000,736700000,556800000,960700000
53,Total Current Liabilities,- -,1276900000,1285000000,1323500000,1466500000,1602300000,2192100000,3467200000,2860800000,3714900000
54,Long-Term Debt,- -,- -,- -,- -,3358000000,4056200000,2974700000,4828400000,2984600000,1947200000
55,Deferred Revenue,- -,90300000,98800000,83900000,80100000,86900000,92600000,99200000,34200000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,747800000,739300000,620700000,594200000,947000000,1033300000,1644000000,1199200000,1286400000
58,Total Non-Current Liabilities,- -,838100000,838100000,704600000,4032300000,5090100000,4100600000,6571600000,4218000000,3233600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,213900000,201300000,184500000
61,Total Liabilities,- -,2115000000,2123100000,2028100000,5498800000,6692400000,6292700000,10038800000,7078800000,6948500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,3500000,3500000,3400000,3400000,3400000,3600000
64,Retained Earnings,- -,- -,- -,- -,403000000,1350300000,3552700000,4128800000,5547400000,6023600000
65,Other Comprehensive Income/Loss,- -,272800000,99500000,-14400000,-145800000,-7600000,-86600000,-56300000,-141100000,-185000000
66,Other Total Stockholders Equity,- -,6033000000,6171100000,5196500000,2427200000,2444100000,3126000000,3311100000,3554500000,3670000000
67,Total Stockholders Equity,- -,5123400000,5229300000,5179500000,2687900000,3790300000,6595500000,7387000000,8964200000,9512200000
68,Total Liabilities And Stockholders Equity,- -,7238400000,7352400000,7207600000,8186700000,10482700000,12888200000,17425800000,16043000000,16460700000
69,Minority Interest,- -,1700000,3200000,3000000,3100000,17900000,17400000,13200000,8500000,4800000
70,Total Liabilities & Equity,- -,7240100000,7355600000,7210600000,8189800000,10500600000,12905600000,17439000000,16051500000,16465500000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1659166/000165916617000091/0001659166-17-000091-index.html,https://www.sec.gov/Archives/edgar/data/1659166/000165916618000100/0001659166-18-000100-index.html,https://www.sec.gov/Archives/edgar/data/1659166/000165916619000085/0001659166-19-000085-index.html,https://www.sec.gov/Archives/edgar/data/1659166/000165916620000071/0001659166-20-000071-index.html,https://www.sec.gov/Archives/edgar/data/1659166/000165916621000062/0001659166-21-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1659166/000165916622000054/0001659166-22-000054-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,763700000,830900000,883400000,863800000,872300000,1044500000,2913800000,738900000,1613300000,608400000
74,Depreciation and Amortization,145000000,159700000,178000000,176900000,176400000,174100000,260800000,426200000,384000000,395500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,28600000,28800000,30800000,35200000,45300000,48600000,50800000,61400000,62600000,77400000
77,Change in Working Capital,6700000,365500000,20300000,-127800000,751600000,312300000,-355400000,-757500000,1364500000,-111500000
78,Accounts Receivable,-37200000,1700000,-74000000,-51800000,24800000,-65400000,-105900000,-166900000,82400000,-84100000
79,Inventory,-10700000,-5000000,-22200000,-27700000,-28700000,14300000,-73400000,118800000,-7300000,-53600000
80,Accounts Payable,-2200000,-7900000,28800000,53600000,17200000,24900000,76200000,53700000,18100000,73400000
81,Other Working Capital,12600000,378100000,398400000,270600000,1022200000,1334500000,979100000,221600000,1586100000,-41000000
82,Other Non-Cash Items,- -,-354700000,-165800000,60900000,-708700000,-403100000,-1525600000,802400000,-1987700000,-8700000
83,Cash Provided by Operating Activities,944000000,1030200000,946700000,1009000000,1136900000,1176400000,1344400000,1271400000,1436700000,961100000
84,CAPEX,-69600000,-81100000,-102600000,-120100000,-129600000,-136100000,-112300000,-112500000,-75700000,-50000000
85,Acquisitions Net,-286600000,-433800000,-202300000,-37100000,-190100000,-1556600000,-2815100000,-3943900000,-40400000,-2570100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,7800000,3500000,13800000,-16900000,8900000,23000000,960800000,1800000,-32300000,4500000
89,Cash Used for Investing Activites,-348400000,-511400000,-291100000,-174100000,-310800000,-1669700000,-1966600000,-4054600000,-148400000,-2615600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1850000000,-455300000,-2872700000,-611100000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-3048400000,-97200000,-131500000,-162800000,-163400000,-132200000
94,Other Financing Activites,-595600000,-518800000,-655600000,-834900000,3052200000,696900000,2860600000,3421000000,2340000000,1395300000
95,Cash Used/Provided by Financing Activities,-595600000,-518800000,-655600000,-834900000,3800000,599700000,879100000,2802900000,-696100000,652000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-26700000,52500000,-40600000,7100000,27400000,-3000000
97,Net Change In Cash,-595600000,-518800000,-655600000,-834900000,3800000,158900000,216300000,26800000,619600000,-1005500000
98,Cash at the End of Period,- -,- -,- -,- -,803200000,962100000,1178400000,1205200000,1824800000,819300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,803200000,962100000,1178400000,1205200000,1824800000
100,Free Cash Flow,874400000,949100000,844100000,888900000,1007300000,1040300000,1232100000,1158900000,1361000000,911100000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1659166/000165916617000091/0001659166-17-000091-index.html,https://www.sec.gov/Archives/edgar/data/1659166/000165916618000100/0001659166-18-000100-index.html,https://www.sec.gov/Archives/edgar/data/1659166/000165916619000085/0001659166-19-000085-index.html,https://www.sec.gov/Archives/edgar/data/1659166/000165916620000071/0001659166-20-000071-index.html,https://www.sec.gov/Archives/edgar/data/1659166/000165916621000062/0001659166-21-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1659166/000165916622000054/0001659166-22-000054-index.htm
102,false,,,,,,,,,,
