,https://roic.ai/company/TSM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,4.64,3.86,6.08,13.72,5.27,4.22,9.30,18.09,18.15,24.28,20.49,19.22,17.25,32.70,25.90,32.05,36.30,50.90,59.10,64.45,66.15,67.70,66.60,99.85,115.03
26,EPS Diluted,4.64,3.86,6.08,13.72,5.27,4.22,9.30,18.09,18.15,24.23,20.49,19.07,17.20,32.70,25.90,32.05,36.30,50.90,59.10,64.45,66.15,67.70,66.60,99.85,115.03
27,Weighted Average Shares Outstanding,3881665081,3968452729,4037936329,4749446996,4457587848,5026271515,5065420623,5104002463,5160211019,5235464138,5322141297,5207838243,5167160400,5181166400,5182815200,5184147000,5185555600,5185854600,5186057600,5186076000,5186076000,5186076000,5186076000,5186076000,5186076000
28,Weighted Average Shares Outstanding Diluted,3881665081,3968452729,4044610067,4750174670,5192497528,5026271515,5067495037,5105408394,5162963625,5240463992,5326518341,5247441876,5182720600,5184018800,5184936400,5185587200,5185920600,5186020800,5186076000,5186076000,5186076000,5186076000,5186076000,5186076000,5186076000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046179/999999999702028299/9999999997-02-028299-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000102140803009057/0001021408-03-009057-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312504095792/0001193125-04-095792-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000114554905000865/0001145549-05-000865-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000114554906000500/0001145549-06-000500-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000114554907000571/0001145549-07-000571-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000095014408002830/0000950144-08-002830-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000114554909000622/0001145549-09-000622-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000095012310034985/0000950123-10-034985-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000095012311035858/0000950123-11-035858-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312512161528/0001193125-12-161528-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312513137651/0001193125-13-137651-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312514141496/0001193125-14-141496-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312515126836/0001193125-15-126836-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312516536225/0001193125-16-536225-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312517122097/0001193125-17-122097-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312518057149/0001193125-18-057149-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312519061581/0001193125-19-061581-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000156459020006977/0001564590-20-006977-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/0001193125-21-118512-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12852879555,9661881299,17646028644,38840228526,40522663178,67908106894,102818344080,74421550560,96772432405,117817476029,94992537170,195144848610,171276300000,147887000000,143472300000,143410600000,242695400000,358449000000,562688900000,541253800000,553391700000,577814600000,455399300000,660170600000,- -
32,Short-Term Investments,5060679836,5895712830,927329160,2351556094,2498077283,170295659,13582344000,54199681200,47541153915,77226378900,78218846414,16881280965,26370800000,34708800000,7767000000,7980900000,3149000000,81952000000,27777300000,94950500000,103185500000,135941400000,139064400000,141982000000,- -
33,Cash and Short-Term Investments,17913559391,15557594129,18573357804,41191784619,43020740461,68078402553,116400688080,128621231760,144313586320,195043854929,173211383584,212026129575,197647100000,182595800000,151239300000,151391500000,245844400000,440401000000,590466200000,636204300000,656577200000,713756000000,594463700000,802152600000,- -
34,Net Receivables,9328269274,7438907609,12622781454,28004169833,20837275728,16754191933,26349747360,27733755000,38497055445,31842032684,42670427161,18645291060,35503600000,43106900000,41070000000,52279000000,72163200000,115226300000,85690400000,129451600000,122488400000,129262800000,139822300000,146089000000,- -
35,Inventory,4890321222,4049678157,5842725504,12785727403,10955840738,11220974334,12122242020,15594294240,17781347005,21427876272,23863266934,14916889835,20913800000,28405900000,24840600000,37830500000,37494900000,66338000000,67052300000,48682200000,73880700000,103231000000,82981200000,137353400000,- -
36,Other Current Assets,2287313474,1446543749,4650628789,11212614952,1888636636,6661948076,11375213100,12805070880,12298398070,11961942487,10089511203,7719597250,5739200000,7410700000,8110500000,10787600000,2984200000,4600300000,3535100000,3391000000,4256800000,5429900000,5346700000,6590300000,- -
37,Total Current Assets,34419463361,28492723644,41689493551,93194296807,76702493563,102715516895,166247890560,184754351880,212890386840,260275706372,249834588882,253307907720,259803700000,261519300000,225260400000,252288600000,358486700000,626565600000,746744000000,817729100000,857203100000,951679700000,822613900000,1092185300000,- -
38,PP&E,79332331312,98538946786,120695160215,244747860236,265614828458,246927000564,211511051940,259334381040,245555945235,254055235599,260264633250,244310470755,273674800000,388444000000,490374900000,617529500000,792665900000,818198800000,853470300000,997777700000,1062542300000,1072050300000,1369609800000,1583317600000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,5982600492,5990140531,6060705075,5931300000,5704900000,5694000000,5523700000,5627500000,5888800000,6104800000,6008000000,5648700000,5795500000,5693400000,5436600000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,10176452556,8692700160,7131537000,6028576855,5800124660,7923071639,7144733625,6458600000,6027100000,5167600000,5435900000,5862900000,7642700000,7961100000,8606800000,8526500000,11206600000,14959600000,20331500000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,10176452556,8692700160,7131537000,6028576855,11782725152,13913212170,13205438700,12389900000,11732000000,10861600000,10959600000,11490400000,13531500000,14065900000,14614800000,14175200000,17002100000,20653000000,25768100000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40578600000,39775500000,34458500000,65786300000,89024100000,29860200000,34872800000,45995400000,41439400000,29208000000,30092000000,27617300000,- -
43,Tax Assets,3285487548,6031024272,4485905433,6629800768,18992904833,9790191671,1120543380,1648177440,6808707710,5936981534,7313355115,6655278310,7988300000,7362800000,7436700000,4776000000,7145000000,5138800000,6385000000,8271400000,12105500000,16806400000,17928400000,25958200000,- -
44,Other Non-Current Assets,7923488553,7467902918,16839812221,26314004412,29428605636,21612452984,19151105040,47385101400,49780622415,55342313048,39569953773,42960379930,260900000,10095300000,5872800000,3694600000,3988600000,1558100000,1859400000,1908300000,4266500000,3284700000,3827900000,5754000000,- -
45,Total Non-Current Assets,90541307413,112037873976,142020877869,277691665416,314036338928,288506097776,240475400520,315499196880,308173852215,327117255333,321061154308,307131567695,334892500000,457409600000,549004500000,702746000000,904314000000,868287400000,910653400000,1068567600000,1134528900000,1138351500000,1442111100000,1668415200000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3725503455000
47,Total Assets,124960770773,140530597620,183710371420,370885962223,390738832490,391221614671,406723291080,500253548760,521064239055,587392961705,570895743190,560439475415,594696200000,718928900000,774264900000,955034600000,1262800700000,1494853000000,1657397400000,1886296700000,1991732000000,2090031200000,2264725000000,2760600500000,3725503455000
48,Accounts Payable,13274513040,2171426474,2928275866,8507813855,1744545706,5147548019,6417657540,7290015600,9449603405,7934440195,11574884437,5567964825,10905900000,55364100000,10530500000,59322200000,104480500000,48859300000,44587500000,89216800000,84136600000,76114600000,179581800000,196792300000,- -
49,Short-Term Debt,250719532,299618193,- -,3884900336,16405352013,731060897,5398981740,10903327680,329474815,7002510053,282156051,8330595160,949300000,31455300000,30489000000,34843000000,15645000000,36158500000,39474000000,57958200000,63766800000,123654700000,150322300000,91159000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800300000,7184700000,10656100000,15635600000,36759400000,52388100000,60444700000,70352800000,61662800000,55281600000,40094300000,68656700000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1850228479,6298425455,13321021623,35032281826,20937520498,34553392600,19286928480,45832011120,25448221675,31916978115,36852174799,43062212915,67278100000,36371700000,75987200000,48270700000,83848500000,139767400000,155710600000,201111000000,238986800000,157067800000,268459700000,343947100000,- -
53,Total Current Liabilities,15375461051,8769470122,16249297489,47424996016,39087418216,40432001516,31103567760,64025354400,35227299895,46853928363,48709215287,56960772900,79133300000,123191100000,117006700000,142435900000,203974000000,224785200000,239772100000,348286000000,386890200000,356837100000,598363800000,631898400000,- -
54,Long-Term Debt,20066938000,31202174185,32956710256,52339366464,27941367660,46131584339,38743636260,21458002440,20822946425,13763891328,14873191378,16234148770,11388500000,5496600000,20458500000,82107500000,211583800000,214515900000,191997600000,153115400000,91800000000,56900000000,40141800000,276633300000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789100000,- -,203900000,151700000,25538500000,21564800000,14670400000,7586800000,3353300000,176900000,265600000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199700000,31300000,141200000,302200000,233300000,344400000,1729900000,- -
57,Other Non-Current Liabilities,9031521883,6939543954,6193867792,9046191293,36392627618,8194643786,8115450540,15087162720,17439934935,17716448189,16601802587,5561394955,5125900000,10747700000,4756200000,4533600000,12978200000,7453000000,9061500000,10237900000,10706300000,11602400000,11310800000,14309500000,- -
58,Total Non-Current Liabilities,29098459883,38141718139,39150578049,61385557758,64333995278,54326228124,46859086800,36545165160,38262881360,31480339517,31474993965,21795543725,16514400000,17033400000,25214700000,86845000000,224713700000,247707100000,222655200000,178164900000,110395300000,72089000000,51973900000,292938300000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1554770250000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,599493550,612597436,651877773,722685700,707500000,695000000,871000000,748100000,776200000,802100000,- -,- -,- -,- -,15041800000,20560600000,- -
61,Total Liabilities,44473920934,46911188261,55399875538,108810553774,103421413494,94758229640,77962654560,100570519560,73490181255,78334267880,80184209252,78756316625,95647700000,140224500000,142221400000,229280900000,428687700000,472492300000,462427300000,526450900000,497285500000,428926100000,650337700000,924836700000,1554770250000
62,Preferred Stock,- -,- -,- -,- -,- -,13022609184,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,40930461771,60371455039,76718664402,116893632565,168325548714,186552772213,202309013880,232900150560,248040242560,258255438232,264286167770,256954185570,259027100000,259100800000,259162200000,259244400000,259286200000,259296600000,259303800000,259303800000,259303800000,259303800000,259303800000,259303800000,- -
64,Retained Earnings,23781017113,24124097088,25065477077,76924165724,37507417988,40863236315,70967747400,113914417680,143198258660,197096708039,218875259424,170517690915,181882700000,265779600000,322191200000,410601300000,504531200000,681224200000,866629600000,1041810700000,1205051300000,1360258900000,1325630400000,1573840100000,- -
65,Other Comprehensive Income/Loss,-26628700991,-41408522953,-61887448772,-103884858823,-183581984478,752000028,237691020,-2218700400,-642605785,-628889921,-392423933,193811165,-1313100000,-6433900000,-7606300000,-2785800000,-1149463800000,-1347308800000,-1563707200000,-1775473100000,-2018072800000,-2300728800000,321822000000,- -,- -
66,Other Total Stockholders Equity,31531403021,40847946979,80888667184,171820747156,254939127620,55177115113,55144316640,55023769920,56367948305,53178671040,4349094993,50009850440,55486000000,55698400000,55846400000,56137800000,1219492700000,1429021500000,1631781500000,1833409300000,2047464500000,2341594900000,-293050600000,1667400000,- -
67,Total Stockholders Equity,69614180915,83934976153,120785359890,261753686622,277190109845,296367732853,328658768940,399619637760,446963843740,507901927390,487118098254,477675538090,495082700000,574144900000,629593500000,723197700000,833846300000,1022233500000,1194007700000,1359050700000,1493746800000,1660428800000,1613705600000,1834811300000,2168286553000
68,Total Liabilities And Stockholders Equity,114088101849,130846164414,176185235428,370564240396,380611523340,391125962493,406621423500,500190157320,520454024995,586236195270,567302307506,556431854715,590730400000,714369400000,771814900000,952478600000,1262534000000,1494725800000,1656435000000,1885501600000,1991032300000,2089354900000,2264043300000,2759648000000,3723056803000
69,Minority Interest,10872668924,9684433206,7525135992,321721827,10127309151,95652178,101867580,63391440,610214060,1156766435,3593435684,4007620700,3965800000,4559500000,2450000000,2556000000,266700000,127200000,962400000,795100000,699700000,676300000,681700000,952500000,2446652000
70,Total Liabilities & Equity,124960770773,140530597620,183710371420,370885962223,390738832490,391221614671,406723291080,500253548760,521064239055,587392961705,570895743190,560439475415,594696200000,718928900000,774264900000,955034600000,1262800700000,1494853000000,1657397400000,1886296700000,1991732000000,2090031200000,2264725000000,2760600500000,3725503455000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046179/999999999702028299/9999999997-02-028299-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000102140803009057/0001021408-03-009057-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312504095792/0001193125-04-095792-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000114554905000865/0001145549-05-000865-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000114554906000500/0001145549-06-000500-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000114554907000571/0001145549-07-000571-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000095014408002830/0000950144-08-002830-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000114554909000622/0001145549-09-000622-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000095012310034985/0000950123-10-034985-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000095012311035858/0000950123-11-035858-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312512161528/0001193125-12-161528-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312513137651/0001193125-13-137651-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312514141496/0001193125-14-141496-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312515126836/0001193125-15-126836-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312516536225/0001193125-16-536225-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312517122097/0001193125-17-122097-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312518057149/0001193125-18-057149-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312519061581/0001193125-19-061581-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000156459020006977/0001564590-20-006977-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/0001193125-21-118512-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,18011756513,15315966554,24563030085,65106186584,14483183904,21647896464,47164689540,92456415240,93855039630,126990145084,109181419045,100206942175,89217800000,161605000000,134201300000,166158800000,183977600000,254301400000,302850900000,331713700000,344998300000,363052700000,353948000000,510744000000,596540013000
74,Depreciation and Amortization,9790638558,15270862740,18043634581,41446122346,48875776269,65113845920,69032263380,69952454040,75997037690,73707202140,79892323682,81735752670,80814700000,87810100000,107681500000,131349300000,156181800000,200251500000,222505600000,223828400000,260142700000,292546300000,286884200000,331724600000,422395000000
75,Deferred Income Tax,-1934607443,-2355063431,-383748358,-956125748,-3840769784,5430434986,3667232880,-1045958760,-3363050295,120564389,943763343,2286314760,-1752400000,-377300000,-491100000,573200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,5300000,- -,- -,- -,- -,- -,2800000,6600000,- -
77,Change in Working Capital,-5589363211,1991011218,-5097081126,-14944833182,4556609048,3390887084,-6553480980,-6561014040,-8628037450,5653492295,-4209638554,35464158260,-10628800000,-13917000000,3925900000,-13052400000,-6358800000,-49649900000,23225000000,-15059900000,9978600000,-61664800000,10822100000,-28336500000,115741000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16873200000,-7609800000,1136300000,-10971300000,-14131100000,-43090100000,26630100000,-49342700000,1061800000,-13271300000,-18119600000,-8082700000,- -
79,Inventory,-1975147240,818312054,-841048484,-4033840721,2463531823,-1375478312,-916808220,-3423137760,-2012200265,-3701652592,-2224816678,9010576705,-6037200000,-7492100000,2611300000,-12989900000,122500000,-28871600000,-655200000,18370100000,-25229100000,-29370000000,20249800000,-54372200000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4916900000,933900000,-1968800000,1395900000,346400000,6634200000,-2693400000,7295400000,2572100000,4540600000,5860100000,404600000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32584970,998897284,164246750,-229800000,4233900000,270100000,2172000000,2517900000,8211300000,2530000000,9563400000,-4764300000,654100000,-547200000,11246900000,- -
82,Other Non-Cash Items,114007970,1752605344,2453324569,2761224934,7591504590,3095339247,2512733640,-1394611680,-378013075,-1505425614,-2030226298,2404572420,2315100000,-5645000000,2269400000,4028700000,13577600000,16620700000,-18702100000,-647600000,-29801400000,-19979900000,-36518400000,8527500000,-22515013000
83,Cash Provided by Operating Activities,20392432387,31975382425,39579159752,93412574935,71666304026,98678403700,115823438460,153407284800,157482976500,204965978294,183777641218,222097740285,159966400000,229475800000,247587000000,289063800000,347383500000,421523700000,529879400000,539834600000,585318200000,573954300000,615138700000,822666200000,1112161000000
84,CAPEX,-28101494490,-34594625338,-29845997160,-103761911814,-68002457345,-55331549901,- -,-81236130360,-80117725500,-78725287520,-84004667046,-59385054930,-87784900000,-186944200000,-213962500000,-246137400000,-290345200000,-292399500000,-261800700000,-333093700000,-335888500000,-322682200000,-469752100000,-521474500000,-839196000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-37792872180,- -,- -,- -,- -,- -,- -,-6242400000,- -,- -,-979900000,- -,549400000,- -,-4100000,- -,- -,- -,- -
86,Purchases of Investments,-10246017096,-2403388946,-12107166626,-2107284591,-4563671986,-3197947946,-14431240500,-66719490600,-14719326000,-140949546232,-93361221151,-102595089920,-51389100000,-54254700000,-35672700000,-31582400000,-1988400000,-6518300000,-44655700000,-117425800000,-103788100000,-99017400000,-257996800000,-267249100000,-259688000000
87,Sales/Maturities of Investments,342775251,1520642872,5441890312,49370857,162342681,1239756568,509337900,158478600,17540135530,102140846962,112239731184,154769712525,44115900000,54001600000,63916300000,4029500000,7632500000,7448800000,79836500000,40743600000,87534300000,89537300000,246776400000,267298200000,263973000000
88,Other Investing Activites,-524730664,-6730133389,-390865259,-13755065070,-972412727,-5007930623,-1595925420,-443740080,-374921885,-2170159002,-5565284868,-854083100,-1410300000,-8646500000,3195500000,494000000,1876400000,5189000000,4540800000,10093100000,11500900000,10793100000,12841000000,6101300000,-1455000000
89,Cash Used for Investing Activites,-38529466998,-42207504801,-36902138734,-119574890618,-73376199377,-62297671901,-53310700200,-148240882440,-77671837855,-119704145792,-70691441881,-8064515425,-96468400000,-202086200000,-182523400000,-273196300000,-281054200000,-282420500000,-217245800000,-395439700000,-336164900000,-314268900000,-458801600000,-505781700000,-836366000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9142000000,-967000000,-1143000000,-4821300000,-19726500000,-28400000,-29100000,-23480100000,-38131400000,-58024900000,-37830600000,-73487300000,-2600000000
91,Common Stock Issued,- -,- -,- -,39204533131,- -,- -,- -,- -,1173895845,573495472,437828355,226660515,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-12971138520,-7068145560,- -,- -,-45417394692,-33572035700,- -,- -,-71600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-41153852,-455791321,-441426180,-12171156480,-46558714540,-61732225665,-77391837299,-76989021595,-76876300000,-77708100000,-77730200000,-77748700000,-77773300000,-77785900000,-116683500000,-155582300000,-181512700000,-207443000000,-259303800000,-259303800000,-265786000000
94,Other Financing Activites,11961102030,7757856008,5681889796,-3838244711,-509685388,-5901356743,-13921902600,-12963549480,-12757341130,-2616573091,-13047284979,-5374153660,547100000,30037400000,11086800000,68759100000,129605700000,45486000000,-21400000,21262200000,3946500000,20343100000,27496200000,244176000000,404994000000
95,Cash Used/Provided by Financing Activities,11961102030,7757856008,5681889796,35366288420,-550839240,-6357148064,-27334467300,-32202851520,-58142159825,-63775303284,-135418688615,-115708550440,-85471200000,-48637700000,-67858000000,-13810900000,32105900000,-32328300000,-116734000000,-157800200000,-215697600000,-245124800000,-269638200000,-88615100000,136608000000
