,https://roic.ai/company/SATS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,1208000000,-11000000,77000000,189000000,166000000,19000000,-15000000,-56000000,-117000000,-125000000,-130000000,-125000000,-122000000,-188000000,-212102000
66,Other Total Stockholders Equity,61451000,- -,3180684000,3181243000,3213225000,3261910000,3296236000,3404188000,3608104000,3678056000,3730712000,3571145000,3570968000,3158891000,3146638000,2909357000
67,Total Stockholders Equity,35789000,1207518000,2225773000,2664850000,3013190000,3042516000,3140890000,3217370000,3533168000,3695478000,3920065000,4162563000,4140199000,3669805000,3542334000,3353827000
68,Total Liabilities And Stockholders Equity,49829000,1260910000,2903986000,3468068000,3842020000,6534627000,6590896000,6693102000,7163528000,7154598000,8922119000,8735192000,8646019000,7078550000,7008436000,5984951000
69,Minority Interest,- -,- -,- -,- -,- -,9110000,9337000,8861000,90470000,86164000,86740000,14822000,15275000,75748000,64916000,60253000
70,Total Liabilities & Equity,49829000,1260910000,2903986000,3468068000,3842020000,6543737000,6600233000,6701963000,7253998000,7240762000,9008859000,8750014000,8661294000,7154298000,7073352000,6045204000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1415404/000095013409004185/0000950134-09-004185-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000104746910001594/0001047469-10-001594-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000119312511044057/0001193125-11-044057-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000110465912016268/0001104659-12-016268-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000110465913011985/0001104659-13-011985-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000104746914001113/0001047469-14-001113-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000104746915000972/0001047469-15-000972-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000110465916099355/0001104659-16-099355-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000010/0001415404-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540418000005/0001415404-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540419000003/0001415404-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540420000005/0001415404-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540421000005/0001415404-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540422000005/0001415404-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-20932000,-85300000,-944001000,364704000,204358000,3639000,211048000,2525000,152874000,153357000,179930000,392561000,-40475000,-62917000,-40150000,72875000
74,Depreciation and Amortization,366000,9705000,264197000,244129000,228911000,385894000,457326000,507111000,556676000,528158000,495068000,533849000,598178000,588200000,525011000,491329000
75,Deferred Income Tax,- -,360000,-162011000,45344000,103569000,-8974000,-1075000,-35780000,31742000,56132000,98148000,-288577000,26327000,32542000,18147000,37664000
76,Stock Based Compensation,- -,- -,- -,- -,13546000,16064000,14585000,18353000,14683000,21839000,15234000,10103000,9990000,9353000,8887000,7699000
77,Change in Working Capital,-1206000,528525000,299024000,140467000,176802000,547365000,-96691000,170357000,12677000,-203530000,1585021000,109812000,-1065949000,104483000,-857280000,6929000
78,Accounts Receivable,- -,- -,-305490000,-25709000,73167000,-994000,-55378000,-35210000,86028000,-62239000,-28398000,235648000,11346000,- -,2237000,- -
79,Inventory,-3777000,-21316000,-20370000,-6521000,22581000,21488000,-16109000,16529000,2608000,-4906000,-4814000,-19291000,5650000,- -,- -,- -
80,Accounts Payable,- -,- -,185874000,1522000,-57596000,-9974000,76174000,-47714000,-48738000,29436000,-44221000,-77688000,6507000,13149000,-12339000,-15599000
81,Other Working Capital,31832000,560357000,859381000,999848000,1176650000,1724015000,1627324000,1797681000,1810358000,1606828000,3191849000,3301661000,2235712000,2340195000,1482915000,116786000
82,Other Non-Cash Items,670000,-541399000,655962000,-598368000,-323171000,-496970000,-80044000,-212059000,71479000,220495000,-1570058000,-30856000,1206451000,-15339000,879773000,15730000
83,Cash Provided by Operating Activities,-21102000,-88109000,113171000,196276000,404015000,447018000,505149000,450507000,840131000,776451000,803343000,726892000,734522000,656322000,534388000,632226000
84,CAPEX,-2053000,-144309000,-229870000,-213921000,-196736000,-377172000,-611482000,-433621000,-680026000,-729275000,-721506000,-610231000,-586780000,-482341000,-447453000,-471973000
85,Acquisitions Net,- -,-320000000,- -,- -,- -,-2076000000,-98000000,-42000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-3213575000,-2179668000,-2369703000,-2126115000,-973762000,-1087865000,-1523549000,-536430000,-921247000,-855717000,-2973254000,-1087056000,-2805338000,-1701608000
87,Sales/Maturities of Investments,- -,- -,2842567000,2273523000,2270005000,2694132000,1248748000,912030000,1353157000,1057034000,1001166000,578051000,1498463000,2391220000,2110336000,2332511000
88,Other Investing Activites,2232000,-36458000,36013000,5788000,57876000,-2890000,-10762000,39419000,-37172000,13355000,10155000,-7125000,-68548000,-63622000,-38655000,-471973000
89,Cash Used for Investing Activites,1679000,-500767000,-564865000,-114278000,-238558000,-1888045000,-346781000,-570289000,-887590000,-275311000,-632267000,-868002000,-2098480000,821958000,-1142455000,158930000
90,Debt Repayment,-89000,- -,-47217000,-55644000,-50382000,-60201000,-60022000,-68225000,-63122000,-158104000,-40364000,-37670000,-111192000,-950270000,-811000,-902488000
91,Common Stock Issued,542000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-68045000,-29512000,-605000,- -,- -,- -,- -,- -,- -,-651000,-33292000,- -,-43458000,-261436000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,38528000,600337000,550341000,2021000,4014000,1973748000,16046000,86551000,28026000,37847000,1516053000,38393000,7921000,64959000,28649000,16579000
95,Cash Used/Provided by Financing Activities,38981000,600337000,435079000,-83135000,-46973000,1913547000,-43976000,18326000,-35096000,-120257000,1475689000,72000,-136563000,-885311000,-15620000,-1147345000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-299000,3187000,3961000,-2511000,-5696000,138000,1351000,-2233000,-575000,-1390000,-3749000
97,Net Change In Cash,19555000,11461000,-16615000,-1137000,118484000,472221000,117579000,-97495000,-85066000,375187000,1646903000,-139687000,-1502754000,592394000,-625077000,-359938000
98,Cash at the End of Period,24382000,41082000,24467000,23330000,141814000,614035000,731614000,634119000,549053000,924240000,2571143000,2431456000,929495000,1521889000,896812000,536874000
99,Cash at the Beginning of Period,4827000,29621000,41082000,24467000,23330000,141814000,614035000,731614000,634119000,549053000,924240000,2571143000,2432249000,929495000,1521889000,896812000
100,Free Cash Flow,-23155000,-232418000,-116699000,-17645000,207279000,69846000,-106333000,16886000,160105000,47176000,81837000,116661000,147742000,173981000,86935000,160253000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1415404/000095013409004185/0000950134-09-004185-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000104746910001594/0001047469-10-001594-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000119312511044057/0001193125-11-044057-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000110465912016268/0001104659-12-016268-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000110465913011985/0001104659-13-011985-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000104746914001113/0001047469-14-001113-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000104746915000972/0001047469-15-000972-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000110465916099355/0001104659-16-099355-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000010/0001415404-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540418000005/0001415404-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540419000003/0001415404-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540420000005/0001415404-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540421000005/0001415404-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540422000005/0001415404-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,
