,https://roic.ai/company/SMTC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,5100000,4500000,5500000,6000000,6200000,7400000,8300000,6500000,6800000,7500000,14500000,18000000,27100000,34117000,48100000,68200000,78000000,66200000,79400000,82900000,88400000,113100000,113100000,117700000,124643000,189548000,192000000,299000000,448500000,289345000,275441000,240781000,289600000,301523000,287020000,288626000,321077000
11,COGS and Expenses,14000000,11800000,14500000,16900000,17700000,21100000,25400000,19600000,21000000,24000000,50400000,58900000,81000000,94358000,130800000,180000000,161900000,149300000,162000000,189300000,193600000,228700000,241600000,252900000,255157000,375744000,387000000,563200000,703900000,515628000,472550000,460191000,525476000,551697000,497848000,520194000,595854000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13199000,- -,- -,2035000,574000,1213000,404000,342000,43000,13000,205000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,400000,- -,1600000,9400000,6500000,15125000,451000,-6304000,-7286000,-13546000,13600000,5100000,139000,- -,700000,14363000,18174000,5927000,7819000,9300000,7963000,9202000,9106000,5336000,5091000
14,Depreciation and Amortization,400000,500000,600000,800000,1200000,1400000,1400000,1000000,1100000,1000000,1139000,1748000,2775000,3723000,4118000,8837000,10327000,9581000,9000000,9790000,11752000,11812000,10226000,8324000,8357000,16448000,18543000,49192000,94073000,69303000,48932000,47057000,48999000,49639000,39581000,35858000,35302000
15,EBITDA,-500000,500000,1700000,2800000,2100000,2100000,2300000,1500000,1200000,2700000,12539000,14448000,25375000,23085000,49818000,104237000,52927000,70806000,42951000,74086000,57566000,35666000,82126000,59624000,42467000,95780000,113443000,63765000,-16268000,111725000,77130000,129417000,114802000,128396000,93386000,104534000,181596000
16,EBITDA ratio,-0.0385,0.0420,0.1090,0.1466,0.1117,0.0946,0.0868,0.0743,0.0563,0.1047,0.2032,0.2018,0.2468,0.2016,0.2866,0.4061,0.2768,0.3669,0.2236,0.2921,0.2406,0.1413,0.2884,0.2023,0.1482,0.2107,0.2360,0.1102,-0.0273,0.2003,0.1573,0.2378,0.1953,0.2047,0.1706,0.1757,0.2451
17,Operating Income,-1000000,100000,1100000,2200000,1100000,1100000,1100000,600000,300000,1800000,11787000,11429000,21809000,18576000,42958000,76694000,27021000,30897000,43169000,69966000,47370000,23865000,43187000,41891000,30917000,78758000,93586000,15589000,-108917000,42257000,29999000,84081000,68736000,98477000,52009000,74956000,145017000
18,Operating Income ratio,-0.0769,0.0084,0.0705,0.1152,0.0585,0.0495,0.0415,0.0297,0.0141,0.0698,0.1910,0.1596,0.2121,0.1622,0.2472,0.2988,0.1413,0.1601,0.2247,0.2759,0.1980,0.0945,0.1516,0.1421,0.1079,0.1733,0.1947,0.0269,-0.1831,0.0757,0.0612,0.1545,0.1169,0.1570,0.0950,0.1260,0.1957
19,Total Other Income Expenses (Gains),300000,-100000,- -,-200000,-200000,-400000,-200000,-100000,-100000,-100000,-487000,1271000,391000,786000,1142000,9306000,9079000,15203000,-9669000,634000,5630000,13535000,15113000,4309000,3054000,574000,614000,-15389000,-19583000,-5762000,-9620000,-11021000,-10980000,-28357000,-7424000,-11981000,-5948000
20,Income Before Tax,- -,- -,1100000,2000000,900000,700000,900000,500000,- -,1700000,11300000,12700000,22200000,19362000,44100000,86000000,36100000,46100000,33500000,70600000,53000000,37400000,58300000,46200000,33971000,79332000,94200000,200000,-128500000,36495000,20379000,73060000,57756000,70120000,44585000,62975000,139069000
21,Income Before Tax Ratio,- -,- -,0.0705,0.1047,0.0479,0.0315,0.0340,0.0248,- -,0.0659,0.1831,0.1774,0.2160,0.1691,0.2537,0.3350,0.1888,0.2389,0.1744,0.2784,0.2215,0.1481,0.2047,0.1567,0.1185,0.1745,0.1960,0.0003,-0.2160,0.0654,0.0416,0.1342,0.0983,0.1118,0.0814,0.1058,0.1877
22,Income Tax expense (Gain),- -,-200000,500000,300000,100000,200000,200000,100000,- -,500000,3800000,4200000,7400000,6467000,14700000,25800000,10100000,11900000,7700000,15700000,11100000,6300000,10500000,8700000,33014000,6760000,5100000,-41690000,35985000,8548000,8882000,18399000,23191000,-84000,12828000,3437000,15539000
23,Net Income,-900000,200000,600000,1700000,800000,500000,700000,400000,100000,1200000,7500000,8500000,14800000,12895000,29400000,60200000,26000000,34200000,25800000,54900000,42000000,31100000,47800000,37500000,957000,72572000,89100000,41900000,-164500000,27947000,11497000,54661000,34649000,69639000,31871000,59903000,125664000
24,Net Income ratio,-0.0692,0.0168,0.0385,0.0890,0.0426,0.0225,0.0264,0.0198,0.0047,0.0465,0.1216,0.1187,0.1440,0.1126,0.1692,0.2345,0.1360,0.1772,0.1343,0.2165,0.1755,0.1232,0.1678,0.1272,0.0033,0.1597,0.1854,0.0724,-0.2765,0.0501,0.0235,0.1004,0.0589,0.1110,0.0582,0.1007,0.1696
25,EPS,-0.06,0.01,0.03,0.07,0.03,0.02,0.02,0.02,0.01,0.04,0.15,0.15,0.27,0.22,0.48,0.91,0.37,0.47,0.44,0.79,0.59,0.43,0.72,0.61,0.02,1.16,1.37,0.64,-2.44,0.42,0.18,0.84,0.55,0.96,0.48,0.92,1.94
26,EPS Diluted,-0.06,0.01,0.02,0.05,0.03,0.02,0.02,0.02,0.01,0.04,0.15,0.15,0.25,0.20,0.42,0.79,0.33,0.44,0.42,0.75,0.57,0.42,0.71,0.61,0.02,1.12,1.32,0.62,-2.44,0.41,0.17,0.83,0.54,0.92,0.47,0.91,1.92
27,Weighted Average Shares Outstanding,15000000,20000000,20000000,24285714,26666667,25000000,35000000,30000000,35616000,30000000,48088000,48866264,55912000,58688000,61670000,66247000,69983000,73013000,73570000,74187000,73436000,72372000,66424000,61249000,60779000,62339000,65099000,65809000,67471000,67108000,65657000,65427000,66027000,65982000,66263000,65208000,64662000
28,Weighted Average Shares Outstanding Diluted,15000000,20000000,30000000,24285714,26666667,25000000,35000000,40000000,35616000,30000000,48088000,48866264,60472000,63568000,70630000,76527000,77747000,77789000,77504000,78124000,75992000,74017000,67709000,61999000,61676000,64523000,67350000,67471000,67471000,67685000,65961000,66109000,67605000,68481000,67418000,66059000,65565000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88941/000089843096001453/0000898430-96-001453-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88941/000102140803006503/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312504059865/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312505077787/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312506079819/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312507080940/0001193125-07-080940-index.html,https://www.sec.gov/Archives/edgar/data/88941/000119312508067303/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312509063579/0001193125-09-063579-index.html,https://www.sec.gov/Archives/edgar/data/88941/000119312510075183/0001193125-10-075183-index.html,- -,https://www.sec.gov/Archives/edgar/data/88941/000119312512140125/0001193125-12-140125-index.html,https://www.sec.gov/Archives/edgar/data/88941/000144530513000732/0001445305-13-000732-index.html,https://www.sec.gov/Archives/edgar/data/88941/000144530514001181/smtc-01262014x10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000162828015002037/smtc-01252015.htm,https://www.sec.gov/Archives/edgar/data/88941/000162828016013952/0001628280-16-013952-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828017002859/0001628280-17-002859-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828018003489/0001628280-18-003489-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828019003241/0001628280-19-003241-index.html,https://www.sec.gov/Archives/edgar/data/88941/000008894120000003/0000088941-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/88941/000008894121000006/0000088941-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/88941/000008894122000006/0000088941-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,1000000,2500000,1700000,1500000,1900000,3900000,3500000,2900000,2800000,6000000,9400000,18800000,41035000,45200000,323200000,46300000,137000000,96300000,82200000,65500000,162700000,172900000,147700000,80598000,119019000,227000000,223200000,243200000,230328000,211810000,297134000,307923000,312120000,293324000,268891000,279601000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,800000,1900000,1648000,18100000,148600000,324900000,273400000,93000000,108200000,130200000,126000000,36100000,98700000,55462000,112237000,83100000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,400000,1000000,2500000,1700000,1500000,1900000,3900000,3500000,2900000,2800000,6400000,10200000,20700000,42683000,63300000,471800000,371200000,410400000,189300000,190400000,195700000,288700000,209000000,246400000,136060000,231256000,310100000,228200000,243200000,230328000,211810000,297134000,307923000,312120000,293324000,268891000,279601000
34,Net Receivables,2000000,2200000,2700000,2900000,3000000,4800000,3600000,2900000,3600000,4500000,8100000,9500000,13700000,15414000,25200000,37900000,21200000,17700000,26200000,22100000,27100000,25600000,33000000,27500000,31163000,50610000,49600000,69200000,66300000,69301000,44132000,51441000,53183000,79223000,61927000,70433000,71507000
35,Inventory,3200000,3600000,3400000,4400000,4300000,4600000,4400000,4100000,5000000,6700000,10000000,14500000,17000000,16803000,26600000,31600000,22700000,16400000,22200000,24800000,23600000,20500000,28900000,28000000,33819000,47719000,47000000,74900000,60300000,73668000,63875000,65872000,71067000,63679000,73010000,87494000,114003000
36,Other Current Assets,- -,200000,100000,100000,700000,300000,200000,1200000,1300000,1100000,1000000,1500000,2400000,3672000,5300000,24400000,15200000,13900000,8300000,13200000,15200000,21100000,20700000,11800000,17772000,24113000,20600000,33700000,23800000,23391000,21404000,23981000,29059000,30282000,32475000,47910000,37184000
37,Total Current Assets,5600000,7000000,8700000,9100000,9500000,11600000,12100000,11700000,12800000,15100000,25500000,35700000,53800000,78572000,120400000,565700000,430300000,458400000,246000000,250500000,261600000,355900000,291600000,313700000,218814000,353698000,427300000,406000000,393600000,396688000,341221000,438428000,461232000,485304000,460736000,474728000,502295000
38,PP&E,1900000,2000000,2900000,4700000,5300000,5100000,3700000,3300000,3400000,3400000,6700000,9400000,12800000,13417000,24400000,40100000,51500000,51500000,49600000,55700000,57000000,40600000,30600000,31800000,38063000,56778000,69700000,101800000,110100000,115471000,101006000,108910000,124586000,118488000,124418000,130934000,134940000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33100000,32700000,32400000,25500000,129651000,129651000,129700000,393600000,276900000,280319000,329703000,329703000,341897000,351141000,351141000,351141000,351141000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,4300000,3200000,2100000,84343000,74823000,66700000,206100000,140900000,101600000,88429000,61773000,60207000,36558000,20012000,11746000,6804000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38600000,37000000,35600000,27600000,213994000,204474000,196400000,599700000,417800000,381919000,418132000,391476000,402104000,387699000,371153000,362887000,357945000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59200000,172300000,- -,- -,- -,- -,- -,- -,- -,26163000,27086000,17522000,7907000,3674000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,478000,- -,- -,- -,- -,400000,2100000,3800000,2500000,100000,100000,7153000,- -,1000000,2000000,3600000,2477000,7354000,6881000,14682000,3363000,20094000,25483000,27803000
44,Other Non-Current Assets,100000,1000000,900000,700000,500000,500000,400000,500000,500000,500000,500000,600000,500000,89000,4600000,12300000,36300000,110600000,113600000,150700000,111900000,85700000,37500000,47600000,10107000,17907000,14378000,53593000,20126000,32876000,43803000,65847000,83172000,67926000,76032000,88070000,107928000
45,Total Non-Current Assets,2000000,3000000,3800000,5400000,5800000,5600000,4100000,3800000,3900000,3900000,7200000,10000000,13300000,13984000,29000000,111600000,260100000,162100000,163600000,208500000,211300000,165800000,103800000,107100000,295480000,306245000,299000000,765000000,555300000,532743000,570295000,573114000,624544000,577476000,591697000,607374000,628616000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7600000,10000000,12500000,14500000,15300000,17200000,16200000,15500000,16700000,19000000,32700000,45700000,67100000,92556000,149400000,677300000,690400000,620500000,409600000,459000000,472900000,521700000,395400000,420800000,514294000,659943000,726300000,1171000000,948900000,929431000,911516000,1011542000,1085776000,1062780000,1052433000,1082102000,1130911000
48,Accounts Payable,- -,- -,- -,- -,500000,1200000,900000,900000,1600000,- -,4100000,5600000,5200000,5296000,10700000,12900000,7300000,5700000,8600000,9500000,12300000,9900000,13900000,10700000,23643000,29629000,26700000,52000000,40000000,32448000,35486000,41960000,37208000,43183000,48009000,50189000,50695000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18569000,- -,- -,- -,3273000,3975000,3977000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3593000,1699000,3495000,738000,1974000,290000,2108000,- -,2928000,- -,4113000,3675000,6153000,- -,11382000,1470000,2105000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11731000,5212000,7255000,6327000,3495000,4350000,4287000,3276000,5020000,- -,3745000,7267000,5848000,8628000,12059000,12758000,3439000,12512000,3923000,13047000
52,Other Current Liabilities,2600000,1600000,2200000,2200000,1600000,2300000,1600000,1000000,1400000,3700000,3500000,4500000,7200000,7432000,13000000,21800000,20000000,20069000,15688000,12345000,7373000,17105000,17750000,18813000,48109000,59176000,40300000,101955000,63633000,69745000,41204000,68956000,76242000,83292000,34847000,51486000,60680000
53,Total Current Liabilities,2600000,1600000,2200000,2200000,2100000,3500000,2500000,1900000,3000000,3700000,7600000,10200000,12400000,12728000,23700000,34700000,27300000,37500000,29500000,29100000,26000000,30500000,36000000,33800000,75028000,93825000,67000000,157700000,110900000,108041000,103887000,122975000,126208000,129914000,98641000,109573000,128399000
54,Long-Term Debt,- -,2500000,2800000,3000000,2200000,1900000,1300000,1100000,900000,800000,1000000,1300000,- -,- -,- -,400000000,364300000,241600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,282300000,273300000,234746000,239177000,226524000,211114000,192845000,194743000,179195000,171676000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,100000,100000,100000,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16505000,11120000,- -,2042000,3626000,2477000,6802000,6881000,14682000,3363000,3600000,976000,1132000
57,Other Non-Current Liabilities,- -,100000,100000,- -,- -,100000,- -,-100000,- -,- -,800000,200000,100000,57000,200000,200000,- -,- -,400000,4600000,9300000,10000000,10700000,9000000,17020000,26383000,29100000,34158000,25274000,32809000,33600000,49899000,68759000,54078000,78249000,93405000,91929000
58,Total Non-Current Liabilities,100000,2700000,3000000,3100000,2300000,2100000,1400000,1100000,900000,800000,1800000,1500000,100000,57000,200000,400200000,364300000,241600000,400000,4600000,9300000,10000000,10700000,9000000,33525000,37503000,29100000,318500000,302200000,270032000,279579000,283304000,294555000,250286000,276592000,273576000,264737000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3273000,3975000,3977000
61,Total Liabilities,2700000,4300000,5200000,5300000,4400000,5600000,3900000,3000000,3900000,4500000,9400000,11700000,12500000,12785000,23900000,434900000,391600000,279100000,29900000,33700000,35300000,40500000,46700000,42800000,108553000,131328000,96100000,476200000,413100000,378073000,383466000,406279000,420763000,380200000,375233000,383149000,393136000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,152000,600000,700000,700000,700000,700000,800000,800000,800000,800000,800000,784000,785000,800000,800000,800000,785000,785000,785000,785000,785000,785000,785000,785000
64,Retained Earnings,-200000,- -,1000000,2700000,3500000,4000000,4700000,5100000,5200000,6400000,13000000,21600000,36300000,49411000,71500000,131700000,131500000,165600000,188300000,183800000,220800000,250500000,296200000,333700000,334704000,407276000,496400000,538300000,373800000,401783000,413280000,467941000,502346000,579736000,611607000,671196000,796860000
65,Other Comprehensive Income/Loss,-4500000,-4400000,-4800000,-5600000,-6700000,-7600000,-7800000,-7100000,-8000000,-8900000,-600000,-600000,-400000,-15513000,-400000,-600000,7600000,3200000,1200000,-1000000,-1000000,-200000,1000000,1000000,1000000,743000,1000000,800000,600000,326000,1000000,-1000000,-1000000,-4000000,-6166000,-8168000,-2075000
66,Other Total Stockholders Equity,9600000,10100000,11100000,12100000,14100000,15200000,15400000,14500000,15600000,17000000,10800000,12900000,18700000,45721000,53800000,110600000,159000000,171940000,189410000,240766000,217859000,230081000,50710000,42520000,69253000,- -,131988000,154926000,160643000,148464000,112986000,137537000,162882000,106160000,70728000,34930000,- -
67,Total Stockholders Equity,4900000,5700000,7300000,9200000,10900000,11600000,12300000,12500000,12800000,14500000,23300000,34000000,54700000,79771000,125500000,242400000,298800000,341440000,379610000,424366000,438459000,481181000,348710000,378020000,405741000,528615000,630188000,694826000,535843000,551358000,528051000,605263000,665013000,682681000,676954000,698743000,737584000
68,Total Liabilities And Stockholders Equity,7600000,10000000,12500000,14500000,15300000,17200000,16200000,15500000,16700000,19000000,32700000,45700000,67200000,92556000,149400000,677300000,690400000,620540000,409510000,458066000,473759000,521681000,395410000,420820000,514294000,659943000,726288000,1171026000,948943000,929431000,911517000,1011542000,1085776000,1062881000,1052187000,1081892000,1130720000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-40000,90000,934000,-859000,19000,-10000,-20000,- -,- -,12000,-26000,-43000,- -,-1000,- -,- -,-101000,246000,210000,191000
70,Total Liabilities & Equity,7600000,10000000,12500000,14500000,15300000,17200000,16200000,15500000,16700000,19000000,32700000,45700000,67100000,92556000,149400000,677300000,690400000,620500000,409600000,459000000,472900000,521700000,395400000,420800000,514294000,659943000,726300000,1171000000,948900000,929431000,911516000,1011542000,1085776000,1062780000,1052433000,1082102000,1130911000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88941/000089843096001453/0000898430-96-001453-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88941/000102140803006503/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312504059865/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312505077787/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312506079819/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312507080940/0001193125-07-080940-index.html,https://www.sec.gov/Archives/edgar/data/88941/000119312508067303/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312509063579/0001193125-09-063579-index.html,https://www.sec.gov/Archives/edgar/data/88941/000119312510075183/0001193125-10-075183-index.html,- -,https://www.sec.gov/Archives/edgar/data/88941/000119312512140125/0001193125-12-140125-index.html,https://www.sec.gov/Archives/edgar/data/88941/000144530513000732/0001445305-13-000732-index.html,https://www.sec.gov/Archives/edgar/data/88941/000144530514001181/smtc-01262014x10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000162828015002037/smtc-01252015.htm,https://www.sec.gov/Archives/edgar/data/88941/000162828016013952/0001628280-16-013952-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828017002859/0001628280-17-002859-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828018003489/0001628280-18-003489-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828019003241/0001628280-19-003241-index.html,https://www.sec.gov/Archives/edgar/data/88941/000008894120000003/0000088941-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/88941/000008894121000006/0000088941-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/88941/000008894122000006/0000088941-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,800000,500000,700000,400000,100000,1200000,7500000,8500000,14800000,12895000,29400000,60200000,26000000,34200000,25800000,54900000,42000000,31100000,47800000,37500000,957000,72572000,89100000,41900000,-164500000,27947000,11497000,54661000,34649000,69639000,31866000,59867000,125645000
74,Depreciation and Amortization,- -,- -,- -,- -,1200000,1400000,1400000,1000000,1100000,1000000,1139000,1748000,2775000,3723000,4118000,8837000,10327000,9581000,9000000,9790000,11752000,11812000,10226000,8324000,8357000,16448000,18543000,49192000,94073000,69303000,48932000,47057000,48999000,49639000,39581000,35858000,35302000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-401000,-98000,-876000,-802000,-4536000,-13776000,-18516000,571000,8110000,167000,5490000,-2623000,-2140000,-900000,15824000,3184000,-2023000,-47623000,29987000,27000,-1012000,2185000,15232000,-16486000,-5596000,-7396000,-3782000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19935000,29010000,24020000,24528000,24589000,29629000,20468000,30828000,47936000,73859000,52049000,52986000,51189000
77,Change in Working Capital,- -,- -,- -,- -,-200000,700000,1500000,200000,- -,1600000,6500000,7600000,15900000,24444000,30856000,434300000,-128000000,17900000,-204400000,4900000,14200000,89800000,-69800000,24300000,-136114000,116087000,100427000,-112000000,34400000,5947000,-51313000,78119000,19571000,20366000,-5030000,-35843000,-9633000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,966000,-5002000,2827000,-2968000,25354000,-7403000,-1453000,-21499000,17296000,-8506000,-1074000
79,Inventory,- -,- -,- -,- -,100000,400000,-300000,200000,-900000,-1700000,-2673000,-3612000,-2566000,-955000,-9778000,-5014000,9742000,6377000,-5815000,-2568000,3957000,3173000,-8231000,848000,4269000,-14016000,676000,-4251000,12238000,-13290000,10262000,-1959000,-5515000,8444000,-9331000,-14484000,-26509000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10686000,5986000,-3354000,4453000,-11294000,-9077000,4980000,3101000,-5306000,7543000,2603000,3565000,-2145000
81,Other Working Capital,- -,- -,- -,- -,7400000,8100000,9600000,9800000,9800000,11400000,17900000,25500000,41400000,65844000,96700000,531000000,403000000,420900000,216500000,221400000,235600000,325400000,255600000,279900000,143786000,259873000,360300000,248300000,282700000,288647000,237334000,315453000,335024000,355390000,- -,- -,- -
