,https://roic.ai/company/BLD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,256590000,301470000,326680000,325933000,351401000,444260000,476754000,496477000,733426000
54,Long-Term Debt,- -,- -,- -,178457000,158800000,229387000,716622000,697955000,737145000,1587592000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,165390000,182280000,181254000,193715000,132840000,176212000,175263000,168568000,248243000
57,Other Non-Current Liabilities,- -,42280000,40390000,40129000,39124000,39402000,45339000,101102000,64299000,52835000
58,Total Non-Current Liabilities,- -,207670000,222670000,399840000,391639000,401629000,938173000,974320000,970012000,1888670000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,90104000,87241000,190087000
61,Total Liabilities,- -,464260000,524140000,726520000,717572000,753030000,1382433000,1451074000,1466489000,2622096000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,377000,385000,386000,387000,388000,389000,391000
64,Retained Earnings,- -,- -,- -,76376000,148982000,307115000,441867000,632862000,876660000,1200676000
65,Other Comprehensive Income/Loss,- -,-178240000,-199030000,-200063000,-200877000,-205102000,-221497000,-242977000,-267608000,-6634000
66,Other Total Stockholders Equity,- -,1180930000,1151320000,1039039000,1024057000,894120000,851341000,762616000,739353000,442001000
67,Total Stockholders Equity,- -,1002690000,952290000,915729000,972547000,996519000,1072098000,1152889000,1348794000,1636434000
68,Total Liabilities And Stockholders Equity,- -,1466950000,1476430000,1642249000,1690119000,1749549000,2454531000,2603963000,2815283000,4258530000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1466950000,1476430000,1642249000,1690119000,1749549000,2454531000,2603963000,2815283000,4258530000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1633931/000155837016003817/0001558370-16-003817-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837017001142/0001558370-17-001142-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837018001168/0001558370-18-001168-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837019001088/0001558370-19-001088-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837020001326/0001558370-20-001326-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837021001466/0001558370-21-001466-index.htm,https://www.sec.gov/Archives/edgar/data/1633931/000155837022001590/0001558370-22-001590-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-192100000,-12738000,9400000,78971000,72606000,158133000,134752000,190995000,247023000,324016000
74,Depreciation and Amortization,29640000,27488000,26080000,12108000,12011000,16453000,39419000,52700000,62410000,79390000
75,Deferred Income Tax,40530000,21609000,16710000,-16556000,13540000,-59535000,12936000,8888000,-4070000,-2818000
76,Stock Based Compensation,4050000,3903000,3760000,4651000,7669000,9889000,11317000,13658000,14752000,11316000
77,Change in Working Capital,11320000,53970000,-20200000,119911000,46939000,-40429000,100246000,42636000,136855000,-35225000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-8790000,-13376000,-8980000,-13608000,1370000,-14901000,-23297000,17433000,-11843000,-46518000
80,Accounts Payable,- -,27676000,- -,24008000,-11698000,17936000,29687000,-5124000,16844000,54961000
81,Other Working Capital,- -,53970000,33770000,153681000,200620000,160191000,260437000,303073000,439928000,- -
82,Other Non-Cash Items,4640000,-69560000,36110000,-143074000,-75980000,28681000,-131498000,-37100000,-99086000,26346000
83,Cash Provided by Operating Activities,-101920000,24672000,71860000,56011000,76785000,113192000,167172000,271777000,357884000,403025000
84,CAPEX,-11280000,-14008000,-13140000,-13644000,-14156000,-25308000,-52504000,-45536000,-40938000,-55546000
85,Acquisitions Net,7360000,- -,- -,- -,-3476000,-84090000,-500202000,-6952000,-83408000,-1267114000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-11020000,-260000,-11260000,1437000,831000,802000,887000,2346000,2463000,415000
89,Cash Used for Investing Activites,-3660000,-14268000,-11260000,-12207000,-16801000,-108596000,-551819000,-50142000,-121883000,-1322245000
90,Debt Repayment,- -,- -,- -,-5000000,-15000000,-411250000,-108399000,-27793000,-324948000,-433070000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-22296000,-139286000,-65025000,-110911000,-49151000,-35556000
93,Dividends Paid,- -,- -,- -,-200000000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,112920000,-18124000,-60650000,271079000,-1161000,468086000,602479000,947000,283298000,1197633000
95,Cash Used/Provided by Financing Activities,112920000,-18124000,-60650000,66079000,-38457000,-82450000,429055000,-137757000,-90801000,729007000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000
97,Net Change In Cash,7340000,-7720000,-50000,109883000,21527000,-77854000,44408000,83878000,145200000,-190228000
98,Cash at the End of Period,10740000,3021000,2970000,112848000,134375000,56521000,100929000,184807000,330007000,139779000
99,Cash at the Beginning of Period,3400000,10741000,3020000,2965000,112848000,134375000,56521000,100929000,184807000,330007000
100,Free Cash Flow,-113200000,10664000,58720000,42367000,62629000,87884000,114668000,226241000,316946000,347479000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1633931/000155837016003817/0001558370-16-003817-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837017001142/0001558370-17-001142-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837018001168/0001558370-18-001168-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837019001088/0001558370-19-001088-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837020001326/0001558370-20-001326-index.html,https://www.sec.gov/Archives/edgar/data/1633931/000155837021001466/0001558370-21-001466-index.htm,https://www.sec.gov/Archives/edgar/data/1633931/000155837022001590/0001558370-22-001590-index.htm
102,false,,,,,,,,,,
