,https://roic.ai/company/SCX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.2228,0.2046,0.1783,0.1622,0.1756,0.1311,0.0832,0.1150,0.1082,0.1475,0.1503,0.1593,0.1708,0.1497,0.1215,0.1023,0.0572,-0.0183,0.0332,0.0791,0.0163,0.0900,0.1141,0.0255,0.0472,0.0977,0.0420,0.0469,0.0899,0.0802,-0.0596,0.0446,0.0611,0.0786,-0.0587,0.1125
17,Operating Income,23900000,26100000,29000000,29400000,32600000,20300000,18000000,13200000,12900000,20800000,24700000,28600000,32300000,22000000,16733000,13072000,-1012000,-8079000,-4617000,2771000,-5704000,10230000,13531000,-360000,-2230000,12400000,-1850000,-1278000,11915000,8603000,-20445000,-1044000,4724000,11221000,-5303000,16566000
18,Operating Income ratio,0.1929,0.1835,0.1707,0.1595,0.1617,0.1077,0.0998,0.0755,0.0716,0.0971,0.1049,0.1142,0.1231,0.0947,0.0711,0.0579,-0.0055,-0.0460,-0.0256,0.0141,-0.0284,0.0460,0.0558,-0.0018,-0.0109,0.0506,-0.0071,-0.0052,0.0482,0.0356,-0.0975,-0.0050,0.0218,0.0492,-0.0263,0.0754
19,Total Other Income Expenses (Gains),-300000,-1700000,-4300000,-5900000,-4100000,-2900000,-3100000,-1400000,-2000000,1700000,1500000,1500000,1800000,1600000,467000,-1640000,-188000,-21000,-283000,2429000,-1196000,-1378000,3340000,-5193000,105000,839000,1961000,2074000,142000,1339000,70000,2582000,141000,-1611000,-14694000,860000
20,Income Before Tax,23600000,24400000,24700000,23500000,28500000,17400000,14900000,11800000,10900000,22500000,26200000,30100000,34100000,23600000,17200000,11432000,-1200000,-8100000,-4900000,5200000,-6900000,8852000,16871000,-5553000,-2125000,13239000,111000,796000,12057000,9942000,-20375000,1538000,4865000,9610000,-19997000,17426000
21,Income Before Tax Ratio,0.1905,0.1716,0.1454,0.1275,0.1414,0.0924,0.0826,0.0675,0.0605,0.1050,0.1113,0.1202,0.1300,0.1015,0.0731,0.0506,-0.0065,-0.0461,-0.0272,0.0265,-0.0343,0.0398,0.0696,-0.0273,-0.0104,0.0541,0.0004,0.0033,0.0488,0.0412,-0.0972,0.0074,0.0225,0.0421,-0.0993,0.0793
22,Income Tax expense (Gain),10900000,10000000,8900000,7100000,9700000,5300000,4400000,3100000,1800000,9000000,8800000,10200000,11100000,6900000,5700000,3335000,-800000,-3600000,-2500000,1200000,-3100000,2199000,6040000,-2333000,858000,6394000,-777000,958000,5345000,4698000,-6245000,547000,8498000,3531000,1842000,1893000
23,Net Income,12700000,14400000,15800000,16400000,18800000,12100000,2800000,8700000,9000000,13500000,17300000,19900000,23000000,16700000,11500000,8097000,-400000,-10600000,-2400000,4000000,-3800000,6653000,10831000,-3220000,-2983000,6845000,888000,-162000,6712000,5244000,-14130000,991000,-3633000,6079000,-21839000,15533000
24,Net Income ratio,0.1025,0.1013,0.0930,0.0890,0.0933,0.0642,0.0155,0.0498,0.0499,0.0630,0.0735,0.0794,0.0877,0.0719,0.0489,0.0359,-0.0022,-0.0603,-0.0133,0.0204,-0.0189,0.0299,0.0447,-0.0158,-0.0146,0.0280,0.0034,-0.0007,0.0272,0.0217,-0.0674,0.0048,-0.0168,0.0267,-0.1084,0.0707
25,EPS,1.77,2.06,2.29,2.36,2.71,1.74,0.40,1.25,1.28,1.91,2.45,2.84,3.34,2.44,1.73,1.26,-0.06,-1.60,-0.35,0.61,-0.57,1.00,1.64,-0.49,-0.45,1.02,0.13,-0.02,0.97,0.75,-2.01,0.14,-0.52,0.87,-3.14,2.20
26,EPS Diluted,1.77,2.06,2.29,2.36,2.71,1.74,0.40,1.25,1.28,1.91,2.45,2.84,3.33,2.44,1.73,1.25,-0.06,-1.60,-0.35,0.60,-0.57,1.00,1.64,-0.49,-0.45,1.02,0.13,-0.02,0.97,0.75,-2.01,0.14,-0.52,0.87,-3.14,2.11
27,Weighted Average Shares Outstanding,7175141,6990291,6899563,6949153,6937269,6954023,7000000,6960000,7031250,7068063,7061224,7007042,6886228,6844262,6641040,6426190,6333333,6608000,6649000,6647000,6664000,6663000,6596000,6622000,6667000,6698000,6757000,6797000,6926000,6983000,7017000,7048000,7014000,6957000,6949000,7070000
28,Weighted Average Shares Outstanding Diluted,7175141,6990291,6899563,6949153,6937269,6954023,7000000,6960000,7125000,7068063,7061224,7035176,6906907,6844262,6641040,6477600,6333333,6608000,6653000,6660000,6664000,6671000,6605000,6628000,6667000,6717000,6794000,6797000,6955000,7023000,7017000,7081000,7014000,7026000,6949000,7367000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000009367694000010/0000093676-94-000010-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367695000010/0000093676-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367696000007/0000093676-96-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000009367600500006/0000093676-00-500006-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367601500011/0000093676-01-500011-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000119312506195818/0001193125-06-195818-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000143774911006794/0001437749-11-006794-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774912009437/0001437749-12-009437-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774913011657/0001437749-13-011657-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774914016832/0001437749-14-016832-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774915016368/0001437749-15-016368-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774916038031/0001437749-16-038031-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774917015326/0001437749-17-015326-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774918016125/0001437749-18-016125-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774919017436/0001437749-19-017436-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774920020023/0001437749-20-020023-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000009367621000016/0000093676-21-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,29400000,2600000,1400000,3100000,3700000,300000,2000000,1945000,1700000,3300000,2500000,4500000,4000000,7708000,6515000,10248000,20478000,21572000,17502000,19755000,16233000,11108000,19794000,14607000,14827000,15582000,13458000,9105000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,27800000,27400000,27100000,16900000,12000000,8238000,10500000,22000000,32000000,28600000,19400000,14503000,19806000,1791000,1250000,6421000,6282000,7657000,8723000,7855000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,29400000,31100000,29200000,30500000,30800000,17200000,14000000,10183000,12200000,25300000,34500000,33100000,23400000,22211000,26321000,12039000,21728000,27993000,23784000,27412000,24956000,18963000,19794000,14607000,14827000,15582000,13458000,9105000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,29100000,38700000,37700000,36600000,40800000,36000000,36500000,34080000,32400000,32200000,33400000,30600000,31800000,37314000,39627000,27233000,33707000,45567000,42167000,37875000,43712000,40311000,34367000,30425000,33089000,35980000,29012000,35076000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,53200000,56200000,70300000,75800000,73800000,78000000,79900000,84834000,76600000,54000000,43300000,57000000,56000000,57316000,61157000,60226000,46156000,58789000,69895000,56501000,65582000,63003000,56321000,58097000,58039000,61790000,52987000,60572000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4800000,4600000,4800000,4700000,5300000,6200000,7300000,5830000,5900000,9700000,11600000,9800000,8200000,8786000,11531000,13224000,8810000,11594000,15384000,12160000,12756000,11136000,10429000,6994000,7273000,6623000,8641000,14467000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,116500000,130600000,142000000,147600000,150700000,137400000,137700000,134927000,127100000,121200000,122800000,130500000,119400000,125627000,138636000,112722000,110401000,143943000,151230000,133948000,147006000,133413000,120911000,110123000,113228000,119975000,104098000,119220000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,57400000,58100000,59600000,64100000,68800000,73900000,75700000,75205000,71400000,67100000,62900000,60800000,60900000,61536000,60945000,59727000,56529000,56265000,53597000,51200000,51537000,44413000,41010000,39345000,36514000,36679000,41555000,40290000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,8800000,8500000,8100000,7800000,7500000,7100000,6700000,6354000,6100000,- -,- -,- -,8600000,5260000,6032000,981000,- -,- -,3034000,3034000,3034000,3034000,3034000,4668000,4668000,4668000,1015000,1015000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,4063000,3764000,2517000,1303000,- -,8755000,8222000,7760000,7125000,6490000,9868000,9317000,8460000,4997000,4888000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,8800000,8500000,8100000,7800000,7500000,7100000,6700000,6354000,6100000,- -,- -,- -,12500000,9323000,9796000,3498000,1303000,231000,11789000,11256000,10794000,10159000,9524000,14536000,13985000,13128000,6012000,5903000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,7100000,8100000,8000000,8200000,9400000,11900000,14000000,- -,16000000,14700000,14200000,10600000,2600000,- -,- -,15212000,26115000,21407000,29842000,28274000,24238000,18803000,25284000,26032000,16739000,18639000,21018000,19073000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,8200000,8600000,9600000,11000000,13900000,15400000,16300000,32046000,18500000,16700000,19000000,22200000,32700000,37525000,40908000,3082000,5786000,5333000,5708000,6116000,5673000,5484000,4869000,2629000,1820000,1666000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,81500000,83300000,85300000,91100000,99600000,108300000,112700000,113605000,112000000,98500000,96100000,93600000,108700000,108384000,111649000,81519000,89733000,83236000,100936000,96846000,92242000,78859000,80687000,82542000,69058000,70112000,68585000,65266000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,198000000,213900000,227300000,238700000,250300000,245700000,250400000,248532000,239100000,219700000,218900000,224100000,228100000,234011000,250285000,194241000,200134000,227179000,252166000,230794000,239248000,212272000,201598000,192665000,182286000,190087000,172683000,184486000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14358000,- -,- -,- -,16867000,15744000,16674000,18041000,- -,- -,- -,- -,17084000,9980000,9471000,8981000,8366000,9836000,12881000,7579000,17229000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,3000000,6700000,5045000,1000000,3600000,2100000,3800000,5100000,4737000,4121000,10136000,2696000,8238000,1800000,1375000,10410000,1474000,1543000,11514000,3655000,4065000,3935000,17609000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10551000,2627000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,20000000,26200000,29900000,27800000,25000000,21300000,22700000,5743000,18000000,16800000,20600000,-6018000,7629000,4869000,6907000,15478000,22777000,29159000,28211000,5486000,15296000,12654000,11294000,10859000,12696000,15734000,16320000,16851000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,20000000,26200000,29900000,27800000,25400000,24300000,29400000,25146000,19000000,20400000,22700000,25200000,31100000,26280000,29069000,25614000,25473000,37397000,30011000,23945000,35686000,23599000,21818000,30739000,26187000,32680000,27834000,51689000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,10800000,8700000,7100000,6500000,3900000,3300000,3000000,7000000,7000000,2700000,2500000,2900000,13100000,8520000,5834000,1264000,706000,721000,29387000,24037000,10726000,18552000,17109000,6095000,17307000,17541000,26341000,8744000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15218000,- -,- -,- -,- -,- -,5125000,6312000,- -,2436000,2806000,2530000,2182000,2037000,1548000,187000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,20600000,22200000,23000000,24000000,25700000,28100000,30000000,16347000,32800000,31700000,31400000,27600000,18600000,16093000,22297000,24485000,39137000,32917000,62400000,53888000,54485000,54143000,70971000,63805000,50921000,56487000,72525000,40518000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,31400000,30900000,30100000,30500000,29600000,31400000,33000000,38565000,39800000,34400000,33900000,30500000,31700000,29738000,34443000,25749000,42279000,36444000,94317000,80107000,67248000,74243000,88267000,69900000,68228000,74028000,98866000,49262000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,397000,216000,78000,- -,- -,- -,- -,4560000,4384000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,51400000,57100000,60000000,58300000,55000000,55700000,62400000,63711000,58800000,54800000,56600000,55700000,62800000,56018000,63512000,51363000,67752000,73841000,124328000,104052000,102934000,97842000,110085000,100639000,94415000,106708000,126700000,100951000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,7100000,7100000,7100000,6900000,6900000,6700000,6500000,6458000,6500000,6700000,6600000,6700000,6700000,6595000,6614000,6639000,6680000,6734000,6770000,6827000,6961000,7013000,7023000,7030000,7022000,6897000,6988000,7109000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,113100000,119500000,128300000,137800000,151300000,155300000,155800000,156626000,150000000,134500000,129300000,130400000,123900000,127902000,134109000,127707000,122724000,97702000,94661000,91778000,95715000,98164000,81228000,79402000,74368000,80487000,58648000,74181000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-10600000,-8200000,-9400000,-6400000,-8400000,-29400000,-35200000,-73611000,-48200000,-52200000,-47200000,-38200000,-31800000,-5786000,-3563000,-41452000,-47395000,-2000000,-26000000,-24000000,-20000000,-46000000,-52000000,-50000000,-49000000,-59000000,-75000000,-54262000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,37000000,38400000,41300000,42200000,45500000,57400000,60900000,95348000,72000000,75951000,73583000,69526000,66442000,- -,- -,- -,- -,50902000,52407000,52137000,53638000,55253000,55262000,55594000,55481000,54995000,55347000,56507000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,146600000,156800000,167300000,180500000,195300000,190000000,188000000,184821000,180300000,164951000,162283000,168426000,165242000,177993000,186773000,142878000,132382000,153338000,127838000,126742000,136314000,114430000,91513000,92026000,87871000,83379000,45983000,83535000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,198000000,213900000,227300000,238800000,250300000,245700000,250400000,248532000,239100000,219751000,218883000,224126000,228042000,234011000,250285000,194241000,200134000,227179000,252166000,230794000,239248000,212272000,201598000,192665000,182286000,190087000,172683000,184486000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-51000,17000,-26000,58000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,198000000,213900000,227300000,238700000,250300000,245700000,250400000,248532000,239100000,219700000,218900000,224100000,228100000,234011000,250285000,194241000,200134000,227179000,252166000,230794000,239248000,212272000,201598000,192665000,182286000,190087000,172683000,184486000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/93676/000009367694000010/0000093676-94-000010-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367695000010/0000093676-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367696000007/0000093676-96-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000009367600500006/0000093676-00-500006-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367601500011/0000093676-01-500011-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000119312506195818/0001193125-06-195818-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000143774911006794/0001437749-11-006794-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774912009437/0001437749-12-009437-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774913011657/0001437749-13-011657-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774914016832/0001437749-14-016832-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774915016368/0001437749-15-016368-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774916038031/0001437749-16-038031-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774917015326/0001437749-17-015326-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774918016125/0001437749-18-016125-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774919017436/0001437749-19-017436-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774920020023/0001437749-20-020023-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000009367621000016/0000093676-21-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,18800000,12100000,2800000,8700000,9000000,13500000,17300000,19900000,23000000,16700000,11500000,8097000,-400000,-10600000,-2400000,4000000,-3800000,6653000,10831000,-3220000,-2983000,6845000,888000,-162000,6712000,5244000,-14130000,991000,-3633000,6079000,-21839000,15533000
74,Depreciation and Amortization,- -,- -,- -,- -,6900000,7300000,7800000,8300000,8700000,9100000,9300000,9800000,10700000,11200000,11380000,11662000,11741000,10988000,10880000,10303000,10165000,11150000,10775000,9896000,11249000,10423000,10098000,9675000,9358000,8717000,7214000,7026000,7511000,7338000,7196000,6292000
75,Deferred Income Tax,- -,- -,- -,- -,500000,900000,200000,1200000,-300000,1100000,- -,-400000,1900000,2100000,2108000,97000,561000,-3875000,-3331000,-687000,-3814000,1646000,1221000,-6145000,-3795000,-600000,-5079000,-264000,2109000,3399000,-7144000,366000,7308000,1182000,79000,-2876000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,773000,251000,362000,404000,410000,298000,379000,530000,823000
77,Change in Working Capital,- -,- -,- -,- -,5700000,- -,- -,- -,96500000,7900000,7700000,7700000,5500000,-12200000,-4800000,1481000,-1681000,-7300000,-700000,5200000,-17000000,11047000,10220000,-22459000,-2180000,21618000,14673000,-11216000,1317000,-1506000,-10721000,-19709000,7657000,254000,-11031000,-8733000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2377000,-4491000,-2615000,2774000,3863000,-4282000,-3210000,2284000,-3009000
79,Inventory,- -,- -,- -,- -,-4400000,1500000,2600000,4100000,- -,-2600000,-14300000,-4800000,1500000,-9100000,-3357000,-9261000,7656000,22345000,11109000,-11071000,4182000,2252000,-45000,-4233000,15903000,-9019000,-15774000,11994000,-7526000,-6185000,3615000,-2498000,-3461000,-4204000,1603000,-3694000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,96500000,104400000,112100000,119800000,125300000,113100000,108300000,109781000,108100000,100800000,100100000,105300000,88300000,99347000,109567000,87108000,84928000,106546000,121219000,110003000,111320000,109814000,99093000,79384000,87041000,87295000,76264000,67531000
82,Other Non-Cash Items,- -,- -,- -,- -,5200000,-900000,18700000,3600000,-97500000,-13600000,-16500000,-13500000,-12400000,-1500000,-1366000,-8838000,7479000,35123000,14450000,-16268000,22905000,-17647000,-14035000,22587000,27167000,-33097000,-17056000,21525000,-8944000,-9416000,38713000,13804000,-15086000,-6835000,23902000,-6471000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,37100000,19400000,29500000,21800000,16400000,18000000,17800000,23500000,28700000,16300000,18822000,12499000,17700000,24336000,18899000,2548000,8456000,12849000,19012000,659000,29458000,5189000,3524000,20331000,10803000,6800000,14336000,2888000,4055000,8397000,-1163000,4568000
84,CAPEX,- -,- -,- -,- -,-12500000,-2900000,-15500000,-7500000,-6600000,-9800000,-11600000,-14000000,-16100000,-20300000,-13974000,-13198000,-8028000,-5860000,-6345000,-6848000,-6476000,-6574000,-10984000,-9443000,-9266000,-6772000,-10800000,-7788000,-8464000,-5700000,-8240000,-5836000,-5762000,-7227000,-10600000,-5707000
