,https://roic.ai/company/SEE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,184011590,85034014,166624000,166785714,166894301,166677049,172816190,160400000,191644444,190185874,187098976,186772487,189300000,182600000,176700000,185400000,192800000,213500000,213900000,206700000,197200000,188900000,160200000,155200000,156000000,152400000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1012100/000095014498003526/0000950144-98-003526-index.html,https://www.sec.gov/Archives/edgar/data/1012100/000093041399000449/0000930413-99-000449-index.html,https://www.sec.gov/Archives/edgar/data/1012100/000091205700013759/0000912057-00-013759-index.html,- -,https://www.sec.gov/Archives/edgar/data/1012100/000091205702011972/0000912057-02-011972-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746903010963/0001047469-03-010963-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746904007565/0001047469-04-007565-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746905007189/0001047469-05-007189-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746906003481/0001047469-06-003481-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000110465907015123/0001104659-07-015123-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746908002080/0001047469-08-002080-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746909002102/0001047469-09-002102-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746910001622/0001047469-10-001622-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000095012311018492/0000950123-11-018492-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000119312512088645/0001193125-12-088645-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000119312513087879/0001193125-13-087879-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000119312514076159/0001193125-14-076159-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000156459015001072/0001564590-15-001072-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000156459016013004/0001564590-16-013004-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000156459017001648/0001564590-17-001648-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828018001957/0001628280-18-001957-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828019001538/0001628280-19-001538-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828020002658/0001628280-20-002658-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828021003329/0001628280-21-003329-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828022003294/0001628280-22-003294-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,68300000,35500000,45000000,13700000,11229000,13805000,126751000,365000000,358000000,455800000,373100000,430300000,128900000,694500000,675600000,722800000,679600000,992400000,322600000,358400000,363700000,594000000,271700000,262400000,548700000,561000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,54100000,44100000,33900000,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,68300000,35500000,45000000,13700000,11229000,13805000,126751000,365000000,412100000,499900000,407000000,430300000,128900000,694500000,675600000,722800000,679600000,992400000,322600000,359400000,363700000,594000000,271700000,262400000,548700000,561000000
34,Net Receivables,831400000,140400000,453100000,470000000,505935000,418161000,546761000,615200000,662500000,674000000,721300000,789800000,682800000,666700000,697100000,1385800000,1326000000,1274300000,1406300000,905900000,1053200000,727700000,613100000,669600000,681700000,732800000
35,Inventory,376100000,58900000,275300000,245900000,309116000,288570000,329449000,371200000,417900000,409100000,509400000,581700000,564300000,469400000,495800000,798100000,736400000,688400000,707600000,660800000,659900000,506800000,544900000,570300000,596700000,725700000
36,Other Current Assets,499100000,16000000,71200000,73600000,50800000,55816000,53297000,76400000,118700000,112400000,119000000,134300000,296700000,242800000,171500000,355900000,480400000,462600000,255100000,289500000,138500000,37900000,125100000,61700000,54400000,50100000
37,Total Current Assets,1774900000,250800000,844600000,803200000,877080000,776352000,1056258000,1427800000,1611200000,1695400000,1756700000,1936100000,1672700000,2073400000,2040000000,3262600000,3222400000,3417700000,2691600000,2215600000,2215300000,1866400000,1554800000,1564000000,1881500000,2069600000
38,PP&E,1871300000,171100000,1116600000,1023400000,1032141000,1050438000,1013017000,1042400000,1008600000,911200000,970100000,1080100000,1051400000,1010700000,948300000,1322100000,1212800000,1134500000,993200000,930700000,1060300000,998400000,1036200000,1232000000,1265800000,1295800000
39,Goodwill,40600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1957100000,1969700000,1938100000,1948700000,1945900000,4220500000,3191400000,3114600000,3005500000,2909500000,2855600000,1939800000,1947600000,2216900000,2223000000,2189400000
40,Intangible Assets,- -,52600000,1907700000,1860000000,1959909000,1913000000,1926244000,1939500000,1953400000,1908800000,- -,- -,- -,- -,- -,2103200000,1139700000,1016900000,872200000,784300000,710100000,83600000,101700000,182100000,171000000,152600000
41,Intangible Assets,40600000,52600000,1907700000,1860000000,1959909000,1913000000,1926244000,1939500000,1953400000,1908800000,1957100000,1969700000,1938100000,1948700000,1945900000,6323700000,4331100000,4131500000,3877700000,3693800000,3565700000,2023400000,2049300000,2399000000,2394000000,2342000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,309200000,- -,- -,- -,- -,5686000,84243000,85000000,66300000,130400000,175400000,163200000,84100000,146000000,179600000,129300000,255800000,63100000,105900000,204700000,210500000,176200000,170500000,238600000,187100000,138400000
44,Other Non-Current Assets,949800000,23900000,171000000,168600000,178968000,162433000,181004000,209400000,215500000,218400000,161600000,289200000,239700000,241300000,285600000,459000000,415100000,387400000,373300000,381200000,337300000,215900000,239400000,331600000,355800000,383500000
45,Total Non-Current Assets,3170900000,247600000,3195300000,3052000000,3171018000,3131557000,3204508000,3276300000,3243800000,3168800000,3264200000,3502200000,3313300000,3346700000,3359400000,8234100000,6214800000,5716500000,5350100000,5210400000,5173800000,3413900000,3495400000,4201200000,4202700000,4159700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4945800000,498400000,4039900000,3855200000,4048098000,3907909000,4260766000,4704100000,4855000000,4864200000,5020900000,5438300000,4986000000,5420100000,5399400000,11496700000,9437200000,9134200000,8041700000,7426000000,7389100000,5280300000,5050200000,5765200000,6084200000,6229300000
48,Accounts Payable,274700000,48800000,176600000,175200000,154881000,135533000,167039000,191700000,248500000,250300000,283900000,316300000,277200000,214200000,232000000,619000000,483800000,524500000,638700000,675300000,885700000,723800000,765000000,738500000,754200000,959900000
49,Short-Term Debt,315200000,26600000,85200000,159600000,291846000,137491000,55404000,20600000,23600000,21800000,25700000,340200000,189100000,34700000,30000000,36400000,41000000,283100000,131500000,288500000,420700000,27500000,237700000,115600000,53800000,509700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,22700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,897200000,88200000,273200000,247300000,227841000,353956000,930311000,978100000,1031700000,1261400000,1096500000,1085100000,1155900000,1184900000,1185700000,1728100000,1808800000,1893200000,960700000,843300000,812500000,626900000,485900000,582100000,559400000,537700000
53,Total Current Liabilities,1487100000,163600000,535000000,582100000,674568000,626980000,1152754000,1190400000,1303800000,1533500000,1406100000,1741600000,1622200000,1433800000,1447700000,2383500000,2333600000,2700800000,1730900000,1807100000,2118900000,1378200000,1488600000,1436200000,1367400000,2007300000
54,Long-Term Debt,1073000000,48500000,996500000,665100000,944453000,788111000,868030000,2259800000,2088000000,1813000000,1826600000,1531600000,1289900000,1626300000,1399200000,5010900000,4540800000,4116400000,4282500000,4302700000,3938300000,3230500000,3236500000,3698600000,3784600000,3264100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,43500000,16600000,200700000,214900000,210581000,210830000,31037000,34900000,26900000,23900000,7600000,9900000,5800000,6400000,8000000,532000000,472500000,278600000,161500000,75000000,51000000,28500000,20400000,30700000,31000000,46700000
57,Other Non-Current Liabilities,1709800000,12400000,79700000,80400000,72994000,1431836000,1395985000,95400000,102800000,101700000,125800000,135600000,143500000,153300000,142900000,617900000,646000000,647900000,704000000,714100000,671200000,490800000,653300000,795900000,728300000,662500000
58,Total Non-Current Liabilities,2826300000,77500000,1276900000,960400000,1228028000,2430777000,2295052000,2390100000,2217700000,1938600000,1960000000,1677100000,1439200000,1786000000,1550100000,6160800000,5659300000,5042900000,5148000000,5091800000,4660500000,3749800000,3910200000,4525200000,4543900000,3973300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91900000,111900000,95100000
61,Total Liabilities,4313400000,241100000,1811900000,1542500000,1902596000,3057757000,3447806000,3580500000,3521500000,3472100000,3366100000,3418700000,3061400000,3219800000,2997800000,8544300000,7992900000,7743700000,6878900000,6898900000,6779400000,5128000000,5398800000,5961400000,5911300000,5980600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,800000,- -,- -,8400000,8435000,8449000,8476000,8600000,8600000,9500000,8600000,16800000,16800000,18700000,18800000,22100000,22400000,22400000,22500000,22600000,22800000,23000000,23200000,23200000,23200000,23200000
64,Retained Earnings,172600000,95900000,-8000000,132100000,293126000,394799000,31885000,243700000,459300000,715100000,972400000,1260800000,1364300000,1531100000,1706100000,1766500000,254800000,276400000,448500000,675200000,1040000000,1735200000,1835500000,1998500000,2400700000,2790700000
65,Other Comprehensive Income/Loss,- -,-144100000,-829500000,-922700000,-1011337000,-1109734000,-1279444000,-1523800000,-1704900000,-1741500000,-1911500000,-2018500000,-1992400000,-2141900000,-2200500000,-2288800000,-2433900000,-2491200000,-614000000,-820000000,-949000000,-845000000,-920000000,-909000000,-963500000,-933900000
66,Other Total Stockholders Equity,459000000,305500000,3065500000,3094900000,2855278000,1556638000,2052043000,2395100000,2570500000,2409000000,2585300000,2760500000,2535900000,2791700000,2880200000,3457700000,3600500000,3581500000,1305800000,649300000,495900000,-760900000,-1287300000,-1308900000,-1287900000,-1631300000
67,Total Stockholders Equity,632400000,257300000,2228000000,2312700000,2145502000,850152000,812960000,1123600000,1333500000,1392100000,1654800000,2019600000,1924600000,2199600000,2404600000,2957500000,1443800000,1389100000,1162800000,527100000,609700000,152300000,-348600000,-196200000,172500000,248700000
68,Total Liabilities And Stockholders Equity,4945800000,498400000,4039900000,3855200000,4048098000,3907909000,4260766000,4704100000,4855000000,4864200000,5020900000,5438300000,4986000000,5419400000,5402400000,11501800000,9436700000,9132800000,8041700000,7426000000,7389100000,5280300000,5050200000,5765200000,6083800000,6229300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,-3000000,-5100000,500000,1400000,- -,- -,- -,- -,- -,- -,400000,- -
70,Total Liabilities & Equity,4945800000,498400000,4039900000,3855200000,4048098000,3907909000,4260766000,4704100000,4855000000,4864200000,5020900000,5438300000,4986000000,5420100000,5399400000,11496700000,9437200000,9134200000,8041700000,7426000000,7389100000,5280300000,5050200000,5765200000,6084200000,6229300000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1012100/000095014498003526/0000950144-98-003526-index.html,https://www.sec.gov/Archives/edgar/data/1012100/000093041399000449/0000930413-99-000449-index.html,https://www.sec.gov/Archives/edgar/data/1012100/000091205700013759/0000912057-00-013759-index.html,- -,https://www.sec.gov/Archives/edgar/data/1012100/000091205702011972/0000912057-02-011972-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746903010963/0001047469-03-010963-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746904007565/0001047469-04-007565-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746905007189/0001047469-05-007189-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746906003481/0001047469-06-003481-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000110465907015123/0001104659-07-015123-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746908002080/0001047469-08-002080-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746909002102/0001047469-09-002102-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000104746910001622/0001047469-10-001622-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000095012311018492/0000950123-11-018492-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000119312512088645/0001193125-12-088645-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000119312513087879/0001193125-13-087879-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000119312514076159/0001193125-14-076159-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000156459015001072/0001564590-15-001072-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000156459016013004/0001564590-16-013004-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000156459017001648/0001564590-17-001648-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828018001957/0001628280-18-001957-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828019001538/0001628280-19-001538-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828020002658/0001628280-20-002658-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828021003329/0001628280-21-003329-index.htm,https://www.sec.gov/Archives/edgar/data/1012100/000162828022003294/0001628280-22-003294-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2857700000,79900000,73000000,211500000,225319000,156697000,-309069000,240400000,215600000,255800000,274100000,353000000,179900000,244300000,255900000,149100000,-1410300000,124200000,258100000,335400000,486400000,814900000,193100000,263000000,502900000,506800000
74,Depreciation and Amortization,184400000,45800000,196000000,223600000,219959000,221177000,165699000,173600000,182700000,177800000,170800000,168800000,171500000,154500000,154700000,189500000,304000000,283400000,266700000,213300000,214000000,149300000,131200000,150800000,174200000,186400000
75,Deferred Income Tax,- -,-2900000,24000000,19400000,20361000,-9083000,-257208000,-23400000,-32700000,-29800000,-44700000,-28500000,-39500000,-16600000,-3300000,-55600000,-318400000,7000000,136100000,-22600000,-61700000,121000000,10900000,-55000000,81700000,37300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38800000,30600000,25000000,16900000,24100000,54100000,61200000,59900000,44900000,29200000,32900000,41700000,43500000
77,Change in Working Capital,-110900000,-200600000,222400000,-88500000,-18588000,-53140000,-245868000,333896000,70000000,-145500000,188700000,-156100000,-144000000,589100000,-47300000,286800000,9700000,-171900000,243800000,-552200000,-312100000,391800000,-422000000,61600000,386300000,-68400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000000,- -,- -,-27200000,35500000,-21100000,36700000,-33900000,-81400000,-900000,38100000,27400000,-110900000
79,Inventory,51900000,-5000000,33100000,21200000,-54710000,16531000,-32576000,-11600000,-29100000,-7000000,-33600000,-49300000,-23600000,109700000,-19400000,-9000000,32400000,24500000,-48600000,-38300000,-17100000,-55400000,-61200000,12400000,-25200000,-165700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68400000,19000000,-14400000,-83800000,36300000,159400000,81300000,228000000,154100000,42600000,-37000000,800000,206100000
81,Other Working Capital,287800000,87200000,309600000,221100000,202512000,149372000,-96496000,237400000,307400000,161900000,350600000,194500000,50500000,639600000,592300000,879100000,888800000,716900000,960700000,408500000,96400000,488200000,66200000,127800000,514100000,2100000
82,Other Non-Cash Items,-2707900000,186100000,-103800000,64400000,-117638000,263042000,970385000,-254796000,600000,99900000,-156000000,40900000,236500000,-458100000,92500000,-202700000,1795100000,364400000,-1160700000,932600000,520400000,-1097500000,485600000,57800000,-449800000,4100000
83,Cash Provided by Operating Activities,223300000,108300000,411600000,430400000,329413000,578693000,323939000,469700000,436200000,358200000,432900000,378100000,404400000,552000000,483100000,392100000,397000000,631200000,-201900000,967700000,906900000,424400000,428000000,511100000,737000000,709700000
84,CAPEX,-456600000,-24300000,-82400000,-100900000,-114197000,-146277000,-91625000,-124300000,-102700000,-96900000,-167900000,-254100000,-180700000,-80300000,-87600000,-124500000,-124400000,-116000000,-153900000,-184000000,-275700000,-183800000,-168600000,-189700000,-181100000,-213100000
85,Acquisitions Net,- -,- -,- -,- -,-237541000,-36007000,-10465000,-2500000,-6400000,-200000,-53300000,-32900000,-2900000,- -,- -,-1995100000,-2600000,- -,-3600000,67100000,2000000,2066200000,-84400000,-455200000,5400000,71300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-403000000,-339800000,-273600000,-388300000,- -,- -,- -,-262900000,- -,- -,- -,- -,-46000000,-70500000,-11100000,-20700000,- -,-18000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,416100000,349800000,283700000,413500000,- -,- -,12600000,- -,- -,- -,- -,24000000,- -,- -,- -,- -,15400000,8400000
88,Other Investing Activites,2072900000,-9700000,44100000,3600000,2749000,4352000,5202000,3400000,5000000,3300000,8600000,-12300000,6900000,10000000,-21900000,-112400000,199800000,15100000,-137900000,-151100000,-270800000,-182100000,-171200000,-189700000,-180600000,-187400000
89,Cash Used for Investing Activites,2072900000,-34000000,-38300000,-97300000,-348989000,-177932000,-96888000,-123400000,-91000000,-83800000,-202500000,-274100000,-176700000,-70300000,-96900000,-2370400000,197200000,15100000,-141500000,-60000000,-314800000,1813600000,-266700000,-665600000,-159800000,-125700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600600000,-280500000,-1797500000,-1788700000,-666000000,-2314900000,-763100000,-27100000,-369500000,-1600000,-434300000,-17200000,-626800000
91,Common Stock Issued,70700000,- -,- -,5800000,1503000,504000,917000,4700000,1100000,2500000,2800000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1319300000,-8800000,-25300000,-41800000,-346821000,-18754000,-28834000,-1334800000,-86200000,-116400000,-52400000,-6800000,-95100000,- -,-9800000,-12200000,-9600000,-3900000,-187000000,-802000000,-247700000,-1324200000,-590500000,-67300000,-33000000,-403100000
93,Dividends Paid,-46000000,- -,-36000000,-71600000,-67880000,-69185000,-40548000,-41900000,- -,- -,-48600000,-64600000,-76400000,-75700000,-79700000,-87400000,-100900000,-102000000,-110900000,-106800000,-121600000,-119700000,-104100000,-99100000,-100400000,-115600000
94,Other Financing Activites,-973200000,-32400000,-263800000,-259600000,420869000,-315148000,-33036000,1263100000,-215200000,-4500000,-251800000,11200000,-391400000,766600000,-3000000,3920700000,1269900000,452100000,2308700000,896600000,-144500000,-50900000,217900000,740600000,-111100000,569700000
95,Cash Used/Provided by Financing Activities,-2267800000,-41200000,-325100000,-367200000,7671000,-402583000,-101501000,-108900000,-300300000,-118400000,-350000000,-59500000,-562900000,90300000,-373000000,2023600000,-629300000,-319800000,-304100000,-775300000,-540900000,-1864300000,-478300000,139900000,-261700000,-575800000
96,Effect of Forex Changes on Cash,-700000,-600000,-3300000,2800000,9462000,4398000,-12604000,800000,15300000,-58200000,36900000,12700000,33800000,-6400000,-32100000,1900000,11100000,-13700000,-22300000,-60400000,-39200000,-113400000,-5300000,5300000,-29200000,4100000
97,Net Change In Cash,27700000,-41200000,-325100000,-31300000,-2443000,2576000,112946000,238200000,60200000,97800000,-82700000,57200000,-301400000,565600000,-18900000,47200000,-24000000,312800000,-669800000,72000000,12000000,260300000,-322300000,-9300000,286300000,12300000
98,Cash at the End of Period,68300000,- -,- -,13700000,11229000,13805000,126751000,365000000,358000000,455800000,373100000,430300000,128900000,694500000,675600000,722800000,679600000,992400000,322600000,358400000,363700000,594000000,271700000,262400000,548700000,561000000
