,https://roic.ai/company/SP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,30941000,41796000,53392000,61349000,43584000,46900000,44226000,46249000,46866000,50131000,53678000,50535000,53952000,54915000,99904000,130124000,131865000,131300000,123700000,103900000,108900000,138400000,114700000,113300000
11,COGS and Expenses,186171000,234890000,245737000,248176000,533802000,531735000,543974000,563066000,576954000,588707000,663642000,667270000,688194000,695995000,944091000,1424822000,1475221000,1577100000,1562800000,1509100000,1393300000,1574000000,1171200000,1110700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000,249000,537000,382000,643000,402000,200000,500000,600000,400000,300000,500000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6012000,5335000,4691000,8449000,19034000,17815000,12700000,10500000,9200000,9600000,18900000,21500000,- -
14,Depreciation and Amortization,7435000,9343000,12635000,15501000,7554000,7501000,6664000,6367000,5686000,5462000,5475000,5460000,6018000,6671000,13329000,29595000,30372000,34100000,34200000,21700000,18800000,29300000,29300000,25100000
15,EBITDA,-15510000,623000,1657000,-19547000,4158000,6144000,16973000,21072000,26557000,34102000,36142000,33829000,38948000,40497000,22524000,69539000,71088000,69000000,83600000,99800000,101200000,116400000,-189500000,67300000
16,EBITDA ratio,-0.0793,0.0025,0.0066,-0.0802,0.0076,0.0113,0.0301,0.0359,0.0438,0.0546,0.0516,0.0486,0.0540,0.0555,0.0236,0.0474,0.0469,0.0427,0.0517,0.0627,0.0689,0.0700,-0.1743,0.0572
17,Operating Income,-8704000,7432000,6745000,-4362000,12749000,13802000,19661000,23588000,28991000,35532000,37118000,28224000,32949000,33667000,9847000,41977000,39471000,38800000,52700000,81400000,75100000,89700000,-219600000,66500000
18,Operating Income ratio,-0.0445,0.0300,0.0267,-0.0179,0.0233,0.0253,0.0349,0.0402,0.0478,0.0569,0.0530,0.0406,0.0457,0.0461,0.0103,0.0286,0.0261,0.0240,0.0326,0.0512,0.0511,0.0539,-0.2020,0.0565
19,Total Other Income Expenses (Gains),-10938000,-15684000,-17382000,-30477000,-15965000,-14802000,-9003000,-8557000,-7744000,-6892000,-6451000,-5744000,-5086000,-4154000,-8067000,-18391000,-13535000,-13700000,-10900000,-9200000,900000,-18600000,-20800000,-20700000
20,Income Before Tax,-19642000,-8252000,-10637000,-34839000,-3216000,-1000000,10658000,15031000,21247000,28640000,30667000,22480000,27863000,29513000,1780000,23586000,25936000,25100000,41800000,72200000,76000000,71100000,-240400000,45800000
21,Income Before Tax Ratio,-0.1005,-0.0333,-0.0421,-0.1429,-0.0059,-0.0018,0.0189,0.0256,0.0351,0.0459,0.0438,0.0323,0.0386,0.0404,0.0019,0.0161,0.0171,0.0155,0.0259,0.0454,0.0518,0.0427,-0.2212,0.0389
22,Income Tax expense (Gain),430000,752000,503000,406000,428000,624000,-112000,-14000,-14880000,11267000,11622000,8265000,10755000,11235000,-2374000,8821000,-197000,4800000,15800000,27700000,19600000,19400000,-67500000,10500000
23,Net Income,-23375000,-9472000,-11481000,-35454000,-3824000,-1981000,10421000,14719000,35751000,17373000,19045000,14092000,16840000,17900000,3120000,12089000,23098000,17400000,23100000,41200000,53200000,48800000,-172800000,31700000
24,Net Income ratio,-0.1196,-0.0382,-0.0455,-0.1454,-0.0070,-0.0036,0.0185,0.0251,0.0590,0.0278,0.0272,0.0203,0.0234,0.0245,0.0033,0.0082,0.0152,0.0108,0.0143,0.0259,0.0362,0.0293,-0.1590,0.0269
25,EPS,-1.28,-0.70,-0.90,-2.10,-0.88,-0.90,0.22,0.71,1.79,0.92,1.10,0.92,1.08,1.14,0.23,0.55,1.05,0.78,1.04,1.86,2.38,2.21,-8.21,1.65
26,EPS Diluted,-1.28,-0.70,-0.90,-2.10,-0.88,-0.90,0.21,0.69,1.75,0.90,1.07,0.90,1.06,1.12,0.22,0.54,1.03,0.77,1.03,1.83,2.35,2.20,-8.21,1.64
27,Weighted Average Shares Outstanding,20929776,20929776,20929776,20929776,20929776,20929776,12080778,20531570,19967286,18831667,17325235,15292412,15579352,15703595,17179606,21902870,22009800,22189140,22238021,22195350,22394542,22080025,21056061,21184583
28,Weighted Average Shares Outstanding Diluted,20929776,20929776,20929776,20929776,20929776,20929776,12579182,21120830,20492520,19289076,17731473,15683525,15944662,16047879,17497900,22249584,22407343,22511759,22528122,22508288,22607223,22208032,21056061,21400386
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059262/000110465903003946/0001104659-03-003946-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465904008757/0001104659-04-008757-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465905012037/0001104659-05-012037-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465906015792/0001104659-06-015792-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465907017827/0001104659-07-017827-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746908002720/0001047469-08-002720-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746909002583/0001047469-09-002583-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000095012310024197/0000950123-10-024197-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000095012311024862/0000950123-11-024862-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000119312512115271/0001193125-12-115271-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746913002991/0001047469-13-002991-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746914002333/0001047469-14-002333-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746915001787/0001047469-15-001787-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000162828016012094/0001628280-16-012094-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926217000011/0001059262-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926218000008/0001059262-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926219000015/0001059262-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926220000006/0001059262-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000156459021007047/0001564590-21-007047-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000156459022007627/0001564590-22-007627-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19183000,5215000,3539000,7602000,6153000,8470000,10360000,10777000,8058000,8466000,8301000,8256000,7305000,13220000,28450000,23158000,18196000,18700000,21900000,22500000,39900000,23600000,13600000,15700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,19183000,5215000,3539000,7602000,6153000,8470000,10360000,10777000,8058000,8466000,8301000,8256000,7305000,13220000,28450000,23158000,18196000,18700000,21900000,22500000,39900000,23600000,13600000,15700000
34,Net Receivables,32639000,42715000,46826000,40276000,32671000,30923000,34608000,40707000,40003000,42706000,45198000,44490000,52167000,46396000,110617000,115126000,109287000,105100000,120700000,122300000,150700000,162300000,111300000,139600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2806000,1645000,1775000,1194000,1621000,1436000,2330000,4178000,10511000,9012000,5749000,8858000,4626000,5164000,40747000,30962000,28768000,26200000,14000000,15800000,17200000,25200000,27000000,32200000
37,Total Current Assets,54628000,49575000,52140000,49072000,40445000,40829000,47298000,55662000,58572000,60184000,59248000,61604000,64098000,64780000,179814000,169246000,156251000,150000000,156600000,160600000,207800000,211100000,151900000,187500000
38,PP&E,27618000,32659000,28492000,18583000,19910000,15959000,16481000,17416000,16902000,15695000,17542000,17175000,16839000,16732000,40010000,44885000,42784000,34600000,30900000,27400000,40300000,479600000,288400000,201200000
39,Goodwill,108741000,114923000,113293000,115332000,115944000,117390000,- -,- -,119078000,119890000,123550000,126853000,132196000,132417000,435122000,439503000,432888000,431300000,431400000,431700000,585500000,586000000,526600000,526600000
40,Intangible Assets,- -,- -,- -,- -,10245000,7886000,122190000,121992000,3105000,4350000,17788000,6765000,8910000,23706000,175586000,106222000,91028000,75900000,61300000,54100000,166000000,152200000,63100000,54400000
41,Intangible Assets,108741000,114923000,113293000,115332000,126189000,125276000,122190000,121992000,122183000,124240000,141338000,133618000,141106000,156123000,610708000,545725000,523916000,507200000,492700000,485800000,751500000,738200000,589700000,581000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4904000,5172000,5261000,- -,- -,20660000,19000000,18500000,18600000,9800000,10200000,10100000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,8247000,1345000,- -,- -,- -,- -,- -,- -,- -,- -,17900000,15900000,14600000,10600000,63800000,- -
44,Other Non-Current Assets,25782000,16113000,14416000,9247000,4406000,7521000,9133000,6283000,6624000,13924000,11113000,23204000,28417000,14177000,60414000,102519000,82139000,73300000,62000000,54600000,48300000,29900000,33800000,146500000
45,Total Non-Current Assets,162141000,163695000,156201000,143162000,150505000,148756000,147804000,145691000,153956000,155204000,169993000,178901000,191534000,192293000,711132000,693129000,669499000,634100000,622000000,602300000,864500000,1268500000,985800000,928700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,216769000,213270000,208341000,192234000,190950000,189585000,195102000,201353000,212528000,215388000,229241000,240505000,255632000,257073000,890946000,862375000,825750000,784100000,778600000,762900000,1072300000,1479600000,1137700000,1116200000
48,Accounts Payable,18184000,25289000,35079000,34620000,24403000,24971000,26107000,31174000,33167000,42941000,46446000,48502000,43984000,44747000,129034000,115493000,106519000,95100000,109900000,102800000,110100000,115300000,97800000,118500000
49,Short-Term Debt,- -,- -,- -,1554000,760000,690000,3512000,3763000,2766000,1938000,1068000,128000,136000,754000,21752000,24632000,15567000,15200000,20400000,20600000,13200000,17900000,107100000,91000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,19400000,- -,- -
52,Other Current Liabilities,45563000,36466000,29002000,33054000,24425000,24411000,25794000,30153000,29087000,33195000,31357000,33690000,40519000,41304000,124241000,102350000,103844000,97300000,98600000,96600000,113200000,217200000,112700000,123300000
53,Total Current Liabilities,63747000,61755000,64081000,69228000,49588000,50072000,55413000,65090000,65020000,78074000,78871000,82320000,84639000,86805000,275027000,242475000,225930000,207600000,228900000,220000000,246900000,369800000,317600000,332800000
54,Long-Term Debt,147492000,166141000,173590000,173703000,159989000,158239000,106238000,82938000,78611000,75575000,121905000,109850000,95200000,81259000,288722000,264034000,237833000,209900000,174700000,133200000,373500000,351100000,580500000,498700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1561000,- -,- -,3305000,8151000,9637000,12981000,27521000,17348000,5814000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,60438000,64985000,71401000,82488000,128933000,147276000,18112000,27352000,27644000,22400000,24143000,25507000,29353000,26386000,102421000,134807000,126361000,116500000,106600000,96600000,83300000,384800000,58200000,62600000
58,Total Non-Current Liabilities,207930000,231126000,244991000,256191000,288922000,305515000,124350000,111851000,106255000,97975000,149353000,143508000,134190000,120626000,418664000,416189000,370008000,326400000,281300000,229800000,456800000,735900000,638700000,561300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,5424000,2150000,- -,3460000,4288000,2850000,2091000,2056000,1525000,2013000,- -,- -,- -,- -,- -,- -,- -,442900000,325500000,265700000
61,Total Liabilities,271677000,292881000,309072000,325419000,338510000,355587000,179763000,176941000,171275000,176049000,228224000,225828000,218829000,207431000,693691000,658664000,595938000,534000000,510200000,449800000,703700000,1105700000,956300000,894100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,1000,1000,1000,10000,10000,10000,18000,16000,15000,16000,15000,22000,22000,22000,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-66331000,-80909000,-99801000,-143805000,-162139000,-180992000,-178352000,-163633000,-127882000,-110509000,-91464000,-77372000,-60532000,-42632000,-39512000,-37679000,-14581000,2800000,25900000,67000000,120700000,169500000,-3300000,- -
65,Other Comprehensive Income/Loss,-45889000,-50142000,-56724000,-57440000,-58943000,-57990000,-62141000,-64228000,-58856000,-28750000,-28930000,-28644000,-29810000,-31788000,-34917000,-38202000,-47560000,-1000000,-1000000,-1000000,-2000000,-3000000,-4400000,-2000000
66,Other Total Stockholders Equity,57311000,51439000,55793000,68059000,73521000,72979000,255822000,252263000,227981000,178580000,121395000,120750000,127204000,124132000,270911000,278985000,291222000,247800000,243300000,246900000,249800000,207600000,- -,- -
67,Total Stockholders Equity,-54908000,-79611000,-100731000,-133185000,-147560000,-166002000,15339000,24412000,41253000,39339000,1017000,14749000,36878000,49727000,196504000,203126000,229103000,249600000,268200000,312900000,368500000,374100000,183100000,222500000
68,Total Liabilities And Stockholders Equity,216769000,213270000,208341000,192234000,190950000,189585000,195102000,201353000,212528000,215388000,229241000,240577000,255707000,257158000,890195000,861790000,825041000,783600000,778400000,762700000,1072200000,1479800000,1139400000,1116600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72000,-75000,-85000,751000,585000,709000,500000,200000,200000,100000,-200000,-1700000,-400000
70,Total Liabilities & Equity,216769000,213270000,208341000,192234000,190950000,189585000,195102000,201353000,212528000,215388000,229241000,240505000,255632000,257073000,890946000,862375000,825750000,784100000,778600000,762900000,1072300000,1479600000,1137700000,1116200000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059262/000110465903003946/0001104659-03-003946-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465904008757/0001104659-04-008757-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465905012037/0001104659-05-012037-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465906015792/0001104659-06-015792-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465907017827/0001104659-07-017827-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746908002720/0001047469-08-002720-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746909002583/0001047469-09-002583-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000095012310024197/0000950123-10-024197-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000095012311024862/0000950123-11-024862-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000119312512115271/0001193125-12-115271-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746913002991/0001047469-13-002991-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746914002333/0001047469-14-002333-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746915001787/0001047469-15-001787-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000162828016012094/0001628280-16-012094-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926217000011/0001059262-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926218000008/0001059262-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926219000015/0001059262-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926220000006/0001059262-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000156459021007047/0001564590-21-007047-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000156459022007627/0001564590-22-007627-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-23375000,-9472000,-11481000,-35454000,-3824000,-1981000,10421000,14719000,35751000,17373000,19045000,14092000,16840000,17900000,3120000,12089000,23098000,17400000,23100000,41200000,53200000,48800000,-172800000,31700000
74,Depreciation and Amortization,7435000,9343000,12635000,15501000,7554000,7501000,6664000,6367000,5686000,5462000,5475000,5460000,6018000,6671000,13329000,29595000,30372000,34100000,34200000,21700000,18800000,29300000,29300000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-400000,-15743000,8945000,7644000,4642000,2629000,2913000,8475000,2741000,-12149000,-9700000,-2100000,1800000,1300000,4200000,-52500000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2292000,2310000,2451000,2103000,4227000,3267000,3700000,3400000,3100000,3100000,4900000,500000,- -
77,Change in Working Capital,-7041000,-3061000,239000,-8215000,11013000,-100000,1128000,-1313000,2980000,-11442000,-1733000,-1093000,175000,-1484000,-73188000,21984000,3550000,12079000,-14700000,12900000,20300000,-119600000,-7000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2028000,-5098000,763000,9091000,-13541000,-8974000,-11400000,14800000,-7200000,800000,5200000,-17500000,- -
81,Other Working Capital,-9119000,-12180000,-11941000,-20156000,-9143000,-9243000,-8115000,-9428000,-6448000,-17890000,-19623000,-20716000,-20541000,-22025000,-95213000,-73229000,-69679000,-57600000,-72300000,-59400000,-39100000,-158700000,-165700000,- -
82,Other Non-Cash Items,2600000,-14519000,-4610000,37062000,-11058000,8225000,-6843000,11981000,132000,15935000,-1102000,-3632000,-8438000,6499000,57565000,-35743000,3491000,-13979000,15800000,-35500000,-25800000,108400000,242700000,21700000
83,Cash Provided by Operating Activities,-20381000,-17709000,-3217000,8894000,3685000,13645000,11370000,31354000,28806000,36273000,29329000,21761000,19534000,34950000,11404000,34893000,51629000,43600000,59700000,45200000,70900000,76000000,40200000,53400000
84,CAPEX,-8519000,-10600000,-4897000,-1547000,-1846000,-1812000,-1378000,-4762000,-2162000,-4517000,-6869000,-3486000,-2985000,-5082000,-5024000,-15734000,-13517000,-9600000,-13000000,-6800000,-8900000,-10200000,-8400000,- -
85,Acquisitions Net,-87045000,-3181000,- -,- -,- -,- -,- -,- -,- -,-6202000,-6318000,-2450000,-3597000,-248000,27404000,1975000,-46000,1000000,- -,9000000,-258600000,- -,-1700000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -
88,Other Investing Activites,-461000,250000,- -,- -,-612000,-709000,-644000,-287000,-88000,63000,200000,-1144000,-1152000,-859000,-1154000,398000,-1402000,-3200000,-800000,100000,-900000,-2300000,-2600000,-9100000
89,Cash Used for Investing Activites,-96025000,-13531000,-4897000,-1547000,-2458000,-2521000,-2022000,-5049000,-2250000,-10656000,-12987000,-7080000,-7734000,-5257000,21226000,-13361000,-14965000,-11800000,-13800000,2300000,-268400000,-12500000,-11500000,-9100000
90,Debt Repayment,-40416000,-2537000,-1610000,-4505000,-3335000,-11637000,- -,- -,- -,- -,- -,-11883000,-15339000,-15889000,-327885000,-514689000,-604895000,-476200000,-416300000,-430600000,-336800000,-484200000,-504700000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,46809000,14000,506000,996000,722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-8000000,- -,- -,- -,-2500000,-2413000,-6250000,-5963000,-20011000,-22119000,-60024000,-3885000,- -,-7544000,- -,- -,- -,- -,-7500000,- -,- -,-47600000,-15300000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136000,-271000,-388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,180683000,19381000,8850000,1650000,3000000,4832000,-48366000,-20115000,-9782000,-4358000,43287000,950000,2690000,433000,310482000,488328000,563431000,445600000,381700000,383400000,552000000,452400000,481000000,-42400000
95,Cash Used/Provided by Financing Activities,132267000,16844000,7240000,-2855000,-2835000,-9218000,-7807000,-26064000,-29287000,-25481000,-16015000,-14954000,-12920000,-23388000,-17403000,-26361000,-41464000,-30600000,-42100000,-47200000,215200000,-79400000,-39000000,-42400000
96,Effect of Forex Changes on Cash,- -,428000,-802000,-429000,159000,411000,349000,176000,12000,272000,-492000,228000,169000,-390000,3000,-463000,-162000,-700000,-300000,300000,-600000,100000,100000,-100000
97,Net Change In Cash,15861000,-13968000,-1676000,4063000,-1449000,2317000,1890000,417000,-2719000,408000,-165000,-45000,-951000,5915000,15230000,-5292000,-4962000,500000,3500000,600000,17100000,-15800000,-10200000,1800000
98,Cash at the End of Period,19183000,5215000,3539000,7602000,6153000,8470000,10360000,10777000,8058000,8466000,8301000,8256000,7305000,13220000,28450000,23158000,18196000,18700000,22200000,22800000,39900000,24100000,13900000,15700000
99,Cash at the Beginning of Period,3322000,19183000,5215000,3539000,7602000,6153000,8470000,10360000,10777000,8058000,8466000,8301000,8256000,7305000,13220000,28450000,23158000,18200000,18700000,22200000,22800000,39900000,24100000,13900000
100,Free Cash Flow,-28900000,-28309000,-8114000,7347000,1839000,11833000,9992000,26592000,26644000,31756000,22460000,18275000,16549000,29868000,6380000,19159000,38112000,34000000,46700000,38400000,62000000,65800000,31800000,53400000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059262/000110465903003946/0001104659-03-003946-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465904008757/0001104659-04-008757-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465905012037/0001104659-05-012037-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465906015792/0001104659-06-015792-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000110465907017827/0001104659-07-017827-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746908002720/0001047469-08-002720-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746909002583/0001047469-09-002583-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000095012310024197/0000950123-10-024197-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000095012311024862/0000950123-11-024862-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000119312512115271/0001193125-12-115271-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746913002991/0001047469-13-002991-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746914002333/0001047469-14-002333-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000104746915001787/0001047469-15-001787-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000162828016012094/0001628280-16-012094-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926217000011/0001059262-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926218000008/0001059262-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926219000015/0001059262-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000105926220000006/0001059262-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000156459021007047/0001564590-21-007047-index.htm,https://www.sec.gov/Archives/edgar/data/1059262/000156459022007627/0001564590-22-007627-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
