,https://roic.ai/company/LJPC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,2900000,4100000,18900000,15600000,12700000,464000,590000,568000,719000,957000,783000,903000,1004000,1018000,785000,586000,67000,60000,25000,80000,1702000,1078000,1705000,3147000,5111000,4467000,3388000,2381000
37,Total Current Assets,14300000,23900000,29500000,27600000,23900000,11867000,40489000,47528000,53444000,33090000,23848000,73780000,43913000,40377000,20232000,4840000,6933000,5100000,3430000,8709000,50257000,127545000,67431000,94062000,181116000,97458000,36456000,67315000
38,PP&E,2300000,1900000,1400000,900000,700000,658000,780000,1921000,6034000,6206000,6059000,4037000,2333000,1271000,357000,- -,- -,- -,- -,38000,279000,1732000,3145000,24568000,22267000,33880000,751000,431000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20123000,20123000
40,Intangible Assets,- -,- -,- -,- -,1300000,1518000,1747000,2237000,2386000,2648000,3119000,3111000,3279000,2757000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14873000,13321000
41,Intangible Assets,- -,- -,- -,- -,1300000,1518000,1747000,2237000,2386000,2648000,3119000,3111000,3279000,2757000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34996000,33444000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,600000,800000,1100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,219000,909000,909000,909000,40000,40000
45,Total Non-Current Assets,2800000,2500000,2200000,2000000,1900000,2176000,2527000,4158000,8420000,8854000,9178000,7148000,5612000,4028000,607000,- -,- -,- -,- -,38000,279000,1802000,3364000,25477000,23176000,34789000,35787000,33915000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17100000,26400000,31700000,29600000,25800000,14043000,43016000,51686000,61864000,41944000,33026000,80928000,49525000,44405000,20839000,4840000,6933000,5100000,3430000,8747000,50536000,129347000,70795000,119539000,204292000,132247000,72243000,101230000
48,Accounts Payable,600000,700000,1500000,1300000,1300000,225000,468000,743000,1846000,278000,1455000,866000,2125000,2203000,4626000,125000,39000,8000,92000,834000,730000,2506000,6652000,11484000,8572000,4177000,2762000,2278000
49,Short-Term Debt,- -,- -,600000,100000,- -,199000,44000,167000,494000,817000,936000,501000,183000,148000,6096000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2766000,204000,2479000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2849000
52,Other Current Liabilities,1000000,1200000,1500000,2500000,2700000,782000,2762000,2231000,4614000,3081000,3918000,2289000,3932000,8145000,6514000,496000,6365000,15517000,124000,260000,1350000,2314000,3106000,7068000,21867000,17644000,9372000,10029000
53,Total Current Liabilities,1600000,1900000,3600000,3900000,4000000,1206000,3274000,3141000,6954000,4176000,6309000,3656000,6240000,10496000,17236000,621000,6404000,15525000,216000,1094000,2080000,4820000,9758000,18552000,30439000,24587000,12338000,17635000
54,Long-Term Debt,1600000,900000,200000,- -,- -,44000,- -,- -,1111000,1341000,716000,142000,196000,388000,213000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26481000,332000,164000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,5133000,- -,- -,- -,- -,- -,12785000,137932000,137169000,147660000,150169000
58,Total Non-Current Liabilities,1700000,900000,200000,- -,-100000,44000,- -,- -,1111000,1341000,716000,142000,196000,388000,213000,- -,47000,5133000,- -,- -,- -,- -,- -,12785000,137932000,163650000,147992000,150333000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000,- -,- -,- -,44000,45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29247000,536000,318000
61,Total Liabilities,3300000,2800000,3800000,3900000,3900000,1250000,3274000,3141000,8065000,5517000,7025000,3798000,6436000,10884000,17449000,621000,6451000,20658000,216000,1094000,2080000,4820000,9758000,31337000,168371000,188237000,160330000,167968000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10907000,10266000,6715000,6643000,6643000,6643000,6643000,3906000,3906000,3906000
63,Common Stock,- -,- -,- -,- -,- -,202000,294000,353000,425000,511000,615000,325000,327000,396000,555000,657000,9000,- -,1000,4000,2000,2000,2000,2000,3000,3000,3000,3000
64,Retained Earnings,-30200000,-38800000,-48400000,-54700000,-62600000,-71767000,-85566000,-110249000,-153567000,-192405000,-232949000,-260312000,-299757000,-352833000,-415687000,-424321000,-428081000,-439629000,-447366000,-465301000,-486614000,-528526000,-606711000,-721514000,-920983000,-1037331000,-1076752000,-1057092000
65,Other Comprehensive Income/Loss,-1700000,-2500000,-3200000,-3100000,-3500000,-3728000,-3870000,-4323000,36000,-73000,-23000,-10922000,-12452000,14000,- -,-2186000,- -,- -,- -,- -,-17000,-376000,-1084000,-2235000,-5886000,-10407000,- -,- -
66,Other Total Stockholders Equity,45700000,64900000,79500000,83500000,88000000,88086000,128884000,162764000,206905000,228394000,258358000,348039000,354971000,385944000,418522000,430069000,428554000,- -,439672000,462684000,528370000,646784000,662187000,805306000,956144000,987839000,984756000,986445000
67,Total Stockholders Equity,13800000,23600000,27900000,25700000,21900000,12793000,39742000,48545000,53799000,36427000,26001000,77130000,43089000,33521000,3390000,4219000,482000,-15558000,3214000,7653000,48456000,124527000,61037000,88202000,35921000,-55990000,-88087000,-66738000
68,Total Liabilities And Stockholders Equity,17100000,26400000,31700000,29600000,25800000,14043000,43016000,51686000,61864000,41944000,33026000,80928000,49525000,44405000,20839000,4840000,6933000,5100000,3430000,8747000,50536000,129347000,70795000,119539000,204292000,132247000,72243000,101230000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17100000,26400000,31700000,29600000,25800000,14043000,43016000,51686000,61864000,41944000,33026000,80928000,49525000,44405000,20839000,4840000,6933000,5100000,3430000,8747000,50536000,129347000,70795000,119539000,204292000,132247000,72243000,101230000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/920465/000093639202000342/0000936392-02-000342-index.html,https://www.sec.gov/Archives/edgar/data/920465/000093639203000369/a88713e10vk.htm,https://www.sec.gov/Archives/edgar/data/920465/000093639204000210/a97264e10vk.htm,https://www.sec.gov/Archives/edgar/data/920465/000095013705002829/a06565e10vk.htm,https://www.sec.gov/Archives/edgar/data/920465/000095013406004781/a18351e10vk.htm,https://www.sec.gov/Archives/edgar/data/920465/000095013407005875/a28242e10vk.htm,https://www.sec.gov/Archives/edgar/data/920465/000093639208000215/a39051e10vk.htm,https://www.sec.gov/Archives/edgar/data/920465/000093639209000144/0000936392-09-000144-index.html,https://www.sec.gov/Archives/edgar/data/920465/000095012310035279/c99163e10vk.htm,https://www.sec.gov/Archives/edgar/data/920465/000095012311035415/c15518e10vk.htm,https://www.sec.gov/Archives/edgar/data/920465/000119312512144016/0001193125-12-144016-index.html,https://www.sec.gov/Archives/edgar/data/920465/000119312513136913/0001193125-13-136913-index.html,https://www.sec.gov/Archives/edgar/data/920465/000092046514000021/ljpc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/920465/000092046515000009/ljpc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/920465/000092046516000106/0000920465-16-000106-index.html,https://www.sec.gov/Archives/edgar/data/920465/000092046517000025/0000920465-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/920465/000092046518000007/0000920465-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/920465/000092046519000044/0000920465-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/920465/000092046520000036/0000920465-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/920465/000156459021011366/0001564590-21-011366-index.htm,https://www.sec.gov/Archives/edgar/data/920465/000156459022009182/0001564590-22-009182-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10300000,-8600000,-9600000,-6400000,-7900000,-9149000,-13799000,-24683000,-43318000,-38838000,-40544000,-27363000,-39445000,-53076000,-62854000,-8634000,-3760000,-11548000,-7737000,-17935000,-21313000,-41912000,-78185000,-114803000,-199469000,-116508000,-39421000,19660000
74,Depreciation and Amortization,700000,800000,800000,800000,400000,357000,381000,684000,1391000,1918000,2083000,2109000,1987000,1687000,990000,117000,- -,- -,- -,5000,17000,347000,730000,1268000,4405000,4552000,4084000,1881000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4411000,2653000,489000,254000,8604000,12373000,9055000,13072000,14546000,21795000,35151000,23733000,6207000,4477000
77,Change in Working Capital,-300000,200000,-3200000,5300000,300000,-2893000,2097000,-234000,3335000,-3339000,2188000,-2338000,2801000,4277000,1025000,-7577000,200000,-40000,-4000,823000,-663000,3294000,4162000,6660000,512000,-6833000,-17059000,-5031000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1381000,-1579000,-1687000,-2776000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2020000,-191000,-1493000,-1118000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2423000,- -,- -,- -,-49000,822000,-104000,1776000,3600000,4832000,-2912000,-4395000,-2815000,-484000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000,- -,-270000,-112000,754000,824000,- -,- -,2661000
82,Other Non-Cash Items,300000,300000,200000,100000,- -,- -,-634000,213000,426000,250000,342000,300000,5507000,5528000,3293000,-3090000,-320000,9508000,-2998000,- -,25000,16000,75000,199000,7033000,10106000,8549000,7257000
83,Cash Provided by Operating Activities,-9600000,-7300000,-11800000,-200000,-7200000,-11685000,-11955000,-24020000,-38166000,-40009000,-35931000,-27292000,-29150000,-41584000,-53135000,-16531000,-3391000,-1826000,-2135000,-4734000,-12879000,-25183000,-58672000,-84881000,-152368000,-84950000,-37640000,28244000
84,CAPEX,-300000,-200000,-200000,-100000,-100000,-180000,-541000,-1341000,-5143000,-1809000,-1882000,-123000,-335000,-354000,-622000,-24000,- -,- -,- -,-43000,-258000,-1816000,-2218000,-9194000,-2340000,-698000,- -,-9000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33513000,- -
86,Purchases of Investments,-2500000,-1300000,-13800000,-21800000,-20600000,-12289000,-40716000,-33886000,-71333000,-56152000,-37365000,-82350000,-16700000,-51415000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2999000,- -
87,Sales/Maturities of Investments,- -,- -,- -,24500000,23400000,17469000,16611000,28692000,60638000,74972000,45297000,36236000,44050000,55750000,24665000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2497000,- -
88,Other Investing Activites,-200000,-100000,-300000,-300000,-200000,- -,-191000,-554000,-348000,-549000,-723000,-361000,-536000,-628000,-116000,855000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3070000,- -
89,Cash Used for Investing Activites,-3000000,-1600000,-14300000,2300000,2500000,5000000,-24837000,-7089000,-16186000,16462000,5327000,-46598000,26479000,3353000,24043000,10837000,- -,- -,- -,-43000,-258000,-1816000,-2218000,-9194000,-2340000,-698000,-30945000,-9000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000,-5978000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,12800000,18100000,13800000,4000000,4000000,83000,40643000,33373000,48754000,21575000,29950000,78449000,353000,38673000,28326000,- -,- -,- -,- -,6751000,53063000,104596000,- -,117480000,109809000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3500000,-800000,-900000,-600000,-100000,-165000,-199000,-393000,1276000,383000,-506000,-1009000,-264000,102000,5849000,6479000,6003000,- -,500000,3250000,- -,315000,149000,1784000,126588000,864000,1117000,-2788000
95,Cash Used/Provided by Financing Activities,16300000,17300000,12900000,3400000,3900000,-82000,40444000,32980000,50030000,21958000,29444000,77440000,89000,38775000,34166000,501000,6003000,- -,500000,10001000,53063000,104911000,149000,119264000,236397000,864000,1117000,-2788000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3700000,8400000,-13200000,3400000,3900000,-6767000,3652000,1871000,-4322000,-1589000,-1160000,3550000,-2582000,544000,5074000,-5193000,2612000,-1826000,-1635000,5224000,39926000,77912000,-60741000,25189000,81689000,-84784000,-67468000,25447000
98,Cash at the End of Period,11400000,19800000,6600000,- -,- -,4409000,8061000,9932000,5610000,4021000,2861000,6411000,3829000,4373000,9447000,4254000,6866000,5040000,3405000,8629000,48555000,126467000,65726000,90915000,173513000,88729000,21261000,46708000
99,Cash at the Beginning of Period,7700000,11400000,19800000,6600000,12000000,11176000,4409000,8061000,9932000,5610000,4021000,2861000,6411000,3829000,4373000,9447000,4254000,6866000,5040000,3405000,8629000,48555000,126467000,65726000,91824000,173513000,88729000,21261000
100,Free Cash Flow,-9900000,-7500000,-12000000,-300000,-7300000,-11865000,-12496000,-25361000,-43309000,-41818000,-37813000,-27415000,-29485000,-41938000,-53757000,-16555000,-3391000,-1826000,-2135000,-4777000,-13137000,-26999000,-60890000,-94075000,-154708000,-85648000,-37640000,28235000
