,https://roic.ai/company/USAK,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,3600000,3300000,6800000,9400000,13100000,9800000,5535480,12981595,17180277,14212999,154706,1779446,6367278,8227412,14227000,28687000,22346000,3158000,7365000,-9430000,-3301000,-15742000,-27260000,-13098000,11226000,19341000,-11218000,-6263000,16578000,-4854000,6955000,33056000
21,Income Before Tax Ratio,0.0788,0.0629,0.1079,0.1238,0.1416,0.0957,0.0511,0.1002,0.1183,0.0854,0.0007,0.0070,0.0233,0.0275,0.0392,0.0652,0.0480,0.0066,0.0138,-0.0247,-0.0072,-0.0303,-0.0532,-0.0236,0.0186,0.0381,-0.0261,-0.0140,0.0310,-0.0093,0.0126,0.0465
22,Income Tax expense (Gain),1500000,1300000,2700000,3800000,5000000,3800000,2153302,5078123,6683128,5571497,60645,692235,3765444,4872693,6795000,13119000,1422000,3018000,4225000,-2253000,7000,-4965000,-9589000,-3988000,5193000,8272000,-3519000,-13760000,4374000,-156000,2209000,8288000
23,Net Income,2100000,2000000,4100000,5600000,8100000,6000000,3382178,7903472,10497149,8641502,94061,1087211,2601834,3354719,7432000,15568000,12441000,140000,3140000,-7177000,-3308000,-10777000,-17671000,-9110000,6033000,11069000,-7699000,7497000,12204000,-4698000,4746000,24768000
24,Net Income ratio,0.0460,0.0381,0.0651,0.0738,0.0876,0.0586,0.0312,0.0610,0.0723,0.0519,0.0004,0.0043,0.0095,0.0112,0.0205,0.0354,0.0267,0.0003,0.0059,-0.0188,-0.0072,-0.0207,-0.0345,-0.0164,0.0100,0.0218,-0.0179,0.0168,0.0229,-0.0090,0.0086,0.0349
25,EPS,0.15,0.14,0.23,0.56,0.80,0.60,0.35,0.84,1.12,0.93,0.01,0.12,0.28,0.36,0.80,1.55,1.10,0.01,0.31,-0.70,-0.32,-1.05,-1.70,-0.88,0.58,1.07,-0.90,0.93,1.49,-0.55,0.54,2.82
26,EPS Diluted,0.15,0.14,0.23,0.56,0.80,0.60,0.35,0.83,1.11,0.92,0.01,0.12,0.28,0.36,0.79,1.51,1.08,0.01,0.31,-0.70,-0.32,-1.05,-1.70,-0.88,0.58,1.06,-0.90,0.93,1.49,-0.55,0.53,2.79
27,Weighted Average Shares Outstanding,14000000,14285714,9600000,10000000,10125000,10000000,9626127,9408895,9372454,9291938,9406100,9060092,9292264,9318664,9290000,10043871,11310000,10690000,10220000,10240000,10295000,10302000,10310000,10323000,10356000,10337000,8550000,8029000,8194000,8525000,8775000,8775000
28,Weighted Average Shares Outstanding Diluted,14000000,14285714,9600000,10000000,10125000,10000000,9735902,9522255,9456891,9392937,9406100,9060092,9292264,9318664,9407595,10309934,11519444,10804000,10238000,10240000,10295000,10302000,10310000,10323000,10485000,10401000,8550000,8056000,8218000,8525000,8874000,8874000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883945/000119312504031444/d10k.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394505000034/form10-k_2004.htm,- -,https://www.sec.gov/Archives/edgar/data/883945/000088394507000036/form10k_03022007.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394508000020/form_10k-022808.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394509000063/0000883945-09-000063-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394510000008/0000883945-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394511000008/form10k.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394512000009/0000883945-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394513000013/0000883945-13-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/883945/000143774916025882/0001437749-16-025882-index.html,https://www.sec.gov/Archives/edgar/data/883945/000143774917003762/0001437749-17-003762-index.html,https://www.sec.gov/Archives/edgar/data/883945/000143774918003536/0001437749-18-003536-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394519000016/0000883945-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394520000008/0000883945-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394521000008/0000883945-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394522000009/0000883945-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4000000,4500000,1100000,1000000,900000,1700000,1486946,3667311,1779643,2145707,1674730,1976228,1237698,1323034,1189000,994000,7132000,8014000,1541000,797000,2726000,2659000,1742000,14000,205000,87000,122000,71000,989000,97000,82000,947000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4000000,4500000,1100000,1000000,900000,1700000,1486946,3667311,1779643,2145707,1674730,1976228,1237698,1323034,1189000,994000,7132000,8014000,1541000,797000,2726000,2659000,1742000,14000,205000,87000,122000,71000,989000,97000,82000,947000
34,Net Receivables,4300000,4700000,6400000,8400000,9600000,11900000,12738894,12895721,14228762,32159101,33873207,28891858,27449576,35808775,45979000,51211000,45684000,46750000,38858000,48586000,47983000,55359000,66580000,68145000,76825000,64577000,62113000,57925000,61107000,55261000,66857000,100166000
35,Inventory,200000,200000,100000,200000,200000,300000,176759,291691,236338,301907,382639,474279,478567,425155,447000,638000,930000,1172000,1541000,1541000,2080000,1831000,1790000,1425000,1863000,748000,413000,458000,722000,769000,975000,1387000
36,Other Current Assets,1100000,1600000,1300000,1800000,1800000,2100000,2422646,3437432,4213926,4842469,5808251,3071410,6221247,7983707,9044000,7948000,10058000,9871000,9098000,8893000,12885000,15048000,15415000,18851000,28561000,12855000,10848000,6137000,9835000,10397000,11627000,10508000
37,Total Current Assets,9600000,11000000,8900000,11400000,12500000,16000000,16825245,20292155,20458669,39449184,41738827,34413775,35387088,45540671,56659000,60791000,63804000,65807000,51038000,59817000,65674000,74897000,85527000,88435000,107454000,78267000,73496000,64591000,72653000,66524000,79541000,113008000
38,PP&E,27800000,27500000,32600000,42700000,53200000,60400000,66768223,90181908,96139593,142138056,147728882,147843404,153256901,176794251,231342000,247122000,275507000,266776000,280873000,270421000,259248000,258800000,243614000,224196000,213736000,206784000,220283000,187816000,225385000,260444000,247309000,229845000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4926000,5231000,5231000,5231000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17837000,16453000,15105000,13815000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22763000,21684000,20336000,19046000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,100000,300000,600000,700000,2600000,2736379,3044107,3012957,452448,451115,154295,207071,214143,153000,166000,183000,355000,357000,462000,2463000,2494000,2353000,2315000,658000,1405000,1189000,1448000,1003000,2058000,3046000,2136000
45,Total Non-Current Assets,27900000,27600000,32900000,43300000,53900000,63000000,69504602,93226015,99152550,142590504,148179997,147997699,153463972,177008394,231495000,247288000,275690000,267131000,281230000,270883000,261711000,261294000,245967000,226511000,214394000,208189000,221472000,189264000,249151000,284186000,270691000,251027000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,37500000,38600000,41800000,54700000,66400000,79000000,86329847,113518170,119611219,182039688,189918824,182411474,188851060,222549065,288154000,308079000,339494000,332938000,332268000,330700000,327385000,336191000,331494000,314946000,321848000,286456000,294968000,253855000,321804000,350710000,350232000,364035000
48,Accounts Payable,700000,600000,1700000,900000,800000,2000000,1378551,3125666,3397593,5139164,5870192,4029960,3274787,11736585,12069000,6253000,10419000,7429000,7533000,9847000,16691000,21691000,22484000,17674000,23582000,24473000,18779000,24332000,22453000,29421000,27045000,36378000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,6018289,6285986,6188241,10956533,12867611,13029318,19143501,10846634,33627000,29422000,25798000,24412000,18241000,64476000,19775000,20516000,20905000,23393000,24048000,12190000,20685000,17044000,21727000,42994000,25284000,31843000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186000,1712000,1579000,3587000,1509000,1648000,2649000,685000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,8300000,9500000,6100000,7700000,10000000,11300000,7796569,11349865,11564854,12182089,11618803,14711027,15845062,20379039,10452000,17941000,30371000,34860000,26764000,19042000,18453000,17945000,15929000,18176000,18482000,19542000,18198000,22660000,24829000,18984000,20644000,18979000
53,Total Current Liabilities,9000000,10100000,7800000,8600000,10800000,13300000,15193409,20761517,21150688,28277786,30356606,31770305,38263350,42962258,56148000,53616000,66588000,66701000,52538000,93365000,54919000,60152000,59318000,59243000,66112000,56205000,57662000,64036000,69009000,91399000,72973000,87200000
54,Long-Term Debt,22900000,20000000,7000000,10900000,9400000,13400000,15867365,27056954,19057816,64452648,65660268,56450817,49451248,74299524,118842000,71010000,67817000,70212000,79364000,39116000,79750000,98927000,122530000,108843000,93464000,89245000,96600000,61225000,85300000,83349000,157524000,136273000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,618000,612000,646000,627000,589000,701000,652000,480000,84000,80000,- -,- -
56,Deferred Tax Liabilities,600000,1400000,2300000,4400000,7000000,8500000,9568464,11641824,14576038,17008364,21111025,20488511,24189413,24757047,27636000,33620000,41565000,48024000,48563000,53073000,50782000,45193000,35953000,35039000,46688000,37943000,37900000,21136000,23518000,24017000,23414000,21914000
57,Other Non-Current Liabilities,-100000,- -,- -,300000,600000,600000,1276614,1684614,2092614,2192714,2810214,2528365,2855465,3034171,- -,- -,3966000,4810000,5030000,4600000,3608000,4335000,3617000,10656000,9647000,8585000,43691000,40490000,63423000,73654000,11620000,7223000
58,Total Non-Current Liabilities,23400000,21400000,9300000,15600000,17000000,22500000,26712443,40383392,35726468,83653726,89581507,79467693,76496126,102090742,146478000,104630000,113348000,123046000,132957000,96789000,134758000,149067000,162746000,155165000,150388000,136474000,178843000,123331000,172325000,181100000,192558000,165410000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51875000,42145000,70752000,101038000,94665000,93692000
61,Total Liabilities,32400000,31500000,17100000,24200000,27800000,35800000,41905852,61144909,56877156,111931512,119938113,111237998,114759476,145053000,202626000,158246000,179936000,189747000,185495000,190154000,189677000,209219000,222064000,214408000,216500000,192679000,236505000,187367000,241334000,272499000,265531000,252610000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,94996,93749,94371,93870,92829,92677,93249,93325,93000,114000,115000,116000,118000,118000,118000,118000,118000,119000,119000,119000,122000,121000,120000,120000,120000,123000
64,Retained Earnings,2700000,4700000,8700000,14300000,22400000,28400000,31798704,39702176,50199325,58840827,58934889,60022099,62623933,65978652,73411000,88979000,101420000,101560000,104700000,97523000,94215000,83438000,65767000,56657000,61082000,65871000,58172000,65460000,77664000,73769000,78515000,103283000
65,Other Comprehensive Income/Loss,-6000000,-11800000,-11600000,-13700000,-18100000,-22900000,-28089739,-30314193,-36769320,-43873074,-55417751,-60102406,-73984708,-31550,8000,- -,-101314000,-125090000,-53000,-61000,-11000,- -,- -,- -,- -,-137327000,-106465000,-122329000,-115766000,-124216000,- -,- -
66,Other Total Stockholders Equity,8400000,14200000,27600000,29900000,34300000,37700000,40620034,42891529,49209687,55046553,66370744,71161106,85359110,11455638,12016000,60740000,159337000,166605000,42008000,42966000,43386000,43416000,43545000,- -,44147000,165114000,106634000,123236000,118452000,128538000,6066000,8019000
67,Total Stockholders Equity,5100000,7100000,24700000,30500000,38600000,43200000,44423995,52373261,62734063,70108176,69980711,71173476,74091584,77496065,85528000,149833000,159558000,143191000,146773000,140546000,137708000,126972000,109430000,100538000,105348000,93777000,58463000,66488000,80470000,78211000,84701000,111425000
68,Total Liabilities And Stockholders Equity,37500000,38600000,41800000,54700000,66400000,79000000,86329847,113518170,119611219,182039688,189918824,182411474,188851060,222549065,288154000,308079000,339494000,332938000,332268000,330700000,327385000,336191000,331494000,314946000,321848000,286456000,294968000,253855000,321804000,350710000,350232000,364035000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,37500000,38600000,41800000,54700000,66400000,79000000,86329847,113518170,119611219,182039688,189918824,182411474,188851060,222549065,288154000,308079000,339494000,332938000,332268000,330700000,327385000,336191000,331494000,314946000,321848000,286456000,294968000,253855000,321804000,350710000,350232000,364035000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883945/000119312504031444/d10k.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394505000034/form10-k_2004.htm,- -,https://www.sec.gov/Archives/edgar/data/883945/000088394507000036/form10k_03022007.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394508000020/form_10k-022808.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394509000063/0000883945-09-000063-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394510000008/0000883945-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394511000008/form10k.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394512000009/0000883945-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394513000013/0000883945-13-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/883945/000143774916025882/0001437749-16-025882-index.html,https://www.sec.gov/Archives/edgar/data/883945/000143774917003762/0001437749-17-003762-index.html,https://www.sec.gov/Archives/edgar/data/883945/000143774918003536/0001437749-18-003536-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394519000016/0000883945-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394520000008/0000883945-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/883945/000088394521000008/0000883945-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/883945/000088394522000009/0000883945-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2100000,2000000,4100000,5600000,8100000,6000000,3382178,7903472,10497149,8641502,94061,1087211,2601834,3354719,7432000,15568000,12441000,140000,3140000,-7177000,-3308000,-10777000,-17671000,-9110000,6033000,11069000,-7699000,7497000,12204000,-4698000,4746000,24768000
74,Depreciation and Amortization,-4700000,-5900000,-6800000,-7500000,-9100000,-11100000,11839187,13607835,16179143,18591780,26792923,26418261,27810446,30610962,36461000,41890000,46739000,49093000,50919000,50152000,49754000,49263000,45058000,44947000,43830000,37480000,29954000,28463000,28324000,37193000,41359000,35865000
75,Deferred Income Tax,200000,300000,1300000,1800000,2300000,1200000,933309,1050336,3316964,2797278,3703441,312119,2047639,137914,2961000,6328000,8482000,2831000,1242000,8265000,38000,-4957000,-9588000,-4774000,5121000,2876000,-55000,-16639000,2382000,499000,-603000,-1500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286000,567000,236000,16000,131000,216000,366000,1093000,976000,459000,1164000,1714000,1805000,1964000
77,Change in Working Capital,900000,300000,200000,1700000,-1100000,1000000,-1068164,-2101198,-222657,11863417,210823,-8738751,-5519732,5454675,-2067413,6664000,-9959000,1890000,-606000,-32048000,44303000,3990000,11464000,2983000,12150000,-19280000,-6228000,-15279000,3089000,-28519000,31443000,-29005000
78,Accounts Receivable,-500000,-400000,-1600000,-2100000,-1200000,-2300000,-964109,-186827,-1363041,-17186596,-1796306,4945349,1400182,-8532399,-10041000,-5189000,5491000,-1051000,7758000,-10041000,362000,-9017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-100000,- -,- -,100000,200000,-200000,11043,-106694,-1103891,-609527,-647294,1710568,-1500862,-1259242,-1190000,566000,-2939000,3573000,-299000,-3549000,-5493000,-332000,1098000,1103000,-621000,409000,-979000,117000,-426000,4818000,-1100000,-1766000
80,Accounts Payable,1900000,-500000,1600000,300000,2300000,2000000,-1031939,5568536,539981,1103205,167742,1251992,378862,12944139,2999000,-535000,7043000,-2192000,- -,- -,- -,- -,4416000,-3783000,1417000,1156000,-5945000,8526000,-3447000,186000,6605000,6182000
81,Other Working Capital,600000,900000,1100000,2800000,1700000,2700000,1631836,-469362,-692019,11171398,11382221,2643470,-2876262,2578413,511000,7175000,-2784000,-894000,-1500000,-33548000,10755000,14745000,26209000,29192000,41342000,22062000,15834000,555000,3644000,-24875000,6568000,121000
82,Other Non-Cash Items,8600000,10400000,13300000,11500000,20800000,20800000,-215821,7812482,-1303382,-28343632,-1637193,16911753,6001278,-2692946,-6768587,-13031000,18546000,4631000,10888000,13092000,-42778000,-13873000,-13858000,1631000,-17786000,26887000,5239000,30956000,-5900000,37274000,-41194000,-855000
83,Cash Provided by Operating Activities,7100000,7100000,12100000,13100000,21000000,17900000,14870689,28272927,28467217,13550345,29164055,35990593,32941465,36865324,38018000,57419000,76249000,58585000,65869000,32851000,48245000,23662000,15536000,35893000,49714000,60125000,22187000,35457000,41263000,43463000,37556000,31237000
84,CAPEX,-2900000,-5700000,-13700000,-15100000,-18600000,-18700000,-16996876,-32777855,-21731600,-29492589,-27011263,-27430902,-17706368,-34536646,-77937000,-59277000,-100921000,-32338000,-57186000,-37325000,-43236000,-44449000,-22014000,-12924000,-54372000,-66186000,-59751000,-13976000,-15019000,-34675000,-10716000,-8365000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22891055,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51440000,-305000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2400000,-138002,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2400000,- -,- -,- -,968196,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2700000,- -,1500000,4500000,4400000,4400000,4914554,7866489,6426532,9498172,14900322,14007675,1485329,11110078,24241000,27331000,30425000,15944000,30827000,13230000,13727000,23039000,17666000,15795000,16943000,46749000,25849000,24855000,15672000,-24492000,-7534000,-1063000
89,Cash Used for Investing Activites,-200000,-5700000,-12200000,-10600000,-14200000,-14300000,-12220324,-24911366,-15305068,-41917276,-12110941,-13423227,-16221039,-23426568,-53696000,-31946000,-70496000,-16394000,-26359000,-24095000,-29509000,-21410000,-4348000,2871000,-37429000,-19437000,-33902000,10879000,-50787000,-24797000,-7534000,-1063000
90,Debt Repayment,-13300000,-15400000,-29900000,-14000000,-11900000,-10400000,-11880000,-23828208,-22800000,-19595310,-93689979,-115420000,-61695000,-101704732,-180066000,-264615000,-201743000,-180313000,-166881000,-77571000,-78174000,-123666000,-288661000,-118972000,-86920000,-170399000,-52835000,-78842000,-74039000,-117337000,-98845000,-113817000
91,Common Stock Issued,- -,- -,13600000,200000,100000,200000,272114,375047,396550,395494,128818,105554,316274,81312,63000,47993000,559000,895000,- -,- -,- -,- -,- -,- -,- -,- -,57000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1700000,-2154749,-597379,-585962,-1662883,-350344,- -,- -,- -,-93000,-53000,-4199000,-17403000,- -,- -,- -,- -,- -,- -,- -,-17932000,-28412000,-58000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10000000,14400000,13000000,11200000,4900000,9000000,10942824,22869344,7939595,49595694,76387414,93048578,43919770,88270000,195640000,191007000,205768000,155512000,120898000,68071000,61367000,121347000,276556000,78480000,74826000,147525000,92940000,32513000,84481000,97779000,69051000,84670000
