,https://roic.ai/company/GENC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,100000,400000,700000,900000,-1100000,-1200000,-1000000,-1000000,-700000,-900000,757568,694818,4445000,6137000,4731000,5240000,4021000,1378000,1371000,828000,847000,1358000,932000,948000,899000,905000,890000,1075000,1232000,1372000,1385000,1397000,1128000,1380000,1600000,1643000,2591000
15,EBITDA,2100000,500000,1900000,1300000,-8400000,-2500000,100000,-600000,600000,1500000,4379991,4646382,15466000,31594000,-25711000,5884000,12944000,3409000,12316000,4959000,45931000,19738000,31517000,25154000,-4164000,3264000,-1644000,7927000,7565000,5785000,-2161000,10797000,13306000,16269000,14424000,8324000,9225000
16,EBITDA ratio,0.1615,0.0435,0.0459,0.0229,-0.1538,-0.0541,0.0026,-0.0134,0.0138,0.0260,0.0743,0.0772,0.0792,0.1268,-0.2536,0.0608,0.1820,0.0505,0.2203,0.0917,0.9541,0.2941,0.4186,0.2847,-0.0733,0.0587,-0.0275,0.1255,0.1546,0.1446,-0.0551,0.1543,0.1651,0.1650,0.1774,0.1075,0.1082
17,Operating Income,2100000,100000,2000000,2100000,-5000000,800000,2600000,1200000,2000000,3600000,3870919,5240442,18206000,33077000,-15113000,3848000,-3870000,2059000,-1173000,4171000,-1258000,1359000,6333000,6848000,-4769000,-3049000,-1743000,393000,2578000,-26000,-794000,7816000,10236000,13715000,9470000,5536000,701000
18,Operating Income ratio,0.1615,0.0087,0.0483,0.0370,-0.0916,0.0173,0.0675,0.0267,0.0459,0.0624,0.0657,0.0870,0.0932,0.1327,-0.1490,0.0397,-0.0544,0.0305,-0.0210,0.0771,-0.0261,0.0203,0.0841,0.0775,-0.0840,-0.0549,-0.0292,0.0062,0.0527,-0.0006,-0.0202,0.1117,0.1270,0.1391,0.1164,0.0715,0.0082
19,Total Other Income Expenses (Gains),-100000,200000,-800000,-1700000,-2300000,-2100000,-1500000,-1000000,-700000,-1200000,-746197,-1288878,-7185000,-7620000,-4007000,-2728000,-378000,-269000,12118000,-40000,46342000,17021000,24252000,17358000,-344000,5408000,-791000,6459000,3755000,4439000,-2752000,1584000,1942000,1174000,3354000,1145000,5933000
20,Income Before Tax,2000000,- -,1200000,400000,-7300000,-1300000,1100000,200000,1300000,2400000,3124722,3951564,11021000,25457000,-19120000,1120000,-4248000,1790000,10945000,4131000,45084000,18380000,30585000,24206000,-5113000,2359000,-2534000,6852000,6333000,4413000,-3546000,9400000,12178000,14889000,12824000,6681000,6634000
21,Income Before Tax Ratio,0.1538,- -,0.0290,0.0070,-0.1337,-0.0281,0.0286,0.0045,0.0298,0.0416,0.0530,0.0656,0.0564,0.1022,-0.1886,0.0116,-0.0597,0.0265,0.1958,0.0764,0.9365,0.2739,0.4063,0.2740,-0.0900,0.0424,-0.0425,0.1084,0.1294,0.1103,-0.0904,0.1343,0.1511,0.1510,0.1577,0.0863,0.0778
22,Income Tax expense (Gain),800000,100000,800000,200000,-1200000,-500000,400000,200000,300000,800000,1086000,1195000,4125000,10375000,-6576000,-148000,- -,-39000,3685000,1527000,13777000,6793000,12090000,8959000,-2562000,-610000,-2758000,2380000,-392000,940000,-1727000,2357000,3760000,2325000,2628000,1150000,829000
23,Net Income,1200000,- -,400000,200000,-6100000,-800000,700000,200000,1000000,1600000,2536423,2756564,6896000,15082000,-23866000,792000,8923000,2070000,7260000,2604000,31307000,11587000,18495000,15247000,-2551000,2969000,224000,4472000,6725000,3473000,-1819000,7043000,8418000,12564000,10196000,5531000,5805000
24,Net Income ratio,0.0923,- -,0.0097,0.0035,-0.1117,-0.0173,0.0182,0.0045,0.0229,0.0277,0.0430,0.0458,0.0353,0.0605,-0.2354,0.0082,0.1254,0.0307,0.1299,0.0482,0.6503,0.1727,0.2457,0.1726,-0.0449,0.0534,0.0038,0.0708,0.1374,0.0868,-0.0464,0.1006,0.1044,0.1274,0.1254,0.0714,0.0681
25,EPS,0.13,0.01,0.04,0.02,-0.64,-0.64,0.07,0.03,0.10,0.17,0.24,0.26,0.49,1.21,-1.83,0.06,0.69,0.16,0.56,0.20,2.33,0.78,1.27,1.06,-0.18,0.21,0.01,0.31,0.47,0.24,-0.13,0.48,0.58,0.87,0.70,0.38,0.40
26,EPS Diluted,0.13,0.01,0.04,0.02,-0.64,-0.64,0.07,0.03,0.10,0.17,0.24,0.26,0.48,1.01,-1.83,0.06,0.69,0.15,0.55,0.18,2.19,0.78,1.27,1.06,-0.18,0.21,0.01,0.31,0.47,0.24,-0.13,0.48,0.57,0.85,0.69,0.38,0.39
27,Weighted Average Shares Outstanding,9000000,10000000,10000000,10000000,9531250,9375000,9545455,9000000,10000000,9230769,10396350,10680954,13989489,12498895,13017818,13200000,12994660,12937500,12964286,13020000,13417286,14855128,14524869,14383962,14419500,14371500,14277000,14277000,14277000,14277000,14283000,14334000,14396000,14492000,14551000,14555263,14512500
28,Weighted Average Shares Outstanding Diluted,9000000,10000000,10000000,10000000,9531250,9375000,9545455,9000000,10000000,9230769,10396350,10680954,14285931,14883553,13017818,13200000,12994660,13500000,13280488,14466667,14273708,14855128,14524869,14383962,14419500,14371500,14277000,14277000,14280000,14385000,14283000,14524000,14680000,14723000,14708000,14555263,14884615
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64472/000093176395000223/0000931763-95-000223-index.html,https://www.sec.gov/Archives/edgar/data/64472/000093176396001109/0000931763-96-001109-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64472/000119312503099730/0001193125-03-099730-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312504217456/0001193125-04-217456-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312505248438/0001193125-05-248438-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312506259225/0001193125-06-259225-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312507267732/0001193125-07-267732-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312508252779/0001193125-08-252779-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312509261021/0001193125-09-261021-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312510286643/0001193125-10-286643-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312511343866/0001193125-11-343866-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312512502875/0001193125-12-502875-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312513472948/0001193125-13-472948-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312514437215/0001193125-14-437215-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312515398371/0001193125-15-398371-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312516783228/0001193125-16-783228-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312517362916/0001193125-17-362916-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312518348654/0001193125-18-348654-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312519310985/0001193125-19-310985-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312520320959/0001193125-20-320959-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312521361338/0001193125-21-361338-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3700000,500000,1000000,1500000,2800000,1800000,1300000,200000,400000,3900000,415668,1501546,10287000,8848000,9581000,17971000,14158000,12305000,734000,550000,4206000,1110000,3707000,4068000,3677000,3004000,1715000,3361000,9557000,7193000,11152000,18219000,22933000,8012000,10302000,35584000,23232000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32787000,35949000,51780000,53976000,57530000,73327000,72486000,81375000,83113000,87112000,84357000,85938000,87886000,104058000,105322000,89498000,94976000
33,Cash and Short-Term Investments,3700000,500000,1000000,1500000,2800000,1800000,1300000,200000,400000,3900000,415668,1501546,10287000,8848000,9581000,17971000,14158000,12305000,734000,550000,36993000,37059000,55487000,58044000,61207000,76331000,74201000,84736000,92670000,94305000,95509000,104157000,110819000,112070000,115624000,125082000,118208000
34,Net Receivables,2900000,4400000,8100000,7000000,8000000,4200000,6300000,4700000,5700000,5500000,- -,24645679,36465000,42980000,42142000,24130000,8672000,8512000,3344000,2521000,3949000,5738000,4858000,7527000,5681000,1979000,1573000,1206000,1200000,1792000,3270000,6031000,7952000,12893000,15441000,8397000,4525000
35,Inventory,3600000,11900000,12600000,16100000,12500000,11900000,10100000,13600000,13000000,12100000,14714777,41536558,46175000,50332000,39780000,41394000,23105000,19012000,12560000,16944000,19236000,22960000,34694000,35044000,22240000,17341000,12878000,11918000,14126000,13673000,12770000,11634000,16687000,18214000,25366000,27090000,41888000
36,Other Current Assets,200000,200000,300000,1100000,700000,400000,500000,700000,2100000,1900000,9186722,2128864,2466000,3535000,1921000,2374000,2021000,1938000,2693000,2180000,3567000,1877000,1353000,1007000,7822000,3445000,6772000,4230000,795000,849000,817000,1598000,1660000,1904000,499000,1189000,2202000
37,Total Current Assets,10400000,17000000,22000000,25700000,24000000,18300000,18200000,19200000,21200000,23400000,24317167,69812647,95393000,105695000,93424000,85869000,47956000,41767000,19331000,22195000,63745000,67634000,96392000,101622000,96950000,99096000,95424000,102090000,108791000,110619000,112366000,123420000,137118000,145081000,156930000,161758000,166823000
38,PP&E,5200000,8000000,12000000,14600000,14000000,13000000,12200000,11400000,11300000,10700000,10453405,36795774,38414000,43782000,35777000,33567000,16774000,15693000,11585000,11317000,13754000,12949000,7660000,8817000,8207000,7773000,8349000,8127000,8079000,7141000,6388000,5239000,5722000,7889000,8389000,8341000,11801000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9107183,16119000,18058000,13107000,12018000,379000,364000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9107183,16119000,18058000,13107000,12018000,379000,364000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1331000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2400000,1700000,300000,500000,300000,300000,1200000,1700000,2600000,400000,360906,3345791,13226000,14524000,9639000,8492000,4478000,4360000,9718000,9300000,511000,391000,175000,184000,444000,358000,602000,95000,78000,68000,59000,53000,53000,53000,53000,995000,838000
45,Total Non-Current Assets,7600000,9700000,12300000,15100000,14300000,13300000,13400000,13100000,13900000,11100000,10814311,49248748,67759000,76364000,58523000,54077000,21631000,20417000,21303000,20617000,14265000,13340000,7835000,9001000,8651000,8131000,8951000,8222000,8157000,7209000,7778000,5292000,5775000,7942000,8442000,9336000,12639000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18000000,26700000,34300000,40800000,38300000,31600000,31600000,32300000,35100000,34500000,35131478,119061395,163152000,182059000,151947000,139946000,69587000,62184000,40634000,42812000,78010000,80974000,104227000,110623000,105601000,107227000,104375000,110312000,116948000,117828000,120144000,128712000,142893000,153023000,165372000,171094000,179462000
48,Accounts Payable,- -,- -,- -,- -,6500000,3500000,3800000,5500000,5900000,3700000,7167886,13368333,15825000,15715000,21457000,17079000,8788000,9000000,3448000,3477000,4491000,5622000,4132000,4442000,2342000,1373000,1978000,1881000,1283000,947000,1529000,1443000,1320000,1838000,1907000,1728000,3105000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1545591,4227518,4842000,12671000,102115000,105867000,1495000,6264000,- -,- -,- -,- -,- -,- -,786000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328000,393000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3639000,- -,- -,- -,- -,- -,- -,- -,- -,- -,760000,- -,- -,- -,- -,- -,175000,225000,447000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,756000,480000,1943000,324000,4418000,4484000,8628000,4563000,1918000,3853000,5244000
52,Other Current Liabilities,3400000,6700000,14300000,19900000,16300000,14100000,8600000,8900000,10100000,11500000,4556303,12356412,28999000,19896000,26165000,17726000,19388000,13979000,13070000,14960000,5870000,6266000,9916000,6891000,3723000,4801000,2842000,3517000,2810000,1689000,1452000,2264000,2426000,2085000,2660000,2605000,2645000
53,Total Current Liabilities,3400000,6700000,14300000,19900000,22800000,17600000,12400000,14400000,16000000,15200000,13269780,29952263,49666000,48282000,149737000,140672000,29671000,29243000,16518000,18437000,10361000,11888000,14048000,11333000,6851000,6174000,5576000,5878000,6036000,2960000,7399000,8191000,12374000,8486000,6485000,8514000,11387000
54,Long-Term Debt,5300000,10800000,9700000,10400000,11400000,10600000,14800000,13400000,12400000,11600000,11708403,73746253,86489000,89510000,- -,- -,34333000,24337000,5321000,5701000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,200000,- -,- -,- -,- -,1300000,600000,511000,1437841,738000,1884000,- -,- -,- -,- -,2877000,71000,16214000,6043000,6398000,275000,2453000,2525000,- -,974000,484000,693000,- -,316000,1601000,2358000,3372000,746000,394000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1525800,5047000,5741000,6485000,6697000,3309000,3309000,3309000,3309000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,614000,- -
58,Total Non-Current Liabilities,5300000,10800000,9700000,10600000,11400000,10600000,14800000,13400000,13700000,12200000,12219403,76709894,92274000,97135000,6485000,6697000,37642000,27646000,11507000,9081000,16214000,6043000,6398000,275000,2453000,2525000,- -,974000,484000,693000,- -,316000,1601000,2358000,3372000,1360000,786000
59,Other Liabilities,10700000,10700000,19600000,10600000,22900000,10600000,14800000,13400000,13700000,12200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942000,785000
61,Total Liabilities,8800000,17400000,24200000,30500000,34300000,28200000,27200000,27800000,29700000,27400000,25489183,106662157,141940000,145417000,156222000,147369000,67313000,56889000,28025000,27518000,26575000,17931000,20446000,11608000,9304000,8699000,5576000,6852000,6520000,3653000,7399000,8507000,13975000,10844000,9857000,9874000,12173000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203930,206180,415000,883000,886000,886000,886000,886000,886000,897000,1008000,994000,961000,961000,961000,961000,952000,952000,952000,952000,954000,1437000,1441000,1454000,1459000,1461000,1466000
64,Retained Earnings,3200000,3200000,3600000,3800000,-2300000,-3100000,-2100000,300000,-900000,700000,2328655,4998558,11804000,26667000,-10902000,-10110000,-1187000,883000,8143000,10747000,42054000,53641000,72136000,87383000,84794000,87763000,87987000,92459000,99184000,102657000,100838000,107881000,116299000,128863000,141897000,147428000,153233000
65,Other Comprehensive Income/Loss,-1200000,-1000000,-2300000,-3100000,-4100000,-5200000,-5500000,-6300000,-7400000,-7700000,- -,- -,- -,- -,- -,- -,- -,- -,-5964000,-6113000,-1582000,-1865000,164000,129000,- -,-18688000,-19473000,-18617000,-17490000,-17746000,-18970000,-19569000,-20479000,-21750000,-23205000,-24834000,- -
66,Other Total Stockholders Equity,7200000,7100000,8800000,9600000,10400000,11700000,12000000,10500000,13700000,14100000,7109710,7194500,8993000,9092000,5741000,1801000,2575000,3526000,9544000,9763000,9955000,10273000,10520000,10542000,10542000,28492000,29333000,28666000,27782000,28312000,29923000,30456000,31657000,33612000,35364000,37165000,12590000
67,Total Stockholders Equity,9200000,9300000,10100000,10300000,4000000,3400000,4400000,4500000,5400000,7100000,9642295,12399238,21212000,36642000,-4275000,-7423000,2274000,5295000,12609000,15294000,51435000,63043000,83781000,99015000,96297000,98528000,98799000,103460000,110428000,114175000,112745000,120205000,128918000,142179000,155515000,161220000,167289000
68,Total Liabilities And Stockholders Equity,18000000,26700000,34300000,40800000,38300000,31600000,31600000,32300000,35100000,34500000,35131478,119061395,163152000,182059000,151947000,139946000,69587000,62184000,40634000,42812000,78010000,80974000,104227000,110623000,105601000,107227000,104375000,110312000,116948000,117828000,120144000,128712000,142893000,153023000,165372000,171094000,179462000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18000000,26700000,34300000,40800000,38300000,31600000,31600000,32300000,35100000,34500000,35131478,119061395,163152000,182059000,151947000,139946000,69587000,62184000,40634000,42812000,78010000,80974000,104227000,110623000,105601000,107227000,104375000,110312000,116948000,117828000,120144000,128712000,142893000,153023000,165372000,171094000,179462000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64472/000093176395000223/0000931763-95-000223-index.html,https://www.sec.gov/Archives/edgar/data/64472/000093176396001109/0000931763-96-001109-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64472/000119312503099730/0001193125-03-099730-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312504217456/0001193125-04-217456-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312505248438/0001193125-05-248438-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312506259225/0001193125-06-259225-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312507267732/0001193125-07-267732-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312508252779/0001193125-08-252779-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312509261021/0001193125-09-261021-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312510286643/0001193125-10-286643-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312511343866/0001193125-11-343866-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312512502875/0001193125-12-502875-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312513472948/0001193125-13-472948-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312514437215/0001193125-14-437215-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312515398371/0001193125-15-398371-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312516783228/0001193125-16-783228-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312517362916/0001193125-17-362916-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312518348654/0001193125-18-348654-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312519310985/0001193125-19-310985-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312520320959/0001193125-20-320959-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312521361338/0001193125-21-361338-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-6100000,-800000,700000,200000,1000000,1600000,2536423,2756564,6896000,15082000,-23866000,792000,8923000,2070000,7260000,2604000,31307000,11587000,18495000,15247000,-2551000,2969000,224000,4472000,6725000,3473000,-1819000,7043000,8418000,12564000,10196000,5531000,5805000
74,Depreciation and Amortization,- -,- -,- -,- -,-1100000,-1200000,-1000000,-1000000,-700000,-900000,757568,694818,4445000,6137000,4731000,5240000,4021000,1378000,1371000,828000,847000,1358000,932000,948000,899000,905000,890000,1075000,1232000,1372000,1385000,1397000,1128000,1380000,1600000,1643000,2591000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-300000,200000,-100000,- -,-133000,-182000,4316000,77000,2744000,- -,- -,- -,1811000,-2342000,14824000,-8837000,2714000,-6123000,-2490000,6000,-3052000,2161000,-490000,209000,-2024000,1647000,1285000,757000,732000,-2626000,-451000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,189000,243000,263000,253000,37000,71000,71000,71000,71000,- -
77,Change in Working Capital,- -,- -,- -,- -,8100000,-500000,5100000,-1000000,400000,3000000,2847387,28812997,5866616,11686000,-113726000,1510000,73088000,-5761000,-9711000,945000,49626000,2362000,26598000,7945000,-190000,2823000,-3074000,6364000,6543000,4904000,-2692000,10262000,9515000,11851000,13850000,2799000,1303000
78,Accounts Receivable,- -,- -,- -,- -,-900000,3900000,- -,1400000,-1500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000,3081000,468000,1000,-59000,-308000,514000,-341000,-189000,-19000,-785000,-439000,-680000
79,Inventory,- -,- -,- -,- -,3500000,800000,1800000,-3600000,600000,900000,-2603986,-5913090,10208000,-996000,7496000,-1614000,457000,3262000,4288000,-4384000,-2292000,-3724000,-11734000,-350000,3838000,4962000,4463000,960000,-2208000,453000,968000,1136000,-5053000,-1527000,-3476000,-1724000,-4413000
80,Accounts Payable,- -,- -,- -,- -,3100000,-4300000,900000,1500000,500000,-2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-969000,- -,-97000,-598000,-336000,582000,-86000,-123000,518000,69000,-179000,1377000
81,Other Working Capital,- -,- -,- -,- -,1200000,700000,5800000,4800000,5200000,8200000,11047387,39860384,45727000,57413000,-56313000,-54803000,18285000,12524000,2813000,3758000,53384000,55746000,82344000,90289000,90099000,92922000,89848000,96212000,102755000,107659000,104967000,115229000,124744000,136595000,150445000,153244000,- -
