,https://roic.ai/company/TRIB,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
61,Total Liabilities,- -,- -,- -,- -,17500000,30400000,22100000,12500000,20800000,27300000,37800000,37100000,51000000,81900000,79100000,63600000,53100000,19600000,20200000,28000000,- -,- -,- -,140865000,127419000,107605000,126358000,132616000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,400000,400000,500000,600000,600000,600000,700000,800000,800000,1000000,1000000,1100000,1100000,1100000,1100000,1100000,- -,- -,- -,1224000,1224000,1213000,1213000,1213000
64,Retained Earnings,- -,- -,- -,- -,-28700000,-25600000,-20700000,-15900000,-14500000,-9800000,-3900000,-2400000,10200000,14800000,-19100000,-95000000,-82600000,-20900000,154100000,170900000,- -,- -,- -,91316000,47785000,55342000,16168000,10573000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-8200000,-8800000,-9200000,-10400000,-10200000,-4448404,-3835650,-6079000,2281000,3692000,4801000,-34600000,400000,-544000,-1000000,4135000,4329000,-30000,-4902000,-1780000,-3223000,-3743000,-3910000,-5270000
66,Other Total Stockholders Equity,- -,- -,- -,- -,43600000,48600000,52400000,80400000,80300000,76246700,87297577,123817000,120337000,147770000,150144000,194405000,160444000,161631000,-2868000,-6755000,- -,- -,- -,17967000,19410000,-8758000,-8758000,-8735000
67,Total Stockholders Equity,- -,- -,- -,- -,7100000,14600000,23000000,54700000,56200000,62598296,80261927,116138000,133618000,167262000,136845000,65905000,79344000,141287000,151332000,169380000,183011000,196972000,213892000,108727000,65196000,44054000,4713000,-2219000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,24600000,45000000,45100000,67200000,77000000,89898296,118061927,153238000,184618000,249162000,215945000,129505000,132444000,160887000,171532000,197380000,- -,- -,- -,249592000,192615000,151659000,131071000,130397000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-98296,38073,2762000,-18000,-62000,55000,-5000,-44000,13000,-32000,20000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,24600000,45000000,45000000,67200000,77000000,89800000,118100000,156000000,184600000,249100000,216000000,129500000,132400000,160900000,171500000,197400000,- -,- -,- -,249592000,192615000,151659000,131071000,130397000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888721/000089109207001819/e27199_20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000136231008001761/c72862e20vf.htm,https://www.sec.gov/Archives/edgar/data/888721/000136231009004973/c83351e20vf.htm,https://www.sec.gov/Archives/edgar/data/888721/000095012310035132/c99241e20vf.htm,https://www.sec.gov/Archives/edgar/data/888721/000095012311035540/c15519e20vf.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312512152885/d329490d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312513143194/d516156d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312514136374/d710080d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312515104123/d870315d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312516535157/d171555d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312517133793/d358834d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000117891318001216/zk1821471.htm,https://www.sec.gov/Archives/edgar/data/888721/000117891319001463/zk1922964.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-3300000,-2400000,-2600000,-1300000,1600000,1000000,1700000,700000,5000000,5100000,5700000,5300000,6100000,-38700000,-73900000,11800000,60400000,15600000,17300000,9600000,17214000,21796000,-100625000,-40270000,-22090000,-28914000,-6388000
74,Depreciation and Amortization,- -,200000,200000,200000,400000,800000,1504533,1960726,2674321,3510128,2223667,4389000,4237000,6423000,7759000,8041000,3745000,2819000,2593000,2831000,3590000,4495000,5642000,6132000,5199000,4121000,4894000,3077000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2017000,574000,853000,1080000,-8630000,-374000,-1115000,-1006000,-182000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1166000,521000,1109000,1269000,1713000,2014000,1496000,1550000,1414000,928000,1369000,758000,792000
77,Change in Working Capital,- -,-600000,300000,-2600000,-2500000,-4000000,-2058627,-4636443,-2222791,-3850829,-8630276,-7818000,-2034000,-7355000,91000,-2745000,-4165000,1842000,-1166000,-3411000,-6900000,-4592000,-5585000,-2203000,2137000,-7091000,-796000,4145000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3094000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,100000,- -,-200000,-500000,-2100000,538120,-4501435,-1930323,-2094812,-6005103,-5883000,1311000,-5434000,-7101000,2062000,2372000,-2826000,-2409000,-1374000,-7258000,-4487000,-2336000,-3622000,-2461000,1988000,-2959000,-3419000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1574000,- -,22000,3255000,624000,-3329000,1270000,2017000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,852000,-533000,2275000,300000,1567000,5059000
82,Other Non-Cash Items,- -,600000,1100000,1400000,2000000,600000,3375618,3997145,3909336,6992737,4911131,-2229000,1706000,2200000,46199000,78167000,2831000,-43097000,2160000,-489000,479000,-3407000,-11327000,114140000,41630000,32035000,30481000,22311000
83,Cash Provided by Operating Activities,- -,-3100000,-800000,-3600000,-1400000,-1000000,3821524,3021428,5060866,11652036,3604522,42000,9209000,7368000,15349000,10729000,14732000,23073000,20456000,19961000,9357000,16059000,13156000,10228000,9250000,7229000,5417000,23755000
84,CAPEX,- -,-100000,-100000,-2500000,-8100000,-2800000,-1445728,-1173921,-1343370,-2516982,-3856069,-3689000,-4039000,-10836000,-16113000,-12694000,-10584000,-9017000,-9235000,-15296000,-23176000,-27756000,-27698000,-21875000,-16180000,-17391000,-11853000,-10198000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-10511094,-13103555,-4777388,-4408692,-762518,-19090000,-14981000,-46136000,-7886000,-2802000,- -,- -,-2145000,5336000,-38017000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,100000,1300000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11250000,11250000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-500000,-800000,-7200000,5723683,-1360032,-1295901,-468941,-6220162,-3264000,-5378000,-6295000,15584000,-8173000,-7854000,59669000,-6799000,-23881000,-18687000,-19486000,-20604000,-17660000,-11341000,-9863000,-9718000,-6990000
89,Cash Used for Investing Activites,- -,- -,1200000,-3000000,-8900000,-10000000,-6233139,-15637508,-7416659,-7394615,-10838749,-26043000,-24398000,-63267000,-8415000,-14688000,-10335000,56885000,-130000,-9960000,-61193000,-27756000,-27698000,-21875000,-16180000,-17391000,-11853000,-10198000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6011000,-5946000,-30413000,- -,-109000,- -,- -,-138000,-282000,-295000,-12416000,-3533000,-3240000
91,Common Stock Issued,- -,2900000,7500000,3800000,4300000,2700000,3311136,21580892,74144,558698,2251844,31708000,4755000,25265000,5000000,7116000,897000,1023000,1189000,2505000,3662000,3642000,2943000,857000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-400000,-700000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6094000,-5343000,- -,- -,- -,-9322000,-7799000,-434000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2145000,-3224000,-4373000,-5029000,-5099000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-100000,- -,300000,4600000,6200000,528930,-7675845,914714,4500279,4440865,-2058000,4924000,23356000,-6108000,-624000,1537000,1406000,-197000,-22000,-87000,-40000,109814000,-4608000,-4549000,-4022000,-3996000,524000
95,Cash Used/Provided by Financing Activities,- -,2400000,6800000,4000000,8900000,8900000,3840066,13905047,988858,5058977,6692709,29650000,9679000,48621000,-1108000,481000,-3512000,-27984000,-7247000,-6193000,-798000,-1427000,107520000,-13355000,-12643000,-16872000,-7529000,-2716000
96,Effect of Forex Changes on Cash,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,252000,218000,53000,-38000,9000,-50000,4000,54000,4000,-91000,-127000,158000,71000,-296000,88000,86000
97,Net Change In Cash,- -,2400000,6800000,4000000,8900000,-2200000,1428451,1288967,-1366935,9316398,-541518,3649000,-5258000,-7060000,5879000,-3516000,894000,51924000,13083000,3862000,-52630000,-13215000,92851000,-24844000,-19502000,-27330000,-13877000,10927000
98,Cash at the End of Period,- -,- -,- -,- -,- -,1300000,3064443,4275595,5281976,38625257,20563418,22287000,9881000,2821000,8700000,5184000,6078000,58002000,71085000,74947000,22317000,9102000,101953000,77109000,57607000,30277000,16400000,27327000
99,Cash at the Beginning of Period,- -,1000000,300000,7900000,4200000,3500000,1635992,2986628,6648911,29308859,21104936,18638000,15139000,9881000,2821000,8700000,5184000,6078000,58002000,71085000,74947000,22317000,9102000,101953000,77109000,57607000,30277000,16400000
100,Free Cash Flow,- -,-3200000,-900000,-6100000,-9500000,-3800000,2375796,1847507,3717496,9135054,-251547,-3647000,5170000,-3468000,-764000,-1965000,4148000,14056000,11221000,4665000,-13819000,-11697000,-14542000,-11647000,-6930000,-10162000,-6436000,13557000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888721/000089109207001819/e27199_20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000136231008001761/c72862e20vf.htm,https://www.sec.gov/Archives/edgar/data/888721/000136231009004973/c83351e20vf.htm,https://www.sec.gov/Archives/edgar/data/888721/000095012310035132/c99241e20vf.htm,https://www.sec.gov/Archives/edgar/data/888721/000095012311035540/c15519e20vf.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312512152885/d329490d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312513143194/d516156d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312514136374/d710080d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312515104123/d870315d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312516535157/d171555d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000119312517133793/d358834d20f.htm,https://www.sec.gov/Archives/edgar/data/888721/000117891318001216/zk1821471.htm,https://www.sec.gov/Archives/edgar/data/888721/000117891319001463/zk1922964.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
