,https://roic.ai/company/LOAN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68431,30879,35578,28767,13664,13589,13065,13065,13064,13064,- -
77,Change in Working Capital,-200000,6900000,-257184,-81534,-798392,1050035,1174552,-2029847,570890,153751,-18925,669066,701578,-2270730,-180822,-905209,4171771,-2041214,13442626,7272467,4443325,20665216,-52631420,752417
78,Accounts Receivable,-1100000,-1200000,-1145635,-1164477,-1176338,-548198,-504094,14093,-6122,-41184,- -,- -,- -,- -,-50437,-11141,-42283,-168806,36053,-188526,-61732,-79219,-180911,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,257931,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-100000,45797,24354,-134116,-43042,-409723,88620,147206,-65818,- -,- -,- -,- -,10331,-13337,106556,-63979,5898,62019,16157,- -,- -,- -
81,Other Working Capital,- -,6900000,6642816,6561282,5762890,6812925,7987477,5957630,6528520,6682271,6663346,7332412,8033990,5763260,5582438,4677229,8849000,6807786,20250412,27522879,31966204,52631420,- -,752417
82,Other Non-Cash Items,200000,-6700000,918175,-137544,2240886,-2738009,-2698651,1790864,-894060,-662656,934905,-423169,-800193,2325235,294144,1072421,-4376593,1905869,-13245127,-7266460,-4303753,-20742626,52609376,-6221290
83,Cash Provided by Operating Activities,400000,500000,65918,-232224,234467,600574,-359470,-676149,-453133,-486728,400961,485607,223882,381297,533399,785757,1278450,2121604,3051858,3462201,4360772,4431578,4221533,- -
84,CAPEX,- -,-100000,-118111,-92637,-97068,-155296,-24969,-6072,-18729,-3215,- -,- -,- -,- -,- -,- -,146821,-9260,-3019,-1666,-1148,- -,-8759,- -
85,Acquisitions Net,- -,- -,- -,- -,-70537,-100000,1800245,- -,-107500,-309223,97222,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-4019305,-6796164,-8573154,-10446362,-14497087,-2591432,-1544637,-6514756,-7204229,-6141593,-146821,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,424681,3681343,7901498,11447699,17322791,2628275,4359132,5265907,6543231,4893785,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,1254197,395134,288008,271755,-5024542,944069,- -,- -,-1258059,-4210014,-1070584,-9356614,-6871564,-3851280,-10368680,-9712127,1366113,-4598285,- -
89,Cash Used for Investing Activites,- -,- -,-118111,-3687261,-3282426,327245,3171747,3107640,182369,-2522485,-207558,-660998,-1247808,-1404880,-4210014,-1070584,-9209793,-6880824,-3854299,-10370346,-9713275,1366113,-4607044,- -
90,Debt Repayment,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,-6433871,- -,-292447,-1389154,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,21200,71580,266980,34421,5520,- -,- -,- -,- -,- -,- -,- -,4288765,4237198,4210986,- -,9882780,- -,- -,- -
92,Common Stock Repurchased,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,-8831,-1456,- -,- -,-28572,-99363,- -,- -,- -,-172156,-48743,-29454,-179251,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-744113,-1803227,-314246,- -,- -,- -,- -,- -,- -,-128020,-853499,-2129181,-2704293,-3288621,-3998825,-4636173,-4143286,- -
94,Other Financing Activites,- -,6600000,- -,- -,- -,- -,10779,- -,- -,- -,78000,- -,702500,859465,3723975,1792540,3522730,2710363,5719082,10409064,28354,20440,5048778,- -
95,Cash Used/Provided by Financing Activities,-200000,6400000,- -,- -,21200,71580,-466354,-1768806,-308726,- -,69169,-1456,702500,859465,3695403,1065157,6957996,4818380,791904,6948287,5571119,-6034341,726241,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-200000,6900000,-52193,-3919485,-3026759,999399,2345923,662685,-579490,-3009213,262572,-176847,-321426,-164118,18788,780330,-973347,59160,-10537,40142,218616,-236650,340730,- -
98,Cash at the End of Period,- -,7200000,7148664,3229179,202420,1201819,3547742,4210427,3630937,621724,884296,707449,386023,221905,240693,1021023,47676,106836,96299,136441,355057,118407,459137,- -
99,Cash at the Beginning of Period,100000,300000,7200857,7148664,3229179,202420,1201819,3547742,4210427,3630937,621724,884296,707449,386023,221905,240693,1021023,47676,106836,96299,136441,355057,118407,459137
100,Free Cash Flow,400000,400000,-52193,-324861,137399,445278,-384439,-682221,-471862,-489943,400961,485607,223882,381297,533399,785757,1259362,2112344,3048839,3460535,4359624,4431578,4212774,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1080340/000116923205001505/0001169232-05-001505-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000116923206002215/0001169232-06-002215-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000116923207001565/0001169232-07-001565-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000116923208001360/0001169232-08-001360-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000116923209001603/0001169232-09-001603-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000114420410013737/0001144204-10-013737-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000114420411015167/0001144204-11-015167-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000114420412016174/0001144204-12-016174-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000114420413016885/0001144204-13-016885-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000114420414017236/0001144204-14-017236-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000114420415017617/0001144204-15-017617-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000114420416086636/0001144204-16-086636-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000149315217002439/0001493152-17-002439-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000149315218003536/0001493152-18-003536-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000149315219003521/0001493152-19-003521-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000149315220004111/0001493152-20-004111-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000149315221005781/0001493152-21-005781-index.htm,https://www.sec.gov/Archives/edgar/data/1080340/000149315222006642/0001493152-22-006642-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
