,https://roic.ai/company/STRA,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,12200000,12700000,14300000,17200000,19100000,25670000,33880000,41009000,53851000,68666000,92992000,129624000,138588000,173003000,215749000,156288000,448392000,470899000,364294000,364739000,383616000,402642000,591271000,864682000,892117000,412840000
11,COGS and Expenses,29000000,32400000,36700000,42300000,47287000,59369000,75481000,94125000,117711000,145643000,184112000,238476000,269424000,339607000,420961000,448291000,448392000,470899000,364294000,364739000,383616000,402642000,591271000,864682000,892117000,1021101000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1228000,152000,4000,2000,117000,283000,- -,1079000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3773000,4616000,5419000,5248000,3850000,642000,642000,- -,- -,- -,- -
14,Depreciation and Amortization,1000000,1200000,1600000,1900000,2063000,2643000,3551000,4704000,5989000,6849000,7249000,8260000,10480000,13937000,17309000,21525000,23973000,35563000,20630000,18104000,17817000,18733000,54543000,104861000,109154000,103416000
15,EBITDA,18000000,24600000,30900000,33700000,37746000,39941000,46065000,60024000,73067000,84695000,91327000,112312000,141858000,187699000,234308000,200820000,137564000,68266000,102494000,88085000,75751000,72021000,35404000,228585000,223111000,180015000
16,EBITDA ratio,0.4000,0.4633,0.4913,0.4828,0.4826,0.4300,0.3947,0.4083,0.3989,0.3841,0.3464,0.3532,0.3580,0.3666,0.3680,0.3201,0.2448,0.1356,0.2298,0.2028,0.1717,0.1583,0.0558,0.2292,0.2171,0.1591
17,Operating Income,16000000,20700000,26200000,27500000,30927000,33507000,41229000,52900000,65483000,74864000,79536000,79536000,126851000,172354000,215771000,179143000,113587000,32701000,81747000,69698000,57472000,52209000,-22740000,110532000,109384000,73912000
18,Operating Income ratio,0.3556,0.3898,0.4165,0.3940,0.3954,0.3608,0.3533,0.3598,0.3575,0.3395,0.3017,0.2501,0.3201,0.3367,0.3389,0.2855,0.2021,0.0649,0.1833,0.1604,0.1303,0.1148,-0.0359,0.1108,0.1064,0.0653
19,Total Other Income Expenses (Gains),1000000,2700000,3200000,4300000,4756000,3791000,1285000,2420000,1595000,2982000,4542000,24516000,4527000,1408000,1228000,-3621000,-4612000,-5417000,-5131000,-3567000,-180000,437000,3601000,13192000,4573000,2687000
20,Income Before Tax,17000000,23400000,29400000,31800000,35683000,37298000,42514000,55320000,67078000,77846000,84078000,104052000,131378000,173762000,216999000,175522000,108975000,27284000,76616000,66131000,57292000,52646000,-19139000,123724000,113957000,76599000
21,Income Before Tax Ratio,0.3778,0.4407,0.4674,0.4556,0.4562,0.4016,0.3643,0.3763,0.3662,0.3530,0.3189,0.3272,0.3315,0.3394,0.3408,0.2797,0.1939,0.0542,0.1718,0.1522,0.1299,0.1157,-0.0302,0.1241,0.1109,0.0677
22,Income Tax expense (Gain),2700000,9000000,11400000,12500000,13974000,14489000,16730000,21646000,25838000,29781000,31771000,39115000,50570000,68684000,85739000,69478000,43045000,10859000,30260000,26108000,22490000,32034000,-3468000,42586000,27689000,21512000
23,Net Income,14300000,14400000,17900000,19300000,21709000,22809000,25784000,33674000,41240000,48065000,52307000,64937000,80808000,105078000,131260000,106044000,65930000,16425000,46356000,40023000,34802000,20612000,-15671000,81138000,86268000,55087000
24,Net Income ratio,0.3178,0.2712,0.2846,0.2765,0.2776,0.2456,0.2209,0.2290,0.2251,0.2180,0.1984,0.2042,0.2039,0.2052,0.2061,0.1690,0.1173,0.0326,0.1039,0.0921,0.0789,0.0453,-0.0247,0.0814,0.0839,0.0487
25,EPS,0.56,0.96,1.15,1.25,1.42,1.62,2.14,2.67,2.91,3.32,3.69,4.56,5.77,7.67,9.78,8.91,5.79,1.55,4.39,3.78,3.28,1.93,-1.03,3.73,3.81,2.30
26,EPS Diluted,0.55,0.93,1.12,1.23,1.41,1.55,1.78,2.27,2.74,3.26,3.61,4.47,5.67,7.60,9.70,8.88,5.76,1.55,4.35,3.73,3.21,1.84,-1.03,3.67,3.77,2.28
27,Weighted Average Shares Outstanding,16442308,15000000,15565217,15440000,15288028,10970000,8617000,10694000,13674000,14472000,14187000,14248000,14015000,13703000,13426000,11906000,11390000,10584000,10561000,10588000,10610000,10678000,15190000,21725000,22633000,23955000
28,Weighted Average Shares Outstanding Diluted,16442308,15483871,15982143,15691057,15396454,14737000,14516000,14857000,15057000,14741000,14492000,14517000,14242000,13825000,13535000,11943000,11440000,10624000,10650000,10740000,10845000,11199000,15801000,22097000,22860000,24122000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1013934/000095013397000986/0000950133-97-000986-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013934/000095013399000880/0000950133-99-000880-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013300001091/0000950133-00-001091-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013301500239/0000950133-01-500239-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013602000892/0000950136-02-000892-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013603000750/0000950136-03-000750-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013604000564/0000950136-04-000564-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013605001114/0000950136-05-001114-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013606001965/file001.htm,https://www.sec.gov/Archives/edgar/data/1013934/000095013607001170/file1.htm,https://www.sec.gov/Archives/edgar/data/1013934/000095013608000727/file1.htm,https://www.sec.gov/Archives/edgar/data/1013934/000095012309002952/0000950123-09-002952-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095012310018178/0000950123-10-018178-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095012311016592/w80904e10vk.htm,https://www.sec.gov/Archives/edgar/data/1013934/000119312512070612/0001193125-12-070612-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000121390013000794/0001213900-13-000794-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000121390014001156/f10k2013_strayereducation.htm,https://www.sec.gov/Archives/edgar/data/1013934/000121390015001283/d32093_10-k.htm,https://www.sec.gov/Archives/edgar/data/1013934/000121390016011094/0001213900-16-011094-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000155837017000669/0001558370-17-000669-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000155837018001389/0001558370-18-001389-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000155837019001422/0001558370-19-001422-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000101393420000004/0001013934-20-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013934/000101393422000004/0001013934-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11800000,15900000,18600000,12200000,25190000,57659000,49135000,82089000,97004000,74212000,52663000,95036000,56379000,63958000,64107000,57137000,47517000,94760000,162283000,106889000,129245000,155933000,311732000,419693000,187509000,268918000
32,Short-Term Investments,- -,5900000,7300000,6900000,6926000,1046000,18121000,25951000,25753000,45594000,75763000,76299000,50952000,52558000,12386000,- -,- -,- -,- -,- -,- -,- -,37121000,34874000,7557000,6501000
33,Cash and Short-Term Investments,11800000,21800000,25900000,19100000,32116000,58705000,67256000,108040000,122757000,119806000,128426000,171335000,107331000,116516000,76493000,57137000,47517000,94760000,162283000,106889000,129245000,155933000,348853000,454567000,195066000,275419000
34,Net Receivables,8900000,10100000,11800000,15000000,15264000,19012000,25759000,36062000,41698000,55935000,80753000,100651000,134992000,165142000,199600000,25400000,27716000,15842000,16942000,18519000,20532000,23122000,55694000,51523000,51598000,51590000
35,Inventory,900000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6200000,700000,800000,1000000,757000,879000,773000,1656000,3679000,2581000,4653000,4097000,7175000,8317000,10231000,12131000,14422000,16738000,17426000,13390000,10766000,11293000,15814000,18004000,39458000,40777000
37,Total Current Assets,27800000,33600000,38500000,35100000,48137000,78596000,93788000,145758000,168134000,178322000,213832000,276083000,249498000,289975000,286324000,94668000,89655000,127340000,196651000,138798000,160543000,190348000,420361000,524094000,286122000,367786000
38,PP&E,7100000,8100000,13900000,16800000,19469000,23100000,36571000,35930000,41137000,46684000,52748000,57946000,66304000,84675000,116063000,121149000,121520000,94421000,82266000,77139000,73124000,73763000,122677000,201807000,279541000,300176000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,6800000,6800000,6800000,6800000,20744000,20744000,732540000,732075000,1318526000,1285864000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328344000,273011000,326420000,276380000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,6800000,6800000,6800000,6800000,20744000,20744000,1060884000,1005086000,1644946000,1562244000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37678000,36633000,48592000,23377000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,8830000,7799000,9316000,8374000,3326000,3279000,17129000,16241000,20003000,31096000,24452000,- -,- -,- -,- -
44,Other Non-Current Assets,12900000,36600000,44700000,46200000,51533000,8792000,9765000,868000,843000,839000,864000,919000,962000,1839000,2006000,5190000,6538000,8576000,5857000,5694000,13189000,11971000,19429000,21788000,36606000,52297000
45,Total Non-Current Assets,20000000,44700000,58600000,63000000,71002000,31892000,46336000,36798000,41980000,47523000,57012000,67695000,75065000,95830000,126443000,136465000,138137000,126926000,111164000,109636000,138153000,130930000,1240668000,1265314000,2009685000,1938094000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47800000,78300000,97100000,98100000,119139000,110488000,140124000,182556000,210114000,225845000,270844000,343778000,324563000,385805000,412767000,231133000,227792000,254266000,307815000,248434000,298696000,321278000,1661029000,1789408000,2295807000,2305880000
48,Accounts Payable,300000,400000,200000,200000,769000,792000,3534000,5127000,4971000,6402000,10923000,15682000,17099000,21261000,31280000,34039000,39124000,38527000,43836000,42253000,41132000,46177000,85979000,47503000,64049000,95518000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27500000,3125000,3125000,6250000,- -,- -,- -,- -,25284000,34809000,27005000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,934000,- -,- -,2569000,1286000,2684000,1883000,1038000,419000,1352000,1429000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,29853000,39134000,- -,- -,- -,- -,114872000,149804000,181112000,15364000,494000,656000,4682000,12373000,16691000,21851000,38733000,39284000,60501000,73232000
52,Other Current Liabilities,11900000,12600000,15000000,16700000,20626000,27958000,4500000,6737000,50437000,61034000,80705000,128667000,4848000,13175000,11727000,281000,281000,2850000,1567000,2965000,2016000,1038000,419000,44677000,40693000,- -
53,Total Current Liabilities,12200000,13000000,15200000,16900000,21395000,28750000,37887000,50998000,55408000,67436000,91628000,144349000,136819000,184240000,224119000,77184000,43024000,45158000,56335000,57591000,59839000,69066000,125131000,156748000,200052000,195755000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11745000,- -,90000000,121875000,118750000,112500000,- -,- -,- -,- -,- -,141823000,304451000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,975000,2591000,10068000,14562000,17981000,21033000,23880000,30925000,34866000,- -
56,Deferred Tax Liabilities,200000,200000,300000,100000,- -,- -,70000,228000,1077000,205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59358000,47942000,53407000,44595000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,149110000,95792000,98352000,4707000,6364000,7689000,10922000,11663000,- -,12644000,21656000,20930000,48865000,36180000,33425000,32502000,21982000,27436000,91083000,117340000,47089000
58,Total Non-Current Liabilities,200000,200000,300000,100000,- -,149110000,95862000,98580000,5784000,6569000,7689000,10922000,11663000,11745000,12644000,111656000,143780000,170206000,158748000,47987000,50483000,43015000,110674000,169950000,347436000,396135000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3150000,1353000,1056000,3125000,2684000,2832000,2300000,105841000,140960000,189826000
61,Total Liabilities,12400000,13200000,15500000,17000000,21395000,177860000,133749000,149578000,61192000,74005000,99317000,155271000,148482000,195985000,236763000,188840000,186804000,215364000,215083000,105578000,110322000,112081000,235805000,326698000,547488000,591890000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,200000,200000,200000,153000,83000,107000,107000,147000,143000,141000,144000,141000,140000,133000,118000,114000,108000,109000,110000,111000,112000,217000,220000,244000,246000
64,Retained Earnings,3900000,15900000,30300000,46200000,64069000,-69214000,-52674000,-26918000,7983000,47020000,84043000,101102000,158834000,188218000,174625000,42491000,41311000,31629000,77985000,118008000,152810000,162006000,118322000,152819000,179646000,174572000
65,Other Comprehensive Income/Loss,-3000000,-4200000,-5800000,-7700000,-9798000,-9404000,74000,-49000,-151000,-651000,-144000,181000,-79000,305000,40000,-611000,-736000,28000,88000,- -,-157131000,-170301000,32000,233000,48880000,9203000
66,Other Total Stockholders Equity,34500000,53200000,56900000,42400000,43320000,11163000,58868000,59838000,140943000,105328000,87487000,87080000,17185000,1157000,1206000,295000,299000,7137000,14550000,24738000,192584000,217380000,1306653000,1309438000,1519549000,- -
67,Total Stockholders Equity,35400000,65100000,81600000,81100000,97744000,-67372000,6375000,32978000,148922000,151840000,171527000,188507000,176081000,189820000,176004000,42293000,40988000,38902000,92732000,142856000,188374000,209197000,1425224000,1462710000,1748319000,1713990000
68,Total Liabilities And Stockholders Equity,47800000,78300000,97100000,98100000,119139000,110488000,140124000,182556000,210114000,225845000,270844000,343778000,324563000,385805000,412767000,231133000,227792000,254266000,307815000,248434000,298696000,321278000,1661029000,1789408000,2295807000,2305880000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,47800000,78300000,97100000,98100000,119139000,110488000,140124000,182556000,210114000,225845000,270844000,343778000,324563000,385805000,412767000,231133000,227792000,254266000,307815000,248434000,298696000,321278000,1661029000,1789408000,2295807000,2305880000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1013934/000095013397000986/0000950133-97-000986-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013934/000095013399000880/0000950133-99-000880-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013300001091/0000950133-00-001091-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013301500239/0000950133-01-500239-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013602000892/0000950136-02-000892-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013603000750/0000950136-03-000750-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013604000564/0000950136-04-000564-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013605001114/0000950136-05-001114-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095013606001965/file001.htm,https://www.sec.gov/Archives/edgar/data/1013934/000095013607001170/file1.htm,https://www.sec.gov/Archives/edgar/data/1013934/000095013608000727/file1.htm,https://www.sec.gov/Archives/edgar/data/1013934/000095012309002952/0000950123-09-002952-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095012310018178/0000950123-10-018178-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000095012311016592/w80904e10vk.htm,https://www.sec.gov/Archives/edgar/data/1013934/000119312512070612/0001193125-12-070612-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000121390013000794/0001213900-13-000794-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000121390014001156/f10k2013_strayereducation.htm,https://www.sec.gov/Archives/edgar/data/1013934/000121390015001283/d32093_10-k.htm,https://www.sec.gov/Archives/edgar/data/1013934/000121390016011094/0001213900-16-011094-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000155837017000669/0001558370-17-000669-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000155837018001389/0001558370-18-001389-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000155837019001422/0001558370-19-001422-index.html,https://www.sec.gov/Archives/edgar/data/1013934/000101393420000004/0001013934-20-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013934/000101393422000004/0001013934-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,14300000,14400000,17900000,19300000,21709000,22809000,25784000,33674000,41240000,48065000,52307000,64937000,80808000,105078000,131260000,106044000,65930000,16425000,46356000,40023000,34802000,20612000,-15671000,81138000,86268000,55087000
74,Depreciation and Amortization,1000000,1200000,1600000,1900000,2063000,2643000,3551000,4704000,5989000,6849000,7249000,8260000,10480000,13937000,17309000,21525000,23973000,35563000,20630000,18104000,17817000,18733000,54543000,104861000,109154000,103416000
75,Deferred Income Tax,-100000,-200000,-100000,-200000,-147000,144000,381000,-19000,-101000,-63000,-4034000,-5700000,226000,-2564000,353000,3722000,-38000,-23435000,-1036000,-4006000,-8697000,6429000,-16322000,-8037000,-13431000,-7710000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10561000,10954000,11987000,13234000,5464000,9291000,9453000,10213000,10767000,11627000,15532000,12160000,14610000,18149000
77,Change in Working Capital,100000,5000000,2700000,-5100000,8542000,23104000,6055000,38859000,17966000,-1840000,11318000,9530000,-19055000,-6944000,-43530000,-44721000,29147000,35551000,58134000,-59109000,19497000,20578000,173948000,72116000,-281276000,-6038000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34458000,-2995000,1744000,4024000,685000,-1991000,-1453000,-3250000,7880000,1770000,19659000,-196000
79,Inventory,-200000,-100000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2955000,2056000,7428000,- -,- -,- -,- -,-752000,-262000,4468000,- -,245000,-22685000,- -
81,Other Working Capital,15600000,20600000,23300000,18200000,26742000,49846000,55901000,94760000,112726000,110886000,122204000,131734000,112679000,105735000,62205000,17484000,46631000,82182000,140316000,81207000,100704000,121282000,295230000,367346000,86070000,15191000
82,Other Non-Cash Items,-1700000,-7500000,-3100000,2400000,-4913000,-20855000,-4090000,-27943000,-7411000,2132000,-5071000,3726000,5552000,21311000,45442000,54559000,-42414000,10698000,-55987000,71673000,-29676000,-21824000,-165163000,-60092000,227580000,17623000
83,Cash Provided by Operating Activities,13600000,12900000,19000000,18300000,27254000,27845000,31681000,49275000,57683000,55143000,61769000,80753000,88572000,141772000,162821000,154363000,82062000,84093000,77550000,76898000,44510000,56155000,46867000,202146000,142905000,180527000
84,CAPEX,-5200000,-2300000,-7400000,-4900000,-4388000,-6274000,-17113000,-6840000,-10620000,-12275000,-13183000,-14869000,-20657000,-30431000,-46015000,-29991000,-24733000,-8726000,-6902000,-12692000,-13161000,-18051000,-27547000,-38689000,-46812000,-49433000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,- -,- -,- -,- -,-7635000,- -,167859000,- -,-628759000,- -
86,Purchases of Investments,-16600000,-34400000,-19700000,-9300000,-14157000,- -,-18000000,-34000000,- -,-20000000,-30000000,- -,-50969000,-1085000,-559000,-2000,- -,- -,- -,- -,- -,- -,-26542000,-43139000,-2813000,-1292000
87,Sales/Maturities of Investments,5400000,12700000,12000000,9000000,9462000,50126000,- -,26135000,- -,- -,- -,- -,76785000,- -,40700000,12388000,- -,- -,- -,- -,- -,- -,16367000,43762000,36192000,9300000
88,Other Investing Activites,-100000,- -,-100000,100000,- -,- -,- -,4823000,- -,- -,- -,5754000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8331000
89,Cash Used for Investing Activites,-16500000,-24000000,-15200000,-5100000,-9083000,43852000,-35113000,-9882000,-10620000,-32275000,-43183000,-9115000,5159000,-31516000,-5874000,-24605000,-24733000,-8726000,-6902000,-12692000,-20796000,-18051000,130137000,-38066000,-642192000,-33094000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102500000,-103000000,-3125000,-3125000,-118750000,- -,- -,- -,- -,-3807000,- -
91,Common Stock Issued,31300000,17600000,4000000,1400000,591000,148119000,- -,2807000,11948000,1336000,6595000,15178000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220248000,- -
92,Common Stock Repurchased,- -,- -,-2400000,-17700000,-2029000,-183046000,- -,-3221000,-36767000,-37968000,-35041000,-38094000,-109125000,-80088000,-115517000,-202664000,-25001000,-24999000,- -,- -,- -,- -,- -,- -,-247000,-5905000
93,Dividends Paid,-24600000,-2500000,-2800000,-3300000,-3756000,-5064000,-7422000,-6036000,-7329000,-9028000,-15284000,-19027000,-51929000,-31627000,-44541000,-49105000,-47328000,- -,- -,- -,- -,-11416000,-27842000,-46625000,-55956000,-59045000
94,Other Financing Activites,-1000000,100000,- -,- -,- -,763000,1284000,11000,- -,- -,3595000,12678000,28666000,9038000,3260000,217541000,108380000,- -,- -,-850000,-1358000,- -,6627000,-9195000,118949000,-2938000
95,Cash Used/Provided by Financing Activities,5700000,15200000,-1200000,-19600000,-5194000,-39228000,-6138000,-6439000,-32148000,-45660000,-40135000,-29265000,-132388000,-102677000,-156798000,-136728000,-66949000,-28124000,-3125000,-119600000,-1358000,-11416000,-21215000,-55820000,279187000,-67888000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1623000,-2353000
97,Net Change In Cash,5700000,4100000,2700000,-6400000,12977000,32469000,-9570000,32954000,14915000,-22792000,-21549000,42373000,-38657000,7579000,149000,-6970000,-9620000,47243000,67523000,-55394000,22356000,26688000,155789000,108260000,-218477000,77192000
98,Cash at the End of Period,- -,15900000,18600000,12200000,25190000,57659000,49135000,82089000,97004000,74212000,52663000,95036000,56379000,63958000,64107000,57137000,47517000,94760000,162283000,106889000,129245000,155933000,312237000,420497000,202020000,279212000
99,Cash at the Beginning of Period,9000000,11800000,15900000,18600000,12213000,25190000,58705000,49135000,82089000,97004000,74212000,52663000,95036000,56379000,63958000,64107000,57137000,47517000,94760000,162283000,106889000,129245000,156448000,312237000,420497000,202020000
100,Free Cash Flow,8400000,10600000,11600000,13400000,22866000,21571000,14568000,42435000,47063000,42868000,48586000,65884000,67915000,111341000,116806000,124372000,57329000,75367000,70648000,64206000,31349000,38104000,19320000,163457000,96093000,131094000
