,https://roic.ai/company/DDD,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910638/0001011438-96-000039-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910638/000110465902000979/j3109_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/910638/000104746904007939/a2130492z10-k.htm,https://www.sec.gov/Archives/edgar/data/910638/000104746905005988/a2152505z10-k.htm,https://www.sec.gov/Archives/edgar/data/910638/000110465906013362/a06-5831_110k.htm,https://www.sec.gov/Archives/edgar/data/910638/000110465907033500/a07-5903_110k.htm,https://www.sec.gov/Archives/edgar/data/910638/000095014408002028/g11938ke10vk.htm,https://www.sec.gov/Archives/edgar/data/910638/000095014409001865/g17897e10vk.htm,https://www.sec.gov/Archives/edgar/data/910638/000095012310016364/g22206e10vk.htm,https://www.sec.gov/Archives/edgar/data/910638/000095012311014949/g26111e10vk.htm,https://www.sec.gov/Archives/edgar/data/910638/000119312512074109/d282229d10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000119312513072822/d491966d10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000156276214000032/c638-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063815000003/ddd-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063816000016/ddd-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063817000003/ddd-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063818000006/ddd-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063819000004/ddd2018-12x31form10xk.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063820000010/ddd-20191231.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063821000008/0000910638-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063822000013/0000910638-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5100000,-1900000,-2300000,-9400000,-2800000,500000,4500000,8900000,4600000,-4600000,2100000,-5300000,8144000,-1341000,-14866000,-26023000,2561000,10083000,-29280000,-6740000,-6154000,1066000,19566000,35420000,38941000,44107000,11637000,-655492000,-38419000,-66191000,-45505000,-69880000,-149594000,322052000
74,Depreciation and Amortization,500000,780000,900000,1300000,2100000,1600000,2200000,2900000,3600000,5100000,5800000,6100000,6245000,7704000,9902000,8427000,6956000,5764000,6529000,6970000,6676000,5886000,7520000,11502000,21229000,30444000,55188000,83069000,60535000,62041000,59293000,50396000,44595000,34623000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,1500000,-2500000,200000,-2900000,1979000,-1750000,7813000,- -,- -,-2500000,1752000,-268000,-243000,309000,-1235000,-5140000,-661000,-9892000,-24555000,-2875000,-6566000,-5567000,-2990000,-3354000,-1206000,-11679000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1437000,1190000,1406000,2637000,5118000,13558000,32793000,34733000,31295000,27260000,29253000,23587000,17725000,55153000
77,Change in Working Capital,10000,11400000,-1600000,-7200000,4900000,700000,4700000,39000000,-1000000,-11300000,-100000,-7100000,13349000,-27119000,-26038000,27431000,9501000,15907000,-26896000,23571000,-5627000,1439000,5757000,159882000,9928000,204114000,15800000,-145203000,15549000,-71252000,2121000,-23208000,-28421000,671940000
78,Accounts Receivable,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3484000,1430000,-7456000,-12090000,-19246000,-43684000,-55977000,20890000,27130000,3987000,599000,15071000,-6052000,-11912000
79,Inventory,- -,-1300000,-4200000,3300000,-400000,800000,-1200000,-2700000,-5700000,-100000,1200000,1000000,-6963000,-2047000,7088000,2345000,-189000,-7907000,-11242000,6055000,-2461000,2436000,-5693000,-2608000,-12225000,-30893000,-30754000,-31241000,-22178000,-17716000,-34035000,18447000,-9901000,-2909000
80,Accounts Payable,- -,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2802000,-4395000,10433000,-3457000,-238000,7620000,23482000,-18904000,-5878000,12448000,11559000,-16846000,-6653000,27159000
81,Other Working Capital,-1200000,10200000,8600000,1400000,6300000,7000000,11700000,50700000,49700000,38400000,38300000,31200000,44549000,17430000,-8608000,18823000,28324000,44231000,17335000,40906000,35279000,36718000,42475000,202357000,212285000,416399000,432199000,286996000,302545000,231293000,233414000,210206000,181785000,853725000
82,Other Non-Cash Items,-320000,-15890000,100000,12600000,-7200000,2300000,-8400000,-47800000,-15700000,8300000,-400000,10800000,-24591000,29155000,24503000,-8653000,-16090000,-35062000,39565000,-20908000,432000,-2156000,-1170000,-176641000,-21511000,-257147000,-39752000,682640000,-5492000,79650000,-37376000,54040000,96780000,-1023942000
83,Cash Provided by Operating Activities,-4910000,-5610000,-2900000,-2700000,-3000000,5100000,3000000,3000000,-7000000,-5000000,7600000,1600000,5126000,6649000,1314000,1182000,2928000,-5808000,-8330000,2625000,-3479000,7734000,31844000,27660000,53044000,25184000,51111000,-3128000,56902000,25941000,4796000,31581000,-20121000,48147000
