,https://roic.ai/company/ATRS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,-474503,-128390,-7083,-4175,- -,- -,- -,- -,- -,- -,- -,- -,-2128591,-5026464,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1367000,-40000000
91,Common Stock Issued,12226350,184226,64580,- -,7003,- -,- -,3946249,15225900,669700,11117141,17035363,- -,10527650,- -,21280718,53328188,- -,- -,42850677,- -,- -,7114000,7781000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-66,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-67460,- -,- -,- -,- -,-50000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2293559,- -,981063,315770,4987125,3424959,4571212,1649564,-35297,- -,- -,6816534,1319950,105622,2463419,5787145,11550497,2222509,2950705,-56970,17461,26273000,-69000,18138000,1814000,20010000
95,Cash Used/Provided by Financing Activities,14045406,55836,1038560,244069,4994128,3424959,4571212,5595813,15140603,619700,11117141,23851897,-808641,5606808,2463419,27067863,64878685,2222509,2950705,42793707,17461,26273000,7045000,25919000,447000,-19990000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-108253,-278794,-211773,-65901,-32951,18489,928,12139,-31874,87592,-25957,1067,8935,-2648,-733,58,-1000,1000,- -,2000,-1000
97,Net Change In Cash,9539423,-5829389,-893566,-2767149,138455,182193,-1697144,1660870,-276407,1066064,-12425,7052877,3337374,462790,-3711275,9510119,32739132,-13029828,-5038347,-1130213,-5184088,-1153000,1330000,-4691000,29936000,12776000
98,Cash at the End of Period,9575240,3745851,2852285,85136,223591,674569,267945,1928815,1652408,2718472,2706047,9758924,13096298,13559088,9847813,19357932,52097064,39067236,34028889,32898676,27714588,26562000,27892000,23201000,53137000,65913000
99,Cash at the Beginning of Period,35817,9575240,3745851,2852285,85136,492376,1965089,267945,1928815,1652408,2718472,2706047,9758924,13096298,13559088,9847813,19357932,52097064,39067236,34028889,32898676,27715000,26562000,27892000,23201000,53137000
100,Free Cash Flow,-3049123,-4058832,-5647895,-3011218,-4309254,-3078533,-5708911,-3554483,-7385351,-7308180,-6296504,-5636441,-11881181,-5287144,-6291383,-2507806,-13974381,-18131737,-31986404,-34885512,-20201607,-24362000,-18216000,-12965000,6705000,30002000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1016169/000095013197002276/0000950131-97-002276-index.html,https://www.sec.gov/Archives/edgar/data/1016169/000104596998000317/0001045969-98-000317-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016169/000119312504053558/0001193125-04-053558-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000101616905000005/0001016169-05-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000119312506059108/0001193125-06-059108-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000101616907000006/0001016169-07-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000101616908000019/0001016169-08-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000101616909000004/0001016169-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000101616910000002/0001016169-10-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000101616911000003/0001016169-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000101616912000005/0001016169-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000119312513105398/0001193125-13-105398-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000119312514097968/0001193125-14-097968-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000119312515088373/0001193125-15-088373-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000156459016014226/0001564590-16-014226-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000156459017004282/0001564590-17-004282-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000156459018005459/0001564590-18-005459-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000156459019007398/0001564590-19-007398-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000156459020008465/0001564590-20-008465-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000156459021010298/0001564590-21-010298-index.htm,https://www.sec.gov/Archives/edgar/data/1016169/000101616922000028/0001016169-22-000028-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
