,https://roic.ai/company/TG,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
23,Net Income,36700000,17300000,-24700000,5600000,15300000,9600000,38600000,24100000,45000000,58400000,68900000,52600000,111376000,9752000,-2531000,-26351000,29181000,16229000,38201000,15249000,28936000,-1353000,27027000,24855000,28251000,21947000,36879000,-32135000,24466000,38251000,24842000,48259000,-75444000
24,Net Income ratio,0.0588,0.0271,-0.0451,0.0118,0.0319,0.0214,0.0769,0.0409,0.0859,0.1005,0.0985,0.0641,0.1281,0.0127,-0.0034,-0.0353,0.0333,0.0170,0.0342,0.0165,0.0324,-0.0021,0.0365,0.0310,0.0320,0.0229,0.0387,-0.0359,0.0295,0.0398,0.0233,0.0496,-0.0999
25,EPS,0.15,0.07,-0.11,0.02,0.07,0.04,0.83,0.40,1.15,1.59,1.90,1.42,2.94,0.26,-0.07,-0.69,0.77,0.42,0.99,0.40,0.85,-0.04,0.84,0.78,0.88,0.68,1.14,-0.99,0.75,1.16,0.75,1.45,-2.26
26,EPS Diluted,0.15,0.07,-0.11,0.02,0.07,0.04,0.83,0.40,1.15,1.48,1.78,1.36,2.86,0.25,-0.07,-0.69,0.76,0.42,0.98,0.39,0.85,-0.04,0.83,0.77,0.88,0.67,1.13,-0.99,0.75,1.16,0.75,1.45,-2.26
27,Weighted Average Shares Outstanding,54477000,53105000,49048000,49048000,49048000,49051000,46568365,36565002,39244186,36806723,36263158,37042254,37882993,37507692,36157143,38189855,37897403,38640476,38586869,38122500,33977000,33861000,32292000,31931962,32032000,32172000,32302000,32578000,32762000,32946000,33068000,33236000,33402000
28,Weighted Average Shares Outstanding Diluted,54477000,53105000,49048000,49048000,49048000,49051000,46568365,36565002,39244186,39548533,38707865,38676471,38942657,39008000,36157143,38189855,38396053,38640476,38980612,39100000,34194000,33861000,32572000,32213174,32193000,32599000,32554000,32578000,32775000,32951000,33092000,33258000,33402000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850429/000091664196000185/0000916641-96-000185-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850429/000085042903000008/form10k2002.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042904000020/d58455_10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923205001684/d62922_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042906000026/d67223_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000114036107004885/form10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923208001244/d73812_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923209001322/0001169232-09-001322-index.html,https://www.sec.gov/Archives/edgar/data/850429/000114036110010058/0001140361-10-010058-index.html,https://www.sec.gov/Archives/edgar/data/850429/000119312511055974/d10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000119312512094064/0001193125-12-094064-index.html,https://www.sec.gov/Archives/edgar/data/850429/000119312513086552/0001193125-13-086552-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042914000024/tg-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042915000015/tg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042916000109/0000850429-16-000109-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042917000018/0000850429-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042918000014/0000850429-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042919000008/0000850429-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042920000014/0000850429-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042921000020/0000850429-21-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3800000,1700000,2300000,500000,- -,- -,9000000,2100000,101300000,120100000,25400000,25800000,44530000,96810000,109928000,19943000,22994000,23434000,40898000,48217000,45975000,90663000,73191000,68939000,48822000,52617000,50056000,44156000,29511000,36491000,34397000,31422000,11846000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34600000
33,Cash and Short-Term Investments,3800000,1700000,2300000,500000,- -,- -,9000000,2100000,101300000,120100000,25400000,25800000,44530000,96810000,109928000,19943000,22994000,23434000,40898000,48217000,45975000,90663000,73191000,68939000,48822000,52617000,50056000,44156000,29511000,36491000,34397000,31422000,46446000
34,Net Receivables,81300000,89700000,68100000,63600000,69000000,70200000,73200000,71700000,61100000,69700000,94300000,121800000,96944000,84684000,92892000,145618000,117314000,126493000,132809000,97387000,103949000,78030000,90719000,100619000,103123000,99246000,114218000,94577000,104906000,152215000,131510000,111658000,89134000
35,Inventory,29100000,33200000,31100000,30800000,35100000,34200000,35400000,33100000,17700000,20000000,34300000,53100000,46825000,45316000,43969000,49572000,65360000,62438000,68930000,48666000,36809000,35522000,43058000,61290000,74670000,70663000,74308000,65325000,66069000,86907000,93810000,81380000,66437000
36,Other Current Assets,-100000,2500000,32100000,24500000,20600000,12400000,17300000,19500000,14300000,13300000,12300000,13900000,20463000,18902000,37801000,16013000,14870000,12002000,10613000,50999000,13028000,11085000,12293000,14686000,12394000,11981000,17160000,6946000,7738000,8224000,9564000,8696000,-13582000
37,Total Current Assets,114100000,127100000,133600000,119400000,124700000,116800000,134900000,126400000,194400000,223100000,166300000,214600000,208762000,245712000,284590000,231146000,220538000,224367000,253250000,245269000,199761000,215300000,219261000,245534000,239009000,234507000,255742000,211004000,208224000,283837000,269281000,233156000,188435000
38,PP&E,179700000,194800000,161600000,157600000,162900000,135400000,123600000,122500000,90400000,100600000,156000000,243400000,273507000,267343000,250603000,297476000,316692000,322876000,325763000,269083000,236870000,230876000,206837000,257274000,253417000,282560000,269957000,231315000,260725000,223091000,228369000,262110000,182582000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136488000,- -,- -,- -,- -,138115000,135442000,134703000,104290000,103639000,163680000,177181000,172788000,169687000,117839000,117822000,128208000,81404000,81404000,67708000
40,Intangible Assets,31700000,31100000,28800000,38400000,44600000,45700000,30800000,30000000,20100000,20100000,32900000,152500000,139579000,- -,132282000,140548000,142983000,137988000,581000,465000,372000,252000,2478000,58060000,63999000,53512000,45442000,35233000,33601000,40552000,36295000,22636000,18820000
41,Intangible Assets,31700000,31100000,28800000,38400000,44600000,45700000,30800000,30000000,20100000,20100000,32900000,152500000,139579000,136488000,132282000,140548000,142983000,137988000,138696000,135907000,135075000,104542000,106117000,221740000,241180000,226300000,215129000,153072000,151423000,168760000,117699000,104040000,86528000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,84600000,95500000,34600000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16636000,3412000,13129000,19068000
44,Other Non-Current Assets,19900000,14800000,18200000,23200000,26900000,55500000,29000000,35200000,36200000,67100000,102000000,182000000,281920000,215488000,170487000,83855000,89261000,96527000,64078000,134219000,38926000,45561000,48127000,54041000,49559000,49641000,47798000,27869000,30790000,9419000,4012000,4733000,3657000
45,Total Non-Current Assets,231300000,240700000,208600000,219200000,234400000,236600000,183400000,187700000,146700000,187800000,290900000,577900000,695006000,619319000,553372000,521879000,548936000,557391000,528537000,539209000,410871000,380979000,361081000,533055000,544156000,558501000,532884000,412256000,442938000,471906000,438092000,479512000,326435000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,345400000,367800000,342200000,338600000,359100000,353400000,318300000,314100000,341100000,410900000,457200000,792500000,903768000,865031000,837962000,753025000,769474000,781758000,781787000,784478000,610632000,596279000,580342000,778589000,783165000,793008000,788626000,623260000,651162000,755743000,707373000,712668000,514870000
48,Accounts Payable,- -,29900000,20700000,19500000,19200000,19400000,31500000,31100000,28800000,33200000,47600000,61500000,51818000,46507000,35861000,46706000,63852000,61731000,69426000,67161000,54990000,53770000,58209000,73742000,82067000,82795000,94131000,84148000,81342000,108391000,112758000,103657000,89702000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,55000000,8750000,13125000,- -,678000,540000,529000,451000,222000,- -,- -,- -,- -,- -,- -,- -,- -,3002000,2082000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3350000,3056000,2267000,841000,4762000,- -,- -,- -,- -,706000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2564000,1660000,- -,- -,- -,- -,- -,- -,19068000
52,Other Current Liabilities,32200000,19400000,41300000,38600000,43300000,35400000,41300000,38700000,32500000,39600000,41300000,46700000,36593000,47637000,42409000,42456000,39587000,36031000,41906000,50828000,38349000,34930000,33229000,39882000,39950000,40612000,32049000,33653000,38647000,42433000,42495000,45809000,29900000
53,Total Current Liabilities,32200000,49300000,62000000,58100000,62500000,54800000,72800000,69800000,61300000,72800000,88900000,108200000,88411000,99144000,133270000,97912000,116564000,97762000,112010000,118529000,93868000,89151000,91660000,113624000,124581000,125067000,126180000,117801000,119989000,150824000,155253000,152468000,140752000
54,Long-Term Debt,- -,100000000,100000000,100000000,101500000,97000000,38000000,35000000,35000000,30000000,25000000,270000000,268102000,259498000,204280000,130879000,90327000,113050000,61842000,81516000,22173000,712000,228000,125000000,128000000,139000000,137250000,104000000,95000000,152000000,101500000,42000000,134000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,33100000,32000000,32000000,29400000,31100000,23100000,20300000,22200000,17000000,22100000,24900000,33200000,40650000,18985000,27443000,66276000,71141000,74287000,75772000,68625000,45152000,59052000,51879000,70754000,60773000,70795000,39255000,18656000,21110000,2123000,- -,11019000,- -
57,Other Non-Current Liabilities,1800000,1400000,900000,900000,1600000,9400000,15300000,16600000,15300000,13500000,8100000,8900000,8877000,9505000,10037000,10559000,11000000,11297000,15568000,24480000,29023000,18292000,19029000,72210000,97559000,55482000,113912000,110055000,104280000,107016000,95763000,130432000,131063000
58,Total Non-Current Liabilities,34900000,133400000,132900000,130300000,134200000,129500000,73600000,73800000,67300000,65600000,58000000,312100000,317629000,287988000,241760000,207714000,172468000,198634000,153182000,174621000,96348000,78056000,71136000,267964000,286332000,265277000,290417000,232711000,220390000,261139000,197263000,183451000,265063000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20691000,17031000
61,Total Liabilities,67100000,182700000,194900000,188400000,196700000,184300000,146400000,143600000,128600000,138400000,146900000,420300000,406040000,387132000,375030000,305626000,289032000,296396000,265192000,293150000,190216000,167207000,162796000,381588000,410913000,390344000,416597000,350512000,340379000,411963000,352516000,335919000,405815000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103300000,106587000,105892000,107177000,- -,- -,110706000,- -,- -,- -,- -,- -,- -,15195000,20641000,24364000,29467000,32007000,34747000,38892000,45514000,50066000
64,Retained Earnings,- -,4000000,-23400000,-20400000,-7700000,-800000,35400000,57200000,99000000,153300000,216800000,263500000,368754000,372408000,363743000,331289000,354378000,364427000,396413000,405548000,429047000,422277000,444173000,463278000,460805000,473729000,499300000,453467000,463507000,487230000,497511000,530478000,239480000
65,Other Comprehensive Income/Loss,-194600000,-193000000,-146700000,-177700000,-184300000,-188500000,-194500000,-204100000,-169800000,-183400000,-200400000,-224200000,-244667000,-267148000,-7988000,11119000,16614000,10229000,965000,35639000,-48037000,-33020000,-36019000,-79291000,-102347000,-90288000,-150195000,-208719000,-183234000,-176669000,-179987000,-197651000,-178404000
66,Other Total Stockholders Equity,472900000,374100000,317400000,348300000,354400000,358400000,331000000,317400000,283300000,302600000,293900000,229600000,267054000,266747000,- -,104991000,109450000,- -,119217000,50141000,39406000,39815000,9392000,13014000,-1401000,-1418000,-1440000,-1467000,-1497000,-1528000,-1559000,-1592000,-2087000
67,Total Stockholders Equity,278300000,185100000,147300000,150200000,162400000,169100000,171900000,170500000,212500000,272500000,310300000,372200000,497728000,477899000,462932000,447399000,480442000,485362000,516595000,491328000,420416000,429072000,417546000,397001000,372252000,402664000,372029000,272748000,310783000,343780000,354857000,376749000,109055000
68,Total Liabilities And Stockholders Equity,345400000,367800000,342200000,338600000,359100000,353400000,318300000,314100000,341100000,410900000,457200000,792500000,903768000,865031000,837962000,753025000,769474000,781758000,781787000,784478000,610632000,596279000,580342000,778589000,783165000,793008000,788626000,623260000,651162000,755743000,707373000,712668000,514870000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,345400000,367800000,342200000,338600000,359100000,353400000,318300000,314100000,341100000,410900000,457200000,792500000,903768000,865031000,837962000,753025000,769474000,781758000,781787000,784478000,610632000,596279000,580342000,778589000,783165000,793008000,788626000,623260000,651162000,755743000,707373000,712668000,514870000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850429/000091664196000185/0000916641-96-000185-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850429/000085042903000008/form10k2002.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042904000020/d58455_10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923205001684/d62922_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042906000026/d67223_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000114036107004885/form10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923208001244/d73812_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923209001322/0001169232-09-001322-index.html,https://www.sec.gov/Archives/edgar/data/850429/000114036110010058/0001140361-10-010058-index.html,https://www.sec.gov/Archives/edgar/data/850429/000119312511055974/d10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000119312512094064/0001193125-12-094064-index.html,https://www.sec.gov/Archives/edgar/data/850429/000119312513086552/0001193125-13-086552-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042914000024/tg-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042915000015/tg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042916000109/0000850429-16-000109-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042917000018/0000850429-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042918000014/0000850429-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042919000008/0000850429-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042920000014/0000850429-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042921000020/0000850429-21-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,36700000,17300000,-24700000,5600000,15300000,9600000,38600000,24100000,45000000,58400000,68900000,52600000,111376000,9752000,-2531000,-26351000,29181000,16229000,38201000,15249000,28936000,-1353000,27027000,24855000,28251000,21947000,36879000,-32135000,24466000,38251000,24842000,48259000,-75444000
74,Depreciation and Amortization,27600000,28400000,28500000,31200000,23900000,25800000,24800000,23800000,20300000,18500000,22500000,31700000,36984000,37909000,31934000,32622000,34422000,38789000,44281000,46041000,43191000,39997000,43588000,44735000,49269000,44655000,40818000,34982000,32472000,40277000,33804000,46872000,34710000
75,Deferred Income Tax,- -,-1300000,-14500000,700000,-900000,-1400000,-6900000,1500000,1800000,3300000,400000,1500000,-4673000,-8906000,7690000,37370000,1947000,9217000,10155000,-24241000,22183000,6771000,-6392000,2108000,-762000,-5268000,-11489000,-10523000,-3689000,-36414000,8626000,5856000,-16892000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,782000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-4100000,-6200000,-10300000,900000,-200000,100000,-5500000,76500000,17200000,-72900000,29000000,13951000,26217000,4752000,-18086000,-29260000,22631000,14635000,-14500000,-20847000,20256000,1452000,4309000,-17482000,-4988000,20122000,-36359000,-4968000,44778000,-18985000,-33340000,-33005000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-678000,18449000,-10981000,- -,9454000,-1763000,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-3200000,-1200000,5800000,-3000000,-2500000,-1200000,4000000,1300000,1000000,-4000000,-2100000,4176000,1249000,1641000,-2294000,-13962000,2803000,-5080000,4099000,13374000,2200000,-7717000,2410000,-9913000,1727000,-8803000,1137000,1127000,-9128000,-9577000,11315000,-4366000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,81900000,77800000,71600000,61300000,62200000,62000000,62100000,56600000,133100000,150300000,77400000,106400000,120351000,146568000,151320000,133234000,103974000,126605000,141240000,126740000,105893000,126149000,127601000,131910000,114428000,109440000,129562000,93203000,88235000,133013000,114028000,80688000,47683000
82,Other Non-Cash Items,-64300000,6700000,51500000,14300000,-7700000,-13000000,-14100000,5700000,-98300000,-31100000,51900000,-22800000,-136061000,9942000,23428000,50826000,57530000,-33163000,-2667000,73005000,1161000,37544000,-19266000,-4242000,23310000,20369000,-35095000,118291000,591000,1323000,49507000,48216000,165004000
83,Cash Provided by Operating Activities,- -,47000000,34600000,41500000,31500000,20800000,42500000,49600000,45300000,66300000,70800000,92000000,21577000,74914000,65273000,76381000,93820000,53703000,104605000,95554000,75406000,103215000,46409000,71765000,82586000,76715000,51235000,74256000,48872000,88215000,97794000,115863000,74373000
84,CAPEX,- -,-43400000,-39700000,-26600000,-21000000,-22000000,-15600000,-28800000,-24000000,-22700000,-95000000,-260400000,-79830000,-38990000,-31336000,-65808000,-55651000,-62543000,-40573000,-20643000,-19235000,-35851000,-20418000,-15880000,-33252000,-79661000,-44898000,-32831000,-45457000,-44362000,-40814000,-50864000,-23355000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3082000,-1918000,- -,- -,-1420000,- -,- -,- -,23407000,- -,-5500000,-180975000,-45865000,867000,- -,- -,- -,-87110000,- -,- -,56236000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93058000,-24504000,-20373000,-2807000,-5000000,-1095000,-542000,-23513000,-5391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,169988000,49477000,8918000,21504000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-900000,19700000,-14100000,-9000000,9100000,77700000,900000,80900000,-16900000,-29200000,-81700000,11132000,2486000,703000,10623000,11762000,8654000,475000,7871000,-14544000,-31705000,-16650000,-14258000,-29695000,-78471000,-42773000,-31415000,-41993000,-38494000,-34082000,-39928000,-23355000
