,https://roic.ai/company/X,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000000,128000000,146000000,120000000,79000000,106000000,125000000,169000000,149000000,195000000,190000000,214000000,266000000,234000000,214000000,230000000,226000000,168000000,142000000,280000000,313000000
14,Depreciation and Amortization,278000000,253000000,288000000,314000000,314000000,318000000,292000000,303000000,283000000,304000000,360000000,344000000,350000000,363000000,382000000,366000000,441000000,506000000,605000000,661000000,658000000,681000000,661000000,684000000,627000000,547000000,507000000,501000000,521000000,616000000,- -,791000000
15,EBITDA,715000000,-503000000,-1441000000,35000000,562000000,769000000,661000000,989000000,820000000,373000000,359000000,-75000000,491000000,-408000000,1944000000,1720000000,2245000000,1728000000,3739000000,-1030000000,468000000,898000000,882000000,-1282000000,1031000000,-698000000,321000000,1028000000,1501000000,306000000,-1027000000,5448000000
16,EBITDA ratio,0.1177,-0.1034,-0.2913,0.0062,0.0926,0.1191,0.1010,0.1451,0.1326,0.0693,0.0585,-0.0119,0.0707,-0.0437,0.1392,0.1225,0.1429,0.1024,0.1574,-0.0932,0.0269,0.0452,0.0456,-0.0736,0.0589,-0.0603,0.0313,0.0839,0.1059,0.0237,-0.1054,0.2687
17,Operating Income,475000000,-617000000,-203000000,235000000,313000000,497000000,360000000,646000000,480000000,216000000,104000000,-405000000,128000000,-730000000,1580000000,1439000000,1785000000,1213000000,3069000000,-1684000000,-111000000,265000000,247000000,-1900000000,413000000,-1202000000,-165000000,608000000,- -,-230000000,- -,- -
18,Operating Income ratio,0.0782,-0.1269,-0.0410,0.0419,0.0516,0.0770,0.0550,0.0948,0.0776,0.0401,0.0170,-0.0644,0.0184,-0.0783,0.1131,0.1025,0.1136,0.0719,0.1292,-0.1524,-0.0064,0.0133,0.0128,-0.1090,0.0236,-0.1039,-0.0161,0.0496,- -,-0.0178,- -,- -
19,Total Other Income Expenses (Gains),-38000000,-139000000,-191000000,-445000000,-65000000,-44000000,7000000,40000000,57000000,-140000000,-105000000,-141000000,-115000000,-130000000,-119000000,-127000000,-62000000,-105000000,-62000000,-161000000,-274000000,-238000000,-241000000,-332000000,-243000000,-257000000,-251000000,-307000000,-207000000,-222000000,-232000000,-602000000
20,Income Before Tax,437000000,-756000000,-394000000,-210000000,248000000,453000000,367000000,686000000,537000000,76000000,-1000000,-546000000,13000000,-860000000,1461000000,1312000000,1723000000,1108000000,3007000000,-1845000000,-385000000,27000000,6000000,-2232000000,170000000,-1459000000,-416000000,301000000,812000000,-452000000,-1307000000,4344000000
21,Income Before Tax Ratio,0.0720,-0.1554,-0.0796,-0.0374,0.0409,0.0702,0.0561,0.1007,0.0868,0.0141,-0.0002,-0.0869,0.0019,-0.0922,0.1046,0.0935,0.1096,0.0657,0.1266,-0.1670,-0.0222,0.0014,0.0003,-0.1281,0.0097,-0.1261,-0.0405,0.0246,0.0573,-0.0349,-0.1342,0.2143
22,Income Tax expense (Gain),127000000,-249000000,-123000000,-41000000,47000000,150000000,92000000,234000000,173000000,25000000,20000000,-328000000,-48000000,-454000000,351000000,365000000,324000000,218000000,853000000,-439000000,97000000,80000000,131000000,-560000000,68000000,183000000,24000000,-86000000,-303000000,178000000,-142000000,170000000
23,Net Income,310000000,-507000000,-1606000000,-238000000,201000000,301000000,277000000,452000000,364000000,44000000,-21000000,-218000000,61000000,-463000000,1091000000,910000000,1374000000,879000000,2112000000,-1401000000,-482000000,-53000000,-124000000,-1672000000,102000000,-1642000000,-440000000,387000000,1115000000,-630000000,-1165000000,4174000000
24,Net Income ratio,0.0510,-0.1042,-0.3246,-0.0424,0.0331,0.0466,0.0423,0.0663,0.0589,0.0082,-0.0034,-0.0347,0.0088,-0.0496,0.0781,0.0648,0.0874,0.0521,0.0889,-0.1268,-0.0277,-0.0027,-0.0064,-0.0960,0.0058,-0.1419,-0.0429,0.0316,0.0786,-0.0487,-0.1196,0.2059
25,EPS,6.00,-10.00,-28.85,-4.04,2.35,3.51,2.98,5.24,4.05,0.40,-0.33,-2.45,0.62,-4.64,9.47,7.87,11.88,7.44,18.19,-10.42,-3.36,-0.47,-0.86,-14.27,0.71,-10.32,-2.81,2.21,6.31,-3.75,-5.92,21.22
26,EPS Diluted,6.00,-10.00,-28.85,-4.04,2.33,3.41,2.95,4.88,3.92,0.40,-0.33,-2.45,0.62,-4.64,8.37,7.00,11.18,7.40,18.11,-10.42,-3.36,-0.47,-0.86,-14.27,0.69,-10.32,-2.81,2.19,6.25,-3.75,-5.92,21.22
27,Weighted Average Shares Outstanding,51000000,50900000,55771231,64108911,74893617,78917379,85570470,83778626,87654321,87500000,88613000,88979592,97426000,103179000,111838000,113470000,114918000,118090000,117102000,134469000,143571000,143967000,144237000,144578000,145164000,146094000,156673000,174793000,176633000,171418000,196721000,196721000
28,Weighted Average Shares Outstanding Diluted,51000000,50900000,55771231,64108911,75536481,81231672,86440678,89959016,90561224,87500000,88613000,88979592,97428000,103179000,128643000,129970000,122918000,118815000,117621000,134469000,143571000,143967000,144237000,144578000,152103000,146094000,156673000,176520000,178461000,171418000,196721000,196721000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163302/000104746903008237/0001047469-03-008237-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000119312504029352/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312505037218/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312506041454/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312507040976/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312508040079/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312509036175/0001193125-09-036175-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000119312510038824/0001193125-10-038824-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000119312511042228/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312512084547/0001193125-12-084547-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000119312513061613/0001193125-13-061613-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330214000010/x2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000116330215000011/x2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000116330216000083/0001163302-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330217000009/0001163302-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330218000011/0001163302-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330219000014/0001163302-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330220000012/0001163302-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330221000013/0001163302-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1163302/000116330222000021/0001163302-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,70000000,79000000,22000000,79000000,20000000,52000000,23000000,18000000,9000000,22000000,219000000,147000000,243000000,316000000,1037000000,1479000000,1422000000,401000000,724000000,1218000000,578000000,408000000,570000000,604000000,1354000000,755000000,1515000000,1553000000,1000000000,749000000,1985000000,2522000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,70000000,79000000,22000000,79000000,20000000,52000000,23000000,18000000,9000000,22000000,219000000,147000000,243000000,316000000,1037000000,1479000000,1422000000,401000000,724000000,1218000000,578000000,408000000,570000000,604000000,1354000000,755000000,1515000000,1553000000,1000000000,749000000,1985000000,2522000000
34,Net Receivables,773000000,586000000,447000000,596000000,716000000,614000000,580000000,588000000,392000000,838000000,1341000000,830000000,934000000,1219000000,1770000000,1598000000,1799000000,2077000000,2288000000,1781000000,2198000000,2433000000,2090000000,2160000000,1942000000,1063000000,1248000000,1379000000,1659000000,1177000000,994000000,2089000000
35,Inventory,696000000,623000000,644000000,629000000,595000000,601000000,648000000,705000000,698000000,743000000,946000000,870000000,1030000000,1283000000,1197000000,1466000000,1604000000,2279000000,2492000000,1679000000,2352000000,2775000000,2503000000,2688000000,2496000000,2074000000,1573000000,1738000000,2092000000,1785000000,1402000000,2210000000
36,Other Current Assets,2000000,4000000,208000000,271000000,449000000,177000000,177000000,220000000,176000000,378000000,211000000,226000000,233000000,289000000,239000000,288000000,371000000,202000000,228000000,337000000,176000000,158000000,211000000,626000000,639000000,25000000,20000000,85000000,79000000,102000000,51000000,331000000
37,Total Current Assets,1541000000,1292000000,1321000000,1575000000,1780000000,1444000000,1428000000,1531000000,1275000000,1981000000,2717000000,2073000000,2440000000,3107000000,4243000000,4831000000,5196000000,4959000000,5732000000,5015000000,5304000000,5774000000,5374000000,6078000000,6431000000,3917000000,4356000000,4755000000,4830000000,3813000000,4432000000,7152000000
38,PP&E,2748000000,2797000000,2809000000,2653000000,2536000000,2512000000,2551000000,2496000000,2500000000,2516000000,2739000000,3084000000,2978000000,3415000000,3627000000,4015000000,4429000000,6688000000,6676000000,6820000000,6486000000,6579000000,6408000000,5922000000,4574000000,4411000000,3979000000,4280000000,4865000000,5677000000,5658000000,7439000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1712000000,1609000000,1725000000,1760000000,1783000000,1822000000,4000000,- -,- -,- -,- -,- -,- -,- -,920000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,37000000,29000000,- -,419000000,282000000,281000000,275000000,262000000,253000000,271000000,204000000,196000000,175000000,167000000,158000000,150000000,129000000,519000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,37000000,29000000,- -,2131000000,1891000000,2006000000,2035000000,2045000000,2075000000,275000000,204000000,196000000,175000000,167000000,158000000,150000000,129000000,1439000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233000000,310000000,277000000,275000000,270000000,303000000,674000000,672000000,668000000,623000000,638000000,570000000,558000000,532000000,502000000,499000000,457000000,485000000,1272000000,1140000000,660000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365000000,40000000,211000000,103000000,16000000,666000000,535000000,515000000,649000000,424000000,16000000,46000000,15000000,6000000,56000000,445000000,19000000,22000000,32000000
44,Other Non-Current Assets,1293000000,1538000000,2121000000,2388000000,2164000000,2565000000,2601000000,2667000000,2918000000,3028000000,3255000000,2947000000,2249000000,637000000,2734000000,466000000,555000000,1164000000,450000000,378000000,387000000,388000000,366000000,294000000,527000000,149000000,145000000,147000000,199000000,677000000,678000000,1094000000
45,Total Non-Current Assets,4041000000,4335000000,4930000000,5041000000,4700000000,5077000000,5152000000,5163000000,5418000000,5544000000,5994000000,6264000000,5537000000,4731000000,6713000000,4991000000,5390000000,10673000000,10355000000,10407000000,10046000000,10299000000,9843000000,7065000000,5883000000,5273000000,4804000000,5107000000,6152000000,7795000000,7627000000,10664000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5582000000,5627000000,6251000000,6616000000,6480000000,6521000000,6580000000,6694000000,6693000000,7525000000,8711000000,8337000000,7977000000,7838000000,10956000000,9822000000,10586000000,15632000000,16087000000,15422000000,15350000000,16073000000,15217000000,13143000000,12314000000,9190000000,9160000000,9862000000,10982000000,11608000000,12059000000,17816000000
48,Accounts Payable,- -,- -,579000000,1048000000,678000000,815000000,667000000,687000000,501000000,739000000,760000000,692000000,767000000,1027000000,1285000000,1256000000,1313000000,1730000000,1483000000,1457000000,1804000000,2063000000,1800000000,1754000000,2002000000,1493000000,1668000000,2170000000,2535000000,2054000000,1884000000,2908000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,43000000,8000000,249000000,82000000,110000000,81000000,19000000,216000000,400000000,2000000,323000000,378000000,45000000,50000000,3000000,65000000,74000000,251000000,86000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281000000,360000000,320000000,186000000,182000000,95000000,203000000,89000000,116000000,118000000,146000000,140000000,134000000,99000000,128000000,132000000,118000000,116000000,154000000,365000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1020000000,1193000000,684000000,573000000,589000000,704000000,632000000,647000000,515000000,527000000,631000000,567000000,579000000,1060000000,1238000000,1244000000,1307000000,1163000000,1214000000,998000000,1127000000,1186000000,1188000000,1168000000,1189000000,610000000,613000000,548000000,597000000,497000000,521000000,858000000
53,Total Current Liabilities,1020000000,1193000000,1263000000,1621000000,1267000000,1519000000,1299000000,1334000000,1016000000,1266000000,1391000000,1259000000,1372000000,2130000000,2531000000,2749000000,2702000000,3003000000,2778000000,2474000000,3147000000,3649000000,2990000000,3245000000,3569000000,2148000000,2331000000,2721000000,3197000000,2625000000,2656000000,3852000000
54,Long-Term Debt,1404000000,1848000000,2132000000,1540000000,1432000000,923000000,1014000000,456000000,464000000,902000000,2236000000,1434000000,1408000000,1890000000,1363000000,1363000000,943000000,3147000000,3064000000,3345000000,3517000000,3828000000,3936000000,3616000000,3120000000,3116000000,2981000000,2700000000,2316000000,3627000000,4858000000,3999000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,398000000,346000000,337000000,341000000,346000000,364000000,514000000,410000000,481000000,469000000,495000000,397000000,424000000,407000000,359000000,329000000,355000000,272000000,550000000,333000000,505000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,348000000,666000000,732000000,223000000,6000000,598000000,- -,- -,162000000,9000000,- -,- -,- -,- -,445000000,301000000,29000000,28000000,6000000,14000000,4000000,11000000,122000000
57,Other Non-Current Liabilities,914000000,894000000,2609000000,2838000000,2772000000,2671000000,2637000000,2874000000,2872000000,2704000000,2497000000,2008000000,2601000000,2382000000,2125000000,2008000000,2174000000,3187000000,4767000000,4143000000,4365000000,4600000000,4416000000,2064000000,1117000000,1101000000,1216000000,759000000,980000000,709000000,322000000,235000000
58,Total Non-Current Liabilities,2318000000,2742000000,4741000000,4378000000,4204000000,3594000000,3651000000,3330000000,3336000000,3954000000,5399000000,4572000000,4578000000,4615000000,4427000000,3717000000,3481000000,7010000000,8250000000,7969000000,8351000000,8923000000,8749000000,6549000000,4945000000,4605000000,4554000000,3820000000,3582000000,4890000000,5524000000,4861000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,222000000,194000000
61,Total Liabilities,3338000000,3935000000,6004000000,5999000000,5471000000,5113000000,4950000000,4664000000,4352000000,5220000000,6790000000,5831000000,5950000000,6745000000,6958000000,6466000000,6183000000,10013000000,11028000000,10443000000,11498000000,12572000000,11739000000,9794000000,8514000000,6753000000,6885000000,6541000000,6779000000,7515000000,8180000000,8713000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226000000,216000000,216000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1917000000,89000000,102000000,104000000,114000000,115000000,124000000,124000000,124000000,151000000,151000000,151000000,151000000,151000000,151000000,151000000,176000000,176000000,177000000,179000000,229000000,280000000
64,Retained Earnings,- -,390400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,-421000000,651000000,1605000000,2902000000,3683000000,5666000000,4209000000,3698000000,3616000000,3463000000,1762000000,1862000000,190000000,-250000000,133000000,1212000000,544000000,-623000000,3534000000
65,Other Comprehensive Income/Loss,- -,- -,-6033000000,-5984000000,-5954000000,-5909000000,-5909000000,-5799000000,-5939000000,-6232000000,-6929000000,-6866000000,-803000000,-1501000000,-49000000,-1418000000,-1286000000,-836000000,-3269000000,-2728000000,-3068000000,-3367000000,-3268000000,-1752000000,-1441000000,-1169000000,-1497000000,-845000000,-1026000000,-478000000,-47000000,331000000
66,Other Total Stockholders Equity,2244000000,1301600000,6280000000,6601000000,6963000000,7317000000,7539000000,7829000000,8280000000,8537000000,6933000000,9283000000,2686000000,2685000000,3038000000,2806000000,2625000000,2560000000,2374000000,3044000000,3070000000,3100000000,3131000000,3187000000,3227000000,3264000000,3845000000,3856000000,3839000000,3847000000,4227000000,- -
67,Total Stockholders Equity,2244000000,1692000000,247000000,617000000,1009000000,1408000000,1630000000,2030000000,2341000000,2305000000,1921000000,2506000000,2027000000,1093000000,3970000000,3324000000,4365000000,5531000000,4895000000,4676000000,3851000000,3500000000,3477000000,3348000000,3799000000,2436000000,2274000000,3320000000,4202000000,4092000000,3786000000,9010000000
68,Total Liabilities And Stockholders Equity,5582000000,5627000000,6251000000,6616000000,6480000000,6521000000,6580000000,6694000000,6693000000,7525000000,8711000000,8337000000,7977000000,7838000000,10928000000,9790000000,10548000000,15544000000,15923000000,15119000000,15349000000,16072000000,15216000000,13142000000,12313000000,9189000000,9159000000,9861000000,10981000000,11607000000,11966000000,17723000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,32000000,38000000,88000000,164000000,303000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,93000000,93000000
70,Total Liabilities & Equity,5582000000,5627000000,6251000000,6616000000,6480000000,6521000000,6580000000,6694000000,6693000000,7525000000,8711000000,8337000000,7977000000,7838000000,10956000000,9822000000,10586000000,15632000000,16087000000,15422000000,15350000000,16073000000,15217000000,13143000000,12314000000,9190000000,9160000000,9862000000,10982000000,11608000000,12059000000,17816000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163302/000104746903008237/0001047469-03-008237-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000119312504029352/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312505037218/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312506041454/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312507040976/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312508040079/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312509036175/0001193125-09-036175-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000119312510038824/0001193125-10-038824-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000119312511042228/d10k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000119312512084547/0001193125-12-084547-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000119312513061613/0001193125-13-061613-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330214000010/x2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000116330215000011/x2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1163302/000116330216000083/0001163302-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330217000009/0001163302-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330218000011/0001163302-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330219000014/0001163302-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330220000012/0001163302-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1163302/000116330221000013/0001163302-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1163302/000116330222000021/0001163302-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,310000000,-507000000,-1606000000,-238000000,201000000,301000000,277000000,452000000,364000000,44000000,-21000000,-218000000,61000000,-463000000,1091000000,910000000,1374000000,879000000,2112000000,-1401000000,-482000000,-53000000,-124000000,-1672000000,102000000,-1642000000,-440000000,387000000,1115000000,-630000000,-1165000000,4174000000
74,Depreciation and Amortization,278000000,253000000,288000000,314000000,314000000,318000000,292000000,303000000,283000000,304000000,360000000,344000000,350000000,363000000,382000000,366000000,441000000,506000000,605000000,661000000,658000000,681000000,661000000,684000000,627000000,547000000,507000000,501000000,521000000,616000000,- -,- -
75,Deferred Income Tax,- -,- -,- -,-38000000,93000000,133000000,150000000,193000000,158000000,107000000,389000000,18000000,-39000000,-445000000,355000000,43000000,-3000000,182000000,366000000,-156000000,155000000,-68000000,74000000,-359000000,76000000,213000000,9000000,-72000000,-329000000,202000000,-130000000,-52000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-422000000,-41000000,-104000000,559000000,-588000000,204000000,68000000,62000000,456000000,611000000,-512000000,254000000,-91000000,735000000,370000000,412000000,-538000000,998000000,-413000000,-384000000,-32000000,259000000,449000000,29000000,-1093000000,256000000,9000000,-401000000,-445000000,588000000,-739000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,-134000000,-99000000,-550000000,165000000,- -,222000000,-290000000,- -,-489000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-21000000,14000000,-29000000,-14000000,-47000000,-57000000,7000000,-14000000,-63000000,104000000,-160000000,235000000,87000000,-161000000,-109000000,305000000,-376000000,867000000,-688000000,-460000000,192000000,-201000000,-247000000,391000000,491000000,-117000000,-374000000,296000000,506000000,-677000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-347000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,521000000,99000000,58000000,-46000000,513000000,-75000000,129000000,197000000,259000000,715000000,1326000000,814000000,1068000000,977000000,1712000000,2082000000,2494000000,1956000000,2954000000,2541000000,2157000000,2125000000,2384000000,2833000000,2862000000,1769000000,2025000000,2034000000,1633000000,1188000000,1776000000,110000000
82,Other Non-Cash Items,-169000000,685000000,1270000000,152000000,-1123000000,423000000,-837000000,-546000000,-495000000,-991000000,-1966000000,1037000000,-347000000,1213000000,-1163000000,-471000000,-538000000,716000000,-2423000000,1248000000,-326000000,-360000000,265000000,1312000000,658000000,2334000000,395000000,-23000000,32000000,939000000,845000000,707000000
83,Cash Provided by Operating Activities,419000000,9000000,-89000000,86000000,44000000,587000000,86000000,470000000,372000000,-80000000,-627000000,669000000,279000000,577000000,1400000000,1218000000,1686000000,1745000000,1658000000,-61000000,-379000000,168000000,1135000000,414000000,1492000000,359000000,727000000,802000000,938000000,682000000,138000000,4090000000
84,CAPEX,-391000000,-432000000,-298000000,-198000000,-248000000,-324000000,-337000000,-261000000,-310000000,-287000000,-244000000,-287000000,-258000000,-316000000,-579000000,-741000000,-612000000,-692000000,-896000000,-619000000,-676000000,-848000000,-723000000,-489000000,-419000000,-500000000,-306000000,-505000000,-1001000000,-1252000000,-725000000,-863000000
