,https://roic.ai/company/OLED,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3100000,1800000,6200000,3300000,5955721,11421401,16300890,20809117,24014283,24053382,27498419,28767406,30478643,32428227,34572013,39883168,50511523,65040000,79506000,91096000,95773000,104185000,134684000,137138000,171460000,185863000,210890000
11,COGS and Expenses,3100000,1800000,6200000,3300000,5899353,10370318,16300890,20809117,24124786,24208665,27608200,29811409,31677765,33738138,36053411,40770677,55601941,69568000,108395000,132411000,158770000,130473000,189382000,190679000,246834000,271341000,325881000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669633,279474,994221,1240000,811000,777000,837000,2113000,3294000,7659000,10795000,5139000,505000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7019,27871,49575,48000,47000,70000,54000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,56368,1051083,4509417,16588091,3798945,3069565,3237151,3365441,3157695,2593757,3764698,2941088,1499995,6847000,13017000,13074000,14085000,20762000,26902000,30574000,34418000,37186000,41962000
15,EBITDA,-3100000,-1800000,-5900000,-2800000,-5068638,-8477963,-11846683,-14431110,-13554260,-13319975,-12988668,-12365930,-13623126,-17508457,-16863518,-17082800,3990670,21763000,52072000,72471000,47198000,89360000,176439000,94885000,204323000,200715000,270209000
16,EBITDA ratio,-31.0000,-18.0000,-59.0000,-7.0000,-9.7561,-17.2052,-9.4554,-5.9016,-2.0558,-1.9010,-1.2799,-1.0373,-1.2050,-1.5809,-1.0682,-0.5593,0.0651,0.2614,0.3551,0.3794,0.2471,0.4493,0.5257,0.3835,0.5043,0.4680,0.4882
17,Operating Income,-3000000,-1700000,-6100000,-2900000,-5379817,-9877562,-15047989,-18363845,-17531593,-17201752,-17460205,-17890117,-20371858,-22662914,-20266794,-10226297,5686737,13676000,38244000,58620000,32276000,68413000,146247000,56735000,158343000,157526000,227644000
18,Operating Income ratio,-30.0000,-17.0000,-61.0000,-7.2500,-10.3550,-20.0455,-12.0105,-7.5099,-2.6590,-2.4550,-1.7206,-1.5007,-1.8019,-2.0463,-1.2838,-0.3348,0.0928,0.1643,0.2608,0.3069,0.1689,0.3440,0.4357,0.2293,0.3908,0.3673,0.4113
19,Total Other Income Expenses (Gains),- -,100000,200000,200000,- -,- -,-1308111,-10036123,16032,812212,1234386,2158746,3591037,2560700,-368441,-9825462,-3245637,1192000,764000,707000,783000,185000,3290000,7576000,11562000,6003000,603000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-16356100,- -,- -,-16389540,-16225819,-15731371,-16780821,-20102214,-20635235,-20051759,2441100,14868000,39008000,59327000,33059000,68598000,149537000,64311000,169905000,163529000,228247000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-13.0546,- -,- -,-2.3391,-1.5989,-1.3196,-1.4843,-1.8151,-1.3071,-0.6565,0.0398,0.1786,0.2660,0.3106,0.1730,0.3449,0.4455,0.2599,0.4193,0.3813,0.4124
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-612966,-424207,-544567,-804980,-962478,-129915,-134349,-714053,5208000,-35044000,17473000,18381000,20528000,45652000,5471000,31601000,30157000,44034000
23,Net Income,-3100000,-1800000,-5900000,-2800000,-5125006,-9529046,-16356100,-31019201,-17353205,-15776574,-15801612,-15186804,-15975841,-19139736,-20505320,-19917410,3155153,9660000,74052000,41854000,14678000,48070000,103885000,58840000,138304000,133372000,184213000
24,Net Income ratio,-31.0000,-18.0000,-59.0000,-7.0000,-9.8646,-19.3383,-13.0546,-12.6854,-2.6320,-2.2516,-1.5571,-1.2739,-1.4131,-1.7282,-1.2989,-0.6521,0.0515,0.1160,0.5050,0.2191,0.0768,0.2417,0.3095,0.2378,0.3413,0.3110,0.3328
25,EPS,-0.64,-0.21,-0.64,-0.27,-0.42,-0.62,-1.11,-1.71,-0.82,-0.59,-0.56,-0.49,-0.47,-0.53,-0.56,-0.53,0.07,0.21,1.61,0.90,0.31,1.02,2.19,1.24,2.92,2.80,3.90
26,EPS Diluted,-0.64,-0.21,-0.64,-0.27,-0.42,-0.62,-1.11,-1.71,-0.82,-0.59,-0.56,-0.49,-0.47,-0.53,-0.56,-0.53,0.07,0.21,1.59,0.90,0.31,1.02,2.18,1.24,2.92,2.80,3.89
27,Weighted Average Shares Outstanding,8000000,8571429,9218750,10310353,12269943,15260837,16994537,19227697,22428219,26791158,28462925,30855297,33759581,35932372,36479331,37567374,43737968,45951276,45898019,46252960,46816394,46408460,46725289,46849588,46959775,47198982,47291192
28,Weighted Average Shares Outstanding Diluted,8000000,8571429,9218750,10310353,12269943,15260837,16994537,19227697,22428219,26791158,28462925,30855297,33759581,35932372,36479331,37567374,45140394,46883602,46543605,46685145,47494188,46535980,46805194,46896766,46995462,47236994,47362575
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1005284/000095011600000728/0000950116-00-000728-index.html,- -,https://www.sec.gov/Archives/edgar/data/1005284/000095011602000569/0000950116-02-000569-index.html,https://www.sec.gov/Archives/edgar/data/1005284/000095011603002143/0000950116-03-002143-index.html,https://www.sec.gov/Archives/edgar/data/1005284/000112528204000782/0001125282-04-000782-index.html,https://www.sec.gov/Archives/edgar/data/1005284/000095011605001003/0000950116-05-001003-index.html,https://www.sec.gov/Archives/edgar/data/1005284/000095011606000755/0000950116-06-000755-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000089322007000750/0000893220-07-000750-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528408000017/0001005284-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528409000020/0001005284-09-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528410000019/0001005284-10-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528411000038/0001005284-11-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528412000018/0001005284-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000144530513000361/0001445305-13-000361-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528414000017/0001005284-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528415000019/0001005284-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528416000136/0001005284-16-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459017002217/0001564590-17-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459018002868/0001564590-18-002868-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459019003665/0001564590-19-003665-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459020005548/0001564590-20-005548-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459021006654/0001564590-21-006654-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000095017022001770/0000950170-22-001770-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,600000,100000,1800000,1558473,7701040,7883132,15905416,14070207,18930581,30654249,31097533,33870696,28321581,22701126,20368852,111795229,85923000,70586000,45418000,97513000,139365000,132840000,211022000,131627000,630012000,311993000
32,Short-Term Investments,- -,- -,- -,- -,4300060,2704220,4516199,4662898,12811704,26258463,17190242,17957752,49788961,49132619,41172955,52794545,234294041,158018000,202024000,243088000,297981000,188644000,287446000,304323000,514461000,99996000,351194000
33,Cash and Short-Term Investments,- -,600000,100000,1800000,5858533,10405260,12399331,20568314,26881911,45189044,47844491,49055285,83659657,77454200,63874081,73163397,346089270,243941000,272610000,288506000,395494000,328009000,420286000,515345000,646088000,730008000,663187000
34,Net Receivables,- -,- -,100000,100000,267423,312076,540855,662822,805602,2588279,1944099,2113263,2395416,2450444,3344255,7247873,10726524,8657000,15657000,22075000,24729000,24994000,52355000,43129000,60452000,82261000,107639000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,33044,19941,36431,30598,41165,2209,641,- -,3842729,11018000,10595000,37109000,12748000,17314000,36265000,70000000,63953000,91591000,134160000
36,Other Current Assets,- -,2500000,5100000,1000000,452718,204810,15518234,177219,153924,237927,497746,606267,673931,462908,410599,1988239,1645504,3929000,28186000,22815000,14713000,15053000,10276000,6366000,21946000,20746000,20948000
37,Total Current Assets,- -,3100000,5300000,2900000,6578674,10922146,28458420,21408355,27874481,48035191,50322767,51805413,86770169,80369761,67629576,82399509,362304027,267545000,327048000,370505000,447684000,385370000,519182000,634840000,792439000,924606000,925934000
38,PP&E,- -,100000,100000,100000,3679965,4630257,5296177,4617570,3532115,9551532,13553611,14074093,13525714,12859628,11048763,9711093,10883939,11808000,14893000,19922000,22407000,27203000,56450000,69739000,87872000,102113000,159446000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15535000,15535000,15535000,15535000,15535000,15535000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,14794847,13099775,11404703,9709631,8014559,6319488,4624416,2929344,1234272,- -,390795,104624000,94011000,83014000,72015000,168352000,146369000,124407000,102846000,80938000,59379000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,14794847,13099775,11404703,9709631,8014559,6319488,4624416,2929344,1234272,- -,390795,104624000,94011000,83014000,72015000,183887000,161904000,139942000,118381000,96473000,74914000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,1270000,7417000,3047000,2187000,14960000,14794000,- -,5000000,5000000,168076000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19143000,12934000,14945000,15832000,27022000,24377000,30375000,37695000,33453000
44,Other Non-Current Assets,- -,100000,- -,100000,58211,16527391,20125,513516,3390347,6595809,-71520,132542,79772,69772,227276,216529,298964,277000,242000,425000,174000,307000,604000,64526000,86090000,103341000,105096000
45,Total Non-Current Assets,- -,200000,100000,200000,3738176,21157648,20111149,18230861,18327165,25856972,23496650,20526123,18229902,15858744,12510311,9927622,11573698,117979000,135706000,119342000,111728000,242189000,260774000,298584000,327718000,344622000,540985000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3300000,5400000,3100000,10316850,32079794,48569569,39639216,46201646,73892163,73819417,72331536,105000071,96228505,80139887,92327131,373877725,385524000,462754000,489847000,559412000,627559000,779956000,933424000,1120157000,1269228000,1466919000
48,Accounts Payable,- -,100000,300000,500000,651837,816131,649100,388286,436809,723512,1249576,1808869,861428,1585015,1275695,2155489,4776446,7596000,5256000,9260000,6849000,8112000,13774000,10532000,13296000,13801000,14955000
49,Short-Term Debt,- -,- -,- -,- -,- -,3759,8292467,4713,3886,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,322204,467204,916667,2078788,150000,172688,2739790,1403927,1294668,5534176,4273000,1910000,2466000,10107000,10282000,14981000,80782000,97333000,105215000,120864000
52,Other Current Liabilities,- -,- -,- -,- -,218522,850126,1522621,2151556,3286877,5464099,8646490,12423804,11756415,11444700,11286337,21594530,9206674,10430000,16063000,15097000,17554000,21812000,35069000,41868000,50879000,45644000,52119000
53,Total Current Liabilities,- -,100000,300000,500000,870359,1670016,10464188,2866759,4194776,7404278,11974854,14382673,12790531,15769505,13965959,25044687,19517296,22299000,23229000,26823000,34510000,40206000,63824000,133182000,161508000,164960000,187938000
54,Long-Term Debt,- -,- -,- -,- -,20021,12860,- -,- -,- -,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27263000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3873539,3153000,2403000,3366000,35543000,31322000,23902000,41785000,47529000,57086000,36217000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,570114,8599,3103886,3100000,3100000,4228100,3566500,2993583,3744537,6546402,9852925,8259690,9837000,9436000,10916000,22594000,27563000,33176000,67951000,99671000,134468000,115587000
58,Total Non-Current Liabilities,- -,- -,- -,- -,20021,582974,8599,3103886,3100000,7300000,4228100,3566500,2993583,3744537,6546402,9852925,12133229,12990000,11839000,14282000,58137000,58885000,57078000,109736000,147200000,191554000,179067000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3886,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27263000
61,Total Liabilities,- -,100000,300000,500000,890380,2252990,10472787,5970645,7294776,14704278,16202954,17949173,15784114,19514042,20512361,34897612,31650525,35289000,35068000,41105000,92647000,99091000,120902000,242918000,308708000,356514000,367005000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,5000,5000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
63,Common Stock,- -,- -,- -,- -,137146,164403,180931,215254,241968,279034,295455,313854,355632,361320,368184,389366,461133,465000,468000,471000,482000,483000,485000,487000,489000,490000,491000
64,Retained Earnings,- -,-4900000,-10800000,-13600000,-18699343,-28228389,-47101825,-80074505,-98462012,-114368210,-130169822,-145356626,-161332467,-180472203,-197108705,-217026115,-213870962,-204211000,-130159000,-88305000,-73627000,-25557000,99126000,129552000,249003000,353930000,500212000
65,Other Comprehensive Income/Loss,- -,- -,- -,-100000,-123600,-713884,-1784912,-3631150,-5625509,-6956227,-8588452,-10232482,-11992697,-13902617,-15788490,-6000000,-6000000,-6000000,-4000000,-4000000,-10000000,-11000000,-11000000,-16000000,-17000000,-36000000,-18235000
66,Other Total Stockholders Equity,- -,8100000,15900000,16300000,28112267,58604674,86802588,117153972,142747423,180231288,196077282,209655617,262183489,270725963,272154537,280064268,561635029,559979000,561375000,540574000,549908000,564540000,570441000,576465000,578955000,594292000,617444000
67,Total Stockholders Equity,- -,3200000,5100000,2600000,9426470,29826804,38096782,33668571,38906870,59187885,57616463,54382363,89215957,76714463,59627526,57429519,342227200,350235000,427686000,448742000,466765000,528468000,659054000,690506000,811449000,912714000,1099914000
68,Total Liabilities And Stockholders Equity,- -,3300000,5400000,3100000,10316850,32079794,48569569,39639216,46201646,73892163,73819417,72331536,105000071,96228505,80139887,92327131,373877725,385524000,462754000,489847000,559412000,627559000,779956000,933424000,1120157000,1269228000,1466919000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3300000,5400000,3100000,10316850,32079794,48569569,39639216,46201646,73892163,73819417,72331536,105000071,96228505,80139887,92327131,373877725,385524000,462754000,489847000,559412000,627559000,779956000,933424000,1120157000,1269228000,1466919000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1005284/000095011600000728/0000950116-00-000728-index.html,- -,https://www.sec.gov/Archives/edgar/data/1005284/000095011602000569/0000950116-02-000569-index.html,https://www.sec.gov/Archives/edgar/data/1005284/000095011603002143/0000950116-03-002143-index.html,https://www.sec.gov/Archives/edgar/data/1005284/000112528204000782/0001125282-04-000782-index.html,https://www.sec.gov/Archives/edgar/data/1005284/000095011605001003/0000950116-05-001003-index.html,https://www.sec.gov/Archives/edgar/data/1005284/000095011606000755/0000950116-06-000755-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000089322007000750/0000893220-07-000750-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528408000017/0001005284-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528409000020/0001005284-09-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528410000019/0001005284-10-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528411000038/0001005284-11-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528412000018/0001005284-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000144530513000361/0001445305-13-000361-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528414000017/0001005284-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528415000019/0001005284-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000100528416000136/0001005284-16-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459017002217/0001564590-17-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459018002868/0001564590-18-002868-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459019003665/0001564590-19-003665-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459020005548/0001564590-20-005548-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000156459021006654/0001564590-21-006654-index.htm,https://www.sec.gov/Archives/edgar/data/1005284/000095017022001770/0000950170-22-001770-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3100000,-1800000,-5900000,-2800000,-5125006,-9529046,-16356100,-31019201,-17353205,-15776574,-15801612,-15186804,-15975841,-19139736,-20505320,-19917410,3155153,9660000,74052000,41854000,14678000,48070000,103885000,58840000,138304000,133372000,184213000
74,Depreciation and Amortization,- -,- -,- -,- -,56368,1051083,4509417,16588091,3798945,3069565,3237151,3365441,3157695,2593757,3764698,2941088,1499995,6847000,13017000,13074000,14085000,20762000,26902000,30574000,34418000,37186000,41962000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41418000,9108000,7137000,3094000,24396000,-12814000,-5776000,-4446000,1748000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3918725,5933647,5755961,4263000,6077000,7278000,9173000,11374000,12284000,12432000,16148000,28278000,36275000
77,Change in Working Capital,800000,3000000,2000000,-2600000,3308315,3543815,8742102,547364,5138109,16951208,-2283000,-925173,36556898,-9379382,-10936639,3691205,285431909,-97540731,58573000,39863000,69492000,-68010000,110194000,46300000,129273000,128715000,140400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-893811,-3903618,-3478651,2070000,-7000000,-6418000,-2654000,1205000,-27361000,9226000,-17323000,-21809000,-25378000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-33044,13103,-16490,5833,-10567,38956,1568,- -,-3840520,-7175000,424000,-26514000,-8639000,-4460000,-18951000,-37365000,109000,-28752000,-46123000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,3000000,5000000,2400000,5708315,9252130,17994232,18541596,23679705,40630913,38347913,37422740,73979638,64600256,53663617,57354822,342786731,245246000,303819000,343682000,413174000,345164000,455358000,501658000,630931000,759646000,201484000
82,Other Non-Cash Items,400000,-3600000,1500000,3200000,-2537703,-1559442,-4598002,9119481,2618542,-11209282,14502402,8042744,-34835516,18140197,9148328,3151332,-279433591,94524731,-65314000,-63907000,-953000,65048000,-144296000,-13536000,-118455000,-174313000,-213493000
83,Cash Provided by Operating Activities,-1900000,-2400000,-2400000,-2200000,-4298026,-6493590,-7702583,-4764265,-5797609,-6965083,-345059,-4703792,-11096764,-7785164,-14610208,-4200138,16409427,17754000,44987000,47270000,113612000,80338000,133365000,121796000,193912000,148792000,191105000
84,CAPEX,- -,-100000,- -,- -,-3229101,-1153353,-1746788,-1169945,-957328,-7418053,-5656905,-2349033,-1225857,-1277098,-258761,-369145,-3063636,-111839000,-5069000,-6153000,-5103000,-103289000,-29803000,-25391000,-30460000,-28051000,-43555000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2400000,-5000000,-300000,-7776880,-3368621,-7099904,-6900698,-19219160,-48653858,-22791027,-24374659,-61336182,-96859458,-61345251,-91393656,-337442466,-304500000,-362838000,-408974000,-691876000,-450277000,-594283000,-628789000,-931854000,-604153000,-642180000
87,Sales/Maturities of Investments,- -,- -,2900000,4300000,4004322,4964461,5284000,6359585,8113192,36155365,32393001,25589000,29892000,98737000,69630000,79932984,156716654,380253000,313132000,372818000,638411000,548474000,498508000,633179000,723600000,1023460000,227984000
88,Other Investing Activites,- -,- -,- -,- -,- -,-25750,-15162414,15162414,- -,- -,- -,- -,- -,- -,- -,- -,-439644,-109102000,-359000,- -,- -,-96369000,- -,- -,-401000,-60000,-394000
89,Cash Used for Investing Activites,- -,-2500000,-2100000,4000000,-7001659,416737,-18725106,13451356,-12063296,-19916546,3945069,-1134692,-32670039,600444,8025988,-11829817,-183789448,-36086000,-54775000,-42309000,-58568000,-38472000,-125578000,-21001000,-238714000,391256000,-457751000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1900000,5500000,4000000,- -,11029777,12222822,11613573,8159418,16030409,31445889,8423658,6281768,46539966,2407160,130184,245684,249936156,321000,343000,328000,354000,439000,734000,798000,889000,1176000,1507000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5202000,-5456000,-29500000,- -,- -,- -,-477000,-649000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5652000,-11314000,-18853000,-28445000,-37931000
94,Other Financing Activites,- -,- -,- -,- -,- -,-3402,14996208,-8824225,-4713,296114,-300000,- -,- -,-771555,833581,13451997,8870242,-2659000,-436000,-957000,-3303000,-453000,-9394000,-11620000,-15980000,-14394000,-14949000
95,Cash Used/Provided by Financing Activities,1900000,5500000,4000000,- -,11029777,12219420,26609781,-664807,16025696,31742003,8123658,6281768,46539966,1635605,963765,13697681,258806398,-7540000,-5549000,-30129000,-2949000,-14000,-14312000,-22613000,-34593000,-41663000,-51373000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1900000,- -,- -,- -,-269908,6142567,182092,8022284,-1835209,4860374,11723668,443284,2773163,-5549115,-5620455,-2332274,91426377,-25872000,-15337000,-25168000,52095000,41852000,-6525000,78182000,-79395000,498385000,-318019000
98,Cash at the End of Period,- -,- -,- -,- -,1558473,7701040,7883132,15905416,14070207,18930581,30654249,31097533,33870696,28321581,22701126,20368852,111795229,85923000,70586000,45418000,97513000,139365000,132840000,211022000,131627000,630012000,311993000
99,Cash at the Beginning of Period,- -,- -,600000,100000,1828381,1558473,7701040,7883132,15905416,14070207,18930581,30654249,31097533,33870696,28321581,22701126,20368852,111795000,85923000,70586000,45418000,97513000,139365000,132840000,211022000,131627000,630012000
100,Free Cash Flow,-1900000,-2500000,-2400000,-2200000,-7527127,-7646943,-9449371,-5934210,-6754937,-14383136,-6001964,-7052825,-12322621,-9062262,-14868969,-4569283,13345791,-94085000,39918000,41117000,108509000,-22951000,103562000,96405000,163452000,120741000,147550000
