,https://roic.ai/company/MERC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333274/000094523409000046/0000945234-09-000046-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000095012310018330/0000950123-10-018330-index.html,- -,https://www.sec.gov/Archives/edgar/data/1333274/000119312512070602/0001193125-12-070602-index.html,https://www.sec.gov/Archives/edgar/data/1537293/000147793213000663/0001477932-13-000663-index.html,- -,https://www.sec.gov/Archives/edgar/data/1333274/000119312515050364/0001193125-15-050364-index.htm,https://www.sec.gov/Archives/edgar/data/1333274/000119312516462422/0001193125-16-462422-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000119312517038455/0001193125-17-038455-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000119312518048495/0001193125-18-048495-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000119312519041195/0001193125-19-041195-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000156459020004625/0001564590-20-004625-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000156459021006106/0001564590-21-006106-index.htm,https://www.sec.gov/Archives/edgar/data/1333274/000156459022005582/0001564590-22-005582-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31783000,65365000,67145000,98878000,91500000,123800000,59300000,73400000,132500000,136000000,137400000,147700000,53172000,99629000,136569000,143299000,240491000,351085000,361098000,345610000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000,7000,- -,- -,- -,- -,- -,- -,- -,15800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32105000,65372000,67145000,98878000,91500000,123800000,59300000,73400000,132500000,151800000,137400000,147700000,53172000,99629000,136569000,143299000,240491000,351085000,361098000,345610000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33530000,40588000,74079000,87952000,109300000,139700000,140000000,101800000,162800000,156000000,145200000,135900000,141088000,134254000,123892000,206027000,252692000,208740000,227055000,345345000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17199000,30057000,71656000,96037000,82900000,151200000,137600000,104000000,136700000,156000000,156000000,170900000,146576000,141001000,133451000,176601000,303813000,272599000,271696000,356731000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18223000,25408000,68076000,14809000,9000000,8800000,25000000,8500000,45400000,19300000,16300000,17300000,17031000,13927000,7939000,326412000,13703000,12273000,15003000,16619000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101057000,161425000,280956000,297676000,292700000,423500000,361900000,287700000,477400000,483100000,454900000,471800000,357867000,388811000,401851000,852339000,810699000,844697000,874852000,1064305000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464222000,936837000,1267953000,1212687000,1282800000,1361500000,1232400000,1243400000,1132700000,1062700000,1066500000,1038600000,883150000,762391000,738276000,844848000,1029257000,1087246000,1122991000,1145343000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8925000,8461000,7591000,26147000,71831000,53371000,51571000,47902000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8925000,8461000,7591000,26147000,71831000,53371000,51571000,47902000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,583289,- -,- -,- -,- -,- -,- -,- -,- -,- -,62574000,53122000,46429000,49651000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10647000,12546000,73851000,92764000,30200000,27200000,8100000,- -,10400000,3300000,7600000,14500000,22156000,13171000,17314000,31961000,93107000,89847000,1355000,1177000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53991000,65811000,78142000,46454000,113200000,60300000,6716711,20500000,6200000,26600000,31600000,23700000,34131000,9983000,-6324000,-30585000,-91733000,-62563000,31928000,42854000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528860000,1015194000,1419946000,1351905000,1426200000,1449000000,1247800000,1263900000,1149300000,1092600000,1105700000,1076800000,948362000,794006000,756857000,872371000,1165036000,1221023000,1254274000,1286927000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629917000,1176619000,1700902000,1649581000,1718900000,1872500000,1609700000,1551600000,1626700000,1575700000,1560600000,1548600000,1306229000,1182817000,1158708000,1724710000,1975735000,2065720000,2129126000,2351232000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34519000,47036000,33132000,71057000,55600000,72400000,49900000,47200000,49100000,59200000,39900000,44300000,22729000,20637000,28815000,36151000,36333000,73721000,42730000,58451000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51553000,54750000,22969624,22969798,52661258,33271985,60388288,60355000,12101000,- -,- -,295924000,- -,- -,- -,11659000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23256000,56241000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1246000,- -,7302000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59891000,175925000,277164000,95020000,51247000,50150000,73230376,75530202,65738742,70728015,79611712,60845000,80673000,83784000,64355000,98391000,159055000,181345000,169066000,205712000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94410000,222961000,310296000,166077000,158400000,177300000,146100000,145700000,167500000,163200000,179900000,165500000,115503000,104421000,93170000,430466000,195388000,256312000,211796000,283124000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369577000,729350000,1052893000,1091920000,1163300000,1203300000,1187000000,1181500000,1062600000,933900000,896200000,938300000,676891000,650342000,644012000,690461000,1066058000,1119035000,1196556000,1244119000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2793000,17094000,- -,- -,- -,- -,- -,2585000,5757000,14450000,28892000,13171000,17314000,31961000,- -,89847000,77028000,95123000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34675000,57283000,114471000,198453000,108500000,88300000,44300000,48000000,80900000,84915000,89643000,71250000,46063000,31907000,25084000,21156000,132860000,50123000,42719000,34842000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404252000,786633000,1170157000,1307467000,1271800000,1291600000,1231300000,1229500000,1143500000,1021400000,991600000,1024000000,751846000,695420000,686410000,743578000,1198918000,1259005000,1316303000,1374084000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3032000,12239000,11770000,10087000,13141000,20466631,21299215,20281952,20164604,21019917,21547000,18308000,12299000,26467000,27464000,38593000,41623000,51262000,73807000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498662000,1009594000,1480453000,1473544000,1430200000,1468900000,1377400000,1375200000,1311000000,1184600000,1171500000,1189500000,867349000,799841000,779580000,1174044000,1394306000,1515317000,1528099000,1657208000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80868000,98236000,112970000,214907000,258200000,295900000,283500000,290400000,293200000,320600000,327800000,328500000,64156000,64424000,64656000,64974000,65171000,65598000,65800000,65988000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55444000,61849000,93706000,-56772000,20100000,54600000,-49000000,-139200000,-14700000,49200000,37200000,10800000,100214000,160880000,166068000,205998000,301990000,256371000,217106000,370927000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105821000,-145582000,-202583000,-249214000,20400000,105800000,-2600000,33900000,42400000,27700000,29000000,31000000,-52000000,-172000000,-185000000,-59000000,-128000000,-117000000,-27575000,-90793000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100764000,152522000,216356000,267116000,-9926000,-52290000,-498435,-8554066,-6938037,-5929784,-2795990,-11222000,326510000,329672000,333404000,338694000,342268000,345434000,345696000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131255000,167025000,220449000,176037000,288774000,404010000,231401565,176545934,313961963,391570216,391204010,359078000,438880000,382976000,379128000,550666000,581429000,550403000,601027000,694024000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629917000,1176619000,1700902000,1649581000,1718974000,1872910000,1608801565,1551745934,1624961963,1576170216,1562704010,1548578000,1306229000,1182817000,1158708000,1724710000,1975735000,2065720000,2129126000,2351232000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74000,-410000,898435,-145934,1738037,-470216,-2104010,22000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629917000,1176619000,1700902000,1649581000,1718900000,1872500000,1609700000,1551600000,1626700000,1575700000,1560600000,1548600000,1306229000,1182817000,1158708000,1724710000,1975735000,2065720000,2129126000,2351232000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333274/000094523409000046/0000945234-09-000046-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000095012310018330/0000950123-10-018330-index.html,- -,https://www.sec.gov/Archives/edgar/data/1333274/000119312512070602/0001193125-12-070602-index.html,https://www.sec.gov/Archives/edgar/data/1537293/000147793213000663/0001477932-13-000663-index.html,- -,https://www.sec.gov/Archives/edgar/data/1333274/000119312515050364/0001193125-15-050364-index.htm,https://www.sec.gov/Archives/edgar/data/1333274/000119312516462422/0001193125-16-462422-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000119312517038455/0001193125-17-038455-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000119312518048495/0001193125-18-048495-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000119312519041195/0001193125-19-041195-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000156459020004625/0001564590-20-004625-index.html,https://www.sec.gov/Archives/edgar/data/1333274/000156459021006106/0001564590-21-006106-index.htm,https://www.sec.gov/Archives/edgar/data/1333274/000156459022005582/0001564590-22-005582-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,4800000,7300000,8000000,16800000,46100000,64100000,16100000,-32600000,9000000,-38109000,29474000,-2527000,-6640000,-4517000,27065000,-138642000,79400000,30400000,-106000000,-86500000,114300000,69700000,-15700000,-26400000,113154000,75502000,34943000,70483000,128589000,-9639000,-17235000,170988000
74,Depreciation and Amortization,- -,1300000,2000000,1100000,600000,8900000,13900000,11000000,13300000,11200000,7018000,22139000,20557000,26902000,30304000,39932000,63559000,74376000,82738000,77626194,77611898,74785211,72587648,76774142,78645000,78012000,68333000,71984000,85294000,96729000,126394000,128921000,132199000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-9100000,-3100000,- -,300000,- -,- -,- -,- -,- -,-57539000,-13587000,75043000,11893000,2750787,-8600779,-12980450,-3080811,-156056,11482000,-22016000,17515000,16809000,22056000,16596000,-7873000,-15249000,18791000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,367514,651900,3183934,4290065,2696591,3574000,1586000,2409000,4659000,2890000,3940000,3036000,928000,2394000
77,Change in Working Capital,- -,-7500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6647000,-68183000,32196000,160939000,2701000,111900000,-30400000,-73800000,167900000,10000000,-44900000,31300000,-63936000,42026000,24291000,113192000,193438000,-26926000,74671000,-154886000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11256000,9466000,-64949000,-10370000,41369000,-6269000,-121579000
79,Inventory,- -,- -,- -,- -,2700000,-12800000,-7300000,5300000,2000000,-2400000,-996000,-3391000,2337000,1803000,-9471000,-39268000,-4912000,9719000,-56518000,-18558064,46074274,-32533582,-22957683,1774804,-14563000,6445000,-13235000,6844000,-19994000,-58082000,24683000,-11430000,-96442000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6647000,-61536000,-29340000,131599000,134300000,246200000,215800000,142000000,309900000,319900000,275000000,306300000,242364000,284390000,308681000,421873000,615311000,588385000,663056000,-12454000
82,Other Non-Cash Items,- -,-1600000,-400000,-12300000,-35800000,-20200000,-81100000,-32000000,35300000,-2000000,22455000,-11661000,8629000,14824000,81922000,-28642000,-58850000,-166555000,-208968000,39136866,144105662,-225790903,-9559374,42084910,-62276000,37788000,-46565000,-11904000,-151989000,-202624000,159291000,-130471000,12728000
83,Cash Provided by Operating Activities,- -,-3000000,8900000,-3200000,-18400000,34800000,-12200000,-8000000,16000000,18500000,-8636000,39952000,26659000,41733000,39526000,13012000,13419000,64965000,27963000,-16518640,53468680,121397792,143937528,60799587,36325000,144588000,159220000,140782000,141926000,236668000,244283000,41565000,182214000
84,CAPEX,- -,- -,-1100000,- -,-18900000,-9800000,-8400000,-18200000,-13100000,-69800000,- -,- -,-6845000,- -,-408913000,-296177000,-26022000,-43470000,-7103000,-35782499,-41303227,-50937625,-49003953,-48541275,-45707000,-39388000,-50345000,-44370000,-59692000,-87612000,-132657000,-79165000,-160825000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-255186000,- -,- -,-209594000,- -,-1043000,-173511000,- -,- -,7946098,- -,- -,- -,- -,- -,- -,- -,- -,-61627000,-380312000,-6380000,- -,-51258000
86,Purchases of Investments,- -,-2600000,-8900000,-102800000,-78200000,-200000,-6300000,- -,- -,- -,-1264000,-1918000,-569000,-643000,- -,- -,-1953000,- -,- -,- -,- -,- -,-15795477,- -,- -,- -,- -,- -,- -,- -,- -,-9370000,- -
87,Sales/Maturities of Investments,- -,8400000,10100000,103100000,88400000,1900000,2400000,1900000,- -,2200000,6867000,189000,605000,- -,8056000,1573000,- -,1563000,- -,- -,- -,- -,- -,16151771,- -,- -,- -,- -,- -,- -,- -,26910000,- -
88,Other Investing Activites,- -,500000,-4700000,- -,1700000,-1100000,1300000,- -,-3900000,7600000,4178000,40004000,-2444000,4338000,490000,-2649000,73470000,-40245000,43568000,30626166,19468164,2993749,4767027,863597,739000,-14493000,-3281000,-1777000,-2009000,-155000,-944000,1151000,23571000
89,Cash Used for Investing Activites,- -,6300000,-4600000,300000,-7000000,-9200000,-11000000,-16300000,-17000000,-60000000,-245405000,38275000,-9253000,-205899000,-400367000,-298296000,-128016000,-82152000,36465000,2789765,-21835062,-47943876,-60032402,-31525908,-44968000,-49105000,-49817000,-44303000,-121551000,-467479000,-139358000,-59827000,-187127000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51973996,-34312855,-315890411,-86562115,-38853916,-64649000,-893484000,-36233000,-23079000,-234945000,-317439000,-162279000,- -,-824557000
91,Common Stock Issued,- -,- -,- -,- -,2500000,- -,7100000,- -,- -,3300000,- -,- -,- -,287000,1147000,5745000,78874000,734000,445000,- -,- -,- -,- -,- -,- -,53859000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-3500000,-4800000,-800000,-200000,-1100000,- -,- -,- -,- -,-217000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9689586,- -,- -,- -,- -,- -,- -,- -,-754000,-162000,- -
93,Dividends Paid,- -,- -,-300000,- -,- -,- -,- -,- -,-500000,-600000,-834000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7418000,-29733000,-29866000,-40724000,-35279000,-21892000,-17167000
94,Other Financing Activites,- -,700000,5800000,12800000,28900000,-10400000,-1300000,5800000,-3200000,84300000,208268000,-61547000,-26926000,184401000,384993000,273970000,71306000,557000,-45335000,8495977,15187117,307740391,18403214,8614807,79882000,663873000,-13013000,-9565000,553562000,373024000,204410000,48371000,832220000
