,https://roic.ai/company/PEP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,7319600000,8470200000,10341900000,11647000000,13459500000,15558000000,17276300000,19332900000,22114200000,25271200000,27434000000,29099000000,18255000000,19764000000,17549000000,17213000000,22914000000,20382000000,21984000000,24002000000,26640000000,28698000000,32304000000,36316000000,35188000000,49506000000,56871000000,56380000000,56710000000,57102000000,54703000000,53014000000,53249000000,54551000000,56872000000,60292000000,68312000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,67000000,68000000,57000000,91000000,97000000,85000000,59000000,110000000,244000000,306000000,200000000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,329000000,397000000,903000000,856000000,899000000,911000000,909000000,970000000,1342000000,1151000000,1525000000,1135000000,1128000000,1863000000
14,Depreciation and Amortization,- -,- -,- -,- -,772000000,884000000,1034500000,1214900000,1444200000,1576500000,1740000000,1719000000,1106000000,1234000000,1032000000,960000000,1082000000,1112000000,1221000000,1264000000,1308000000,1406000000,1426000000,1543000000,1635000000,2327000000,2737000000,2689000000,2663000000,2625000000,2416000000,2368000000,2369000000,2399000000,2432000000,2548000000,3215000000
15,EBITDA,787600000,680300000,950100000,1137600000,2122500000,2537700000,2704800000,2186300000,3866700000,4208900000,4172000000,3766000000,4066000000,3497000000,4688000000,4170000000,5111000000,5980000000,6213000000,6848000000,7690000000,8395000000,9057000000,8893000000,10078000000,11444000000,12408000000,11856000000,12418000000,12246000000,10779000000,12213000000,13071000000,13069000000,12848000000,12690000000,14838000000
16,EBITDA ratio,0.0978,0.0732,0.0827,0.0875,0.1392,0.1425,0.1379,0.0995,0.1545,0.1478,0.1371,0.1190,0.1944,0.1565,0.2302,0.2040,0.1898,0.2381,0.2304,0.2340,0.2362,0.2389,0.2294,0.2056,0.2331,0.1979,0.1866,0.1810,0.1870,0.1836,0.1709,0.1945,0.2058,0.2021,0.1913,0.1803,0.1867
17,Operating Income,737100000,820600000,1143300000,1360000000,1782900000,2244700000,2331600000,2637100000,2906500000,3201200000,2987000000,3368000000,2952000000,2872000000,2883000000,3225000000,4021000000,4730000000,4781000000,5259000000,5922000000,6439000000,7170000000,6935000000,8044000000,8332000000,9633000000,9112000000,9705000000,9581000000,8353000000,9785000000,10509000000,10110000000,10291000000,10080000000,11162000000
18,Operating Income ratio,0.0915,0.0883,0.0995,0.1046,0.1170,0.1261,0.1189,0.1200,0.1162,0.1124,0.0982,0.1064,0.1411,0.1285,0.1416,0.1578,0.1493,0.1884,0.1773,0.1797,0.1819,0.1833,0.1816,0.1603,0.1861,0.1441,0.1448,0.1391,0.1461,0.1437,0.1325,0.1558,0.1654,0.1564,0.1532,0.1432,0.1404
19,Total Other Income Expenses (Gains),-73100000,-140300000,-182900000,-222400000,-432400000,-577300000,-661300000,-738300000,-484000000,-536800000,-555000000,-1321000000,-643000000,-609000000,773000000,-15000000,8000000,138000000,211000000,287000000,460000000,550000000,461000000,86000000,35000000,-100000000,-799000000,-808000000,-814000000,-824000000,-911000000,-1232000000,-907000000,-921000000,-979000000,-1011000000,-1341000000
20,Income Before Tax,664000000,680300000,960400000,1137600000,1350500000,1667400000,1670300000,1898800000,2422500000,2664400000,2432000000,2047000000,2309000000,2263000000,3656000000,3210000000,4029000000,4868000000,4992000000,5546000000,6382000000,6989000000,7631000000,7021000000,8079000000,8232000000,8834000000,8304000000,8891000000,8757000000,7442000000,8553000000,9602000000,9189000000,9312000000,9069000000,9821000000
21,Income Before Tax Ratio,0.0824,0.0732,0.0836,0.0875,0.0886,0.0937,0.0852,0.0864,0.0968,0.0936,0.0799,0.0647,0.1104,0.1013,0.1795,0.1571,0.1496,0.1939,0.1851,0.1895,0.1960,0.1989,0.1933,0.1623,0.1869,0.1423,0.1328,0.1268,0.1339,0.1313,0.1180,0.1362,0.1512,0.1421,0.1387,0.1289,0.1236
22,Income Tax expense (Gain),243900000,222500000,355300000,375400000,449100000,576800000,590100000,597100000,834600000,880400000,826000000,898000000,818000000,270000000,1606000000,1027000000,1367000000,1555000000,1424000000,1372000000,2304000000,1347000000,1973000000,1879000000,2100000000,1894000000,2372000000,2090000000,2104000000,2199000000,1941000000,2174000000,4694000000,-3370000000,1967000000,1894000000,2142000000
23,Net Income,543700000,457800000,594800000,762200000,901400000,1076900000,1080200000,374300000,1587900000,1752000000,1606000000,1149000000,2142000000,1993000000,2050000000,2183000000,2662000000,3313000000,3568000000,4212000000,4078000000,5642000000,5658000000,5142000000,5946000000,6320000000,6443000000,6178000000,6740000000,6513000000,5452000000,6329000000,4857000000,12515000000,7314000000,7120000000,7618000000
24,Net Income ratio,0.0675,0.0493,0.0518,0.0586,0.0591,0.0605,0.0551,0.0170,0.0635,0.0615,0.0528,0.0363,0.1024,0.0892,0.1007,0.1068,0.0988,0.1319,0.1323,0.1439,0.1252,0.1606,0.1433,0.1189,0.1375,0.1093,0.0969,0.0943,0.1015,0.0977,0.0865,0.1008,0.0765,0.1935,0.1089,0.1012,0.0959
25,EPS,0.33,0.29,0.38,0.49,0.57,0.68,0.68,0.23,0.71,1.09,1.00,0.72,1.40,1.35,1.40,1.51,1.51,1.89,2.07,2.47,2.43,3.42,3.48,3.31,3.80,3.97,4.12,4.00,4.41,4.38,3.77,4.43,3.42,8.88,5.26,5.16,5.56
26,EPS Diluted,0.33,0.29,0.38,0.49,0.57,0.68,0.68,0.23,0.71,1.09,1.00,0.72,1.36,1.31,1.37,1.48,1.47,1.85,2.05,2.44,2.39,3.34,3.41,3.21,3.77,3.91,4.03,3.92,4.32,4.27,3.67,4.36,3.38,8.78,5.20,5.12,5.53
27,Weighted Average Shares Outstanding,1647575758,1578620690,1565263158,1555510204,1581403509,1583676471,1588529412,1627391304,1613239437,1607200000,1608000000,1606000000,1528000000,1480000000,1466000000,1446000000,1763000000,1753000000,1718000000,1696000000,1669000000,1646491228,1622413793,1582000000,1557000000,1590000000,1564000000,1544000000,1529000000,1488000000,1448000000,1428000000,1420000000,1409000000,1391000000,1380000000,1382000000
28,Weighted Average Shares Outstanding Diluted,1647575758,1578620690,1565263158,1555510204,1581403509,1583676471,1588529412,1627391304,1613239437,1608701299,1608000000,1624637681,1570000000,1519000000,1496000000,1475000000,1807000000,1789000000,1739000000,1729000000,1705439331,1685928144,1655718475,1602000000,1577000000,1614000000,1597000000,1575000000,1560000000,1527000000,1485000000,1452000000,1438000000,1425000000,1407000000,1392000000,1389000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77476/000007747696000023/0000077476-96-000023-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/77476/000007747699000013/0000077476-99-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/77476/000007747601500016/0000077476-01-500016-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77476/000119312505037811/0001193125-05-037811-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312506039968/0001193125-06-039968-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312507035201/0001193125-07-035201-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312508032441/0001193125-08-032441-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312509033126/0001193125-09-033126-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312510036385/0001193125-10-036385-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/0001193125-11-040427-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312512081822/0001193125-12-081822-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000144530513000278/0001445305-13-000278-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747614000007/0000077476-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747615000012/0000077476-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747616000066/0000077476-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/0000077476-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/0000077476-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747619000017/0000077476-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747620000015/0000077476-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/0000077476-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/0000077476-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382000000,447000000,1928000000,311000000,964000000,864000000,683000000,1638000000,820000000,1280000000,1716000000,1651000000,910000000,2064000000,3943000000,5943000000,4067000000,6297000000,9375000000,6134000000,9096000000,9158000000,10610000000,8721000000,5509000000,8185000000,5596000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1116000000,339000000,955000000,83000000,92000000,466000000,966000000,207000000,1181000000,2165000000,3166000000,1171000000,1571000000,213000000,192000000,426000000,358000000,322000000,303000000,2592000000,2913000000,6967000000,8900000000,272000000,229000000,1366000000,392000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1498000000,786000000,2883000000,394000000,1056000000,1330000000,1649000000,1845000000,2001000000,3445000000,4882000000,2822000000,2481000000,2277000000,4135000000,6369000000,4425000000,6619000000,9678000000,8726000000,12009000000,16125000000,19510000000,8993000000,5738000000,9551000000,5988000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2407000000,2516000000,2150000000,2453000000,1704000000,1799000000,2142000000,2531000000,2830000000,2999000000,3261000000,3725000000,4389000000,4683000000,4624000000,6323000000,6912000000,7041000000,6954000000,6651000000,6437000000,6694000000,7024000000,7142000000,7822000000,8404000000,8680000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1051000000,1038000000,732000000,1016000000,899000000,905000000,1310000000,1342000000,1412000000,1541000000,1693000000,1926000000,2290000000,2522000000,2618000000,3372000000,3827000000,3581000000,3409000000,3143000000,2720000000,2723000000,2947000000,3128000000,3338000000,4172000000,4347000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,590000000,799000000,486000000,499000000,514000000,570000000,752000000,695000000,687000000,654000000,618000000,657000000,991000000,1324000000,1194000000,1505000000,2277000000,1479000000,2162000000,2143000000,1865000000,1547000000,1546000000,2630000000,747000000,874000000,2768000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5546000000,5139000000,6251000000,4362000000,4173000000,4604000000,5853000000,6413000000,6930000000,8639000000,10454000000,9130000000,10151000000,10806000000,12571000000,17569000000,17441000000,18720000000,22203000000,20663000000,23031000000,27089000000,31027000000,21893000000,17645000000,23001000000,21783000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9870000000,10191000000,6261000000,7318000000,5266000000,5438000000,6876000000,7390000000,7828000000,8149000000,8681000000,9687000000,11228000000,11663000000,12671000000,19058000000,19698000000,19136000000,18575000000,17244000000,16317000000,16591000000,17240000000,17589000000,20853000000,23039000000,24427000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2761000000,2490000000,2298000000,5131000000,3808000000,3576000000,3374000000,4418000000,- -,4842000000,4088000000,4594000000,5169000000,5124000000,6534000000,14661000000,16800000000,16971000000,16613000000,14965000000,14177000000,14430000000,14744000000,14808000000,15501000000,18757000000,18381000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4823000000,4646000000,3557000000,3865000000,927000000,909000000,1467000000,801000000,5383000000,598000000,1616000000,1849000000,2044000000,1860000000,2623000000,13808000000,16445000000,16525000000,16039000000,14088000000,13081000000,13433000000,13838000000,15825000000,16043000000,19315000000,18665000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7584000000,7136000000,5855000000,8996000000,4735000000,4485000000,4841000000,5219000000,5383000000,5440000000,5704000000,6443000000,7213000000,6984000000,9157000000,28469000000,33245000000,33496000000,32652000000,29053000000,27258000000,27863000000,28582000000,30633000000,31544000000,38072000000,37046000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1635000000,1375000000,1201000000,1396000000,2846000000,2978000000,2871000000,2611000000,- -,3284000000,3485000000,3690000000,4354000000,3883000000,4484000000,1368000000,1566000000,2351000000,2623000000,2689000000,2311000000,1950000000,2042000000,2409000000,2683000000,2792000000,2627000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1885000000,1778000000,1697000000,2003000000,1209000000,1361000000,1496000000,1718000000,- -,1216000000,- -,528000000,646000000,226000000,659000000,4057000000,- -,5063000000,5986000000,5304000000,4959000000,- -,3242000000,3499000000,4091000000,4372000000,4310000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1088000000,-1107000000,-1164000000,-1415000000,-678000000,-527000000,-242000000,123000000,5186000000,1259000000,3403000000,452000000,1036000000,2432000000,306000000,-2368000000,932000000,-4128000000,-4561000000,-4444000000,-4209000000,636000000,-2329000000,1625000000,1731000000,1642000000,2184000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19886000000,19373000000,13850000000,18298000000,13378000000,13735000000,15842000000,17061000000,18397000000,19348000000,21273000000,20800000000,24477000000,25188000000,27277000000,50584000000,55441000000,55918000000,55275000000,49846000000,46636000000,47040000000,48777000000,55755000000,60902000000,69917000000,70594000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25432000000,24512000000,20101000000,22660000000,17551000000,18339000000,21695000000,23474000000,25327000000,27987000000,31727000000,29930000000,34628000000,35994000000,39848000000,68153000000,72882000000,74638000000,77478000000,70509000000,69667000000,74129000000,79804000000,77648000000,78547000000,92918000000,92377000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1556000000,4626000000,1047000000,1180000000,1121000000,1210000000,1396000000,1711000000,5213000000,1862000000,5971000000,2102000000,2562000000,2846000000,2881000000,3865000000,4083000000,4451000000,4874000000,5127000000,5546000000,6158000000,6727000000,7213000000,8013000000,8853000000,9834000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591000000,- -,2889000000,- -,- -,- -,- -,- -,6205000000,- -,3082000000,980000000,962000000,6892000000,1465000000,73000000,72000000,4240000000,4754000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492000000,- -,99000000,- -,90000000,151000000,145000000,165000000,71000000,- -,371000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1718000000,- -,1216000000,- -,528000000,646000000,226000000,659000000,4057000000,- -,5063000000,5986000000,5304000000,4959000000,- -,3242000000,4364000000,4359000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3674000000,513000000,3210000000,6734000000,2667000000,2725000000,3602000000,2623000000,611000000,3674000000,546000000,4230000000,4545000000,5715000000,5216000000,7970000000,7866000000,7575000000,3897000000,6681000000,6111000000,8085000000,9068000000,10488000000,8017000000,10279000000,11632000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5230000000,5139000000,4257000000,7914000000,3788000000,3935000000,4998000000,6052000000,6415000000,6752000000,9406000000,6860000000,7753000000,8787000000,8756000000,15892000000,18154000000,17089000000,17839000000,18092000000,17578000000,21135000000,20502000000,22138000000,20461000000,23372000000,26220000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8509000000,8439000000,4946000000,4028000000,2812000000,2346000000,2651000000,2187000000,1702000000,2397000000,2313000000,2550000000,4203000000,7858000000,7400000000,19999000000,20568000000,23544000000,24333000000,23821000000,29213000000,30053000000,33796000000,28295000000,29148000000,40370000000,36026000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261000000,- -,1434000000,- -,- -,- -,- -,4057000000,4995000000,5063000000,5986000000,5304000000,4959000000,5073000000,3242000000,3499000000,4091000000,4284000000,4826000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4380000000,4311000000,3962000000,4317000000,4070000000,4809000000,5372000000,5944000000,4053000000,5315000000,4254000000,5152000000,5438000000,7243000000,6888000000,7041000000,8266000000,6648000000,5041000000,5854000000,5994000000,6669000000,11375000000,9198000000,10061000000,11340000000,9154000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12889000000,12750000000,8908000000,8345000000,6882000000,7155000000,8023000000,8131000000,7016000000,7712000000,8001000000,7702000000,9641000000,15101000000,14288000000,31097000000,33829000000,35255000000,35360000000,34979000000,40166000000,41795000000,48413000000,40992000000,43300000000,55994000000,50006000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,442000000,460000000,446000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18119000000,17889000000,13165000000,16259000000,10670000000,11090000000,13021000000,14183000000,13431000000,14464000000,17407000000,14562000000,17394000000,23888000000,23044000000,46989000000,51983000000,52344000000,53199000000,53071000000,57744000000,62930000000,68915000000,63130000000,63761000000,79366000000,76226000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,41000000,41000000,41000000,41000000,41000000,41000000,41000000,41000000,41000000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,29000000,29000000,29000000,29000000,29000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,31000000,31000000,26000000,25000000,25000000,24000000,24000000,-28737000000,23000000,23000000,23000000,23000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8730000000,9184000000,11567000000,12800000000,14066000000,15448000000,11519000000,13464000000,15961000000,18730000000,21116000000,24837000000,28184000000,30638000000,33805000000,37090000000,40316000000,43158000000,46420000000,49092000000,50472000000,52518000000,52839000000,59947000000,61946000000,63443000000,65165000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1616000000,-1536000000,-1976000000,-2118000000,-1978000000,-2526000000,-3292000000,-3344000000,-1267000000,-1772000000,-1053000000,-2246000000,-952000000,-4694000000,-3794000000,-3630000000,-6229000000,-5487000000,-5127000000,-10669000000,-13319000000,-13919000000,-13057000000,-15119000000,-14300000000,-15476000000,-14898000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000,- -,- -,- -,- -,- -,417000000,-852000000,- -,-3416000000,-5773000000,-7174000000,-9937000000,-13909000000,-13278000000,-12368000000,-13571000000,-15444000000,-17080000000,-21051000000,-25295000000,-27569000000,-197000000,-30333000000,-32883000000,-34536000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7313000000,6623000000,6936000000,6401000000,6881000000,7249000000,8674000000,9298000000,11896000000,13572000000,14320000000,15447000000,17325000000,12106000000,16804000000,21164000000,20588000000,22294000000,24279000000,17438000000,11923000000,11095000000,10889000000,14518000000,14786000000,13454000000,16043000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25432000000,24512000000,20101000000,22660000000,17551000000,18339000000,21695000000,23481000000,25327000000,28036000000,31727000000,30009000000,34719000000,35994000000,39848000000,68153000000,72571000000,74638000000,77478000000,70509000000,69667000000,74025000000,79804000000,77648000000,78547000000,92820000000,92269000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,- -,-49000000,- -,-79000000,-91000000,- -,- -,- -,311000000,- -,- -,- -,- -,104000000,- -,- -,- -,98000000,108000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25432000000,24512000000,20101000000,22660000000,17551000000,18339000000,21695000000,23474000000,25327000000,27987000000,31727000000,29930000000,34628000000,35994000000,39848000000,68153000000,72882000000,74638000000,77478000000,70509000000,69667000000,74129000000,79804000000,77648000000,78547000000,92918000000,92377000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/77476/000007747696000023/0000077476-96-000023-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/77476/000007747699000013/0000077476-99-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/77476/000007747601500016/0000077476-01-500016-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77476/000119312505037811/0001193125-05-037811-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312506039968/0001193125-06-039968-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312507035201/0001193125-07-035201-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312508032441/0001193125-08-032441-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312509033126/0001193125-09-033126-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312510036385/0001193125-10-036385-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/0001193125-11-040427-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312512081822/0001193125-12-081822-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000144530513000278/0001445305-13-000278-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747614000007/0000077476-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747615000012/0000077476-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747616000066/0000077476-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/0000077476-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/0000077476-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747619000017/0000077476-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747620000015/0000077476-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/0000077476-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/0000077476-22-000010-index.htm
