,https://roic.ai/company/ARW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,127000000,130700000,129700000,189600000,180700000,174600000,186800000,240500000,331800000,561000000,609400000,641400000,814800000,808800000,962500000,1249834000,1284406000,1092043000,1198943000,1272422000,1248308000,1413339000,1586627000,1587574000,1478107000,1634338000,1996074000,1964884000,2004779000,2115797000,2142003000,2212058000,2316595000,2489435000,2381402000,2276108000,2635330000
11,COGS and Expenses,533600000,541000000,576300000,971100000,897600000,938300000,1009300000,1517700000,2354100000,4393200000,5496200000,6134000000,7389200000,7992200000,8973900000,12175143000,9893854000,7222624000,8457303000,10195384000,10672894000,12959058000,15286342000,16065870000,14411314000,17960407000,20437735000,19632726000,20571135000,21888576000,22388773000,22893120000,25771764000,28465291000,27999868000,27758341000,32909983000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99863000,83285000,76571000,105971000,101876000,114433000,115985000,135401000,150715000,163810000,214771000,203743000,137210000,131727000
14,Depreciation and Amortization,4900000,5700000,4000000,10800000,10500000,12500000,12700000,14700000,19900000,29800000,35200000,39500000,47100000,55100000,78600000,99478000,132157000,78783000,73913000,65675000,58024000,70980000,90252000,69286000,67027000,77352000,103482000,115350000,131141000,156048000,155754000,159195000,153599000,186384000,189790000,189058000,195120000
15,EBITDA,-15100000,-22600000,1100000,26200000,13700000,22600000,23600000,89500000,165900000,232900000,390800000,386900000,342400000,315900000,304600000,705604000,24142000,-525533000,120819000,369615000,442881000,587768000,678741000,-427868000,339240000,832931000,1018748000,927200000,827337000,955021000,980578000,1023334000,1006497000,1305149000,277784000,1083501000,1760950000
16,EBITDA ratio,-0.0283,-0.0427,0.0020,0.0260,0.0148,0.0233,0.0226,0.0552,0.0654,0.0501,0.0660,0.0592,0.0441,0.0379,0.0327,0.0544,0.0024,-0.0711,0.0139,0.0347,0.0397,0.0433,0.0425,-0.0255,0.0231,0.0444,0.0476,0.0454,0.0387,0.0419,0.0421,0.0430,0.0375,0.0440,0.0096,0.0378,0.0511
17,Operating Income,500000,-11400000,-13900000,35300000,27600000,32600000,34400000,103800000,181500000,256000000,423200000,400600000,374700000,352500000,338700000,784107000,156603000,167530000,184045000,439338000,480258000,606225000,686905000,-493569000,272787000,750775000,908843000,804123000,693500000,762257000,824482000,858539000,928450000,1147512000,107696000,894511000,1556822000
18,Operating Income ratio,0.0009,-0.0215,-0.0247,0.0351,0.0298,0.0336,0.0330,0.0640,0.0716,0.0551,0.0715,0.0613,0.0483,0.0422,0.0364,0.0605,0.0155,0.0227,0.0212,0.0413,0.0430,0.0447,0.0430,-0.0294,0.0186,0.0401,0.0425,0.0394,0.0325,0.0335,0.0354,0.0360,0.0346,0.0387,0.0037,0.0312,0.0452
19,Total Other Income Expenses (Gains),-20500000,3000000,16900000,4600000,5500000,6400000,-23500000,-23600000,-35500000,-36200000,-67600000,-38000000,-66300000,-80200000,-107500000,-173976000,-265897000,-149983000,-136761000,-134355000,-94697000,-87948000,-94722000,-103344000,-83866000,-71772000,-99042000,-93764000,-111281000,-78924000,-132299000,-143142000,-234162000,-238139000,-219526000,-135252000,-120448000
20,Income Before Tax,-20000000,- -,- -,- -,- -,- -,10900000,80200000,146000000,219800000,355600000,362600000,308400000,272300000,231200000,610131000,-109294000,17547000,47284000,304983000,385561000,518277000,592183000,-596913000,188921000,679003000,809801000,710359000,582219000,683333000,692183000,715397000,694288000,909373000,-111830000,759259000,1436374000
21,Income Before Tax Ratio,-0.0374,- -,- -,- -,- -,- -,0.0104,0.0495,0.0576,0.0473,0.0601,0.0555,0.0397,0.0326,0.0248,0.0471,-0.0108,0.0024,0.0054,0.0286,0.0345,0.0382,0.0370,-0.0356,0.0129,0.0362,0.0379,0.0348,0.0273,0.0300,0.0297,0.0300,0.0259,0.0306,-0.0039,0.0265,0.0417
22,Income Tax expense (Gain),-9100000,- -,- -,- -,- -,- -,2200000,30000000,64400000,91200000,153100000,144700000,131600000,115000000,101800000,248195000,-34189000,6166000,21206000,96436000,131248000,128457000,180697000,16722000,65416000,199378000,210485000,203642000,182343000,184943000,191697000,190674000,287126000,187799000,88338000,172795000,325906000
23,Net Income,-10900000,-28300000,-2900000,15400000,3200000,10100000,8700000,44800000,81600000,111900000,202500000,202700000,163700000,145800000,124200000,357931000,-73826000,-610482000,25700000,207504000,253609000,388331000,407792000,-613739000,123512000,479630000,598810000,506332000,399420000,498045000,497726000,522750000,401962000,716195000,-204087000,584438000,1108197000
24,Net Income ratio,-0.0204,-0.0534,-0.0052,0.0153,0.0035,0.0104,0.0083,0.0276,0.0322,0.0241,0.0342,0.0310,0.0211,0.0175,0.0133,0.0276,-0.0073,-0.0826,0.0030,0.0195,0.0227,0.0286,0.0255,-0.0366,0.0084,0.0256,0.0280,0.0248,0.0187,0.0219,0.0214,0.0219,0.0150,0.0241,-0.0071,0.0204,0.0321
25,EPS,-0.85,-2.41,-0.62,0.44,-0.10,0.22,0.14,0.80,1.31,1.20,2.10,1.98,1.67,1.53,1.31,3.70,-0.75,-6.12,0.26,1.83,2.15,3.19,3.31,2.50,1.03,4.06,5.25,4.64,3.89,5.05,5.26,5.75,4.53,8.19,-2.44,7.49,14.21
26,EPS Diluted,-0.85,-2.41,-0.62,0.44,-0.10,0.22,0.14,0.77,1.22,1.16,2.02,1.98,1.64,1.50,1.29,3.62,-0.75,-6.12,0.25,1.75,2.09,3.16,3.28,2.48,1.03,4.01,5.17,4.56,3.85,4.98,5.20,5.68,4.48,8.10,-2.44,7.43,14.09
27,Weighted Average Shares Outstanding,12823529,12697095,13387097,22727273,22000000,23636364,29285714,50250000,61532000,93268000,96162000,102760000,98006000,95397000,95123000,96707000,98384000,99786000,100142000,113109000,117819000,121667000,123176000,120773000,119800000,117997000,114025000,109240000,102559000,98675000,94608000,90960000,88681000,87476000,83568000,77992000,77992000
28,Weighted Average Shares Outstanding Diluted,12823529,12697095,13387097,22727273,22000000,23636364,29285714,52207792,70610000,100814000,102246000,102760000,99769000,97113000,96045000,98833000,98384000,101068000,100917000,124561000,124080000,123181000,124429000,121420000,120489000,119577000,115932000,111077000,103699000,99947000,95686000,92033000,89766000,88444000,83568000,78635000,78635000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7536/000000753603000014/arw2002form10k.htm,https://www.sec.gov/Archives/edgar/data/7536/000000753604000009/arw2003form10k.htm,- -,https://www.sec.gov/Archives/edgar/data/7536/000095012306002306/y17619e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012307002670/y30462e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012308001295/y47919e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012309003515/0000950123-09-003515-index.html,https://www.sec.gov/Archives/edgar/data/7536/000114420410005031/0001144204-10-005031-index.html,https://www.sec.gov/Archives/edgar/data/7536/000114420411005380/v207746_10k.htm,https://www.sec.gov/Archives/edgar/data/7536/000152650812000005/0001526508-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000152650813000004/0001526508-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/7536/000152650814000006/arw1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/7536/000161958015000003/arw1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/7536/000165003016000009/0001650030-16-000009-index.html,https://www.sec.gov/Archives/edgar/data/7536/000166635917000005/0001666359-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000166635918000002/0001666359-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/7536/000173339119000005/0001733391-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000177547420000003/0001775474-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/7536/000173339121000003/0001733391-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7536/000185964422000008/0001859644-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,46800000,32000000,13400000,9700000,4600000,900000,1500000,3400000,60700000,105600000,93900000,136400000,112700000,158900000,44900000,55546000,556861000,694092000,612404000,305294000,580661000,337730000,447731000,451272000,1137007000,926321000,396887000,409684000,390602000,400355000,273090000,534320000,730083000,509327000,300103000,373615000,222194000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,46800000,32000000,13400000,9700000,4600000,900000,1500000,3400000,60700000,105600000,93900000,136400000,112700000,158900000,44900000,55546000,556861000,694092000,612404000,463894000,580661000,337730000,447731000,451272000,1137007000,926321000,396887000,409684000,390602000,400355000,273090000,534320000,730083000,509327000,300103000,373615000,222194000
34,Net Receivables,80800000,79700000,92800000,159800000,151500000,138100000,213100000,240700000,363100000,697000000,940000000,902900000,1245400000,1354400000,1638700000,2635595000,1458553000,1378562000,1770690000,1984122000,2316932000,2710321000,3281169000,3087290000,3136141000,4102870000,4482117000,4923898000,5769759000,6043850000,6161418000,6746687000,8171092000,8945463000,8482687000,9205343000,11123946000
35,Inventory,123500000,124200000,125300000,208700000,196400000,184800000,293400000,298700000,435000000,725400000,1039100000,1044800000,1230100000,1321300000,1444900000,2972661000,1403075000,1201271000,1327523000,1486478000,1494982000,1691536000,1679866000,1626559000,1397668000,1908953000,1963910000,2052720000,2167287000,2335257000,2466490000,2855645000,3302518000,3878678000,3477120000,3287308000,4201965000
36,Other Current Assets,15000000,9800000,28200000,4100000,4100000,3300000,4400000,6000000,10800000,30200000,31700000,36000000,42100000,26200000,29400000,100408000,52897000,59810000,59030000,93039000,124899000,156034000,180629000,180647000,168812000,147690000,181677000,328999000,258122000,253145000,285473000,180069000,214066000,274832000,266249000,286633000,345218000
37,Total Current Assets,266100000,245700000,259700000,382300000,356600000,327100000,512400000,548800000,869600000,1558200000,2104700000,2120100000,2630300000,2860800000,3157900000,5764210000,3471386000,3333735000,3769647000,4027533000,4517474000,4895621000,5589395000,5345768000,5839628000,7085834000,7024591000,7715301000,8585770000,9032607000,9186471000,10316721000,12417759000,13608300000,12526159000,13152899000,15893323000
38,PP&E,41600000,38700000,22700000,31900000,30300000,29400000,41900000,35800000,56000000,89800000,117300000,115200000,114200000,154800000,223700000,316459000,304374000,299518000,288129000,262983000,235465000,262373000,355161000,410540000,460706000,505540000,556229000,599641000,632389000,636299000,700178000,756299000,838475000,824700000,803110000,799605000,682811000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,199400000,334300000,379200000,388800000,645200000,721300000,- -,1237099000,1224283000,748368000,923256000,974285000,1053266000,1231281000,1779235000,905848000,926296000,1336351000,1473333000,- -,- -,- -,- -,2392220000,2470047000,2624690000,2061322000,2115469000,2080371000
40,Intangible Assets,3400000,3600000,2000000,49400000,52100000,51200000,82400000,97700000,- -,- -,- -,- -,- -,- -,960800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392763000,414033000,426069000,335711000,389326000,336882000,286215000,372644000,271903000,233819000,195029000
41,Intangible Assets,3400000,3600000,2000000,49400000,52100000,51200000,82400000,97700000,199400000,334300000,379200000,388800000,645200000,721300000,960800000,1237099000,1224283000,748368000,923256000,974285000,1053266000,1231281000,1779235000,905848000,926296000,1336351000,1866096000,414033000,426069000,335711000,389326000,2729102000,2756262000,2997334000,2333225000,2349288000,2275400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46788000,53010000,59455000,60579000,65603000,67229000,69124000,73376000,88401000,88347000,83693000,86942000,76358000,63695000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,40800000,49300000,61200000,66500000,58700000,70300000,108700000,98600000,66300000,56500000,99800000,86300000,148100000,103000000,140900000,286773000,358941000,285984000,351956000,244300000,238712000,280297000,336069000,409341000,482726000,613358000,321584000,1991109000,2349426000,2369115000,2672579000,315843000,361966000,270418000,651360000,675761000,620311000
45,Total Non-Current Assets,85800000,91600000,85900000,147800000,141100000,150900000,233000000,232100000,321700000,480600000,596300000,590300000,907500000,979100000,1325400000,1840331000,1887598000,1333870000,1563341000,1481568000,1527443000,1773951000,2470465000,1772517000,1922738000,2514704000,2804488000,3070386000,3475113000,3410249000,3835459000,3889645000,4045050000,4176145000,3874637000,3901012000,3642217000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,351900000,337300000,345600000,530100000,497700000,478000000,745400000,780900000,1191300000,2038800000,2701000000,2710400000,3537800000,3839900000,4483300000,7604541000,5358984000,4667605000,5332988000,5509101000,6044917000,6669572000,8059860000,7118285000,7762366000,9600538000,9829079000,10785687000,12060883000,12442856000,13021930000,14206366000,16462809000,17784445000,16400796000,17053911000,19535540000
48,Accounts Payable,- -,- -,- -,- -,72100000,57900000,103500000,121000000,190000000,411800000,561800000,594500000,767100000,785600000,805500000,1567631000,665363000,917271000,1211724000,1261971000,1628568000,1795089000,2535583000,2459922000,2763237000,3644988000,3264088000,3769268000,4503200000,5027103000,5192665000,5774151000,6756830000,7631879000,7046221000,7937889000,9617084000
49,Short-Term Debt,4000000,3000000,4300000,4600000,4700000,6900000,21800000,700000,41000000,86100000,117100000,71500000,143700000,168100000,256000000,529261000,37289000,286348000,14349000,8462000,268666000,262783000,12893000,52893000,123095000,61210000,33843000,364357000,23878000,13454000,44024000,93827000,356806000,246257000,331431000,158633000,382619000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,68600000,60300000,67700000,111900000,33700000,31100000,60200000,58000000,109500000,191600000,207800000,180100000,285700000,211400000,263200000,473984000,344333000,258774000,414551000,395955000,434644000,446238000,438898000,455547000,445914000,637045000,660996000,776586000,774868000,797464000,819463000,821244000,842933000,912292000,880507000,1034361000,1326386000
53,Total Current Liabilities,72600000,63300000,72000000,116500000,110500000,95900000,185500000,179700000,340500000,689500000,886700000,846100000,1196500000,1165100000,1324700000,2570876000,1046985000,1462393000,1640624000,1666388000,2331878000,2504110000,2987374000,2968362000,3332246000,4343243000,3958927000,4910211000,5301946000,5838021000,6056152000,6689222000,7956569000,8790428000,8258159000,9130883000,11326089000
54,Long-Term Debt,200900000,162100000,167400000,240100000,215500000,207100000,304500000,225400000,278800000,349400000,451700000,344600000,823100000,1040200000,1533400000,3027671000,2441983000,1807113000,2016627000,1465880000,1138981000,976774000,1223337000,1223985000,1276138000,1761203000,1927823000,1587478000,2226132000,2075453000,2380575000,2696334000,2933045000,3239115000,2640129000,2097940000,2244443000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4600000,5100000,5800000,25600000,24000000,24000000,29600000,24500000,43500000,- -,- -,- -,- -,- -,39500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4500000,4600000,4500000,300000,-300000,-200000,- -,- -,- -,56300000,68900000,68500000,87100000,77600000,23800000,92246000,103555000,162850000,170406000,182647000,201172000,192129000,297289000,249240000,236685000,244897000,267069000,300636000,347977000,370471000,390392000,355190000,572971000,378536000,636115000,676136000,624162000
58,Total Non-Current Liabilities,210000000,171800000,177700000,266000000,239200000,230900000,334100000,249900000,322300000,405700000,520600000,413100000,910200000,1117800000,1596700000,3119917000,2545538000,1969963000,2187033000,1648527000,1340153000,1168903000,1520626000,1473225000,1512823000,2006100000,2194892000,1888114000,2574109000,2445924000,2770967000,3051524000,3506016000,3617651000,3276244000,2774076000,2868605000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,282600000,235100000,249700000,382500000,349700000,326800000,519600000,429600000,662800000,1095200000,1407300000,1259200000,2106700000,2282900000,2921400000,5690793000,3592523000,3432356000,3827657000,3314915000,3672031000,3673013000,4508000000,4441587000,4845069000,6349343000,6153819000,6798325000,7876055000,8283945000,8827119000,9740746000,11462585000,12408079000,11534403000,11904959000,14194694000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,31300000,46200000,50600000,51200000,103000000,103000000,103000000,103817000,103856000,103878000,103878000,117675000,120286000,122626000,125039000,125048000,125287000,125337000,125382000,125424000,125424000,125424000,125424000,125424000,125424000,125424000,125424000,125424000,125424000
64,Retained Earnings,22300000,-12900000,-21200000,-3100000,-5300000,-300000,3800000,44000000,124700000,400100000,602600000,805300000,969000000,1114800000,1239000000,1596910000,1523084000,912602000,938302000,1145806000,1399415000,1787746000,2184744000,1571005000,1694517000,2174147000,2772957000,3279289000,3678709000,4176754000,4674480000,5197230000,5599192000,6335335000,6131248000,6679751000,7787948000
65,Other Comprehensive Income/Loss,-19700000,-21100000,-10600000,-15100000,-21300000,-26400000,-30000000,-32000000,-38600000,-60900000,-73900000,-98400000,-113900000,-134400000,-166000000,-210932000,-259134000,-199902000,34647000,169612000,-1417000,147759000,304035000,172528000,229019000,207914000,158550000,182632000,225552000,-64617000,-284706000,-383854000,-125005000,-299449000,-262211000,-104885000,-191657000
66,Other Total Stockholders Equity,66700000,136200000,127700000,165800000,174600000,177900000,252000000,339300000,411100000,558200000,714400000,693100000,473000000,473600000,385900000,423953000,398655000,418671000,428504000,761093000,854602000,938428000,938042000,808117000,868137000,743797000,611923000,395877000,150547000,-83591000,-372755000,-525362000,-648072000,-836320000,-1182542000,-1610971000,- -
67,Total Stockholders Equity,69300000,102200000,95900000,147600000,148000000,151200000,225800000,351300000,528500000,943600000,1293700000,1451200000,1431100000,1557000000,1561900000,1913748000,1766461000,1235249000,1505331000,2194186000,2372886000,2996559000,3551860000,2676698000,2916960000,3251195000,3668812000,3983222000,4180232000,4153970000,4142443000,4413438000,4951539000,5324990000,4811919000,5089319000,5282295000
68,Total Liabilities And Stockholders Equity,351900000,337300000,345600000,530100000,497700000,478000000,745400000,780900000,1191300000,2038800000,2701000000,2710400000,3537800000,3839900000,4483300000,7604541000,5358984000,4667605000,5332988000,5509101000,6044917000,6669572000,8059860000,7118285000,7762029000,9600538000,9822631000,10781547000,12056287000,12437915000,12969562000,14154184000,16414124000,17733069000,16346322000,16994278000,19476989000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337000,- -,6448000,4140000,4596000,4941000,52368000,52182000,48685000,51376000,54474000,59633000,58551000
70,Total Liabilities & Equity,351900000,337300000,345600000,530100000,497700000,478000000,745400000,780900000,1191300000,2038800000,2701000000,2710400000,3537800000,3839900000,4483300000,7604541000,5358984000,4667605000,5332988000,5509101000,6044917000,6669572000,8059860000,7118285000,7762366000,9600538000,9829079000,10785687000,12060883000,12442856000,13021930000,14206366000,16462809000,17784445000,16400796000,17053911000,19535540000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7536/000000753603000014/arw2002form10k.htm,https://www.sec.gov/Archives/edgar/data/7536/000000753604000009/arw2003form10k.htm,- -,https://www.sec.gov/Archives/edgar/data/7536/000095012306002306/y17619e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012307002670/y30462e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012308001295/y47919e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012309003515/0000950123-09-003515-index.html,https://www.sec.gov/Archives/edgar/data/7536/000114420410005031/0001144204-10-005031-index.html,https://www.sec.gov/Archives/edgar/data/7536/000114420411005380/v207746_10k.htm,https://www.sec.gov/Archives/edgar/data/7536/000152650812000005/0001526508-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000152650813000004/0001526508-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/7536/000152650814000006/arw1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/7536/000161958015000003/arw1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/7536/000165003016000009/0001650030-16-000009-index.html,https://www.sec.gov/Archives/edgar/data/7536/000166635917000005/0001666359-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000166635918000002/0001666359-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/7536/000173339119000005/0001733391-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000177547420000003/0001775474-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/7536/000173339121000003/0001733391-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7536/000185964422000008/0001859644-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,3200000,10100000,8700000,44800000,81600000,111900000,202500000,202700000,163700000,145800000,124200000,357931000,-73826000,-610482000,25700000,207504000,253609000,388331000,407792000,-613739000,123512000,479630000,598810000,506332000,399420000,498045000,497726000,522750000,401962000,716195000,-204087000,584438000,1108197000
74,Depreciation and Amortization,- -,- -,- -,- -,10500000,12500000,12700000,14700000,19900000,29800000,35200000,39500000,47100000,55100000,78600000,99478000,132157000,78783000,73913000,65675000,58024000,70980000,90252000,69286000,67027000,77352000,103482000,115350000,131141000,156048000,155754000,159195000,153599000,186384000,189790000,189058000,195120000
75,Deferred Income Tax,- -,- -,- -,- -,1300000,2100000,1300000,14100000,4700000,8200000,14200000,10300000,-9800000,19700000,-11300000,-30348000,-21619000,-7935000,12187000,44732000,21920000,-9433000,8661000,-88212000,19313000,17133000,-11377000,-5414000,273000,-25744000,5833000,28130000,38412000,1236000,-50288000,29713000,24749000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34546000,36923000,41930000,47274000,39825000,39122000,46238000,41070000,35288000,36117000
