,https://roic.ai/company/CERS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-2.0290,-9.9655,-9.1667,-19.1243,-10.6007,-6.4423,-5.6882,-2.0848,0.5628,-0.1142,-4.0321,-1.7284,-1.2745,-0.6654,-0.4568,-0.3919,-1.0601,-1.0036,-1.6403,-1.4887,-1.0105,-0.6822,-0.6666,-0.4614,-0.2883
17,Operating Income,-15900000,-30700000,-24900000,-40133000,-53878000,-59277000,-53835000,-26826000,-9341000,-9480000,-43166000,-30530000,-23833000,-15958000,-15924000,-17300000,-28299000,-44503000,-61075000,-61447000,-57530000,-54988000,-66226000,-58333000,-48936000
18,Operating Income ratio,-2.3043,-10.5862,-10.3750,-21.6818,-11.8805,-6.9820,-5.5701,-1.9284,-0.3833,-0.2664,-3.9085,-1.8495,-1.3254,-0.6906,-0.4819,-0.4715,-0.7136,-1.2221,-1.7846,-1.5645,-1.1209,-0.7230,-0.7062,-0.5106,-0.3068
19,Total Other Income Expenses (Gains),1200000,1200000,- -,- -,4611000,2085000,49403000,-2832000,22089000,4701000,-9450000,- -,-841000,-953000,-1058000,1625000,-14820000,5943000,1536000,-1284000,832000,-2347000,-4755000,-1240000,-5121000
20,Income Before Tax,- -,- -,- -,- -,-49267000,-57192000,-4432000,- -,- -,-4779000,- -,- -,- -,-16911000,-16982000,-15675000,-43119000,-38560000,-59539000,-62731000,-56698000,-57335000,-70981000,-59573000,-54057000
21,Income Before Tax Ratio,- -,- -,- -,- -,-10.8637,-6.7364,-0.4586,- -,- -,-0.1343,- -,- -,- -,-0.7318,-0.5139,-0.4272,-1.0873,-1.0589,-1.7397,-1.5972,-1.1047,-0.7539,-0.7569,-0.5214,-0.3389
22,Income Tax expense (Gain),- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000,218000,195000,-3671000,175000,3887000,229000,263000,284000,319000
23,Net Income,-14700000,-29600000,-22600000,-36033000,-49367000,-57192000,-58267000,-31153000,13064000,-4779000,-45304000,-29181000,-24135000,-16911000,-16982000,-15917000,-43337000,-38755000,-55868000,-62906000,-60585000,-57564000,-71244000,-59857000,-54374000
24,Net Income ratio,-2.1304,-10.2069,-9.4167,-19.4668,-10.8858,-6.7364,-6.0287,-2.2395,0.5360,-0.1343,-4.1021,-1.7678,-1.3422,-0.7318,-0.5139,-0.4338,-1.0928,-1.0642,-1.6325,-1.6017,-1.1804,-0.7569,-0.7597,-0.5239,-0.3409
25,EPS,-1.76,-3.17,-2.04,-2.75,-3.27,-3.61,-3.01,-1.41,0.58,-0.18,-1.42,-0.90,-0.69,-0.42,-0.35,-0.29,-0.64,-0.52,-0.58,-0.62,-0.56,-0.44,-0.51,-0.37,-0.32
26,EPS Diluted,-1.76,-3.17,-2.04,-2.75,-3.27,-3.61,-3.01,-1.41,0.55,-0.18,-1.42,-0.90,-0.69,-0.42,-0.35,-0.33,-0.64,-0.60,-0.61,-0.62,-0.56,-0.44,-0.51,-0.37,-0.32
27,Weighted Average Shares Outstanding,8351872,9325269,11102226,13086401,15105003,15833403,19366727,22143476,22350000,26870000,31870000,32430000,34750000,40300000,48050000,54515000,67569000,74767000,96068000,101826000,108221000,131663000,139831000,163949000,171904000
28,Weighted Average Shares Outstanding Diluted,8360656,9325269,11102226,13086401,15105003,15833403,19366727,22143476,23950000,26870000,31870000,32430000,34750000,40300000,48050000,55061000,67569000,76534000,96905000,101826000,108221000,131663000,139831000,163949000,171904000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1020214/000091205702012771/0000912057-02-012771-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000104746903010865/0001047469-03-010865-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000104746904007996/0001047469-04-007996-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000110465905011486/0001104659-05-011486-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312506039464/0001193125-06-039464-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312507039236/0001193125-07-039236-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312508040114/0001193125-08-040114-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312509053576/0001193125-09-053576-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312510052917/0001193125-10-052917-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312511068699/0001193125-11-068699-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312512096720/0001193125-12-096720-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312513103031/0001193125-13-103031-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312514089394/0001193125-14-089394-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312515094038/d838501d10k.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312516498617/0001193125-16-498617-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459017003711/0001564590-17-003711-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459018004969/0001564590-18-004969-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459019004542/0001564590-19-004542-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459020005756/0001564590-20-005756-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459021008958/0001564590-21-008958-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000095017022001641/0000950170-22-001641-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11600000,6200000,3500000,71872000,64503000,22435000,23165000,39169000,5780000,46287000,19625000,10303000,17287000,28948000,25497000,26696000,29485000,22781000,71018000,22560000,13683000,28859000,34986000,36594000,48759000
32,Short-Term Investments,- -,- -,36900000,18389000,58958000,41883000,86845000,56165000,40025000,47129000,37225000,12275000,2644000,1061000,287000,- -,28191000,28513000,36861000,49068000,47013000,88718000,50732000,97000000,80600000
33,Cash and Short-Term Investments,11600000,6200000,40400000,90261000,123461000,64318000,110010000,95334000,45805000,93416000,56850000,22578000,19931000,30009000,25784000,26696000,57676000,51294000,107879000,71628000,60696000,117577000,85718000,133594000,129359000
34,Net Receivables,4400000,- -,- -,267000,26000,2930000,5744000,4537000,5200000,5279000,7772000,7152000,3625000,4792000,6096000,4444000,6125000,5493000,5794000,6868000,12415000,8752000,16882000,21166000,25129000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1833000,7062000,11109000,7707000,5957000,6444000,10180000,13063000,14956000,10812000,12531000,14457000,13539000,19490000,23254000,26793000
36,Other Current Assets,10200000,13900000,300000,512000,1573000,- -,- -,- -,- -,2215000,2218000,1204000,1096000,997000,1415000,2676000,1290000,3142000,5954000,3078000,2330000,7034000,6018000,5417000,5821000
37,Total Current Assets,26200000,20100000,40700000,91040000,125060000,67248000,115754000,99871000,51005000,102743000,73902000,42043000,32359000,41755000,39739000,43996000,78154000,74885000,130439000,94105000,89898000,146902000,128108000,183431000,187102000
38,PP&E,1000000,700000,1000000,2994000,3012000,5547000,2553000,947000,1235000,1627000,1322000,1844000,1217000,2390000,2032000,1698000,2189000,3781000,3549000,2985000,2119000,8130000,29020000,26989000,25179000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1316000,1316000,1316000,1316000,1316000,1316000,1316000,1316000,1316000,1316000,1316000,1316000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1950000,1748000,1546000,1344000,1142000,940000,738000,536000,334000,132000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3266000,3064000,2862000,2660000,2458000,2256000,2054000,1852000,1650000,1448000,1316000,1316000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,6000000,11000000,2000000,2329000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,100000,100000,127000,188000,152000,156000,1260000,420000,447000,985000,1123000,915000,756000,532000,363000,378000,652000,3226000,4332000,4375000,6778000,6959000,9679000,23902000
45,Total Non-Current Assets,1100000,800000,1100000,3121000,3200000,5699000,2709000,2207000,7655000,13074000,4307000,5296000,2132000,6412000,5628000,4923000,5227000,6891000,9031000,9371000,8346000,16558000,37427000,37984000,50397000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27300000,20900000,41800000,94161000,128260000,72947000,118463000,102078000,58660000,115817000,78209000,47339000,34491000,48167000,45367000,48919000,83381000,81776000,139470000,103476000,98244000,163460000,165535000,221415000,237499000
48,Accounts Payable,1300000,14100000,2000000,6070000,8249000,10560000,4643000,1476000,2092000,6665000,10107000,7963000,4423000,3230000,4680000,7186000,5674000,9882000,5217000,8587000,10974000,18595000,22185000,24213000,35608000
49,Short-Term Debt,100000,- -,- -,32000,31000,35000,55853000,34500000,4893000,84000,30000,- -,9000,1757000,2519000,4828000,3366000,- -,2989000,6934000,- -,7857000,6630000,10431000,16602000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,718000,614000,13217000,11135000,586000,1504000,445000,345000,248000,111000,77000,181000,376000,554000,149000,445000,498000,570000,577000,673000
52,Other Current Liabilities,3400000,5500000,6700000,6054000,8174000,5449000,4825000,26896000,5197000,7479000,6679000,4490000,8136000,14468000,13804000,13522000,30203000,18929000,13135000,11218000,11712000,25728000,20951000,24753000,25673000
53,Total Current Liabilities,4800000,19600000,8700000,12156000,16454000,16762000,65935000,76089000,23317000,14814000,18320000,12898000,12913000,19703000,21114000,25613000,39424000,29187000,21895000,26888000,23131000,52678000,50336000,59974000,78556000
54,Long-Term Debt,- -,- -,100000,84000,51000,- -,- -,4500000,- -,- -,- -,- -,- -,3131000,4697000,2896000,- -,9872000,16883000,12441000,29798000,22013000,39414000,56461000,70984000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,89000,115000,122000,150000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5000000,- -,- -,5000000,16000,- -,- -,68000,32000,2000,163000,130000,1601000,1243000,1241000,1073000,1081000,5805000,6210000,6375000,4250000,18733000,1174000,2342000
58,Total Non-Current Liabilities,- -,5000000,100000,84000,5051000,16000,- -,4500000,68000,32000,2000,163000,130000,4732000,5940000,4199000,1162000,11068000,22810000,18801000,36173000,26263000,58147000,57635000,73326000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,16000,- -,- -,68000,32000,2000,- -,24000,16000,- -,- -,- -,- -,- -,- -,- -,- -,20019000,18788000,18165000
61,Total Liabilities,4800000,19600000,8800000,12240000,21505000,16778000,65935000,80589000,23385000,14846000,18322000,13061000,13043000,24435000,27054000,29812000,40586000,40255000,44705000,45689000,59304000,78941000,108483000,117609000,151882000
62,Preferred Stock,- -,- -,- -,- -,- -,9496000,9496000,9496000,9496000,9496000,9496000,9496000,9496000,9496000,9496000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,14000,16000,16000,22000,22000,23000,32000,32000,33000,39000,47000,51000,56000,72000,80000,99000,103000,115000,136000,144000,168000,174000
64,Retained Earnings,-34900000,-64400000,-87500000,-123728000,-173095000,-230287000,-288554000,-319707000,-306643000,-311422000,-356726000,-385907000,-410042000,-426953000,-443935000,-459852000,-503189000,-541944000,-597812000,-660718000,-721303000,-778867000,-850111000,-909968000,-964342000
65,Other Comprehensive Income/Loss,-1700000,-2300000,-2900000,-3526000,-4604000,-7101000,-10325000,-324000,-295000,-22000,75000,212000,58000,108000,- -,-8322000,7000,-31000,7289000,103000,-97000,-281000,114000,674000,-149000
66,Other Total Stockholders Equity,59100000,68000000,123400000,209161000,284438000,284045000,341889000,332002000,332694000,402887000,407010000,410444000,421897000,441034000,452701000,487225000,545905000,583416000,685189000,718299000,760225000,863531000,906905000,1012932000,- -
67,Total Stockholders Equity,22500000,1300000,33000000,81921000,106755000,56169000,52528000,21489000,35275000,100971000,59887000,34278000,21448000,23732000,18313000,19107000,42795000,41521000,94765000,57787000,38940000,84519000,57052000,103806000,84619000
68,Total Liabilities And Stockholders Equity,27300000,20900000,41800000,94161000,128260000,72947000,118463000,102078000,58660000,115817000,78209000,47339000,34491000,48167000,45367000,48919000,83381000,81776000,139470000,103476000,98244000,163460000,165535000,221415000,236501000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,998000
70,Total Liabilities & Equity,27300000,20900000,41800000,94161000,128260000,72947000,118463000,102078000,58660000,115817000,78209000,47339000,34491000,48167000,45367000,48919000,83381000,81776000,139470000,103476000,98244000,163460000,165535000,221415000,237499000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1020214/000091205702012771/0000912057-02-012771-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000104746903010865/0001047469-03-010865-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000104746904007996/0001047469-04-007996-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000110465905011486/0001104659-05-011486-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312506039464/0001193125-06-039464-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312507039236/0001193125-07-039236-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312508040114/0001193125-08-040114-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312509053576/0001193125-09-053576-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312510052917/0001193125-10-052917-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312511068699/0001193125-11-068699-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312512096720/0001193125-12-096720-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312513103031/0001193125-13-103031-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312514089394/0001193125-14-089394-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312515094038/d838501d10k.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312516498617/0001193125-16-498617-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459017003711/0001564590-17-003711-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459018004969/0001564590-18-004969-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459019004542/0001564590-19-004542-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459020005756/0001564590-20-005756-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459021008958/0001564590-21-008958-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000095017022001641/0000950170-22-001641-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-14700000,-29600000,-22600000,-36033000,-49367000,-57192000,-58267000,-31153000,13064000,-4779000,-45304000,-29181000,-24135000,-16911000,-16982000,-15917000,-43337000,-38755000,-55868000,-62906000,-60585000,-57564000,-71244000,-59857000,-54374000
74,Depreciation and Amortization,700000,700000,600000,634000,1193000,2497000,3291000,2152000,652000,716000,774000,651000,915000,845000,922000,744000,557000,1415000,1699000,1817000,1811000,1445000,2403000,3109000,3148000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,27000,26000,-3818000,28000,3706000,4000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2145000,2046000,1828000,1850000,2541000,3268000,5153000,6730000,8065000,9355000,10394000,13312000,18029000,23571000
77,Change in Working Capital,-2800000,-20900000,31500000,46884000,29722000,-58120000,-667000,-26037000,3906000,60241000,-32347000,-26437000,-9699000,2606000,-3427000,-242000,20347000,6968000,62846000,-41327000,-450000,27457000,-16452000,45685000,-9397000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660000,696000,-1167000,-1304000,1652000,-1681000,632000,-301000,-1074000,-5547000,3663000,-8130000,-4284000,-4215000
79,Inventory,- -,- -,- -,- -,-1121000,- -,- -,- -,- -,- -,-5229000,-4047000,3367000,2020000,-487000,-3740000,-1813000,3033000,3991000,-1781000,-2092000,806000,-6043000,-4030000,-19610000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2145000,102000,-1193000,1450000,2506000,-1512000,-973000,-3866000,3261000,2487000,5683000,5017000,2236000,12204000
81,Other Working Capital,21400000,500000,32000000,78884000,108606000,50486000,49819000,23782000,27688000,87929000,55582000,29145000,19446000,22052000,18625000,18383000,38730000,45698000,108544000,67217000,66767000,94224000,77772000,123457000,96000
82,Other Non-Cash Items,200000,40100000,-42800000,-43517000,-25548000,57162000,-2972000,42310000,-32569000,-70863000,39475000,18277000,16209000,-2479000,2005000,-1105000,-7659000,-14618000,-62718000,40794000,-6072000,-12982000,6143000,-47709000,3130000
83,Cash Provided by Operating Activities,-16600000,-9700000,-33300000,-32032000,-44000000,-55653000,-58615000,-12728000,-14947000,-14685000,-37402000,-34545000,-14664000,-14111000,-15632000,-13917000,-26797000,-39811000,-51129000,-53529000,-52235000,-31246000,-65838000,-40743000,-33922000
84,CAPEX,-400000,-300000,-700000,-2621000,-1236000,-5032000,-297000,-594000,-856000,-1108000,-700000,-1194000,-191000,-1709000,-158000,-81000,-663000,-2106000,-722000,-563000,-353000,-1144000,-8935000,-1615000,-910000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-32000000,-29300000,-71900000,-18657000,-78892000,-100157000,-191695000,-76835000,-5000000,-42310000,-44481000,-2285000,-499000,- -,- -,- -,-30010000,-25981000,-90407000,-82811000,-68792000,-80701000,-43907000,-98793000,-52066000
87,Sales/Maturities of Investments,22000000,25600000,48600000,37150000,11000000,53033000,83089000,107191000,21169000,35478000,54483000,27372000,10130000,1633000,666000,287000,1631000,24915000,92645000,63450000,69566000,37997000,81027000,50850000,65664000
88,Other Investing Activites,- -,- -,100000,-1000,27348000,64199000,63654000,-1237000,51000,- -,- -,- -,- -,-11000,55000,-1000,-15000,-175000,-104000,- -,- -,- -,- -,-1615000,-910000
89,Cash Used for Investing Activites,-10400000,-4000000,-23900000,15871000,-41780000,12043000,-45249000,28525000,15364000,-7940000,9302000,23893000,9440000,-87000,563000,205000,-29057000,-3347000,1412000,-19924000,421000,-43848000,28185000,-49558000,12688000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000,-5000,-34000,-5008000,-1457000,-7568000,-3474000,-113000,-622000,-19625000,-133000,-31104000,- -,- -
91,Common Stock Issued,32600000,8300000,54700000,85166000,78445000,1573000,54626000,226000,693000,67668000,1522000,1290000,78000,19661000,9416000,14226000,61425000,18488000,75300000,22121000,30197000,85036000,26931000,76534000,2743000
92,Common Stock Repurchased,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-639000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-100000,-31000,-33000,-31000,49968000,-19000,-34500000,-4536000,-84000,72000,12135000,6232000,7210000,2142000,4786000,21440000,22767000,3068000,32428000,7848000,47660000,15249000,31551000
95,Cash Used/Provided by Financing Activities,32600000,8300000,54600000,84495000,78412000,1542000,104594000,207000,-33807000,63132000,1438000,1330000,12208000,25859000,11618000,14911000,58643000,36454000,97954000,24567000,43000000,92751000,43487000,91783000,34294000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-919000
97,Net Change In Cash,- -,- -,-2700000,68335000,-7368000,-42068000,730000,16004000,-33389000,40507000,-26662000,-9322000,6984000,11661000,-3451000,1199000,2789000,-6704000,48237000,-48886000,-8814000,17657000,5834000,1482000,12141000
98,Cash at the End of Period,- -,- -,3500000,71872000,64503000,22435000,23165000,39169000,5780000,46287000,19625000,10303000,17287000,28948000,25497000,26696000,29485000,22781000,71018000,22744000,13930000,31587000,37421000,38903000,51044000
99,Cash at the Beginning of Period,6000000,11600000,6200000,3537000,71871000,64503000,22435000,23165000,39169000,5780000,46287000,19625000,10303000,17287000,28948000,25497000,26696000,29485000,22781000,71630000,22744000,13930000,31587000,37421000,38903000
100,Free Cash Flow,-17000000,-10000000,-34000000,-34653000,-45236000,-60685000,-58912000,-13322000,-15803000,-15793000,-38102000,-35739000,-14855000,-15820000,-15790000,-13998000,-27460000,-41917000,-51851000,-54092000,-52588000,-32390000,-74773000,-42358000,-34832000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1020214/000091205702012771/0000912057-02-012771-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000104746903010865/0001047469-03-010865-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000104746904007996/0001047469-04-007996-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000110465905011486/0001104659-05-011486-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312506039464/0001193125-06-039464-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312507039236/0001193125-07-039236-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312508040114/0001193125-08-040114-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312509053576/0001193125-09-053576-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312510052917/0001193125-10-052917-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312511068699/0001193125-11-068699-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312512096720/0001193125-12-096720-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312513103031/0001193125-13-103031-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000119312514089394/0001193125-14-089394-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312515094038/d838501d10k.htm,https://www.sec.gov/Archives/edgar/data/1020214/000119312516498617/0001193125-16-498617-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459017003711/0001564590-17-003711-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459018004969/0001564590-18-004969-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459019004542/0001564590-19-004542-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459020005756/0001564590-20-005756-index.html,https://www.sec.gov/Archives/edgar/data/1020214/000156459021008958/0001564590-21-008958-index.htm,https://www.sec.gov/Archives/edgar/data/1020214/000095017022001641/0000950170-22-001641-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
