,https://roic.ai/company/KODK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-594000000,-646000000,-127000000,-702000000,-666000000,-1587000000,-2364000000,-734000000,-1155000000,-660000000,1000000,-648000000,-1550000000,176000000,119000000,-82000000,-237000000,-274000000,-199000000,- -,-5000000,- -,51000000,-194000000,-793000000,-339000000,-167000000,-987000000,-50000000,-96000000,-89000000,-89000000,-8000000,105000000,42000000,-302000000,4000000
20,Income Before Tax,530000000,598000000,1984000000,2236000000,925000000,1257000000,11000000,1601000000,856000000,1002000000,1926000000,1556000000,53000000,2106000000,2109000000,2132000000,108000000,946000000,172000000,-87000000,-599000000,-202000000,-256000000,-230000000,-821000000,-675000000,-767000000,-1560000000,-48000000,-112000000,-35000000,51000000,-26000000,-13000000,-60000000,-376000000,28000000
21,Income Before Tax Ratio,0.0499,0.0518,0.1491,0.1313,0.0503,0.0665,0.0006,0.0793,0.0523,0.0739,0.1286,0.0974,0.0036,0.1571,0.1497,0.1524,0.0082,0.0737,0.0129,-0.0064,-0.0420,-0.0152,-0.0249,-0.0223,-0.0872,-0.0939,-0.1274,-0.3792,-0.0596,-0.0529,-0.0194,0.0310,-0.0188,-0.0098,-0.0483,-0.3654,0.0243
22,Income Tax expense (Gain),198000000,224000000,806000000,839000000,396000000,554000000,-6000000,607000000,381000000,448000000,674000000,545000000,48000000,716000000,717000000,725000000,32000000,153000000,-66000000,-175000000,689000000,254000000,-51000000,-51000000,- -,114000000,9000000,-257000000,8000000,10000000,32000000,33000000,-127000000,-4000000,31000000,168000000,4000000
23,Net Income,332000000,374000000,1178000000,1397000000,529000000,703000000,17000000,1146000000,-1515000000,557000000,1252000000,1288000000,5000000,1390000000,1392000000,1407000000,76000000,770000000,265000000,88000000,-1288000000,-456000000,-205000000,-179000000,-821000000,-687000000,-764000000,-1379000000,-56000000,-123000000,-80000000,15000000,95000000,-16000000,116000000,-541000000,24000000
24,Net Income ratio,0.0312,0.0324,0.0885,0.0820,0.0288,0.0372,0.0009,0.0568,-0.0926,0.0411,0.0836,0.0807,0.0003,0.1037,0.0988,0.1005,0.0057,0.0600,0.0199,0.0065,-0.0903,-0.0344,-0.0199,-0.0174,-0.0872,-0.0956,-0.1269,-0.3352,-0.0696,-0.0581,-0.0444,0.0091,0.0685,-0.0121,0.0934,-0.5258,0.0209
25,EPS,0.97,1.11,3.52,4.31,1.63,2.17,0.05,3.53,-4.64,1.66,3.67,3.82,0.01,4.30,4.38,4.62,0.26,2.64,0.92,1.94,-4.73,-2.09,2.35,-1.57,-0.78,-0.26,-2.84,-5.07,-0.21,-2.95,-1.90,0.35,1.76,-0.84,2.23,-9.77,0.28
26,EPS Diluted,0.97,1.11,3.52,4.31,1.63,2.17,0.05,3.41,-4.64,1.63,3.67,3.82,0.01,4.24,4.33,4.59,0.26,2.64,0.92,1.94,-4.73,-2.09,2.35,-1.57,-0.78,-0.26,-2.84,-5.07,-0.21,-2.95,-1.90,0.35,1.76,-0.84,2.23,-9.77,0.27
27,Weighted Average Shares Outstanding,342268041,336936937,334659091,324129930,324539877,323963134,340000000,324645892,326508621,335700000,341500000,337400000,327400000,323300000,318000000,304900000,290600000,291500000,288043478,286597938,289852008,287559809,287659574,281800000,268000000,268500000,269100000,271800000,271800000,41700000,42077595,42400000,42500000,42700000,43000000,57400000,78400000
28,Weighted Average Shares Outstanding Diluted,342268041,336936937,334659091,324129930,324539877,323963134,340000000,336070381,326508621,340200000,341500000,339000000,331900000,327800000,321500000,306600000,291000000,291700000,288043478,286597938,289852008,287559809,287659574,281800000,268000000,268500000,269100000,271800000,271800000,41700000,42077595,42400000,42700000,42700000,43000000,57400000,80500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31235/000120677405000535/0001206774-05-000535-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677406000357/0001206774-06-000357-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677407000543/0001206774-07-000543-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677408000374/0001206774-08-000374-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123509000028/0000031235-09-000028-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123510000038/0000031235-10-000038-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123511000025/0000031235-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123512000036/0000031235-12-000036-index.htm,- -,https://www.sec.gov/Archives/edgar/data/31235/000119312514106388/0001193125-14-106388-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123515000002/0000031235-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000119312516505191/0001193125-16-505191-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459017003570/0001564590-17-003570-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459018005857/0001564590-18-005857-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459019010423/0001564590-19-010423-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459020011408/0001564590-20-011408-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459021013581/0001564590-21-013581-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459022010405/0001564590-22-010405-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,813000000,613000000,954000000,1075000000,1095000000,735000000,783000000,374000000,1635000000,2020000000,1764000000,1777000000,728000000,457000000,373000000,246000000,448000000,569000000,1250000000,1255000000,1665000000,1469000000,2947000000,2145000000,2024000000,1624000000,861000000,1135000000,844000000,712000000,546000000,434000000,344000000,233000000,233000000,196000000,362000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,47000000,19000000,24000000,43000000,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,813000000,613000000,954000000,1075000000,1095000000,735000000,783000000,374000000,1635000000,2068000000,1811000000,1796000000,752000000,500000000,393000000,246000000,448000000,569000000,1250000000,1255000000,1665000000,1469000000,2947000000,2145000000,2024000000,1624000000,861000000,1135000000,844000000,712000000,546000000,434000000,344000000,233000000,233000000,196000000,362000000
34,Net Receivables,2346000000,2563000000,3086000000,4071000000,4245000000,4333000000,4348000000,3984000000,3463000000,3064000000,3145000000,2738000000,2271000000,2527000000,2537000000,2653000000,2337000000,2234000000,2327000000,2544000000,2760000000,2072000000,1939000000,1716000000,1395000000,1196000000,1103000000,790000000,571000000,414000000,346000000,311000000,282000000,232000000,208000000,177000000,175000000
35,Inventory,1940000000,2072000000,2178000000,3025000000,2507000000,2425000000,2311000000,2379000000,1913000000,1480000000,1660000000,1575000000,1252000000,1424000000,1519000000,1718000000,1071000000,1062000000,1078000000,1158000000,1455000000,1001000000,943000000,948000000,679000000,746000000,607000000,543000000,358000000,349000000,263000000,271000000,276000000,231000000,215000000,206000000,219000000
36,Other Current Assets,578000000,563000000,477000000,513000000,744000000,1115000000,816000000,668000000,1010000000,1071000000,693000000,856000000,1200000000,1148000000,995000000,874000000,761000000,669000000,797000000,691000000,216000000,1015000000,224000000,195000000,205000000,220000000,156000000,110000000,198000000,75000000,123000000,23000000,56000000,214000000,50000000,48000000,51000000
37,Total Current Assets,5677000000,5811000000,6695000000,8684000000,8591000000,8608000000,8258000000,7405000000,8021000000,7683000000,7309000000,6965000000,5475000000,5599000000,5444000000,5491000000,4617000000,4534000000,5452000000,5648000000,6096000000,5557000000,6053000000,5004000000,4303000000,3786000000,2727000000,2578000000,1971000000,1550000000,1278000000,1039000000,958000000,910000000,706000000,627000000,807000000
38,PP&E,5977000000,6276000000,6663000000,8013000000,8628000000,8978000000,9602000000,9835000000,6366000000,5292000000,5377000000,5422000000,5509000000,5914000000,5947000000,5919000000,5659000000,5420000000,5051000000,4512000000,3778000000,2602000000,1811000000,1551000000,1254000000,1037000000,895000000,693000000,684000000,524000000,394000000,342000000,314000000,216000000,230000000,200000000,187000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,616000000,536000000,581000000,548000000,1232000000,982000000,947000000,948000000,981000000,1349000000,1446000000,2141000000,1584000000,1657000000,896000000,907000000,294000000,277000000,278000000,88000000,96000000,88000000,88000000,32000000,12000000,12000000,12000000,12000000
40,Intangible Assets,- -,- -,- -,4610000000,4579000000,4448000000,4349000000,4273000000,4186000000,- -,- -,- -,- -,- -,- -,- -,- -,118000000,294000000,478000000,806000000,510000000,362000000,247000000,184000000,124000000,87000000,61000000,219000000,182000000,119000000,121000000,86000000,58000000,47000000,39000000,34000000
41,Intangible Assets,- -,- -,- -,4610000000,4579000000,4448000000,4349000000,4273000000,4186000000,616000000,536000000,581000000,548000000,1232000000,982000000,947000000,948000000,1099000000,1643000000,1924000000,2947000000,2094000000,2019000000,1143000000,1091000000,418000000,364000000,339000000,307000000,278000000,207000000,209000000,118000000,70000000,59000000,51000000,46000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,97000000,102000000,64000000,69000000,59000000,61000000,81000000,52000000,89000000,67000000,33000000,- -,- -,- -,- -,- -,- -,470000000,- -,- -,- -,- -,16000000,14000000,13000000,- -,- -
44,Other Non-Current Assets,488000000,815000000,1093000000,1657000000,1854000000,2091000000,1961000000,1625000000,1752000000,1282000000,1158000000,1368000000,1549000000,1919000000,1938000000,1794000000,2057000000,2389000000,2611000000,2586000000,2382000000,4067000000,3776000000,1481000000,1043000000,985000000,692000000,206000000,238000000,204000000,259000000,186000000,301000000,300000000,407000000,370000000,1131000000
45,Total Non-Current Assets,6465000000,7091000000,7756000000,14280000000,15061000000,15517000000,15912000000,15733000000,12304000000,7285000000,7168000000,7473000000,7670000000,9134000000,8926000000,8721000000,8745000000,8960000000,9394000000,9089000000,9140000000,8763000000,7606000000,4175000000,3388000000,2440000000,1951000000,1708000000,1229000000,1006000000,860000000,737000000,749000000,600000000,709000000,621000000,1364000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12142000000,12902000000,14451000000,22964000000,23652000000,24125000000,24170000000,23138000000,20325000000,14968000000,14477000000,14438000000,13145000000,14733000000,14370000000,14212000000,13362000000,13494000000,14846000000,14737000000,15236000000,14320000000,13659000000,9179000000,7691000000,6226000000,4678000000,4286000000,3200000000,2556000000,2138000000,1776000000,1707000000,1510000000,1415000000,1248000000,2171000000
48,Accounts Payable,- -,- -,- -,- -,5558000000,942000000,935000000,902000000,737000000,- -,799000000,966000000,943000000,947000000,940000000,817000000,674000000,720000000,832000000,868000000,996000000,906000000,1233000000,1288000000,919000000,959000000,706000000,432000000,281000000,212000000,186000000,200000000,198000000,130000000,153000000,118000000,153000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,371000000,586000000,541000000,611000000,1518000000,1163000000,2206000000,1534000000,1442000000,946000000,469000000,819000000,64000000,308000000,51000000,62000000,50000000,152000000,699000000,4000000,5000000,5000000,5000000,4000000,396000000,14000000,14000000,1000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,343000000,40000000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,556000000,100000000,108000000,120000000,- -,- -,120000000,169000000,125000000,48000000,48000000,39000000,28000000,30000000,34000000,43000000,46000000,- -
52,Other Current Liabilities,3325000000,3791000000,4075000000,5850000000,1015000000,6221000000,5964000000,5096000000,4173000000,5364000000,3258000000,3910000000,3623000000,3713000000,3666000000,3192000000,3146000000,3340000000,3477000000,3097000000,3574000000,3476000000,2785000000,2099000000,1915000000,1691000000,1123000000,848000000,552000000,334000000,229000000,184000000,187000000,218000000,158000000,118000000,155000000
53,Total Current Liabilities,3325000000,3791000000,4075000000,5850000000,6573000000,7163000000,6899000000,5998000000,4910000000,5735000000,4643000000,5417000000,5177000000,6178000000,5769000000,6215000000,5354000000,5502000000,5255000000,4990000000,5489000000,4554000000,4446000000,3438000000,2896000000,2820000000,2150000000,2104000000,885000000,599000000,459000000,417000000,419000000,778000000,368000000,296000000,309000000
54,Long-Term Debt,988000000,911000000,2212000000,7779000000,6931000000,6989000000,7597000000,7202000000,6853000000,660000000,665000000,559000000,585000000,504000000,936000000,1166000000,1666000000,1164000000,2302000000,1852000000,2764000000,2714000000,1289000000,1252000000,1129000000,1195000000,1363000000,740000000,674000000,672000000,673000000,405000000,399000000,5000000,109000000,14000000,253000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,18000000,17000000,- -
56,Deferred Tax Liabilities,1048000000,1209000000,1408000000,1565000000,1690000000,1830000000,1490000000,1069000000,79000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000,58000000,36000000,48000000,31000000,22000000,16000000,16000000,14000000,13000000,31000000,- -
57,Other Non-Current Liabilities,219000000,603000000,743000000,990000000,1816000000,1406000000,2080000000,2312000000,5127000000,4556000000,4048000000,3728000000,4222000000,4063000000,3753000000,3403000000,3448000000,4051000000,4044000000,4075000000,4701000000,5664000000,4895000000,3504000000,3701000000,3168000000,3459000000,5083000000,965000000,977000000,906000000,1011000000,816000000,710000000,808000000,622000000,632000000
58,Total Non-Current Liabilities,2255000000,2723000000,4363000000,10334000000,10437000000,10225000000,11167000000,10583000000,12059000000,5216000000,4713000000,4287000000,4807000000,4567000000,4689000000,4569000000,5114000000,5215000000,6346000000,5927000000,7465000000,8378000000,6184000000,4756000000,4830000000,4483000000,4880000000,5859000000,1687000000,1680000000,1601000000,1432000000,1231000000,735000000,948000000,684000000,885000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,7000000,5000000,65000000,65000000,- -
61,Total Liabilities,5580000000,6514000000,8438000000,16184000000,17010000000,17388000000,18066000000,16581000000,16969000000,10951000000,9356000000,9704000000,9984000000,10745000000,10458000000,10784000000,10468000000,10717000000,11601000000,10917000000,12954000000,12932000000,10630000000,8194000000,7726000000,7303000000,7030000000,7963000000,2572000000,2279000000,2060000000,1849000000,1650000000,1513000000,1316000000,980000000,1194000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000000,164000000,173000000,182000000,191000000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,966000000,974000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,978000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,6710000000,6533000000,7139000000,7922000000,7802000000,7859000000,7225000000,7721000000,4469000000,4485000000,5184000000,5931000000,5343000000,6163000000,6995000000,7869000000,7431000000,7611000000,7515000000,7922000000,6717000000,5967000000,6474000000,5903000000,5676000000,4969000000,4071000000,2600000000,-81000000,-204000000,-283000000,-268000000,-174000000,-200000000,-79000000,-620000000,-596000000
65,Other Comprehensive Income/Loss,-6070000000,-6643000000,-7126000000,-7654000000,-8146000000,-8670000000,-9432000000,-10005000000,-6945000000,16000000,186000000,150000000,-404000000,-222000000,-290000000,-964000000,-1194000000,-771000000,-239000000,-95000000,-466000000,-635000000,452000000,-749000000,-1760000000,-2135000000,-2666000000,-2616000000,99000000,-136000000,-267000000,-438000000,-391000000,-411000000,-417000000,-446000000,221000000
66,Other Total Stockholders Equity,5922000000,6498000000,6000000000,6512000000,6986000000,7548000000,8311000000,8841000000,5832000000,- -,- -,- -,- -,- -,- -,- -,- -,-5041000000,-4990000000,-4994000000,-5262000000,-4922000000,-4875000000,-5171000000,-4929000000,-4889000000,-4735000000,- -,630000000,639000000,653000000,633000000,622000000,608000000,595000000,1143000000,1156000000
67,Total Stockholders Equity,6562000000,6388000000,6013000000,6780000000,6642000000,6737000000,6104000000,6557000000,3356000000,4017000000,5121000000,4734000000,3161000000,3988000000,3912000000,3428000000,2894000000,2777000000,3264000000,3811000000,1967000000,1388000000,3029000000,961000000,-35000000,-1077000000,-2352000000,-3679000000,628000000,277000000,78000000,83000000,221000000,170000000,281000000,268000000,781000000
68,Total Liabilities And Stockholders Equity,12142000000,12902000000,14451000000,22964000000,23652000000,24125000000,24170000000,23138000000,20325000000,14968000000,14477000000,14438000000,13145000000,14733000000,14370000000,14212000000,13362000000,13494000000,14865000000,14728000000,14921000000,14320000000,13659000000,9155000000,7691000000,6226000000,4678000000,4284000000,3200000000,2556000000,2138000000,1932000000,1871000000,1683000000,1597000000,1248000000,1975000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,9000000,315000000,- -,- -,24000000,- -,- -,- -,2000000,- -,- -,- -,-156000000,-164000000,-173000000,-182000000,- -,196000000
70,Total Liabilities & Equity,12142000000,12902000000,14451000000,22964000000,23652000000,24125000000,24170000000,23138000000,20325000000,14968000000,14477000000,14438000000,13145000000,14733000000,14370000000,14212000000,13362000000,13494000000,14846000000,14737000000,15236000000,14320000000,13659000000,9179000000,7691000000,6226000000,4678000000,4286000000,3200000000,2556000000,2138000000,1776000000,1707000000,1510000000,1415000000,1248000000,2171000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31235/000120677405000535/0001206774-05-000535-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677406000357/0001206774-06-000357-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677407000543/0001206774-07-000543-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677408000374/0001206774-08-000374-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123509000028/0000031235-09-000028-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123510000038/0000031235-10-000038-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123511000025/0000031235-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123512000036/0000031235-12-000036-index.htm,- -,https://www.sec.gov/Archives/edgar/data/31235/000119312514106388/0001193125-14-106388-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123515000002/0000031235-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000119312516505191/0001193125-16-505191-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459017003570/0001564590-17-003570-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459018005857/0001564590-18-005857-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459019010423/0001564590-19-010423-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459020011408/0001564590-20-011408-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459021013581/0001564590-21-013581-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459022010405/0001564590-22-010405-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,332000000,374000000,- -,1397000000,529000000,703000000,17000000,1146000000,-1515000000,557000000,1252000000,1288000000,5000000,1390000000,1392000000,1407000000,76000000,770000000,265000000,88000000,-1288000000,-456000000,-205000000,-179000000,-821000000,-687000000,-764000000,-1379000000,-56000000,-123000000,-80000000,15000000,95000000,-16000000,116000000,-541000000,24000000
