,https://roic.ai/company/RAD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,1.90,2.40,4.30,2.85,3.10,3.25,7.10,7.50,0.90,16.70,19.00,12.50,25.20,11.00,-89.00,-113.00,-36.40,-5.60,2.20,10.00,47.20,-0.20,-30.80,-69.80,-11.80,-12.80,-8.60,2.40,4.60,43.40,3.20,0.08,18.00,-8.00,-8.50,-1.69
26,EPS Diluted,1.90,2.40,4.30,2.85,3.05,3.25,7.00,7.30,0.90,16.70,19.00,12.50,24.40,10.80,-89.00,-113.00,-36.40,-5.60,2.20,9.40,37.80,-0.20,-30.80,-69.80,-11.80,-12.80,-8.60,2.40,4.60,41.60,3.20,0.08,18.00,-8.00,-8.50,-1.69
27,Weighted Average Shares Outstanding,8252400,8257800,8270200,8509600,8298600,8305100,8781400,8781400,10333333,8461078,8363158,9224000,12555556,13009091,12958011,14291575,23494808,25763750,26915000,26725200,26150381,23145000,36196150,42040600,44042150,44147350,44290950,44478100,46109950,48555100,51218850,52221350,52481400,52853950,53228000,53653000
28,Weighted Average Shares Outstanding Diluted,8252400,8257800,8270200,8509600,8298600,8305100,8781400,8781400,10333333,8461078,8363158,9224000,12967213,13250000,12958011,16600400,23494808,25763750,26915000,28431064,32653386,23145000,36196150,42040600,44042150,44147350,44290950,45362950,48954600,50893050,52118100,53041300,52481400,52853950,53228000,53653000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000089322094000273/0000893220-94-000273-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000112528201500559/0001125282-01-500559-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000095013604001277/0000950136-04-001277-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000095013605002416/0000950136-05-002416-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000110465906029024/0001104659-06-029024-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000110465907032827/0001104659-07-032827-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746908005477/0001047469-08-005477-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746909004278/0001047469-09-004278-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746910004332/0001047469-10-004332-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746911004075/0001047469-11-004075-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746912004644/0001047469-12-004644-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746913004721/0001047469-13-004721-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746914004077/0001047469-14-004077-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746915003838/0001047469-15-003838-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746916012513/0001047469-16-012513-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746917003159/0001047469-17-003159-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746918003207/0001047469-18-003207-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746919002567/0001047469-19-002567-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000155837020004365/0001558370-20-004365-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000155837021004887/0001558370-21-004887-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13900000,23700000,19800000,15300000,14500000,25900000,27400000,5400000,17000000,7000000,3000000,7000000,91000000,83000000,185000000,92000000,344000000,365000000,335000000,163000000,76000000,106000000,156000000,152035000,104000000,91000000,162000000,129000000,146000000,115899000,124471000,245410000,447334000,144353000,218180000,160902000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13900000,23700000,19800000,15300000,14500000,25900000,27400000,5400000,17000000,7000000,3000000,7000000,91000000,83000000,185000000,583000000,344000000,365000000,335000000,163000000,76000000,106000000,156000000,152035000,104000000,91000000,162000000,129000000,146000000,115899000,124471000,245410000,447334000,144353000,218180000,160902000
34,Net Receivables,77900000,82200000,116900000,151700000,175100000,192000000,185600000,196100000,186000000,240000000,247000000,371000000,165400000,750000000,904000000,504000000,582000000,576000000,670000000,483000000,355000000,374000000,666000000,526742000,956000000,966000000,1013000000,929000000,949000000,980904000,1601008000,1771126000,1869100000,1788712000,1286785000,1462441000
35,Inventory,340700000,433400000,514900000,596500000,643600000,707000000,771300000,863000000,844000000,1070000000,1171000000,2337000000,3061200000,2893000000,2644000000,2445000000,2262000000,2195000000,2223000000,2310000000,2341000000,2336000000,3937000000,3509494000,3239000000,3158000000,3138000000,3155000000,2994000000,2882980000,2697104000,1789541000,1799539000,1871941000,1921604000,1864890000
36,Other Current Assets,16000000,10400000,15000000,12900000,16000000,19700000,28800000,27700000,78000000,56000000,44000000,56000000,60700000,76000000,72000000,85000000,102000000,108000000,150000000,51000000,113000000,137000000,163000000,176661000,210000000,196000000,192000000,196000000,196000000,241975000,128144000,1259211000,619318000,296713000,274072000,106941000
37,Total Current Assets,448500000,549700000,666600000,776400000,849200000,944600000,1013100000,1092200000,1125000000,1373000000,1465000000,2771000000,3378300000,3802000000,3805000000,3617000000,3290000000,3244000000,3378000000,3007000000,2885000000,2953000000,4922000000,4364932000,4509000000,4411000000,4505000000,4409000000,4285000000,4221758000,4550727000,5065288000,4735291000,4101719000,3700641000,3595174000
38,PP&E,250200000,314900000,401600000,463100000,510600000,534800000,545600000,599400000,639000000,778000000,980000000,1896000000,2171100000,2868000000,3630000000,3041000000,2096000000,1869000000,1883000000,1734000000,1717000000,1743000000,2873000000,2587356000,2293000000,2039000000,1902000000,1896000000,1957000000,2091369000,2255398000,1526462000,1431246000,1308514000,4119094000,4144576000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,126000000,100000000,141000000,1261000000,- -,3107000000,1635000000,212000000,230000000,685000000,685000000,685000000,656000000,656000000,1783000000,- -,- -,- -,- -,- -,- -,76124000,1713475000,1682847000,1421120000,1108136000,1108136000,1108136000
40,Intangible Assets,58100000,56800000,122100000,136000000,159100000,157100000,145700000,145800000,- -,154000000,197000000,384000000,1967300000,441000000,1496000000,856000000,696000000,200000000,177000000,179000000,193000000,178000000,1187000000,1017011000,823000000,646000000,529000000,464000000,431000000,421480000,1004379000,715406000,590443000,448706000,359491000,340519000
41,Intangible Assets,58100000,56800000,122100000,136000000,159100000,157100000,145700000,145800000,126000000,254000000,338000000,1645000000,1967300000,3548000000,3131000000,1068000000,926000000,885000000,862000000,864000000,849000000,834000000,2970000000,1017011000,823000000,646000000,529000000,464000000,431000000,497604000,2717854000,2398253000,2011563000,1556842000,1467627000,1448655000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,59000000,78000000,114000000,222000000,- -,138000000,79000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1766349000,- -,- -,- -,- -,16680000,14964000
44,Other Non-Current Assets,35400000,42900000,33900000,42000000,20400000,30500000,30100000,37800000,40000000,-10000000,-55000000,-117000000,138600000,66000000,163000000,188000000,167000000,136000000,123000000,328000000,1537000000,1561000000,723000000,357241000,425000000,460000000,428000000,310000000,272000000,286172000,1753031000,2603749000,811227000,624292000,148327000,132035000
45,Total Non-Current Assets,343700000,414600000,557600000,641100000,690100000,722400000,721400000,783000000,864000000,1100000000,1377000000,3646000000,4277000000,6620000000,7003000000,4297000000,3189000000,2890000000,2868000000,2926000000,4103000000,4138000000,6566000000,3961608000,3541000000,3145000000,2859000000,2670000000,2660000000,4641494000,6726283000,6528464000,4254036000,3489648000,5751728000,5740230000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,792200000,964300000,1224200000,1417500000,1539300000,1667000000,1734500000,1875200000,1989000000,2473000000,2842000000,6417000000,7655300000,10422000000,10808000000,7914000000,6479000000,6134000000,6246000000,5933000000,6988000000,7091000000,11488000000,8326540000,8050000000,7556000000,7364000000,7079000000,6945000000,8863252000,11277010000,11593752000,8989327000,7591367000,9452369000,9335404000
48,Accounts Payable,- -,- -,- -,- -,132200000,151400000,154100000,175000000,174000000,273000000,272000000,601000000,1183900000,1456000000,1771000000,896000000,843000000,755000000,758000000,758000000,862000000,903000000,1426000000,1256982000,1159000000,1308000000,1426000000,1385000000,1292000000,1133520000,1542797000,1613909000,1651363000,1618585000,1484081000,1437421000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47500000,- -,26000000,- -,- -,103715000,23976000,223815000,584196000,16184000,185609000,40683000,51502000,63045000,79421000,37311000,49174000,100376000,26848000,21335000,20761000,16111000,8840000,523161000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73848000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,214800000,315300000,357500000,479000000,83700000,85700000,135800000,105500000,188000000,304000000,358000000,571000000,539500000,2234000000,1115000000,765000000,922000000,708285000,702024000,690185000,696804000,670816000,1186391000,1004762000,965498000,1048955000,1064579000,1155689000,1165826000,1251104000,1427250000,1370004000,1791941000,808439000,1273542000,642364000
53,Total Current Liabilities,214800000,315300000,357500000,479000000,215900000,237100000,289900000,280500000,362000000,577000000,630000000,1172000000,1770900000,3690000000,2912000000,1661000000,1765000000,1567000000,1484000000,1672000000,2143000000,1590000000,2798000000,2302427000,2176000000,2420000000,2570000000,2578000000,2507000000,2485000000,2996895000,3005248000,3464065000,2443135000,2766463000,2602946000
54,Long-Term Debt,146100000,153400000,227200000,228300000,542100000,585400000,427500000,489200000,613000000,806000000,994000000,2416000000,2551400000,3304000000,6507000000,5858000000,3847000000,3759000000,3868000000,3088000000,2467000000,3084000000,5800000000,5801230000,6319000000,6157000000,6249000000,5996000000,5708000000,5483415000,6967288000,3273092000,3370874000,3478649000,3077268000,5909091000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,33200000,43000000,68600000,74000000,77000000,70500000,66500000,69800000,- -,- -,- -,- -,248900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122295000,107007000,91850000,75171000,- -,52895000,44070000,30775000,24064000,- -,- -
57,Other Non-Current Liabilities,100000,100000,-100000,- -,-100000,100000,- -,100000,59000000,78000000,114000000,340000000,167600000,450000000,938000000,730000000,838000000,900000000,902000000,850000000,771000000,754000000,1179000000,1422535000,1228000000,1067705000,1024993000,872150000,768829000,837781000,678504000,4657272000,522603000,458829000,2934111000,208213000
58,Total Non-Current Liabilities,179400000,196500000,295700000,302300000,619000000,656000000,494000000,559100000,672000000,884000000,1108000000,2756000000,2967900000,3754000000,7445000000,6588000000,4685000000,4659000000,4770000000,3938000000,3238000000,3838000000,6979000000,7223765000,7547000000,7347000000,7381000000,6960000000,6552000000,6321196000,7698687000,7974434000,3924252000,3961542000,6011379000,6117304000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169048000,170338000,159023000,168544000,174121000,189426000,169796000,133764000,122295000,107007000,91850000,75171000,61152000,52895000,44070000,51446000,24064000,3219834000,3362756000
61,Total Liabilities,394200000,511800000,653200000,781300000,834900000,893100000,783900000,839600000,1034000000,1461000000,1738000000,3928000000,4738800000,7444000000,10357000000,8249000000,6450000000,6226000000,6254000000,5610000000,5381000000,5428000000,9777000000,9526192000,9723000000,9767000000,9951000000,9538000000,9059000000,8806196000,10695582000,10979682000,7388317000,6404677000,8777842000,8720250000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393705000,417803000,459243000,477301000,493717000,390870000,143499000,152305000,161651000,171570000,182098000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,90000000,90000000,90000000,129000000,- -,259000000,260000000,348000000,515000000,515000000,516000000,520000000,528000000,537000000,830000000,886113000,888000000,890000000,899000000,904000000,971000000,988558000,1047754000,1053690000,1067318000,54016000,54716000,55143000
64,Retained Earnings,377500000,430700000,547200000,610900000,678200000,747100000,826700000,909700000,866000000,955000000,1056000000,1100000000,1313900000,1335000000,-1420000000,-3172000000,-4006000000,-4118000000,-4053000000,-3751000000,-2489000000,-2462000000,-3537000000,-6452696000,-6959000000,-7515000000,-7883000000,-7765000000,-7516000000,-5406675000,-5241210000,-5237157000,-4282471000,-4713244000,-5222194000,-5313103000
65,Other Comprehensive Income/Loss,-131400000,-165000000,-211000000,-267200000,-326900000,-397000000,-465400000,-532500000,-4000000,2000000,-698000000,-4000000,-890000000,-963000000,-12000000,140000000,-26000000,-46000000,-46000000,-22000000,-24000000,-24000000,-20000000,-42000000,-31000000,-30000000,-53000000,-61000000,-37000000,-46000000,-48000000,-42000000,-35000000,-31000000,-49000000,-24054000
66,Other Total Stockholders Equity,151900000,186800000,234800000,292500000,353100000,423800000,589300000,658400000,3000000,- -,656000000,1264000000,2492600000,2346000000,1623000000,2349000000,3546000000,3142966000,3174461000,3116691000,3114620000,3118129000,4047315000,4265432000,4276144000,4281982000,4278674000,4280468000,4468298000,4521173000,4822884000,4839537000,4851163000,5876918000,5891005000,5897168000
67,Total Stockholders Equity,398000000,452500000,571000000,636200000,704400000,773900000,950600000,1035600000,955000000,1012000000,1104000000,2489000000,2916500000,2977000000,451000000,-335000000,29000000,-112329000,9264000,322934000,1606921000,1662846000,1711185000,-1199652000,-1673551000,-2211367000,-2586756000,-2459434000,-2113702000,57056000,581428000,614070000,1601010000,1186690000,674527000,615154000
68,Total Liabilities And Stockholders Equity,792200000,964300000,1224200000,1417500000,1539300000,1667000000,1734500000,1875200000,1989000000,2473000000,2842000000,6417000000,7655300000,10421000000,10808000000,7914000000,6479000000,6113671000,6263264000,5932934000,6987921000,7090846000,11488185000,8326540000,8049449000,7555633000,7364244000,7078566000,6945298000,8863252000,11277010000,11593752000,8989327000,7591367000,9452369000,9335404000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,20329000,-17264000,66000,79000,154000,-185000,- -,551000,367000,-244000,434000,-298000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,792200000,964300000,1224200000,1417500000,1539300000,1667000000,1734500000,1875200000,1989000000,2473000000,2842000000,6417000000,7655300000,10422000000,10808000000,7914000000,6479000000,6134000000,6246000000,5933000000,6988000000,7091000000,11488000000,8326540000,8050000000,7556000000,7364000000,7079000000,6945000000,8863252000,11277010000,11593752000,8989327000,7591367000,9452369000,9335404000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000089322094000273/0000893220-94-000273-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000112528201500559/0001125282-01-500559-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000095013604001277/0000950136-04-001277-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000095013605002416/0000950136-05-002416-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000110465906029024/0001104659-06-029024-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000110465907032827/0001104659-07-032827-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746908005477/0001047469-08-005477-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746909004278/0001047469-09-004278-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746910004332/0001047469-10-004332-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746911004075/0001047469-11-004075-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746912004644/0001047469-12-004644-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746913004721/0001047469-13-004721-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746914004077/0001047469-14-004077-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746915003838/0001047469-15-003838-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746916012513/0001047469-16-012513-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746917003159/0001047469-17-003159-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746918003207/0001047469-18-003207-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746919002567/0001047469-19-002567-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000155837020004365/0001558370-20-004365-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000155837021004887/0001558370-21-004887-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,102100000,107300000,124000000,132400000,9000000,141000000,159000000,115000000,316400000,144000000,-1143000000,-1589000000,-828000000,-112000000,83000000,302000000,1273000000,27000000,-1079000000,-2915420000,-507000000,-555000000,-369000000,118000000,249000000,2109173000,165465000,4053000,943470000,-422213000,-452174000,-90909000
74,Depreciation and Amortization,- -,- -,- -,- -,84400000,93300000,93500000,98300000,95700000,98600000,118700000,168100000,274200000,302600000,500997000,384066000,349840000,285334000,264288000,246742000,249755000,270307000,472473000,586208000,534238000,505546000,440582000,414111000,403741000,416628000,509212000,568231000,386057000,357882000,328277000,327124000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146917000,- -,- -,- -,- -,-1211646000,-13362000,805204000,307789000,- -,- -,- -,- -,- -,-1726487000,79488000,35038000,260411000,95638000,385904000,-10633000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23794000,17336000,15861000,17717000,16194000,23390000,37948000,23482000,25793000,12115000,16087000,13003000
