,https://roic.ai/company/CRIS,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-4.3198,-42.5095,-66.4287,-4.3167,-0.8972,-3.1548,-2.6435,-0.6732,-0.5110,-1.5681,-1.1694,-0.3524,-0.4879,-1.0971,-0.6277,-1.6114,-7.1691,-7.7108,-5.0273,-2.8129,-2.4346,-2.2979,-3.9501
19,Total Other Income Expenses (Gains),1777,-309384716,-9688719,-57828573,-1445055,1591681,124958,-155124,-113644,10137,222309,1064772,-2756426,2203202,-2905958,-2866731,-2499828,-2372000,-3557000,-3243000,-7785000,-5010000,-3371000
20,Income Before Tax,- -,- -,-81863650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16416605,-12322367,-18728980,-58980696,-60411000,-53317000,-32576000,-32141000,-29908000,-45436000
21,Income Before Tax Ratio,- -,- -,-75.3460,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.9673,-0.8214,-1.9027,-7.4864,-8.0259,-5.3866,-3.1239,-3.2128,-2.7603,-4.2667
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-12109790,-350350624,-81863650,-82315435,-11623252,-13904274,-14855172,-8829322,-6964243,-12123098,-9822601,-4435310,-9858895,-16416907,-12322012,-18728734,-58981030,-60411000,-53317000,-32575000,-32141000,-29908000,-45436000
24,Net Income ratio,-3.7703,-351.3773,-75.3460,-4.4760,-1.0520,-2.8075,-2.4749,-0.5912,-0.4249,-1.4490,-1.1435,-0.2772,-0.6678,-0.9673,-0.8214,-1.9027,-7.4864,-8.0259,-5.3866,-3.1238,-3.2128,-2.7603,-4.2667
25,EPS,-6.80,-99.00,-12.90,-12.85,-1.65,-1.65,-1.55,-0.90,-0.65,-0.95,-0.75,-0.30,-0.65,-1.05,-0.75,-1.10,-2.40,-2.25,-1.80,-0.98,-0.97,-0.61,-0.50
26,EPS Diluted,-6.80,-99.00,-12.90,-12.85,-1.65,-1.65,-1.55,-0.90,-0.65,-0.95,-0.75,-0.30,-0.65,-1.05,-0.75,-1.10,-2.40,-2.25,-1.80,-0.98,-0.97,-0.61,-0.50
27,Weighted Average Shares Outstanding,2136309,3538793,6371784,6453421,7203122,8537118,9614836,9813336,10982933,12675631,13012102,14991831,15270371,15811830,16467898,17194907,24673039,26557137,29826693,33118393,33180516,48670381,91569154
28,Weighted Average Shares Outstanding Diluted,2136309,3538793,6371784,6453421,7203122,8537118,9614836,9813336,10982933,12675631,13012102,14991831,15270371,15811830,16467898,17194907,24673039,26557137,29826693,33118393,33180516,48670381,91569154
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1108205/000092701601001616/0000927016-01-001616-index.html,- -,https://www.sec.gov/Archives/edgar/data/1108205/000092701603001100/0000927016-03-001100-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312504031548/0001193125-04-031548-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312505050973/0001193125-05-050973-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312506070818/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312507045291/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312508057344/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312509038832/0001193125-09-038832-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312510046906/0001193125-10-046906-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312511059249/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312512089082/0001193125-12-089082-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312513104455/0001193125-13-104455-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312514097662/d635982d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312515060006/d846591d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312516484817/0001193125-16-484817-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820517000006/0001108205-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820518000005/0001108205-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820519000004/0001108205-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820520000003/0001108205-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820521000003/0001108205-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1108205/000110820522000002/0001108205-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2751069,52414312,38938062,31323793,27925209,22679924,22310298,18829332,17396599,10158795,7275433,7826549,15119730,12747709,9591487,7747411,33091165,26038000,38288000,23636000,15430000,129610000,40014000
32,Short-Term Investments,18619516,22654393,13169266,9652671,7413703,26834038,21899024,17826675,24062577,18694200,17975466,32772727,22597845,42791689,48588135,42002782,49099847,18447000,21944000,634000,5113000,38884000,75870000
33,Cash and Short-Term Investments,21370585,75068705,52107328,40976464,35338912,49513962,44209322,36656007,41459176,28852995,25250899,40599276,37717575,55539398,58179622,49750193,82191012,44485000,60232000,24270000,20543000,168494000,115884000
34,Net Receivables,60296,358388,874600,446853,2184973,1226460,1002511,1315412,230467,107341,515758,92371,42067,908064,1477188,1960995,2106031,2459000,3073000,2864000,3244000,3043000,3224000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,146764,1650390,1738817,2239253,1202993,843198,680320,541182,349453,373373,627183,392249,743799,404441,509137,503721,1204428,1257000,989000,827000,1216000,1215000,3267000
37,Total Current Assets,21577645,77077483,54720745,43662570,38726878,51583620,45892153,38512601,42039096,29333709,26393840,41083896,38503441,56851903,60165947,52214909,85501471,48201000,64294000,27961000,25003000,172752000,122375000
38,PP&E,2130158,7866591,11060711,3775269,2500703,3416620,5347639,4393604,2577602,1448176,715429,303000,455730,434168,445655,407738,277714,413000,366000,267000,303000,7241000,6254000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000
40,Intangible Assets,- -,97145664,73807125,9234273,9159193,9084122,9009050,8982000,8982000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,5075914,97145664,73807125,9234273,9159193,9084122,9009050,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000,8982000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,210007,- -,277546,235914,3162025,10726685,788768,152610,153000,153000,153000,1000000,14564000,23964000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,108574,592252,5167636,5769581,5349716,3550451,665411,380048,217987,7980,7980,2701,2980,338253,270521,220154,51344,3000,3000,2000,-181000,819000,726000
45,Total Non-Current Assets,7314646,105604507,90035472,18779123,17009612,16051193,15022100,13755652,11777589,10648163,9705409,9565247,9676624,12916446,20424861,10398660,9463668,9551000,9504000,9404000,10104000,31606000,39926000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28892291,182681990,144756217,62441693,55736490,67634813,60914253,52268253,53816685,39981872,36099249,50649143,48180065,69768349,80590808,62613569,94965139,57752000,73798000,37365000,35107000,204358000,162301000
48,Accounts Payable,612811,2187824,1967260,726092,456860,1643219,1361752,1461195,3222091,1961439,1561914,2620968,2364437,2504270,2036864,2349183,4217553,5883000,5423000,2909000,4465000,4166000,6417000
49,Short-Term Debt,347323,1971609,3109613,2105049,322884,1141294,3865325,1246289,403832,- -,- -,- -,- -,30000000,2610174,5709985,4606536,4939000,5886000,6884000,166000,2288000,682000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,81688,191782,1241379,1939708,1756959,1755160,1852518,- -,475833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3501183,5553641,6714608,5539976,2427783,1078687,2897042,1529337,1150931,624462,1009244,854605,1422107,-28525444,1911479,2007699,1933644,2725000,2793000,3457000,1910000,3625000,6339000
53,Total Current Liabilities,4461317,9713074,11873169,8562899,4448906,5802908,9881078,5991981,6629372,2585901,3046991,3475573,3786544,3978826,6558517,10066867,10757733,13547000,14102000,13250000,6541000,10079000,13438000
54,Long-Term Debt,1009388,4155150,7458176,10309908,5333733,5710007,1966667,733333,- -,- -,- -,- -,- -,29838925,27945186,22589058,19557971,14921000,35669000,28600000,- -,334000,4358000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,24405226,25026507,7088638,7212603,11066929,9645800,342750,171375,- -,1655913,4517564,1683100,913520,174018,138957,18000,34000,11000,62477000,63275000,53798000
58,Total Non-Current Liabilities,1009388,4155150,31863402,35336415,12422371,12922610,13033596,10379133,342750,171375,- -,1655913,4517564,31522025,28858706,22763076,19696928,14939000,35703000,28611000,62477000,63609000,58156000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000,6771000,5040000
61,Total Liabilities,5470705,13868224,43736571,43899314,16871277,18725518,22914674,16371114,6972122,2757276,3046991,5131486,8304108,35500851,35417223,32829943,30454661,28486000,49805000,41861000,69018000,73688000,71594000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,109995,313836,323292,327685,416088,485652,493743,503816,642888,647014,683601,768039,781654,810655,870819,872537,1302132,1423000,1654000,332000,332000,915000,916000
64,Retained Earnings,-121595024,-471945648,-554135679,-637174017,-649068435,-662972709,-680054173,-688883495,-695847738,-707970836,-717793437,-722228747,-732087642,-748504549,-760826561,-779555295,-838536325,-898948000,-952265000,-984840000,-1016981000,-1046889000,-1092325000
65,Other Comprehensive Income/Loss,- -,-6026355,-8483000,-3254862,-1080548,-914801,-281699,-103596,37288,91506,637,45362,33965,15159,-6984,-10997,27767,-4000,-2000,- -,-2087000,-3000,-109000
66,Other Total Stockholders Equity,144906615,646471933,663315033,658643573,688598108,712311153,717841708,724380414,742012125,744456912,750161457,766933003,771147980,781946233,805136311,808477381,901716904,926795000,974606000,980012000,984825000,1176647000,- -
67,Total Stockholders Equity,23421586,168813766,101019646,18542379,38865213,48909295,37999579,35897139,46844563,37224596,33052258,45517657,39875957,34267498,45173585,29783626,64510478,29266000,23993000,-4496000,-33911000,130670000,90707000
68,Total Liabilities And Stockholders Equity,28892291,182681990,144756217,62441693,55736490,67634813,60914253,52268253,53816685,39981872,36099249,50649143,48180065,69768349,80590808,62613569,94965139,57752000,73798000,37365000,35107000,204358000,162301000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,28892291,182681990,144756217,62441693,55736490,67634813,60914253,52268253,53816685,39981872,36099249,50649143,48180065,69768349,80590808,62613569,94965139,57752000,73798000,37365000,35107000,204358000,162301000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1108205/000092701601001616/0000927016-01-001616-index.html,- -,https://www.sec.gov/Archives/edgar/data/1108205/000092701603001100/0000927016-03-001100-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312504031548/0001193125-04-031548-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312505050973/0001193125-05-050973-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312506070818/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312507045291/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312508057344/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312509038832/0001193125-09-038832-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312510046906/0001193125-10-046906-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312511059249/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312512089082/0001193125-12-089082-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312513104455/0001193125-13-104455-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312514097662/d635982d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312515060006/d846591d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312516484817/0001193125-16-484817-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820517000006/0001108205-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820518000005/0001108205-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820519000004/0001108205-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820520000003/0001108205-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820521000003/0001108205-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1108205/000110820522000002/0001108205-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-12109790,-350350624,-81863650,-82315435,-11623252,-13904274,-14855172,-8829322,-6964243,-12123098,-9822601,-4435310,-9858895,-16416907,-12322012,-18728734,-58981030,-60411000,-53317000,-32575000,-32141000,-29908000,-45436000
74,Depreciation and Amortization,989490,11148110,26627114,2429365,1500921,1075811,1014691,1434670,1302102,998596,751213,686495,107396,126537,141522,155083,160812,193000,235000,177000,125000,144000,158000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2206472,1854235,1967122,1772111,3623911,3002241,3059989,3875246,4325000,5359000,3940000,2658000,2698000,5279000
77,Change in Working Capital,-1858418,50248081,-24516833,-7747905,-821699,11502740,-9769637,-3490455,2889104,-8661916,-3400959,14261474,-2891426,18156180,734353,-11459388,32595696,-40089738,15538000,-35481000,3751000,144211000,1004000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,123126,-408417,423387,50304,-865997,-569124,-483807,-145036,-353000,-614000,209000,-380000,201000,-181000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4965000
81,Other Working Capital,17116328,67364409,42847576,35099671,34277972,45780712,36011075,32520620,35409724,26747808,23346849,37608323,34716897,52873077,53607430,42148042,74743738,34654000,50192000,14711000,18462000,162673000,- -
82,Other Non-Cash Items,-1789283,265362829,54876736,80716377,1183274,-6003665,15470826,4905496,-5821200,5138865,3029518,-14108880,6307517,-20683026,-1095681,10160306,-7541514,60171738,-16170000,33874000,-598000,-142884000,1376000
83,Cash Provided by Operating Activities,-14768001,-23591604,-24876633,-6917598,-9760756,-7329388,-8139292,-5979611,-8594237,-12441081,-7588594,-1629099,-4563297,-15193305,-9539577,-16812744,-29890790,-35811000,-48355000,-30065000,-26205000,-25739000,-37619000
84,CAPEX,-610013,-1573494,-1745949,-411691,-152057,-1916657,-2870637,-694111,-66469,-60546,-19537,-274840,-260405,-104975,-153009,-92209,-47985,-329000,-188000,-85000,-41000,-677000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-9359549,-15036205,-24387748,-16237437,-23453633,-42165199,-36187759,-47076284,-37558691,-35377459,-35831833,-66178080,-42136949,-69153956,-65827658,-41399246,-123240492,-57639000,-51121000,-26741000,-11465000,-53449000,-93125000
87,Sales/Maturities of Investments,30903094,12506525,- -,19022779,23176683,22451026,43767863,51195829,31398569,40753768,36669705,51464558,51834854,46214044,52349212,57748851,116822492,88092000,47679000,48200000,7050000,5078000,45230000
88,Other Investing Activites,-659918,28742091,32562295,-3439389,2073733,- -,- -,-5846,307958,- -,- -,99160,338158,41632,13918,15627,37663,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,20273614,24638917,6428598,-1065738,1644726,-21630830,4709467,3419588,-5918633,5315763,818335,-14889202,9775658,-23003255,-13617537,16273023,-6428322,30124000,-3630000,21374000,-4456000,-49048000,-47895000
90,Debt Repayment,-249142,- -,- -,- -,- -,- -,- -,- -,- -,-401213,- -,- -,- -,- -,- -,-1587154,-4162823,-4273000,-23257000,-6104000,-38987000,- -,- -
91,Common Stock Issued,968248,48704977,4803491,44217,15771440,22540337,974781,312391,14645592,288727,3886897,17069417,2080820,879080,16245984,- -,64619407,- -,41546000,- -,- -,193222000,- -
92,Common Stock Repurchased,- -,- -,- -,-869384,-21890,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-21211694,-89047,312927,-2548701,-6819577,1365257,2085418,-1233334,-1565455,- -,- -,- -,- -,34945459,3754908,282799,1206282,2907000,45946000,143000,62258000,-4408000,-4172000
95,Cash Used/Provided by Financing Activities,-20492588,48615930,5116418,-3373868,8929973,23905594,3060199,-920943,13080137,-112486,3886897,17069417,2080820,35824539,20000892,-1304355,61662866,-1366000,64235000,-5961000,23271000,188814000,-4172000
96,Effect of Forex Changes on Cash,- -,- -,-144632,-660253,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-14986975,49663243,-13476250,-12017457,813943,-5054624,-369626,-3480966,-1432733,-7237804,-2883362,551116,7293181,-2372021,-3156222,-1844076,25343754,-7053000,12250000,-14652000,-7390000,114027000,-89686000
98,Cash at the End of Period,2751069,52414312,38938062,26920605,27734548,22679924,22310298,18829332,17396599,10158795,7275433,7826549,15119730,12747709,9591487,7747411,33091165,26038000,38288000,23636000,16399000,130426000,40740000
99,Cash at the Beginning of Period,17738044,2751069,52414312,38938062,26920605,27734548,22679924,22310298,18829332,17396599,10158795,7275433,7826549,15119730,12747709,9591487,7747411,33091000,26038000,38288000,23789000,16399000,130426000
100,Free Cash Flow,-15378014,-25165098,-26622582,-7329289,-9912813,-9246045,-11009929,-6673722,-8660706,-12501627,-7608131,-1903939,-4823702,-15298280,-9692586,-16904953,-29938775,-36140000,-48543000,-30150000,-26246000,-26416000,-37619000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1108205/000092701601001616/0000927016-01-001616-index.html,- -,https://www.sec.gov/Archives/edgar/data/1108205/000092701603001100/0000927016-03-001100-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312504031548/0001193125-04-031548-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312505050973/0001193125-05-050973-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312506070818/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312507045291/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312508057344/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312509038832/0001193125-09-038832-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312510046906/0001193125-10-046906-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312511059249/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312512089082/0001193125-12-089082-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312513104455/0001193125-13-104455-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000119312514097662/d635982d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312515060006/d846591d10k.htm,https://www.sec.gov/Archives/edgar/data/1108205/000119312516484817/0001193125-16-484817-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820517000006/0001108205-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820518000005/0001108205-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820519000004/0001108205-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820520000003/0001108205-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1108205/000110820521000003/0001108205-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1108205/000110820522000002/0001108205-22-000002-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
