,https://roic.ai/company/VVI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757000,1690000,1835000,1511000,1303000,1234000,2015000,4535000,5898000,8304000,9640000,14199000,18264000,28440000
14,Depreciation and Amortization,61300000,68000000,69300000,- -,85100000,87200000,108200000,112300000,100200000,109900000,114900000,74400000,78500000,85900000,63000000,68600000,69096000,51483000,88851000,23370000,22113000,19804000,22893000,28048000,28269000,28252000,29126000,30731000,28615000,30792000,35231000,42743000,55114000,56842000,58964000,56565000,53750000
15,EBITDA,232400000,276100000,147200000,146300000,258500000,174700000,92000000,56700000,282100000,331600000,86400000,144700000,209000000,303500000,445600000,241758000,115842000,167911000,247188000,-27286000,75193000,93094000,86918000,93856000,-103391000,32272000,43735000,58774000,59994000,85270000,76865000,112160000,167023000,132496000,96386000,-285019000,-14050000
16,EBITDA ratio,0.0907,0.1068,0.0647,0.0443,0.0731,0.0496,0.0278,0.0167,0.0940,0.0935,0.0242,0.0639,0.0865,0.1194,0.2818,0.1400,0.0698,0.1020,0.1572,-0.0347,0.0910,0.1088,0.0866,0.0837,-0.1283,0.0382,0.0464,0.0573,0.0617,0.0801,0.0706,0.0931,0.1278,0.1022,0.0703,-0.6861,-0.0277
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),41200000,32500000,-41300000,-95700000,-262500000,-81600000,-72200000,-65400000,-53500000,-64600000,-271500000,-57300000,-49800000,1000000,-4800000,-11814000,-118254000,-33315000,-950000,-91831000,679000,8357000,3415000,979000,-132028000,-5775000,-4514000,-5652000,-5213000,-4231000,-6929000,-10134000,22801000,-11980000,-53194000,-235997000,-1788000
20,Income Before Tax,171100000,116400000,129400000,146300000,173400000,187500000,52300000,53900000,171700000,221700000,-10800000,111000000,139000000,217600000,163600000,173158000,46746000,154167000,156793000,-52983000,51840000,61577000,62740000,64216000,-133447000,2559000,13180000,26802000,29148000,41287000,37935000,64729000,104350000,65009000,26110000,-360859000,-95081000
21,Income Before Tax Ratio,0.0668,0.0450,0.0569,0.0443,0.0490,0.0533,0.0158,0.0159,0.0572,0.0625,-0.0030,0.0490,0.0575,0.0856,0.1035,0.1003,0.0282,0.0936,0.0997,-0.0674,0.0627,0.0719,0.0625,0.0573,-0.1656,0.0030,0.0140,0.0261,0.0300,0.0388,0.0348,0.0537,0.0798,0.0502,0.0190,-0.8686,-0.1874
22,Income Tax expense (Gain),51000000,21900000,46600000,53000000,64700000,71100000,41400000,25900000,61400000,81400000,-11900000,41900000,41200000,67000000,35000000,28666000,-4388000,40334000,44435000,5346000,15326000,9736000,19428000,20678000,-28639000,1742000,3888000,20843000,8590000,109000,10493000,21250000,45898000,17095000,2506000,14246000,-1788000
23,Net Income,120100000,186200000,31300000,93300000,108700000,16400000,-57600000,-81500000,120500000,140300000,-16600000,28400000,89300000,150600000,347600000,144492000,51134000,76094000,113902000,-56002000,37754000,63554000,44597000,43373000,-104711000,443000,9210000,5897000,21555000,52354000,26606000,42269000,57707000,48919000,20717000,-374094000,-94452000
24,Net Income ratio,0.0469,0.0721,0.0138,0.0282,0.0307,0.0047,-0.0174,-0.0241,0.0402,0.0396,-0.0046,0.0125,0.0369,0.0592,0.2198,0.0837,0.0308,0.0462,0.0725,-0.0713,0.0457,0.0742,0.0444,0.0387,-0.1299,0.0005,0.0098,0.0058,0.0222,0.0492,0.0244,0.0351,0.0442,0.0377,0.0151,-0.9005,-0.1862
25,EPS,4.96,8.24,1.56,4.84,5.52,0.76,-2.96,-3.92,5.68,6.44,-0.80,1.20,3.88,6.32,14.88,6.44,2.32,3.48,5.24,-2.58,1.71,2.98,2.18,2.15,-5.25,0.02,0.45,0.29,1.06,2.59,1.32,2.09,2.83,2.40,1.02,-18.64,-4.66
26,EPS Diluted,4.88,8.20,1.56,4.84,5.52,0.76,-2.96,-3.92,5.60,6.44,-0.80,1.20,3.76,6.08,14.36,6.32,2.32,3.44,5.24,-2.58,1.70,2.91,2.14,2.12,-5.25,0.02,0.45,0.29,1.06,2.59,1.32,2.09,2.83,2.40,1.02,-18.64,-4.66
27,Weighted Average Shares Outstanding,24277000,23304500,18891500,19276860,19692029,19628250,20072500,21028037,21214789,21661500,22176750,22909250,22701000,23595500,23251750,22200500,21375750,21544500,21555750,21741000,22070000,21333000,20423000,20172000,19960000,19955000,19719000,19701000,19850000,19804000,19797000,19990000,20146000,20168000,20146000,20279000,20279000
28,Weighted Average Shares Outstanding Diluted,24277000,23304500,18891500,19276860,19692029,19628250,20072500,21028037,21517857,21721311,22176750,23085938,23446500,24591750,24099000,22731250,21580500,21679000,21654750,21741000,22253000,21839863,20886000,20493000,19960000,20277000,20055000,20005000,20265000,20133000,19981000,20177000,20405000,20404000,20284000,20279000,20279000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884219/000088421995000022/0000884219-95-000022-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884219/000095015304000586/0000950153-04-000586-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012405001493/0000950124-05-001493-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015306000542/0000950153-06-000542-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015307000453/0000950153-07-000453-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015308000420/0000950153-08-000420-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015309000167/0000950153-09-000167-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012310022112/0000950123-10-022112-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012311022158/0000950123-11-022158-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000119312512106491/0001193125-12-106491-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000119312513101356/0001193125-13-101356-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000088421914000003/0000884219-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000088421915000005/0000884219-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459016014544/0001564590-16-014544-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459017003489/0001564590-17-003489-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459018003850/0001564590-18-003850-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459019004984/0001564590-19-004984-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459020006825/0001564590-20-006825-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459021010008/0001564590-21-010008-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095017022002088/0000950170-22-002088-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,503100000,577600000,20600000,- -,27800000,26000000,600000,31500000,10700000,33200000,23400000,4400000,2300000,5200000,33100000,42298000,46593000,57219000,63853000,115050000,152601000,178073000,165069000,148040000,116342000,145841000,100376000,114171000,45821000,56990000,56531000,20900000,53723000,44893000,61999000,39545000,61600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95500000,42538000,118021000,246338000,99230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15492000,- -
33,Cash and Short-Term Investments,503100000,577600000,20600000,- -,27800000,26000000,600000,31500000,10700000,33200000,23400000,4400000,2300000,5200000,128600000,84836000,164614000,303557000,163083000,115050000,152601000,178073000,165069000,148040000,116342000,145841000,100376000,114171000,45821000,56990000,56531000,20900000,53723000,44893000,61999000,55037000,61600000
34,Net Receivables,278300000,299000000,279700000,- -,280200000,237900000,225400000,214000000,200000000,231400000,210300000,163300000,129400000,128900000,43300000,105792000,64134000,50818000,45915000,51303000,56752000,40757000,53099000,53541000,44767000,47187000,63583000,62756000,61197000,79990000,98443000,108262000,109048000,137839000,164031000,18174000,93867000
35,Inventory,236600000,213600000,286600000,- -,320200000,421000000,292000000,309200000,216800000,229300000,241300000,93700000,105300000,73100000,73700000,83272000,55682000,41839000,35768000,36392000,37853000,43523000,52664000,52311000,44818000,38670000,35825000,35656000,27993000,32401000,27529000,31420000,30372000,16629000,17269000,8727000,8581000
36,Other Current Assets,59400000,72200000,679200000,- -,830900000,797600000,818400000,738800000,625100000,750300000,897000000,762400000,688800000,636200000,676600000,82561000,94471000,91113000,1901336000,35737000,35503000,24965000,35789000,34148000,55608000,39217000,38847000,41835000,37719000,38514000,12668000,14835000,16793000,14600000,17604000,9319000,33568000
37,Total Current Assets,1077400000,1162400000,1266100000,- -,1459100000,1482500000,1336400000,1293500000,1052600000,1244200000,1372000000,1023800000,925800000,843400000,922200000,356461000,378901000,487327000,2146102000,238482000,282709000,287318000,306621000,288040000,261535000,270915000,238631000,254418000,172730000,207895000,195171000,175417000,209936000,213961000,260903000,91257000,197616000
38,PP&E,696200000,721600000,786800000,- -,735000000,735700000,762000000,718800000,740700000,813400000,857900000,473000000,470100000,467600000,313600000,290016000,260480000,248099000,250787000,152512000,143038000,135958000,168893000,165415000,155000000,149346000,173813000,197298000,190330000,199571000,189239000,279858000,305571000,333847000,604215000,574893000,645023000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184154000,228170000,212461000,124931000,127441000,133694000,137820000,129543000,194197000,185223000,254022000,270551000,261330000,287983000,99847000,112078000
40,Intangible Assets,309200000,332700000,582300000,- -,600300000,597600000,- -,599400000,729800000,820400000,863200000,540600000,531000000,867800000,629300000,638013000,623290000,583935000,685051000,189355000,190548000,834000,12663000,17932000,2700000,1563000,1884000,2521000,4480000,42967000,33322000,73673000,62781000,51294000,94308000,71172000,65189000
41,Intangible Assets,309200000,332700000,582300000,- -,600300000,597600000,- -,599400000,729800000,820400000,863200000,540600000,531000000,867800000,629300000,638013000,623290000,583935000,685051000,189355000,190548000,184988000,240833000,230393000,127631000,129004000,135578000,140341000,134023000,237164000,218545000,327695000,333332000,312624000,382291000,171019000,177267000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26560000,29069000,31363000,31051000,9924000,11986000,7830000,2192000,2062000,2637000,2517000,3107000,3457000,4057000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82764000,112286000,101571000,49968000,40891000,39152000,34704000,18996000,35951000,35875000,38755000,26104000,29823000,29639000,50137000,42549000,23548000,19199000,26163000,563000,1006000
44,Other Non-Current Assets,848700000,747000000,773600000,5033900000,2410400000,2614900000,1494000000,669600000,758000000,902900000,1132100000,1415900000,1803400000,2624000000,3345800000,5015741000,7018624000,8258881000,6038644000,28115000,28504000,25148000,30312000,- -,- -,- -,- -,22492000,23040000,32844000,37011000,42235000,44875000,40393000,42012000,12035000,12661000
45,Total Non-Current Assets,1854100000,1801300000,2142700000,5033900000,3745700000,3948200000,2256000000,1987800000,2228500000,2536700000,2853200000,2429500000,2804500000,3959400000,4288700000,5943770000,7985158000,9203201000,7076053000,419950000,402981000,385246000,474742000,441364000,347651000,345588000,379197000,396159000,389202000,507048000,497124000,694399000,709963000,708580000,1057788000,761967000,840014000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2931500000,2963700000,3408800000,5033900000,5204800000,5430700000,3592400000,3281300000,3281100000,3780900000,4225200000,3453300000,3730300000,4802800000,5210900000,6300231000,8364059000,9690528000,9222155000,658432000,685690000,672564000,781363000,729404000,609186000,616503000,617828000,650577000,561932000,714943000,692295000,869816000,919899000,922541000,1318691000,853224000,1037630000
48,Accounts Payable,- -,- -,- -,- -,756800000,822500000,250000000,234900000,249000000,244000000,233300000,149000000,145600000,136800000,82500000,81146000,60913000,63188000,57710000,36413000,35150000,35039000,68442000,57702000,41509000,47933000,51448000,57995000,40941000,61789000,65497000,67596000,77380000,71927000,86660000,21037000,69657000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,78300000,2300000,32300000,3100000,46700000,69800000,42681000,103995000,21211000,4056000,3263000,2099000,2462000,2556000,4301000,6639000,2018000,1347000,10903000,27856000,34554000,174968000,152599000,229416000,338974000,24032000,25251000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1902000,3207000,2174000,5994000,5758000,9247000,12699000,6092000,5729000,3419000,4470000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49182000,50172000,29207000,32720000,33128000,42723000,33415000,33476000,51630000,18899000,40033000
52,Other Current Liabilities,942200000,982100000,1198700000,- -,939900000,978300000,1504800000,1444400000,1499800000,1789000000,2137700000,2201500000,2458100000,3256500000,3792000000,4788034000,6853424000,8176617000,7736893000,126229000,131498000,94546000,117152000,109059000,85077000,96749000,48149000,57512000,44282000,48523000,52392000,60303000,69334000,54926000,71523000,33765000,40185000
53,Total Current Liabilities,942200000,982100000,1198700000,- -,1696700000,1800800000,1754800000,1679300000,1748800000,2056800000,2449300000,2352800000,2636000000,3396400000,3921200000,4938980000,6957018000,8343800000,7815814000,166698000,169911000,131684000,188056000,169317000,130887000,151321000,150797000,167026000,125333000,170888000,185571000,345590000,332728000,389745000,548787000,97733000,175126000
54,Long-Term Debt,605300000,607100000,884000000,1968400000,1933000000,2096300000,504000000,704600000,624700000,721700000,814300000,518800000,377800000,531300000,342600000,377306000,354147000,257662000,230232000,16998000,14089000,12943000,11714000,10087000,8487000,2438000,1221000,- -,- -,113164000,94421000,74243000,56593000,705000,23698000,285356000,539986000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2124000,125000,23000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,115200000,100200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5086000,57790000,- -,- -,- -,2024000,1989000,2135000,2384000,2264000,8267000,9768000,- -,- -,- -
57,Other Non-Current Liabilities,223700000,320100000,389000000,2063400000,331100000,348800000,332500000,449100000,395400000,416000000,375800000,134900000,172300000,219500000,225900000,209868000,327937000,377414000,322661000,124128000,100017000,92794000,100678000,25121000,85181000,76033000,79631000,84495000,78067000,81054000,74581000,77081000,79374000,69644000,198852000,167244000,92645000
58,Total Non-Current Liabilities,829000000,927200000,1273000000,4031800000,2379300000,2545300000,836500000,1153700000,1020100000,1137700000,1190100000,653700000,550100000,750800000,568500000,587174000,682084000,635076000,552893000,141126000,114106000,105737000,117478000,92998000,93668000,78471000,80852000,86519000,80056000,196353000,171386000,153588000,144234000,82241000,222675000,452623000,632631000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2226000,765000,- -,- -,- -,- -,- -,105031000,85847000,105857000
61,Total Liabilities,1771200000,1909300000,2471700000,4031800000,4076000000,4346100000,2591300000,2833000000,2768900000,3194500000,3639400000,3006500000,3186100000,4147200000,4489700000,5526154000,7639102000,8978876000,8368707000,307824000,284017000,237421000,305534000,262315000,224555000,229792000,231649000,253545000,205389000,367241000,356957000,499178000,476962000,471986000,771462000,550356000,807757000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128769000,132591000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149600000,149610000,149610000,149610000,149610000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000,37402000
64,Retained Earnings,824600000,947300000,876700000,929500000,985800000,946000000,832500000,234700000,304500000,393200000,322400000,146700000,209100000,328300000,643400000,755041000,762008000,806179000,863944000,-74435000,-40199000,20065000,51445000,91558000,-16405000,-19229000,-13256000,-13034000,-50393000,-36427000,-17866000,16291000,65836000,109032000,122971000,-253164000,-349720000
65,Other Comprehensive Income/Loss,-403700000,-390300000,-394900000,- -,-474300000,-474300000,-566000000,-578300000,-567000000,-621000000,-627700000,-385400000,-390300000,-375200000,-250000000,-279114000,-292958000,-170509000,-89596000,-6143000,1113000,6684000,37935000,2498000,23052000,28851000,21893000,27465000,20017000,-589000,-34176000,-39391000,-22568000,-47975000,-35699000,-30641000,-27429000
66,Other Total Stockholders Equity,739400000,497400000,455300000,72600000,617300000,612900000,734600000,791900000,774700000,814200000,891100000,685500000,725400000,702500000,178200000,148540000,106297000,-84168000,-74121000,389681000,398653000,365772000,343063000,329097000,333466000,331935000,331855000,336228000,340415000,335001000,337221000,343053000,348461000,337748000,342824000,342358000,346029000
67,Total Stockholders Equity,1160300000,1054400000,937100000,1002100000,1128800000,1084600000,1001100000,448300000,512200000,586400000,585800000,446800000,544200000,655600000,721200000,774077000,724957000,701112000,849837000,346505000,396969000,429923000,469845000,460555000,377515000,378959000,377894000,388061000,347441000,335387000,322581000,357355000,429131000,436207000,467498000,224724000,138873000
68,Total Liabilities And Stockholders Equity,2931500000,2963700000,3408800000,5033900000,5204800000,5430700000,3592400000,3281300000,3281100000,3780900000,4225200000,3453300000,3730300000,4802800000,5210900000,6300231000,8364059000,9679988000,9218544000,654329000,680986000,667344000,775379000,722870000,602070000,608751000,609543000,641606000,552830000,702628000,679538000,856533000,906093000,908193000,1238960000,775080000,946630000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10540000,3611000,4103000,4704000,5220000,5984000,6534000,7116000,7752000,8285000,8971000,9102000,12315000,12757000,13283000,13806000,14348000,79731000,78144000,91000000
70,Total Liabilities & Equity,2931500000,2963700000,3408800000,5033900000,5204800000,5430700000,3592400000,3281300000,3281100000,3780900000,4225200000,3453300000,3730300000,4802800000,5210900000,6300231000,8364059000,9690528000,9222155000,658432000,685690000,672564000,781363000,729404000,609186000,616503000,617828000,650577000,561932000,714943000,692295000,869816000,919899000,922541000,1318691000,853224000,1037630000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884219/000088421995000022/0000884219-95-000022-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884219/000095015304000586/0000950153-04-000586-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012405001493/0000950124-05-001493-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015306000542/0000950153-06-000542-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015307000453/0000950153-07-000453-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015308000420/0000950153-08-000420-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015309000167/0000950153-09-000167-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012310022112/0000950123-10-022112-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012311022158/0000950123-11-022158-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000119312512106491/0001193125-12-106491-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000119312513101356/0001193125-13-101356-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000088421914000003/0000884219-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000088421915000005/0000884219-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459016014544/0001564590-16-014544-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459017003489/0001564590-17-003489-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459018003850/0001564590-18-003850-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459019004984/0001564590-19-004984-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459020006825/0001564590-20-006825-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459021010008/0001564590-21-010008-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095017022002088/0000950170-22-002088-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,108700000,16400000,-57600000,-81500000,120500000,140300000,-16600000,28400000,89300000,150600000,347600000,144492000,51134000,76094000,113902000,-56002000,37754000,63554000,44597000,43373000,-104711000,443000,9210000,5897000,21555000,52354000,26606000,42269000,57707000,48919000,20717000,-374094000,-94452000
74,Depreciation and Amortization,- -,- -,- -,- -,85100000,87200000,108200000,112300000,100200000,109900000,114900000,74400000,78500000,85900000,63000000,68600000,69096000,51483000,88851000,23370000,22113000,19804000,22893000,28048000,28269000,28252000,29126000,30731000,28615000,30792000,35231000,42743000,55114000,56842000,58964000,56565000,53750000
75,Deferred Income Tax,- -,- -,- -,- -,11200000,24200000,-12600000,-7700000,35900000,19400000,-41300000,8700000,800000,-900000,2700000,12705000,-36480000,4369000,29895000,1745000,11809000,4593000,-4148000,6267000,-8349000,744000,-924000,11274000,1404000,-9731000,469000,7672000,26049000,5350000,-10398000,15097000,6012000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6246000,3093000,3518000,4413000,7232000,5221000,2930000,3848000,8038000,10969000,4870000,7190000,2653000,7727000
77,Change in Working Capital,- -,- -,- -,- -,-19300000,-80700000,-100100000,32600000,-310400000,-116400000,-264700000,-251700000,-381200000,-842800000,-446000000,-1583519000,-1995598000,-1278356000,2186761000,5741496000,41014000,42836000,-37069000,158000,11925000,-11054000,-31760000,-442000,-39995000,-10390000,-27407000,-179773000,47381000,-52992000,-112100000,281408000,-14115000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
