,https://roic.ai/company/AROC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,0.1931,0.1748,0.1521,0.1443,0.1979,0.2056,0.1975,0.1015,-0.2826,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-34327000,-31919000,-23116000,-35754000,-87787000,-39745000,-57255000,-205043000,- -,-422734000,-269898000,-359965000,-273404000,-100881000,-155604000,-248201000,-193115000,-118306000,-128255000,-144978000,-285521000,10744000
20,Income Before Tax,- -,-7976000,8757000,80339000,54493000,48528000,86422000,129933000,52770000,-898277000,-197557000,-225170000,-347120000,-166387000,176447000,111865000,-106185000,-89421000,-42619000,35310000,58458000,-85982000,38961000
21,Income Before Tax Ratio,- -,-0.0585,0.0376,0.1181,0.0872,0.0705,0.1408,0.1371,0.0208,-0.2826,-0.0727,-0.0915,-0.1294,-0.0593,0.0558,0.0386,-0.1064,-0.1108,-0.0536,0.0390,0.0605,-0.0983,0.0499
22,Income Tax expense (Gain),- -,-1994000,3645000,30931000,20975000,17741000,31053000,42277000,11894000,37197000,51667000,-66606000,-13465000,-62375000,84719000,58657000,53189000,-24604000,-61083000,6150000,-39145000,-17537000,10744000
23,Net Income,- -,-5982000,-4391000,49408000,33518000,30787000,55369000,87656000,34569000,-947349000,-549407000,-101825000,-340608000,-39486000,123164000,98166000,-105818000,-54555000,18953000,21063000,97330000,-68445000,28217000
24,Net Income ratio,- -,-0.0438,-0.0189,0.0727,0.0536,0.0447,0.0902,0.0925,0.0136,-0.2980,-0.2023,-0.0414,-0.1269,-0.0141,0.0390,0.0339,-0.1060,-0.0676,0.0239,0.0233,0.1008,-0.0782,0.0361
25,EPS,- -,-17.94,-0.30,1.65,1.09,1.00,1.74,2.93,0.76,-14.67,-8.95,-1.64,-5.44,-0.62,1.88,1.46,-1.55,-0.80,0.26,0.19,0.70,-0.46,0.19
26,EPS Diluted,- -,-17.94,-0.30,1.63,1.08,0.98,1.69,2.82,0.75,-14.67,-8.95,-1.64,-5.44,-0.62,1.86,1.40,-1.55,-0.80,0.26,0.19,0.70,-0.46,0.19
27,Weighted Average Shares Outstanding,- -,333520000,14760000,30008000,30665000,30848000,31773000,29911000,45580000,64580000,61406000,61995000,62624000,63436000,65655000,66234000,68433000,68993000,69552000,109305000,137492000,150828000,150828000
28,Weighted Average Shares Outstanding Diluted,- -,333520000,15079000,30250000,30928000,31283000,32758000,31032000,46300000,64580000,61406000,61995000,62624000,63436000,66204000,69090000,68433000,68993000,69664000,109421000,137528000,150828000,150828000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389050/000095012908001356/h54306e10vk.htm,https://www.sec.gov/Archives/edgar/data/1389050/000095012909000640/0000950129-09-000640-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000095012310017186/0000950123-10-017186-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000095012311017946/h78163e10vk.htm,https://www.sec.gov/Archives/edgar/data/1389050/000119312512075836/0001193125-12-075836-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000110465913014349/0001104659-13-014349-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000110465914013254/a13-25567_110k.htm,https://www.sec.gov/Archives/edgar/data/1389050/000110465915014353/a14-24878_110k.htm,https://www.sec.gov/Archives/edgar/data/1389050/000138905016000047/0001389050-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905017000028/0001389050-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905018000006/0001389050-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905019000021/0001389050-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905020000028/0001389050-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905021000011/0001389050-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1389050/000138905022000007/0001389050-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1403000,12279000,6176000,71693000,121189000,39262000,46997000,149224000,126391000,83745000,44616000,22039000,34601000,35665000,39739000,1563000,3134000,10536000,5610000,3685000,1097000,1569000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1403000,12279000,6176000,71693000,121189000,39262000,46997000,149224000,126391000,83745000,44616000,22039000,34601000,35665000,39739000,1563000,3134000,10536000,5610000,3685000,1097000,1569000
34,Net Receivables,- -,17267000,91016000,114839000,80287000,80296000,121642000,193968000,516072000,625356000,627685000,429047000,585185000,610645000,593967000,678980000,147786000,111746000,113416000,163247000,144865000,104425000,104931000
35,Inventory,- -,8727000,120939000,102748000,91332000,89968000,108273000,175812000,411436000,527099000,489982000,396287000,361685000,387710000,413927000,403571000,129411000,93801000,90691000,76333000,74467000,63670000,72869000
36,Other Current Assets,- -,1798000,20284000,27643000,18148000,19757000,31421000,33411000,399872000,416284000,217749000,290654000,155018000,205012000,177572000,143386000,6543000,7004000,6520000,11006000,9186000,12819000,7201000
37,Total Current Assets,- -,29195000,244518000,251406000,261460000,311210000,300598000,450188000,1476604000,1695130000,1419161000,1160604000,1123927000,1237968000,1221131000,1265676000,285303000,215685000,221163000,256196000,232203000,182011000,186570000
38,PP&E,- -,330349000,589625000,616582000,1276794000,1244777000,1359841000,1446510000,3533505000,3673866000,3404354000,3092652000,3004452000,2842031000,2820272000,3326892000,2267788000,2079099000,2076927000,2171038000,2577299000,2408910000,2244017000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,412122000,1455881000,340626000,195164000,196680000,- -,- -,- -,3738000,- -,- -,- -,- -,100598000,- -,- -
40,Intangible Assets,- -,99250000,294358000,380559000,387711000,390371000,403261000,- -,311457000,299072000,273883000,282428000,118424000,84993000,69243000,141703000,100822000,86697000,68872000,52370000,77471000,61531000,47887000
41,Intangible Assets,- -,99250000,294358000,380559000,387711000,390371000,403261000,412122000,1767338000,639698000,469047000,479108000,118424000,84993000,69243000,145441000,100822000,86697000,68872000,52370000,178069000,61531000,47887000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,83933000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,12133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,27789000,31102000,28050000,23540000,- -,- -,- -,- -,36642000,56934000,47879000
44,Other Non-Current Assets,- -,11148000,35622000,28618000,27922000,26093000,131872000,33211000,86076000,- -,386000,9172000,86070000,58753000,88461000,95598000,52850000,33298000,41045000,72911000,85762000,70336000,63613000
45,Total Non-Current Assets,- -,440747000,931738000,1025759000,1692427000,1661241000,1894974000,1891843000,5386919000,4397497000,3873787000,3580932000,3236735000,3016879000,3006026000,3591471000,2421460000,2199094000,2186844000,2296319000,2877772000,2597711000,2403396000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,469942000,1176256000,1277165000,1953887000,1972451000,2195572000,2342031000,6863523000,6092627000,5292948000,4741536000,4360662000,4254847000,4227157000,4857147000,2706763000,2414779000,2408007000,2552515000,3109975000,2779722000,2589966000
48,Accounts Payable,- -,4206000,67450000,42961000,43210000,44948000,55014000,92063000,309132000,224174000,287582000,157206000,216327000,232165000,177289000,203306000,52430000,32529000,54585000,54939000,60215000,30819000,38920000
49,Short-Term Debt,- -,10911000,3452000,3801000,4322000,14369000,18249000,14916000,997000,101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106907000,77882000,68213000,15006000,13742000,15661000,11820000,11019000,11414000,9957000
51,Deferred Revenue,- -,- -,- -,- -,- -,25596000,36367000,93332000,169830000,197606000,206160000,124282000,84156000,259481000,181235000,145587000,2201000,3451000,4858000,16509000,10683000,3880000,3817000
52,Other Current Liabilities,- -,6869000,75853000,64721000,55523000,51698000,46254000,64898000,326163000,495340000,343291000,476715000,369398000,282893000,282182000,261825000,80473000,70548000,71413000,79294000,67845000,76993000,82517000
53,Total Current Liabilities,- -,21986000,146755000,111483000,103055000,136611000,155884000,265209000,806122000,917221000,837033000,758203000,669881000,774539000,640706000,610718000,135104000,106528000,130856000,150742000,138743000,111692000,125254000
54,Long-Term Debt,- -,373279000,205569000,219327000,937653000,869076000,905092000,815638000,2332927000,2512328000,2260936000,1897147000,1773039000,1564923000,1502155000,2026902000,1588465000,1441724000,1417053000,1529501000,1842549000,1705792000,1546765000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,90126000,127317000,148795000,149554000,186729000,205133000,281898000,225798000,182126000,120424000,124847000,120934000,198353000,187445000,178566000,167114000,97943000,2842000,1289000,725000,1136000
57,Other Non-Current Liabilities,- -,- -,81232000,118694000,19933000,17975000,16375000,17541000,89012000,209203000,195994000,163338000,112853000,92192000,72515000,79037000,17369000,14485000,26537000,27856000,41431000,25956000,25373000
58,Total Non-Current Liabilities,- -,373279000,376927000,465338000,1106381000,1036605000,1108196000,1038312000,2703837000,2947329000,2639056000,2180909000,2010739000,1778049000,1773023000,2293384000,1784400000,1623323000,1541533000,1560199000,1885269000,1732473000,1573274000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3180000,997000,285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16094000,16925000,15940000
61,Total Liabilities,- -,395265000,523682000,576821000,1209436000,1173216000,1264080000,1303521000,3509959000,3864550000,3476089000,2939112000,2680620000,2552588000,2413729000,2904102000,1919504000,1729851000,1672389000,1710941000,2024012000,1844165000,1698528000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,285000,306000,308000,313000,49000,331000,666000,672000,682000,691000,704000,713000,725000,738000,750000,762000,769000,1358000,1587000,1600000,1615000
64,Retained Earnings,- -,-7913000,-12304000,37104000,70622000,101409000,197995000,278044000,-68733000,-1016082000,-1565489000,-1667314000,-2007922000,-2047408000,-1924244000,-1866397000,-2013799000,-2227214000,-2241243000,-2263677000,-2244877000,-2401988000,-2463114000
65,Other Comprehensive Income/Loss,- -,-38466000,-55634000,-86647000,-50953000,-36600000,-12428000,-11764000,13004000,-94767000,-27879000,-20225000,6059000,23909000,30078000,15865000,-1570000,-1678000,1197000,5773000,-1387000,-5006000,-984000
66,Other Total Stockholders Equity,- -,121053000,720227000,749581000,724474000,734113000,- -,649819000,3217323000,3153963000,3232683000,3296296000,3438395000,3501399000,3555531000,3647054000,2748529000,2947096000,3016326000,3098120000,3330640000,3340951000,3353921000
67,Total Stockholders Equity,- -,74677000,652574000,700344000,744451000,799235000,931492000,916430000,3162260000,2043786000,1639997000,1609448000,1437236000,1478613000,1662090000,1797260000,733910000,718966000,777049000,841574000,1085963000,935557000,891438000
68,Total Liabilities And Stockholders Equity,- -,469942000,1176256000,1277165000,1953887000,1972451000,2195572000,2219951000,6672219000,5908336000,5116086000,4548560000,4117856000,4031201000,4075819000,4701362000,2653414000,2448817000,2449438000,2552515000,3109975000,2779722000,2589966000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,122080000,191304000,184291000,176862000,192976000,242806000,223646000,151338000,155785000,53349000,-34038000,-41431000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,469942000,1176256000,1277165000,1953887000,1972451000,2195572000,2342031000,6863523000,6092627000,5292948000,4741536000,4360662000,4254847000,4227157000,4857147000,2706763000,2414779000,2408007000,2552515000,3109975000,2779722000,2589966000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389050/000095012908001356/h54306e10vk.htm,https://www.sec.gov/Archives/edgar/data/1389050/000095012909000640/0000950129-09-000640-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000095012310017186/0000950123-10-017186-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000095012311017946/h78163e10vk.htm,https://www.sec.gov/Archives/edgar/data/1389050/000119312512075836/0001193125-12-075836-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000110465913014349/0001104659-13-014349-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000110465914013254/a13-25567_110k.htm,https://www.sec.gov/Archives/edgar/data/1389050/000110465915014353/a14-24878_110k.htm,https://www.sec.gov/Archives/edgar/data/1389050/000138905016000047/0001389050-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905017000028/0001389050-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905018000006/0001389050-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905019000021/0001389050-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905020000028/0001389050-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905021000011/0001389050-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1389050/000138905022000007/0001389050-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-5982000,-4391000,49408000,33518000,30787000,55369000,87656000,34569000,-947349000,-549407000,-101825000,-340608000,-39486000,123164000,98166000,-105818000,-54555000,18953000,21063000,97330000,-68445000,28217000
74,Depreciation and Amortization,- -,27168000,34963000,52015000,67686000,90533000,82892000,124642000,273836000,373602000,352785000,401478000,365870000,350847000,327505000,386071000,229127000,208986000,188563000,174946000,191015000,196615000,182826000
75,Deferred Income Tax,- -,-2921000,108161000,20827000,18058000,7811000,25085000,26154000,-43214000,-47561000,-6684000,-129259000,-52389000,-93884000,21862000,-8595000,49991000,-25199000,-59760000,5238000,-39597000,-17764000,10379000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,17325000,24749000,23266000,20018000,15381000,16248000,19016000,10029000,8969000,8461000,7388000,8105000,10551000,11336000
77,Change in Working Capital,- -,29003000,90554000,42160000,18482000,16194000,28878000,40265000,485503000,107427000,-195781000,-179727000,51645000,9383000,116996000,74533000,-504759000,-41042000,-18850000,15147000,-11994000,-23141000,-9535000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112198000,147051000,36421000,-58303000,-10298000,-31384000,-88549000,9023000,32403000,-6637000,-21028000,3248000,36395000,4445000
79,Inventory,- -,1545000,-19272000,40048000,11871000,4999000,-12582000,-67224000,93893000,-125630000,39344000,97093000,26100000,-34926000,-27269000,17115000,16276000,32478000,-236000,4210000,6036000,3972000,-12989000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7422000,-5500000,30196000,-34143000,-7555000,-626000,-21885000,9616000,14964000,-12728000,-15089000,5269000
81,Other Working Capital,- -,7209000,97763000,139923000,158405000,174599000,144714000,184979000,670482000,777909000,582128000,402401000,454046000,463429000,580425000,654958000,150199000,109157000,90307000,105454000,93460000,70319000,-6895000
82,Other Non-Cash Items,- -,-124000,-140656000,-31332000,49326000,20753000,-47351000,-66506000,-510984000,980673000,851856000,350442000,75788000,147684000,-250071000,-189822000,749010000,176913000,64549000,2165000,45288000,237462000,14177000
83,Cash Provided by Operating Activities,- -,47144000,88631000,133078000,187070000,166078000,144873000,212211000,239710000,484117000,477518000,364375000,120324000,389925000,355704000,379369000,427580000,274072000,201916000,225947000,290147000,335278000,237400000
84,CAPEX,- -,-60002000,-68006000,-188019000,-120751000,-86557000,-118085000,-219309000,-352190000,-509270000,-368901000,-235990000,-282791000,-428731000,-391725000,-541695000,-256142000,-117572000,-221693000,-319102000,-385198000,-140302000,-97885000
85,Acquisitions Net,- -,-5543000,-464761000,-160021000,-1536000,-761000,- -,-6286000,25873000,-133590000,5642000,- -,-3000000,51483000,19000000,-478686000,- -,-13779000,- -,- -,-214019000,33651000,83345000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-100000000,- -,- -,- -,-1959000,-609000,-471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289908000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,4442000,529449000,187784000,14583000,40468000,7621000,12408000,24049000,-449311000,-304683000,7009000,-235713000,-256934000,-215451000,-451165000,-328879000,-75680000,-174739000,-284923000,-300541000,-118682000,-67238000
89,Cash Used for Investing Activites,- -,-61103000,-3318000,-160256000,-107704000,-46850000,-210464000,-213187000,-302268000,-582901000,-301000000,6400000,50724000,-205451000,-196451000,-929851000,-328879000,-89459000,-174739000,-284923000,-514560000,-85031000,16107000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1003978000,-1025078000,-2490431000,-2036171000,-2106639000,-2195750000,-1742507000,-1928104000,-675000000,-1270194000,-605636000,-2071750000,-1204375000,-863251000
91,Common Stock Issued,- -,30000,151790000,36285000,1098000,7578000,5995000,136507000,27271000,4113000,2845000,2224000,1887000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3401000
92,Common Stock Repurchased,- -,-145000,-11000,-800000,- -,- -,- -,-36833000,-99998000,-100961000,-976000,-2061000,-2941000,-2422000,-4539000,-7044000,-3985000,-1515000,-2788000,-1759000,-2007000,-1804000,-2465000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14489000,- -,- -,- -,- -,- -,-40319000,-41584000,-34921000,-34063000,-58288000,-78530000,-88832000,-89343000
94,Other Financing Activites,- -,12550000,-227061000,-14410000,-14947000,-77310000,59271000,-91294000,208454000,1201713000,799205000,2082236000,1846607000,1937771000,2043587000,2348351000,1876157000,528394000,1287270000,719733000,2374775000,1042176000,698623000
95,Cash Used/Provided by Financing Activities,- -,12435000,-75282000,21075000,-13849000,-69732000,65266000,8380000,135727000,86398000,-224004000,-408032000,-190618000,-171290000,-156702000,558481000,-97516000,-183042000,-19775000,54050000,222488000,-252835000,-253035000
96,Effect of Forex Changes on Cash,- -,- -,845000,- -,- -,- -,864000,331000,2769000,-10447000,7325000,-1872000,-3007000,-486000,-1487000,-3925000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1524000,10876000,-6103000,65517000,49496000,539000,7735000,75938000,-22833000,-40161000,-39129000,-22577000,12698000,1064000,4074000,1185000,1571000,7402000,-4926000,-1925000,-2588000,472000
98,Cash at the End of Period,- -,1403000,12279000,6176000,71693000,121189000,39262000,46997000,149224000,126391000,83745000,44616000,22039000,34601000,35665000,39739000,1563000,3134000,10536000,5610000,3685000,1097000,1569000
99,Cash at the Beginning of Period,- -,2927000,1403000,12279000,6176000,71693000,38723000,39262000,73286000,149224000,123906000,83745000,44616000,21903000,34601000,35665000,378000,1563000,3134000,10536000,5610000,3685000,1097000
100,Free Cash Flow,- -,-12858000,20625000,-54941000,66319000,79521000,26788000,-7098000,-112480000,-25153000,108617000,128385000,-162467000,-38806000,-36021000,-162326000,171438000,156500000,-19777000,-93155000,-95051000,194976000,139515000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389050/000095012908001356/h54306e10vk.htm,https://www.sec.gov/Archives/edgar/data/1389050/000095012909000640/0000950129-09-000640-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000095012310017186/0000950123-10-017186-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000095012311017946/h78163e10vk.htm,https://www.sec.gov/Archives/edgar/data/1389050/000119312512075836/0001193125-12-075836-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000110465913014349/0001104659-13-014349-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000110465914013254/a13-25567_110k.htm,https://www.sec.gov/Archives/edgar/data/1389050/000110465915014353/a14-24878_110k.htm,https://www.sec.gov/Archives/edgar/data/1389050/000138905016000047/0001389050-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905017000028/0001389050-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905018000006/0001389050-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905019000021/0001389050-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905020000028/0001389050-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1389050/000138905021000011/0001389050-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1389050/000138905022000007/0001389050-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
