,https://roic.ai/company/TORM,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
10,Operating Expenses,1500000,2100000,2600000,2700000,3500000,4200000,11900000,3900000,2900000,2800000,3000000,2900000,3100000,4352530,3487000,3432481,4153134,5075000,4870000,4400000,4523000,5694000,3450000,3955000,4926000,5413000,5374000,5008000,4659000,4353000,4881000
11,COGS and Expenses,8300000,11900000,13400000,13400000,11900000,14000000,22000000,12000000,9800000,10100000,10200000,10800000,10700000,15610083,14894325000,15677467000,18297531000,28931000,31200000,25338000,27291000,26949000,23797000,28213000,36653000,36653000,47940,45119000,39842000,37714000,40293000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53225,- -,- -,- -,- -,10000,17000,18000,2000,2000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,500000,400000,- -,500000,1300000,1600000,1400000,600000,300000,- -,- -,- -,442806,345000,316840,294579,228000,412000,547000,684000,524000,558000,439000,471000,471000,389000,354000,208000,177000,112000
14,Depreciation and Amortization,200000,300000,400000,400000,700000,1100000,1400000,800000,700000,600000,600000,500000,500000,695686,856000,912578,1244233,1200000,1412000,1496000,1785000,1954000,1812000,1903000,2078000,2470000,3157000,3445000,2863000,2561000,2774000
15,EBITDA,1900000,3900000,3800000,1900000,300000,500000,-5900000,-2400000,1900000,1600000,1500000,1500000,1500000,489112,-576627000,309921418,1265378812,2715000,2778000,2138000,2498000,-2465000,2238000,4646000,6433000,6825000,3543560,3058000,-2983000,3289000,1436000
16,EBITDA ratio,0.1863,0.2484,0.2317,0.1250,0.0248,0.0397,-0.4184,-0.2069,0.1727,0.1416,0.1339,0.1282,0.1293,0.0318,-0.0392,0.0190,0.0524,0.0891,0.0850,0.0820,0.0893,-0.0974,0.0925,0.1498,0.1568,0.1664,76.9988,0.0654,-0.0805,0.0855,0.0369
17,Operating Income,1900000,3800000,3000000,1800000,200000,-1400000,-7900000,-400000,1200000,1200000,1000000,900000,900000,-231745,-203000,591969,1676780,1490000,1481000,740000,670000,-4398000,361000,2803000,4369000,6573000,-1929000,-529000,-5733000,740000,-1342000
18,Operating Income ratio,0.1863,0.2420,0.1829,0.1184,0.0165,-0.1111,-0.5603,-0.0345,0.1091,0.1062,0.0893,0.0769,0.0776,-0.0151,-0.0000,0.0000,0.0001,0.0489,0.0453,0.0284,0.0240,-0.1738,0.0149,0.0904,0.1065,0.1602,-41.9156,-0.0113,-0.1547,0.0192,-0.0344
19,Total Other Income Expenses (Gains),-200000,-700000,- -,-300000,-1100000,-500000,200000,-4200000,- -,- -,100000,- -,- -,-417635,-577625000,308100031,1322771220,-203000,-527000,-645000,-641000,-545000,-493000,-499000,-485000,-2689000,1926560,-212000,-321000,-189000,-108000
20,Income Before Tax,1700000,3100000,3000000,1500000,-900000,-1900000,- -,-4600000,- -,- -,- -,- -,- -,-649380,-577828000,308692000,1324448000,1287000,954000,95000,29000,-4943000,-132000,2304000,3884000,3884000,-2440,-741000,-6054000,551000,-1450000
21,Income Before Tax Ratio,0.1667,0.1975,0.1829,0.0987,-0.0744,-0.1508,- -,-0.3966,- -,- -,- -,- -,- -,-0.0422,-0.0393,0.0190,0.0549,0.0422,0.0292,0.0036,0.0010,-0.1953,-0.0055,0.0743,0.0947,0.0947,-0.0530,-0.0159,-0.1634,0.0143,-0.0372
22,Income Tax expense (Gain),700000,1100000,1100000,500000,-100000,100000,- -,-800000,- -,- -,- -,- -,- -,411,- -,- -,- -,183000,471000,2000,-42000,19000,4000,16000,48000,48000,-824,-187000,310000,107000,-314000
23,Net Income,1000000,2000000,1900000,1000000,-800000,-2000000,-8900000,-3800000,600000,700000,900000,1000000,1000000,-649791,-577828000,308692000,1263840000,1104000,483000,93000,71000,-4962000,-136000,2288000,3836000,3836000,-1616,-554000,-6364000,444000,-1136000
24,Net Income ratio,0.0980,0.1274,0.1159,0.0658,-0.0661,-0.1587,-0.6312,-0.3276,0.0545,0.0619,0.0804,0.0855,0.0862,-0.0423,-0.0393,0.0190,0.0524,0.0362,0.0148,0.0036,0.0025,-0.1961,-0.0056,0.0738,0.0935,0.0935,-0.0351,-0.0119,-0.1717,0.0115,-0.0292
25,EPS,2.35,4.70,2.85,1.50,-1.15,-2.75,-12.10,-5.25,0.80,0.85,1.00,1.05,1.05,-0.65,-0.50,0.25,0.90,0.70,0.25,0.06,0.05,-3.20,-0.50,1.17,1.84,1.81,-0.54,-0.18,-2.11,0.13,-0.34
26,EPS Diluted,2.25,4.40,2.75,1.50,-1.15,-2.75,-12.10,-5.25,0.80,0.85,1.00,1.05,1.05,-0.65,-0.50,0.25,0.85,0.65,0.25,0.06,0.05,-3.20,-0.50,0.83,1.21,1.49,-0.54,-0.18,-2.11,0.13,-0.33
27,Weighted Average Shares Outstanding,425532,425532,666667,666667,695652,727273,735537,723810,748339,846686,931497,931497,943618,1038964,1101333,1230760,1411829,1547000,1562400,1567200,1569800,1576200,378200,1904000,2079000,2781000,3002000,3014000,3014000,3376000,3376000
28,Weighted Average Shares Outstanding Diluted,444444,454545,690909,666667,695652,727273,735537,723810,748339,846686,934076,937674,953000,1038964,1101333,1233375,1448010,1606800,1625800,1574600,1577000,1576200,378200,2785000,3235000,3394000,3002000,3014000,3014000,3454000,3454000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842295/000084229502000009/0000842295-02-000009-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229503000031/0000842295-03-000031-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229504000024/0000842295-04-000024-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229505000013/0000842295-05-000013-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229506000022/0000842295-06-000022-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229507000033/0000842295-07-000033-index.htm,- -,https://www.sec.gov/Archives/edgar/data/842295/000084229509000015/0000842295-09-000015-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229510000024/0000842295-10-000024-index.html,https://www.sec.gov/Archives/edgar/data/842295/000084229511000014/0000842295-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229512000012/0000842295-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/842295/000084229513000010/0000842295-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/842295/000084229514000013/0000842295-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000100329715000155/0001003297-15-000155-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000100329716000614/0001003297-16-000614-index.html,https://www.sec.gov/Archives/edgar/data/842295/000100329717000052/0001003297-17-000052-index.html,https://www.sec.gov/Archives/edgar/data/842295/000100329718000083/0001003297-18-000083-index.html
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128159000,204466000,120911000,381337000,341000,1280000,896000,376000,191000,1002000,2559000,3381000,2799000,2920,2657000,813000,3716000,3609000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128159000,204466000,120911000,381337000,341000,1280000,896000,376000,191000,1002000,2559000,3381000,2799000,2920,2748000,813000,3716000,3609000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1936143000,1865129000,2348330000,5072334000,5609000,3859000,3593000,3791000,2310000,3380000,3888000,4921000,3972000,4526,4915000,3534000,3557000,4323000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5570134000,4987761000,4614787000,4895126000,5977000,7286000,10949000,11392000,11839000,9101000,11021000,18673000,22895000,20753,20175000,13988000,11776000,9136000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209798000,172312000,532864000,- -,- -,300000,555000,578000,444000,540000,728000,832000,1822000,596,752000,878000,742000,848000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7844234000,7229668000,7616892000,10348797000,11927000,12725000,15993000,16137000,14784000,14023000,18196000,27807000,31488000,28795,28590000,19213000,19791000,17916000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10366692000,12687448000,12455767000,13469509000,18988000,19535000,- -,20421000,19515000,18800000,18952000,20138000,22933000,23799,18889000,17472000,15907000,18389000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282996000,1282996000,1282996000,1981000,1729000,1927000,2131000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282996000,1282996000,1282996000,1981000,1729000,1927000,2131000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000,173000,66,135000,581000,550000,313000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,- -,- -,- -,-24000,-148000,-43,549000,-558000,-519000,-289000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10366692000,13970444000,13738763000,14752505000,20969000,21264000,1927000,22599000,19515000,18800000,18952000,20160000,22958000,23822,19573000,17495000,15938000,18413000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18210926000,21200112000,21355655000,25101302000,32896000,33989000,17920000,38736000,34299000,32823000,37148000,47967000,54446000,52617,48163000,36708000,35729000,36329000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,565618000,727620000,1244937000,2737800000,3281000,1879000,2036000,1992000,2268000,1452000,2544000,3222000,4608000,3279,3318000,2432000,2122000,2672000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4323883,5213000,4548487,4495947,2272000,1469000,1856000,5563000,5290000,3888000,1626000,3818000,3344000,2529000,4776000,2772000,1348000,1109000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5105249117,6032123000,5186610513,3411646053,-1510000,1747000,2463000,1282000,1667000,1096000,1500000,3054000,2431000,-2521142,1832000,1007000,1136000,1232000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5675191000,6764956000,6436096000,6153942000,4043000,5095000,6355000,8837000,9225000,6436000,5670000,10094000,10383000,11137,9926000,6211000,4606000,5013000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,608577000,681508000,397202000,744244000,1358000,1747000,2062000,2891000,1611000,1036000,1436000,2668000,2316000,2918,1607000,3479000,2725000,2378000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,603000,- -,- -,- -,619000,1007000,18,1779000,824000,650000,65000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,608577000,681508000,397202000,744244000,1358000,1747000,2062000,3494000,1611000,1036000,1436000,3287000,3323000,2936,3386000,4303000,3375000,2443000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1737270000,4189190000,1589718000,- -,- -,7735000,8889000,- -,4208000,4261000,6059000,7735000,6658000,- -,- -,- -,- -,4907000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286000,254000,213000,227000,189000,64000,62000,45000,12000,- -,- -,- -,99000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6803884000,10272638000,7628612000,-5409698000,-2685000,11083000,13182000,12331000,11822000,9661000,10293000,14542000,13718000,14073,12151000,9952000,7458000,7477000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,2000,2000,2000,2000,2000,2000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1319797000,- -,1721397000,1783334000,1946000,1957000,1960000,1967000,2363000,2363000,2416000,2999000,3733000,3765,3767000,3767000,4426000,4426000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2589000,- -,- -,- -,-1759000,3269000,1653,1099000,-5265000,-4821000,-5957000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68513,79703,1774000,1159000,2815000,4151000,3236000,3443000,4676000,3963000,4709000,3761000,1643000,-1382000,-1878000,-292000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10099172000,11169141000,-1707596803,-1767490902,18991000,19834000,20052000,22874000,16914000,17407000,19784000,28222000,29017000,34777582,29503000,29636000,30544000,30675000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11418969000,11169141000,13868710,15922801,22713000,22952000,24829000,26405000,22515000,23215000,26878000,33425000,40728000,38544000,36012000,26756000,28271000,28852000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18222853000,21441779000,7642480710,-5393775199,20028000,34035000,38011000,38736000,34337000,32876000,37171000,47967000,54446000,38558073,48163000,36708000,35729000,36329000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11927000,-241667000,13713174290,30495077199,12868000,-46000,-20091000,- -,-38000,-53000,-23000,- -,- -,-38505456,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18210926000,21200112000,21355655000,25101302000,32896000,33989000,17920000,38736000,34299000,32823000,37148000,47967000,54446000,52617,48163000,36708000,35729000,36329000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/842295/000084229502000009/0000842295-02-000009-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229503000031/0000842295-03-000031-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229504000024/0000842295-04-000024-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229505000013/0000842295-05-000013-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229506000022/0000842295-06-000022-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229507000033/0000842295-07-000033-index.htm,- -,https://www.sec.gov/Archives/edgar/data/842295/000084229509000015/0000842295-09-000015-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229510000024/0000842295-10-000024-index.html,https://www.sec.gov/Archives/edgar/data/842295/000084229511000014/0000842295-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000084229512000012/0000842295-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/842295/000084229513000010/0000842295-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/842295/000084229514000013/0000842295-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000100329715000155/0001003297-15-000155-index.htm,https://www.sec.gov/Archives/edgar/data/842295/000100329716000614/0001003297-16-000614-index.html,https://www.sec.gov/Archives/edgar/data/842295/000100329717000052/0001003297-17-000052-index.html,https://www.sec.gov/Archives/edgar/data/842295/000100329718000083/0001003297-18-000083-index.html
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,2000000,1900000,1000000,-800000,-2000000,-8900000,-3800000,600000,700000,900000,1000000,1000000,-649791,-577828000,308692000,1263840000,1104000,483000,93000,71000,-4962000,-136000,2288000,3836000,3836000,-1616,-554000,-6364000,444000,-1136000
74,Depreciation and Amortization,- -,300000,400000,400000,700000,1100000,1400000,800000,700000,600000,600000,500000,500000,695686,856000,912578,1244233,1200000,1412000,1496000,1785000,1954000,1812000,1903000,2078000,2470000,3157000,3445000,2863000,2561000,2774000
75,Deferred Income Tax,- -,- -,- -,100000,300000,- -,-400000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000,466000,77000,6000,19000,4000,9000,-9000,120000,-1088000,-723000,378000,-144000,-98000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000,266000,91000,59000,90000,109000,128000,133000,170000,131000
77,Change in Working Capital,- -,- -,- -,1400000,-2800000,- -,2100000,500000,-500000,-600000,-800000,-700000,-500000,1525889,890000,-65733,-1265245,-670000,-193000,-2736000,-1123000,1207000,526000,-716000,-7948000,-2054000,-1048000,146000,1493000,2036000,2153000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1049000,-762000,-545000,-1081000,936000,-534000,-556000,861000,182000,- -
79,Inventory,- -,- -,- -,800000,-3200000,700000,2300000,1400000,-1100000,400000,-1200000,-400000,-1200000,2270563,582000,372974,-280339,-1054000,-1037000,-3396000,61000,-685000,2807000,-1449000,-7845000,-3777000,-5000,-343000,2246000,1937000,3235000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-2300000,-2300000,200000,700000,200000,6800000,3100000,100000,200000,100000,200000,- -,11543,577263000,-308387650,-1262236062,541000,375000,174000,160000,3134000,18000,93000,66000,1277000,-268384,2113000,4996000,-235000,55000
83,Cash Provided by Operating Activities,- -,- -,- -,3100000,-1900000,-700000,1000000,500000,900000,900000,800000,1000000,1000000,1583327,1181000,1151195,1582926,2326000,2543000,-896000,899000,1497000,2490000,3668000,-1918000,5739000,860000,4555000,3499000,4832000,3879000
84,CAPEX,- -,- -,- -,-400000,-3700000,-3700000,-1400000,- -,-200000,-200000,-200000,-300000,-700000,-523333,-1068000,-580897,-2157975,-5457000,-2585000,-759000,-1037000,-2396000,-922000,-1645000,-3535000,-4881000,-4230000,-2064000,-5662000,-1203000,-3099000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3893178,-2799000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-10400000,-400000,-4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,13100000,- -,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-5600000,3300000,-100000,- -,1500000,- -,- -,- -,- -,600000,37360,1000,4342,6615,-208000,203000,3000,16000,4000,- -,18000,2000,7000,3000,- -,18000,2000,2000
89,Cash Used for Investing Activites,- -,- -,- -,-3300000,-800000,-3800000,-1400000,1500000,-200000,-200000,-200000,-300000,-100000,-4379151,-3866000,-576555,-2151360,-5665000,-2382000,-756000,-1021000,-2392000,-922000,-1627000,-3533000,-4874000,-4227000,-2064000,-5644000,-1201000,-3097000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3376000,-1730000,-3056000,-801000,-880000,-1473000,-13268000,-13575000,-3745000,-1295000
91,Common Stock Issued,- -,- -,- -,100000,100000,- -,- -,- -,- -,4000000,- -,- -,- -,9186,301000,364,72348,3590000,72000,25000,57000,1902000,- -,96000,3356000,198000,271000,12000,- -,1397000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000,-60000,-60000,-60000,-60000,-60000,-60000,-31000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,100000,2700000,4600000,800000,-100000,-2400000,-4100000,-400000,-600000,-400000,584920,2461000,-658559,756512,-190000,1180000,1206000,-372000,2407000,1218000,2316000,4067000,-909000,4781000,10986000,14439000,1787000,225000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,200000,2800000,4600000,800000,-100000,-2400000,-100000,-400000,-600000,-400000,594106,2762000,-658195,828860,3359000,1192000,1171000,-375000,873000,-572000,-704000,6591000,-1591000,3579000,-2270000,864000,-561000,-1070000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000,-414000,97000,-23000,-163000,-185000,220000,-318000,144000,-91000,-484000,-563000,-167000,181000
97,Net Change In Cash,- -,- -,- -,200000,2800000,4600000,800000,-100000,-2400000,-100000,-400000,-600000,600000,-2201718,76000,-83555,260426,-40000,939000,-384000,-520000,-185000,811000,1557000,822000,-582000,121000,-263000,-1844000,2903000,-107000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,128159,204000,120911,381337,341000,1280000,896000,376000,191000,1002000,2559000,3381000,2799000,2920000,2657000,813000,3716000,3609000
99,Cash at the Beginning of Period,- -,- -,- -,200000,200000,100000,200000,500000,2500000,800000,1500000,1700000,1700000,2329877,128000,204466,120911,381000,341000,1280000,896000,376000,191000,1002000,2559000,3381000,2799000,2920000,2657000,813000,3716000
100,Free Cash Flow,- -,- -,- -,2700000,-5600000,-4400000,-400000,500000,700000,700000,600000,700000,300000,1059994,113000,570298,-575049,-3131000,-42000,-1655000,-138000,-899000,1568000,2023000,-5453000,858000,-3370000,2491000,-2163000,3629000,780000
