,https://roic.ai/company/LCII,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763744/000116923205001646/d62943_10-k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420406009780/v037629_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420407012421/v068206.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420408015560/v107066_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420409013467/0001144204-09-013467-index.html,https://www.sec.gov/Archives/edgar/data/763744/000114420410012718/0001144204-10-012718-index.html,https://www.sec.gov/Archives/edgar/data/763744/000114420411014319/v214397_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000143774912002281/0001437749-12-002281-index.html,https://www.sec.gov/Archives/edgar/data/763744/000143774913002733/0001437749-13-002733-index.html,https://www.sec.gov/Archives/edgar/data/763744/000143774914003110/dw20140227_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374415000037/dw-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374416000351/0000763744-16-000351-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374417000049/0000763744-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374418000042/0000763744-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374419000018/0000763744-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374420000030/0000763744-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374421000019/0000763744-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374422000016/0000763744-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1600000,1800000,2400000,800000,900000,100000,- -,- -,300000,500000,4000000,1500000,1000000,2700000,5100000,550000,1247000,316000,8781000,2424000,5085000,6785000,56213000,8692000,52365000,38880000,6584000,9939000,66280000,4000,12305000,86170000,26049000,14928000,35359000,51821000,62896000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12995000,4999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1600000,1800000,2400000,800000,900000,100000,- -,- -,300000,500000,4000000,1500000,1000000,2700000,5100000,550000,1247000,316000,8781000,2424000,5085000,6785000,56213000,8692000,65360000,43879000,6584000,9939000,66280000,4000,12305000,86170000,26049000,14928000,35359000,51821000,62896000
34,Net Receivables,- -,17900000,8800000,12500000,11600000,14400000,10400000,11700000,- -,9500000,3100000,4200000,4900000,9200000,13600000,11300000,13451000,10733000,12969000,14844000,26099000,33583000,17828000,15740000,7913000,12541000,12890000,22620000,21846000,31015000,37987000,41509000,57374000,82157000,121812000,199976000,268625000,319782000
35,Inventory,- -,14000000,9400000,15300000,15800000,19100000,13000000,13500000,- -,19300000,10500000,11000000,22700000,29500000,35400000,33400000,33703000,27898000,37143000,37311000,72332000,100617000,83076000,76279000,93934000,57757000,69328000,92052000,97367000,101211000,132492000,170834000,188743000,274748000,340615000,393607000,493899000,1095907000
36,Other Current Assets,- -,1300000,10600000,9400000,10100000,11400000,10100000,1100000,- -,2700000,2000000,1500000,2600000,6600000,6000000,4400000,3476000,4427000,9829000,7478000,10552000,11812000,13351000,12702000,16556000,13793000,16768000,16312000,24871000,27024000,37153000,43794000,35107000,34125000,49296000,41849000,55456000,88300000
37,Total Current Assets,- -,34800000,30600000,39600000,38300000,45800000,33600000,26300000,- -,31800000,16100000,20700000,31700000,46300000,57700000,54200000,51180000,44305000,60257000,68414000,111407000,151097000,121040000,160934000,127095000,149451000,142865000,137568000,154023000,225530000,207636000,268442000,367394000,417079000,526651000,670791000,869801000,1566885000
38,PP&E,- -,9700000,8200000,10700000,8800000,8600000,5600000,5300000,- -,13200000,4300000,5600000,10900000,38100000,43100000,51000000,66301000,69944000,74041000,72211000,99781000,116828000,124558000,100616000,88731000,80276000,79848000,95050000,107936000,125982000,146788000,150600000,172748000,228950000,322876000,465083000,491397000,591073000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38303000,- -,- -,- -,- -,34344000,39547000,44113000,- -,7497000,20499000,21177000,21545000,66521000,83619000,89198000,124183000,180168000,351114000,454728000,543180000
40,Intangible Assets,- -,8100000,7500000,11600000,11000000,11800000,6300000,6100000,- -,5600000,200000,300000,11600000,44200000,47900000,46100000,37240000,- -,7857000,17286000,22825000,32770000,24801000,32578000,42787000,39171000,57419000,79059000,69218000,59392000,96959000,100935000,112943000,130132000,176342000,341426000,420885000,519957000
41,Intangible Assets,- -,8100000,7500000,11600000,11000000,11800000,6300000,6100000,- -,5600000,200000,300000,11600000,44200000,47900000,46100000,37240000,38303000,7857000,17286000,22825000,32770000,59145000,72125000,86900000,39171000,64916000,99558000,90395000,80937000,163480000,184554000,202141000,254315000,356510000,692540000,875613000,1063137000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16532000,15770000,14496000,14993000,12236000,11744000,6775000,31989000,24156000,10948000,- -,- -,- -
44,Other Non-Current Assets,- -,2300000,1800000,2600000,1600000,1800000,900000,2400000,- -,3400000,1500000,1600000,1100000,1700000,5700000,4700000,4577000,4423000,3241000,2193000,4040000,6733000,6533000,12062000,8632000,2635000,3382000,4411000,6521000,8499000,14193000,12575000,12632000,21358000,26908000,34181000,61220000,66999000
45,Total Non-Current Assets,- -,20100000,17500000,24900000,21400000,22200000,12800000,13800000,- -,22200000,6000000,7500000,23600000,84000000,96700000,101800000,108118000,112670000,85139000,91690000,126646000,156331000,190236000,184803000,184263000,138614000,163916000,213515000,219845000,227654000,336205000,354504000,419510000,528779000,717242000,1191804000,1428230000,1721209000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,54900000,48100000,64500000,59700000,68000000,46400000,40100000,- -,54000000,22100000,28200000,55300000,130300000,154400000,156000000,159298000,156975000,145396000,160104000,238053000,307428000,311276000,345737000,311358000,288065000,306781000,351083000,373868000,453184000,543841000,622946000,786904000,945858000,1243893000,1862595000,2298031000,3288094000
48,Accounts Payable,- -,- -,- -,- -,- -,6700000,5900000,6500000,- -,7000000,2900000,3500000,4000000,6400000,8000000,6400000,5435000,6025000,7998000,9089000,13371000,26404000,12027000,17524000,4660000,7513000,11351000,15742000,21725000,24063000,49534000,29700000,50616000,79164000,78354000,99262000,184931000,282183000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,300000,600000,800000,1700000,8867000,9630000,9993000,9931000,12121000,11140000,9714000,8881000,5833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39576000,43263000,101595000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,21500000,16900000,29100000,24400000,22300000,20600000,9800000,- -,11100000,7200000,8300000,11300000,15300000,17300000,17100000,14511000,16174000,18199000,19694000,28711000,37407000,37320000,44668000,32224000,28194000,33723000,36169000,48055000,94128000,57651000,69162000,98735000,102849000,99228000,132420000,188200000,243438000
53,Total Current Liabilities,- -,21500000,16900000,29100000,24400000,29000000,26500000,16300000,- -,18100000,10100000,11900000,15600000,22300000,26100000,25200000,28813000,31829000,36190000,38714000,54203000,74951000,59061000,71073000,42717000,35707000,45074000,51911000,69780000,118191000,107185000,98862000,149351000,182013000,177582000,271258000,416394000,627216000
54,Long-Term Debt,- -,8100000,7300000,10600000,10900000,16300000,11000000,13500000,- -,13500000,3900000,- -,3700000,54800000,57900000,44600000,58076000,43691000,38812000,24825000,59303000,62093000,45966000,18381000,2850000,- -,- -,- -,- -,- -,15650000,50000000,49949000,49924000,293528000,612906000,803125000,1375395000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35740000,53833000,43184000
57,Other Non-Current Liabilities,- -,-100000,100000,1300000,700000,500000,200000,-100000,- -,- -,- -,300000,1200000,1200000,1600000,2100000,245000,245000,290000,2912000,2503000,2675000,1361000,4747000,6913000,8243000,18248000,21876000,19843000,21380000,26108000,35509000,37335000,61176000,66528000,142019000,116353000,149424000
58,Total Non-Current Liabilities,- -,8000000,7400000,11900000,11600000,16800000,11200000,13400000,- -,13500000,3900000,300000,4900000,56000000,59500000,46700000,58321000,43936000,39102000,27737000,61806000,64768000,47327000,23128000,9763000,8243000,18248000,21876000,19843000,21380000,41758000,85509000,87284000,111100000,360056000,790665000,973311000,1568003000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101541000,108139000,174028000
61,Total Liabilities,- -,29500000,24300000,41000000,36000000,45800000,37700000,29700000,- -,31600000,14000000,12200000,20500000,78300000,85600000,71900000,87134000,75765000,75292000,66451000,116009000,139719000,106388000,94201000,52480000,43950000,63322000,73787000,89623000,139571000,148943000,184371000,236635000,293113000,537638000,1061923000,1389705000,2195219000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,118000,118000,121000,124000,125000,236000,238000,241000,241000,246000,247000,248000,254000,261000,265000,270000,274000,277000,280000,281000,282000,- -
64,Retained Earnings,- -,-4400000,-5800000,-4200000,-4000000,-5300000,-18700000,-17100000,- -,-6100000,-600000,7200000,20600000,32600000,47800000,65000000,66546000,75480000,60882000,80305000,105413000,139015000,170038000,209805000,221483000,197430000,192067000,222126000,213046000,216459000,276914000,301206000,395279000,475506000,563496000,644945000,731710000,- -
65,Other Comprehensive Income/Loss,- -,-3600000,-3100000,-4600000,-6100000,-7600000,-7700000,-8800000,- -,-10600000,-5100000,-5700000,-6700000,-8700000,-11900000,-16800000,-22341000,-25176000,-30888000,-37276000,59000,270000,106000,38000,-74570000,-82053000,-86277000,-94034000,-103153000,-115634000,-125389000,-141176000,-1798000,2439000,-2605000,1123000,7089000,-501000
66,Other Total Stockholders Equity,- -,33400000,32700000,32300000,33800000,35100000,35100000,36300000,- -,39100000,13800000,14500000,20900000,28100000,32900000,35800000,27841000,30788000,39989000,50500000,16447000,28188000,34506000,41452000,111724000,128492000,137422000,148956000,174098000,212527000,243108000,278275000,156514000,174523000,145084000,154323000,169245000,- -
67,Total Stockholders Equity,- -,25400000,23800000,23500000,23700000,22200000,8700000,10400000,- -,22400000,8100000,16000000,34800000,52000000,68800000,84100000,72164000,81210000,70104000,93653000,122044000,167709000,204888000,251536000,258878000,244115000,243459000,277296000,284245000,313613000,394898000,438575000,550269000,652745000,706255000,800672000,908326000,1092875000
68,Total Liabilities And Stockholders Equity,- -,54900000,48100000,64500000,59700000,68000000,46400000,40100000,- -,54000000,22100000,28200000,55300000,130300000,154400000,156000000,159298000,156975000,145396000,160104000,238053000,307428000,311276000,345737000,311358000,288065000,306781000,351083000,373868000,453184000,543841000,622946000,786904000,945858000,1243893000,1862595000,2298031000,3288094000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,54900000,48100000,64500000,59700000,68000000,46400000,40100000,- -,54000000,22100000,28200000,55300000,130300000,154400000,156000000,159298000,156975000,145396000,160104000,238053000,307428000,311276000,345737000,311358000,288065000,306781000,351083000,373868000,453184000,543841000,622946000,786904000,945858000,1243893000,1862595000,2298031000,3288094000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763744/000116923205001646/d62943_10-k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420406009780/v037629_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420407012421/v068206.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420408015560/v107066_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420409013467/0001144204-09-013467-index.html,https://www.sec.gov/Archives/edgar/data/763744/000114420410012718/0001144204-10-012718-index.html,https://www.sec.gov/Archives/edgar/data/763744/000114420411014319/v214397_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000143774912002281/0001437749-12-002281-index.html,https://www.sec.gov/Archives/edgar/data/763744/000143774913002733/0001437749-13-002733-index.html,https://www.sec.gov/Archives/edgar/data/763744/000143774914003110/dw20140227_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374415000037/dw-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374416000351/0000763744-16-000351-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374417000049/0000763744-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374418000042/0000763744-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374419000018/0000763744-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374420000030/0000763744-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374421000019/0000763744-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374422000016/0000763744-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-1300000,-13400000,1700000,1600000,5600000,5500000,7800000,13400000,12000000,15200000,17200000,1547000,8934000,-14598000,19423000,25108000,33602000,31023000,39767000,11678000,-24053000,28034000,30059000,37340000,50119000,62266000,74345000,129671000,132884000,148551000,146509000,158440000,287739000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,2400000,1800000,1600000,600000,1900000,700000,800000,1700000,3000000,6800000,8100000,8954000,8534000,7332000,7863000,9300000,11945000,15669000,17557000,17078000,18468000,17087000,20522000,25665000,27500000,32596000,41624000,46167000,54727000,67526000,75358000,97980000,112320000
75,Deferred Income Tax,- -,- -,- -,- -,- -,100000,-500000,1400000,-1800000,500000,-300000,-300000,-300000,300000,100000,1100000,-2304000,84000,1748000,383000,-1394000,-215000,653000,-1488000,-2145000,-16685000,-1438000,821000,-668000,269000,-5493000,1062000,-2598000,6808000,13874000,3416000,-1504000,-3279000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3744000,4176000,4587000,6318000,10839000,10817000,14043000,15420000,20036000,14065000,16077000,18502000,27161000
77,Change in Working Capital,- -,- -,- -,- -,- -,-3400000,3400000,2900000,2900000,3700000,-7700000,2800000,7300000,7900000,7600000,-2600000,-6633000,-9891000,11591000,5633000,27504000,18942000,-14167000,27882000,-5483000,29366000,-15953000,-12134000,-1414000,23096000,-6888000,69129000,48463000,17023000,114003000,50464000,53874000,-542970000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4628000,-341000,-5007000,774000,-9013000,-606000,2082000,-13899000,-12601000,-11352000,-25452000,-45028000,-58843000
79,Inventory,- -,- -,- -,- -,- -,-1500000,-1000000,-400000,-400000,-3000000,-2900000,-500000,-4600000,-100000,-3700000,2000000,-321000,6155000,-11501000,218000,-28447000,-27357000,20219000,8994000,-12695000,37505000,-11757000,-14738000,-4727000,-3403000,-21940000,-31276000,-7856000,-78698000,-34730000,57790000,-86898000,-516692000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5983000,2296000,21269000,-21783000,18800000,20727000,-17335000,-12189000,67679000,68879000
