,https://roic.ai/company/HES,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,845900000,783400000,759600000,889300000,1021800000,1312700000,1474200000,1474800000,1476900000,1470300000,1527400000,1401600000,1322500000,1410300000,1267500000,1480000000,2535000000,2797000000,2663000000,2531000000,2757000000,3317000000,3810000000,3726000000,4921000000,5078000000,5543000000,3000000000,2607000000,1428000000,1438000000,1857000000,941000000,835000000,630000000,1644000000,2536000000
11,COGS and Expenses,6733000000,4001800000,4315900000,3968300000,4971100000,6241400000,6122300000,5699700000,5939700000,6169600000,7045900000,7750200000,7996700000,6772200000,6473300000,10443000000,11981000000,10775000000,13406000000,15327000000,20805000000,24479000000,27964000000,36127000000,27687000000,30409000000,34669000000,33618000000,19233000000,8680000000,8862000000,8145000000,6655000000,5794000000,5909000000,5060000000,5465000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194000000,269000000,293000000,241000000,224000000,201000000,256000000,- -,360000000,361000000,383000000,419000000,406000000,323000000,341000000,338000000,325000000,399000000,380000000,468000000,481000000
14,Depreciation and Amortization,484000000,468200000,431500000,441400000,545900000,743500000,828800000,833400000,824700000,927900000,893100000,783200000,672700000,657000000,648700000,714000000,- -,- -,- -,- -,- -,- -,- -,2029000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2074000000,1528000000
15,EBITDA,637200000,278400000,684400000,591200000,1066200000,1359000000,945000000,956800000,630700000,1163700000,540500000,1797100000,799300000,142900000,1350500000,2386000000,1632000000,218000000,1250000000,1806000000,2450000000,4241000000,3960000000,6729000000,1815000000,3659000000,2871000000,4119000000,5983000000,3384000000,-4014000000,-3572000000,-5586000000,452000000,433000000,-562000000,3168000000
16,EBITDA ratio,0.0833,0.0693,0.1454,0.1406,0.1908,0.1956,0.1508,0.1629,0.1078,0.1763,0.0740,0.2172,0.0971,0.0217,0.1919,0.1989,0.1217,0.0183,0.0873,0.1079,0.1077,0.1511,0.1251,0.1635,0.0613,0.1081,0.0746,0.1093,0.2685,0.3152,-0.6049,-0.7501,-1.0220,0.0715,0.0667,-0.1204,0.4239
17,Operating Income,920400000,12900000,390600000,237700000,617900000,706100000,144500000,175300000,-88100000,432400000,256400000,522000000,237000000,-182200000,565800000,1550000000,1432000000,1157000000,905000000,1406000000,1942000000,3588000000,3683000000,5038000000,1927000000,3453000000,3797000000,4073000000,3051000000,2057000000,-2226000000,-3383000000,-1189000000,529000000,586000000,-393000000,2008000000
18,Operating Income ratio,0.1203,0.0032,0.0830,0.0565,0.1106,0.1016,0.0231,0.0298,-0.0151,0.0655,0.0351,0.0631,0.0288,-0.0276,0.0804,0.1292,0.1068,0.0970,0.0632,0.0840,0.0854,0.1278,0.1164,0.1224,0.0651,0.1020,0.0987,0.1081,0.1369,0.1916,-0.3354,-0.7104,-0.2175,0.0837,0.0902,-0.0842,0.2687
19,Total Other Income Expenses (Gains),-767200000,-202700000,-137700000,-87900000,-97600000,-90600000,-28300000,-51900000,-135400000,-196600000,-609000000,491900000,-110400000,-331900000,136000000,122000000,6000000,-1208000000,-124000000,152000000,284000000,452000000,21000000,-338000000,-405000000,-142000000,-1336000000,-335000000,1442000000,379000000,-2032000000,-471000000,-4589000000,-309000000,-365000000,-2457000000,-518000000
20,Income Before Tax,153200000,-189800000,252900000,149800000,520300000,615500000,116200000,123400000,-223500000,235800000,-352600000,1013900000,126600000,-514100000,701800000,1672000000,1438000000,-51000000,781000000,1558000000,2226000000,4040000000,3704000000,4700000000,1522000000,3311000000,2461000000,3738000000,4493000000,2436000000,-4258000000,-3854000000,-5778000000,220000000,221000000,-2850000000,1490000000
21,Income Before Tax Ratio,0.0200,-0.0473,0.0537,0.0356,0.0931,0.0886,0.0185,0.0210,-0.0382,0.0357,-0.0483,0.1226,0.0154,-0.0780,0.0997,0.1394,0.1072,-0.0043,0.0546,0.0931,0.0979,0.1439,0.1170,0.1142,0.0514,0.0978,0.0640,0.0992,0.2016,0.2269,-0.6417,-0.8093,-1.0571,0.0348,0.0340,-0.6107,0.1994
22,Income Tax expense (Gain),413600000,29600000,23000000,25600000,44000000,132800000,31900000,115900000,74200000,162100000,41800000,353800000,119100000,-55200000,264200000,649000000,524000000,167000000,314000000,588000000,984000000,2124000000,1872000000,2340000000,715000000,1173000000,785000000,1675000000,525000000,744000000,-1299000000,2222000000,-1837000000,335000000,461000000,-11000000,600000000
23,Net Income,-260400000,-219400000,229900000,124200000,476300000,482700000,84300000,7500000,-268200000,73700000,-394400000,660100000,7500000,-458900000,437600000,1023000000,914000000,-218000000,643000000,977000000,1242000000,1916000000,1832000000,2360000000,740000000,2125000000,1703000000,2025000000,5052000000,2317000000,-3056000000,-6132000000,-4074000000,-282000000,-408000000,-3093000000,559000000
24,Net Income ratio,-0.0340,-0.0546,0.0488,0.0295,0.0852,0.0695,0.0135,0.0013,-0.0458,0.0112,-0.0540,0.0798,0.0009,-0.0696,0.0622,0.0853,0.0681,-0.0183,0.0449,0.0584,0.0546,0.0683,0.0579,0.0573,0.0250,0.0628,0.0443,0.0537,0.2267,0.2158,-0.4605,-1.2877,-0.7453,-0.0446,-0.0628,-0.6627,0.0748
25,EPS,-1.03,-0.87,0.91,0.51,1.96,1.99,0.35,0.03,-0.97,0.26,-1.41,2.36,0.03,-1.71,1.63,3.83,3.46,-0.83,2.40,3.46,4.38,6.73,5.86,7.35,2.26,6.29,5.01,6.49,15.53,8.11,-10.68,-19.50,-13.08,-1.13,-1.35,-10.08,1.84
26,EPS Diluted,-1.03,-0.87,0.91,0.50,1.95,1.98,0.35,0.03,-0.97,0.26,-1.41,2.36,0.03,-1.71,1.62,3.79,3.42,-0.83,2.37,3.19,3.98,6.07,5.74,7.24,2.26,6.29,5.01,6.49,14.82,7.53,-10.78,-19.92,-13.08,-1.13,-1.37,-10.15,1.84
27,Weighted Average Shares Outstanding,255060255,254677755,252010252,245376956,242840464,241994916,241098241,250250250,278029135,279873418,279056604,279308886,281250000,268886719,269016393,267334495,264093000,264561000,265854000,268356000,272700000,278100000,312700000,320800000,323800000,337680780,339975610,341527617,325314177,285834964,286045586,316523200,315053615,291434534,304955472,306980092,309726894
28,Weighted Average Shares Outstanding Diluted,255060255,254677755,252010252,247001969,243667859,243213012,243416493,250250250,278038604,279873418,279276276,279582583,281250000,268886719,270680412,269683656,267387000,264561000,271026000,306258000,312105000,315700000,319300000,325800000,325800000,337680780,339975610,341527617,340900000,307700000,286045586,316523200,315053615,298200000,304955472,306980092,310000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4447/000095012396001358/0000950123-96-001358-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4447/000095012301002755/0000950123-01-002755-index.html,https://www.sec.gov/Archives/edgar/data/4447/000095012302003005/0000950123-02-003005-index.html,https://www.sec.gov/Archives/edgar/data/4447/000095012303003289/0000950123-03-003289-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012304003250/0000950123-04-003250-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012305003078/0000950123-05-003078-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012306002849/0000950123-06-002849-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012307003008/0000950123-07-003008-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012308002199/0000950123-08-002199-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012309003700/0000950123-09-003700-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012310018336/0000950123-10-018336-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012311018415/0000950123-11-018415-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000119312512081827/0001193125-12-081827-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000119312513084779/0001193125-13-084779-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000119312514077565/0001193125-14-077565-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459015001040/0001564590-15-001040-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459016013433/0001564590-16-013433-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459017002225/0001564590-17-002225-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459018002698/0001564590-18-002698-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459019003671/0001564590-19-003671-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459020005545/0001564590-20-005545-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828021003531/0001628280-21-003531-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828022004524/0001628280-22-004524-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,53100000,56100000,112500000,91200000,73800000,40900000,312000000,37000000,197000000,518000000,877000000,315000000,383000000,607000000,908000000,1362000000,1608000000,351000000,642000000,1814000000,2444000000,2716000000,2732000000,4847000000,2694000000,1545000000,1739000000,2713000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,53100000,56100000,112500000,91200000,73800000,40900000,312000000,37000000,197000000,518000000,877000000,315000000,383000000,607000000,908000000,1362000000,1608000000,351000000,642000000,1814000000,2444000000,2716000000,2732000000,4847000000,2694000000,1545000000,1739000000,2713000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,570500000,798300000,848100000,993000000,1013200000,1175000000,2996000000,2962000000,1972000000,1902000000,2367000000,3655000000,3873000000,4708000000,4297000000,3924000000,4718000000,5011000000,4338000000,3525000000,2073000000,1159000000,1026000000,1024000000,1001000000,1170000000,860000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,945600000,838800000,1272300000,937900000,482200000,372700000,401000000,550000000,492000000,579000000,596000000,855000000,1005000000,1250000000,1308000000,1438000000,1452000000,1423000000,1259000000,954000000,527000000,399000000,323000000,232000000,245000000,261000000,378000000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,152500000,269300000,193900000,181500000,317500000,239000000,406000000,397000000,95000000,187000000,495000000,465000000,587000000,361000000,819000000,1263000000,1002000000,1554000000,2148000000,2306000000,1643000000,130000000,195000000,54000000,519000000,180000000,104000000,1633000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1721700000,1962500000,2426800000,2203600000,1886700000,1827600000,4115000000,3946000000,2756000000,3186000000,4335000000,5290000000,5848000000,6926000000,7332000000,7987000000,8780000000,8339000000,8387000000,8599000000,6687000000,4404000000,4276000000,6157000000,4459000000,3156000000,3081000000,4346000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,6366000000,5369700000,4907300000,5190800000,4191900000,4051700000,4323000000,8165000000,7032000000,7978000000,8505000000,9512000000,12308000000,14634000000,16271000000,16627000000,21127000000,24712000000,28807000000,28771000000,27517000000,26352000000,23595000000,16192000000,16083000000,17560000000,14709000000,14678000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,982000000,977000000,977000000,977000000,977000000,1253000000,1225000000,1225000000,1225000000,2408000000,2305000000,2208000000,1869000000,1858000000,375000000,375000000,360000000,360000000,360000000,360000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,982000000,977000000,977000000,977000000,977000000,1253000000,1225000000,1225000000,1225000000,2408000000,2305000000,2208000000,1869000000,1858000000,375000000,375000000,360000000,360000000,360000000,360000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,889000000,1622000000,1095000000,1254000000,1389000000,1200000000,1117000000,1127000000,913000000,443000000,384000000,443000000,687000000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289700000,330400000,317800000,343000000,245000000,512000000,445000000,834000000,1544000000,1435000000,1873000000,2292000000,2409000000,2167000000,2941000000,3126000000,2319000000,2169000000,2653000000,59000000,21000000,21000000,80000000,59000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,250200000,424200000,450400000,250500000,1474000000,1530600000,1493000000,1142000000,363000000,302000000,407000000,403000000,360000000,356000000,342000000,304000000,471000000,455000000,470000000,509000000,347000000,411000000,316000000,382000000,510000000,626000000,612000000,1491000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6616200000,5793900000,5357700000,5731000000,5996300000,5900100000,6159000000,11423000000,10506000000,10797000000,11977000000,13825000000,16556000000,19205000000,21257000000,21478000000,26616000000,30797000000,35054000000,34155000000,31891000000,29791000000,24345000000,16955000000,16974000000,18626000000,15740000000,16169000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8337900000,7756400000,7784500000,7934600000,7883000000,7727700000,10274000000,15369000000,13262000000,13983000000,16312000000,19115000000,22404000000,26131000000,28589000000,29465000000,35396000000,39136000000,43441000000,42754000000,38578000000,34195000000,28621000000,23112000000,21433000000,21782000000,18821000000,20515000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,291600000,443500000,666200000,752600000,713800000,771800000,1875000000,1807000000,1401000000,1542000000,3280000000,4995000000,4803000000,5741000000,5045000000,4223000000,4274000000,3712000000,2809000000,2109000000,708000000,457000000,433000000,435000000,495000000,411000000,200000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,121800000,104700000,189700000,84700000,172800000,5100000,58000000,276000000,16000000,73000000,50000000,26000000,27000000,62000000,143000000,148000000,46000000,52000000,787000000,378000000,68000000,86000000,112000000,580000000,67000000,199000000,91000000,606000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000000,199000000,447000000,397000000,432000000,583000000,- -,525000000,726000000,812000000,960000000,520000000,294000000,88000000,97000000,83000000,81000000,97000000,81000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,21700000,151400000,103000000,175700000,251300000,3800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,766300000,905000000,778100000,726900000,658900000,798200000,1605000000,1635000000,1136000000,1054000000,1367000000,1426000000,1909000000,2221000000,2542000000,2479000000,3293000000,4336000000,4786000000,4071000000,4075000000,2085000000,1706000000,1420000000,1641000000,1900000000,1273000000,2458000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1201400000,1604600000,1737000000,1739900000,1796800000,1578900000,3538000000,3718000000,2553000000,2669000000,4697000000,6447000000,6739000000,8024000000,7730000000,6850000000,7613000000,8100000000,8382000000,6558000000,4851000000,2628000000,2251000000,2435000000,2203000000,2510000000,1623000000,3064000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3154200000,2523200000,1661000000,1975300000,2476100000,2286700000,1985000000,5283000000,4976000000,3868000000,3785000000,3759000000,3745000000,3918000000,3812000000,4319000000,5537000000,6005000000,7324000000,5420000000,5919000000,6544000000,6694000000,6397000000,6605000000,7142000000,8286000000,8535000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,547500000,602800000,616900000,562400000,483800000,442200000,510000000,1111000000,1044000000,1144000000,1184000000,1401000000,2099000000,2362000000,2241000000,2222000000,2995000000,2843000000,2662000000,2292000000,2009000000,1334000000,1144000000,429000000,421000000,415000000,342000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,335200000,365400000,386000000,441300000,482900000,381700000,358000000,350000000,440000000,962000000,1049000000,1222000000,1710000000,2053000000,2499000000,2546000000,2442000000,3596000000,3870000000,3700000000,3479000000,3288000000,2941000000,1497000000,1316000000,2009000000,2235000000,1890000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4036900000,3491400000,2663900000,2979000000,3442800000,3110600000,2853000000,6744000000,6460000000,5974000000,6018000000,6382000000,7554000000,8333000000,8552000000,9087000000,10974000000,12444000000,13856000000,11412000000,11407000000,11166000000,10779000000,8323000000,8342000000,9566000000,10863000000,10425000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,790000000,779000000,683000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5238300000,5096000000,4400900000,4718900000,5239600000,4689500000,6391000000,10462000000,9013000000,8643000000,10715000000,12829000000,14293000000,16357000000,16282000000,15937000000,18587000000,20544000000,22238000000,17970000000,16258000000,13794000000,13030000000,10758000000,10545000000,12076000000,12486000000,13489000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,14000000,14000000,315000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,93000000,93100000,91500000,90400000,90700000,89000000,89000000,89000000,90000000,92000000,93000000,- -,321000000,326000000,327000000,338000000,340000000,342000000,325000000,286000000,286000000,317000000,315000000,291000000,305000000,307000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,2467300000,2017100000,2613900000,2463000000,1904100000,2287400000,3069000000,3807000000,3482000000,4011000000,4831000000,5914000000,7671000000,9412000000,11642000000,12251000000,14254000000,15826000000,17717000000,21235000000,20052000000,16637000000,10147000000,5597000000,4257000000,3535000000,130000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7938800000,-7694500000,-6995100000,-7430800000,-6835300000,-7013200000,-7575000000,-8462000000,-254000000,-350000000,-1024000000,-1526000000,-1564000000,-1841000000,-2008000000,-1675000000,-1159000000,-1067000000,-493000000,-338000000,-1410000000,-1664000000,-1704000000,-686000000,-306000000,-699000000,-755000000,-406000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8478100000,8244800000,7671700000,8092000000,7484200000,7673300000,8300000000,9473000000,932000000,1575000000,1684000000,1791000000,2004000000,1882000000,2347000000,2481000000,3256000000,3417000000,3524000000,3498000000,3277000000,4127000000,5773000000,5824000000,5386000000,5591000000,5684000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3099600000,2660400000,3383600000,3215700000,2643400000,3038200000,3883000000,4907000000,4249000000,5340000000,5597000000,6286000000,8111000000,9774000000,12307000000,13384000000,16689000000,18516000000,21090000000,24720000000,22205000000,19386000000,14534000000,11051000000,9629000000,8732000000,5366000000,6300000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8337900000,7756400000,7784500000,7934600000,7883000000,7727700000,10274000000,15369000000,13262000000,13983000000,16312000000,19115000000,22404000000,26131000000,28589000000,29321000000,35276000000,39060000000,43328000000,42690000000,38463000000,33180000000,27564000000,21809000000,20174000000,20808000000,17852000000,19789000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,120000000,76000000,113000000,64000000,115000000,1015000000,1057000000,1303000000,1259000000,974000000,969000000,726000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8337900000,7756400000,7784500000,7934600000,7883000000,7727700000,10274000000,15369000000,13262000000,13983000000,16312000000,19115000000,22404000000,26131000000,28589000000,29465000000,35396000000,39136000000,43441000000,42754000000,38578000000,34195000000,28621000000,23112000000,21433000000,21782000000,18821000000,20515000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/4447/000095012396001358/0000950123-96-001358-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4447/000095012301002755/0000950123-01-002755-index.html,https://www.sec.gov/Archives/edgar/data/4447/000095012302003005/0000950123-02-003005-index.html,https://www.sec.gov/Archives/edgar/data/4447/000095012303003289/0000950123-03-003289-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012304003250/0000950123-04-003250-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012305003078/0000950123-05-003078-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012306002849/0000950123-06-002849-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012307003008/0000950123-07-003008-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012308002199/0000950123-08-002199-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012309003700/0000950123-09-003700-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012310018336/0000950123-10-018336-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012311018415/0000950123-11-018415-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000119312512081827/0001193125-12-081827-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000119312513084779/0001193125-13-084779-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000119312514077565/0001193125-14-077565-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459015001040/0001564590-15-001040-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459016013433/0001564590-16-013433-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459017002225/0001564590-17-002225-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459018002698/0001564590-18-002698-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459019003671/0001564590-19-003671-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459020005545/0001564590-20-005545-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828021003531/0001628280-21-003531-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828022004524/0001628280-22-004524-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
