,https://roic.ai/company/MAT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,401800000,437500000,498200000,414800000,494100000,568800000,617000000,727800000,1153700000,1276700000,1320600000,1410500000,1766000000,1910300000,2435500000,1909264000,1648726000,1602846000,1639004000,1679908000,1708339000,1882975000,2047222000,2142614000,1983529000,2053071000,2104725000,2388182000,2310780000,2347308000,2265436000,2035158000,2163652000,2031232000,1941539000,1862709000,1897100000
11,COGS and Expenses,914000000,971100000,1042300000,890300000,1073900000,1287900000,1384000000,1586600000,2405200000,2755900000,3037300000,3138800000,4010700000,4156200000,5142700000,4222032000,4185904000,4127199000,4169621000,4371969000,4514487000,4921338000,5240012000,5376210000,4699678000,4954293000,5224936000,5399866000,5316789000,5370105000,5161691000,4937417000,5224774000,4747359000,4465331000,4202775000,4728200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25043000,8083000,8434000,8093000,6841000,5555000,7382000,7230000,9144000,7777000,6463000,6166000,3945000,3500000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81944000,71843000,64839000,75332000,88835000,78505000,79271000,85270000,95118000,105214000,181886000,201044000,198332000,253900000
14,Depreciation and Amortization,8800000,10400000,15900000,35200000,42700000,50300000,57700000,63600000,92000000,124300000,133000000,149000000,189900000,214900000,298600000,256389000,262508000,191928000,183819000,182478000,174991000,172264000,172080000,172095000,169830000,165808000,161298000,174282000,196393000,248701000,265427000,262340000,274767000,271932000,244518000,199898000,- -
15,EBITDA,116300000,48700000,-48400000,92700000,150700000,189500000,246600000,279500000,309900000,517900000,665900000,694700000,610400000,680000000,187800000,-119333000,680517000,588484000,924673000,878732000,827040000,856020000,875478000,742003000,901720000,1077472000,1207303000,1208162000,1374026000,914882000,814612000,767200000,-125006000,34557000,287274000,593507000,736500000
16,EBITDA ratio,0.1107,0.0460,-0.0474,0.0936,0.1218,0.1289,0.1521,0.1513,0.1146,0.1616,0.1830,0.1835,0.1263,0.1422,0.0341,-0.0256,0.1417,0.1205,0.1864,0.1722,0.1597,0.1515,0.1466,0.1254,0.1660,0.1840,0.1927,0.1882,0.2119,0.1519,0.1428,0.1406,-0.0256,0.0077,0.0638,0.1295,0.1349
17,Operating Income,136900000,87600000,-22200000,99700000,163100000,182700000,237700000,261300000,299200000,449100000,601500000,647200000,823900000,625700000,372300000,447910000,602458000,733541000,785710000,730817000,664529000,728818000,730078000,541792000,731168000,901902000,1041101000,1021015000,1168103000,653714000,540922000,519233000,-342823000,-236507000,39240000,380885000,729562000
18,Operating Income ratio,0.1303,0.0827,-0.0218,0.1007,0.1319,0.1242,0.1466,0.1414,0.1106,0.1401,0.1653,0.1709,0.1704,0.1308,0.0675,0.0959,0.1254,0.1502,0.1584,0.1432,0.1283,0.1290,0.1223,0.0915,0.1346,0.1540,0.1661,0.1590,0.1801,0.1085,0.0949,0.0952,-0.0702,-0.0524,0.0087,0.0831,0.1337
19,Total Other Income Expenses (Gains),-29400000,-49300000,-42100000,-42200000,-55100000,-43500000,-48800000,-45400000,-62600000,-55500000,-68600000,-101500000,-398800000,-160600000,-483100000,-222486000,-172448000,-112044000,-44856000,-34563000,-12480000,-45062000,-26680000,-53828000,-71121000,-55077000,-70428000,-75970000,-68975000,-66804000,-77007000,-109491000,-162164000,-182754000,-197528000,-197079000,-258762000
20,Income Before Tax,107500000,38300000,-64300000,57500000,108000000,139200000,188900000,215900000,236600000,393600000,532900000,545700000,425100000,465100000,-110800000,225424000,430010000,621497000,740854000,696254000,652049000,683756000,703398000,487964000,660047000,846825000,970673000,945045000,1099128000,586910000,463915000,409742000,-504987000,-419261000,-158288000,183806000,470800000
21,Income Before Tax Ratio,0.1023,0.0362,-0.0630,0.0581,0.0873,0.0947,0.1165,0.1168,0.0875,0.1228,0.1464,0.1441,0.0879,0.0973,-0.0201,0.0483,0.0895,0.1272,0.1494,0.1364,0.1259,0.1210,0.1178,0.0825,0.1215,0.1446,0.1549,0.1472,0.1695,0.0974,0.0814,0.0751,-0.1034,-0.0929,-0.0351,0.0401,0.0863
22,Income Tax expense (Gain),49400000,39300000,28200000,21600000,28400000,48000000,70800000,72000000,100700000,137800000,175100000,168100000,135300000,132800000,-28400000,55247000,119090000,166455000,203222000,123531000,235030000,90829000,103405000,108328000,131343000,161962000,202165000,168581000,195184000,88036000,94499000,91720000,548849000,111732000,55224000,68649000,-420400000
23,Net Income,58100000,-1000000,-92500000,35900000,79600000,91200000,118100000,143900000,117200000,255800000,357800000,377600000,285200000,332300000,-82400000,-430969000,298919000,230101000,537632000,572723000,417019000,592927000,599993000,379636000,528704000,684863000,768508000,776464000,903944000,498874000,369416000,318022000,-1053836000,-530993000,-213512000,126628000,903000000
24,Net Income ratio,0.0553,-0.0009,-0.0907,0.0363,0.0643,0.0620,0.0728,0.0779,0.0433,0.0798,0.0983,0.0997,0.0590,0.0695,-0.0149,-0.0923,0.0622,0.0471,0.1084,0.1122,0.0805,0.1049,0.1005,0.0641,0.0974,0.1169,0.1226,0.1209,0.1394,0.0828,0.0648,0.0583,-0.2159,-0.1177,-0.0474,0.0276,0.1655
25,EPS,0.27,-0.06,-0.62,0.21,0.43,0.50,0.63,0.73,0.42,0.90,1.26,1.36,0.95,1.11,-0.21,-1.01,0.69,0.52,1.23,1.37,1.02,1.55,1.56,1.05,1.45,1.88,2.20,2.25,2.61,1.46,1.08,0.93,-3.07,-1.54,-0.62,0.36,0.36
26,EPS Diluted,0.27,-0.06,-0.62,0.21,0.43,0.50,0.62,0.70,0.41,0.89,1.26,1.36,0.93,1.10,-0.21,-1.01,0.68,0.52,1.22,1.35,1.01,1.53,1.54,1.05,1.45,1.86,2.18,2.22,2.58,1.45,1.08,0.92,-3.07,-1.54,-0.62,0.36,0.36
27,Weighted Average Shares Outstanding,129635000,123333333,151451613,170952381,185116279,182400000,187460317,190273973,267380952,279923750,281015000,278385000,295450000,291481000,414186000,426166000,430983000,435790000,437020000,419235000,407402000,382921000,384450000,360800000,360100000,360600000,344700000,341700000,343400000,339000000,339200000,341500000,343600000,345000000,346100000,347500000,350424000
28,Weighted Average Shares Outstanding Diluted,129635000,123333333,151451613,170952381,185116279,182400000,190483871,198428571,273902439,283757500,281976744,303678161,295653000,303243000,414186000,427126000,436166000,441292000,442231000,423093000,411039000,386422000,390612000,363200000,361500000,364600000,348400000,346200000,347500000,340800000,339700000,344200000,343600000,345000000,346100000,349100000,354178000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63276/000006327695000008/0000063276-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/63276/000006327696000011/0000063276-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/63276/000006327697000005/0000063276-97-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63276/000089843002001098/0000898430-02-001098-index.html,https://www.sec.gov/Archives/edgar/data/63276/000089843003002040/0000898430-03-002040-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312504040335/0001193125-04-040335-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312505044603/0001193125-05-044603-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312506039887/0001193125-06-039887-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312507039835/0001193125-07-039835-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312508038808/0001193125-08-038808-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312509038925/0001193125-09-038925-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312510038642/0001193125-10-038642-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312511045072/0001193125-11-045072-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312512074927/0001193125-12-074927-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312513076313/0001193125-13-076313-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312514069306/0001193125-14-069306-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312515062193/0001193125-15-062193-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828016011701/0001628280-16-011701-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828017001638/0001628280-17-001638-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828018002322/0001628280-18-002322-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828019001744/0001628280-19-001744-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828020002192/0001628280-20-002192-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828021003197/0001628280-21-003197-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828022004260/0001628280-22-004260-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,239100000,466100000,500600000,694900000,212500000,275000000,232389000,616604000,1267038000,1152681000,1156835000,997734000,1205552000,901148000,617694000,1116997000,1281123000,1369113000,1335711000,1039216000,971650000,892814000,869531000,1079221000,594481000,630028000,762181000,731400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,239100000,466100000,500600000,694900000,212500000,275000000,232389000,616604000,1267038000,1152681000,1156835000,997734000,1205552000,901148000,617694000,1116997000,1281123000,1369113000,1335711000,1039216000,971650000,892814000,869531000,1079221000,594481000,630028000,762181000,731400000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,782600000,679300000,732300000,1091400000,983100000,1270000000,839567000,696572000,490816000,543888000,759033000,760643000,943813000,991196000,873542000,749335000,1146106000,1246687000,1226833000,1260105000,1093180000,1145099000,1115217000,1128610000,970083000,936359000,1033966000,1072700000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,339100000,350800000,372700000,428800000,584400000,544300000,489742000,487505000,338599000,388658000,418633000,376897000,383149000,428710000,485925000,355663000,463838000,487000000,465057000,568843000,562047000,587521000,613798000,600704000,542889000,495504000,514673000,777200000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,182700000,194600000,165200000,246600000,277800000,330700000,189799000,291915000,292511000,309629000,302649000,277226000,317624000,271882000,409689000,332624000,335543000,340907000,529204000,509829000,559074000,571429000,341518000,303053000,244987000,186083000,172070000,293200000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1543500000,1690800000,1770800000,2461700000,2057800000,2420000000,1751497000,2092596000,2388964000,2394856000,2637150000,2412500000,2850138000,2592936000,2386850000,2554619000,3226610000,3443707000,3556805000,3377993000,3185951000,3196863000,2940064000,3111588000,2352440000,2247974000,2482890000,2874500000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,415900000,499300000,579600000,601600000,736500000,749500000,647832000,626722000,599604000,625893000,586526000,547104000,536749000,518616000,536162000,504808000,484705000,523941000,593213000,659333000,737869000,741147000,773965000,785285000,657595000,853326000,765395000,781500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,718069000,845324000,845649000,815803000,828468000,824007000,822139000,1080798000,1083239000,1393968000,1384520000,1387628000,1396669000,1386424000,1390714000,1393834000,1390200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,432200000,422800000,407400000,542800000,1253500000,1393300000,1136857000,1109910000,703153000,722249000,735680000,- -,70593000,199010000,235829000,- -,- -,206709000,706009000,680820000,738744000,700305000,660448000,639203000,587528000,553114000,518190000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,432200000,422800000,407400000,542800000,1253500000,1393300000,1136857000,1109910000,703153000,722249000,735680000,718069000,915917000,1044659000,1051632000,828468000,824007000,1028848000,1786807000,1764059000,2132712000,2084825000,2048076000,2035872000,1973952000,1943828000,1912024000,1390200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503168000,467531000,524451000,- -,- -,473832000,374667000,373638000,385434000,317391000,508363000,76750000,49937000,67900000,72682000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,67400000,82600000,135700000,197700000,214400000,564200000,777211000,711333000,767938000,767952000,797136000,694640000,149912000,181713000,175944000,892660000,882411000,201310000,215293000,264603000,280080000,212463000,223326000,229008000,209541000,212198000,288098000,1347700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,915500000,1004700000,1122700000,1342100000,2204400000,2707000000,2561900000,2447965000,2070695000,2116094000,2119342000,1959813000,2105746000,2212519000,2288189000,2225936000,2191123000,2227931000,2969980000,3061633000,3536095000,3355826000,3553730000,3126915000,2891025000,3077252000,3038199000,3519400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2459000000,2695500000,2893500000,3803800000,4262200000,5127000000,4313397000,4540561000,4459659000,4510950000,4756492000,4372313000,4955884000,4805455000,4675039000,4780555000,5417733000,5671638000,6526785000,6439626000,6722046000,6552689000,6493794000,6238503000,5243465000,5325226000,5521089000,6393900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,295200000,250400000,259700000,310100000,293400000,360600000,338966000,334247000,296307000,289680000,349159000,265936000,375882000,441145000,421736000,350675000,406270000,334999000,385375000,375328000,430259000,651681000,664857000,572166000,537965000,459357000,495363000,1570700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,48700000,126600000,17500000,167500000,372700000,259126000,248198000,207485000,71864000,218125000,217994000,64286000,399003000,150000000,51950000,250000000,58018000,409844000,4278000,- -,316914000,192168000,250000000,4176000,- -,969000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27125000,27500000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,617600000,548600000,574100000,845800000,856300000,1084200000,904315000,1014536000,1144961000,1106202000,1159887000,979255000,1142352000,730281000,688238000,658249000,694012000,645911000,920793000,667834000,658690000,676977000,648548000,801637000,710467000,817550000,859047000,27600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,915900000,847700000,960400000,1173400000,1317200000,1817500000,1502407000,1596981000,1648753000,1467746000,1727171000,1463185000,1582520000,1570429000,1259974000,1060874000,1350282000,1038928000,1716012000,1047440000,1088949000,1645572000,1505573000,1623803000,1252608000,1276907000,1355379000,1598300000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,355100000,464300000,364100000,664100000,983500000,1183800000,1242396000,1020919000,640070000,589130000,400000000,525000000,635714000,550000000,750000000,700000000,950000000,1500000000,1100000000,1600000000,2100000000,1800000000,2134271000,2873119000,2851723000,2846751000,2854664000,2854600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132744000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,102300000,108300000,121200000,144200000,141300000,163000000,165496000,184203000,192124000,237853000,243509000,282395000,304676000,378284000,415186000,488692000,488867000,522107000,643729000,540627000,584026000,473863000,446168000,484126000,469669000,709854000,714703000,372200000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,457400000,572600000,485300000,808300000,1124800000,1346800000,1407892000,1205122000,832194000,826983000,643509000,807395000,940390000,928284000,1297930000,1188692000,1438867000,2022107000,1743729000,2140627000,2684026000,2273863000,2580439000,3357245000,3321392000,3556605000,3569367000,3226800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344918000,328893000,283600000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1373300000,1420300000,1445700000,1981700000,2442000000,3164300000,2910299000,2802103000,2480947000,2294729000,2370680000,2270580000,2522910000,2498713000,2557904000,2249566000,2789149000,3061035000,3459741000,3188067000,3772975000,3919435000,4086012000,4981048000,4574000000,4833512000,4924746000,4825100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433600000,435560000,436307000,437229000,441212000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,441369000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,737500000,1041700000,1353600000,1490800000,1724700000,401600000,-144417000,132900000,341133000,707429000,1093288000,1309822000,1652140000,1977456000,2085573000,2339506000,2720645000,3167996000,3515181000,3918122000,3896261000,3745815000,3545359000,2179358000,1629257000,1413181000,1539809000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-248700000,-265900000,-293200000,-336900000,-375700000,-474000000,-472986000,-550073000,-546636000,-995164000,-1120070000,-303000000,-277000000,-176000000,-431000000,-380000000,-359000000,-447000000,-464000000,-444000000,-622000000,-849000000,-943000000,-782000000,-859000000,-869000000,-944576000,-941271000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,596900000,499400000,387400000,668200000,471200000,1601500000,1584941000,1719324000,1746986000,2062744000,1971225000,653542000,616465000,63917000,21193000,130114000,-174430000,-551762000,-425506000,-663932000,-766559000,-704930000,-635946000,-581272000,-542161000,-493836000,-440259000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1085700000,1275200000,1447800000,1822100000,1820200000,1962700000,1403098000,1738458000,1978712000,2216221000,2385812000,2101733000,2432974000,2306742000,2117135000,2530989000,2628584000,2610603000,3067044000,3251559000,2949071000,2633254000,2407782000,1257455000,669465000,491714000,596343000,1568800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2459000000,2695500000,2893500000,3803800000,4262200000,5127000000,4313397000,4540561000,4459659000,4510950000,4756492000,4372313000,4955884000,4805455000,4675039000,4780555000,5417733000,5671638000,6526785000,6439626000,6722046000,6552689000,6493794000,6238503000,5243465000,5325226000,5521089000,6393900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2459000000,2695500000,2893500000,3803800000,4262200000,5127000000,4313397000,4540561000,4459659000,4510950000,4756492000,4372313000,4955884000,4805455000,4675039000,4780555000,5417733000,5671638000,6526785000,6439626000,6722046000,6552689000,6493794000,6238503000,5243465000,5325226000,5521089000,6393900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/63276/000006327695000008/0000063276-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/63276/000006327696000011/0000063276-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/63276/000006327697000005/0000063276-97-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63276/000089843002001098/0000898430-02-001098-index.html,https://www.sec.gov/Archives/edgar/data/63276/000089843003002040/0000898430-03-002040-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312504040335/0001193125-04-040335-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312505044603/0001193125-05-044603-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312506039887/0001193125-06-039887-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312507039835/0001193125-07-039835-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312508038808/0001193125-08-038808-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312509038925/0001193125-09-038925-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312510038642/0001193125-10-038642-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312511045072/0001193125-11-045072-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312512074927/0001193125-12-074927-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312513076313/0001193125-13-076313-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312514069306/0001193125-14-069306-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312515062193/0001193125-15-062193-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828016011701/0001628280-16-011701-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828017001638/0001628280-17-001638-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828018002322/0001628280-18-002322-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828019001744/0001628280-19-001744-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828020002192/0001628280-20-002192-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828021003197/0001628280-21-003197-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828022004260/0001628280-22-004260-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,79600000,91200000,118100000,143900000,117200000,255800000,357800000,377600000,285200000,332300000,-82400000,-430969000,298919000,230101000,537632000,572723000,417019000,592927000,599993000,379636000,528704000,684863000,768508000,776464000,903944000,498874000,369416000,318022000,-1053836000,-530993000,-213512000,126628000,903000000
74,Depreciation and Amortization,- -,- -,- -,- -,42700000,50300000,57700000,63600000,92000000,124300000,133000000,149000000,189900000,214900000,298600000,256389000,262508000,191928000,183819000,182478000,174991000,172264000,172080000,172095000,169830000,165808000,161298000,174282000,196393000,248701000,265427000,262340000,274767000,271932000,244518000,199898000,- -
