,https://roic.ai/company/WHG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,12960000,12198000,13995000,15897000,20110000,24085000,29921000,30235000,37592000,45800000,13777000,15776000,18358000,25154000,27502000,30928000,29194000,27429000,24198000,24563000
11,COGS and Expenses,9524000,15229000,12960000,12198000,13995000,15897000,20110000,24085000,29921000,30235000,37592000,45800000,57469000,63556000,71205000,88716000,89011000,95883000,89153000,77581000,66339000,67095000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,157000,88000,108000,191000,272000,266000,228000,232000,254000,429000,762000,821000,769000,938000,2596000,2929000,2916000,2539000,2624000,2642000,2374000
15,EBITDA,3984000,4515000,8752000,7988000,6176000,6315000,7559000,12435000,16767000,12572000,18150000,23871000,20847000,29038000,42974000,44816000,36939000,36809000,39001000,12026000,-4946000,16377000
16,EBITDA ratio,0.2469,0.2305,0.4047,0.3978,0.3091,0.2878,0.2762,0.3426,0.3609,0.2954,0.3281,0.3464,0.2690,0.3162,0.3795,0.3423,0.3003,0.2751,0.3189,0.1430,-0.0760,0.2242
17,Operating Income,6612000,4358000,8664000,7880000,5985000,6043000,7254000,12207000,16535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,35938000,4644000,-3447000,5959000
18,Operating Income ratio,0.4098,0.2225,0.4007,0.3925,0.2995,0.2754,0.2651,0.3364,0.3559,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2939,0.0552,-0.0529,0.0816
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4009000,524000,4758000,-4141000,8044000
20,Income Before Tax,6612000,4358000,8664000,7880000,5985000,6043000,7254000,12207000,16535000,12318000,17721000,23109000,20026000,28269000,42036000,42220000,34010000,33893000,36462000,9402000,-7588000,14003000
21,Income Before Tax Ratio,0.4098,0.2225,0.4007,0.3925,0.2995,0.2754,0.2651,0.3364,0.3559,0.2895,0.3204,0.3354,0.2584,0.3079,0.3712,0.3224,0.2765,0.2533,0.2981,0.1118,-0.1165,0.1917
22,Income Tax expense (Gain),- -,3097000,3453000,2996000,2299000,2407000,2785000,4263000,5992000,4423000,6441000,8423000,7936000,10378000,14787000,15115000,11363000,13904000,9711000,3491000,1359000,4240000
23,Net Income,3984000,1261000,5211000,4884000,3686000,3636000,4508000,7944000,10543000,7895000,11280000,14686000,12090000,17891000,27249000,27105000,22647000,19989000,26751000,5911000,-8947000,9763000
24,Net Income ratio,0.2469,0.0644,0.2410,0.2433,0.1845,0.1657,0.1647,0.2189,0.2269,0.1855,0.2039,0.2131,0.1560,0.1948,0.2406,0.2070,0.1841,0.1494,0.2187,0.0703,-0.1374,0.1336
25,EPS,0.74,0.23,0.97,0.91,0.68,0.67,0.81,1.36,1.73,1.25,1.62,2.11,1.69,2.44,3.63,3.49,2.84,2.45,3.20,0.70,-1.12,1.22
26,EPS Diluted,0.74,0.23,0.97,0.90,0.68,0.66,0.79,1.28,1.63,1.18,1.58,2.04,1.65,2.34,3.45,3.33,2.77,2.38,3.13,0.70,-1.12,1.22
27,Weighted Average Shares Outstanding,5383784,5482609,5372165,5367033,5420588,5426866,5565432,5841176,6094220,6316000,6962963,6960190,7145701,7331874,7512348,7756647,7961891,8147742,8365360,8408017,7987554,7987554
28,Weighted Average Shares Outstanding Diluted,5383784,5482609,5372165,5426667,5420588,5509091,5706329,6206250,6468098,6664910,6962963,7208515,7338104,7643051,7906545,8149399,8165475,8400022,8547370,8463239,7987554,7987554
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1165002/000093066103000945/0000930661-03-000945-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312504031244/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312505035879/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312506038856/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312507037124/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312508040056/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312509039036/0001193125-09-039036-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312510040647/0001193125-10-040647-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312511047683/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312512085119/0001193125-12-085119-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312513084081/0001193125-13-084081-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000156459014000450/whg-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1165002/000156459015001030/whg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1165002/000116500216000034/0001165002-16-000034-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500217000024/0001165002-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500218000014/0001165002-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500219000009/0001165002-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500220000035/0001165002-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500221000023/0001165002-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1165002/000116500222000039/0001165002-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,149000,4359000,3643000,720000,1897000,2177000,4560000,3498000,2879000,1744000,5264000,3817000,10864000,18131000,22740000,33679000,54249000,52449000,49766000,13016000,15206000
32,Short-Term Investments,- -,- -,14230000,17413000,18632000,17878000,17933000,22144000,28152000,42246000,43300000,54868000,59906000,64554000,79620000,72320000,56485000,51324000,65781000,50324000,69542000,65024000
33,Cash and Short-Term Investments,- -,149000,18589000,21056000,19352000,19775000,20110000,26704000,31650000,45125000,45044000,60132000,63723000,75418000,97751000,95060000,90164000,105573000,118230000,100090000,82558000,80230000
34,Net Receivables,- -,2397000,2186000,1931000,1832000,2452000,3111000,6599000,12638000,6406000,7348000,7707000,8920000,14468000,14540000,19618000,23429000,21660000,18429000,13177000,11150000,11385000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,15571000,- -,- -,414000,410000,1732000,2163000,2481000,2812000,3490000,4643000,4727000,6303000,6473000,2926000,2364000,10881000,3080000,3694000,2606000,2246000
37,Total Current Assets,- -,18117000,20775000,22987000,21598000,22637000,24953000,35466000,46769000,54343000,55882000,72482000,77370000,96189000,118764000,117604000,115957000,138114000,139739000,116961000,96314000,93861000
38,PP&E,- -,- -,- -,- -,1860000,1554000,1253000,1031000,842000,578000,346000,2239000,2145000,2746000,2633000,2192000,4280000,4190000,4454000,11714000,9289000,6982000
39,Goodwill,- -,2302000,2302000,2302000,2302000,2302000,2302000,2302000,2302000,3915000,11281000,11255000,11255000,11255000,11255000,27144000,27144000,27144000,19804000,19804000,16401000,16401000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000,5119000,4621000,4149000,3789000,3430000,23354000,21394000,19804000,15961000,15256000,13535000,11911000
41,Intangible Assets,- -,2302000,2302000,2302000,2302000,2302000,2302000,2302000,2302000,4965000,16400000,15876000,15404000,15044000,14685000,50498000,48538000,46948000,35765000,35060000,29936000,28312000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5425000,12392000,11681000,8968000
43,Tax Assets,- -,- -,- -,- -,517000,817000,214000,225000,934000,- -,- -,- -,1696000,2041000,3792000,11042000,10903000,3407000,5102000,2216000,1468000,848000
44,Other Non-Current Assets,- -,634000,1043000,948000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364000,464000,634000
45,Total Non-Current Assets,- -,2936000,3345000,3250000,4679000,4673000,3769000,3558000,4078000,5543000,16746000,18115000,19245000,19831000,21110000,63732000,63721000,54545000,50746000,61746000,52838000,45744000
46,Other Assets,18100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18100000,21053000,24120000,26237000,26277000,27310000,28722000,39024000,50847000,59886000,72628000,90597000,96615000,116020000,139874000,181336000,179678000,192659000,190485000,178707000,149152000,139605000
48,Accounts Payable,- -,2834000,4558000,3072000,3332000,3695000,1894000,5872000,8157000,7268000,10659000,1674000,1636000,2082000,2334000,3549000,2641000,3501000,2518000,2145000,1627000,2637000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1584000,1718000,1409000
50,Tax Payable,- -,- -,81000,472000,- -,694000,689000,1505000,1359000,823000,173000,85000,1438000,1031000,1498000,6268000,3148000,1598000,365000,289000,191000,466000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,4056000,378000,1278000,477000,1240000,3380000,3218000,3455000,4093000,1085000,15849000,17190000,22771000,24870000,41304000,27027000,28030000,23177000,17626000,8449000,11796000
53,Total Current Liabilities,- -,6890000,4936000,4350000,3809000,4935000,5274000,9090000,11612000,11361000,11744000,17523000,18826000,24853000,27204000,44853000,29668000,31531000,25695000,21355000,11794000,15842000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6121000,4724000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,441000,- -,90000,1348000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000,117000,969000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,131000,61000,34000,805000,816000,713000,588000,- -,1069000,- -,- -,1238000,2534000,2663000,2516000,3941000,4732000,3641000,9065000,526000,1133000
58,Total Non-Current Liabilities,- -,131000,61000,34000,805000,816000,713000,588000,441000,1307000,207000,2317000,1238000,2534000,2663000,2516000,3941000,4732000,3641000,9065000,6647000,5857000
59,Other Liabilities,5298000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9346000,7839000,6133000
61,Total Liabilities,5298000,7021000,4997000,4384000,4614000,5751000,5987000,9678000,12053000,12668000,11951000,19840000,20064000,27387000,29867000,47369000,33609000,36263000,29336000,30420000,18441000,21699000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,54000,54000,56000,58000,60000,66000,68000,71000,73000,79000,81000,85000,88000,90000,94000,98000,100000,102000,103000,105000,107000
64,Retained Earnings,- -,8099000,13094000,11460000,9464000,6612000,2380000,2578000,4765000,3871000,2782000,6473000,6455000,11016000,20317000,29674000,31881000,28607000,30525000,10967000,-1695000,4362000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-1235000,1559000,926000,1940000,30000,-257000,-1231000,-4688000,-4287000,-1764000,-4883000,-2943000,- -,- -
66,Other Total Stockholders Equity,12802000,5879000,5975000,10337000,12141000,14887000,20289000,26700000,35193000,41715000,56890000,62263000,69981000,77786000,90831000,108887000,118377000,129453000,135405000,140160000,132301000,- -
67,Total Stockholders Equity,12802000,14032000,19123000,21853000,21663000,21559000,22735000,29346000,38794000,47218000,60677000,70757000,76551000,88633000,110007000,133967000,146069000,156396000,161149000,148287000,130711000,117906000
68,Total Liabilities And Stockholders Equity,18100000,21053000,24120000,26237000,26277000,27310000,28722000,39024000,50847000,59886000,72628000,90597000,96615000,116020000,139874000,181336000,179678000,192659000,190485000,178707000,149152000,139605000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18100000,21053000,24120000,26237000,26277000,27310000,28722000,39024000,50847000,59886000,72628000,90597000,96615000,116020000,139874000,181336000,179678000,192659000,190485000,178707000,149152000,139605000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1165002/000093066103000945/0000930661-03-000945-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312504031244/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312505035879/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312506038856/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312507037124/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312508040056/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312509039036/0001193125-09-039036-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312510040647/0001193125-10-040647-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312511047683/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312512085119/0001193125-12-085119-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312513084081/0001193125-13-084081-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000156459014000450/whg-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1165002/000156459015001030/whg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1165002/000116500216000034/0001165002-16-000034-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500217000024/0001165002-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500218000014/0001165002-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500219000009/0001165002-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500220000035/0001165002-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500221000023/0001165002-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1165002/000116500222000039/0001165002-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1261000,5211000,4884000,3686000,3636000,4508000,7944000,10543000,7895000,11280000,14686000,12090000,17891000,27249000,27105000,22647000,19989000,26751000,5911000,-8947000,9763000
74,Depreciation and Amortization,- -,157000,88000,108000,191000,272000,266000,228000,232000,254000,429000,762000,821000,769000,938000,2596000,2929000,2916000,2539000,2624000,2642000,2374000
75,Deferred Income Tax,- -,- -,- -,- -,-153000,-300000,-685000,-256000,-978000,-73000,-350000,-93000,-1817000,-907000,-2133000,-3285000,149000,7542000,-1749000,2906000,754000,620000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10515000,11595000,13685000,17574000,15954000,16430000,15283000,10305000,6701000,5835000
77,Change in Working Capital,- -,1867000,4612000,2798000,-848000,-87000,1977000,6697000,8781000,7825000,1156000,10821000,3585000,12792000,20224000,-18809000,13538000,20294000,7461000,-18438000,-11086000,1719000
78,Accounts Receivable,- -,- -,1576000,-673000,-2156000,-926000,-1606000,-3674000,-6039000,6232000,-572000,-359000,-1208000,-5702000,-369000,-5192000,-3493000,2161000,2678000,5404000,3683000,-1702000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-185000,-540000,-285000,472000,-108000,2277000,- -,- -,- -,- -,-39000,450000,353000,1174000,-926000,763000,-644000,-382000,-526000,1009000
81,Other Working Capital,- -,11227000,15839000,18637000,17789000,17702000,19679000,26376000,35157000,42982000,44138000,54959000,58544000,71336000,91560000,72751000,86289000,106583000,114044000,95606000,84520000,- -
82,Other Non-Cash Items,- -,3385000,-5066000,-3929000,-449000,2763000,1158000,-2927000,-24888000,-5295000,5762000,-7628000,-11414000,-20433000,-33440000,30027000,-7825000,-19162000,-18801000,28864000,166000,-926000
83,Cash Provided by Operating Activities,- -,6670000,4845000,3861000,2427000,6284000,7224000,11686000,-6310000,10606000,18277000,18548000,13780000,21707000,26523000,55208000,47392000,48009000,31484000,32172000,-9770000,19385000
84,CAPEX,- -,-52000,-88000,-118000,-1189000,-75000,-70000,-114000,-153000,-86000,-49000,-1431000,-264000,-1201000,-478000,-951000,-1819000,-1167000,-991000,-1177000,-93000,-178000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-251000,-5609000,-816000,- -,- -,- -,-24133000,- -,- -,10013000,- -,- -,- -
86,Purchases of Investments,- -,-19159000,-9190000,-5817000,-21755000,-4863000,-7869000,-8009000,-34849000,-64984000,-39877000,- -,- -,- -,- -,- -,- -,- -,-5425000,-3671000,- -,-15000
87,Sales/Maturities of Investments,- -,12500000,8757000,3667000,22805000,5969000,8846000,5035000,48123000,63597000,39257000,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,9258000
88,Other Investing Activites,- -,- -,- -,- -,27000,- -,- -,- -,- -,- -,616000,3000,- -,- -,- -,- -,9000,- -,- -,-584000,89000,501000
89,Cash Used for Investing Activites,- -,-6711000,-521000,-2268000,-112000,1031000,907000,-3088000,13121000,-1724000,-5662000,-2244000,1636000,-1201000,-478000,-25084000,-1810000,-1167000,3597000,-4848000,-4000,9566000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,57000,150000,271000,402000,609000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-6000,- -,- -,- -,- -,-1070000,-2430000,-2526000,-2723000,-5957000,-3796000,-4667000,-669000,-1327000,-5634000,-5328000,-4000000,-2414000,-14072000,-3874000
93,Dividends Paid,- -,- -,-108000,-6459000,-5388000,-6409000,-8283000,-7040000,-7971000,-8526000,-12266000,-7918000,-13981000,-9330000,-13962000,-16619000,-19442000,-21923000,-24621000,-26089000,-11043000,-22932000
94,Other Financing Activites,- -,-4093000,- -,4093000,- -,- -,30000,1286000,2528000,1551000,1239000,1091000,886000,694000,-3340000,-4193000,-9868000,-1326000,-5494000,-3367000,-697000,- -
95,Cash Used/Provided by Financing Activities,- -,-4093000,-114000,-2309000,-5238000,-6138000,-7851000,-6215000,-7873000,-9501000,-13750000,-12784000,-16891000,-13303000,-17971000,-22139000,-34944000,-28577000,-34115000,-31870000,-25812000,-26806000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,-156000,-807000,-3376000,301000,2305000,-2766000,1863000,-1164000,45000
97,Net Change In Cash,- -,-4134000,4210000,-716000,-2923000,1177000,280000,2383000,-1062000,-619000,-1135000,3520000,-1447000,7047000,7267000,4609000,10939000,20570000,-1800000,-2683000,-36750000,2190000
98,Cash at the End of Period,- -,149000,4359000,3643000,720000,1897000,2177000,4560000,3498000,2879000,1744000,5264000,3817000,10864000,18131000,22740000,33679000,54249000,52449000,49766000,13016000,15206000
99,Cash at the Beginning of Period,- -,4283000,149000,4359000,3643000,720000,1897000,2177000,4560000,3498000,2879000,1744000,5264000,3817000,10864000,18131000,22740000,33679000,54249000,52449000,49766000,13016000
100,Free Cash Flow,- -,6618000,4757000,3743000,1238000,6209000,7154000,11572000,-6463000,10520000,18228000,17117000,13516000,20506000,26045000,54257000,45573000,46842000,30493000,30995000,-9863000,19207000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1165002/000093066103000945/0000930661-03-000945-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312504031244/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312505035879/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312506038856/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312507037124/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312508040056/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312509039036/0001193125-09-039036-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312510040647/0001193125-10-040647-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312511047683/d10k.htm,https://www.sec.gov/Archives/edgar/data/1165002/000119312512085119/0001193125-12-085119-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000119312513084081/0001193125-13-084081-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000156459014000450/whg-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1165002/000156459015001030/whg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1165002/000116500216000034/0001165002-16-000034-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500217000024/0001165002-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500218000014/0001165002-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500219000009/0001165002-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500220000035/0001165002-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/1165002/000116500221000023/0001165002-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1165002/000116500222000039/0001165002-22-000039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
