,https://roic.ai/company/MTN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,159000000,445900000,401563000,402923000,580214000,641488000,691602000,766090000,850343000,908781000,1030784000,1087577000,1070102000,1152600000,1247215000,1359968000,1434878000,1561223000,1682367000,430405000,389457000,975716000,864251000,772364000,727213000,792582000
67,Total Stockholders Equity,- -,123900000,405700000,462624000,476775000,493755000,496749000,507268000,496246000,491163000,540529000,642777000,714039000,728756000,765295000,788770000,829723000,802311000,823868000,820843000,866568000,874540000,1571156000,1589434000,1500627000,1316742000,1594599000
68,Total Liabilities And Stockholders Equity,- -,422600000,855900000,912122000,1081913000,1120424000,1167047000,1422236000,1426283000,1496852000,1496251000,1655083000,1881412000,1896039000,1853654000,1909192000,1932240000,1913597000,2261421000,2159892000,2475603000,2468092000,3882915000,3842755000,4199864000,5029307000,6016587000
69,Minority Interest,- -,- -,- -,- -,7326000,7394000,21081000,25474000,29159000,37105000,29670000,32560000,27711000,29915000,30826000,13617000,13996000,14017000,14001000,13957000,14018000,13926000,227803000,222229000,226213000,214925000,234469000
70,Total Liabilities & Equity,- -,422600000,855900000,912122000,1089239000,1127818000,1188128000,1447710000,1455442000,1533957000,1525921000,1687643000,1909123000,1925954000,1884480000,1922809000,1946236000,1927614000,2275422000,2173849000,2489621000,2482018000,4110718000,4064984000,4426077000,5244232000,6251056000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/812011/000092735696001229/0000927356-96-001229-index.html,https://www.sec.gov/Archives/edgar/data/812011/000092735697001483/0000927356-97-001483-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812011/000081201101500015/0000812011-01-500015-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201102000021/0000812011-02-000021-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201103000029/0000812011-03-000029-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201104000019/0000812011-04-000019-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201105000035/0000812011-05-000035-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201106000034/0000812011-06-000034-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201107000054/0000812011-07-000054-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201108000026/0000812011-08-000026-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201109000030/0000812011-09-000030-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201110000020/0000812011-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000119312511253811/0001193125-11-253811-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201112000017/0000812011-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201113000029/0000812011-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201114000019/0000812011-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201115000051/0000812011-15-000051-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201116000115/0000812011-16-000115-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201117000079/0000812011-17-000079-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201118000083/0000812011-18-000083-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201119000077/0000812011-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201120000059/0000812011-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/812011/000081201121000069/0000812011-21-000069-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,4700000,19700000,41000000,12791000,15338000,13631000,7565000,-8527000,-5959000,23138000,45756000,61397000,102927000,48950000,30385000,34489000,16453000,37743000,28478000,114754000,149754000,210553000,379898000,301163000,98833000,127850000
74,Depreciation and Amortization,- -,18100000,34000000,36800000,53256000,61435000,65478000,68413000,85031000,87451000,89968000,86098000,87664000,93794000,107213000,110638000,117957000,127581000,132688000,140601000,149123000,161488000,189157000,204462000,218117000,249572000,252585000
75,Deferred Income Tax,- -,2500000,7400000,19100000,8003000,7889000,5790000,-2715000,4275000,-1018000,-7514000,1322000,-3968000,2980000,30767000,-4427000,32194000,9243000,-8125000,6219000,12968000,7626000,36437000,-45770000,22419000,17435000,-16136000
76,Stock Based Compensation,- -,- -,- -,- -,358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10741000,11843000,12493000,11999000,12349000,14224000,15753000,17025000,18315000,19040000,19856000,21021000,24395000
77,Change in Working Capital,- -,-53200000,51700000,14241000,-13181000,-9390000,-18166000,-15506000,-19473000,16685000,104822000,13248000,20260000,-100156000,-14244000,-96819000,121621000,-19321000,47013000,-79294000,-61344000,-73112000,12129000,116603000,-136309000,252816000,705562000
78,Accounts Receivable,- -,-600000,- -,-4600000,-5728000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7833000,5687000,-1638000,-2577000,-11715000,-17007000,-15350000,-32991000,-36291000,-44261000,-35406000,167347000,-237188000
79,Inventory,- -,-400000,-800000,1900000,-6554000,-1287000,-2799000,-2711000,570000,605000,-5074000,-4811000,-5171000,-1643000,761000,652000,-2758000,-10853000,-105000,1332000,-1304000,-843000,8086000,-963000,-7274000,-1924000,22781000
80,Accounts Payable,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19774000,20724000,4498000,42367000,-14177000,1879000,23296000,-82394000,118979000
81,Other Working Capital,- -,-53200000,-1500000,12741000,-440000,-9830000,-27996000,-43502000,-62975000,-46290000,58532000,71780000,92040000,-8116000,-22360000,-119179000,2442000,-16879000,30134000,-49160000,-110504000,-183616000,-171487000,-54884000,-191193000,61623000,767185000
82,Other Non-Cash Items,- -,94300000,-9400000,23159000,41383000,36352000,41014000,73917000,93264000,88206000,9927000,46980000,-46911000,117451000,-49151000,-15670000,-51467000,39464000,755000,135650000,72406000,163981000,-9677000,-122608000,208985000,-244727000,-569006000
83,Cash Provided by Operating Activities,- -,66400000,103400000,134300000,102610000,111624000,107747000,131674000,154570000,185365000,220341000,193404000,118442000,216996000,134276000,35950000,267287000,185419000,222423000,245878000,303660000,426762000,456914000,551625000,634231000,394950000,525250000
84,CAPEX,- -,-13900000,-107900000,-80500000,-65168000,-77656000,-57814000,-76234000,-106338000,-62960000,-79975000,-88901000,-119232000,-150892000,-106491000,-68957000,-95640000,-132625000,-94946000,-118305000,-123884000,-109237000,-144432000,-140611000,-192035000,-172334000,-115097000
85,Acquisitions Net,- -,- -,- -,- -,-101276000,- -,-19474000,-164770000,- -,- -,- -,30712000,3544000,- -,-38170000,-15870000,-62344000,-23479000,-19958000,- -,-307051000,-20245000,-553220000,-1356000,-419044000,-327555000,- -
86,Purchases of Investments,- -,- -,- -,- -,-37980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-40800000,-146400000,-69900000,-65168000,-38347000,-30140000,-63889000,-24385000,-20405000,35094000,-133532000,-16458000,2757000,-106455000,-67682000,-95844000,-132475000,-88280000,-117906000,-120017000,-103771000,-129616000,-133223000,-176990000,-165184000,-103329000
89,Cash Used for Investing Activites,- -,-54700000,-251800000,-150400000,-204424000,-116003000,-107428000,-304893000,-130723000,-83365000,-44881000,-191721000,-132146000,-148135000,-144625000,-83552000,-158188000,-155954000,-108238000,-117906000,-427068000,-124016000,-682836000,-134579000,-596034000,-492739000,-103329000
90,Debt Repayment,- -,- -,- -,- -,-302470000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141039000,-106309000,-616861000,-57052000,-97011000,-175998000,-510222000,-329641000,-267014000,-274441000,-280685000,-1015907000,-108157000
91,Common Stock Issued,- -,- -,98200000,- -,- -,314000,4324000,151000,498000,562000,21939000,46649000,11496000,1994000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,8000000,- -,- -,- -,- -,- -,- -,- -,-10839000,-15007000,-99615000,-22367000,-14999000,- -,-30365000,- -,- -,- -,-53787000,-210000,-25800000,-85000000,-46422000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-926000,- -,- -,- -,- -,- -,- -,- -,-5411000,-24249000,-28362000,-45021000,-75506000,-103835000,-146235000,-204161000,-260567000,-212732000,- -
94,Other Financing Activites,- -,-46500000,52800000,13200000,409220000,-5416000,-4779000,177493000,-28655000,-64108000,-107147000,17721000,56240000,-39714000,80708000,114357000,568571000,58144000,103583000,-1193000,700979000,216046000,685351000,153687000,526694000,1651294000,542819000
95,Cash Used/Provided by Financing Activities,- -,-46500000,151000000,21200000,106750000,-5102000,-455000,177644000,-29083000,-63546000,-85208000,53531000,52729000,-137335000,-82698000,-6951000,-53701000,-53522000,-21790000,-222212000,115251000,-271217000,271892000,-350715000,-99558000,376233000,434662000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000,156000,42000,-790000,909000,3522000,-5575000,-5290000,5253000,-95000
97,Net Change In Cash,- -,-34800000,151000000,5200000,4936000,-9481000,-136000,4425000,-5236000,38454000,90252000,55214000,39025000,-68474000,-93047000,-54553000,55398000,-24090000,92551000,-94198000,-8947000,32438000,49492000,60756000,-66651000,283697000,856488000
98,Cash at the End of Period,- -,12700000,- -,13300000,18302000,8821000,8685000,13110000,7874000,46328000,136580000,191794000,230819000,162345000,69298000,14745000,70143000,46053000,138604000,44406000,35459000,67897000,117389000,178145000,118389000,402086000,1258574000
99,Cash at the Beginning of Period,- -,47500000,12100000,8100000,13366000,18302000,8821000,8685000,13110000,7874000,46328000,136580000,191794000,230819000,162345000,69298000,14745000,70143000,46053000,138604000,44406000,35459000,67897000,117389000,185040000,118389000,402086000
100,Free Cash Flow,- -,52500000,-4500000,53800000,37442000,33968000,49933000,55440000,48232000,122405000,140366000,104503000,-790000,66104000,27785000,-33007000,171647000,52794000,127477000,127573000,179776000,317525000,312482000,411014000,442196000,222616000,410153000
