,https://roic.ai/company/KGC,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,26900000,35464000,38473000,88308000,122065000,103600000,95900000,96600000,165900000,206500000,391700000,157000000,198900000,374600000,180000000,341000000,374400000,515700000,429600000,424300000,391400000,481500000,399500000,408300000,388800000,419900000,568500000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72700000,116800000,182500000,268100000,514900000,532100000,389800000,300600000,297500000,560800000,734700000,936700000,704100000,682800000,2299000000,1747700000,2142900000,5485800000,6582300000,6655000000,4651600000,3802700000,3425700000,2869500000,3012100000,2506200000,2337000000,3280000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,8300000,6900000,5300000,7600000,11200000,8300000,7500000,13500000,11000000,7900000,4300000,12300000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19100000,31100000,44700000,24800000,25100000,52000000,68200000,100400000,86500000,72100000,76900000,89600000,71500000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,4229735,8412827,18770530,30064000,32527000,81008000,110868000,93200000,85800000,85300000,140900000,170100000,167700000,108300000,129300000,273800000,447300000,517500000,632000000,681200000,828800000,874700000,897700000,855000000,819400000,772400000,731300000,- -,840900000
15,EBITDA,- -,- -,-700000,-500000,-700000,-1200000,-800000,300000,2100000,9329735,33812827,40070530,53964000,-62073000,-156192000,-117532000,-25100000,56900000,62400000,164500000,96300000,-60400000,249900000,391100000,-633600000,626300000,1595600000,-1906900000,-2059900000,-2816400000,-130100000,123100000,802400000,1374300000,682900000,1773500000,1871800000,1384300000
16,EBITDA ratio,- -,- -,-1.0000,-1.6667,-1.1667,-2.4000,-0.2105,0.0349,0.2234,0.2819,0.3526,0.2906,0.2588,-0.3383,-0.5450,-0.3694,-0.0871,0.2011,0.2267,0.2814,0.1444,-0.0833,0.2759,0.3578,-0.3918,0.2596,0.5301,-0.4836,-0.4778,-0.7452,-0.0375,0.0403,0.2311,0.4161,0.2126,0.5071,0.4442,0.3712
17,Operating Income,- -,- -,700000,300000,600000,500000,3800000,8600000,9400000,33100000,23300000,21100000,26000000,-84600000,-228300000,-213900000,-101700000,-17700000,-22300000,23800000,-67900000,-211200000,201500000,410200000,-682000000,664400000,867200000,-1542500000,-2270900000,-2875500000,-1185300000,-750500000,46300000,433500000,200500000,991100000,1876400000,449400000
18,Operating Income ratio,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2430,0.1530,0.1247,-0.4610,-0.7966,-0.6722,-0.3530,-0.0626,-0.0810,0.0407,-0.1018,-0.2911,0.2225,0.3753,-0.4218,0.2754,0.2881,-0.3912,-0.5267,-0.7608,-0.3419,-0.2459,0.0133,0.1312,0.0624,0.2834,0.4453,0.1205
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,100000,-2000000,-10000000,-8800000,-14500000,-16600000,-11200000,-600000,- -,-6200000,-17000000,-9300000,6300000,27700000,-92800000,293000000,40300000,-21200000,-64300000,-132100000,-97200000,-105800000,-14500000,-87300000,-27300000,-77900000,20000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25400000,21200000,24000000,-94600000,-237100000,-228400000,-118300000,-28900000,-22900000,23800000,-74100000,-228200000,192200000,416500000,-654300000,571600000,1160200000,-1502200000,-2292100000,-2939800000,-1317400000,-847700000,-59500000,419000000,113200000,963800000,1798500000,469400000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2649,0.1537,0.1151,-0.5155,-0.8273,-0.7178,-0.4106,-0.1022,-0.0832,0.0407,-0.1111,-0.3145,0.2122,0.3811,-0.4046,0.2370,0.3854,-0.3809,-0.5316,-0.7778,-0.3801,-0.2777,-0.0171,0.1269,0.0352,0.2756,0.4269,0.1259
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,8700000,13500000,-10900000,4200000,2900000,900000,2900000,6500000,13100000,-11500000,-12900000,-25000000,-73000000,-101000000,-150000000,275400000,-510000000,-261000000,72400000,109700000,141700000,-49000000,23000000,-138000000,246700000,439800000,250700000
23,Net Income,- -,- -,-700000,-500000,-700000,-1200000,-800000,300000,2100000,5100000,17800000,12600000,10400000,-83700000,-241400000,-231300000,-119200000,-31800000,-29400000,10500000,-62300000,-215200000,166600000,334800000,-806400000,309900000,771600000,-2073600000,-2504900000,-3742700000,-1166500000,-984500000,-104000000,445400000,-23600000,718600000,1342400000,221200000
24,Net Income ratio,- -,- -,-1.0000,-1.6667,-1.1667,-2.4000,-0.2105,0.0349,0.2234,0.1541,0.1856,0.0914,0.0499,-0.4561,-0.8423,-0.7269,-0.4137,-0.1124,-0.1068,0.0180,-0.0934,-0.2966,0.1840,0.3063,-0.4987,0.1285,0.2563,-0.5259,-0.5810,-0.9903,-0.3365,-0.3226,-0.0300,0.1348,-0.0073,0.2055,0.3186,0.0593
25,EPS,- -,- -,-0.54,-0.39,-0.51,-0.75,-0.21,0.09,0.51,0.27,0.58,0.36,0.27,-2.03,-3.11,-2.32,-1.20,-0.30,-0.25,0.03,-0.18,-0.62,0.47,0.59,-1.28,0.44,0.93,-1.83,-2.20,-3.28,-1.02,-0.86,-0.08,0.35,-0.02,0.57,1.07,0.18
26,EPS Diluted,- -,- -,-0.54,-0.39,-0.51,-0.75,-0.21,0.09,0.51,0.21,0.58,0.36,0.27,-2.03,-3.11,-2.32,-1.20,-0.30,-0.25,0.03,-0.18,-0.62,0.47,0.59,-1.28,0.44,0.93,-1.83,-2.20,-3.28,-1.02,-0.86,-0.08,0.35,-0.02,0.57,1.06,0.18
27,Weighted Average Shares Outstanding,- -,- -,1296296,1282051,1372549,1600000,3809524,3333333,4117647,18888889,30500000,34600000,38900000,41300000,77700000,99700000,99400000,104500000,119700000,309600000,346000000,345200000,353200000,566100000,628600000,696500000,829200000,1136000000,1139100000,1142100000,1144300000,1146000000,1227000000,1257000000,1249500000,1262344000,1257200000,1257200000
28,Weighted Average Shares Outstanding Diluted,- -,- -,1296296,1282051,1372549,1600000,3809524,3333333,4117647,24285714,30500000,34600000,38900000,41300000,77700000,99700000,99400000,104500000,119700000,309600000,346000000,345200000,353200000,566100000,628600000,696500000,829200000,1136000000,1139100000,1142100000,1144300000,1146000000,1227000000,1257000000,1249500000,1262344000,1268000000,1257200000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701818/000118811207000956/0001188112-07-000956-index.html,https://www.sec.gov/Archives/edgar/data/701818/000104746908003859/a2184324zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/701818/000104746909003558/0001047469-09-003558-index.html,https://www.sec.gov/Archives/edgar/data/701818/000104746910003064/0001047469-10-003064-index.html,- -,https://www.sec.gov/Archives/edgar/data/701818/000104746912003703/0001047469-12-003703-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465913026203/0001104659-13-026203-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/701818/000110465916108516/0001104659-16-108516-index.html,- -,https://www.sec.gov/Archives/edgar/data/701818/000110465918021288/0001104659-18-021288-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465919018715/0001104659-19-018715-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465920039814/0001104659-20-039814-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000000,14000000,201000000,190000000,153000000,114000000,78000000,81000000,171000000,246000000,48000000,33000000,27000000,69000000,335000000,353000000,873000000,761000000,500000000,420000000,503200000,460300000,514000000,600800000,207900000,305600000,1210900000,531500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1000000,19000000,1000000,5000000,1000000,2000000,- -,- -,6000000,64000000,127000000,492000000,191000000,280000000,593000000,1006000000,1483000000,314000000,480300000,583600000,313000000,425000000,141100000,269500000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,14000000,202000000,209000000,154000000,119000000,79000000,83000000,171000000,246000000,54000000,97000000,154000000,561000000,526000000,633000000,1466000000,1767000000,1983000000,734000000,983500000,1043900000,827000000,1025800000,349000000,575100000,1210900000,531500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,12000000,31000000,16000000,55000000,44000000,30000000,14000000,16000000,42000000,41000000,2000000,18000000,63000000,62000000,16000000,229000000,206000000,197000000,180000000,192500000,181100000,191300000,84600000,131000000,119700000,95200000,176200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,28000000,30000000,22000000,55000000,52000000,45000000,42000000,39000000,109000000,111000000,115000000,100000000,243000000,437000000,554000000,737000000,976000000,1258000000,1323000000,1276700000,1005200000,986800000,1094300000,1052000000,1053800000,1072900000,1151300000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,-1000000,- -,1000000,- -,2000000,- -,20000000,5000000,1000000,28000000,21000000,67000000,100000000,188000000,237000000,169000000,163000000,169000000,134400000,61900000,75600000,79700000,65900000,76100000,70700000,89900000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,55000000,262000000,247000000,265000000,215000000,156000000,139000000,246000000,402000000,207000000,242000000,293000000,934000000,1125000000,1391000000,2669000000,3118000000,3601000000,2406000000,2587100000,2292100000,2080700000,2284400000,1597900000,1824700000,2449700000,1948900000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,223000000,253000000,197000000,810000000,633000000,506000000,415000000,330000000,523000000,1244000000,1065000000,1331000000,3476000000,4748000000,4990000000,6912000000,8959000000,8979000000,6583000000,5409400000,4593700000,4917600000,4887200000,5519100000,6340000000,7653500000,7663500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918000000,330000000,321000000,293000000,2015000000,1182000000,1180000000,5980000000,3420000000,1137000000,308000000,162700000,162700000,162700000,162700000,162700000,158800000,158800000,158800000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1178000000,330000000,321000000,293000000,2015000000,1182000000,1180000000,5980000000,3420000000,1137000000,308000000,162700000,162700000,162700000,162700000,162700000,158800000,158800000,158800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,10000000,17000000,16000000,25000000,20000000,14000000,13000000,- -,- -,- -,- -,- -,- -,- -,292200000,629900000,581900000,564900000,335600000,267800000,240200000,306500000,211700000,174200000,144600000,131300000,105300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,7000000,7000000,4000000,3000000,3000000,56000000,124000000,130000000,144000000,466000000,622000000,625000000,884000000,879000000,677000000,534000000,469000000,499000000,390700000,255600000,265200000,304500000,2700000,6500000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,2000000,-7000000,8000000,7000000,20000000,8000000,19000000,-16000000,-71000000,-60000000,-7000000,-162000000,-289000000,-465200000,-677900000,-448900000,-76900000,120400000,55400000,-52300000,121100000,355600000,344700000,303400000,537200000,545100000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000000,233000000,272000000,214000000,850000000,667000000,544000000,439000000,352000000,1741000000,1627000000,1456000000,1761000000,5795000000,6263000000,6622000000,13728000000,13391000000,11281000000,7881000000,6364300000,5443300000,5898600000,5872800000,6465900000,7251300000,8483500000,8479200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000000,288000000,534000000,461000000,1115000000,882000000,700000000,578000000,598000000,2143000000,1834000000,1698000000,2054000000,6729000000,7388000000,8013000000,16397000000,16509000000,14882000000,10287000000,8951400000,7735400000,7979300000,8157200000,8063800000,9076000000,10933200000,10428100000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,49000000,89000000,150000000,93000000,153000000,151000000,129000000,118000000,86900000,75200000,86800000,77400000,89100000,89300000,89100000,87800000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33100000,23300000,29400000,6000000,9400000,46700000,86000000,177100000,177000000,48400000,32700000,516200000,60000000,60000000,249500000,- -,- -,- -,16000000,528100000,59700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24400000,76200000,82900000,93200000,27000000,19200000,6400000,72600000,35100000,21700000,68000000,114500000,95000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,25000000,25000000,17000000,80000000,91000000,82000000,43900000,50700000,120600000,167000000,126600000,112300000,232000000,224900000,368000000,725600000,612300000,660800000,535000000,457500000,377100000,550900000,507900000,523300000,510200000,731200000,593900000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,25000000,25000000,17000000,80000000,91000000,82000000,77000000,74000000,150000000,173000000,178000000,208000000,407000000,552000000,638000000,927000000,796000000,1306000000,713000000,604400000,701800000,637700000,585300000,612400000,615500000,1348400000,741400000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,9000000,60000000,54000000,172000000,152000000,116000000,62000000,37000000,4000000,228000000,153000000,72000000,488000000,784000000,515000000,455000000,1600000000,2116000000,2060000000,1998100000,1731900000,1733200000,1732600000,1735000000,1876300000,1424200000,1625000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487800000,436800000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,16000000,26000000,36000000,88000000,73000000,72000000,62000000,55000000,161000000,133000000,277000000,291000000,986000000,1265000000,1301000000,1615000000,1722000000,1610000000,1500000000,1505900000,1412400000,1462900000,1255700000,1209700000,1265700000,1009800000,975300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,25000000,86000000,90000000,260000000,225000000,188000000,124000000,92000000,165000000,361000000,430000000,363000000,1474000000,2049000000,1816000000,2070000000,3322000000,3726000000,3560000000,3504000000,3144300000,3196100000,2988300000,2944700000,3142000000,2921800000,3037100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23300000,- -,6000000,9400000,46700000,86000000,177100000,17100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,54900000,74700000,54800000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,50000000,111000000,107000000,340000000,316000000,270000000,201000000,166000000,315000000,534000000,608000000,571000000,1881000000,2601000000,2454000000,2997000000,4118000000,5032000000,4273000000,4108400000,3846100000,3833800000,3573600000,3557100000,3757500000,4270200000,3778500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,206000000,289000000,312000000,904000000,920000000,913000000,946000000,1059000000,1784000000,1776000000,1778000000,2002000000,5124000000,5873000000,6448000000,13469000000,14657000000,14693000000,14737000000,14587700000,14603500000,14894200000,14902500000,14913400000,14926200000,4473700000,4427700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,34000000,44000000,-45000000,-296000000,-541000000,-681000000,-726000000,-761000000,3000000,-521000000,-753000000,-587000000,-253000000,-1100000000,-838000000,-137000000,-2250000000,-4937000000,-8771000000,-9937600000,-10922100000,-11026100000,-10580700000,-10548000000,-9829400000,-8562500000,-8492400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-10000000,174000000,166000000,150000000,182000000,188000000,192000000,121800000,28000000,31900000,-1200000,-1200000,-98100000,-164400000,-220100000,-162700000,-97700000,4900000,-36500000,-46100000,-31300000,39100000,21100000,-98500000,-20400000,-23700000,-18800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11192725,11523932,- -,- -,19978000,5369000,13600000,- -,-900000,-300000,33100000,52300000,54200000,64900000,168300000,169600000,231200000,81100000,89300000,84500000,239000000,239200000,238300000,240700000,239800000,242100000,10709000000,10664400000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164192725,241523932,425999000,356745000,777978000,566369000,433600000,328800000,418900000,1814700000,1320000000,1076100000,1468000000,4837800000,4776900000,5559500000,13400500000,12390400000,9850200000,6014000000,4843000000,3889300000,4145500000,4583600000,4506700000,5318500000,6596500000,6580900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195192725,291523932,536999000,463745000,1117978000,882369000,703600000,529800000,584900000,2129700000,1854000000,1684100000,2039000000,6718800000,7377900000,8013500000,16397500000,16508400000,14882200000,10287000000,8951400000,7735400000,7979300000,8157200000,8063800000,9076000000,10866700000,10359400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3192725,-3523932,-2999000,-2745000,-2978000,-369000,-3600000,48200000,13100000,13300000,-20000000,13900000,15000000,10200000,10100000,-500000,-500000,600000,-200000,- -,- -,- -,- -,- -,- -,- -,66500000,68700000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000000,288000000,534000000,461000000,1115000000,882000000,700000000,578000000,598000000,2143000000,1834000000,1698000000,2054000000,6729000000,7388000000,8013000000,16397000000,16509000000,14882000000,10287000000,8951400000,7735400000,7979300000,8157200000,8063800000,9076000000,10933200000,10428100000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701818/000118811207000956/0001188112-07-000956-index.html,https://www.sec.gov/Archives/edgar/data/701818/000104746908003859/a2184324zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/701818/000104746909003558/0001047469-09-003558-index.html,https://www.sec.gov/Archives/edgar/data/701818/000104746910003064/0001047469-10-003064-index.html,- -,https://www.sec.gov/Archives/edgar/data/701818/000104746912003703/0001047469-12-003703-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465913026203/0001104659-13-026203-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/701818/000110465916108516/0001104659-16-108516-index.html,- -,https://www.sec.gov/Archives/edgar/data/701818/000110465918021288/0001104659-18-021288-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465919018715/0001104659-19-018715-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465920039814/0001104659-20-039814-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,17800000,12600000,10400000,-83700000,-241400000,-231300000,-119200000,-31800000,-29400000,10500000,-62300000,-215200000,166600000,334800000,-806400000,309900000,771600000,-2073600000,-2504900000,-3742700000,-1166500000,-984500000,-104000000,445400000,-23600000,718600000,1342400000,221200000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,4229735,8412827,18770530,30064000,32527000,81008000,110868000,93200000,85800000,85300000,140900000,170100000,167700000,108300000,129300000,273800000,447300000,517500000,632000000,681200000,828800000,874700000,897700000,855000000,819400000,772400000,731300000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3422167,6085758,10654000,-11472000,-323000,183375000,-3500000,- -,- -,-2800000,-26000000,-15000000,900000,26400000,27900000,-27900000,-79200000,108400000,-220700000,-247500000,-13800000,53000000,-149700000,-76400000,8900000,41100000,217900000,-63700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,33000000,36500000,38000000,32900000,26200000,17100000,13500000,13600000,14600000,14300000,13700000,10800000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-377655,570361,-7772173,-20796000,-4757000,40892000,6568000,2600000,6700000,9200000,-47700000,28500000,13400000,9400000,27700000,-191000000,-80600000,-122800000,259300000,146500000,-67600000,66500000,182400000,298200000,-26600000,41400000,155200000,151300000,128700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14900000,-82900000,-118000000,-20400000,-27700000,26900000,91000000,-21200000,108600000,-22700000,-64500000,-120900000,-50000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226593,-5275841,-10778390,-1897000,7625000,10724000,3318000,600000,9600000,2400000,-11300000,-19300000,-9900000,13500000,-10600000,-145400000,-115100000,-98500000,-233700000,-297000000,-197500000,-59400000,63500000,79500000,-86700000,-5700000,53800000,-6800000,-86700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58600000,611000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,- -,- -,- -,- -,-200000,- -,- -,-19300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1550044,380263,1331253,6747000,113989000,221826000,-45000,74700000,13800000,-2200000,-8200000,50900000,182800000,6800000,-177000000,1139300000,107900000,-151700000,2454300000,3115200000,3970800000,1062200000,665900000,186200000,-223800000,-25000000,-435600000,232300000,838200000
