,https://roic.ai/company/AWK,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,42600000,32900000,28700000,27100000,31600000,43600000,43300000,36800000,42800000,56700000,67064000,52447000,67996000,- -,- -,- -,- -,140691000,168886000,149795000,138609000,199240000,243709000,279613000,264589000,285800000,126000000,154000000,195000000,175000000,203000000,189000000,235000000
49,Short-Term Debt,107300000,138100000,241200000,113900000,226300000,199000000,156400000,192900000,204500000,159900000,141900000,278219000,573574000,580170000,- -,- -,- -,- -,1007128000,316969000,654832000,173565000,274459000,543908000,385904000,644481000,511091000,682000000,1423000000,1227000000,1035000000,814000000,1611000000,641000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46710000,36606000,35555000,32400000,24505000,26000000,31000000,33000000,45000000,46000000,50000000,176000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,86900000,64200000,68800000,72800000,72300000,71800000,76800000,84900000,93700000,103800000,102700000,146425000,148030000,176568000,- -,- -,- -,- -,215843000,288634000,300133000,295218000,300807000,701488000,329315000,326463000,444107000,725000000,815000000,903000000,884000000,1028000000,1081000000,1265000000
53,Total Current Liabilities,194200000,244900000,342900000,215400000,325700000,302400000,276800000,321100000,335000000,306500000,301300000,491708000,774051000,824734000,- -,- -,- -,- -,1363662000,774489000,1104760000,607392000,774506000,1489105000,994832000,1235533000,1240998000,1533000000,2392000000,2325000000,2094000000,2045000000,2881000000,2141000000
54,Long-Term Debt,684300000,775300000,799700000,948000000,944100000,1185400000,1306400000,1383300000,1715400000,1870000000,2104100000,2393097000,2271165000,2550019000,- -,- -,- -,- -,3096404000,4674837000,4624063000,5312126000,5433542000,5339947000,5190509000,5212881000,5432744000,5862000000,5749000000,6490000000,7569000000,8639000000,9410000000,10421000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,89300000,96000000,113500000,126900000,139600000,350800000,371600000,395100000,419900000,454400000,486200000,651045000,645441000,663082000,- -,- -,- -,- -,583403000,638918000,705587000,884267000,1124078000,1318224000,1499062000,1848496000,2145753000,2334000000,2619000000,1573000000,1740000000,1893000000,2113000000,2421000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2690350000,2643450000,2615375000,2388731000,2589585000,2044819000,2395870000,2463000000,2504000000,3709000000,3956000000,3984000000,3908000000,3794000000
58,Total Non-Current Liabilities,773600000,871300000,913200000,1074900000,1083700000,1536200000,1678000000,1778400000,2135300000,2324400000,2590300000,3044142000,2916606000,3213101000,- -,- -,- -,- -,3679807000,5313755000,8020000000,8839843000,9172995000,9046902000,9279156000,9106196000,9974367000,10659000000,10872000000,11772000000,13265000000,14516000000,15431000000,16636000000
59,Other Liabilities,1854100000,2004800000,2093100000,2424600000,2454700000,3507600000,3772800000,3941200000,4675600000,5092100000,5661000000,6776031000,6554983000,7188033000,- -,- -,- -,- -,9502764000,12902428000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000000,81000000,80000000
61,Total Liabilities,1274700000,1378400000,1522800000,1565100000,1696700000,2273800000,2371600000,2483900000,2875300000,3074200000,3372000000,4223597000,4412428000,4799666000,- -,- -,- -,- -,7186619000,8363162000,9101110000,9447235000,9947501000,10536007000,10273988000,10341729000,11215365000,12192000000,13264000000,14097000000,15359000000,16561000000,18312000000,18777000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1779043000,28864000,28707000,4557000,4547000,4547000,1720000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,39100000,40800000,42400000,98000000,99600000,101100000,121630000,123525000,125020000,- -,- -,- -,- -,1600000,1600000,1600000,1746000,1750000,1757000,1770000,1784000,1795000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,402300000,427400000,459300000,502800000,538300000,578600000,618900000,664500000,662200000,717200000,778500000,1001029000,1069486000,1137772000,- -,- -,- -,- -,-736292000,-1079118000,-1705594000,-2076287000,-1959235000,-1848801000,-1664955000,-1495698000,-1295549000,-1073000000,-873000000,-723000000,-464000000,-207000000,102000000,925000000
65,Other Comprehensive Income/Loss,-283100000,-309000000,-338500000,-371500000,-406200000,-484200000,-535100000,-590800000,-682800000,-755400000,-848500000,-1152575000,-1276386000,-183780000,- -,- -,- -,- -,-18766000,-18383000,-82251000,-64677000,-71446000,-97677000,-116191000,-34635000,-81868000,-88000000,-86000000,-79000000,-34000000,-36000000,-49000000,-45000000
66,Other Total Stockholders Equity,343200000,419500000,449000000,544100000,587000000,586700000,710500000,803100000,1079500000,1178700000,1305200000,1758525000,1805745000,728421000,- -,- -,- -,- -,4570855000,5637947000,5888246000,6140077000,6156656000,6180558000,6222644000,6256353000,6291213000,6208000000,6175000000,6185000000,6360000000,6362000000,6399000000,- -
67,Total Stockholders Equity,462400000,537900000,569800000,675400000,719100000,720200000,835100000,919200000,1156900000,1240100000,1336300000,1728609000,1722370000,1807433000,- -,- -,- -,- -,5596440000,4570910000,4130708000,4005416000,4132272000,4240384000,4444988000,4727804000,4915591000,5049000000,5218000000,5385000000,5864000000,6121000000,6454000000,7298000000
68,Total Liabilities And Stockholders Equity,1737100000,1916300000,2092600000,2240500000,2415800000,2994000000,3206700000,3403100000,4032200000,4314300000,4708300000,5952206000,6134798000,6607099000,- -,- -,- -,- -,12783059000,12934072000,13231818000,13452651000,14079773000,14776391000,14718976000,15069533000,16130956000,17241000000,18482000000,19482000000,21223000000,22682000000,24766000000,26075000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1737100000,1916300000,2092600000,2240500000,2415800000,2994000000,3206700000,3403100000,4032200000,4314300000,4708300000,5952206000,6134798000,6607099000,- -,- -,- -,- -,12783059000,12934072000,13231818000,13452651000,14079773000,14776391000,14718976000,15069533000,16130956000,17241000000,18482000000,19482000000,21223000000,22682000000,24766000000,26075000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1410636/000119312509040650/0001193125-09-040650-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000119312510044392/0001193125-10-044392-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000119312511047938/d10k.htm,https://www.sec.gov/Archives/edgar/data/1410636/000119312512084903/0001193125-12-084903-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000119312513085812/0001193125-13-085812-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000156459014000381/awk-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1410636/000156459015000905/awk-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1410636/000156459016013247/0001564590-16-013247-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000156459017001899/0001564590-17-001899-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000141063618000076/0001410636-18-000076-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000141063619000041/0001410636-19-000041-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000141063620000040/0001410636-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000141063621000101/0001410636-21-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1410636/000141063622000048/0001410636-22-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,48300000,57100000,73600000,68200000,75400000,78700000,92100000,101700000,119100000,131000000,138949000,161061000,161483000,- -,- -,- -,- -,-162243000,-342826000,-562421000,-233083000,267827000,309613000,358070000,369264000,423108000,476000000,468000000,426000000,567000000,621000000,709000000,1263000000
74,Depreciation and Amortization,- -,-39700000,-47000000,-52100000,-58400000,-75100000,-80600000,-87000000,-101900000,-112500000,-129800000,-165626000,-176559000,-201197000,- -,- -,- -,- -,- -,- -,- -,335159000,354650000,351821000,381503000,407718000,424084000,440000000,470000000,492000000,545000000,582000000,604000000,636000000
75,Deferred Income Tax,- -,8000000,14400000,13900000,14200000,7900000,17500000,15300000,22200000,31900000,29000000,31411000,27431000,30980000,- -,- -,- -,- -,34464000,41918000,95643000,140821000,157602000,195494000,200440000,250500000,255573000,296000000,282000000,462000000,195000000,208000000,207000000,230000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10334000,10008000,11470000,12474000,13043000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,8500000,-89900000,128300000,-92400000,62400000,6500000,-50500000,-11000000,34100000,44100000,-123527000,-283328000,2209000,- -,- -,- -,- -,-457075000,607086000,-342950000,578820000,-131934000,148753000,-403939000,-189758000,105514000,-296371000,-732000000,3000000,292000000,553000000,-215000000,126000000
78,Accounts Receivable,- -,-10400000,-8700000,-7500000,-2100000,-13500000,-6200000,-14900000,-6700000,-9300000,-18400000,-10934000,-24169000,-31963000,- -,- -,- -,- -,- -,- -,- -,-18751000,- -,- -,-34528000,-79306000,-61942000,-84000000,-31000000,21000000,-17000000,-25000000,-97000000,- -
79,Inventory,- -,-300000,- -,-400000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,14700000,2900000,-4200000,-1600000,3000000,11900000,-300000,-6500000,6000000,14000000,-3150000,-14644000,4907000,- -,- -,- -,- -,- -,- -,- -,52000,6487000,37824000,-10572000,16215000,-26137000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-121100000,-211000000,-82700000,-175100000,-112700000,-106200000,-156700000,-167700000,-133600000,-89500000,-213027000,-496355000,-494146000,- -,- -,- -,- -,-951221000,-344135000,-687085000,-108265000,-240199000,-91446000,-495385000,-685143000,-579629000,-876000000,-1608000000,-1605000000,-1313000000,-760000000,-975000000,134000000
82,Other Non-Cash Items,- -,79700000,161800000,-36300000,211000000,69800000,155200000,209200000,197500000,194500000,195600000,448185000,574541000,334137000,- -,- -,- -,- -,908602000,167534000,1361897000,-225561000,116454000,-207332000,408054000,45964000,-124035000,263371000,788000000,66000000,-213000000,-581000000,121000000,-814000000
83,Cash Provided by Operating Activities,- -,104800000,96400000,127400000,142600000,140400000,177300000,179100000,208500000,267100000,269900000,329392000,303146000,327612000,- -,- -,- -,- -,323748000,473712000,552169000,596156000,774933000,808357000,955598000,896162000,1097287000,1179000000,1276000000,1449000000,1386000000,1383000000,1426000000,1441000000
84,CAPEX,- -,-210300000,-198900000,-182600000,-197500000,-193100000,-265700000,-330800000,-273700000,-352400000,-390600000,-482760000,-391526000,-397295000,- -,- -,- -,- -,-709289000,-768421000,-1033599000,-815165000,-809331000,-977992000,-985675000,-1044979000,-1034294000,-1267000000,-1395000000,-1510000000,-1673000000,-1758000000,-1928000000,-1873000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-65900000,-6000000,-5700000,-302400000,-3100000,-45700000,-41764000,-51821000,-214378000,- -,- -,- -,- -,-12534000,-15877000,-12512000,-18144000,-1642000,-7220000,-44560000,-23658000,-8935000,-197000000,-204000000,-177000000,-398000000,-235000000,-135000000,-135000000
86,Purchases of Investments,- -,-1200000,- -,- -,- -,-100000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,700000,6500000,100000,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1237000,63991000,62843000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
