,https://roic.ai/company/GEO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,59970015,65967016,79160420,99837000,102136500,- -,102073500,95629500,95674500,96138000,71230500,- -,43821000,53616000,73788000,77745000,- -,77883000,83983500,91897500,107407500,108820500,110992500,111484500,120814000,120747000,119311000,119991000,120022000
29,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923796/000095014403003460/0000950144-03-003460-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/923796/000095014405003001/0000950144-05-003001-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000095014407001829/0000950144-07-001829-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000095014408001137/0000950144-08-001137-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000095014409001411/0000950144-09-001411-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/923796/000095012310015259/0000950123-10-015259-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000095012311020922/0000950123-11-020922-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312513087892/0001193125-13-087892-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312514080213/0001193125-14-080213-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312515062920/0001193125-15-062920-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312516478864/0001193125-16-478864-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312517056831/0001193125-17-056831-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312518058566/0001193125-18-058566-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312519050054/0001193125-19-050054-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312520049748/0001193125-20-049748-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000156459021006003/0001564590-21-006003-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000156459022007652/0001564590-22-007652-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6000000,900000,44400000,29000000,- -,20200000,33821000,46100000,35200000,62800000,- -,92800000,111520000,44400000,31700000,- -,33900000,39700000,31755000,52125000,41337000,59638000,68038000,81377000,31255000,32463000,283524000,506491000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19776000,- -,- -,10000000,13953000,- -,- -,- -,650605000,41150000,- -,- -,- -,- -,- -,- -,- -,- -,26740000,- -
33,Cash and Short-Term Investments,- -,6000000,900000,44400000,29000000,- -,20200000,33821000,46100000,54976000,62800000,- -,102800000,125473000,44400000,31700000,- -,684505000,80850000,31755000,52125000,41337000,59638000,68038000,81377000,31255000,32463000,310264000,506491000
34,Net Receivables,9400000,10500000,17800000,24900000,36800000,- -,61200000,80508000,79000000,84700000,99700000,- -,94000000,162867000,172300000,199700000,- -,200800000,275500000,246635000,250530000,269038000,314097000,580288000,408058000,461061000,442181000,368951000,372080000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,800000,1700000,3700000,6000000,9400000,- -,13100000,15308000,14500000,-76000,23100000,- -,26000000,34414000,47800000,50500000,- -,-605705000,68750000,58793000,81690000,67031000,64611000,49343000,90274000,98791000,73134000,32108000,65337000
37,Total Current Assets,10200000,18200000,22400000,75300000,75200000,- -,94500000,129637000,139600000,139600000,185600000,- -,222800000,322754000,264500000,281900000,- -,279600000,425100000,337183000,384345000,377406000,438346000,697669000,579709000,591107000,547778000,711323000,943908000
38,PP&E,6500000,6600000,8200000,19000000,38800000,- -,36300000,54620000,53800000,206500000,201500000,- -,196700000,287374000,783600000,878600000,- -,998600000,1511300000,1687159000,1727798000,1772166000,1916386000,1897241000,2078123000,2158610000,2266249000,2246922000,2150032000
39,Goodwill,- -,- -,- -,2200000,2400000,- -,2000000,- -,400000,- -,- -,- -,- -,- -,24900000,22200000,- -,40100000,244900000,490308000,490196000,493890000,615438000,615433000,778951000,776359000,776356000,755250000,755225000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1398000,- -,- -,- -,- -,- -,41554000,12300000,12400000,- -,17600000,87800000,178318000,163400000,155275000,224148000,203884000,255339000,232360000,210070000,187747000,166124000
41,Intangible Assets,- -,- -,- -,2200000,2400000,- -,2000000,1398000,400000,- -,- -,- -,- -,41554000,37200000,34600000,- -,57700000,332700000,668626000,653596000,649165000,839586000,819317000,1034290000,1008719000,986426000,942997000,921349000
42,Investments,- -,- -,- -,1800000,7300000,- -,15400000,- -,20200000,19800000,6700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,5400000,10100000,- -,- -,- -,- -,- -,- -,- -,8500000,4941000,200000,- -,- -,7100000,63500000,2532000,4821000,5873000,7399000,30039000,26277000,29924000,36278000,36604000,- -
44,Other Non-Current Assets,2400000,5500000,8200000,3100000,5400000,- -,3100000,37916000,7100000,36800000,113500000,- -,52300000,86830000,107100000,93500000,- -,104800000,91200000,143694000,118804000,197598000,301625000,305143000,508509000,459103000,480803000,522280000,522119000
45,Total Non-Current Assets,8900000,12100000,16400000,31500000,64000000,- -,56800000,93934000,81500000,263100000,321700000,- -,257500000,420699000,928100000,1006700000,- -,1168200000,1998700000,2502011000,2505019000,2624802000,3064996000,3051740000,3647199000,3656356000,3769756000,3748803000,3593500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19100000,30300000,38800000,106800000,139200000,- -,151300000,223571000,221100000,402700000,507300000,- -,480300000,743453000,1192600000,1288600000,- -,1447800000,2423800000,2839194000,2889364000,3002208000,3503342000,3749409000,4226908000,4247463000,4317534000,4460126000,4537408000
48,Accounts Payable,1900000,2400000,1900000,4000000,6200000,- -,9200000,18351000,14100000,10100000,20300000,- -,21900000,48890000,48700000,56100000,- -,51900000,73900000,50110000,47286000,58155000,77523000,79637000,92587000,93032000,99232000,85861000,64296000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1250000,7107000,- -,13736000,12685000,17477000,17925000,- -,19624000,41574000,53882000,22163000,16752000,17141000,238065000,28920000,332027000,50416000,55260000,46847000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15723000,12074000,11788000,15980000,16656000,17379000,18675000,16173000,35192000,38524000,43720000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,7161000,- -,- -,13099000,1830000,19705000,17340000,- -,12197000,32126000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3200000,5600000,7000000,9200000,20400000,- -,22200000,55285000,62500000,56489000,85993000,- -,69265000,110298000,100518000,94535000,- -,93679000,122900000,155879000,153676000,179168000,183960000,186356000,248056000,269524000,246280000,270175000,267699000
53,Total Current Liabilities,5100000,8000000,8900000,13200000,26600000,- -,31400000,73636000,76600000,75000000,113400000,- -,118000000,173703000,186400000,185900000,- -,177400000,270500000,259871000,223125000,254075000,278624000,504058000,369563000,694583000,395928000,411296000,378842000
54,Long-Term Debt,- -,1400000,3700000,200000,200000,- -,200000,10000000,- -,154600000,281800000,- -,229200000,144971000,446500000,494200000,- -,565100000,1003400000,1422365000,1551689000,1594787000,2110023000,2174307000,2546908000,2412244000,2717533000,2886104000,3015709000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,1200000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15703000,14689000,10068000,11471000,- -,8757000,13681000,19254000,30726000,80768000
57,Other Non-Current Liabilities,9600000,- -,- -,5400000,10100000,- -,16700000,12771000,14100000,20400000,25100000,- -,33400000,174872000,32000000,30000000,- -,40700000,131000000,93951000,75885000,97285000,96387000,96087000,102761000,87051000,188771000,219918000,87073000
58,Total Non-Current Liabilities,9800000,2600000,4700000,5600000,10300000,- -,16900000,22771000,14100000,175000000,306900000,- -,262600000,319843000,478500000,524200000,- -,605800000,1134400000,1532019000,1642263000,1702140000,2217881000,2270394000,2658426000,2512976000,2925558000,3136748000,3183550000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16621000,15800000,15126000,- -,14419000,13686000,11926000,10924000,9856000,8693000,7431000,6059000,4570000,126453000,133443000,122039000
61,Total Liabilities,14900000,10600000,13600000,18800000,36900000,- -,48300000,96407000,90700000,250000000,420300000,- -,380600000,493546000,664900000,710100000,- -,783200000,1404900000,1791890000,1865388000,1956215000,2496505000,2774452000,3027989000,3207559000,3321486000,3548044000,3562392000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,200000,200000,- -,200000,210000,200000,200000,100000,- -,100000,197000,500000,500000,- -,500000,800000,860000,866000,742000,747000,750000,1240000,1248000,1254000,1262000,1273000
64,Retained Earnings,1800000,1600000,6100000,14300000,26200000,- -,31500000,70457000,89800000,111300000,156600000,- -,164700000,201697000,241100000,300000000,- -,365900000,428500000,264667000,232646000,206342000,158796000,112763000,31541000,-52868000,-119779000,-222892000,-175960000
65,Other Comprehensive Income/Loss,-1300000,-1600000,-2100000,800000,-4400000,- -,-6200000,-13003000,-41600000,-22407000,-2464000,- -,749000,2393000,6920000,-7275000,- -,10000000,10071000,2670000,-4429000,-27461000,-32404000,-30825000,-24446000,-23618000,-20335000,-22589000,-20216000
66,Other Total Stockholders Equity,3700000,19700000,21200000,72700000,80300000,- -,77400000,69500000,82000000,63549000,-67277000,- -,-58701000,44323000,279185000,285271000,- -,288201000,579530000,778615000,794439000,866056000,879599000,892368000,1190906000,1115741000,1135690000,1157321000,1171114000
67,Total Stockholders Equity,4200000,19700000,25200000,88000000,102300000,- -,102900000,127164000,130400000,152642000,86959000,- -,106848000,248610000,527705000,578496000,- -,664601000,1018901000,1046812000,1023522000,1045679000,1006738000,975056000,1199241000,1040503000,996830000,913102000,976211000
68,Total Liabilities And Stockholders Equity,19100000,30300000,38800000,106800000,139200000,- -,151200000,223571000,221100000,402642000,507259000,- -,487448000,742156000,1192605000,1288596000,- -,1447801000,2423801000,2838702000,2888910000,3001894000,3503243000,3749508000,4227230000,4248062000,4318316000,4461146000,4538603000
69,Minority Interest,- -,- -,- -,- -,- -,- -,100000,- -,- -,58000,41000,- -,-7148000,1297000,-5000,4000,- -,-1000,-1000,492000,454000,314000,99000,-99000,-322000,-599000,-782000,-1020000,-1195000
70,Total Liabilities & Equity,19100000,30300000,38800000,106800000,139200000,- -,151300000,223571000,221100000,402700000,507300000,- -,480300000,743453000,1192600000,1288600000,- -,1447800000,2423800000,2839194000,2889364000,3002208000,3503342000,3749409000,4226908000,4247463000,4317534000,4460126000,4537408000
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923796/000095014403003460/0000950144-03-003460-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/923796/000095014405003001/0000950144-05-003001-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000095014407001829/0000950144-07-001829-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000095014408001137/0000950144-08-001137-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000095014409001411/0000950144-09-001411-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/923796/000095012310015259/0000950123-10-015259-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000095012311020922/0000950123-11-020922-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312513087892/0001193125-13-087892-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312514080213/0001193125-14-080213-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312515062920/0001193125-15-062920-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312516478864/0001193125-16-478864-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312517056831/0001193125-17-056831-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312518058566/0001193125-18-058566-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312519050054/0001193125-19-050054-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000119312520049748/0001193125-20-049748-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000156459021006003/0001564590-21-006003-index.htm,https://www.sec.gov/Archives/edgar/data/923796/000156459022007652/0001564590-22-007652-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,2200000,4400000,8300000,11900000,- -,5300000,16994000,19400000,21500000,45300000,- -,16800000,30181000,41800000,58900000,- -,66000000,63500000,134750000,115135000,143930000,139438000,148715000,146241000,145089000,166603000,113032000,77418000
74,Depreciation and Amortization,2100000,2300000,2300000,3500000,6300000,- -,3600000,8639000,9919000,12093000,14586000,- -,14754000,24290000,38868000,40421000,- -,42815000,48111000,91685000,94664000,96171000,106756000,114916000,124297000,126434000,130825000,134680000,135177000
75,Deferred Income Tax,- -,900000,2600000,4400000,7400000,- -,-7300000,-1952000,-670000,-711000,-664000,- -,3433000,-5080000,-5077000,2656000,- -,10010000,14015000,-87710000,-11649000,-10355000,-2374000,-5963000,12238000,1230000,-588000,11221000,86380000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1530000,- -,1813000,1378000,6988000,7889000,8909000,11709000,12773000,19844000,22049000,22344000,23896000,19199000
77,Change in Working Capital,600000,5100000,3300000,48600000,-13500000,- -,14500000,-23399000,6999000,1600000,7600000,- -,32600000,56251000,-70951000,17900000,- -,6200000,52400000,-93188000,83908000,-37889000,36391000,33889000,16535000,-313622000,255326000,148177000,-42414000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29599000,- -,6852000,-14350000,44292000,-27239000,23809000,-29311000,-50946000,20938000,-66101000,-8391000,68181000,9466000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27410000,-9970000,9022000,21912000,5645000,2366000,31689000,10672000,57266000,-58111000
81,Other Working Capital,5100000,10200000,13500000,62100000,48600000,- -,63100000,56001000,63000000,64600000,72200000,- -,104800000,149051000,78100000,96000000,- -,102200000,154600000,77312000,161220000,123331000,159722000,193611000,210146000,-103476000,151850000,300027000,- -
82,Other Non-Cash Items,-200000,-6500000,-11400000,-55700000,9300000,- -,-30100000,25624000,-6169000,-12239000,-45528000,- -,-27176000,-59690000,74288000,-50063000,- -,4091000,-53202000,211715000,-97758000,1775000,-149763000,-332358000,61887000,293295000,-236367000,10727000,6875000
83,Cash Provided by Operating Activities,3300000,4000000,1200000,9100000,21400000,- -,-14000000,25906000,29479000,22243000,21294000,- -,40411000,45952000,78928000,71344000,- -,130929000,126202000,264240000,192189000,202541000,142157000,-28028000,381042000,274475000,338143000,441733000,282635000
84,CAPEX,-300000,-300000,-6400000,-12500000,-24000000,- -,-24500000,-19138000,-8326000,-160698000,-6821000,- -,-10235000,-43165000,-115204000,-130990000,- -,-149779000,-97061000,-107549000,-117566000,-114224000,-117581000,-81565000,-148406000,-195666000,-117244000,-108800000,-69394000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2578000,-410473000,- -,- -,-38386000,-260255000,-35154000,- -,-13025000,-331806000,- -,-353556000,- -,- -,- -,- -
86,Purchases of Investments,- -,-300000,-400000,-400000,- -,- -,-4600000,- -,- -,-171000,- -,- -,-56835000,- -,- -,-2189000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000,- -,56835000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,300000,-2300000,- -,-4500000,-13300000,- -,41700000,-1808000,4429000,1617000,24884000,- -,52315000,28822000,6747000,-129402000,- -,-146887000,-108006000,-20162000,-98976000,-108145000,-121074000,-84360000,-175853000,-188483000,-104137000,-104174000,-53737000
89,Cash Used for Investing Activites,- -,-2900000,-6800000,-17400000,-37300000,- -,12600000,-20946000,-3897000,-159252000,18256000,- -,42080000,-16921000,-518930000,-131591000,- -,-185273000,-368261000,-55316000,-98976000,-121170000,-452880000,-84360000,-529409000,-188483000,-104137000,-104174000,-53737000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100156000,- -,-267474000,-397445000,-456485000,-1134544000,-696726000,-323893000,-944070000,-1448202000,-301082000,-848335000,-829996000,-381871000
91,Common Stock Issued,- -,17600000,1100000,52400000,1800000,- -,1900000,12000,397000,1264000,776000,- -,1589000,105341000,228724000,- -,- -,- -,- -,460000,319000,55112000,441000,- -,275867000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-8900000,-4933000,-1547000,- -,-132000000,- -,- -,-3955000,- -,- -,- -,- -,-87078000,-9702000,- -,- -,- -,- -,- -,-95175000,- -,-9009000,- -
93,Dividends Paid,- -,-4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-108193000,-147156000,-170234000,-186984000,-194748000,-227463000,-229498000,-232546000,-216145000,-30486000
94,Other Financing Activites,-3400000,-8300000,-500000,-800000,-100000,- -,100000,-5000000,-10000000,127981000,114023000,- -,-48704000,-79723000,143552000,153854000,- -,319524000,728221000,351638000,1212341000,722948000,842686000,1258486000,1564517000,500789000,830227000,958406000,423620000
95,Cash Used/Provided by Financing Activities,-3400000,4800000,600000,51600000,1700000,- -,-6900000,-9921000,-11150000,129245000,-17201000,- -,-47115000,21663000,372276000,53698000,- -,52050000,243698000,-222282000,-69040000,-88900000,332250000,119668000,164719000,-124966000,-250654000,-96744000,11263000
96,Effect of Forex Changes on Cash,- -,- -,-100000,200000,-1200000,- -,-500000,-2247000,-2154000,-3095000,5228000,- -,1575000,3732000,609000,-6199000,- -,4495000,4169000,1735000,-3803000,-3259000,-3226000,1120000,-3013000,-10099000,-352000,3566000,-3692000
97,Net Change In Cash,-3400000,4800000,600000,51600000,1700000,- -,-6900000,-7208000,12278000,-10859000,27577000,- -,36951000,54426000,-67117000,-12748000,- -,2201000,5808000,-11623000,20370000,-10788000,18301000,8400000,13339000,-49073000,-17000000,244381000,236469000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,33821000,46099000,35240000,62817000,- -,93275000,111520000,44403000,31655000,- -,33856000,39664000,31755000,52125000,41337000,59638000,68038000,81377000,84472000,67472000,311853000,548322000
99,Cash at the Beginning of Period,100000,- -,6000000,900000,44400000,- -,29000000,41029000,33821000,46099000,35240000,- -,56324000,57094000,111520000,44403000,- -,31655000,33856000,43378000,31755000,52125000,41337000,59638000,68038000,133545000,84472000,67472000,311853000
100,Free Cash Flow,3000000,3700000,-5200000,-3400000,-2600000,- -,-38500000,6768000,21153000,-138455000,14473000,- -,30176000,2787000,-36276000,-59646000,- -,-18850000,29141000,156691000,74623000,88317000,24576000,-109593000,232636000,78809000,220899000,332933000,213241000
