,https://roic.ai/company/CMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,2035600000,2299000000,2688400000,3249700000,3455600000,3488800000,3396000000,3618700000,3999800000,4429700000,4929000000,5049000000,5349000000,5967000000,6247000000,6358000000,5608000000,5745000000,6203000000,8014000000,9155000000,10231000000,11890000000,13033000000,10445000000,11959000000,15925000000,15448000000,15546000000,17200000000,17052000000,15728000000,18431000000,21362000000,21058000000,17964000000,21821000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,8000000,21000000,34000000,25000000,63000000,63000000,66000000,64000000,67000000,93000000,105000000,95000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,35000000,40000000,44000000,32000000,41000000,64000000,65000000,69000000,81000000,114000000,109000000,100000000,111000000
14,Depreciation and Amortization,79200000,106600000,119400000,131800000,135000000,143400000,127200000,122500000,125100000,127700000,143000000,149000000,158000000,199000000,233000000,240000000,231000000,219000000,216000000,266000000,294000000,296000000,290000000,314000000,326000000,320000000,325000000,361000000,407000000,455000000,514000000,530000000,583000000,611000000,672000000,673000000,- -
15,EBITDA,140200000,-53200000,148900000,81900000,151100000,3300000,78500000,-58100000,324500000,421100000,320000000,363000000,444000000,182000000,448000000,229000000,87000000,263000000,278000000,672000000,1060000000,1335000000,1410000000,1471000000,945000000,1877000000,2942000000,2571000000,2462000000,2868000000,2533000000,2467000000,3034000000,3432000000,3607000000,3089000000,2829000000
16,EBITDA ratio,0.0653,-0.0231,0.0538,0.0247,0.0430,0.0010,0.0231,-0.0155,0.0764,0.0889,0.0610,0.0691,0.0789,0.0290,0.0675,0.0347,0.0153,0.0449,0.0442,0.0796,0.1069,0.1175,0.1081,0.1026,0.0875,0.1419,0.1630,0.1483,0.1423,0.1492,0.1325,0.1409,0.1485,0.1444,0.1530,0.1559,0.1178
17,Operating Income,110700000,4700000,79000000,60400000,55200000,-27000000,9500000,130500000,248100000,307500000,198000000,208000000,276000000,82000000,332000000,79000000,-52000000,116000000,93000000,424000000,763000000,1131000000,1158000000,1272000000,682000000,1602000000,2681000000,2254000000,2101000000,2365000000,2057000000,1928000000,2365000000,2786000000,2700000000,2269000000,2706000000
18,Operating Income ratio,0.0516,0.0020,0.0285,0.0182,0.0157,-0.0078,0.0028,0.0348,0.0584,0.0649,0.0378,0.0396,0.0491,0.0131,0.0500,0.0120,-0.0092,0.0198,0.0148,0.0502,0.0769,0.0995,0.0887,0.0887,0.0631,0.1211,0.1485,0.1300,0.1214,0.1230,0.1076,0.1101,0.1158,0.1172,0.1145,0.1145,0.1127
19,Total Other Income Expenses (Gains),-49700000,-164500000,-49500000,-110300000,-39100000,-113100000,-58200000,-54500000,-43200000,-14100000,-21000000,6000000,10000000,-88000000,-111000000,-76000000,-66000000,-75000000,-27000000,8000000,35000000,-48000000,11000000,-94000000,-42000000,15000000,-10000000,17000000,18000000,69000000,-32000000,2000000,- -,-33000000,134000000,69000000,45000000
20,Income Before Tax,61000000,-159800000,29500000,-49900000,16100000,-140100000,-48700000,76000000,204900000,293400000,177000000,214000000,286000000,-6000000,221000000,3000000,-118000000,41000000,66000000,432000000,798000000,1083000000,1169000000,1178000000,640000000,1617000000,2671000000,2271000000,2119000000,2434000000,2025000000,1930000000,2365000000,2753000000,2834000000,2338000000,2751000000
21,Income Before Tax Ratio,0.0284,-0.0694,0.0107,-0.0151,0.0046,-0.0405,-0.0143,0.0203,0.0482,0.0619,0.0337,0.0407,0.0508,-0.0010,0.0333,0.0005,-0.0208,0.0070,0.0105,0.0512,0.0805,0.0953,0.0896,0.0821,0.0593,0.1223,0.1480,0.1310,0.1225,0.1266,0.1060,0.1102,0.1158,0.1158,0.1202,0.1180,0.1145
22,Income Tax expense (Gain),10600000,-52500000,15600000,13500000,22200000,25000000,16900000,8900000,22300000,40500000,-47000000,54000000,74000000,4000000,55000000,-19000000,-42000000,-38000000,12000000,56000000,216000000,324000000,381000000,360000000,156000000,477000000,725000000,533000000,531000000,698000000,555000000,474000000,1371000000,566000000,566000000,527000000,587000000
23,Net Income,50400000,-107300000,13900000,-63400000,-6100000,-165100000,-65600000,-189500000,177100000,252900000,224000000,160000000,212000000,-21000000,160000000,8000000,-102000000,82000000,50000000,350000000,550000000,715000000,739000000,755000000,428000000,1040000000,1848000000,1645000000,1483000000,1651000000,1399000000,1394000000,999000000,2141000000,2260000000,1789000000,2131000000
24,Net Income ratio,0.0235,-0.0466,0.0050,-0.0192,-0.0017,-0.0477,-0.0193,-0.0505,0.0417,0.0534,0.0427,0.0304,0.0377,-0.0034,0.0241,0.0012,-0.0180,0.0140,0.0079,0.0415,0.0555,0.0629,0.0566,0.0526,0.0396,0.0786,0.1024,0.0949,0.0857,0.0859,0.0732,0.0796,0.0489,0.0901,0.0959,0.0903,0.0887
25,EPS,0.66,-1.31,0.07,-0.84,-0.19,-1.81,-0.62,-1.50,1.20,1.53,1.38,1.00,1.39,-0.14,1.04,0.05,-0.67,0.53,0.32,2.08,3.11,3.75,3.72,3.87,2.17,5.29,9.58,8.69,7.93,9.04,7.86,8.25,5.99,13.20,14.54,12.07,14.38
26,EPS Diluted,0.65,-1.31,0.07,-0.84,-0.19,-1.81,-0.62,-1.50,1.16,1.53,1.38,1.00,1.37,-0.14,1.03,0.05,-0.67,0.53,0.32,1.85,2.75,3.55,3.70,3.84,2.16,5.28,9.55,8.67,7.91,9.02,7.84,8.23,5.97,13.15,14.48,12.01,14.38
27,Weighted Average Shares Outstanding,76363636,82065010,82857143,85000000,83684211,98784530,118709677,131447587,141210856,165564648,162318841,159600998,152792793,152727273,153846154,160000000,153383459,153990610,157200000,168674699,176991150,190412783,198655914,194958370,197400000,196700000,193000000,189300000,187000000,182700000,178000000,169000000,166600000,162200000,155400000,148200000,143500000
28,Weighted Average Shares Outstanding Diluted,77241379,82065010,82857143,85000000,83684211,98784530,118709677,131447587,146090713,165564648,162318841,160000000,154744526,152727273,154963680,160000000,153383459,153990610,158000000,189445196,199818347,201266714,199729730,196530548,197700000,197100000,193600000,189700000,187400000,183100000,178400000,169300000,167300000,162800000,156100000,149000000,144700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26172/000002617295000002/0000026172-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617296000002/0000026172-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617297000003/0000026172-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617298000004/0000026172-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617299000002/0000026172-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/26172/000002617201000002/0000026172-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617202000002/0000026172-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746903026015/0001047469-03-026015-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746904005705/0001047469-04-005705-index.htm,- -,https://www.sec.gov/Archives/edgar/data/26172/000110465906012743/0001104659-06-012743-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/26172/000104746909001963/0001047469-09-001963-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746910001435/0001047469-10-001435-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746911001252/0001047469-11-001252-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746912001182/0001047469-12-001182-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746913001297/0001047469-13-001297-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617214000008/0000026172-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617215000007/0000026172-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617216000033/0000026172-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617217000007/0000026172-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617218000011/0000026172-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617219000009/0000026172-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/0000026172-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/0000026172-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/0000026172-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,167500000,162100000,76800000,59300000,73200000,80000000,51500000,54200000,77300000,146900000,60000000,108000000,49000000,38000000,74000000,62000000,92000000,224000000,108000000,611000000,779000000,840000000,577000000,426000000,930000000,1023000000,1484000000,1369000000,2699000000,2301000000,1711000000,1120000000,1369000000,1303000000,1129000000,3401000000,2592000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000000,87000000,79000000,61000000,95000000,120000000,77000000,190000000,339000000,277000000,247000000,150000000,93000000,100000000,260000000,198000000,222000000,341000000,461000000,595000000
33,Cash and Short-Term Investments,167500000,162100000,76800000,59300000,73200000,80000000,51500000,54200000,77300000,146900000,60000000,108000000,49000000,38000000,74000000,62000000,92000000,298000000,195000000,690000000,840000000,935000000,697000000,503000000,1120000000,1362000000,1761000000,1616000000,2849000000,2394000000,1811000000,1380000000,1567000000,1525000000,1470000000,3862000000,3187000000
34,Net Receivables,264000000,365900000,356700000,380700000,393500000,376600000,373500000,372700000,426300000,504300000,597000000,669000000,771000000,833000000,1026000000,724000000,656000000,805000000,929000000,1160000000,1423000000,1767000000,1998000000,1782000000,2004000000,2243000000,2526000000,2475000000,2649000000,2946000000,2820000000,3025000000,3618000000,3866000000,3670000000,3820000000,3990000000
35,Inventory,281900000,350400000,413300000,463600000,427800000,446000000,438300000,440400000,440200000,514400000,513000000,587000000,677000000,731000000,787000000,770000000,688000000,641000000,733000000,1016000000,1174000000,1393000000,1692000000,1783000000,1341000000,1977000000,2141000000,2221000000,2381000000,2866000000,2707000000,2675000000,3166000000,3759000000,3486000000,3425000000,4355000000
36,Other Current Assets,149100000,69300000,42200000,123300000,80100000,88400000,44500000,128300000,127900000,132400000,218000000,189000000,213000000,274000000,293000000,274000000,199000000,238000000,273000000,407000000,479000000,393000000,428000000,645000000,538000000,707000000,663000000,855000000,760000000,849000000,609000000,627000000,577000000,668000000,761000000,790000000,777000000
37,Total Current Assets,862500000,947700000,889000000,1026900000,974600000,991000000,907800000,995600000,1071700000,1298000000,1388000000,1553000000,1710000000,1876000000,2180000000,1830000000,1635000000,1982000000,2130000000,3273000000,3916000000,4488000000,4815000000,4713000000,5003000000,6289000000,7091000000,7167000000,8639000000,9055000000,7947000000,7707000000,8928000000,9818000000,9387000000,11897000000,12309000000
38,PP&E,702000000,840600000,909700000,911200000,890100000,921200000,953000000,928700000,958200000,1089900000,1148000000,1286000000,1532000000,1671000000,1630000000,1598000000,1405000000,1305000000,1347000000,1648000000,1557000000,1574000000,1645000000,1841000000,1886000000,2041000000,2288000000,2724000000,3156000000,3686000000,3745000000,3800000000,3927000000,4096000000,4245000000,4693000000,4422000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,384000000,364000000,354000000,343000000,- -,- -,- -,- -,356000000,365000000,362000000,364000000,367000000,339000000,445000000,461000000,479000000,482000000,480000000,1082000000,1126000000,1286000000,1293000000,1287000000
40,Intangible Assets,- -,- -,- -,- -,- -,60500000,56700000,88300000,170000000,128300000,194000000,204000000,177000000,331000000,249000000,380000000,611000000,439000000,436000000,448000000,458000000,128000000,173000000,223000000,228000000,222000000,227000000,369000000,357000000,343000000,328000000,332000000,973000000,909000000,1003000000,963000000,900000000
41,Intangible Assets,- -,- -,- -,- -,- -,60500000,56700000,88300000,170000000,128300000,194000000,204000000,177000000,715000000,613000000,734000000,954000000,439000000,436000000,448000000,458000000,484000000,538000000,585000000,592000000,589000000,566000000,814000000,818000000,822000000,810000000,812000000,2055000000,2035000000,2289000000,2256000000,2187000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278000000,- -,- -,588000000,574000000,734000000,838000000,897000000,931000000,981000000,975000000,946000000,1156000000,1222000000,1237000000,1441000000,1538000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,640000000,663000000,689000000,500000000,433000000,271000000,491000000,436000000,203000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,479000000,- -
44,Other Non-Current Assets,140600000,201600000,220700000,125900000,166100000,113600000,123700000,217900000,190700000,190100000,326000000,326000000,346000000,280000000,274000000,338000000,341000000,471000000,550000000,469000000,176000000,486000000,926000000,301000000,325000000,546000000,885000000,946000000,1184000000,1232000000,1657000000,1746000000,2009000000,1891000000,2579000000,1858000000,3254000000
45,Total Non-Current Assets,842600000,1042200000,1130400000,1037100000,1056200000,1095300000,1133400000,1234900000,1318900000,1408300000,1668000000,1816000000,2055000000,2666000000,2517000000,2670000000,2700000000,2855000000,2996000000,3254000000,2969000000,2977000000,3380000000,3806000000,3813000000,4113000000,4577000000,5381000000,6089000000,6721000000,7187000000,7304000000,9147000000,9244000000,10350000000,10727000000,11401000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1705100000,1989900000,2019400000,2064000000,2030800000,2086300000,2041200000,2230500000,2390600000,2706300000,3056000000,3369000000,3765000000,4542000000,4697000000,4500000000,4335000000,4837000000,5126000000,6527000000,6885000000,7465000000,8195000000,8519000000,8816000000,10402000000,11668000000,12548000000,14728000000,15776000000,15134000000,15011000000,18075000000,19062000000,19737000000,22624000000,23710000000
48,Accounts Payable,- -,- -,- -,- -,239700000,223100000,243000000,255300000,267500000,321900000,376000000,380000000,386000000,340000000,411000000,388000000,366000000,427000000,557000000,823000000,904000000,1104000000,1263000000,1009000000,957000000,1362000000,1546000000,1339000000,1557000000,1881000000,1706000000,1854000000,2579000000,2822000000,2534000000,2820000000,3021000000
49,Short-Term Debt,60800000,125600000,71600000,98700000,93000000,46000000,39300000,75600000,46000000,36900000,42000000,39000000,42000000,26000000,10000000,8000000,9000000,138000000,49000000,346000000,154000000,164000000,119000000,69000000,37000000,82000000,28000000,77000000,68000000,109000000,63000000,288000000,418000000,879000000,922000000,682000000,580000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000000,202000000,282000000,173000000,99000000,70000000,- -,- -,- -,293000000,280000000,338000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,- -,128000000,182000000,208000000,215000000,285000000,401000000,403000000,468000000,500000000,498000000,533000000,691000000,855000000
52,Other Current Liabilities,462000000,537100000,578200000,622200000,417700000,458500000,406300000,393300000,386800000,481200000,635000000,602000000,627000000,705000000,893000000,827000000,595000000,764000000,785000000,1028000000,1160000000,1131000000,1219000000,1561000000,1310000000,1634000000,1875000000,1505000000,1458000000,1630000000,1631000000,1715000000,2180000000,2185000000,2271000000,2142000000,2628000000
53,Total Current Liabilities,522800000,662700000,649800000,720900000,750400000,727600000,688600000,724200000,700300000,840000000,1053000000,1021000000,1055000000,1071000000,1314000000,1223000000,970000000,1329000000,1391000000,2197000000,2218000000,2399000000,2711000000,2639000000,2432000000,3260000000,3657000000,3136000000,3368000000,4021000000,3803000000,4325000000,5677000000,6384000000,6260000000,6335000000,7084000000
54,Long-Term Debt,234000000,319900000,332600000,408800000,406400000,338600000,371400000,341700000,189600000,154900000,117000000,283000000,522000000,1137000000,1092000000,1032000000,915000000,999000000,1380000000,1299000000,1213000000,647000000,555000000,629000000,637000000,709000000,658000000,698000000,1672000000,1589000000,1576000000,1568000000,1588000000,1597000000,1576000000,3935000000,3579000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,745000000,760000000,803000000,885000000,368000000,414000000,513000000,583000000,589000000,604000000,658000000,821000000,840000000,850000000
56,Deferred Tax Liabilities,236700000,176300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391000000,263000000,306000000,325000000,- -
57,Other Non-Current Liabilities,- -,175700000,344700000,347800000,185600000,286100000,287600000,657800000,679600000,638800000,703000000,753000000,713000000,1000000000,788000000,837000000,1342000000,1576000000,1283000000,1422000000,1365000000,1363000000,1227000000,1026000000,967000000,634000000,637000000,1372000000,1404000000,1560000000,1422000000,1355000000,1651000000,1901000000,2309000000,2200000000,2796000000
58,Total Non-Current Liabilities,470700000,671900000,677300000,756600000,592000000,624700000,659000000,999500000,869200000,793700000,820000000,1036000000,1235000000,2137000000,1880000000,1869000000,2257000000,2575000000,2663000000,2721000000,2578000000,2010000000,1782000000,2400000000,2364000000,2146000000,2180000000,2438000000,3490000000,3662000000,3581000000,3512000000,4234000000,4419000000,5012000000,7300000000,7225000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501000000,453000000,- -
61,Total Liabilities,993500000,1334600000,1327100000,1477500000,1342400000,1352300000,1347600000,1723700000,1569500000,1633700000,1873000000,2057000000,2290000000,3208000000,3194000000,3092000000,3227000000,3904000000,4054000000,4918000000,4796000000,4409000000,4493000000,5039000000,4796000000,5406000000,5837000000,5574000000,6858000000,7683000000,7384000000,7837000000,9911000000,10803000000,11272000000,13635000000,14309000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,109400000,110000000,110000000,120000000,120000000,121000000,122000000,121000000,121000000,121000000,121000000,121000000,137000000,551000000,1732000000,1825000000,1909000000,2001000000,2058000000,2099000000,2139000000,2178000000,2153000000,2210000000,2271000000,2346000000,2404000000,2427000000
64,Retained Earnings,547900000,417900000,399600000,304700000,265300000,82000000,48000000,-146100000,4100000,232200000,406000000,535000000,713000000,648000000,760000000,718000000,567000000,569000000,569000000,866000000,1360000000,2009000000,2660000000,3288000000,3575000000,4445000000,6038000000,7343000000,8406000000,9545000000,10322000000,11040000000,11464000000,12917000000,14416000000,15419000000,16741000000
65,Other Comprehensive Income/Loss,-569800000,-667900000,-805600000,-901800000,-982900000,-1106100000,-1157000000,-1193600000,-1222300000,-1279200000,-1327000000,-1375000000,-1434000000,-1424000000,-1490000000,-1598000000,-1603000000,-684000000,-629000000,-665000000,-717000000,-632000000,-377000000,-1075000000,-896000000,-720000000,-938000000,-950000000,-784000000,-1078000000,-1348000000,-1821000000,-1503000000,-1807000000,-2028000000,-1982000000,-1571000000
66,Other Total Stockholders Equity,733500000,905300000,1098300000,1183600000,1406000000,1758100000,1802600000,1846500000,2039300000,2010200000,1994000000,2042000000,2076000000,1990000000,2112000000,2166000000,2023000000,835000000,888000000,- -,1100000000,- -,- -,-715000000,-731000000,-964000000,-1609000000,-1848000000,-2211000000,-2857000000,-3746000000,-4497000000,-4912000000,-6033000000,-7227000000,-7779000000,- -
67,Total Stockholders Equity,711600000,655300000,692300000,586500000,688400000,734000000,693600000,506800000,821100000,1072600000,1183000000,1312000000,1475000000,1334000000,1503000000,1408000000,1108000000,841000000,949000000,1401000000,1864000000,2802000000,3409000000,3230000000,3773000000,4670000000,5492000000,6603000000,7510000000,7749000000,7406000000,6875000000,7259000000,7348000000,7507000000,8062000000,8474000000
68,Total Liabilities And Stockholders Equity,1705100000,1989900000,2019400000,2064000000,2030800000,2086300000,2041200000,2230500000,2390600000,2706300000,3056000000,3369000000,3765000000,4542000000,4697000000,4500000000,4335000000,4745000000,5003000000,6319000000,6660000000,7211000000,7902000000,8269000000,8569000000,10076000000,11329000000,12177000000,14368000000,15432000000,14790000000,14712000000,17170000000,18151000000,18779000000,21697000000,22783000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000000,123000000,208000000,225000000,254000000,293000000,250000000,247000000,326000000,339000000,371000000,360000000,344000000,344000000,299000000,905000000,911000000,958000000,927000000,927000000
70,Total Liabilities & Equity,1705100000,1989900000,2019400000,2064000000,2030800000,2086300000,2041200000,2230500000,2390600000,2706300000,3056000000,3369000000,3765000000,4542000000,4697000000,4500000000,4335000000,4837000000,5126000000,6527000000,6885000000,7465000000,8195000000,8519000000,8816000000,10402000000,11668000000,12548000000,14728000000,15776000000,15134000000,15011000000,18075000000,19062000000,19737000000,22624000000,23710000000
