,https://roic.ai/company/KMB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1215400000,1109000000,1418700000,1536300000,1617000000,1671400000,1968200000,2302500000,1893900000,1949600000,3889200000,3415000000,3280600000,3431600000,3683000000,3815600000,3570700000,2351800000,2487500000,2562100000,2764600000,2980600000,3087500000,3311000000,3595000000,3777000000,3710000000,4063000000,4032000000,4162000000,5011000000,3334000000,3254000000,3368000000,3044000000,3578000000,3427000000
11,COGS and Expenses,3586600000,3818100000,4298600000,4752900000,5060200000,5653700000,6035100000,6548000000,6179400000,6545100000,12135600000,11095400000,10762300000,10520200000,10778400000,11452400000,12186200000,11102500000,11935600000,12576800000,13592000000,14645400000,15649600000,16868000000,16290000000,16973000000,18404000000,18377000000,17944000000,17203000000,16978000000,14885000000,14960000000,16257000000,15459000000,15896000000,16879000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,20000000,18000000,18000000,20000000,18000000,17000000,11000000,10000000,10000000,11000000,8000000,6000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000000,243000000,277000000,284000000,283000000,284000000,295000000,319000000,318000000,263000000,261000000,252000000,256000000
14,Depreciation and Amortization,- -,- -,- -,- -,210900000,240300000,265500000,289000000,295900000,329600000,581700000,561000000,490900000,542500000,628000000,673400000,739600000,706600000,745800000,800300000,844500000,932800000,806500000,775000000,783000000,813000000,1091000000,857000000,863000000,862000000,746000000,705000000,724000000,882000000,917000000,796000000,766000000
15,EBITDA,456500000,455900000,555700000,608400000,877100000,949600000,1009900000,610300000,1091200000,1141100000,768400000,2665600000,1825500000,2270200000,3026300000,3232500000,2995200000,3047800000,2954200000,3084400000,2851200000,2901500000,3165900000,3083000000,3688000000,3687000000,3619000000,3659000000,4217000000,3528000000,2472000000,4112000000,4096000000,3026000000,3911000000,4076000000,3315000000
16,EBITDA ratio,0.1121,0.1059,0.1138,0.1128,0.1530,0.1482,0.1490,0.0861,0.1565,0.1550,0.0557,0.2027,0.1455,0.1846,0.2327,0.2312,0.2062,0.2247,0.2059,0.2045,0.1793,0.1733,0.1733,0.1588,0.1929,0.1867,0.1736,0.1737,0.1994,0.1789,0.1330,0.2259,0.2243,0.1637,0.2120,0.2130,0.1705
17,Operating Income,486300000,485000000,586100000,640600000,673400000,753600000,741800000,543100000,793500000,819100000,1653000000,2053700000,1784300000,1777600000,2228400000,2529600000,2338200000,2463800000,2412400000,2506400000,2310600000,2101500000,2616400000,2547000000,2825000000,2773000000,2442000000,2686000000,3208000000,2521000000,1613000000,3317000000,3299000000,2229000000,2991000000,3244000000,2561000000
18,Operating Income ratio,0.1194,0.1127,0.1200,0.1188,0.1174,0.1176,0.1095,0.0766,0.1138,0.1112,0.1199,0.1562,0.1422,0.1445,0.1713,0.1809,0.1610,0.1816,0.1681,0.1662,0.1453,0.1255,0.1432,0.1312,0.1478,0.1404,0.1171,0.1275,0.1517,0.1278,0.0868,0.1822,0.1807,0.1206,0.1621,0.1695,0.1317
19,Total Other Income Expenses (Gains),-29800000,-29100000,-30400000,-32200000,-7200000,-44300000,2600000,-11800000,1800000,-7600000,-1466300000,50900000,-467200000,-38700000,169900000,29500000,-173800000,-166400000,-255400000,-303000000,-341700000,-256600000,-298900000,-258000000,-249000000,-223000000,-259000000,-266000000,-263000000,-266000000,-278000000,-308000000,-308000000,-416000000,-341000000,-314000000,-336000000
20,Income Before Tax,456500000,455900000,555700000,608400000,666200000,709300000,744400000,531300000,795300000,811500000,186700000,2104600000,1317100000,1738900000,2398300000,2559100000,2164400000,2297400000,2157000000,2203400000,1968900000,1844900000,2317500000,2289000000,2576000000,2550000000,2183000000,2420000000,2945000000,2255000000,1335000000,3009000000,2991000000,1813000000,2650000000,2930000000,2225000000
21,Income Before Tax Ratio,0.1121,0.1059,0.1138,0.1128,0.1162,0.1107,0.1098,0.0749,0.1141,0.1102,0.0135,0.1601,0.1050,0.1414,0.1844,0.1830,0.1490,0.1693,0.1503,0.1461,0.1238,0.1102,0.1269,0.1179,0.1348,0.1291,0.1047,0.1149,0.1392,0.1143,0.0718,0.1653,0.1638,0.0981,0.1436,0.1531,0.1145
22,Income Tax expense (Gain),189400000,186500000,230500000,229800000,242400000,277200000,236100000,186300000,284400000,276400000,153500000,700800000,433100000,561900000,730200000,758500000,645700000,666600000,514200000,483900000,438400000,469200000,536500000,618000000,746000000,788000000,660000000,768000000,929000000,856000000,418000000,922000000,776000000,471000000,576000000,676000000,479000000
23,Net Income,267100000,269400000,325200000,378600000,423800000,432100000,508300000,135000000,510900000,535100000,33200000,1403800000,901500000,1165800000,1668100000,1800600000,1609900000,1674600000,1694200000,1800200000,1568300000,1499500000,1822900000,1690000000,1884000000,1843000000,1591000000,1750000000,2142000000,1526000000,1013000000,2166000000,2278000000,1410000000,2157000000,2352000000,1814000000
24,Net Income ratio,0.0656,0.0626,0.0666,0.0702,0.0739,0.0674,0.0750,0.0190,0.0733,0.0727,0.0024,0.1068,0.0719,0.0948,0.1282,0.1288,0.1108,0.1234,0.1181,0.1194,0.0986,0.0895,0.0998,0.0870,0.0986,0.0933,0.0763,0.0831,0.1013,0.0774,0.0545,0.1190,0.1248,0.0763,0.1169,0.1229,0.0933
25,EPS,0.73,0.74,0.94,1.18,1.32,1.35,1.59,0.42,0.42,1.62,0.06,2.49,1.62,2.12,3.11,3.34,3.04,3.24,3.34,3.64,3.30,3.27,4.13,4.06,4.52,4.45,3.99,4.50,5.58,4.07,2.78,6.03,6.44,4.05,6.28,6.90,5.48
26,EPS Diluted,0.73,0.74,0.94,1.18,1.32,1.35,1.59,0.42,0.41,1.62,0.06,2.49,1.61,2.11,3.09,3.31,3.02,3.22,3.33,3.61,3.28,3.25,4.09,4.04,4.52,4.45,3.99,4.42,5.53,4.04,2.77,5.99,6.40,4.03,6.24,6.87,5.46
27,Weighted Average Shares Outstanding,365890411,364054054,345957447,320847458,321060606,320074074,319685535,321428571,321130435,331022823,553333333,563775100,556481481,549905660,536366559,539101796,529572368,516851852,507245509,494560440,475242424,458562691,441380145,416700000,415700000,414157303,398746867,389300000,383870968,374938575,364388489,359203980,353726708,348148148,343471338,340869565,336800000
28,Weighted Average Shares Outstanding Diluted,365890411,364054054,345957447,320847458,321060606,320074074,319685535,321428571,321130435,331022823,553333333,571189189,559937888,552511848,539838188,543987915,533079470,520062112,508768769,498670360,478140244,461384615,445696822,418600000,416814159,414157303,398746867,396100000,387300000,377400000,366300000,361700000,355900000,349600000,345600000,342500000,338200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578595000007/0000055785-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578596000012/0000055785-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578597000014/0000055785-97-000014-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578501000003/0000055785-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578502000017/0000055785-02-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/55785/000119312505036237/0001193125-05-036237-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312506037643/0001193125-06-037643-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312507037015/0001193125-07-037015-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312508036335/0001193125-08-036335-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312509040737/0001193125-09-040737-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312510038621/0001193125-10-038621-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312511043300/0001193125-11-043300-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578512000021/0000055785-12-000021-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578513000011/0000055785-13-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/0000055785-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578516000138/0000055785-16-000138-index.htm,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578518000014/0000055785-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578519000013/0000055785-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578520000016/0000055785-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578521000016/0000055785-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578522000010/0000055785-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,221600000,83200000,90800000,144000000,322800000,206500000,405200000,494500000,290600000,594000000,364000000,360800000,472700000,364000000,987000000,876000000,764000000,1106000000,1054000000,789000000,619000000,923000000,616000000,539000000,442000000,303000000,270000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,221600000,83200000,90800000,144000000,322800000,206500000,405200000,494500000,290600000,594000000,364000000,360800000,472700000,364000000,987000000,876000000,764000000,1106000000,1054000000,789000000,619000000,923000000,616000000,539000000,442000000,303000000,270000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,847500000,1678000000,1660900000,1606300000,1465200000,1600600000,1809600000,1672400000,1952100000,1955100000,2038300000,2101900000,2336700000,2560600000,2492000000,2566000000,2690000000,2602000000,2642000000,2545000000,2223000000,2281000000,2176000000,2315000000,2164000000,2263000000,2235000000,2207000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,804200000,1426100000,1348300000,1319500000,1283800000,1239900000,1390400000,1494100000,1430100000,1563400000,1670900000,1752100000,2004500000,2443800000,2493000000,2033000000,2373000000,2356000000,2348000000,2233000000,1892000000,1909000000,1679000000,1790000000,1813000000,1790000000,1903000000,2239000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,134400000,488100000,446800000,472400000,473900000,398500000,383400000,350500000,397200000,629000000,658700000,565100000,567700000,619500000,464000000,278000000,389000000,561000000,493000000,718000000,655000000,617000000,337000000,490000000,525000000,562000000,733000000,849000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1809900000,3813800000,3539200000,3489000000,3366900000,3561800000,3789900000,3922200000,4273900000,4438100000,4961900000,4783100000,5269700000,6096600000,5813000000,5864000000,6328000000,6283000000,6589000000,6550000000,5559000000,5426000000,5115000000,5211000000,5041000000,5057000000,5174000000,5565000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,4199400000,6053300000,6813300000,5600600000,5845000000,6222000000,6918500000,7326500000,7619400000,8263400000,7990500000,7494700000,7684800000,8094000000,7667000000,8033000000,8356000000,8049000000,8095000000,7948000000,7359000000,7104000000,7169000000,7436000000,7159000000,7450000000,8042000000,8097000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2860500000,2942400000,2743000000,3275000000,3403000000,3340000000,3337000000,3181000000,1628000000,1446000000,1480000000,1576000000,1474000000,1467000000,1895000000,1840000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,828500000,942100000,594800000,588300000,1246100000,2009900000,1950300000,2254900000,2649100000,2702900000,2685600000,- -,- -,- -,- -,287000000,265000000,246000000,243000000,109000000,94000000,83000000,- -,- -,- -,832000000,810000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,828500000,942100000,594800000,588300000,1246100000,2009900000,1950300000,2254900000,2649100000,2702900000,2685600000,2860500000,2942400000,2743000000,3275000000,3690000000,3605000000,3583000000,3424000000,1737000000,1540000000,1563000000,1576000000,1474000000,1467000000,2727000000,2650000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355000000,374000000,338000000,355000000,382000000,257000000,247000000,257000000,233000000,224000000,268000000,300000000,290000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,706400000,743600000,551100000,1581600000,1710100000,1785600000,1761500000,1808600000,1437600000,1429300000,1362700000,1339800000,1252000000,1306700000,1866000000,1682000000,1116000000,1098000000,1251000000,615000000,614000000,525000000,498000000,695000000,620000000,1041000000,1280000000,1235000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4905800000,7625400000,8306500000,7777000000,8143400000,9253700000,10689900000,11085400000,11311900000,12341800000,12056100000,11520100000,11797300000,12343100000,12276000000,13345000000,13536000000,13090000000,13284000000,12369000000,9967000000,9416000000,9487000000,9940000000,9477000000,10226000000,12349000000,12272000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6715700000,11439200000,11845700000,11266000000,11510300000,12815500000,14479800000,15007600000,15585800000,16779900000,17018000000,16303200000,17067000000,18439700000,18089000000,19209000000,19864000000,19373000000,19873000000,18919000000,15526000000,14842000000,14602000000,15151000000,14518000000,15283000000,17523000000,17837000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000000,888300000,849800000,747100000,663000000,780400000,1175900000,768900000,844500000,857900000,983200000,1055500000,1205600000,1449300000,1422000000,1920000000,2206000000,2388000000,2443000000,2598000000,2616000000,2612000000,2609000000,2834000000,3190000000,3055000000,3336000000,3840000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,771800000,817800000,576500000,663100000,635400000,782400000,1490500000,1236100000,1086600000,864300000,1214700000,1222500000,1326400000,1097900000,1083000000,610000000,344000000,706000000,1115000000,375000000,1326000000,1669000000,1133000000,953000000,1208000000,1664000000,619000000,563000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,104000000,266000000,336000000,336000000,330000000,329000000,259000000,249000000,260000000,231000000,332000000,323000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,929000000,2163500000,2260600000,2296100000,2492300000,2283000000,1907500000,2163300000,2107200000,2196500000,2339300000,2364900000,2483800000,2381400000,2247000000,2393000000,2788000000,2303000000,2533000000,2875000000,2284000000,2068000000,2104000000,2071000000,2138000000,2200000000,2488000000,2346000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2058800000,3869600000,3686900000,3706300000,3790700000,3845800000,4573900000,4168300000,4038300000,3918700000,4537200000,4642900000,5015800000,4928600000,4752000000,4923000000,5338000000,5397000000,6091000000,5848000000,6226000000,6349000000,5846000000,5858000000,6536000000,6919000000,6443000000,6749000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,929500000,1984700000,1738600000,1803900000,2068200000,1926600000,2000600000,2424000000,2844000000,2733700000,2298000000,2594700000,2276000000,4393900000,4882000000,4792000000,5120000000,5426000000,5070000000,5386000000,5630000000,6106000000,6439000000,6472000000,6247000000,6213000000,7878000000,8141000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,612800000,723100000,762300000,580800000,666300000,836900000,987500000,1004600000,854200000,880600000,840300000,572900000,391100000,369700000,193000000,377000000,629000000,- -,- -,817000000,587000000,766000000,532000000,395000000,458000000,511000000,723000000,694000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,438700000,974900000,926100000,887100000,899900000,868500000,869200000,1454400000,1943500000,2182300000,2344600000,2540000000,2864100000,3039700000,3980000000,3427000000,2575000000,3021000000,3425000000,1728000000,2084000000,1581000000,1668000000,1544000000,1323000000,1446000000,1610000000,1516000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1981000000,3682700000,3427000000,3271800000,3634400000,3632000000,3857300000,4883000000,5641700000,5796600000,5482900000,5707600000,5531200000,7803300000,9055000000,8596000000,8324000000,8447000000,8495000000,7931000000,8301000000,8453000000,8639000000,8411000000,8028000000,8170000000,10211000000,10351000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,133000000,130000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4039800000,7552300000,7113900000,6978100000,7425100000,7477800000,8431200000,9051300000,9680000000,9715300000,10020100000,10350500000,10547000000,12731900000,13807000000,13519000000,13662000000,13844000000,14586000000,13779000000,14527000000,14802000000,14485000000,14269000000,14564000000,15089000000,16654000000,17100000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,710800000,710800000,710800000,710800000,710800000,710800000,710800000,598300000,598300000,598000000,598000000,598000000,536000000,536000000,536000000,536000000,473000000,473000000,473000000,473000000,473000000,473000000,473000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,2753200000,3593900000,4506800000,4871500000,5509100000,6764600000,7982000000,8999500000,10054000000,11059200000,11865900000,12581400000,7895600000,8747800000,9465000000,10329000000,11086000000,8244000000,8823000000,9714000000,8470000000,4994000000,5831000000,6730000000,5947000000,6686000000,7567000000,7858000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2404600000,-4866600000,-5113900000,-4155600000,-4702700000,-4858800000,-5096300000,-5388200000,-2182900000,-1592500000,-1248300000,-1682500000,-1432200000,-791200000,-2386000000,-1833000000,-1466000000,-1866000000,-2059000000,-2242000000,-3312000000,-3278000000,-3474000000,-2919000000,-3299000000,-3294000000,-3172000000,-3239000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2327300000,5159600000,5338900000,3572000000,3278800000,2721100000,2452100000,1634200000,-2931600000,-3411200000,-4698900000,-6051500000,-964300000,-3331200000,-3799000000,-3688000000,-4301000000,-1665000000,-2315000000,-3152000000,-4965000000,-2363000000,-2932000000,-3655000000,-3408000000,-3898000000,-4242000000,-4578000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2675900000,3886900000,4731800000,4287900000,4085200000,5337700000,6048600000,5956300000,5650300000,6766300000,6629500000,5558200000,6097400000,5223700000,3878000000,5406000000,5917000000,5249000000,4985000000,4856000000,729000000,-174000000,-102000000,629000000,-287000000,-33000000,626000000,514000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6715700000,11439200000,11845700000,11266000000,11510300000,12815500000,14479800000,15007600000,15330300000,16481600000,16649600000,15908700000,16644400000,17955600000,17685000000,18925000000,19579000000,19093000000,19571000000,18635000000,15256000000,14628000000,14383000000,14898000000,14277000000,15056000000,17280000000,17614000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255500000,298300000,368400000,394500000,422600000,484100000,404000000,284000000,285000000,280000000,302000000,284000000,270000000,214000000,219000000,253000000,241000000,227000000,243000000,223000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6715700000,11439200000,11845700000,11266000000,11510300000,12815500000,14479800000,15007600000,15585800000,16779900000,17018000000,16303200000,17067000000,18439700000,18089000000,19209000000,19864000000,19373000000,19873000000,18919000000,15526000000,14842000000,14602000000,15151000000,14518000000,15283000000,17523000000,17837000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/55785/000005578595000007/0000055785-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578596000012/0000055785-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578597000014/0000055785-97-000014-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578501000003/0000055785-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578502000017/0000055785-02-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/55785/000119312505036237/0001193125-05-036237-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312506037643/0001193125-06-037643-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312507037015/0001193125-07-037015-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312508036335/0001193125-08-036335-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312509040737/0001193125-09-040737-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312510038621/0001193125-10-038621-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312511043300/0001193125-11-043300-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578512000021/0000055785-12-000021-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578513000011/0000055785-13-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/0000055785-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578516000138/0000055785-16-000138-index.htm,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578518000014/0000055785-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578519000013/0000055785-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578520000016/0000055785-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578521000016/0000055785-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578522000010/0000055785-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,423800000,432100000,508300000,135000000,510900000,535100000,33200000,1403800000,901500000,1165800000,1668100000,1800600000,1609900000,1674600000,1694200000,1800200000,1568300000,1499500000,1822900000,1690000000,1884000000,1843000000,1591000000,1750000000,2142000000,1526000000,1013000000,2166000000,2278000000,1410000000,2157000000,2352000000,1814000000
