,https://roic.ai/company/CTIC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,5500000,8900000,4400000,5700000,23734953,38688000,17946000,8438000,105033000,50022000,17129000,15798000,10072000,37811000,22649000,47052000,50436000,71639000,70933000,128182000,44002000,27218000,36439000,31144000,40394000,65446000
32,Short-Term Investments,- -,- -,- -,18200000,131171841,217255000,122311000,83144000,10840000,18858000,36708000,2548000,599000,- -,- -,- -,- -,- -,- -,- -,- -,- -,30599000,2522000,12057000,- -
33,Cash and Short-Term Investments,5500000,8900000,4400000,23900000,154906794,255943000,140257000,91582000,115873000,68880000,53837000,18346000,10671000,37811000,22649000,47052000,50436000,71639000,70933000,128182000,44002000,27218000,67038000,33666000,52451000,65446000
34,Net Receivables,- -,3700000,3300000,400000,1636167,4931000,4050000,6736000,1026000,2493000,753000,97000,8491000,- -,- -,- -,- -,235000,2011000,282000,8156000,1282000,13679000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,167073,973000,878000,1008000,920000,- -,- -,290000,- -,- -,- -,- -,- -,5074000,4182000,2845000,1525000,550000,- -,- -,- -,- -
36,Other Current Assets,25700000,61600000,43500000,700000,782592,3596000,6157000,6093000,10113000,35703000,9948000,3904000,8999000,4354000,4256000,4023000,9875000,3567000,3379000,3666000,2141000,17874000,1775000,1914000,1874000,2933000
37,Total Current Assets,31200000,74200000,51200000,25000000,157492626,265443000,151342000,105419000,127932000,107076000,64538000,22637000,28161000,42165000,26905000,51075000,60311000,80515000,80505000,134975000,55824000,46924000,82492000,35580000,54325000,68379000
38,PP&E,5100000,5900000,6800000,5000000,4263424,8395000,11652000,11341000,22360000,12278000,7915000,6025000,4324000,3430000,3426000,3604000,6785000,5478000,4646000,3718000,3023000,2365000,1793000,4614000,2868000,176000
39,Goodwill,- -,- -,- -,- -,- -,8064000,- -,- -,- -,- -,17064000,17064000,17064000,17064000,17064000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,26824669,9371000,14734000,18399000,21239000,19303000,1663000,15957000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,26824669,17435000,14734000,18399000,21239000,19303000,18727000,33021000,17064000,17064000,17064000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5830000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,700000,300000,200000,800000,1530734,12477000,9052000,10931000,13465000,16783000,10641000,11830000,8864000,6936000,6197000,7560000,6617000,7730000,7136000,5639000,4996000,5597000,5547000,6086000,1048000,3879000
45,Total Non-Current Assets,5800000,6200000,7000000,5800000,32618827,38307000,35438000,40671000,57064000,48364000,37283000,50876000,36082000,27430000,26687000,11164000,13402000,13208000,11782000,9357000,8019000,7962000,7340000,10700000,3916000,4055000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,37000000,80400000,58200000,30800000,190111453,303750000,186780000,146090000,184996000,155440000,101821000,73513000,64243000,69595000,53592000,62239000,73713000,93723000,92287000,144332000,63843000,54886000,89832000,46280000,58241000,72434000
48,Accounts Payable,700000,200000,1100000,1200000,1113089,1206000,2444000,4031000,7309000,3370000,639000,6595000,9327000,7297000,6037000,5750000,12065000,5051000,6356000,10584000,7227000,2588000,4498000,- -,1637000,3891000
49,Short-Term Debt,1200000,1700000,1200000,1100000,1500208,2051000,2250000,1766000,1382000,9780000,2816000,20837000,757000,41675000,24025000,- -,- -,3155000,9014000,37371000,7949000,444000,4812000,4812000,4455000,47380000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,523000,1003000,765000,408000,80000,80000,80000,80000,80000,- -,- -,- -,1010000,826000,578000,103000,912000,- -,- -,- -,- -
52,Other Current Liabilities,3000000,4600000,4800000,5000000,8495225,11521000,15796000,26959000,25020000,17558000,30837000,26034000,32138000,14807000,11008000,12034000,10602000,10853000,20144000,23876000,25367000,15314000,13745000,13676000,10946000,15380000
53,Total Current Liabilities,4900000,6500000,7100000,7300000,11108522,15301000,21493000,33521000,34119000,30788000,34372000,53546000,42302000,63859000,41070000,17784000,22667000,20069000,36340000,72409000,40646000,19258000,23055000,18488000,17038000,66651000
54,Long-Term Debt,2000000,2100000,3900000,2700000,1059768,176521000,115100000,190099000,195152000,223865000,163908000,127458000,145280000,23640000,4206000,- -,- -,10152000,8363000,19259000,11311000,13575000,9267000,4455000,4455000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000,239000,- -,- -,- -,1626000,1779000,1110000,514000,494000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,-100000,- -,2371000,6704000,5012000,26433000,7884000,5145000,398000,- -,626000,13461000,16446000,18102000,19118000,7327000,4141000,3615000,5469000,4571000,5407000,-3281000,2016000
58,Total Non-Current Liabilities,2100000,2100000,3900000,2600000,1059768,178892000,121804000,195111000,221585000,231749000,169053000,127856000,145599000,24505000,17667000,16446000,18102000,30896000,17469000,24510000,15440000,19538000,13838000,9862000,1174000,2016000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1717000,- -,- -,- -,- -,- -,- -,- -,- -,2993000,800000,- -
61,Total Liabilities,7000000,8600000,11000000,9900000,12168290,194193000,143297000,228632000,255704000,262537000,203425000,181402000,187901000,88364000,58737000,34230000,40769000,50965000,53809000,96919000,56086000,38796000,36893000,28350000,18212000,68667000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26236000,8403000,- -,- -,6736000,- -,- -,- -,- -,- -,1090000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,168200000,386894521,399649000,384994000,394750000,652773000,721544000,- -,- -,- -,- -,- -,- -,1872885000,1933305000,2023949000,2157300000,2170300000,2222341000,58000,58000,76000,- -
64,Retained Earnings,-74100000,-97100000,-122100000,-158400000,-210278973,-290552000,-340455000,-470486000,-722784000,-825289000,-961108000,-1109413000,-1312320000,-1429083000,-1576643000,-1714785000,-1830060000,-1879703000,-1975695000,-2098317000,-2150326000,-2195346000,-2224746000,-2263563000,-2328007000,-2425915000
65,Other Comprehensive Income/Loss,-6300000,-7800000,-9700000,-11500000,-13239871,-15047000,-1056000,-6806000,-697000,-3352000,-1187000,-4007000,-7812000,-8412000,-7969000,-8035000,-8273000,-8429000,-6499000,-6952000,-6655000,-6272000,-10643000,-11993000,2000,- -
66,Other Total Stockholders Equity,110400000,176700000,179000000,22600000,14567486,15507000,- -,- -,- -,- -,860504000,1005524000,1196662000,1418314000,1579498000,1750794000,- -,- -,- -,- -,- -,- -,2294025000,2299186000,2367958000,2429682000
67,Total Stockholders Equity,30000000,71800000,47200000,20900000,177943163,109557000,43483000,-82542000,-70708000,-107097000,-101604000,-107889000,-123658000,-18564000,-4746000,28717000,34552000,45173000,41755000,52031000,13319000,21813000,58694000,23688000,40029000,3767000
68,Total Liabilities And Stockholders Equity,37000000,80400000,58200000,30800000,190111453,303750000,186780000,146090000,184996000,155440000,101821000,73513000,64243000,69800000,53991000,62947000,75321000,96138000,95564000,148950000,69405000,60609000,95587000,52038000,58241000,72434000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-205000,-399000,-708000,-1608000,-2415000,-3277000,-4618000,-5562000,-5723000,-5755000,-5758000,- -,- -
70,Total Liabilities & Equity,37000000,80400000,58200000,30800000,190111453,303750000,186780000,146090000,184996000,155440000,101821000,73513000,64243000,69595000,53592000,62239000,73713000,93723000,92287000,144332000,63843000,54886000,89832000,46280000,58241000,72434000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891293/000102140803005171/0001021408-03-005171-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312504039459/0001193125-04-039459-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312505042826/0001193125-05-042826-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312506055682/0001193125-06-055682-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312507057204/0001193125-07-057204-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312508065952/0001193125-08-065952-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312509055220/0001193125-09-055220-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312510042893/0001193125-10-042893-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312511037943/0001193125-11-037943-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312512103788/0001193125-12-103788-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312513084836/0001193125-13-084836-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000119312514082598/0001193125-14-082598-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000156459015001582/0001564590-15-001582-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000089129316000105/0000891293-16-000105-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000089129317000030/0000891293-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000089129318000043/0000891293-18-000043-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000089129319000021/0000891293-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000089129320000012/0000891293-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000089129321000008/0000891293-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/891293/000089129322000010/0000891293-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-13900000,-23000000,-25000000,-36300000,-51928791,-80273000,-49903000,-130031000,-252298000,-102505000,-135819000,-138108000,-180029000,-95395000,-82642000,-62360000,-101374000,-42743000,-93367000,-119422000,-52009000,-40670000,-29320000,-40020000,-52451000,-97908000
74,Depreciation and Amortization,1800000,1600000,1900000,2200000,10433119,12237000,14240000,8440000,11434000,10278000,6504000,4694000,5228000,1771000,1842000,2411000,2346000,1570000,1100000,990000,831000,717000,593000,546000,532000,526000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3402000,- -,600000,- -,- -,- -,- -,- -,4200000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3995000,24937000,17048000,5017000,7938000,9066000,20196000,14828000,13324000,5746000,6369000,5166000,4317000,4743000
77,Change in Working Capital,900000,41400000,-23600000,-26400000,128684104,103757896,-120293000,-57951000,21915000,-17525000,-46122000,-61075000,16768000,-7553000,7529000,47456000,4353000,22802000,-16281000,18401000,-47388000,12488000,31771000,-42345000,20195000,-35559000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-932000,982000,- -,- -,- -,-227000,-1980000,1555000,-156000,402000,-12385000,13674000,- -,- -
79,Inventory,- -,- -,- -,- -,-167073,-806000,95000,-130000,88000,4000,- -,-290000,291000,- -,- -,- -,- -,-3254000,305000,-402000,567000,1120000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2786000,-1484000,-1403000,-310000,3123000,-5774000,1454000,4368000,-3025000,-4730000,1869000,- -,- -,- -
81,Other Working Capital,26300000,67700000,44100000,17700000,146384104,250142000,129849000,71898000,93813000,76288000,30166000,-30909000,-14141000,-21694000,-14165000,33291000,37644000,60446000,44165000,62566000,15178000,27666000,59437000,17092000,37287000,1728000
82,Other Non-Cash Items,-100000,-43300000,25100000,30600000,-123189960,-97613896,67026000,72398000,70797000,-15480000,58831000,90871000,73831000,-11946000,-6905000,-52982000,27363000,-26525000,48202000,-10000000,8562000,-17577000,-49237000,48831000,-18998000,43309000
83,Cash Provided by Operating Activities,-11300000,-23300000,-21600000,-29900000,-36001528,-61892000,-88930000,-107144000,-148152000,-125232000,-116606000,-103618000,-80207000,-88186000,-63128000,-60458000,-62776000,-35830000,-39550000,-95203000,-76680000,-39296000,-39824000,-27822000,-42205000,-84889000
84,CAPEX,-1000000,-2500000,-2800000,-600000,-953242,-5938000,-6259000,-3335000,-4632000,-2016000,-534000,-1753000,-1910000,-1478000,-2011000,-2703000,-2937000,-1657000,-333000,-78000,-137000,-49000,-33000,- -,-17000,- -
85,Acquisitions Net,- -,- -,- -,- -,-781438,- -,- -,-3981000,- -,- -,- -,-11180000,4412000,21831000,- -,- -,-17764000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-27100000,-85800000,-64000000,-29600000,-148414555,-297471000,-287516000,-167433000,-59011000,-46827000,-68905000,-36463000,-10721000,- -,-350000,- -,- -,- -,- -,- -,- -,- -,-42067000,-11018000,-12100000,- -
87,Sales/Maturities of Investments,16400000,49800000,82600000,11100000,36236437,210686000,377688000,202840000,130163000,108925000,51018000,70873000,12624000,600000,- -,- -,- -,- -,- -,- -,- -,11000,11610000,39150000,2500000,- -
88,Other Investing Activites,- -,100000,100000,42000000,- -,- -,-3275000,-3160000,87922000,253000,539000,- -,3000,887000,85000,31000,- -,123000,-208000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-11700000,-38400000,15900000,22900000,-113912798,-92723000,80638000,24931000,154442000,60335000,-17882000,21477000,4408000,21840000,-2276000,-2672000,-20701000,-1534000,-541000,-78000,-137000,-38000,-30490000,28132000,-9617000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125959000,-154000,-38515000,-21163000,- -,- -,-1526000,-4659000,-5452000,-19548000,-544000,-5333000,-5333000,-6329000
91,Common Stock Issued,22200000,1700000,300000,9500000,171751633,1753000,1253000,2303000,66066000,238000,52782000,85461000,5080000,59233000,- -,- -,- -,- -,- -,15147000,- -,- -,64178000,- -,66265000,56000000
92,Common Stock Repurchased,- -,- -,-400000,- -,- -,- -,-16419000,- -,- -,- -,-3025000,-431000,-473000,- -,- -,-405000,-170000,-105000,-28000,-227000,-314000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18857000,-3111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-600000,63400000,1300000,-1100000,-3776740,167815000,2716000,70402000,22828000,11911000,52981000,-330000,213935000,38807000,88237000,108572000,87386000,59077000,37580000,141756000,-1600000,58527000,-143000,-274000,140000,48270000
95,Cash Used/Provided by Financing Activities,21600000,65100000,1200000,8400000,167974893,169568000,-12450000,72705000,88894000,12149000,102738000,84700000,73726000,94775000,49722000,87004000,87216000,58972000,36026000,152017000,-7366000,38979000,63491000,-5607000,61072000,97941000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,1411000,-2263000,-1143000,-3890000,-3653000,-690000,520000,529000,-355000,-405000,3359000,513000,3000,-429000,44000,2000,- -,- -
97,Net Change In Cash,21600000,65100000,1200000,1300000,18060567,14953000,-20742000,-9508000,96595000,-55011000,-32893000,-1331000,-5726000,27739000,-15162000,24403000,3384000,21203000,-706000,57249000,-84180000,-784000,-6779000,-5295000,9250000,25052000
98,Cash at the End of Period,- -,- -,- -,5700000,23734953,38688000,17946000,8438000,105033000,50022000,17129000,15798000,10072000,37811000,22649000,47052000,50436000,71639000,70933000,128182000,44002000,43218000,36439000,31144000,40394000,65446000
99,Cash at the Beginning of Period,6900000,5500000,8900000,4400000,5674386,23735000,38688000,17946000,8438000,105033000,50022000,17129000,15798000,10072000,37811000,22649000,47052000,50436000,71639000,70933000,128182000,44002000,43218000,36439000,31144000,40394000
100,Free Cash Flow,-12300000,-25800000,-24400000,-30500000,-36954770,-67830000,-95189000,-110479000,-152784000,-127248000,-117140000,-105371000,-82117000,-89664000,-65139000,-63161000,-65713000,-37487000,-39883000,-95281000,-76817000,-39345000,-39857000,-27822000,-42222000,-84889000
