,https://roic.ai/company/RWT,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,121500000,441600000,2184200000,3444200000,2832400000,2419900000,2082115000,2435644000,7007772000,17626770000,24778065000,16776960000,13030473000,9938472000,5581749000,5252650000,33762000,-153204000,3322903000,2739164000,4252054000,16164000,224463000,212828000,10437807000,16824474000,518125000,14706944000
48,Accounts Payable,- -,1300000,14100000,14500000,10800000,5500000,5657000,2569000,5267000,16556000,35064000,41027000,50590000,53796000,29417000,5968000,5930000,8134000,4592000,6366000,8502000,13700000,10759000,19774000,42528000,60655000,- -,39297000
49,Short-Term Debt,- -,- -,1953100000,1914500000,1257600000,1253600000,756222000,796811000,99714000,236437000,203281000,169707000,1856208000,7561000,- -,- -,44137000,428056000,551918000,862763000,1793825000,1855003000,485544000,1289936000,1411389000,1152566000,523000000,2102537000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,726000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,5800000,8000000,3600000,5900000,8121000,14620000,33019000,37007000,45655000,46266000,42202000,116643000,245583000,192032000,127933000,135810000,78490000,74871000,120811000,127927000,443601000,778217000,1152464000,1486241000,-391000,- -
53,Total Current Liabilities,- -,- -,1973000000,1937000000,1272000000,1265000000,770000000,814000000,138000000,290000000,284000000,257000000,1949000000,178000000,275000000,198000000,178000000,572000000,635000000,944000000,1923138000,1996630000,939904000,2087927000,2606381000,2699462000,522609000,2141834000
54,Long-Term Debt,- -,24000000,- -,1172800000,1305600000,945300000,1095835000,1313715000,6397020000,16782586000,23630162000,15585277000,10079224000,10479279000,5005058000,4082529000,3901078000,4278855000,2669441000,2419429000,2739686000,3088132000,3394145000,3739608000,7982231000,13468747000,8526000000,10915350000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1494000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7316000,10236000,- -,898000,11764000,9022000,5152000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,200000,400000,-300000,165000,285000,-20000,414000,-162000,-277000,-224000,-279000,-58000,471000,-78000,145000,-441000,-7745000,-10236000,-10980000,-898000,-11764000,-10516000,-5152000,-7100515000,- -
58,Total Non-Current Liabilities,- -,24000000,- -,1173000000,1306000000,945000000,1096000000,1314000000,6397000000,16783000000,23630000000,15585000000,10079000000,10479000000,5005000000,4083000000,3901000000,4279000000,2669000000,2419000000,2739686000,3077152000,3394145000,3739608000,7982231000,13468747000,1425485000,10915350000
59,Other Liabilities,101200000,397300000,200000,- -,- -,- -,2192451000,- -,- -,33566442000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5479373000,6165284000,- -,- -,- -,- -,10146876000,22094373000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13443000,16687000,20960000
61,Total Liabilities,101200000,373300000,1973200000,3109700000,2577600000,2210000000,1866451000,2127871000,6534739000,17073442000,23913909000,15842000000,12027783000,10656751000,5257286000,4263559000,4068096000,4850714000,3303934000,3362745000,4662825000,5084762000,4334049000,5827535000,10588612000,16168209000,9244000000,13320857000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,26517000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,88000,127000,163000,191000,242000,251000,267000,324000,336000,777000,781000,786000,817000,825000,834000,782000,768000,766000,849000,1144000,1121000,1149000
64,Retained Earnings,- -,-200000,-2700000,-6800000,-50900000,-55500000,27074000,59961000,116578000,-46868000,481607000,681479000,809011000,-299626000,-791011000,-768283000,-738218000,-793030000,-743539000,-664707000,-659411000,-642466000,-599679000,-547572000,-524774000,-485043000,- -,-922934000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,99000000,-1827000000,-848000000,-703000000,-626000000,-806000000,-605000000,-516000000,-519000000,-550000000,-528000000,-462000000,-463000000,-444000000,-4221000,-8927000
66,Other Total Stockholders Equity,20300000,68500000,213700000,341300000,305700000,265300000,188502000,247685000,329775000,600005000,382307000,143230000,94412000,1408023000,1940527000,2442227000,2428190000,2490828000,2487886000,2425665000,2433718000,2337949000,2276339000,2221093000,2335719000,2755130000,1113999000,- -
67,Total Stockholders Equity,20300000,68300000,211000000,334500000,254800000,209900000,215664000,307773000,473033000,553328000,864156000,934960000,1002690000,-718279000,301852000,971721000,1064753000,892584000,1140164000,1245783000,1256141000,1146265000,1149428000,1212287000,1348794000,1827231000,1110899000,1386087000
68,Total Liabilities And Stockholders Equity,121500000,441600000,2184200000,3444200000,2832400000,2419900000,2082115000,2435644000,7007772000,17626770000,24778065000,16776960000,13030473000,9938472000,5559138000,5235280000,5132849000,5743298000,4444098000,4608528000,5918966000,6231027000,5483477000,7039822000,11937406000,17995440000,10354899000,14706944000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22611000,17370000,-5099087000,-5896502000,-1121195000,-1869364000,-1666912000,-6214863000,-5259014000,-6826994000,-1499599000,-1170966000,-9836774000,- -
70,Total Liabilities & Equity,121500000,441600000,2184200000,3444200000,2832400000,2419900000,2082115000,2435644000,7007772000,17626770000,24778065000,16776960000,13030473000,9938472000,5581749000,5252650000,33762000,-153204000,3322903000,2739164000,4252054000,16164000,224463000,212828000,10437807000,16824474000,518125000,14706944000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930236/000095014903000744/0000950149-03-000744-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000095014904000625/0000950149-04-000625-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000095013405005147/0000950134-05-005147-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000095014906000071/0000950149-06-000071-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000114420407009111/0001144204-07-009111-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000114420408013503/0001144204-08-013503-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000114420409011055/0001144204-09-011055-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000114420410009919/0001144204-10-009919-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000114420411010728/0001144204-11-010728-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000114420412011078/0001144204-12-011078-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000119312513077026/0001193125-13-077026-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000119312514067839/0001193125-14-067839-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000119312515062531/0001193125-15-062531-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023616000038/0000930236-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023617000010/0000930236-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023618000006/0000930236-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023619000006/0000930236-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023620000007/0000930236-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023621000007/0000930236-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000162828022004027/0001628280-22-004027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,400000,3200000,12700000,27600000,-37400000,1700000,18934000,32887000,56617000,132394000,232635000,199872000,127532000,-1108637000,-444386000,39195000,110052000,26343000,131769000,173246000,100569000,102088000,131252000,140406000,119600000,169183000,-582000000,319613000
74,Depreciation and Amortization,-100000,100000,6000000,27100000,32000000,6800000,4170000,11226000,9960000,-12375000,-87014000,-74630000,-60498000,-60189000,1169000,1282000,885000,1713000,1873000,388000,513000,824000,1140000,1213000,1308000,10133000,17365000,16784000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10572000,5188000,-94000,-3397000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11522000,9108000,9842000,13547000,11271000,11806000,12648000,10378000,13736000,14957000,15298000,18902000
77,Change in Working Capital,-400000,- -,-1973000000,36000000,665000000,7000000,495000000,-44000000,715169000,-132702000,-52467000,202885000,-1699869000,1603274000,-97164000,77117000,19804000,-393780000,17813000,-389907000,-979041000,-68195000,1264003000,-1216204000,-487353000,-71879000,2441147000,-22868000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3687000,-2729000,8762000,12001000,-57685000,-88173000,42572000,-17562000,-41849000,-83210000,301381000,-64835000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13947000,-10585000,11576000,15823000,- -,29276000,-2768000,5993000,3632000,-4820000,21080000,4502000,-68507000,41967000
81,Other Working Capital,- -,- -,-1973000000,-1937000000,-1272000000,-1265000000,-770000000,-814000000,-98831000,-231533000,-284000000,-81115000,-1780984000,-177710000,-274874000,-197757000,-177953000,-571733000,-553920000,-943827000,-1922868000,-1991063000,-727060000,-1943264000,-2430617000,-2502496000,-61349000,- -
82,Other Non-Cash Items,- -,-1700000,1974800000,-40900000,497300000,62500000,65975000,-372079000,-1839159000,81921000,13268000,-237912000,1701880000,-397283000,685405000,92487000,-112370000,374426000,-611524000,-19103000,-924445000,-1296733000,-1954696000,-648956000,-1259024000,-1287971000,-2397277000,-6026996000
83,Cash Provided by Operating Activities,-100000,1600000,20500000,49800000,1156900000,78000000,584079000,-371966000,-1057413000,69238000,95850000,95403000,68951000,33768000,145024000,210081000,29893000,17810000,-450227000,-221829000,-1791133000,-1250210000,-545653000,-1713163000,-1611733000,-1165577000,-505467000,-5694565000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3106000,-46113000,-32388000,-15338000,-643000,-25489000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-451626000,- -,- -
86,Purchases of Investments,- -,- -,- -,-979000000,-1827800000,-17700000,-465510000,-313757000,-386444000,-714633000,-879682000,-995298000,-1322261000,-1326956000,-316659000,-752839000,-278794000,-1088580000,-507744000,-488598000,-168654000,-179265000,-318268000,-600875000,-1340441000,-711160000,-292045000,-398773000
87,Sales/Maturities of Investments,- -,- -,- -,772400000,1297400000,311300000,230951000,43604000,240971000,275285000,4000369000,10714577000,606667000,715150000,260610000,460529000,545394000,663489000,425047000,384486000,678995000,578123000,577246000,306198000,761470000,995536000,793636000,184739000
88,Other Investing Activites,-121900000,-316800000,-1728900000,-1066200000,-17000000,-2400000,7117000,336332000,-3198477000,-10067258000,-10102761000,-1601629000,4487691000,2065647000,1226103000,352724000,-151367000,9537000,806009000,455448000,230243000,464387000,1074683000,581534000,566219000,1193112000,3568823000,1618130000
89,Cash Used for Investing Activites,-121900000,-316800000,-1728900000,-1272800000,-547400000,291200000,-227442000,66179000,-3343950000,-10506606000,-6982074000,8117650000,3772097000,1453841000,1170054000,60414000,115233000,-415554000,723312000,351336000,740584000,863245000,1333661000,286857000,-12752000,1025862000,4070414000,1404096000
90,Debt Repayment,- -,- -,- -,-112800000,-502600000,-359500000,-225434000,-307999000,-511258000,-1467929000,-3849363000,-10217882000,-7025232000,-3812007000,-1413390000,-524210000,-464373000,-806141000,-2018011000,-6935046000,-7840255000,-9451135000,-5361044000,-4241797000,-7170435000,-8317933000,-11771776000,-14815899000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34804000,519249000,3966000,6013000,36764000,8667000,9511000,7301000,304000,302000,142601000,450710000,5881000,21944000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6182000,-4000,- -,-6988000,- -,- -,- -,-85820000,-28073000,-8417000,-16315000,- -,-21659000,- -
93,Dividends Paid,-200000,-2100000,-11400000,-31200000,-8900000,-4100000,-14531000,-26031000,-43179000,-138348000,-196639000,-147298000,-157566000,-144231000,-102895000,-81771000,-79888000,-100686000,-82278000,-94413000,-95273000,-94871000,-88465000,-88299000,-96802000,-129452000,-83985000,-91672000
94,Other Financing Activites,123200000,321100000,1726000000,1380800000,-67200000,-41300000,-121071000,633364000,4985938000,12062943000,10931005000,2270766000,3333881000,2590976000,8702000,-67421000,199288000,1525785000,1604344000,6983406000,9073095000,9961989000,4681885000,5696336000,8823706000,8222146000,8560209000,19163130000
95,Cash Used/Provided by Financing Activities,123000000,319000000,1714600000,1236800000,-578700000,-404900000,-361036000,299334000,4431501000,10456666000,6885003000,-8094414000,-3848917000,-1365262000,-1478961000,-154157000,-341007000,617983000,-459181000,-37386000,1147078000,337464000,-795393000,1358125000,1682755000,225471000,-3311330000,4277503000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,123000000,319000000,1714600000,1236800000,-578700000,-35700000,-4398000,-6453000,30139000,19298000,-1221000,118639000,-7869000,122347000,-163883000,116338000,-195881000,220239000,-186096000,92121000,96529000,-49501000,-7385000,-68181000,58270000,85756000,253617000,-12966000
98,Cash at the End of Period,- -,- -,- -,- -,- -,19900000,15483000,9030000,39169000,58467000,57246000,175885000,168016000,290363000,126480000,242818000,46937000,267176000,81080000,173201000,269730000,220229000,212844000,144663000,205077000,290833000,544450000,531484000
99,Cash at the Beginning of Period,- -,1000000,4800000,11100000,24900000,55600000,19881000,15483000,9030000,39169000,58467000,57246000,175885000,168016000,290363000,126480000,242818000,46937000,267176000,81080000,173201000,269730000,220229000,212844000,146807000,205077000,290833000,544450000
100,Free Cash Flow,-100000,1600000,20500000,49800000,1156900000,78000000,584079000,-371966000,-1057413000,69238000,95850000,95403000,68951000,33768000,145024000,210081000,29893000,17810000,-450227000,-224935000,-1837246000,-1282598000,-560991000,-1713806000,-1637222000,-1165577000,-505467000,-5694565000
