,https://roic.ai/company/AVD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,500000,600000,700000,1000000,1400000,2900000,3200000,3500000,3500000,3400000,2300000,2700000,3100000,3214800,2949200,2143800,2337400,4053000,5800000,7016000,6674000,10088000,11613000,13487000,14381000,13546000,13487000,14845000,16332000,16474000,16327000,16959000,18891000,18643000,19902000,- -
15,EBITDA,2400000,3400000,2800000,3200000,400000,3400000,6200000,6800000,5000000,8400000,4900000,6000000,6300000,8437300,10134500,11167100,13615500,20235000,29533000,37955000,33196000,40614000,43786000,7202000,33572000,52338000,72120000,69765000,23157000,27210000,35998000,43283000,55799000,44154000,43402000,23454000
16,EBITDA ratio,0.1509,0.1799,0.1564,0.1684,0.0179,0.1160,0.1602,0.1495,0.1109,0.1516,0.1008,0.0886,0.0940,0.1219,0.1300,0.1283,0.1352,0.1621,0.1958,0.2000,0.1713,0.1875,0.1843,0.0344,0.1462,0.1719,0.1969,0.1831,0.0775,0.0940,0.1153,0.1219,0.1228,0.0943,0.0946,0.0421
17,Operating Income,2000000,2700000,1700000,2100000,-300000,1800000,3800000,4100000,3500000,6000000,3500000,4800000,4100000,6978200,8828200,10367400,11879500,16542000,24958000,32267000,29216000,36013000,36144000,-6329000,19191000,39226000,59323000,55735000,6710000,11524000,20540000,26794000,39021000,26221000,22908000,30946000
18,Operating Income ratio,0.1258,0.1429,0.0950,0.1105,-0.0135,0.0614,0.0982,0.0901,0.0776,0.1083,0.0720,0.0709,0.0612,0.1008,0.1132,0.1191,0.1180,0.1325,0.1654,0.1700,0.1508,0.1662,0.1522,-0.0302,0.0836,0.1289,0.1620,0.1463,0.0225,0.0398,0.0658,0.0755,0.0859,0.0560,0.0499,0.0556
19,Total Other Income Expenses (Gains),-100000,100000,400000,- -,-700000,-1300000,-800000,-800000,-2000000,-1000000,-900000,-1500000,-900000,-1755700,-1642900,-1344100,-601400,-360000,-1225000,-1328000,-2664000,-5487000,-3971000,-3209000,-3017000,-4003000,-2471000,-1901000,-3066000,-2562000,-1623000,-1941000,-5425000,-7209000,-4461000,-3805000
20,Income Before Tax,1900000,2800000,2100000,2100000,-1000000,500000,3000000,3300000,1500000,5000000,2600000,3300000,3200000,5222500,7185300,9023300,11278100,16182000,23733000,30939000,26552000,30526000,32173000,-9538000,16174000,35223000,56852000,53834000,3644000,8962000,18917000,24853000,33596000,19012000,18447000,27141000
21,Income Before Tax Ratio,0.1195,0.1481,0.1173,0.1105,-0.0448,0.0171,0.0775,0.0725,0.0333,0.0903,0.0535,0.0487,0.0478,0.0755,0.0921,0.1037,0.1120,0.1296,0.1573,0.1630,0.1370,0.1409,0.1354,-0.0456,0.0704,0.1157,0.1553,0.1413,0.0122,0.0310,0.0606,0.0700,0.0740,0.0406,0.0402,0.0487
22,Income Tax expense (Gain),900000,1200000,700000,800000,-100000,200000,1100000,1100000,300000,1900000,1000000,1300000,1100000,1987000,2874100,3383700,4229300,5919000,9256000,11937000,11074000,11798000,12154000,-3749000,5190000,13155000,20026000,18916000,-451000,2009000,5540000,4443000,9145000,5202000,3080000,8554000
23,Net Income,1000000,1600000,1400000,1400000,-900000,300000,1900000,2200000,1200000,3100000,1600000,2000000,2100000,3235500,4311200,5639600,7048800,10263000,14477000,19002000,15448000,18728000,20019000,-5789000,10984000,22068000,36867000,34449000,4841000,6591000,12788000,20274000,24195000,13601000,15242000,18587000
24,Net Income ratio,0.0629,0.0847,0.0782,0.0737,-0.0404,0.0102,0.0491,0.0484,0.0266,0.0560,0.0329,0.0295,0.0313,0.0467,0.0553,0.0648,0.0700,0.0822,0.0960,0.1001,0.0797,0.0864,0.0843,-0.0277,0.0478,0.0725,0.1007,0.0904,0.0162,0.0228,0.0410,0.0571,0.0533,0.0291,0.0332,0.0334
25,EPS,0.05,0.07,0.06,0.06,-0.04,0.02,0.09,0.10,0.05,0.13,0.07,0.08,0.09,0.14,0.18,0.25,0.31,0.44,0.60,0.78,0.60,0.71,0.75,-0.21,0.40,0.80,1.32,1.22,0.17,0.23,0.44,0.70,0.83,0.47,0.52,0.62
26,EPS Diluted,0.05,0.07,0.06,0.06,-0.04,0.02,0.09,0.10,0.05,0.13,0.07,0.08,0.09,0.14,0.18,0.24,0.29,0.41,0.57,0.74,0.57,0.68,0.73,-0.21,0.40,0.79,1.28,1.19,0.17,0.23,0.44,0.68,0.81,0.46,0.51,0.61
27,Weighted Average Shares Outstanding,21031379,21673169,22377444,22377444,23202454,18443379,22330611,21706742,22303174,24648606,23936310,24274570,24224440,23961167,23671071,22946930,23120225,23496220,23950595,24343570,25933650,26307019,26638000,27120000,27385000,27559000,27914000,28301000,28436000,28673000,28859000,29100000,29326000,29030000,29450000,29811000
28,Weighted Average Shares Outstanding Diluted,21031379,21673169,22377444,22377444,23202454,18443379,22330611,21706742,22303174,24648606,23936310,24274570,24224440,23961167,24063619,23655008,24244153,24837387,25555961,25758096,27186369,27436105,27469000,27120000,27652000,27875000,28756000,28899000,28912000,29237000,29394000,29703000,30048000,29656000,29993000,30410000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5981/000089256996000332/0000892569-96-000332-index.html,https://www.sec.gov/Archives/edgar/data/5981/000089256997000890/0000892569-97-000890-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/5981/0001095811-00-000821-index.html,- -,https://www.sec.gov/Archives/edgar/data/5981/000089256902000681/0000892569-02-000681-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000101706203000700/0001017062-03-000700-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312504053903/0001193125-04-053903-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312505052661/0001193125-05-052661-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312506056761/0001193125-06-056761-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312507054676/0001193125-07-054676-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312508058914/0001193125-08-058914-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312509054021/0001193125-09-054021-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312510052341/0001193125-10-052341-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312511062341/0001193125-11-062341-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312512106666/0001193125-12-106666-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312513087788/0001193125-13-087788-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312514077597/0001193125-14-077597-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312515069176/0001193125-15-069176-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312516488588/0001193125-16-488588-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459017003513/0001564590-17-003513-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459018005662/0001564590-18-005662-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459019007329/0001564590-19-007329-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459020009724/0001564590-20-009724-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459021017113/0001564590-21-017113-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459022009941/0001564590-22-009941-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,800000,1000000,1000000,1300000,200000,100000,100000,300000,300000,300000,600000,700000,800000,550200,361000,853000,3274600,887000,457000,1342000,1844000,3201000,1229000,383000,1158000,35085000,38476000,6680000,4885000,5524000,7869000,11337000,6168000,6581000,15923000,16285000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,800000,1000000,1000000,1300000,200000,100000,100000,300000,300000,300000,600000,700000,800000,550200,361000,853000,3274600,887000,457000,1342000,1844000,3201000,1229000,383000,1158000,35085000,38476000,6680000,4885000,5524000,7869000,11337000,6168000,6581000,15923000,16285000
34,Net Receivables,1500000,3100000,1500000,1100000,2900000,5400000,6700000,10900000,15500000,15500000,16700000,21700000,18600000,15953000,22849700,17114600,17194200,28197000,28305000,60269000,75744000,56570000,51968000,44638000,40811000,70001000,77303000,85040000,94387000,75557000,87206000,109605000,134029000,155848000,130561000,158921000
35,Inventory,1700000,1600000,1700000,1900000,2000000,3900000,5300000,5400000,7200000,8300000,11400000,12900000,15700000,16749900,21202800,24029800,21227700,33389000,43635000,44359000,66628000,63455000,90626000,72512000,74054000,71068000,87951000,139830000,165631000,136477000,120576000,123124000,159895000,163313000,163784000,154306000
36,Other Current Assets,400000,400000,700000,1100000,1000000,600000,400000,800000,900000,600000,700000,1100000,900000,819600,1333000,2377600,2077900,1197000,1619000,848000,1354000,2214000,1688000,2143000,2622000,2311000,18587000,17956000,22146000,19273000,11424000,10817000,10096000,10457000,11112000,- -
37,Total Current Assets,4400000,6100000,4900000,5400000,6100000,10000000,12500000,17400000,23900000,24700000,29400000,36400000,36000000,34072700,45746500,44375000,43774400,63670000,74016000,106818000,145570000,125440000,145511000,119676000,118645000,178465000,222317000,249506000,287049000,236831000,227075000,254883000,310188000,336199000,321380000,329512000
38,PP&E,4500000,4600000,7600000,12500000,19400000,17800000,16800000,16100000,15200000,13700000,12900000,13600000,12800000,10725000,9223600,13398000,19983700,21677000,26118000,34339000,36863000,36541000,41241000,39196000,40541000,39273000,45701000,52468000,50026000,47972000,50295000,49321000,49252000,67779000,77580000,91497000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22184000,25790000,46557000,52108000,46260000
40,Intangible Assets,100000,100000,100000,100000,100000,100000,100000,- -,500000,400000,3500000,4900000,9600000,10086400,10657100,10049500,10877900,20307000,21161000,41222000,79030000,85318000,93179000,86973000,115249000,116189000,113521000,107007000,100211000,129160000,121433000,180950000,186583000,198377000,197514000,197841000
41,Intangible Assets,100000,100000,100000,100000,100000,100000,100000,- -,500000,400000,3500000,4900000,9600000,10086400,10657100,10049500,10877900,20307000,21161000,41222000,79030000,85318000,93179000,86973000,115249000,116189000,113521000,107007000,100211000,129160000,121433000,203134000,212373000,244934000,249622000,244101000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000
44,Other Non-Current Assets,500000,400000,2000000,3000000,4000000,3900000,3500000,2500000,1300000,500000,2200000,300000,400000,695200,463700,742400,812200,1080000,1051000,848000,913000,1282000,7006000,8866000,7364000,5214000,18351000,38462000,35885000,29576000,31153000,28254000,21774000,21186000,18602000,- -
45,Total Non-Current Assets,5100000,5100000,9700000,15600000,23500000,21800000,20400000,18600000,17000000,14600000,18600000,18800000,22800000,21506600,20344400,24189900,31673800,43064000,48330000,76409000,116806000,123141000,141426000,135035000,163154000,160676000,177573000,197937000,186122000,206708000,202881000,280709000,283399000,333899000,345804000,335868000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700516000
47,Total Assets,9500000,11200000,14600000,21000000,29600000,31800000,32900000,36000000,40900000,39300000,48000000,55200000,58800000,55579300,66090900,68564900,75448200,106734000,122346000,183227000,262376000,248581000,286937000,254711000,281799000,339141000,399890000,447443000,473171000,443539000,429956000,535592000,593587000,670098000,667184000,694160000
48,Accounts Payable,- -,- -,- -,- -,1400000,2900000,2300000,2100000,2900000,2800000,3000000,3800000,6400000,2946300,6913600,9400300,5159100,13030000,12984000,28392000,15688000,13796000,14621000,11401000,13961000,23214000,32838000,40702000,20411000,15343000,24358000,53748000,66535000,64881000,59254000,67140000
49,Short-Term Debt,1000000,2000000,1900000,900000,4400000,6200000,6900000,8800000,9200000,1300000,1200000,2700000,3100000,13122200,3575400,701800,1948500,6374000,5107000,8107000,4106000,4106000,7706000,8528000,8427000,14460000,16247000,69000,71000,55000,- -,- -,- -,4904000,4188000,5059000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1313000,- -,- -,- -,13840000,1370000,4030000,- -,- -,3006000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5568000,7571000,20427000,3788000,898000,8888000,3848000,14574000,20043000,6826000,32652000,63064000
52,Other Current Liabilities,1600000,1700000,1700000,4400000,3200000,3500000,3900000,4300000,7200000,4900000,7300000,4100000,6600000,6717900,6134800,8895100,8804000,12642000,19650000,28651000,26543000,32394000,26303000,30950000,23230000,33780000,44158000,65940000,59865000,51996000,68868000,57880000,58950000,62027000,64885000,87798000
53,Total Current Liabilities,2600000,3700000,3600000,5300000,9000000,12600000,13100000,15200000,19300000,9000000,11500000,10600000,16100000,22786400,16623800,18997200,15911600,32046000,37741000,65150000,46337000,50296000,48630000,50879000,51186000,79025000,113670000,110499000,81245000,76282000,97074000,126202000,145528000,138638000,160979000,223061000
54,Long-Term Debt,2500000,2500000,2800000,3000000,7900000,6600000,5300000,4300000,3700000,9400000,11400000,18000000,16500000,5145600,18647300,14163900,17765400,22142000,19474000,34367000,93761000,56155000,76273000,45432000,53712000,51917000,36196000,51676000,99455000,68321000,40951000,77486000,96671000,148766000,107442000,73020000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,900000,1400000,2500000,3400000,3200000,3200000,3000000,2800000,2900000,2700000,2600000,2000000,1576700,1414500,1362200,1527900,2212000,1159000,1262000,1401000,2391000,6091000,5121000,10461000,15172000,19163000,23330000,28159000,27556000,6706000,16284000,15363000,19145000,20796000,- -
57,Other Non-Current Liabilities,600000,-100000,- -,100000,- -,- -,- -,- -,- -,- -,3000000,2700000,1100000,- -,117700,83300,- -,- -,- -,- -,- -,- -,- -,192000,3000,5955000,5425000,4143000,3309000,3054000,2868000,10306000,6795000,19393000,17231000,25341000
58,Total Non-Current Liabilities,3100000,3300000,4200000,5600000,11300000,9800000,8500000,7300000,6500000,12300000,17100000,23300000,19600000,6722300,20179500,15609400,19293300,24354000,20633000,35629000,95162000,58546000,82364000,50745000,64176000,73044000,60784000,79149000,130923000,98931000,50525000,104076000,118829000,187304000,145469000,98361000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11407000,12365000,- -
61,Total Liabilities,5700000,7000000,7800000,10900000,20300000,22400000,21600000,22500000,25800000,21300000,28600000,33900000,35700000,29508700,36803300,34606600,35204900,56400000,58374000,100779000,141499000,108842000,130994000,101624000,115362000,152069000,174454000,189648000,212168000,175213000,147599000,230278000,264357000,325942000,306448000,321422000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256400,282700,416000,635700,976000,993000,1996000,2835000,2865000,2920000,2958000,2974000,2985000,3077000,3109000,3156000,3164000,3183000,3225000,3276000,3324000,3394000,3426000
64,Retained Earnings,2500000,4000000,5300000,8600000,7800000,7900000,9800000,12000000,13200000,16300000,15600000,17500000,19400000,22520200,24354600,26171500,32621500,42076000,55378000,72830000,86114000,103004000,120896000,113496000,123661000,143524000,174243000,202470000,202488000,208507000,220428000,238953000,262840000,274118000,288182000,304385000
65,Other Comprehensive Income/Loss,-3300000,-3800000,-4400000,-3500000,-4600000,-6500000,-8000000,-10000000,-12000000,-14100000,-16300000,-18500000,-21100000,-23545600,-9012800,-25786000,-272300,-207000,-207000,-198000,-148000,64000,-3593000,-1743000,-448000,-2250000,-1762000,-1048000,-1970000,-3541000,-4851000,-4507000,-4507000,-5698000,-9322000,-13784000
66,Other Total Stockholders Equity,4600000,4000000,5900000,5000000,6100000,8000000,9500000,11500000,13900000,15800000,20100000,22300000,24800000,26839600,13663100,33156800,7258400,7489000,7808000,7820000,32076000,33806000,35720000,38376000,40250000,42813000,49519000,53422000,57963000,60265000,63430000,67389000,67621000,72412000,78482000,78711000
67,Total Stockholders Equity,3800000,4200000,6800000,10100000,9300000,9400000,11300000,13500000,15100000,18000000,19400000,21300000,23100000,26070600,29287600,33958300,40243300,50334000,63972000,82448000,120877000,139739000,155943000,153087000,166437000,187072000,225077000,257953000,261637000,268395000,282190000,305060000,329230000,344156000,360736000,372738000
68,Total Liabilities And Stockholders Equity,9500000,11200000,14600000,21000000,29600000,31800000,32900000,36000000,40900000,39300000,48000000,55200000,58800000,55579300,66090900,68564900,75448200,106734000,122346000,183227000,262376000,248581000,286937000,254711000,281799000,339141000,399531000,447601000,473805000,443608000,429789000,535338000,593587000,670098000,667184000,694160000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359000,-158000,-634000,-69000,167000,254000,- -,- -,- -,- -
70,Total Liabilities & Equity,9500000,11200000,14600000,21000000,29600000,31800000,32900000,36000000,40900000,39300000,48000000,55200000,58800000,55579300,66090900,68564900,75448200,106734000,122346000,183227000,262376000,248581000,286937000,254711000,281799000,339141000,399890000,447443000,473171000,443539000,429956000,535592000,593587000,670098000,667184000,694160000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5981/000089256996000332/0000892569-96-000332-index.html,https://www.sec.gov/Archives/edgar/data/5981/000089256997000890/0000892569-97-000890-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/5981/0001095811-00-000821-index.html,- -,https://www.sec.gov/Archives/edgar/data/5981/000089256902000681/0000892569-02-000681-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000101706203000700/0001017062-03-000700-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312504053903/0001193125-04-053903-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312505052661/0001193125-05-052661-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312506056761/0001193125-06-056761-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312507054676/0001193125-07-054676-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312508058914/0001193125-08-058914-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312509054021/0001193125-09-054021-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312510052341/0001193125-10-052341-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312511062341/0001193125-11-062341-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312512106666/0001193125-12-106666-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312513087788/0001193125-13-087788-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312514077597/0001193125-14-077597-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312515069176/0001193125-15-069176-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312516488588/0001193125-16-488588-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459017003513/0001564590-17-003513-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459018005662/0001564590-18-005662-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459019007329/0001564590-19-007329-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459020009724/0001564590-20-009724-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459021017113/0001564590-21-017113-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459022009941/0001564590-22-009941-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1000000,- -,1400000,1400000,-900000,300000,1900000,2200000,1200000,3100000,1600000,2000000,2100000,3235500,4311200,5639600,7048800,10263000,14477000,19002000,15448000,18728000,20019000,-5789000,10984000,22068000,36867000,34449000,4841000,6591000,12788000,20274000,24195000,13601000,15242000,18587000
74,Depreciation and Amortization,500000,- -,700000,1000000,1400000,2900000,3200000,3500000,3500000,3400000,2300000,2700000,3100000,3214800,2949200,2143800,2337400,4053000,5800000,7016000,6674000,10088000,11613000,13487000,14381000,13546000,13487000,14845000,16332000,16474000,16327000,16959000,18891000,18643000,19902000,- -
75,Deferred Income Tax,- -,- -,- -,- -,600000,100000,100000,-100000,-200000,- -,- -,- -,-600000,-463400,-731000,-715200,1108200,- -,-1053000,243000,139000,990000,3700000,-778000,5342000,4711000,-886000,2523000,2619000,27000,-151000,398000,-561000,2616000,-1123000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1223000,1122000,1994000,2950000,3819000,4153000,3881000,3167000,4714000,5805000,7160000,6561000,- -
77,Change in Working Capital,- -,- -,-1100000,-1200000,-3000000,300000,2000000,2800000,2400000,11100000,2200000,7900000,-5900000,-8613700,17836400,-3744900,2485000,3761200,4651000,5393000,57565000,-24089000,21737000,-28084000,-1338000,31981000,9207000,30360000,66797000,-45255000,-30548000,-1320000,35979000,32901000,-37160000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7505000,2351000,-13471000,13034000,-11817000,754000,-21320000,- -,15559000,- -
79,Inventory,- -,- -,- -,- -,-100000,-1900000,-1400000,-100000,-1800000,-1100000,-3100000,-1600000,-2800000,-1014100,-4452900,-2827000,2802100,-12161000,-10246000,-724000,-22269000,3173000,-27171000,18114000,-1542000,2986000,-16883000,-51879000,-25801000,29154000,15901000,16183000,-31440000,3817000,7421000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3385000,3095000,8384000,9781000,8252000,-19951000,-5068000,9015000,3322000,9097000,-7977000,-8124000,- -
