,https://roic.ai/company/FDX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,2394100000,2813500000,3503400000,4742500000,6601600000,7287500000,7273200000,7443400000,9553200000,12296500000,13723000000,15424600000,15349082000,16402155000,19194784000,20715505000,21865000000,23273000000,25190000000,29203000000,34060000000,36624000000,30114000000,28414000000,27893000000,31515000000,33970000000,41076000000,42121000000,45310000000,47288000000,55282000000,60200000000,64907000000,66365000000,77986000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,26000000,8000000,9000000,13000000,21000000,18000000,14000000,21000000,33000000,48000000,59000000,55000000,52000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,85000000,79000000,86000000,52000000,82000000,160000000,235000000,336000000,512000000,558000000,588000000,672000000,793000000
14,Depreciation and Amortization,212400000,239300000,289600000,387300000,-479200000,-534500000,-577200000,-579900000,-599400000,-652300000,-719600000,-777400000,963731000,1035118000,1154863000,1275774000,1364000000,1351000000,1375000000,1462000000,1548000000,1742000000,1946000000,1975000000,1958000000,1973000000,2113000000,2386000000,2587000000,2611000000,2631000000,2995000000,3095000000,3353000000,3615000000,3793000000
15,EBITDA,376600000,318700000,591900000,685700000,-260700000,-493600000,-724000000,-432200000,-220900000,-130200000,-179600000,-149200000,1868124000,2096182000,2292603000,2203347000,2509000000,2689000000,2694000000,3775000000,4447000000,4957000000,4060000000,2737000000,3931000000,4324000000,5306000000,4923000000,6036000000,4473000000,5707000000,8086000000,8006000000,4596000000,5956000000,11260000000
16,EBITDA ratio,0.1445,0.1003,0.1524,0.1327,-0.0372,-0.0642,-0.0959,-0.0554,-0.0261,-0.0139,-0.0175,-0.0130,0.1177,0.1250,0.1256,0.1122,0.1218,0.1196,0.1090,0.1286,0.1377,0.1408,0.1070,0.0771,0.1132,0.1100,0.1243,0.1112,0.1325,0.0943,0.1133,0.1341,0.1223,0.0659,0.0860,0.1341
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1010660000,1163086000,1221074000,1070890000,1321000000,1471000000,1440000000,2471000000,3014000000,3276000000,2075000000,747000000,1998000000,2378000000,3186000000,2551000000,3446000000,1867000000,3077000000,5037000000,4870000000,4466000000,2417000000,5857000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0637,0.0693,0.0669,0.0546,0.0641,0.0654,0.0583,0.0842,0.0933,0.0930,0.0547,0.0210,0.0575,0.0605,0.0746,0.0576,0.0756,0.0393,0.0611,0.0835,0.0744,0.0641,0.0349,0.0698
19,Total Other Income Expenses (Gains),-47900000,-52900000,-77100000,-126100000,-195000000,-359900000,-423700000,-161000000,1452200000,3426500000,3989400000,4533000000,-111142000,-102022000,-83334000,-143317000,-161000000,-133000000,-121000000,-158000000,-115000000,-61000000,-59000000,-70000000,-104000000,-113000000,-45000000,-96000000,-157000000,-240000000,-337000000,-458000000,-517000000,-3811000000,-748000000,817000000
20,Income Before Tax,164200000,311900000,302300000,298400000,218500000,40900000,-146800000,203600000,378500000,522100000,540000000,628200000,899518000,1061064000,1137740000,927573000,1160000000,1338000000,1319000000,2313000000,2899000000,3215000000,2016000000,677000000,1894000000,2265000000,3141000000,2455000000,3289000000,1627000000,2740000000,4579000000,4353000000,655000000,1669000000,6674000000
21,Income Before Tax Ratio,0.0630,0.0981,0.0779,0.0578,0.0311,0.0053,-0.0194,0.0261,0.0446,0.0556,0.0526,0.0545,0.0567,0.0633,0.0623,0.0473,0.0563,0.0595,0.0534,0.0788,0.0898,0.0913,0.0531,0.0191,0.0545,0.0576,0.0736,0.0554,0.0722,0.0343,0.0544,0.0759,0.0665,0.0094,0.0241,0.0795
22,Income Tax expense (Gain),32400000,144900000,114600000,131900000,102700000,35000000,-33000000,93800000,174100000,224500000,232200000,267000000,401363000,429731000,449404000,343202000,435000000,508000000,481000000,864000000,1093000000,1199000000,891000000,579000000,710000000,813000000,1109000000,894000000,1192000000,577000000,920000000,1582000000,-219000000,115000000,383000000,1443000000
23,Net Income,131800000,-65500000,187700000,166500000,115800000,5900000,-113800000,53900000,204400000,297600000,307800000,361200000,503030000,631333000,688336000,584371000,710000000,830000000,838000000,1449000000,1806000000,2016000000,1125000000,98000000,1184000000,1452000000,2032000000,1561000000,2097000000,1050000000,1820000000,2997000000,4572000000,540000000,1286000000,5231000000
24,Net Income ratio,0.0506,-0.0206,0.0483,0.0322,0.0165,0.0008,-0.0151,0.0069,0.0241,0.0317,0.0300,0.0314,0.0317,0.0376,0.0377,0.0298,0.0345,0.0369,0.0339,0.0493,0.0559,0.0572,0.0296,0.0028,0.0341,0.0369,0.0476,0.0352,0.0460,0.0221,0.0361,0.0497,0.0699,0.0077,0.0186,0.0623
25,EPS,0.66,-0.31,0.89,0.80,0.55,0.03,-0.53,0.25,0.92,1.32,1.35,1.56,1.72,2.13,2.36,2.02,2.38,2.79,2.80,4.81,5.94,6.57,3.64,0.31,3.77,4.58,6.42,4.93,7.35,3.72,6.85,11.17,17.19,2.07,4.91,19.52
26,EPS Diluted,0.66,-0.31,0.89,0.80,0.55,0.03,-0.53,0.25,0.92,1.32,1.35,1.56,1.69,2.10,2.32,1.99,2.34,2.74,2.76,4.72,5.83,6.48,3.60,0.31,3.76,4.57,6.41,4.91,6.75,3.65,6.51,11.07,16.79,2.03,4.90,19.45
27,Weighted Average Shares Outstanding,199696970,211290323,210898876,208125000,210545455,196666667,214716981,215600000,222173913,225976000,228552000,231282000,293311953,296400469,291667797,289292574,298319328,297491039,299285714,301247401,304040404,306849315,309000000,311000000,312000000,317000000,316599754,316584465,285423144,282430208,265524323,268257434,265924840,260808410,262000000,268000000
28,Weighted Average Shares Outstanding Diluted,199696970,211290323,210898876,208125000,210545455,196666667,214716981,215600000,222173913,225976000,228552000,231282000,298534125,300634762,296696552,293653769,303418803,302919708,303623188,306991525,309777015,311111111,312000000,312000000,314000000,317000000,317000000,317000000,310000000,287000000,279000000,270000000,272304943,265000000,262448980,268946015
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1048911/000089924398001610/0000899243-98-001610-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000104746999032609/0001047469-99-032609-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1048911/000093176302002489/0000931763-02-002489-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000104746903024446/0001047469-03-024446-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000104746904023480/0001047469-04-023480-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000110465905032464/a05-11806_110k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000110465906046980/a06-14845_110k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000095014407006556/0000950144-07-006556-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000136231008003669/0001362310-08-003669-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000095012309022417/0000950123-09-022417-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000095012310065730/0000950123-10-065730-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000095012311065246/0000950123-11-065246-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312512303558/0001193125-12-303558-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312513290858/0001193125-13-290858-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312514267851/0001193125-14-267851-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312515252494/0001193125-15-252494-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312516650267/0001193125-16-650267-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000095012317006152/0000950123-17-006152-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000156459018016877/0001564590-18-016877-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000156459019025065/fdx-10k_20190531.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459020032775/0001564590-20-032775-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459021037031/0001564590-21-037031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229565000,325323000,67959000,121302000,331000000,538000000,1046000000,1039000000,1937000000,1569000000,1539000000,2292000000,1952000000,2328000000,2843000000,4917000000,2908000000,3763000000,3534000000,3969000000,3265000000,2319000000,4881000000,7087000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229565000,325323000,67959000,121302000,331000000,538000000,1046000000,1039000000,1937000000,1569000000,1539000000,2292000000,1952000000,2328000000,2843000000,4917000000,2908000000,3763000000,3534000000,3969000000,3265000000,2319000000,4881000000,7087000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1943423000,2153166000,2547043000,2506044000,2491000000,2627000000,3027000000,3297000000,3516000000,3942000000,4359000000,3391000000,4163000000,4581000000,4704000000,5044000000,5460000000,5719000000,7252000000,7599000000,8481000000,9116000000,10102000000,12069000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364714000,291922000,255291000,269269000,251000000,228000000,249000000,250000000,308000000,338000000,435000000,367000000,389000000,437000000,440000000,457000000,463000000,498000000,496000000,514000000,525000000,553000000,572000000,587000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342430000,370617000,414451000,552446000,592000000,548000000,648000000,683000000,703000000,780000000,911000000,1066000000,780000000,939000000,1069000000,856000000,852000000,961000000,707000000,546000000,1070000000,1098000000,828000000,837000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2880132000,3141028000,3284744000,3449061000,3665000000,3941000000,4970000000,5269000000,6464000000,6629000000,7244000000,7116000000,7284000000,8285000000,9056000000,11274000000,9683000000,10941000000,11989000000,12628000000,13341000000,13086000000,16383000000,20580000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5935050000,6559217000,7083527000,8100055000,8302000000,8700000000,9037000000,9643000000,10770000000,12636000000,13478000000,13417000000,14385000000,15543000000,17248000000,18484000000,19550000000,20875000000,24284000000,25981000000,28154000000,30429000000,47525000000,51135000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356272000,344002000,500547000,1082223000,1063000000,1063000000,2802000000,2835000000,2825000000,3497000000,3165000000,2229000000,2200000000,2326000000,2387000000,2755000000,2790000000,3810000000,6747000000,7154000000,6973000000,6884000000,6372000000,6992000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1198000000,1385000000,1282000000,1238000000,919000000,1171000000,- -,- -,- -,- -,- -,- -,1008000000,529000000,480000000,416000000,322000000,352000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356272000,344002000,500547000,1082223000,1063000000,1063000000,4000000000,4220000000,4107000000,4735000000,4084000000,3400000000,2200000000,2326000000,2387000000,2755000000,2790000000,3810000000,7755000000,7683000000,7453000000,7300000000,6694000000,7344000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,514606000,603964000,658293000,708673000,782000000,1681000000,1127000000,1272000000,1349000000,- -,827000000,311000000,1033000000,1231000000,1212000000,1054000000,1047000000,1443000000,2036000000,2260000000,3382000000,3588000000,2935000000,3718000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6805928000,7507183000,8242367000,9890951000,10147000000,11444000000,14164000000,15135000000,16226000000,17371000000,18389000000,17128000000,17618000000,19100000000,20847000000,22293000000,23387000000,26128000000,34075000000,35924000000,38989000000,41317000000,57154000000,62197000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9686060000,10648211000,11527111000,13340012000,13812000000,15385000000,19134000000,20404000000,22690000000,24000000000,25633000000,24244000000,24902000000,27385000000,29903000000,33567000000,33070000000,37069000000,46064000000,48552000000,52330000000,54403000000,73537000000,82777000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145410000,1133952000,1120855000,1255298000,1133000000,1168000000,1615000000,1739000000,1908000000,2016000000,2195000000,1372000000,1522000000,1702000000,1613000000,1879000000,1971000000,2066000000,2944000000,2752000000,2977000000,3030000000,3269000000,3841000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257529000,14938000,6537000,221392000,6000000,308000000,750000000,369000000,850000000,639000000,502000000,653000000,262000000,18000000,417000000,251000000,1000000,19000000,29000000,22000000,1342000000,964000000,1974000000,2354000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368000000,339000000,328000000,311000000,283000000,334000000,304000000,417000000,637000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400900000,1635867000,1763634000,1772826000,1803000000,1859000000,2367000000,2626000000,2715000000,2773000000,2671000000,2499000000,2861000000,3162000000,3344000000,3620000000,3340000000,3872000000,5035000000,5144000000,5308000000,5019000000,5101000000,7465000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2803839000,2784757000,2891026000,3249516000,2942000000,3335000000,4732000000,4734000000,5473000000,5428000000,5368000000,4524000000,4645000000,4882000000,5374000000,5750000000,5312000000,5957000000,8008000000,7918000000,9627000000,9013000000,10344000000,13660000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1385180000,1359668000,1776253000,1900119000,1800000000,1709000000,2837000000,2427000000,1592000000,2007000000,1506000000,1930000000,1668000000,1667000000,1250000000,2739000000,4736000000,7249000000,13838000000,14909000000,15243000000,16617000000,21518000000,34108000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455000000,426000000,400000000,373000000,343000000,315000000,289000000,267000000,246000000,251000000,227000000,206000000,181000000,155000000,137000000,121000000,99000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274147000,293462000,344613000,455591000,599000000,882000000,1181000000,1206000000,1367000000,897000000,1264000000,1071000000,891000000,1336000000,836000000,1652000000,2114000000,1747000000,1567000000,2485000000,2867000000,2821000000,3162000000,3927000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261664000,1546632000,1729976000,1834366000,1926000000,1716000000,1922000000,2049000000,2374000000,2669000000,2654000000,2804000000,3620000000,4034000000,7465000000,5801000000,5425000000,6942000000,8712000000,7030000000,5056000000,8096000000,20218000000,6914000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2920991000,3199762000,3850842000,4190076000,4325000000,4762000000,6366000000,6082000000,5706000000,5916000000,5739000000,6094000000,6446000000,7283000000,9802000000,10419000000,12481000000,16119000000,24272000000,24561000000,23287000000,27633000000,44898000000,44949000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417000000,- -,- -,- -,- -,- -,- -,- -,14603000000,16108000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5724830000,5984519000,6741868000,7439592000,7267000000,8097000000,11098000000,10816000000,11179000000,11344000000,11107000000,10618000000,11091000000,12165000000,15176000000,16169000000,17793000000,22076000000,32280000000,32479000000,32914000000,36646000000,55242000000,58609000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14741000,29799000,29857000,29857000,30000000,30000000,30000000,30000000,31000000,31000000,31000000,31000000,31000000,32000000,32000000,32000000,32000000,32000000,32000000,32000000,32000000,32000000,32000000,32000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2972077000,3615797000,4295041000,4879647000,5465000000,6250000000,7001000000,8363000000,10068000000,11970000000,13002000000,12919000000,13966000000,15266000000,17134000000,18519000000,20429000000,16900000000,18371000000,20833000000,24823000000,24648000000,25216000000,29817000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6528824000,-7160690000,-7659016000,-8311941000,-9274000000,-30000000,-46000000,-17000000,-24000000,-1030000000,-425000000,-1373000000,-2440000000,-2550000000,-4953000000,-3820000000,-3694000000,172000000,-169000000,-415000000,-578000000,-865000000,-1147000000,-732000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7503236000,8178786000,8119361000,9302857000,10324000000,1038000000,1051000000,1212000000,1436000000,1685000000,1918000000,2049000000,2254000000,2472000000,2514000000,2667000000,-1490000000,-2111000000,-4450000000,-4377000000,-4861000000,-6058000000,-5806000000,-4949000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3961230000,4663692000,4785243000,5900420000,6545000000,7288000000,8036000000,9588000000,11511000000,12656000000,14526000000,13626000000,13811000000,15220000000,14727000000,17398000000,15277000000,14993000000,13784000000,16073000000,19416000000,17757000000,18295000000,24168000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9686060000,10648211000,11527111000,13340012000,13812000000,15385000000,19134000000,20404000000,22690000000,24000000000,25633000000,24244000000,24902000000,27385000000,29903000000,33567000000,33070000000,37069000000,46064000000,48552000000,52330000000,54403000000,73537000000,82777000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9686060000,10648211000,11527111000,13340012000,13812000000,15385000000,19134000000,20404000000,22690000000,24000000000,25633000000,24244000000,24902000000,27385000000,29903000000,33567000000,33070000000,37069000000,46064000000,48552000000,52330000000,54403000000,73537000000,82777000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1048911/000089924398001610/0000899243-98-001610-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000104746999032609/0001047469-99-032609-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1048911/000093176302002489/0000931763-02-002489-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000104746903024446/0001047469-03-024446-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000104746904023480/0001047469-04-023480-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000110465905032464/a05-11806_110k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000110465906046980/a06-14845_110k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000095014407006556/0000950144-07-006556-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000136231008003669/0001362310-08-003669-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000095012309022417/0000950123-09-022417-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000095012310065730/0000950123-10-065730-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000095012311065246/0000950123-11-065246-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312512303558/0001193125-12-303558-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312513290858/0001193125-13-290858-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312514267851/0001193125-14-267851-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312515252494/0001193125-15-252494-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000119312516650267/0001193125-16-650267-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000095012317006152/0000950123-17-006152-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000156459018016877/0001564590-18-016877-index.html,https://www.sec.gov/Archives/edgar/data/1048911/000156459019025065/fdx-10k_20190531.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459020032775/0001564590-20-032775-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459021037031/0001564590-21-037031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,115800000,5900000,-113800000,53900000,204400000,297600000,307800000,361200000,503030000,631333000,688336000,584371000,710000000,830000000,838000000,1449000000,1806000000,2016000000,1125000000,98000000,1184000000,1452000000,2032000000,1561000000,2097000000,1050000000,1820000000,2997000000,4572000000,540000000,1286000000,5231000000
74,Depreciation and Amortization,- -,- -,- -,- -,-479200000,-534500000,-577200000,-579900000,-599400000,-652300000,-719600000,-777400000,963731000,1035118000,1154863000,1275774000,1364000000,1351000000,1375000000,1462000000,1548000000,1742000000,1946000000,1975000000,1958000000,1973000000,2113000000,2386000000,2587000000,2611000000,2631000000,2995000000,3095000000,3353000000,3615000000,3793000000
75,Deferred Income Tax,- -,- -,- -,- -,101100000,64600000,-75200000,19900000,3800000,26000000,26500000,45700000,45500000,-34000000,-7363000,-16024000,14000000,329000000,-8000000,63000000,187000000,37000000,124000000,299000000,331000000,669000000,1126000000,521000000,581000000,-572000000,31000000,909000000,-231000000,-233000000,- -,2887000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,99000000,101000000,98000000,105000000,109000000,117000000,133000000,144000000,154000000,167000000,174000000,168000000,200000000
