,https://roic.ai/company/ABC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-5.19,0.07,0.19,0.24,0.26,0.33,0.47,0.53,0.79,0.97,1.01,0.62,1.13,1.25,0.77,1.66,2.22,2.54,2.80,1.84,1.17,-0.62,6.32,1.87,7.53,4.04,-16.65,7.39
27,Weighted Average Shares Outstanding,40000000,145714286,182051282,189166667,190566038,203007519,206208000,228740000,419740000,438052000,446468000,422668000,410018000,370362000,321284000,300573000,282258000,272471000,252906000,231067000,227367000,217786000,212206000,218375000,217872000,210165000,204783000,205919000
28,Weighted Average Shares Outstanding Diluted,40000000,145714286,184415584,191157895,194230769,206106870,208080000,251228000,448912000,463816000,471116000,431080000,414892000,375772000,324920000,302754000,287246000,277717000,256903000,235345000,235405000,217786000,225959000,221602000,220336000,211840000,204783000,208465000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1140859/000102140802015488/0001021408-02-015488-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312503097066/0001193125-03-097066-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312504211073/0001193125-04-211073-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312505240076/0001193125-05-240076-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312506249498/0001193125-06-249498-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312507255013/0001193125-07-255013-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312508243469/0001193125-08-243469-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000095012309066012/0000950123-09-066012-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/0000950123-10-108165-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/0000950123-11-100028-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/0001047469-12-010807-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000104746913010867/0001047469-13-010867-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000104746914009555/0001047469-14-009555-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000104746915008939/0001047469-15-008939-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085916000022/0001140859-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085917000047/0001140859-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085918000053/0001140859-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085919000040/0001140859-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085920000050/0001140859-20-000050-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25300000,32200000,65600000,60000000,48500000,59500000,120818000,297626000,663340000,800036000,871343000,1315683000,1261268000,640204000,878114000,1009368000,1658182000,1825990000,1066608000,1231006000,1808513000,2167442000,2741832000,2435115000,2492516000,3374194000,4597746000,2547142000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67840000,467419000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25300000,32200000,65600000,60000000,48500000,59500000,120818000,297626000,663340000,800036000,871343000,1315683000,1329108000,1107623000,878114000,1009368000,1658182000,1825990000,1066608000,1231006000,1808513000,2167442000,2741832000,2435115000,2492516000,3374194000,4597746000,2547142000
34,Net Receivables,272300000,318700000,390300000,533300000,458200000,612500000,623961000,2142663000,2222156000,2295437000,2260973000,2640646000,3427139000,3472358000,3480267000,3916509000,3827484000,3837203000,3938597000,6051920000,6312883000,8222951000,9175876000,10303324000,11314226000,12386879000,14334729000,18389050000
35,Inventory,351700000,404500000,650300000,1017800000,870200000,1243200000,1570504000,5056257000,5437878000,5733837000,5135830000,4003690000,4422055000,4101502000,4211775000,4972820000,5210098000,5466534000,5689147000,6981494000,8593852000,9755094000,10723920000,11461428000,11918508000,11060254000,12589278000,15368352000
36,Other Current Assets,2400000,17800000,8900000,13600000,41400000,4800000,5336000,15956000,26263000,29208000,27243000,27673000,32105000,32817000,99605000,55056000,52586000,87896000,292799000,129231000,84957000,189001000,210219000,103432000,169122000,1310727000,1533949000,2498065000
37,Total Current Assets,651700000,773200000,1115100000,1624700000,1418300000,1920000000,2320619000,7512502000,8349637000,8858518000,8295389000,7987692000,9210407000,8714300000,8669761000,9953753000,10748350000,11217623000,10987151000,14393651000,16800205000,20334488000,22851847000,24303299000,25894372000,28132054000,33055702000,38802609000
38,PP&E,41200000,45200000,51700000,67500000,60800000,64400000,64962000,289569000,282578000,353170000,465264000,514758000,509746000,506984000,552159000,619238000,711712000,772916000,780013000,803561000,899582000,979251000,1530682000,1797945000,1892424000,1770516000,1484808000,2162961000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2588712000,2611055000,2875366000,- -,2544367000,2565227000,2973097000,2944970000,2948502000,4130825000,5991497000,6044281000,6664272000,6705507000,6706719000,9030531000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2466848000,2568397000,2827701000,2893350000,2878724000,475055000,477725000,- -,- -,300976000,297857000,580448000,554743000,533242000,1993119000,2967849000,2833281000,2947828000,2294836000,1886107000,5256927000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2466848000,2568397000,2827701000,2893350000,2878724000,3063767000,3088780000,2875366000,2859064000,2845343000,2863084000,3553545000,3499713000,3481744000,6123944000,8959346000,8877562000,9612100000,9000343000,8592826000,14287458000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,22326000,12400000,736000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361640000,290791000
44,Other Non-Current Assets,18700000,20300000,21200000,52800000,73200000,76200000,72986000,- -,- -,- -,- -,- -,- -,- -,120500000,140685000,129438000,129048000,123417000,221713000,350652000,298474000,314325000,337664000,270942000,269067000,779854000,1793986000
45,Total Non-Current Assets,59900000,65500000,72900000,120300000,134000000,140600000,137948000,2778743000,2863375000,3181607000,3358614000,3393482000,3573513000,3595764000,3548025000,3618987000,3686493000,3765048000,4456975000,4524987000,4731978000,7401669000,10804353000,11013171000,11775466000,11039926000,11219128000,18535196000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,711600000,838700000,1188000000,1745000000,1552300000,2060600000,2458567000,10291245000,11213012000,12040125000,11654003000,11381174000,12783920000,12310064000,12217786000,13572740000,14434843000,14982671000,15444126000,18918638000,21532183000,27736157000,33656200000,35316470000,37669838000,39171980000,44274830000,57337805000
48,Accounts Payable,450000000,462800000,715000000,1036500000,873200000,1175600000,1584133000,4991884000,5367837000,5393769000,4947037000,5292253000,6499264000,6988782000,7326580000,8517162000,8833285000,9202115000,9630110000,13335792000,15592834000,20886439000,23926320000,25404042000,26836873000,28385074000,31705055000,38009954000
49,Short-Term Debt,100000,- -,- -,- -,- -,- -,- -,- -,60819000,61430000,281360000,1232000,1560000,476000,1719000,1068000,422000,392089000,- -,- -,- -,- -,611149000,12121000,151657000,139012000,501259000,300213000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,68300000,67200000,70800000,93600000,142000000,151700000,167336000,540569000,670861000,800903000,875511000,758611000,958364000,867778000,839290000,961380000,1072637000,1260916000,1584372000,1534843000,1657326000,1814326000,743839000,1402002000,881157000,1057208000,1646763000,3048474000
53,Total Current Liabilities,518400000,530000000,785800000,1130100000,1015200000,1327300000,1751469000,5532453000,6099517000,6256102000,6103908000,6052096000,7459188000,7857036000,8167589000,9479610000,9906344000,10855120000,11214482000,14870635000,17250160000,22700765000,25281308000,26818165000,27869687000,29581294000,33853077000,41358641000
54,Long-Term Debt,487600000,435800000,433700000,589800000,453800000,558700000,413217000,1597295000,1756494000,1722724000,1157111000,951479000,1093931000,1227298000,1187412000,1176933000,1343158000,972863000,1446770000,1396606000,1995632000,3493048000,3594253000,3429934000,4158532000,4033880000,3618261000,6383711000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,819188000,2214774000,2492612000,1829410000,1860195000,686485000,1685296000
57,Other Non-Current Liabilities,6300000,8600000,5300000,10800000,8000000,8300000,11587000,322933000,40663000,55982000,53939000,97242000,89644000,126010000,152740000,199728000,231044000,287830000,326162000,331652000,329492000,89636000,436461000,511298000,762248000,703405000,6956643000,7325746000
58,Total Non-Current Liabilities,493900000,444400000,439000000,600600000,461800000,567000000,424804000,1920228000,1797157000,1778706000,1211050000,1048721000,1183575000,1353308000,1340152000,1376661000,1574202000,1260693000,1772932000,1728258000,2325124000,4401872000,6245488000,6433844000,6750190000,6597480000,11261389000,15394753000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1012300000,974400000,1224800000,1730700000,1477000000,1894300000,2176273000,7452681000,7896674000,8034808000,7314958000,7100817000,8642763000,9210344000,9507741000,10856271000,11480546000,12115813000,12987414000,16598893000,19575284000,27102637000,31526796000,33252009000,34619877000,36178774000,45114466000,56753394000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,600000,588000,1035000,1066000,1120000,1125000,1156000,2354000,2379000,2406000,4829000,4898000,4965000,2625000,2678000,2711000,2750000,2778000,2806000,2836000,2853000,2878000,2907000
64,Retained Earnings,-305000000,-294800000,-259400000,-213900000,-163400000,-94600000,4382000,128178000,462619000,892853000,1350046000,1604093000,2051212000,2286489000,2479078000,2919760000,3465886000,4055664000,1270423000,1508414000,1570429000,1181623000,2303941000,2395218000,3720582000,4235491000,518335000,1670513000
65,Other Comprehensive Income/Loss,-26400000,-31600000,-39800000,-47500000,-57700000,-70400000,-75804000,-88627000,-139922000,-14217000,-13577000,-24814000,-15303000,-5247000,-16490000,-46096000,-42536000,-50868000,-30787000,-35483000,-52046000,-136333000,-114308000,-95850000,-79253000,-111965000,-108830000,-445442000
66,Other Total Stockholders Equity,30700000,190700000,262400000,275700000,296400000,330700000,353128000,2797978000,2992575000,3125561000,3001451000,2699922000,2102894000,816099000,245051000,-162024000,-473951000,-1142903000,1214451000,844136000,435805000,-414520000,-63007000,-237713000,-711341000,-1247462000,-1431307000,-1004624000
67,Total Stockholders Equity,-300700000,-135700000,-36800000,14300000,75300000,166300000,282294000,2838564000,3316338000,4005317000,4339045000,4280357000,4141157000,3099720000,2710045000,2716469000,2954297000,2866858000,2456712000,2319745000,1956899000,633520000,2129404000,2064461000,2932824000,2878917000,-1018924000,223354000
68,Total Liabilities And Stockholders Equity,711600000,838700000,1188000000,1745000000,1552300000,2060600000,2458567000,10291245000,11213012000,12040125000,11654003000,11381174000,12783920000,12310064000,12217786000,13572740000,14434843000,14982671000,15444126000,18918638000,21532183000,27736157000,33656200000,35316470000,37552701000,39057691000,44095542000,56976748000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117137000,114289000,179288000,361057000
70,Total Liabilities & Equity,711600000,838700000,1188000000,1745000000,1552300000,2060600000,2458567000,10291245000,11213012000,12040125000,11654003000,11381174000,12783920000,12310064000,12217786000,13572740000,14434843000,14982671000,15444126000,18918638000,21532183000,27736157000,33656200000,35316470000,37669838000,39171980000,44274830000,57337805000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1140859/000102140802015488/0001021408-02-015488-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312503097066/0001193125-03-097066-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312504211073/0001193125-04-211073-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312505240076/0001193125-05-240076-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312506249498/0001193125-06-249498-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312507255013/0001193125-07-255013-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000119312508243469/0001193125-08-243469-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000095012309066012/0000950123-09-066012-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/0000950123-10-108165-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/0000950123-11-100028-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/0001047469-12-010807-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000104746913010867/0001047469-13-010867-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000104746914009555/0001047469-14-009555-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000104746915008939/0001047469-15-008939-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085916000022/0001140859-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085917000047/0001140859-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085918000053/0001140859-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085919000040/0001140859-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085920000050/0001140859-20-000050-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-207700000,10200000,35500000,45400000,50500000,67500000,99014000,125102000,344941000,441229000,468390000,319199000,467714000,469167000,250559000,503397000,636748000,706624000,718986000,433707000,276484000,-134887000,1427929000,364484000,1658405000,855365000,-3408716000,1539932000
74,Depreciation and Amortization,14700000,10100000,11600000,14300000,16600000,19900000,17420000,24714000,66578000,80443000,87088000,90882000,96933000,104344000,95882000,94316000,104172000,125941000,147194000,170793000,192733000,249600000,392166000,432331000,510109000,497512000,408013000,514786000
75,Deferred Income Tax,-5100000,-1400000,5800000,-5000000,19200000,11300000,25824000,24334000,45853000,127157000,48884000,17026000,92083000,13185000,62112000,84324000,- -,194997000,60638000,25573000,39312000,22733000,-130927000,319069000,-795524000,28537000,-1544971000,334866000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27138000,30844000,28365000,26120000,36275000,43107000,60944000,64992000,62206000,62316000,58874000,74411000,99594000
77,Change in Working Capital,65100000,109900000,86100000,165300000,-91500000,189600000,-23550000,1410899000,270071000,352296000,-410935000,-255885000,-184377000,-893955000,-355092000,-28029000,367863000,-479503000,-589834000,-249653000,27029000,-1916322000,-63184000,-85405000,539551000,526075000,651865000,367322000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-457771000,61160000,-35457000,41666000,-2312518000,-938286000,-1478793000,-912724000,-1277896000,-657770000,-1241890000,-1628991000,-930078000
79,Inventory,-5300000,-49300000,-213100000,-271800000,147600000,-289100000,-327351000,-726141000,-362195000,-278388000,916301000,1072577000,-349543000,285743000,-8013000,-765011000,-242967000,-272294000,-200110000,-1486572000,-956506000,-836382000,-1107252000,-431454000,-4923000,-167990000,-1621143000,-1116344000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420569000,3818288000,2317589000,5125914000,3011508000,1473389000,859036000,1561048000,3300832000,2049167000
81,Other Working Capital,133300000,243200000,329300000,494600000,403100000,592700000,569150000,1980049000,2250120000,2602416000,2191481000,1935596000,1751219000,857264000,502172000,474143000,842006000,362503000,-227331000,-476984000,-449955000,-2366277000,-2429461000,-2514866000,-1975315000,-1449240000,-797375000,364577000
82,Other Non-Cash Items,217000000,-164400000,-99000000,-229300000,131100000,-285300000,97872000,-1625053000,-191517000,-646310000,631654000,1355416000,334912000,1515163000,683608000,102617000,-31003000,591524000,942345000,371430000,884488000,5638311000,1487521000,411453000,-563469000,377660000,6026438000,-189914000
83,Cash Provided by Operating Activities,84000000,-35600000,40000000,-9300000,125900000,3000000,216580000,-40004000,535926000,354815000,825081000,1526638000,807265000,1207904000,737069000,783763000,1108624000,1167948000,1305449000,788125000,1463153000,3920379000,3178497000,1504138000,1411388000,2344023000,2207040000,2666586000
84,CAPEX,-8500000,-13700000,-15700000,-15900000,-10400000,-15800000,-16619000,-23363000,-64159000,-90554000,-189278000,-203376000,-113132000,-118051000,-137309000,-145837000,-184635000,-167954000,-164041000,-202450000,-264457000,-231585000,-464616000,-466397000,-336411000,-310222000,-369677000,-438217000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-3032000,133818000,-136223000,-111981000,-68882000,-4404000,-296224000,-170089000,-169230000,-1482000,- -,-45380000,-775670000,329980000,-9103000,-2616249000,-2731356000,-49554000,-785299000,-63951000,-56080000,-5725660000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1997022000,-7745672000,- -,- -,- -,- -,- -,- -,- -,-86214000,-42083000,-48635000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2285894000,7346093000,467419000,- -,- -,- -,- -,- -,- -,- -,101829000,74778000,- -,- -,- -,- -
88,Other Investing Activites,500000,-2600000,-28900000,-129000000,2300000,-1000000,-1838000,7035000,-2432000,726000,15938000,55475000,77782000,13282000,2541000,-1030000,264000,916000,-8238000,-10270000,-110595000,2883000,-32953000,-8233000,10596000,-1659000,45886000,-415917000
89,Cash Used for Investing Activites,-8000000,-16300000,-44600000,-144900000,-8100000,-16800000,-21489000,117490000,-202814000,-201809000,-242222000,-152305000,-42702000,-674437000,163421000,-148349000,-184371000,-212418000,-947949000,117260000,-384155000,-2931165000,-3169179000,-498041000,-1111114000,-375832000,-379871000,-6141577000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2162365000,-1261395000,-844204000,-1491627000,-2330000000,-18116025000,-611100000,-9133662000,-10085953000,-25808439000,-1280147000,-748432000,-5919243000
91,Common Stock Issued,- -,148700000,49300000,3800000,6700000,9000000,11924000,30835000,101509000,42564000,15151000,174060000,138046000,94620000,84394000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66355000,- -
92,Common Stock Repurchased,- -,-5700000,- -,- -,- -,-400000,- -,- -,- -,- -,-145691000,-787757000,-719246000,-1436007000,-680616000,-450350000,-470356000,-840577000,-1162246000,-484176000,-753926000,-1859106000,-2266344000,-329929000,-639235000,-674031000,-420449000,-82150000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-10500000,-10995000,-11197000,-10598000,-20595000,-37249000,-48674000,-62696000,-90622000,-117624000,-132760000,-195716000,-214469000,-253919000,-288477000,-320270000,-333041000,-338974000,-343578000,-366648000
94,Other Financing Activites,-77800000,-84200000,-11200000,144900000,-136100000,16200000,-145694000,68487000,-58407000,-47879000,-369815000,-305698000,131947000,224105000,-17684000,2171251000,1546934000,1014683000,1669751000,2268905000,18582929000,2093840000,12253555000,9423338000,26537842000,1206639000,842487000,8320890000
95,Cash Used/Provided by Financing Activities,-77800000,58800000,38100000,148700000,-129400000,24800000,-133770000,99322000,32602000,-16310000,-511552000,-929993000,-469848000,-1154531000,-662580000,-504160000,-275439000,-787722000,-1116882000,-740987000,-501491000,-630285000,565072000,-1312814000,-242873000,-1086513000,-603617000,1952849000
