,https://roic.ai/company/ADMP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000110465905013943/a05-5589_110k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420406012628/v038451_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420407016495/v068488_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420408016555/v107422_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420409025876/v148883_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713110000744/adamis-10k_0713.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713113002469/admp-10k_033113.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713117001745/admp_10k-123116.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713118001080/admp_10k-123117.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713119001966/admp-10k_123118.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713120003438/admp-10k_123119.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713121005159/0001387131-21-005159-index.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713122004483/0001387131-22-004483-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30000,380000,2300000,40000,1800000,1600000,800000,8838192,5795378,21628517,7650000,8705120,2251000,3803832,1826614,129124,20000,290299,1238898,7519,- -,5403235,4080648,4090651,17323241,19271642,8810636,6855355,23220770
32,Short-Term Investments,1100000,20000,- -,- -,- -,- -,11000000,6470537,4053280,2002123,3687000,- -,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1130000,400000,2300000,40000,1800000,1600000,11800000,15308729,9848658,23630640,11337000,8705120,2262000,3803832,1826614,129124,20000,290299,1238898,7519,- -,5403235,4080648,4090651,17323241,19271642,8810636,6855355,23220770
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,885810,1085000,76791,- -,- -,140000,5555,- -,- -,- -,- -,- -,805372,830090,1155166,1877655,1092857,815565
35,Inventory,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,2709,- -,- -,- -,- -,- -,942067,1824558,3279032,2061097,3115926,418607
36,Other Current Assets,50000,10000,1700000,5560000,8500000,8600000,1000000,956076,837344,608313,508000,282184,1429000,264554,267478,34304,340000,363004,294710,31520,350929,14504,70985,1232149,1483641,2078413,1127322,1459983,10748680
37,Total Current Assets,1180000,410000,4000000,5600000,10300000,10300000,12800000,16264805,10686002,24238953,11845000,9873114,4776000,4145177,2094092,163428,700000,661567,1533608,39039,350929,5417739,4151633,7070239,21461530,25784253,13876710,12524121,35203622
38,PP&E,40000,10000,100000,-100000,-100000,2800000,3100000,2848020,2467907,2616193,1892000,1952408,496000,- -,- -,- -,30000,14667,- -,- -,- -,92245,58260,4897007,6559664,9867921,13540968,11130590,2985228
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1031311,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7640622,7640622,7640622,7640622,868412,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1531939,1522266,1196622,1267000,778992,1177000,- -,- -,- -,- -,- -,- -,- -,- -,9611632,7766960,18136044,15686687,13210596,11127562,6289684,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1531939,1522266,1196622,1267000,1810303,1177000,- -,- -,- -,- -,- -,- -,- -,- -,9611632,7766960,25776666,23327309,20851218,18768184,7158096,- -
42,Investments,50000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,80000,- -,2200000,12600000,6400000,5000000,613999,7691239,327500,327000,227500,1000,- -,- -,- -,150000,- -,200000,130000,- -,- -,85000,42500,54655,1854655,1654655,54655,109137
45,Total Non-Current Assets,100000,140000,- -,2100000,12500000,9200000,8100000,4993958,11681412,4140315,3486000,3990211,1674000,- -,- -,- -,180000,14667,200000,130000,- -,9703877,7910220,30716173,29941628,32573794,33963807,18343341,3094365
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1280000,550000,4000000,7700000,22800000,19500000,20900000,21258763,22367414,28379268,15331000,13863325,6450000,4145177,2094092,163428,880000,676234,1733608,169039,350929,15121616,12061853,37786412,51403158,58358047,47840517,30867462,38297987
48,Accounts Payable,100000,340000,200000,300000,700000,1600000,500000,1443230,1893253,2005279,1908000,1691952,1756000,174839,- -,71804,970000,1560312,1263199,2020713,2431919,671018,497794,2150583,2919120,4170720,4267654,3491717,3754010
49,Short-Term Debt,- -,540000,- -,- -,- -,400000,1200000,548133,- -,- -,- -,- -,4976000,44700,- -,- -,600000,1782196,1264232,301240,1177802,421992,- -,4330845,2483992,2583134,2597803,4861808,349871
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,384875,485489,80953,123119,77597,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,832000,- -,302000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54478,14758,1011246,915671,100070,100000
52,Other Current Liabilities,10000,1050000,200000,- -,700000,400000,300000,139073,144614,122925,112000,3921068,2403000,536591,396088,184805,730000,1607802,585843,570715,1069146,1840817,2250026,2075018,3369693,3788600,2428619,11472131,7019111
53,Total Current Liabilities,110000,1930000,400000,300000,1400000,2400000,2000000,2130436,2037867,2128204,2852000,5613020,9437000,756130,396088,256609,2300000,4950310,3113274,2892668,4678867,2933827,2747820,8610924,8787563,11553700,10209747,19925726,11222992
54,Long-Term Debt,- -,- -,- -,- -,- -,2800000,2900000,333937,- -,- -,- -,717257,212000,322125,507067,777902,- -,- -,- -,- -,- -,- -,- -,3067065,2583109,- -,- -,891447,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,850000,750000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,828556,485002,112530,112530,112530,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,200000,- -,484826,15716619,14059000,14275864,3278000,3987,1189,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1480996,5590219,442217
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,2900000,3100000,333937,484826,15716619,14059000,14993121,3490000,326112,508256,777902,- -,- -,- -,- -,- -,- -,- -,3895621,3068111,112530,1593526,7444196,1192217
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1925617,1599561,- -
61,Total Liabilities,110000,1930000,400000,300000,1400000,5300000,5100000,2464373,2522693,17844823,16911000,20606141,12927000,1082242,904344,1034511,2300000,4950310,3113274,2892668,4678867,2933827,2747820,12506545,11855674,11666230,11803273,27369922,12415209
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101,62,- -,- -,- -,- -,- -
63,Common Stock,110000,120000,- -,- -,- -,- -,55400000,69735022,90137811,96835062,97294000,2612,3000,2984,2984,2984,- -,5015,8682,10116,10966,1081,1374,2230,3369,4781,6235,9437,15012
64,Retained Earnings,-5460000,-8000000,-10200000,-14900000,-22800000,-30200000,-39500000,-50911825,-70376548,-86312448,-99149000,-127303360,-132311000,-122639194,-124566255,-126100126,-12180000,-18739477,-25867037,-30782332,-37977124,-46133004,-69021356,-88458608,-113997588,-153004370,-182314526,-229911615,-278085813
65,Other Comprehensive Income/Loss,-50000,-80000,- -,-100000,-100000,-200000,-600000,-1082566,-1613209,11831,275000,304244,284000,-19855,- -,-19855,-180000,-201305,- -,- -,- -,- -,- -,-523552,-959380,-1578049,-2050697,-3571870,- -
66,Other Total Stockholders Equity,6570000,6590000,13800000,22400000,44300000,44600000,500000,1053759,1696667,- -,- -,120253688,125547000,125719000,125753019,125245914,10950000,14661691,24478689,28048587,33638220,58319712,78333914,114259735,154501083,201269455,220396232,236971588,303953579
67,Total Stockholders Equity,1170000,-1370000,3600000,7400000,21400000,14200000,15800000,18794390,19844721,10534445,-1580000,-6742816,-6477000,3062935,1189748,-871083,-1410000,-4274076,-1379666,-2723629,-4327938,12187789,9314033,25279867,39547484,46691817,36037244,3497540,25882778
68,Total Liabilities And Stockholders Equity,1280000,560000,4000000,7700000,22800000,19500000,20900000,21258763,22367414,28379268,15331000,13863325,6450000,4145177,2094092,163428,890000,676234,1733608,169039,350929,15121616,12061853,37786412,51403158,58358047,47840517,30867462,38297987
69,Minority Interest,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1280000,550000,4000000,7700000,22800000,19500000,20900000,21258763,22367414,28379268,15331000,13863325,6450000,4145177,2094092,163428,880000,676234,1733608,169039,350929,15121616,12061853,37786412,51403158,58358047,47840517,30867462,38297987
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000110465905013943/a05-5589_110k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420406012628/v038451_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420407016495/v068488_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420408016555/v107422_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420409025876/v148883_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713110000744/adamis-10k_0713.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713113002469/admp-10k_033113.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713117001745/admp_10k-123116.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713118001080/admp_10k-123117.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713119001966/admp-10k_123118.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713120003438/admp-10k_123119.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713121005159/0001387131-21-005159-index.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713122004483/0001387131-22-004483-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2280000,-2540000,-2200000,-3400000,-7900000,-7400000,-9300000,-11418213,-19464723,-15935900,-13532000,-28154062,-5008000,9671805,-1927061,-1533871,-1900000,-6559623,-6979813,-4915295,-7194792,-8155880,-13571997,-19437252,-25538980,-39006782,-29306769,-49391089,-45828198
74,Depreciation and Amortization,30000,40000,600000,- -,- -,- -,400000,800821,889316,809672,563000,579144,943000,317336,- -,- -,20000,21948,14648,- -,- -,296123,990290,2534628,3063553,3098916,2944516,3606996,1435744
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4586965,-343554,-372472,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100214,171633,164507,596093,2510963,4758210,6058083,6535295,5867713,4420172,1982905
77,Change in Working Capital,-40000,-2590000,5120000,1700000,3600000,-1000000,2900000,3334369,-5486234,13462614,-13117749,-4732906,-8921094,8050047,-1691043,-1791185,-1506819,-2688743,2709077,-1273963,-1474309,6811850,-1080099,-2944498,14214652,1556586,-10563590,-11068568,31382235
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130728,5555,- -,- -,- -,- -,-363000,-87628,-421013,-745149,737932,-573344
79,Inventory,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,257197,- -,- -,- -,29893,225587,- -,- -,- -,- -,1891,-882491,-4980257,24763,-3415332,1044607
80,Accounts Payable,- -,-240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71804,-900000,370666,-297113,757515,411207,-1760901,-289218,-1706949,587152,846123,574510,-726708,1908597
81,Other Working Capital,1070000,-1520000,3600000,5300000,8900000,7900000,10800000,14134369,8648135,22110749,8993000,4260094,-4661000,3389047,1698004,-93181,-1600000,-4288743,-1579666,-2853629,-4327938,2483912,1403813,-1540685,12673967,14230553,3666963,-7401605,23980630
82,Other Non-Cash Items,100000,3930000,-6220000,-1600000,800000,1200000,-3600000,-1900294,11052006,3269340,13579749,18706901,-3742906,-23081672,1680886,2127566,-1603181,7227781,-191403,2671766,5945585,-6328306,815265,-1484390,-12586329,-4469092,11172462,31531129,-26757983
83,Cash Provided by Operating Activities,-2190000,-1160000,-2700000,-3300000,-3500000,-7200000,-9600000,-9183317,-13009635,1605726,-12507000,-13600923,-16729000,-5042484,-1937218,-1197490,-4990000,-1998637,-4347277,-3345859,-2559009,-6780120,-10335578,-21160267,-15132575,-32657549,-19885668,-20901360,-37785297
84,CAPEX,-10000,- -,- -,- -,- -,-2800000,-700000,-201106,-232018,-733175,-362000,-203988,-103000,- -,- -,- -,- -,-4889,- -,- -,- -,-10000000,- -,-121103,-2089058,-3535364,-2866418,-946214,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-369000,-142456,- -,- -,-303966,- -,1331033,- -,- -,7000000,65114,- -,- -,- -,- -,- -,381883,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1500000,-9600000,-18900000,-5000000,-19900000,-10575000,-16789905,- -,-11019000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,3800000,6300000,11400000,17500000,20049557,12480239,8706769,9334000,3686919,-11000,11189,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2170000,1050000,- -,- -,-100000,-100000,-100000,- -,81488,187337,50000,- -,124000,8814446,- -,-500000,-1230000,- -,5508336,- -,- -,-9902900,- -,-32,-24737,- -,- -,-250000,184420
89,Cash Used for Investing Activites,2160000,1050000,-1500000,-5800000,-12700000,3500000,-3200000,8904451,-4602652,8160931,-1997000,3178965,113000,10156668,- -,-500000,5770000,60225,5508336,- -,- -,-10000000,- -,260748,-2087958,-3535364,-2866418,-946214,184420
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-208333,-390000,-548310,-6935623,- -,-324648,-2330809,-487905,-496790,-90620,-6227
91,Common Stock Issued,- -,- -,6400000,6800000,17900000,200000,11000000,12298789,15450643,5679983,525000,11457601,5747000,896,- -,- -,- -,2000,- -,2500080,- -,25454100,10565972,10216081,16021634,37619758,12787870,18228000,51749998
92,Common Stock Repurchased,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060000,-786,-4127,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,460000,-200000,- -,- -,3300000,1000000,-3985820,-882070,386499,- -,- -,4444000,-3458500,-40000,- -,-1830000,2209800,- -,4400,3099800,3664878,75589,12023198,16766650,- -,- -,1754913,4292870
95,Cash Used/Provided by Financing Activities,20000,460000,6200000,6800000,17900000,3500000,12000000,8312969,14568573,6066482,525000,11457601,10191000,-3457604,-40000,- -,-770000,2211014,-212460,2114480,2551490,22183355,10641561,21914631,30457475,37131853,12291080,19892293,56036641
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19599,-30000,34244,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10000,350000,6200000,6800000,17900000,3500000,-800000,8034103,-3043714,15833139,-13979000,1055242,-6454000,1690824,-1977218,-1697490,20000,272602,948599,-1231379,2551490,22183355,305983,1015112,13236942,938940,-10461006,-1955281,16433285
98,Cash at the End of Period,-10000,380000,- -,- -,- -,- -,800000,8838192,5794478,21628517,7650000,8705120,2251000,3803832,1826614,129124,150000,290299,1238898,7519,- -,5403235,4080648,5095760,18332702,19271642,8810636,6855355,- -
99,Cash at the Beginning of Period,- -,30000,400000,2300000,- -,1800000,1600000,804089,8838192,5795378,21629000,7649878,8705000,2113008,3803832,1826614,130000,17697,290299,1238898,7519,- -,3774665,4080648,5095760,18332702,19271642,8810636,6855355
100,Free Cash Flow,-2200000,-1160000,-2700000,-3300000,-3500000,-10000000,-10300000,-9384423,-13241653,872551,-12869000,-13804911,-16832000,-5042484,-1937218,-1197490,-4990000,-2003526,-4347277,-3345859,-2559009,-16780120,-10335578,-21281370,-17221633,-36192913,-22752086,-21847574,-37785297
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000110465905013943/a05-5589_110k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420406012628/v038451_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420407016495/v068488_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420408016555/v107422_10k.htm,https://www.sec.gov/Archives/edgar/data/887247/000114420409025876/v148883_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713110000744/adamis-10k_0713.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713113002469/admp-10k_033113.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/887247/000138713117001745/admp_10k-123116.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713118001080/admp_10k-123117.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713119001966/admp-10k_123118.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713120003438/admp-10k_123119.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713121005159/0001387131-21-005159-index.htm,https://www.sec.gov/Archives/edgar/data/887247/000138713122004483/0001387131-22-004483-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
