,https://roic.ai/company/BSET,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0938,0.0581,0.0535,0.0455,0.0374,0.0032,0.0366,0.0596,0.0540,0.0494,0.0350,0.0162,-0.0776,0.0244,0.0317,0.0095,-0.0161,0.0193,-0.0039,0.0118,0.0041,-0.0014,-0.0674,-0.0571,-0.0857,-0.0178,-0.0784,0.0188,0.0311,0.0444,0.0603,0.0653,0.0597,0.0308,-0.0013,-0.0420,0.0534
19,Total Other Income Expenses (Gains),5100000,7600000,8900000,5900000,9500000,5400000,12100000,11100000,9300000,9600000,12900000,15000000,-7200000,11400000,13700000,11616000,1212000,2854000,6130000,7173000,8017000,6966000,5916000,-6946000,-4552000,1999000,79657000,6920000,-1818000,-524000,5879000,-2416000,858000,-1878000,-1145000,-563000,-1759000
20,Income Before Tax,43400000,32100000,34300000,27100000,26700000,6800000,26800000,39300000,36500000,34800000,30100000,22300000,-41900000,21100000,26200000,15100000,-3700000,9110000,4900000,10900000,9400000,6500000,-14000000,-23400000,-24500000,-2200000,59800000,12000000,8187000,14607000,31868000,25777000,27876000,12206000,-1740000,-16786000,24240000
21,Income Before Tax Ratio,0.1062,0.0761,0.0722,0.0581,0.0581,0.0156,0.0667,0.0830,0.0724,0.0682,0.0613,0.0495,-0.0938,0.0531,0.0664,0.0411,-0.0121,0.0282,0.0155,0.0345,0.0280,0.0198,-0.0474,-0.0812,-0.1053,-0.0093,0.2362,0.0445,0.0255,0.0429,0.0740,0.0597,0.0616,0.0267,-0.0038,-0.0435,0.0498
22,Income Tax expense (Gain),18300000,12600000,12000000,8800000,7700000,1700000,7000000,11800000,10600000,9800000,7200000,3800000,-22300000,5400000,8300000,4700000,-1000000,2369000,8155000000,-2641000,-1881000,-1881000,4059000,-16945000,1754000,206000,4409000,-14699000,3091000,5308000,11435000,9948000,9620000,3988000,188000,-6365000,6198000
23,Net Income,25100000,19500000,22300000,18300000,19000000,5100000,19800000,27500000,25900000,24500000,22900000,18500000,-19600000,15700000,18000000,10000000,-2600000,6741000,-500000,8200000,7600000,5400000,-9900000,-40400000,-22700000,-2000000,55300000,26700000,5096000,9299000,20433000,15829000,18256000,8218000,-1928000,-10421000,18042000
24,Net Income ratio,0.0614,0.0463,0.0469,0.0393,0.0413,0.0117,0.0493,0.0581,0.0514,0.0480,0.0467,0.0410,-0.0439,0.0395,0.0456,0.0272,-0.0085,0.0208,-0.0016,0.0260,0.0227,0.0165,-0.0335,-0.1401,-0.0976,-0.0085,0.2184,0.0990,0.0159,0.0273,0.0474,0.0366,0.0403,0.0180,-0.0043,-0.0270,0.0371
25,EPS,0.86,0.66,0.76,0.63,0.66,0.19,0.73,1.52,1.79,1.71,1.63,1.39,-1.50,1.21,1.44,0.85,-0.23,0.58,-0.04,0.70,0.64,0.46,-0.84,-3.46,-1.99,-0.17,4.84,2.43,0.48,0.88,1.91,1.47,1.71,0.77,-0.19,-1.05,1.82
26,EPS Diluted,0.86,0.66,0.76,0.63,0.66,0.19,0.73,1.52,1.79,1.71,1.63,1.39,-1.50,1.20,1.44,0.85,-0.23,0.57,-0.04,0.69,0.63,0.46,-0.84,-3.46,-1.99,-0.17,4.79,2.41,0.47,0.87,1.88,1.46,1.70,0.77,-0.19,-1.05,1.82
27,Weighted Average Shares Outstanding,15639000,15729000,15518000,15586000,15180000,14458000,14389000,18092105,14469274,14327485,14049080,13309353,13066667,12975207,12500000,11802353,11486957,11622414,11750000,11727143,11817188,11802174,11797619,11663857,11395789,11459257,11437291,10993004,10616667,10567045,10697906,10768027,10676023,10672727,10147368,9924762,9924762
28,Weighted Average Shares Outstanding Diluted,15639000,15729000,15518000,15586000,15180000,14458000,14389000,18092105,14469274,14473684,14144144,13425926,13083333,13083333,12500000,11802353,11486957,11826316,11750000,11897101,12004762,11802174,11797619,11663857,11395789,11459257,11544170,11084232,10842553,10688506,10868617,10841781,10738824,10672727,10147368,9924762,9924762
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/0000950133-95-000082-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/000095013398000652/0000950133-98-000652-index.html,https://www.sec.gov/Archives/edgar/data/10329/000095013399000659/0000950133-99-000659-index.html,https://www.sec.gov/Archives/edgar/data/10329/000095013300000690/0000950133-00-000690-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/000095013303000524/0000950133-03-000524-index.html,https://www.sec.gov/Archives/edgar/data/10329/000119312504012234/0001193125-04-012234-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312505014214/0001193125-05-014214-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312506015246/0001193125-06-015246-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312507029518/0001193125-07-029518-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312508023087/0001193125-08-023087-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312509027290/0001193125-09-027290-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312510028896/0001193125-10-028896-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312511023266/0001193125-11-023266-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774912001055/0001437749-12-001055-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774913001053/0001437749-13-001053-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774914000921/0001437749-14-000921-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774915000964/0001437749-15-000964-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774916023899/0001437749-16-023899-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774917000837/0001437749-17-000837-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774918000767/0001437749-18-000767-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774919000960/0001437749-19-000960-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774920001052/0001437749-20-001052-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774921000971/0001437749-21-000971-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774922001938/0001437749-22-001938-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,65600000,64100000,52800000,68900000,45200000,31200000,44600000,50200000,53000000,42300000,51300000,57300000,29600000,5500000,5700000,3300000,5300000,1371000,15200000,4000000,7100000,6100000,3500000,3800000,23200000,11100000,69600000,45600000,12733000,26673000,36268000,35144000,53949000,33468000,19687000,45799000,34374000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8900000,- -,- -,- -,- -,108714,73520000,76890000,78617000,76924000,35060000,14931000,15111000,2900000,- -,28125000,23125000,23125000,23125000,23125000,22643000,17436000,17715000,17715000
33,Cash and Short-Term Investments,65600000,64100000,52800000,68900000,45200000,31200000,44600000,50200000,53000000,42300000,51300000,57300000,29600000,14400000,5700000,3300000,5300000,1371000,15308714,77520000,83990000,84717000,80424000,38860000,38131000,26211000,72500000,45600000,40858000,49798000,59393000,58269000,77074000,56111000,37123000,63514000,52089000
34,Net Receivables,65700000,66300000,76700000,74400000,73200000,60900000,67700000,74400000,75000000,71900000,68600000,65400000,57300000,59200000,64700000,70300000,51500000,44806000,39200000,40500000,37100000,38300000,38600000,35600000,34600000,31600000,14800000,15800000,16080000,15228000,21197000,18358000,19640000,19055000,21378000,32006000,36547000
35,Inventory,56100000,61600000,65600000,66000000,60300000,58900000,54900000,64600000,69800000,80100000,81200000,67100000,41700000,47300000,50200000,50200000,32200000,43449000,36500000,47300000,48900000,48900000,50600000,43800000,33400000,41800000,45100000,57900000,53069000,57272000,59896000,53215000,54476000,64192000,66302000,54886000,78004000
36,Other Current Assets,1800000,2300000,2800000,2500000,33600000,32000000,34400000,3500000,3800000,4300000,3800000,4900000,71900000,22700000,15700000,13100000,9600000,13340000,9691286,-62620000,-66890000,-66117000,-58524000,-21460000,-1631000,-8111000,7800000,13200000,16367000,7796000,6798000,10727000,8192000,9189000,11983000,10272000,13644000
37,Total Current Assets,189200000,194300000,197900000,211800000,212300000,183000000,201600000,192700000,201600000,198600000,204900000,194700000,200500000,143600000,136300000,136900000,98600000,102966000,100700000,102700000,103100000,105800000,111100000,96800000,104500000,91500000,140200000,132500000,126374000,130094000,147284000,140569000,159382000,148547000,136786000,160678000,180284000
38,PP&E,58400000,54300000,58700000,58300000,58000000,56900000,56300000,56300000,53400000,54600000,53100000,56400000,43500000,56400000,93200000,94000000,90400000,90542000,50700000,40200000,64300000,58900000,53200000,57200000,50600000,46300000,49900000,56600000,64271000,74812000,96104000,104655000,103244000,104863000,101724000,207820000,208214000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11588000,11588000,11900000,16043000,14117000,12146000,12146000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1730000,6094000,5772000,5451000,12437000,12059000,11681000,11302000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1730000,17682000,17360000,17351000,28480000,26176000,23827000,23448000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103500000,90600000,85000000,71800000,- -,65200000,73500000,76900000,78600000,76900000,35100000,14931000,15111000,17063000,12736000,- -,7915000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1200000,- -,- -,3454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10734000,- -,- -,- -,- -,- -,5744000,4587000,3189000
44,Other Non-Current Assets,18100000,28400000,30300000,31100000,34500000,31200000,33400000,69600000,75700000,87300000,88700000,84100000,76300000,17400000,21500000,30800000,40600000,93918000,63800000,81000000,64400000,66600000,69500000,54700000,46169000,44389000,16037000,25364000,24470000,26195000,21473000,15683000,13771000,9751000,5336000,5637000,6525000
45,Total Non-Current Assets,76500000,82700000,89000000,89400000,92500000,88100000,89700000,125900000,129100000,141900000,141800000,140500000,119800000,177900000,206500000,209800000,202800000,187914000,179700000,194700000,205600000,204100000,199600000,147000000,111700000,105800000,83000000,94700000,99475000,110652000,135259000,137698000,134366000,143094000,138980000,241871000,241376000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,265700000,277000000,286900000,301200000,304800000,271100000,291300000,318600000,330700000,340500000,346700000,335200000,320300000,321500000,342800000,346700000,301400000,290880000,280400000,297400000,308700000,309900000,310700000,243800000,216200000,197300000,223200000,227200000,225849000,240746000,282543000,278267000,293748000,291641000,275766000,402549000,421660000
48,Accounts Payable,- -,- -,- -,- -,19300000,15300000,22400000,27600000,26400000,29800000,29700000,20500000,21700000,20200000,30100000,20300000,15000000,17738000,15100000,19900000,19400000,16900000,26100000,18700000,14700000,24900000,18800000,22400000,19892000,22251000,20916000,21281000,21760000,27407000,23677000,23426000,28324000
49,Short-Term Debt,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4393000,9521000,202000,241000,- -,- -,5273000,3290000,3405000,292000,- -,27078000,27693000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8379000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,809950000,4130000,5188000,6391000,6001000,772000,1579000000,151278000,9238000,12253000,16214000,22202000,23999000,25181000,27107000,27157000,25341000,39762000,51492000
52,Other Current Liabilities,27000000,28000000,28000000,33500000,16300000,4800000,6600000,9300000,6800000,5200000,5700000,9800000,26200000,24500000,26800000,21600000,18300000,16406000,-787550000,14470000,23712000,20309000,24499000,24028000,-1554793000,-123899000,23560000,17706000,15335000,22320000,29662000,27261000,31084000,26963000,23253000,28105000,26710000
53,Total Current Liabilities,27300000,28000000,28000000,33500000,35600000,20100000,29000000,36900000,33200000,35000000,35400000,30300000,47900000,44700000,56900000,41900000,33300000,34144000,37500000,38500000,48300000,43600000,56600000,43500000,43300000,61800000,51800000,52600000,51441000,66773000,79850000,77013000,83356000,81819000,72271000,118371000,134219000
54,Long-Term Debt,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,45000000,7500000,3000000,3158841,15600000,19100000,23500000,28900000,40300000,32000000,4300000,3700000,3100000,2467000,1902000,8500000,3821000,329000,292000,- -,111972000,105841000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,5300000,- -,- -,- -,- -,800000,2100000,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10485000,- -,9701000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-100000,- -,-100000,- -,1300000,6700000,7200000,7900000,8600000,9500000,10300000,10900000,11200000,11900000,12200000,10600000,26100000,24093000,19741159,22100000,21000000,27000000,30400000,29800000,30600000,24900000,15200000,3715000,14532000,5538000,16827000,16728000,18603000,19221000,24825000,14176000,18868000
58,Total Non-Current Liabilities,400000,- -,-100000,- -,6600000,6700000,7200000,7900000,8600000,10300000,12400000,13400000,11200000,11900000,30200000,55600000,33600000,27093000,22900000,37700000,40100000,50500000,59300000,70100000,62600000,29200000,18900000,17300000,16999000,17141000,25327000,20549000,18932000,19513000,24825000,126148000,124709000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139050000,133534000
61,Total Liabilities,27700000,28000000,27900000,33500000,42200000,26800000,36200000,44800000,41800000,45300000,47800000,43700000,59100000,56600000,87100000,97500000,66900000,61237000,60400000,76200000,88400000,94100000,115900000,113600000,105900000,91000000,70700000,69900000,68440000,83914000,105177000,97562000,102288000,101332000,97096000,244519000,258928000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64400000,60500000,58800000,58600000,58303000,58000000,58700000,59000000,59000000,59000000,57100000,57300000,57800000,56700000,54200000,54297000,52467000,54580000,53615000,53690000,52638000,50581000,49714000,48811000
64,Retained Earnings,210400000,219800000,233300000,240800000,243300000,238700000,250800000,216100000,216200000,221900000,225700000,222400000,188800000,193100000,188000000,185300000,173000000,169789000,159500000,158300000,156500000,151500000,131700000,73200000,50500000,48500000,96300000,104300000,104526000,106339000,120904000,129388000,139378000,140009000,129130000,109710000,115631000
65,Other Comprehensive Income/Loss,-102900000,-108800000,-117800000,-124100000,-127700000,-130500000,-137800000,-142000000,-149000000,-152700000,-158700000,-162100000,-124500000,7400000,7300000,5000000,2800000,1551000,2531000,2818000,2652000,3320000,1914000,-429000,2118000,-427000,-608000,-1223000,-1414000,-1974000,-2678000,-2553000,-2570000,-2338000,-1236000,-1394000,-1823000
66,Other Total Stockholders Equity,130500000,138000000,143500000,151000000,147000000,136100000,142100000,199700000,221700000,226000000,231900000,231200000,196900000,- -,- -,- -,100000,- -,-13000,1394000,2061000,2046000,2238000,308000,416000,432000,43000,3000,- -,- -,4560000,255000,962000,- -,195000,- -,113000
67,Total Stockholders Equity,238000000,249000000,259000000,267700000,262600000,244300000,255100000,273800000,288900000,295200000,298900000,291500000,261200000,264900000,255800000,249100000,234500000,229643000,220018000,221212000,220213000,215866000,194852000,130179000,110334000,106305000,152435000,157280000,157409000,156832000,177366000,180705000,191460000,190309000,178670000,158030000,162732000
68,Total Liabilities And Stockholders Equity,265700000,277000000,286900000,301200000,304800000,271100000,291300000,318600000,330700000,340500000,346700000,335200000,320300000,321500000,342900000,346600000,301400000,290880000,280418000,297412000,308613000,309966000,310752000,243779000,216234000,197305000,223135000,227180000,225849000,240746000,282543000,278267000,293748000,291641000,275766000,402549000,421660000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,- -,-18000,-12000,87000,-66000,-52000,21000,-34000,-5000,65000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,265700000,277000000,286900000,301200000,304800000,271100000,291300000,318600000,330700000,340500000,346700000,335200000,320300000,321500000,342800000,346700000,301400000,290880000,280400000,297400000,308700000,309900000,310700000,243800000,216200000,197300000,223200000,227200000,225849000,240746000,282543000,278267000,293748000,291641000,275766000,402549000,421660000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/0000950133-95-000082-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/000095013398000652/0000950133-98-000652-index.html,https://www.sec.gov/Archives/edgar/data/10329/000095013399000659/0000950133-99-000659-index.html,https://www.sec.gov/Archives/edgar/data/10329/000095013300000690/0000950133-00-000690-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/000095013303000524/0000950133-03-000524-index.html,https://www.sec.gov/Archives/edgar/data/10329/000119312504012234/0001193125-04-012234-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312505014214/0001193125-05-014214-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312506015246/0001193125-06-015246-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312507029518/0001193125-07-029518-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312508023087/0001193125-08-023087-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312509027290/0001193125-09-027290-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312510028896/0001193125-10-028896-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312511023266/0001193125-11-023266-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774912001055/0001437749-12-001055-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774913001053/0001437749-13-001053-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774914000921/0001437749-14-000921-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774915000964/0001437749-15-000964-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774916023899/0001437749-16-023899-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774917000837/0001437749-17-000837-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774918000767/0001437749-18-000767-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774919000960/0001437749-19-000960-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774920001052/0001437749-20-001052-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774921000971/0001437749-21-000971-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774922001938/0001437749-22-001938-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,19000000,5100000,19800000,27500000,25900000,24500000,22900000,18500000,-19600000,15700000,18000000,10000000,-2600000,6741000,-500000,8200000,7600000,5400000,-9900000,-40400000,-22700000,-2000000,55300000,26700000,5096000,9299000,20433000,15829000,18256000,8218000,-1928000,-10421000,18042000
74,Depreciation and Amortization,- -,- -,- -,- -,8300000,7900000,7900000,8500000,9000000,8800000,8600000,6300000,6200000,6900000,8400000,10032000,11316000,10804000,10521000,10151000,9674000,9253000,9089000,7513000,6604000,5966000,5514000,5473000,6198000,7316000,10137000,12249000,13312000,13203000,13500000,13480000,14597000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-4500000,500000,100000,300000,400000,-100000,500000,-18500000,3500000,4100000,1708000,-824000,2215000,-1154000,1876000,-1440000,-1437000,-2963000,17403000,- -,- -,- -,-15822000,2282000,544000,1930000,5324000,-302000,4663000,-2890000,2513000,1545000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,5400000,-13800000,9700000,-16800000,12600000,-4800000,5900000,-5100000,-11800000,-53700000,-19500000,15600000,-29700000,3522000,-5622000,1000000,-9400000,7400000,-7700000,-1200000,7900000,-31500000,58700000,-8500000,-4967000,-11612000,4113000,-3878000,12470000,-9298000,-2213000,-22208000,3758000
