,https://roic.ai/company/HE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59550000,-25880000,-77326000,-18501000,16038000,33089000,62304000,-898000,-12875000,-64321000,26083000,2533000,-73811000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,7900000,-13500000,- -,- -,- -,- -,9769000,- -,- -,- -,-26880000,21138000,-27559000,14157000,- -,-74044000,-18843000,10129000,27332000,28041000,34830000,4786000,-20794000,7054000,-11493000,34202000,-45819000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3410000,-25880000,-34497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,193700000,171100000,143700000,93900000,97300000,115100000,226000000,-7589000,286436000,334924000,3202345000,247562000,265682000,2202692000,401342000,-169840000,403418000,375802000,4694751000,4866714000,5106356000,5666676000,6155057000,6217173000,6359101000,6410128000,7536256000,-52882000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,38900000,145000000,101000000,138500000,146200000,103900000,153192000,334401000,-203755000,69386000,-2742841000,3043632000,180407000,-1769824000,1963862000,603181000,-604885000,-109052000,-4474150000,-253350000,-348795000,-609767000,-499926000,-74099000,-100333000,-31343000,-1191317000,-28390000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,130300000,212600000,158400000,173400000,230600000,213700000,276007000,198749000,243684000,234890000,246581000,215581000,293582000,217341000,257924000,284468000,340717000,250366000,234542000,327146000,301479000,355880000,495254000,420441000,499312000,512470000,429407000,375673000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200500000,-194600000,-205600000,-147300000,-166700000,-134400000,-134576000,-115540000,-128082000,-162891000,-214654000,-223675000,-210529000,-218297000,-282051000,-602625000,-182125000,-235116000,11336000,9212000,3213000,8612000,2593000,-16486000,-13910000,14086000,-383895000,-314524000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87500000,- -,12013000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76323000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-421600000,-240400000,-208900000,-864200000,-722100000,-847700000,-433169000,- -,-1605672000,-2155980000,-2337291000,-790644000,-343927000,-402071000,-489264000,- -,-714552000,-542956000,-243633000,-112654000,-183778000,-430862000,-541729000,-575762000,-355811000,-216781000,-1535682000,-1847245000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000000,223300000,309400000,272700000,792100000,565200000,324169000,- -,1260060000,2103789000,1966891000,789749000,603833000,689112000,1922134000,1027327000,590296000,430725000,194801000,229925000,193821000,213494000,243501000,224611000,252690000,405424000,734506000,865948000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-278600000,-269800000,-302800000,530900000,-136500000,-10700000,-6942000,10958000,-139591000,-107057000,44679000,22616000,-190054000,-290873000,-73806000,16924000,27647000,20560000,-389551000,-690243000,-581764000,-496968000,-440830000,-371339000,-675028000,-744438000,-612472000,-198295000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-712700000,-481500000,-407900000,-207900000,-233200000,-427600000,-338018000,-104582000,-601272000,-322139000,-540375000,-201954000,-140677000,-222129000,1077013000,441626000,-278734000,-326787000,-427047000,-563760000,-568508000,-705724000,-736465000,-815299000,-792059000,-541709000,-1413648000,-1179592000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-689517000,-17066000,-165000000,-380500000,-296000000,-186400000,-65909000,-450965000,-663034000,-823886000,-337285000,-455628000,-159120000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,19300000,19800000,173000000,58200000,3400000,14080000,- -,32451000,29824000,110017000,3689000,5481000,21072000,136443000,15329000,22706000,15979000,23613000,55086000,26898000,104435000,13220000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1900000,-3100000,-2800000,-3200000,-15300000,-63100000,-16035000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47700000,-49400000,-55300000,-61800000,-79400000,-79800000,-68624000,-37389000,-73412000,-75119000,-93864000,-100238000,-100673000,-81489000,-83604000,-98733000,-94924000,-108702000,-98092000,-100273000,-128348000,-133655000,-119164000,-136763000,-136877000,-141353000,-145986000,-150533000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,589800000,345300000,254400000,83400000,197500000,141000000,147718000,-56454000,192247000,168007000,171282000,118240000,-9359000,17759000,-1414196000,367314000,-145970000,273758000,596881000,578175000,510385000,569909000,776094000,1178084000,1160837000,566354000,1717149000,1066055000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,553800000,312100000,216100000,191400000,161000000,1500000,77139000,-93843000,151286000,122712000,187435000,21691000,-104551000,-42658000,-1361357000,-405607000,-235254000,16035000,141902000,236988000,222535000,474780000,219185000,378287000,200074000,87716000,1115535000,756402000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28700000,43200000,-33400000,156800000,158400000,-212400000,15128000,324000,-206302000,35463000,-106359000,35318000,48354000,-47446000,-26420000,320487000,-173271000,-60386000,-50603000,374000,-44494000,124936000,-22026000,-16571000,-92673000,58477000,113736000,-53428000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,87600000,130800000,97400000,253900000,412300000,199900000,215034000,1858000,244525000,279988000,173629000,208947000,257301000,209855000,183435000,503922000,330651000,270265000,219662000,220036000,175542000,300478000,278452000,261881000,169208000,227685000,341421000,305551000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,116300000,87600000,130800000,97100000,253900000,412300000,199906000,1534000,450827000,244525000,279988000,173629000,208947000,257301000,209855000,183435000,503922000,330651000,270265000,219662000,220036000,175542000,300478000,278452000,261881000,169208000,227685000,358979000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70200000,18000000,-47200000,26100000,63900000,79300000,141431000,83209000,115602000,71999000,31927000,-8094000,83053000,-956000,-24127000,-318157000,158592000,15250000,-90938000,-26733000,-38242000,-7924000,165211000,-74746000,-38057000,54950000,45512000,61149000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/46207/000089843095000363/0000898430-95-000363-index.html,- -,https://www.sec.gov/Archives/edgar/data/46207/000089843097001195/0000898430-97-001195-index.html,https://www.sec.gov/Archives/edgar/data/354707/000089843098001092/0000898430-98-001092-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354707/000119312507086449/0001193125-07-086449-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312504037155/0001193125-04-037155-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312505047722/0001193125-05-047722-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312506047190/0001193125-06-047190-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312507042436/0001193125-07-042436-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312508042234/0001193125-08-042234-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312509041009/0001193125-09-041009-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312510042821/0001193125-10-042821-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465911008405/0001104659-11-008405-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465912010751/0001104659-12-010751-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465913011461/0001104659-13-011461-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470714000026/0000354707-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470715000016/0000354707-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470716000128/0000354707-16-000128-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470717000020/0000354707-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470718000024/0000354707-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470719000043/0000354707-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470720000045/0000354707-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470721000036/0000354707-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470722000049/0000354707-22-000049-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
