,https://roic.ai/company/SSY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0419,-0.0251,0.0209,0.0213,0.0334,0.0567,0.0313,0.0401,0.0410,0.0414,0.0303,0.0483,-0.0107,-0.1113,-0.0395,-0.0241,0.0303,0.0347,0.0384,0.0551,0.0563,0.0307,0.0341,0.0285,0.0087,-0.0482,0.0403,-0.0101,-0.0004,0.0276,-0.1028,-0.0846,-0.0377,-0.0507,-0.0069,0.0460
19,Total Other Income Expenses (Gains),-600000,2500000,-500000,1600000,1900000,-1400000,-1000000,- -,200000,-900000,-1000000,-1400000,1100000,-1500000,142000,-311000,-2619000,-2921000,-6257000,-1452000,-1071000,-1393000,-2309000,-3535000,-3457000,-7428000,-4398000,-1796000,-1263000,-840000,-833000,2039000,516000,236000,39000,5129000
20,Income Before Tax,3200000,- -,2500000,3400000,4900000,4600000,2100000,3900000,3900000,2900000,1900000,4000000,100000,-7100000,-1123000,-1316000,28000,523000,-1942000,5638000,6556000,3021000,3096000,2144000,-1737000,-16159000,1510000,-2891000,-1303000,1694000,-7356000,-2471000,-1478000,-2078000,-290000,7000000
21,Income Before Tax Ratio,0.0352,- -,0.0174,0.0401,0.0546,0.0434,0.0212,0.0401,0.0432,0.0316,0.0198,0.0358,0.0011,-0.1412,-0.0351,-0.0316,0.0003,0.0053,-0.0173,0.0438,0.0484,0.0210,0.0195,0.0108,-0.0088,-0.0892,0.0103,-0.0267,-0.0124,0.0184,-0.1160,-0.0464,-0.0280,-0.0456,-0.0061,0.1721
22,Income Tax expense (Gain),1200000,- -,2000000,400000,2100000,2400000,700000,1300000,1000000,900000,700000,1400000,800000,1900000,-252000,50000,126000,247000,-675000,1255000,2375000,1444000,1087000,1077000,-807000,-5607000,858000,-1306000,88000,1020000,4558000,-512000,-345000,-82000,296000,63000
23,Net Income,2000000,-2000000,500000,1100000,-4900000,2200000,1500000,2600000,1400000,2000000,1200000,2100000,300000,-8600000,1583000,478000,833000,553000,13425000,4540000,3909000,1396000,1616000,912000,102000,-10715000,1081000,4488000,-545000,245000,-14083000,2688000,-1593000,-1754000,-1140000,6890000
24,Net Income ratio,0.0220,-0.0167,0.0035,0.0130,-0.0546,0.0208,0.0151,0.0267,0.0155,0.0218,0.0125,0.0188,0.0032,-0.1710,0.0495,0.0115,0.0095,0.0056,0.1194,0.0353,0.0288,0.0097,0.0102,0.0046,0.0005,-0.0591,0.0074,0.0415,-0.0052,0.0027,-0.2220,0.0504,-0.0301,-0.0384,-0.0238,0.1693
25,EPS,0.45,-0.43,0.10,0.23,-1.07,0.48,0.33,0.57,0.32,0.40,0.23,0.40,0.05,-1.71,0.32,0.10,0.17,0.11,2.15,0.63,0.54,0.19,0.21,0.11,0.01,-1.32,0.12,0.48,-0.06,0.03,-1.49,0.29,-0.19,-0.25,-0.16,1.00
26,EPS Diluted,0.45,-0.43,0.10,0.23,-1.07,0.48,0.33,0.57,0.32,0.40,0.23,0.40,0.05,-1.71,0.32,0.10,0.17,0.10,2.15,0.59,0.50,0.18,0.21,0.11,0.01,-1.32,0.12,0.48,-0.06,0.03,-1.49,0.29,-0.19,-0.25,-0.16,0.99
27,Weighted Average Shares Outstanding,4444444,4651163,5000000,4782609,4579439,4583333,4545455,4561404,4375000,5046743,5067483,5192000,6000000,5049000,4977000,4976000,4980000,5002000,6246000,7166000,7258000,7397000,7605000,7975000,8052000,8094000,9350000,9445000,9443000,9443000,9443000,9346000,8283000,7149000,6957000,6907000
28,Weighted Average Shares Outstanding Diluted,4444444,4651163,5000000,4782609,4579439,4583333,4545455,4561404,4375000,5142857,5263158,5192000,6000000,5049000,4977000,4976000,4980000,5290000,6246000,7711000,7858000,7810000,7855000,8019000,8052000,8094000,9350000,9445000,9443000,9496000,9443000,9346000,8283000,7149000,6957000,6989000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96793/000095014402009653/0000950144-02-009653-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312503054775/0001193125-03-054775-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312504163283/0001193125-04-163283-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312505186859/0001193125-05-186859-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312506192763/0001193125-06-192763-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312507206450/0001193125-07-206450-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312508202263/0001193125-08-202263-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312509199109/0001193125-09-199109-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312510228187/0001193125-10-228187-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312511256513/0001193125-11-256513-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312512398595/0001193125-12-398595-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312513382169/0001193125-13-382169-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312514354731/0001193125-14-354731-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312515328941/0001193125-15-328941-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312516726649/0001193125-16-726649-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312517297905/0001193125-17-297905-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312518282598/0001193125-18-282598-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000156459019035757/0001564590-19-035757-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000156459020044839/0001564590-20-044839-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000156459021049055/0001564590-21-049055-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,100000,4200000,9300000,7651000,- -,5719000,149000,7079000,5281000,1084000,814000,1716000,2364000,1704000,7250000,2057000,2497000,3587000,5974000,3261000,10494000,3456000,7742000,11184000,9962000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,100000,4200000,9300000,7651000,- -,5719000,149000,7079000,5281000,1084000,814000,1716000,2364000,1704000,7250000,2057000,2497000,3587000,5974000,3261000,10494000,3456000,7742000,11184000,9962000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,17200000,18300000,21600000,10300000,7200000,5118000,- -,10857000,98000,12368000,14549000,16494000,14537000,20052000,21203000,17578000,17828000,13426000,14125000,12636000,10751000,6166000,5906000,4823000,4715000,4315000,7775000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,8600000,11100000,5000000,5000000,3611000,- -,1774000,- -,2240000,2350000,2577000,2826000,4711000,4745000,4823000,4717000,4178000,3798000,4009000,3758000,2612000,2159000,1894000,2016000,1866000,1890000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,700000,1100000,5200000,700000,506000,- -,1212000,736000,2955000,2674000,7754000,7602000,8693000,8711000,10529000,11276000,10957000,7673000,5543000,4609000,5862000,4062000,2937000,2185000,2558000,2314000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,28300000,28000000,33900000,24700000,22200000,16886000,- -,19562000,983000,24642000,24854000,27909000,25779000,35172000,37023000,34634000,41071000,30618000,28093000,25775000,25092000,17901000,22621000,13110000,16658000,19923000,21941000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,9300000,10800000,5600000,5900000,4250000,- -,28596000,- -,34284000,35875000,41155000,47323000,51220000,46122000,41356000,38519000,30908000,30574000,28719000,22333000,12994000,10290000,10406000,5243000,6294000,7805000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2944000,2944000,9453000,9453000,9024000,2976000,461000,461000,461000,461000,461000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,1700000,- -,- -,- -,- -,- -,2944000,2944000,- -,- -,13427000,12587000,11776000,3838000,3320000,3175000,3031000,2837000,2695000,1587000,1470000,1353000,1254000,1227000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,1700000,- -,- -,- -,- -,- -,2944000,2944000,2944000,2944000,22880000,22040000,20800000,6814000,3781000,3636000,3492000,3298000,3156000,1587000,1470000,1353000,1254000,1227000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2786000,5891000,4113000,4432000,4885000,1698000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,5100000,5300000,7600000,1600000,1992000,- -,413000,7824000,1282000,1767000,2295000,1797000,2352000,2198000,1700000,346000,7974000,1587000,1429000,1520000,9092000,838000,1190000,1165000,500000,591000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,14400000,16100000,14900000,7500000,6242000,- -,29009000,7824000,38510000,40586000,46394000,52064000,76452000,70360000,63856000,48465000,48554000,39910000,38072000,32036000,26940000,12715000,13066000,7761000,8048000,9623000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,44200000,42400000,50000000,39600000,29700000,23128000,- -,48571000,8807000,63152000,65440000,74303000,77843000,111624000,107383000,98490000,89536000,79172000,68003000,63847000,57128000,44841000,35336000,26176000,24419000,27971000,31564000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,8200000,11700000,1000000,10100000,5562000,- -,3988000,526000,6473000,6075000,7689000,8512000,8691000,9131000,8445000,7509000,6934000,5474000,4530000,4459000,3391000,1571000,1239000,1564000,872000,1096000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,1200000,4100000,10700000,5300000,2064000,- -,940000,- -,826000,843000,928000,5575000,5894000,2108000,2097000,2114000,9350000,9542000,5378000,816000,8012000,6710000,255000,2836000,1401000,3412000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1966000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,839000,- -,1136000,- -,- -,- -,- -,- -,- -,- -,437000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,6300000,7000000,4300000,5000000,3513000,- -,11583000,1108000,21406000,14783000,13678000,12568000,12484000,14161000,8564000,13188000,15530000,6094000,6573000,5489000,9187000,4033000,3357000,4010000,9143000,4720000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,16500000,15700000,22800000,16000000,20400000,11139000,- -,16511000,1634000,28705000,21701000,22295000,26655000,27069000,25400000,19106000,23650000,31814000,22246000,16481000,10764000,20590000,12314000,4851000,8410000,11416000,9665000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,12000000,9200000,5500000,900000,1438000,- -,23281000,700000,6566000,9199000,8465000,7661000,35968000,33437000,31340000,29638000,13740000,8728000,11973000,11229000,3176000,- -,2803000,127000,1957000,927000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4025000,2927000,3132000,1776000,1625000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,200000,- -,- -,900000,1038000,- -,2824000,- -,2977000,5239000,5166000,4576000,4596000,4378000,3727000,4792000,4327000,3286000,2075000,1575000,1586000,1329000,1336000,839000,855000,162000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,12200000,9200000,5500000,1800000,2476000,- -,26105000,700000,9543000,14438000,17656000,15164000,43696000,39591000,36692000,34430000,18067000,12014000,14048000,12804000,4762000,1329000,4139000,966000,2812000,1089000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,972000,1278000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,30100000,27900000,32000000,21500000,22200000,13615000,- -,42616000,2334000,38248000,36139000,39951000,41819000,70765000,64991000,55798000,58080000,49881000,34260000,30529000,23568000,25352000,13643000,8990000,9376000,14228000,10754000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2488000,- -,2499000,2514000,3536000,3599000,- -,- -,- -,- -,- -,- -,4724000,4722000,4722000,4722000,4722000,4581000,3673000,3493000,3450000,3463000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,7900000,10000000,10200000,1600000,3172000,- -,167000,720000,14145000,18636000,22545000,23941000,25551000,26463000,26565000,15850000,11543000,16031000,15486000,15731000,1648000,4336000,2743000,1058000,-82000,6809000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6300000,-6400000,-7700000,-4900000,-5800000,-6069000,- -,-1861000,- -,-4668000,-1000000,-10645000,-1000000,-1000000,-25435000,-31118000,-36503000,-36621000,-34266000,-36702000,-32259000,-20920000,-18319000,-19589000,-14277000,-14425000,-162000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,13000000,15700000,12800000,11700000,9922000,- -,5150000,3239000,11891000,8066000,22452000,13083000,15693000,40749000,46557000,52036000,49645000,47256000,49812000,45366000,34039000,31095000,30359000,24769000,24800000,10700000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,14500000,18000000,18100000,7500000,9513000,- -,5955000,6473000,24904000,29301000,34352000,36024000,40244000,41777000,42004000,31383000,29291000,33743000,33318000,33560000,19489000,21693000,17186000,15043000,13743000,20810000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,44200000,42400000,50000000,39600000,29700000,23128000,- -,48571000,8807000,63152000,65440000,74303000,77843000,111009000,106768000,97802000,89463000,79172000,68003000,63847000,57128000,44841000,35336000,26176000,24419000,27971000,31564000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,615000,615000,688000,73000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,44200000,42400000,50000000,39600000,29700000,23128000,- -,48571000,8807000,63152000,65440000,74303000,77843000,111624000,107383000,98490000,89536000,79172000,68003000,63847000,57128000,44841000,35336000,26176000,24419000,27971000,31564000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/96793/000095014402009653/0000950144-02-009653-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312503054775/0001193125-03-054775-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312504163283/0001193125-04-163283-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312505186859/0001193125-05-186859-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312506192763/0001193125-06-192763-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312507206450/0001193125-07-206450-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312508202263/0001193125-08-202263-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312509199109/0001193125-09-199109-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312510228187/0001193125-10-228187-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312511256513/0001193125-11-256513-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312512398595/0001193125-12-398595-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312513382169/0001193125-13-382169-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312514354731/0001193125-14-354731-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312515328941/0001193125-15-328941-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312516726649/0001193125-16-726649-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312517297905/0001193125-17-297905-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000119312518282598/0001193125-18-282598-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000156459019035757/0001564590-19-035757-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000156459020044839/0001564590-20-044839-index.htm,https://www.sec.gov/Archives/edgar/data/96793/000156459021049055/0001564590-21-049055-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,2200000,1500000,2600000,1400000,2000000,1200000,2100000,300000,-8600000,1583000,478000,833000,553000,13425000,4540000,3909000,1396000,1616000,912000,102000,-10715000,1081000,4488000,-545000,245000,-14083000,2688000,-1593000,-1754000,-1140000,6890000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,900000,900000,900000,900000,1000000,1200000,1200000,1400000,1600000,813000,849000,1353000,1560000,2088000,2590000,3400000,4400000,5512000,6896000,6803000,6231000,4677000,4048000,3662000,2681000,2436000,1987000,1858000,1728000,1450000,1361000
75,Deferred Income Tax,- -,- -,- -,- -,- -,800000,-100000,- -,100000,200000,200000,-100000,300000,1800000,- -,1722000,- -,- -,-1021000,-189000,-155000,-379000,-572000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,41000,6000,92000,86000,48000,37000,58000,64000,8000,1000,28000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,-1500000,- -,- -,- -,11800000,- -,500000,-1200000,-2400000,-6900000,3947000,-2696000,-3702000,-3412000,7216000,2461000,-6490000,8979000,3520000,3905000,1893000,-18617000,7043000,3447000,5034000,-17017000,12996000,-2048000,-11000,259000,3769000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000
79,Inventory,- -,- -,- -,- -,- -,-900000,300000,-700000,-800000,-300000,800000,-700000,700000,-100000,-31000,260000,25000,- -,- -,-110000,-227000,-249000,-17000,-34000,-78000,-206000,193000,86000,-211000,-1000,536000,453000,154000,-162000,150000,-24000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1624000,403000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,11800000,12300000,11100000,8700000,1800000,5747000,3051000,-651000,-4063000,3153000,5614000,-876000,8103000,11623000,15528000,17421000,-1196000,5847000,9294000,14328000,-2689000,10307000,8259000,8248000,8507000,12276000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1000000,400000,800000,-2000000,-13800000,-100000,-700000,7000000,7600000,753000,-8300000,4024000,1832000,-13740000,-11932000,-5109000,5822000,-13855000,-7088000,-6923000,7364000,15849000,-17681000,-2720000,-5059000,28180000,-23345000,2171000,-1391000,3372000,-10655000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,3400000,2700000,4300000,400000,1200000,2500000,3000000,7800000,- -,-3751000,-1304000,3514000,243000,-2660000,2225000,4506000,4749000,1680000,4430000,3928000,4779000,3082000,-2016000,3892000,2938000,-426000,-5610000,396000,-1427000,3969000,1365000
84,CAPEX,- -,- -,- -,- -,- -,-2900000,-3900000,-1200000,-800000,-400000,-300000,-600000,-5300000,-900000,-215000,-994000,-5636000,- -,-1879000,-4029000,-8012000,-9037000,-8337000,-1571000,-2502000,-2640000,-2014000,-4975000,-1723000,-1302000,-1347000,-1630000,-1861000,-1272000,-1185000,-2595000
