,https://roic.ai/company/GERN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-10700000,-9600000,-10800000,-46400000,-45833000,-42073000,-33908000,-29883000,-80405000,-33528000,-31365000,-36697000,-62021000,-70184000,-111377000,-96853000,-68881000,-38379000,-35670000,46000,-29537000,-27916000,-27017000,-68548000,-75617000,-116112
24,Net Income ratio,-2.0189,-1.3151,-1.5882,-8.5926,-6.9349,-11.6224,-27.1699,-25.4540,-76.3580,-115.6138,-9.5713,-4.8146,-22.1267,-40.6628,-31.2593,-39.7264,-25.4267,-29.9135,-30.9367,0.0013,-4.7934,-26.2122,-25.3443,-149.0174,-298.8814,-3.9141
25,EPS,-2.07,-0.91,-1.00,-3.00,-2.20,-1.90,-1.37,-0.97,-1.79,-0.58,-0.47,-0.62,-0.79,-0.80,-1.14,-0.78,-0.54,-0.30,-0.23,0.00,-0.19,-0.18,-0.15,-0.36,-0.28,-0.35
26,EPS Diluted,-2.07,-0.91,-1.00,-3.00,-2.20,-1.90,-1.37,-0.97,-1.79,-0.58,-0.47,-0.62,-0.79,-0.80,-1.14,-0.78,-0.54,-0.30,-0.23,0.00,-0.19,-0.18,-0.15,-0.36,-0.28,-0.35
27,Weighted Average Shares Outstanding,5151113,10551054,11439084,15489035,20869791,22121833,24661733,30965330,44877627,57879725,66057367,74206249,78187795,88078557,97601520,124506763,126941024,128380800,153540341,158036162,159045644,159224986,176504996,190160311,271460265,327631814
28,Weighted Average Shares Outstanding Diluted,7741935,10551054,11439084,15489035,20869791,22121833,24661733,30965330,44877627,57879725,66057367,74206249,78187795,88078557,97601520,124506763,126941024,128380800,153540341,162663894,159045644,159224986,176504996,190160311,271460265,327631814
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886744/000120677404000093/0001206774-04-000093-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000114544305000311/0001145443-05-000311-index.htm,- -,https://www.sec.gov/Archives/edgar/data/886744/000120677407000690/0001206774-07-000690-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677408000413/0001206774-08-000413-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677409000373/0001206774-09-000373-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677410000410/0001206774-10-000410-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677411000317/0001206774-11-000317-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677412000967/0001206774-12-000967-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746913002849/0001047469-13-002849-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746914002454/0001047469-14-002454-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746915001989/0001047469-15-001989-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746916010984/0001047469-16-010984-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746917001123/0001047469-17-001123-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459018006051/0001564590-18-006051-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459019006759/0001564590-19-006759-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459020010449/0001564590-20-010449-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459021012493/0001564590-21-012493-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459022009627/0001564590-22-009627-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12400000,4100000,16400000,7800000,29985000,18773000,4604000,12823000,9846000,96633000,135882000,146025000,109348000,34601000,45972000,16105000,22063000,12990000,42796000,21248000,12810000,16335000,10575000,13644000,9925000,34871000
32,Short-Term Investments,- -,- -,- -,- -,3040000,50170000,42383000,96427000,110118000,93840000,77448000,59979000,53491000,77009000,140599000,105208000,73472000,52234000,108645000,92524000,102035000,78351000,152714000,125681000,186350000,- -
33,Cash and Short-Term Investments,12400000,4100000,16400000,7800000,33025000,68943000,46987000,109250000,119964000,190473000,213330000,206004000,162839000,111610000,186571000,121313000,95535000,65224000,151441000,113772000,114845000,94686000,163289000,139325000,196275000,34871000
34,Net Receivables,- -,900000,500000,700000,1206000,1520000,1137000,1213000,1697000,2304000,1268000,788000,882000,1318000,1799000,1398000,752000,564000,963000,1206000,475000,436000,1168000,802000,722000,1763000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,12600000,18500000,8900000,31900000,364000,1233000,2645000,1345000,3116000,2868000,2555000,6580000,4525000,4851000,6647000,2914000,2130000,1269000,1002000,914000,792000,848000,1601000,1481000,2860000,150572000
37,Total Current Assets,25000000,23500000,25800000,40400000,34595000,71696000,50769000,111808000,124777000,195645000,217153000,213372000,168246000,117779000,195017000,125625000,98417000,67057000,153406000,115892000,116112000,95970000,166058000,141608000,199857000,187206000
38,PP&E,3000000,2400000,2300000,3800000,3681000,3587000,2444000,1684000,2089000,2754000,2482000,4075000,4386000,3938000,3088000,1241000,974000,92000,173000,207000,183000,102000,59000,2905000,5953000,5377000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,15300000,12413000,9548000,6684000,3819000,1131000,377000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,15300000,12413000,9548000,6684000,3819000,1131000,377000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,55997000,34415000,32133000,- -,- -,18932000,32661000,13954000,14241000,18582000,19651000,63387000,148851000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,800000,200000,16400000,4200000,63341000,11400000,772000,804000,3876000,2467000,1165000,1449000,2586000,2668000,1064000,1048000,410000,195000,- -,- -,- -,- -,585000,1353000,1531000,- -
45,Total Non-Current Assets,3800000,2600000,18700000,23300000,79435000,24535000,9900000,6307000,7096000,5598000,3647000,5524000,7972000,62603000,38567000,34422000,1384000,287000,19105000,32868000,14137000,14343000,19226000,23909000,70871000,154228000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28800000,26100000,44500000,63700000,114030000,96231000,60669000,118115000,131873000,201243000,220800000,218896000,176218000,180382000,233584000,160047000,99801000,67344000,172511000,148760000,130249000,110313000,185284000,165517000,270728000,341434000
48,Accounts Payable,800000,700000,1200000,1300000,1459000,1338000,1594000,1297000,2535000,1906000,1959000,2857000,2414000,2176000,3462000,2980000,3429000,1397000,1033000,160000,225000,503000,982000,1181000,6919000,6687000
49,Short-Term Debt,1200000,1000000,900000,1200000,923000,825000,5508000,5040000,2600000,55000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000,878000,50731000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,767000,543000,227000,477000,2180000,1159000,241000,27000,700000,350000,- -,- -,- -,35000000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1600000,2000000,1500000,5400000,5743000,7382000,1738000,3261000,2846000,5187000,43658000,9619000,5270000,4579000,37037000,10464000,10719000,6190000,5766000,6474000,7644000,6013000,6569000,26627000,23143000,-11897000
53,Total Current Liabilities,3600000,3700000,3600000,7900000,8125000,10312000,9383000,9825000,8458000,9328000,46776000,12717000,7711000,7455000,40849000,13444000,14148000,7587000,41799000,6634000,7869000,6516000,7551000,28162000,30940000,45521000
54,Long-Term Debt,1600000,1300000,8100000,17100000,32436000,16594000,20515000,1151000,645000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24042000,4267000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,12500000,9551000,7783000,1030000,815000,707000,1210000,105000,505000,52000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,4799000,49830000
58,Total Non-Current Liabilities,1600000,1300000,8100000,29600000,41987000,24377000,21545000,1966000,1352000,1210000,105000,505000,52000,350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,28841000,54097000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2554000,5677000,- -
61,Total Liabilities,5200000,5000000,11700000,37500000,50112000,34689000,30928000,11791000,9810000,10538000,46881000,13222000,7763000,7805000,40849000,13444000,14148000,7587000,41799000,6634000,7869000,6516000,7551000,30362000,59781000,99618000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,22000,24000,25000,39000,52000,65000,70000,76000,81000,92000,123000,131000,130000,131000,157000,159000,159000,160000,186000,200000,310000,324000
64,Retained Earnings,-36500000,-46100000,-57500000,-104000000,-149802000,-191875000,-225783000,-255666000,-336071000,-369599000,-399094000,-444872000,-506893000,-577267000,-688650000,-785503000,-854384000,-892763000,-928433000,-928387000,-957924000,-985840000,-1011464000,-1080012000,-1155629000,-1271741000
65,Other Comprehensive Income/Loss,-2500000,-3700000,-4800000,-6100000,-7355000,-8522000,-598000,-744000,-883000,-860000,-213000,33000,40000,-406000,-96000,-91000,40000,-14000,-84000,-213000,-53000,-207000,-183000,132000,78000,-173000
66,Other Total Stockholders Equity,62600000,70900000,95100000,136300000,221053000,261915000,256097000,362695000,458965000,561099000,573156000,650437000,675227000,750158000,881358000,932066000,939867000,952403000,1059072000,1070567000,1080198000,1089684000,1189194000,1214835000,1366188000,1398006000
67,Total Stockholders Equity,23600000,21100000,32800000,26200000,63918000,61542000,29741000,106324000,122063000,190705000,173919000,205674000,168455000,172577000,192735000,146603000,85653000,59757000,130712000,142126000,122380000,103797000,177733000,135155000,210947000,126416000
68,Total Liabilities And Stockholders Equity,28800000,26100000,44500000,63700000,114030000,96231000,60669000,118115000,131873000,201243000,220800000,218896000,176218000,180382000,233584000,160047000,99801000,67344000,172511000,148760000,130249000,110313000,185284000,165517000,270728000,226034000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115400000
70,Total Liabilities & Equity,28800000,26100000,44500000,63700000,114030000,96231000,60669000,118115000,131873000,201243000,220800000,218896000,176218000,180382000,233584000,160047000,99801000,67344000,172511000,148760000,130249000,110313000,185284000,165517000,270728000,341434000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886744/000120677404000093/0001206774-04-000093-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000114544305000311/0001145443-05-000311-index.htm,- -,https://www.sec.gov/Archives/edgar/data/886744/000120677407000690/0001206774-07-000690-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677408000413/0001206774-08-000413-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677409000373/0001206774-09-000373-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677410000410/0001206774-10-000410-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677411000317/0001206774-11-000317-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677412000967/0001206774-12-000967-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746913002849/0001047469-13-002849-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746914002454/0001047469-14-002454-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746915001989/0001047469-15-001989-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746916010984/0001047469-16-010984-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746917001123/0001047469-17-001123-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459018006051/0001564590-18-006051-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459019006759/0001564590-19-006759-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459020010449/0001564590-20-010449-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459021012493/0001564590-21-012493-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459022009627/0001564590-22-009627-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10700000,-9600000,-10800000,-46400000,-45833000,-42073000,-33908000,-29883000,-80405000,-33528000,-31365000,-36697000,-62021000,-70184000,-111377000,-96853000,-68881000,-38379000,-35670000,46000,-29537000,-27916000,-27017000,-68548000,-75617000,-116112
74,Depreciation and Amortization,1200000,1600000,1700000,3700000,4653000,4370000,4590000,4122000,3905000,3743000,1589000,1930000,2422000,1753000,1609000,1580000,830000,320000,47000,56000,81000,76000,59000,776000,935000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10575000,13718000,15249000,5311000,4687000,7911000,8761000,8401000,8344000,6559000,6147000,6980000,29150000
77,Change in Working Capital,-500000,-1600000,2400000,10300000,-6030000,34914000,-19998000,60597000,14336000,69998000,-15940000,30278000,-40120000,-50211000,43844000,-41987000,-27912000,-24799000,52137000,-2349000,-1015000,-18789000,69053000,-45061000,55471000,-27232000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-440000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000,1288000,-482000,449000,-2032000,-364000,-873000,65000,278000,479000,199000,5731000,- -
81,Other Working Capital,21400000,19800000,22200000,32500000,26470000,61384000,41386000,101983000,116319000,186317000,170377000,200655000,160535000,110324000,154168000,112181000,84269000,59470000,111607000,109258000,108243000,89454000,158507000,113446000,168917000,141685000
82,Other Non-Cash Items,100000,1700000,-1100000,18800000,33605000,-19634000,17973000,-59232000,36239000,-60826000,19337000,-22143000,57734000,64693000,7914000,59619000,35506000,21491000,-15075000,-30710000,3701000,17729000,-69663000,62857000,-54421000,-1801888
83,Cash Provided by Operating Activities,-9900000,-7900000,-7800000,-13600000,-13605000,-22423000,-31343000,-24396000,-25925000,-20613000,-26379000,-26632000,-41985000,-43374000,-44292000,-62392000,-55146000,-36680000,9350000,-24196000,-18369000,-20556000,-21009000,-43829000,-66652000,- -
84,CAPEX,-1100000,-700000,-1000000,-2700000,-1181000,-1106000,-328000,-411000,-1526000,-1642000,-779000,-2990000,-2337000,-1435000,-836000,-612000,-862000,-3000,-131000,-90000,-57000,- -,-16000,-413000,-401000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000,- -
86,Purchases of Investments,-24500000,-27000000,-28400000,-31300000,-62334000,-54505000,-31558000,-107699000,-110210000,-129305000,-135883000,-154876000,-78332000,-202118000,-183437000,-144890000,-79369000,-88977000,-190263000,-206459000,-129250000,-100006000,-188365000,-153467000,-313201000,- -
87,Sales/Maturities of Investments,15600000,21500000,21800000,20100000,32006000,59499000,49176000,53574000,93572000,143902000,153543000,175816000,86000000,120525000,137320000,177642000,141016000,108839000,111961000,206623000,138054000,122976000,110663000,181280000,207943000,- -
88,Other Investing Activites,- -,-100000,- -,1000000,- -,- -,- -,- -,- -,- -,- -,-1910000,139000,25000,-1499000,-1000,169000,1195000,529000,-1000,15000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-10000000,-6300000,-7600000,-12900000,-31509000,3888000,17290000,-54536000,-18164000,12955000,16881000,16040000,5470000,-83003000,-48452000,32139000,60954000,21054000,-77904000,73000,8762000,22970000,-77718000,27400000,-105320000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,19700000,6500000,20200000,900000,43281000,8152000,264000,87518000,41288000,94591000,48802000,20735000,293000,51630000,104121000,386000,150000,6553000,98360000,2575000,1169000,1111000,86017000,19295000,144259000,13214867000
92,Common Stock Repurchased,- -,- -,- -,-3700000,- -,- -,- -,- -,- -,- -,- -,- -,-455000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,-600000,7400000,20800000,23983000,-829000,-380000,-367000,-176000,-146000,-55000,- -,- -,- -,- -,6422000,- -,- -,- -,- -,- -,- -,6951000,204000,24087000,- -
95,Cash Used/Provided by Financing Activities,19800000,5900000,27600000,18000000,67264000,7323000,-116000,87151000,41112000,94445000,48747000,20735000,-162000,51630000,104115000,386000,150000,6553000,98360000,2575000,1169000,1111000,92968000,19499000,168346000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-8600000,22150000,-11212000,-14169000,8219000,-2977000,86787000,39249000,10143000,-36677000,-74747000,11371000,-29867000,5958000,-9073000,29806000,-21548000,-8438000,3525000,-5759000,3070000,-3626000,- -
98,Cash at the End of Period,- -,- -,- -,7800000,29985000,18773000,4604000,12823000,9846000,96633000,135882000,146025000,109348000,34601000,45972000,16105000,22063000,12990000,42796000,21248000,12810000,16335000,10844000,13914000,10288000,- -
99,Cash at the Beginning of Period,12500000,12400000,4100000,16400000,7835000,29985000,18773000,4604000,12823000,9846000,96633000,135882000,146025000,109348000,34601000,45972000,16105000,22063000,12990000,42796000,21248000,12810000,16603000,10844000,13914000,10288000
100,Free Cash Flow,-11000000,-8600000,-8800000,-16300000,-14786000,-23529000,-31671000,-24807000,-27451000,-22255000,-27158000,-29622000,-44322000,-44809000,-45128000,-63004000,-56008000,-36683000,9219000,-24286000,-18426000,-20556000,-21025000,-44242000,-67053000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886744/000120677404000093/0001206774-04-000093-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000114544305000311/0001145443-05-000311-index.htm,- -,https://www.sec.gov/Archives/edgar/data/886744/000120677407000690/0001206774-07-000690-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677408000413/0001206774-08-000413-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677409000373/0001206774-09-000373-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677410000410/0001206774-10-000410-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677411000317/0001206774-11-000317-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000120677412000967/0001206774-12-000967-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746913002849/0001047469-13-002849-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746914002454/0001047469-14-002454-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746915001989/0001047469-15-001989-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746916010984/0001047469-16-010984-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000104746917001123/0001047469-17-001123-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459018006051/0001564590-18-006051-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459019006759/0001564590-19-006759-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459020010449/0001564590-20-010449-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459021012493/0001564590-21-012493-index.htm,https://www.sec.gov/Archives/edgar/data/886744/000156459022009627/0001564590-22-009627-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
