,https://roic.ai/company/GPOR,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,20206000,14709000,66415000,5500000,4903000,5197000,6570000,8362000,10178000,10488000,23865000,49029000,338410000,34799000,45587000,71060000,14181000,22708000,38547000,32287000,38748000,54549000,60521000,51918000,90904000,592
11,COGS and Expenses,33510000,14709000,66415000,10000000,11635000,11714000,11733000,14248000,16764000,18142000,34535000,65699000,361266000,60912000,77167000,118290000,158638000,206254000,444642000,592786000,532847000,769545000,962493000,1005320000,841201000,- -
12,Interest Income ,- -,- -,- -,- -,- -,133000,61000,30000,73000,290000,308000,523000,540000,564000,387000,186000,72000,297000,195000,643000,1230000,1009000,314000,801000,414000,- -
13,Interest Expense (Gain),5562000,- -,- -,- -,596000,381000,181000,987000,2195000,522000,1956000,3091000,4762000,2309000,2761000,1400000,5618000,16467000,22301000,48002000,59870000,103187000,129152000,135458000,114516000,41
14,Depreciation and Amortization,7973000,7856000,4325000,3700000,3351000,3774000,3386000,4637000,4952000,4789000,12652000,29681000,42472000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239744000,160913000
15,EBITDA,-15852000,85251000,-54780000,4300000,8406000,9572000,4008000,6243000,11451000,16206000,42416000,70668000,-137268000,25964000,50164000,109732000,100352000,267795000,423045000,-1432883000,-922752000,540148000,559643000,-1874463000,-1263583000,160912928
16,EBITDA ratio,-0.6600,4.1073,-6.1940,0.4300,0.5215,0.6192,0.3303,0.3915,0.4938,0.5880,0.7024,0.6657,-0.9720,0.3045,0.3952,0.4786,0.4037,1.0212,0.6307,-2.0210,-2.3911,0.4091,0.4130,-1.3926,-1.4582,300342.3665
17,Operating Income,-16836000,-1724000,-57571000,- -,4483000,3744000,401000,1699000,6426000,9417000,25855000,40464000,-220049000,24350000,49777000,110964000,97263000,55463000,226131000,-1334229000,-868150000,548366000,392320000,-1703693000,-1362605000,-56
18,Operating Income ratio,-0.7009,-0.0831,-6.5096,- -,0.2781,0.2422,0.0330,0.1065,0.2771,0.3417,0.4281,0.3811,-1.5582,0.2856,0.3921,0.4840,0.3912,0.2115,0.3371,-1.8819,-2.2496,0.4153,0.2895,-1.2657,-1.5725,-0.1044
19,Total Other Income Expenses (Gains),-12551000,-9604000,-1534000,1500000,572000,1673000,40000,-1350000,-2122000,1478000,1953000,-2568000,35547000,-695000,-2374000,-2632000,936000,195865000,174613000,-146656000,-114472000,-111405000,38171000,-306228000,-255238000,-57
20,Income Before Tax,-29387000,-11328000,-59105000,- -,- -,5417000,441000,349000,4304000,10895000,27808000,37896000,-184502000,23655000,47403000,108332000,98199000,251328000,400744000,-1480885000,-982622000,436961000,430491000,-2009921000,-1617843000,-113
21,Income Before Tax Ratio,-1.2235,-0.5458,-6.6831,- -,- -,0.3504,0.0363,0.0219,0.1856,0.3953,0.4605,0.3570,-1.3065,0.2774,0.3734,0.4725,0.3950,0.9584,0.5974,-2.0887,-2.5462,0.3310,0.3177,-1.4932,-1.8670,-0.2107
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000,- -,28000,40000,-90000,26363000,98136000,153341000,-256001000,-2913000,1809000,-69000,-7563000,7290000,30
23,Net Income,-29387000,77395000,-59105000,600000,4459000,5417000,441000,619000,4304000,10895000,27808000,37775000,-184502000,23627000,47363000,108422000,68371000,153192000,247403000,-1224884000,-979709000,435152000,430560000,-2002358000,-1625133000,-143
24,Net Income ratio,-1.2235,3.7288,-6.6831,0.0600,0.2766,0.3504,0.0363,0.0388,0.1856,0.3953,0.4605,0.3558,-1.3065,0.2771,0.3731,0.4729,0.2750,0.5842,0.3688,-1.7276,-2.5387,0.3296,0.3177,-1.4876,-1.8754,-0.2671
25,EPS,-3.38,3.44,-72.35,0.13,0.44,0.53,-0.06,-0.02,0.31,0.36,0.85,1.03,-4.33,0.55,1.08,2.22,1.22,1.98,2.90,-12.27,-7.97,2.42,2.46,-12.49,-10.14,-0.00
26,EPS Diluted,-3.38,3.44,-72.35,0.13,0.43,0.52,-0.06,-0.02,0.28,0.34,0.82,1.01,-4.33,0.55,1.07,2.20,1.21,1.97,2.88,-12.27,-7.97,2.41,2.45,-12.49,-10.14,-0.00
27,Weighted Average Shares Outstanding,9539000,22076315,816986,5120255,10134091,10220755,10416667,10950000,10500000,30263889,32715294,36674757,42599611,42667581,43863190,48754840,55933354,77375683,85445963,99792401,122952866,179834146,174675840,160341125,160231335,20598000
28,Weighted Average Shares Outstanding Diluted,9539000,22076315,816986,5120255,10369767,10417308,10416667,10950000,15371429,32044118,33912195,37400990,42599611,43017648,44256092,49206963,56417488,77861646,85813182,99792401,122952866,180253024,175398706,160341125,160231335,20598000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/874499/000106083099000051/0001060830-99-000051-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874499/000114036105007239/0001140361-05-007239-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312506070643/0001193125-06-070643-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312507070816/0001193125-07-070816-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312508058618/0001193125-08-058618-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312509055183/0001193125-09-055183-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312510055121/0001193125-10-055121-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312511065894/0001193125-11-065894-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312512081951/0001193125-12-081951-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000144530513000396/0001445305-13-000396-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000144530514000751/0001445305-14-000751-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828015001182/0001628280-15-001182-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828016011417/0001628280-16-011417-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828017001359/0001628280-17-001359-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828018002041/0001628280-18-002041-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828019002242/0001628280-19-002242-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828020002453/0001628280-20-002453-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000121390021023968/0001213900-21-023968-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828022004445/0001628280-22-004445-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1203000,2778000,5700000,3657000,1077000,1109000,1542000,7542000,2119000,6627000,2764000,5944000,1724000,2468000,93897000,167088000,458956000,142340000,112974000,1275875000,99557000,52297000,6060000,89861000,3260000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1203000,2778000,5700000,3657000,1077000,1109000,1542000,7542000,2119000,6627000,2764000,5944000,1724000,2468000,93897000,167088000,458956000,142340000,112974000,1275875000,99557000,52297000,6060000,89861000,3260000
34,Net Receivables,- -,4364000,1656000,2100000,3608000,1256000,4401000,1719000,4583000,9027000,12328000,12718000,13644000,9628000,15525000,32750000,60463000,62316000,103904000,71888000,136777000,182213000,232697000,169185000,132079000,253237000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2252000,1046000,- -,171000,253000,205000,179000,212000,1103000,972000,1346000,1045000,2047000,1732000,2928000,2170000,9832000,82105000,146699000,196127000,83759000,31959000,130632000,187810000,17054000
37,Total Current Assets,- -,7819000,5480000,7800000,7436000,2586000,5715000,3440000,12337000,12249000,19927000,16828000,20633000,13399000,19725000,129575000,229721000,531104000,328349000,331561000,1608779000,365529000,316953000,305877000,409750000,273551000
38,PP&E,- -,81501000,19990000,23500000,26692000,35723000,38506000,52480000,62681000,92128000,157674000,362099000,162239000,162116000,242131000,468636000,953868000,1703592000,2890619000,2628403000,2351126000,5102177000,5479405000,3521232000,2086611000,1856150000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32006000,33021000,86824000,381759000,440343000,369856000,242669000,243920000,302112000,236121000,32044000,24816000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653000,533000,628000,1000000,- -,- -,- -,74925000,4692000,1208000,- -,7563000,- -,- -
44,Other Non-Current Assets,- -,3026000,2098000,2200000,2050000,2583000,2825000,3060000,3132000,7443000,17550000,40210000,38348000,19290000,24188000,5123000,13020000,18097000,43569000,57176000,14628000,36726000,18557000,16103000,18694000,38531000
45,Total Non-Current Assets,- -,84527000,22088000,25700000,28742000,38306000,41331000,55540000,65813000,99571000,175224000,402309000,201240000,213945000,299968000,561583000,1348647000,2162032000,3304044000,3003173000,2614366000,5442223000,5734083000,3576942000,2130121000,1894681000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,92346000,27568000,33500000,36178000,40892000,47046000,58980000,78150000,111820000,195151000,419137000,221873000,227344000,319693000,691158000,1578368000,2693136000,3632393000,3334734000,4223145000,5807752000,6051036000,3882819000,2539871000,2168232000
48,Accounts Payable,- -,- -,- -,6300000,6426000,2637000,3181000,3486000,4177000,8684000,24793000,39848000,27772000,- -,- -,- -,110244000,190707000,371410000,265128000,265124000,553609000,518380000,415218000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,22000,2318000,205000,358000,835000,808000,815000,2842000,2417000,141000,150000,159000,168000,179000,276000,622000,651000,35677000,253743000,182000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,8538000,8684000,2900000,878000,4120000,- -,480000,480000,480000,480000,480000,635000,40347000,46510000,44492000,10502000,13075000,27145000,51209000,119414000,32654000,20401000,303000,256544000,634746000
53,Total Current Liabilities,- -,8538000,8684000,9200000,7304000,6757000,3203000,6284000,4862000,9522000,26108000,41136000,29222000,43189000,48927000,44633000,120896000,203941000,398723000,316516000,384814000,586885000,539432000,451198000,510287000,634928000
54,Long-Term Debt,- -,13528000,381000,200000,301000,143000,118000,7356000,3199000,9842000,36856000,65725000,69916000,49586000,49500000,2142000,298888000,299028000,716316000,946084000,1593599000,2038321000,2086765000,1978020000,- -,713086000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18607000,114275000,203195000,- -,- -,- -,3127000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,10358000,12192000,20992000,8129000,8378000,8154000,8634000,9518000,10210000,12033000,13569000,25654000,17863000,33297000,60840000,80932000,93944000,139009000,2330084000,212844000
58,Total Non-Current Liabilities,- -,13528000,381000,200000,301000,143000,10476000,19548000,24191000,17971000,45234000,73879000,78550000,59104000,59710000,14175000,331064000,438957000,937374000,979381000,1654439000,2119253000,2183836000,2117029000,2330084000,925930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57438000,- -,322000
61,Total Liabilities,- -,22066000,9065000,9400000,7605000,6900000,13679000,25832000,29053000,27493000,71342000,115015000,107772000,102293000,108637000,58808000,451960000,642898000,1336097000,1295897000,2039253000,2706138000,2723268000,2568227000,2840371000,1560858000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57896000
63,Common Stock,- -,221000,1723000,100000,101000,101000,101000,101000,201000,322000,337000,424000,426000,427000,446000,556000,674000,851000,856000,1082000,1588000,1831000,1630000,1597000,1607000,2000
64,Retained Earnings,- -,-1713000,-60818000,-60200000,-55718000,-50301000,-50926000,-51145000,-46841000,-35187000,-8138000,29637000,-154865000,-131238000,-83875000,24547000,92918000,246110000,493513000,-731371000,-1711080000,-1275928000,-845368000,-2847726000,-4472859000,-112829000
65,Other Comprehensive Income/Loss,- -,-4542000,-58919000,-62500000,-65867000,-69597000,-72846000,-77423000,-82374000,-87163000,-99815000,2254000,-4803000,-18039000,-1768000,2663000,-3429000,-9781000,-26675000,-55177000,-53058000,-40539000,-56026000,-46833000,-43000000,-30216000
66,Other Total Stockholders Equity,- -,76314000,136517000,146700000,150057000,153789000,157038000,161615000,178111000,206355000,231425000,271807000,273343000,273901000,296253000,604584000,1036245000,1813058000,1828602000,2824303000,3946442000,4416250000,4227532000,4207554000,4213752000,692521000
67,Total Stockholders Equity,- -,70280000,18503000,24100000,28573000,33992000,33367000,33148000,49097000,84327000,123809000,304122000,114101000,125051000,211056000,632350000,1126408000,2050238000,2296296000,2038837000,2183892000,3101614000,3327768000,1314592000,-300500000,607374000
68,Total Liabilities And Stockholders Equity,- -,92346000,27568000,33500000,36178000,40892000,47046000,58980000,78150000,111820000,195151000,419137000,221873000,227344000,319693000,691158000,1578368000,2693136000,3632393000,3334734000,4223145000,5807752000,6051036000,3882819000,2539871000,2168232000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,92346000,27568000,33500000,36178000,40892000,47046000,58980000,78150000,111820000,195151000,419137000,221873000,227344000,319693000,691158000,1578368000,2693136000,3632393000,3334734000,4223145000,5807752000,6051036000,3882819000,2539871000,2168232000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/874499/000106083099000051/0001060830-99-000051-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874499/000114036105007239/0001140361-05-007239-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312506070643/0001193125-06-070643-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312507070816/0001193125-07-070816-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312508058618/0001193125-08-058618-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312509055183/0001193125-09-055183-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312510055121/0001193125-10-055121-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312511065894/0001193125-11-065894-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312512081951/0001193125-12-081951-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000144530513000396/0001445305-13-000396-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000144530514000751/0001445305-14-000751-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828015001182/0001628280-15-001182-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828016011417/0001628280-16-011417-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828017001359/0001628280-17-001359-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828018002041/0001628280-18-002041-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828019002242/0001628280-19-002242-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828020002453/0001628280-20-002453-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000121390021023968/0001213900-21-023968-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828022004445/0001628280-22-004445-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-29387000,77395000,-59105000,600000,4459000,5417000,441000,619000,4304000,10895000,27808000,37775000,-184502000,23627000,47363000,108422000,68371000,153192000,247403000,-1224884000,-979709000,435152000,430560000,-2002358000,-1625133000,-143
74,Depreciation and Amortization,7973000,7856000,4325000,3700000,3351000,3774000,3386000,4637000,4952000,4789000,12652000,29681000,42472000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239744000,160913000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-653000,120000,-95000,-372000,24120000,84951000,122917000,-254493000,18188000,1690000,1208000,-7563000,7290000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317000,295000,772000,2813000,6297000,8916000,8616000,7351000,6369000,6799000,4911000,- -,- -
77,Change in Working Capital,16537000,-36015000,-2485000,1804000,1532000,-4303000,6683000,-5356000,10319000,-4748000,-8908000,-18127000,15719000,-21201000,588000,114144000,23883000,218338000,-397537000,85419000,1208920000,-1445321000,-1123000,77158000,44784000,-386479000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4016000,-5897000,-17225000,-27713000,-978000,-42463000,32016000,-64889000,-45436000,-50484000,63512000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,35296000,-719000,-3204000,-1400000,132000,-4171000,2512000,-2844000,7475000,2727000,-6181000,-24308000,-8589000,-29790000,-29202000,84942000,108825000,327163000,-70374000,15045000,1223965000,-221356000,-222479000,-145321000,-100537000,-487016000
82,Other Non-Cash Items,14017000,-53126000,53414000,296000,-3006000,2740000,-6480000,9482000,-11172000,4264000,7971000,19573000,262287000,50436000,37684000,-64828000,79971000,-271713000,428174000,1707521000,83093000,1681999000,315044000,2651845000,1428619000,518551143
83,Cash Provided by Operating Activities,9140000,-3890000,-3851000,6400000,6336000,7628000,4030000,9382000,8403000,15200000,39523000,68902000,135323000,53299000,85835000,158138000,199158000,191065000,409873000,322179000,337843000,679889000,752488000,723993000,95304000,292985000
84,CAPEX,-4823000,-8206000,-1330000,-7100000,-6658000,-12761000,-8527000,-10185000,-15019000,-32519000,-62898000,-220501000,-126090000,-49547000,-102071000,-287707000,-757830000,-810505000,-1336307000,-1592701000,-758077000,-2432707000,-873170000,-725078000,-367287000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10873000,- -,- -,- -,- -,- -,-147307000,-47014000,-63999000,-14472000,-26472000,-55280000,224168000,-432000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4254000,- -,-17531000,-1036000,-3813000,-1244000,-34621000,- -,- -,- -,- -,- -,-55280000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,862000,197000,565000,870000,- -,192737000,258362000,- -,- -,7376000,- -,- -,- -,- -
88,Other Investing Activites,-116000,-6107000,7519000,-200000,226000,-533000,-377000,-942000,-104000,70000,-105000,-2701000,-10559000,13917000,-2565000,-1790000,64558000,522000,5287000,32920000,-121033000,246723000,5911000,50739000,52700000,-200105000
89,Cash Used for Investing Activites,-4939000,-6107000,7519000,-7300000,-6432000,-13294000,-8904000,-11127000,-15123000,-36703000,-73876000,-240733000,-136823000,-39246000,-105315000,-323248000,-840579000,-664260000,-1136657000,-1574253000,-905582000,-2289168000,-643091000,-674771000,-314587000,-200105000
90,Debt Repayment,-130000,-15034000,-10580000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18303000,-52711000,-97634000,-158639000,-149000,-115690000,-350172000,-712246000,-365276000,-220575000,-1016483000,-496117000,- -
91,Common Stock Issued,- -,13300000,- -,5000000,- -,2000,6029000,- -,11134000,23576000,11370000,139126000,482000,30000,- -,307154000,427091000,766495000,689000,981568000,1110555000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14292000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5364000,-200251000,-30688000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,6695000,7363000,-2100000,-1911000,3084000,-1123000,2178000,1586000,6796000,27491000,28842000,4198000,- -,72935000,47019000,446160000,-1283000,525169000,591312000,1332331000,803601000,264169000,951712000,799201000,-149037000
95,Cash Used/Provided by Financing Activities,-130000,4961000,-3217000,2900000,-1911000,3086000,4906000,2178000,12720000,16080000,38861000,167968000,4680000,-18273000,20224000,256539000,714612000,765063000,410168000,1222708000,1730640000,432961000,-156657000,-95459000,303084000,-149037000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4071000,-2416000,451000,2000000,-2007000,-2580000,32000,433000,6000000,-5423000,4508000,-3863000,3180000,-4220000,744000,91429000,73191000,291868000,-316616000,-29366000,1162901000,-1176318000,-47260000,-46237000,83801000,-56157000
98,Cash at the End of Period,5679000,3263000,3714000,5700000,3657000,1077000,1109000,1542000,7542000,2119000,6627000,2764000,5944000,1724000,2468000,93897000,167088000,458956000,142340000,112974000,1275875000,99557000,52297000,6060000,89861000,3260000
99,Cash at the Beginning of Period,1608000,5679000,3263000,3700000,5664000,3657000,1077000,1109000,1542000,7542000,2119000,6627000,2764000,5944000,1724000,2468000,93897000,167088000,458956000,142340000,112974000,1275875000,99557000,52297000,6060000,59417000
100,Free Cash Flow,4317000,-12096000,-5181000,-700000,-322000,-5133000,-4497000,-803000,-6616000,-17319000,-23375000,-151599000,9233000,3752000,-16236000,-129569000,-558672000,-619440000,-926434000,-1270522000,-420234000,-1752818000,-120682000,-1085000,-271983000,292985000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/874499/000106083099000051/0001060830-99-000051-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874499/000114036105007239/0001140361-05-007239-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312506070643/0001193125-06-070643-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312507070816/0001193125-07-070816-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312508058618/0001193125-08-058618-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312509055183/0001193125-09-055183-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312510055121/0001193125-10-055121-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312511065894/0001193125-11-065894-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000119312512081951/0001193125-12-081951-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000144530513000396/0001445305-13-000396-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000144530514000751/0001445305-14-000751-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828015001182/0001628280-15-001182-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828016011417/0001628280-16-011417-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828017001359/0001628280-17-001359-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828018002041/0001628280-18-002041-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828019002242/0001628280-19-002242-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828020002453/0001628280-20-002453-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000121390021023968/0001213900-21-023968-index.htm,https://www.sec.gov/Archives/edgar/data/874499/000162828022004445/0001628280-22-004445-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
