,https://roic.ai/company/CAR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000000,474000000,505000000,565000000,492000000,491000000,483000000,487000000,474000000,502000000,522000000,549000000,531000000
14,Depreciation and Amortization,- -,24300000,42300000,47100000,132600000,158300000,210800000,277600000,309500000,337600000,378800000,453900000,1996300000,1582600000,1069000000,330000000,2168000000,2717000000,3462000000,3195000000,1292000000,1467000000,1649000000,1727000000,1487000000,2644000000,1490000000,1563000000,1830000000,2020000000,2055000000,2130000000,2206000000,2230000000,3142000000,2561000000,2480000000
15,EBITDA,- -,31500000,58400000,78500000,118000000,172100000,239600000,322700000,405600000,479800000,569300000,720300000,2291000000,2226700000,608000000,1241000000,2788000000,4119000000,5379000000,6005000000,3107000000,-753000000,688000000,384000000,1857000000,3190000000,2031000000,2428000000,2419000000,2903000000,2920000000,2896000000,2891000000,2999000000,3951000000,2154000000,4721000000
16,EBITDA ratio,- -,0.3741,0.4223,0.4019,0.4393,0.4715,0.5315,0.5032,0.5489,0.5483,0.5449,0.5090,0.4311,0.4214,0.1126,0.3158,0.3115,0.2924,0.2957,0.3035,0.1704,-0.1324,0.1149,0.0642,0.3619,0.6152,0.3442,0.3300,0.3048,0.3421,0.3434,0.3344,0.3267,0.3287,0.4308,0.3987,0.5069
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-700000,800000,800000,1800000,-13900000,-13700000,-38400000,-5400000,-400000,- -,-4400000,-1214200000,-1002800000,-2183000000,-328000000,-1045000000,-658000000,-445000000,-263000000,-860000000,-1140000000,-1632000000,-1740000000,-500000000,-537000000,-531000000,-615000000,-778000000,-579000000,-532000000,-554000000,-617000000,-515000000,-542000000,-522000000,- -
20,Income Before Tax,- -,7200000,16100000,31400000,-14600000,13800000,28800000,45100000,96100000,142200000,190500000,266400000,294700000,264400000,-635000000,885000000,658000000,1637000000,2210000000,2548000000,1346000000,-677000000,-992000000,-1343000000,-77000000,72000000,36000000,300000000,97000000,392000000,382000000,279000000,211000000,267000000,287000000,-956000000,1708000000
21,Income Before Tax Ratio,- -,0.0855,0.1164,0.1608,-0.0544,0.0378,0.0639,0.0703,0.1301,0.1625,0.1823,0.1883,0.0554,0.0500,-0.1175,0.2252,0.0735,0.1162,0.1215,0.1288,0.0738,-0.1190,-0.1657,-0.2244,-0.0150,0.0139,0.0061,0.0408,0.0122,0.0462,0.0449,0.0322,0.0238,0.0293,0.0313,-0.1770,0.1834
22,Income Tax expense (Gain),- -,4400000,7400000,14000000,-3300000,5700000,11300000,20000000,37300000,54800000,72900000,103000000,239300000,104500000,-406000000,309000000,235000000,556000000,745000000,728000000,474000000,-226000000,-45000000,-219000000,-30000000,18000000,65000000,10000000,81000000,147000000,69000000,116000000,-150000000,102000000,-15000000,-272000000,425000000
23,Net Income,- -,2800000,8700000,17400000,-11300000,8100000,17500000,25100000,58800000,87400000,117600000,163400000,55400000,539600000,-55000000,602000000,385000000,846000000,1172000000,2082000000,1341000000,-1994000000,-916000000,-1124000000,-47000000,54000000,-29000000,290000000,16000000,245000000,313000000,163000000,361000000,165000000,302000000,-684000000,1285000000
24,Net Income ratio,- -,0.0333,0.0629,0.0891,-0.0421,0.0222,0.0388,0.0391,0.0796,0.0999,0.1126,0.1155,0.0104,0.1021,-0.0102,0.1532,0.0430,0.0601,0.0644,0.1052,0.0735,-0.3505,-0.1530,-0.1878,-0.0092,0.0104,-0.0049,0.0394,0.0020,0.0289,0.0368,0.0188,0.0408,0.0181,0.0329,-0.1266,0.1380
25,EPS,- -,0.20,0.70,1.20,-0.70,0.50,1.00,1.10,2.50,3.40,4.50,5.60,0.70,6.40,-0.70,8.40,4.20,8.30,11.50,20.20,12.90,-19.82,-8.88,-11.04,-0.46,0.53,-0.28,2.72,0.15,2.32,3.02,1.78,4.32,2.08,4.01,-9.71,19.79
26,EPS Diluted,- -,0.20,0.70,1.20,-0.70,0.50,1.00,1.10,2.50,3.40,4.50,5.60,0.60,6.10,-0.70,8.10,4.10,8.10,11.30,19.60,12.60,-19.82,-8.88,-11.04,-0.46,0.49,-0.28,2.42,0.15,2.22,2.98,1.75,4.25,2.06,3.98,-9.71,19.44
27,Weighted Average Shares Outstanding,- -,14000000,12428571,14500000,16142857,16200000,17500000,22818182,23520000,25705882,26133333,29178571,81120000,84312500,78571429,71666667,91666667,101927711,101913043,103069307,103953488,100600000,103100000,101900000,102200000,103100000,105200000,106600000,107600000,105400000,103400000,92000000,83400000,79300000,75200000,70500000,64900000
28,Weighted Average Shares Outstanding Diluted,- -,14000000,12428571,14500000,16142857,16200000,17500000,22818182,23520000,25705882,26133333,29178571,85170000,88459016,78571429,74320988,93902439,104444444,103716814,106224490,106428571,100600000,103100000,101900000,102200000,126700000,105200000,121600000,116600000,110600000,105000000,93300000,84800000,80100000,75700000,70500000,66100000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723612/000095011296001227/0000950112-96-001227-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723612/000091205701505442/0000912057-01-505442-index.html,https://www.sec.gov/Archives/edgar/data/723612/000091205702012785/0000912057-02-012785-index.html,https://www.sec.gov/Archives/edgar/data/723612/000104746903007743/a2104329z10-k.htm,https://www.sec.gov/Archives/edgar/data/723612/000104746904006115/a2129356z10-k.htm,https://www.sec.gov/Archives/edgar/data/723612/000095012305002491/y05947e10vk.htm,https://www.sec.gov/Archives/edgar/data/723612/000095012306002437/y17817e10vk.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312507044472/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312508042121/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312509039260/0001193125-09-039260-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312510037872/0001193125-10-037872-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312511045409/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312512089534/0001193125-12-089534-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312513068169/0001193125-13-068169-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361214000041/car-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361215000047/car-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361216000244/0000723612-16-000244-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361217000035/0000723612-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361218000024/0000723612-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361219000025/0000723612-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361220000011/0000723612-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361221000005/0000723612-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361222000006/0000723612-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,25400000,14800000,26000000,38100000,12300000,13300000,14400000,28600000,116900000,180600000,270000000,- -,1008700000,1164000000,967000000,1971000000,126000000,840000000,591000000,835000000,172000000,214000000,258000000,482000000,911000000,534000000,606000000,693000000,624000000,452000000,490000000,611000000,615000000,686000000,692000000,534000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,25400000,14800000,26000000,38100000,12300000,13300000,14400000,28600000,116900000,180600000,270000000,- -,1008700000,1164000000,967000000,1971000000,126000000,840000000,591000000,835000000,172000000,214000000,258000000,482000000,911000000,534000000,606000000,693000000,624000000,452000000,490000000,611000000,615000000,686000000,692000000,534000000
34,Net Receivables,- -,10100000,24200000,33200000,49400000,62000000,83800000,106700000,130200000,150800000,188200000,297800000,- -,1536400000,1026000000,740000000,1339000000,1457000000,1671000000,1617000000,1271000000,1328000000,683000000,360000000,290000000,366000000,599000000,661000000,751000000,724000000,827000000,961000000,1096000000,1135000000,1084000000,794000000,1013000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3900000,3300000,3400000,37800000,36800000,46300000,83400000,84600000,109300000,135100000,199900000,- -,2001800000,2402000000,677000000,3182000000,1775000000,1967000000,1657000000,1320000000,306000000,321000000,455000000,958000000,361000000,945000000,1062000000,1259000000,1164000000,1311000000,1347000000,985000000,1020000000,712000000,309000000,300000000
37,Total Current Assets,- -,39400000,42300000,62600000,125300000,111100000,143400000,204500000,243400000,377000000,503900000,767700000,- -,4546900000,4592000000,2384000000,6492000000,3358000000,4478000000,3865000000,3426000000,1806000000,1218000000,1073000000,1730000000,1638000000,2078000000,2329000000,2703000000,2512000000,2590000000,2798000000,2692000000,2770000000,2482000000,1795000000,1847000000
38,PP&E,- -,10900000,10100000,16000000,20200000,19400000,19000000,23100000,24000000,25400000,35100000,61400000,- -,1432800000,1347000000,1273000000,1951000000,1780000000,1803000000,1842000000,1791000000,486000000,500000000,7649000000,6409000000,6847000000,8312000000,9184000000,9437000000,10179000000,10376000000,10168000000,10704000000,11614000000,15228000000,11090000000,15606000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7978000000,10699000000,- -,- -,- -,2193000000,1000000000,75000000,76000000,76000000,353000000,375000000,691000000,842000000,973000000,1007000000,1073000000,1092000000,1101000000,1137000000,1108000000
40,Intangible Assets,- -,- -,49500000,61200000,63200000,59200000,64200000,38400000,179100000,127500000,195700000,276000000,- -,6043400000,5343000000,5117000000,2866000000,2464000000,13521000000,14667000000,15267000000,739000000,760000000,467000000,478000000,481000000,713000000,731000000,923000000,886000000,917000000,870000000,850000000,825000000,798000000,774000000,724000000
41,Intangible Assets,- -,- -,49500000,61200000,63200000,59200000,64200000,38400000,179100000,127500000,195700000,276000000,- -,6043400000,5343000000,5117000000,10844000000,13163000000,13521000000,14667000000,15267000000,2932000000,1760000000,542000000,554000000,557000000,1066000000,1106000000,1614000000,1728000000,1890000000,1877000000,1923000000,1917000000,1899000000,1911000000,1832000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361000000,230000000,117000000,228000000,290000000,381000000,403000000,422000000,362000000,362000000,362000000,423000000,559000000,649000000,667000000,842000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,679000000,1115000000,668000000,2243000000,649000000,226000000,234000000,503000000,597000000,587000000,444000000,1454000000,1299000000,1352000000,1488000000,1493000000,931000000,1301000000,1662000000,1198000000,1615000000
44,Other Non-Current Assets,- -,29100000,30600000,47100000,7400000,11300000,12300000,55800000,32100000,82900000,33500000,36200000,- -,8193400000,3867000000,5742000000,13486000000,16481000000,18567000000,19938000000,12971000000,7460000000,8532000000,1434000000,575000000,408000000,657000000,742000000,809000000,836000000,928000000,945000000,1026000000,988000000,1206000000,877000000,858000000
45,Total Non-Current Assets,- -,40000000,90200000,124300000,90800000,89900000,95500000,117300000,235200000,235800000,264300000,373600000,- -,15669600000,10557000000,12132000000,26960000000,32539000000,34559000000,38690000000,30678000000,11465000000,11256000000,10245000000,8363000000,8689000000,10860000000,12889000000,13581000000,14457000000,15044000000,14845000000,15007000000,16379000000,20644000000,15743000000,20753000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,79400000,132500000,186900000,216100000,201000000,238900000,321800000,478600000,612800000,768200000,1141300000,- -,20216500000,15149000000,14516000000,33452000000,35897000000,39037000000,42555000000,34104000000,13271000000,12474000000,11318000000,10093000000,10327000000,12938000000,15218000000,16284000000,16969000000,17634000000,17643000000,17699000000,19149000000,23126000000,17538000000,22600000000
48,Accounts Payable,- -,- -,- -,- -,- -,67900000,79700000,91000000,95500000,105500000,78500000,124900000,- -,1517500000,1279000000,1302000000,3521000000,4287000000,4688000000,4785000000,4314000000,223000000,1094000000,162000000,151000000,209000000,312000000,309000000,344000000,328000000,352000000,343000000,359000000,371000000,378000000,394000000,407000000
49,Short-Term Debt,- -,1500000,5000000,1400000,1500000,10300000,14500000,26700000,6000000,- -,- -,- -,- -,- -,400000000,- -,401000000,30000000,1629000000,742000000,1021000000,29000000,10000000,10000000,12000000,8000000,37000000,57000000,89000000,28000000,26000000,279000000,26000000,23000000,498000000,533000000,515000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520000000,- -,- -,399000000,41000000,109000000,58000000,13000000,194000000,220000000,206000000,218000000,208000000,223000000,215000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,916000000,680000000,854000000,805000000,382000000,- -,- -,- -,- -,- -,- -,- -,87000000,89000000,103000000,114000000,135000000,140000000,125000000,- -,185000000
52,Other Current Liabilities,- -,17900000,20800000,41500000,66100000,6900000,8700000,15200000,25800000,17300000,31000000,24900000,- -,1354200000,3931000000,609000000,2850000000,- -,- -,- -,- -,1632000000,- -,739000000,1121000000,716000000,1121000000,1112000000,1048000000,1074000000,1030000000,1031000000,1125000000,1182000000,1224000000,1126000000,1301000000
53,Total Current Liabilities,- -,19400000,25800000,42900000,67600000,85100000,102900000,132900000,127300000,122800000,109500000,149800000,- -,2871700000,5610000000,1911000000,7688000000,4997000000,7171000000,6332000000,5717000000,1884000000,1104000000,911000000,1284000000,933000000,1470000000,1478000000,1568000000,1519000000,1511000000,1767000000,1645000000,1716000000,2225000000,2053000000,2408000000
54,Long-Term Debt,- -,23100000,27100000,15800000,14300000,49000000,76400000,69200000,37300000,22200000,15000000,14400000,- -,10259700000,2445000000,3988000000,15575000000,18318000000,18295000000,19410000000,13588000000,7083000000,7383000000,7813000000,6493000000,7009000000,8732000000,9654000000,10642000000,11508000000,12295000000,12122000000,12794000000,13760000000,14484000000,13126000000,17290000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,500000,6100000,14600000,700000,1800000,900000,- -,- -,- -,- -,- -,- -,418200000,310000000,476000000,1050000000,1017000000,1092000000,2588000000,1723000000,1206000000,1246000000,1188000000,1267000000,1333000000,982000000,2163000000,2177000000,2267000000,2367000000,2429000000,1594000000,1961000000,2189000000,1383000000,2242000000
57,Other Non-Current Liabilities,- -,1500000,1300000,1200000,24100000,106200000,80700000,120700000,163800000,182900000,200400000,249900000,- -,359200000,3100000000,3309000000,1696000000,1875000000,2293000000,1530000000,1785000000,655000000,1276000000,1313000000,827000000,642000000,1342000000,1166000000,1126000000,1010000000,1022000000,1104000000,1093000000,1298000000,3572000000,1131000000,869000000
58,Total Non-Current Liabilities,- -,25100000,34500000,31600000,39100000,157000000,158000000,189900000,201100000,205100000,215400000,264300000,- -,11037100000,5855000000,7773000000,18321000000,21210000000,21680000000,23528000000,17096000000,8944000000,9905000000,10314000000,8587000000,8984000000,11056000000,12983000000,13945000000,14785000000,15684000000,15655000000,15481000000,17019000000,20245000000,15640000000,20401000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2619000000,2592000000,2406000000
61,Total Liabilities,- -,44500000,60300000,74500000,106700000,242100000,260900000,322800000,328400000,327900000,324900000,414100000,- -,13908800000,11465000000,9684000000,26009000000,26207000000,28851000000,29860000000,22813000000,10828000000,11009000000,11225000000,9871000000,9917000000,12526000000,14461000000,15513000000,16304000000,17195000000,17422000000,17126000000,18735000000,22470000000,17693000000,22809000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,9000000,11000000,12000000,13000000,13000000,14000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,5300000,15000000,32400000,21100000,-28400000,-10800000,-26900000,31400000,118800000,236400000,434400000,- -,1480200000,1425000000,2027000000,2412000000,3258000000,4430000000,6179000000,5946000000,-586000000,-1520000000,-2644000000,-2691000000,-2637000000,-2666000000,-2376000000,-2360000000,-2115000000,-1802000000,-1639000000,-1222000000,-1091000000,-785000000,-1470000000,-185000000
65,Other Comprehensive Income/Loss,- -,-5900000,-5200000,-5900000,-9700000,-14700000,-13900000,-23800000,-29400000,-40000000,-48900000,-73600000,- -,-490600000,-390000000,-471000000,-733000000,-14000000,209000000,-27000000,-400000000,68000000,32000000,-194000000,-37000000,92000000,78000000,110000000,117000000,-22000000,-147000000,-154000000,-24000000,-133000000,-157000000,-187000000,-133000000
66,Other Total Stockholders Equity,- -,35500000,62400000,85900000,98000000,2000000,2700000,49700000,148200000,206100000,255800000,366400000,- -,5318100000,2640000000,3267000000,5753000000,6059000000,5534000000,6530000000,5731000000,2960000000,2952000000,2930000000,2949000000,2954000000,2999000000,3022000000,3013000000,2801000000,2387000000,2013000000,1818000000,1637000000,1597000000,1501000000,97000000
67,Total Stockholders Equity,- -,34900000,72200000,112400000,109400000,-41100000,-22000000,-1000000,150200000,284900000,443300000,727200000,- -,6307700000,3684000000,4832000000,7443000000,9315000000,10186000000,12695000000,11291000000,2443000000,1465000000,93000000,222000000,410000000,412000000,757000000,771000000,665000000,439000000,221000000,573000000,414000000,656000000,-155000000,-220000000
68,Total Liabilities And Stockholders Equity,- -,79400000,132500000,186900000,216100000,201000000,238900000,321800000,478600000,612800000,768200000,1141300000,- -,20216500000,15149000000,14516000000,33452000000,35522000000,39037000000,42555000000,34104000000,13271000000,12474000000,11318000000,10093000000,10327000000,12938000000,15218000000,16284000000,16969000000,17634000000,17643000000,17699000000,19149000000,23126000000,17538000000,22589000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000
70,Total Liabilities & Equity,- -,79400000,132500000,186900000,216100000,201000000,238900000,321800000,478600000,612800000,768200000,1141300000,- -,20216500000,15149000000,14516000000,33452000000,35897000000,39037000000,42555000000,34104000000,13271000000,12474000000,11318000000,10093000000,10327000000,12938000000,15218000000,16284000000,16969000000,17634000000,17643000000,17699000000,19149000000,23126000000,17538000000,22600000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723612/000095011296001227/0000950112-96-001227-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/723612/000091205701505442/0000912057-01-505442-index.html,https://www.sec.gov/Archives/edgar/data/723612/000091205702012785/0000912057-02-012785-index.html,https://www.sec.gov/Archives/edgar/data/723612/000104746903007743/a2104329z10-k.htm,https://www.sec.gov/Archives/edgar/data/723612/000104746904006115/a2129356z10-k.htm,https://www.sec.gov/Archives/edgar/data/723612/000095012305002491/y05947e10vk.htm,https://www.sec.gov/Archives/edgar/data/723612/000095012306002437/y17817e10vk.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312507044472/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312508042121/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312509039260/0001193125-09-039260-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312510037872/0001193125-10-037872-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312511045409/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312512089534/0001193125-12-089534-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312513068169/0001193125-13-068169-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361214000041/car-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361215000047/car-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361216000244/0000723612-16-000244-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361217000035/0000723612-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361218000024/0000723612-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361219000025/0000723612-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361220000011/0000723612-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361221000005/0000723612-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361222000006/0000723612-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,8100000,17500000,25100000,58800000,87400000,117600000,163400000,55400000,539600000,-55000000,602000000,385000000,846000000,1172000000,2082000000,1341000000,-1994000000,-916000000,-1124000000,-47000000,54000000,-29000000,290000000,16000000,245000000,313000000,163000000,361000000,165000000,302000000,-684000000,1285000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,158300000,210800000,277600000,309500000,337600000,378800000,453900000,1996300000,1582600000,1069000000,330000000,2168000000,2717000000,3462000000,3195000000,1292000000,1467000000,1649000000,1727000000,1487000000,2644000000,1490000000,1563000000,1830000000,2020000000,2055000000,2130000000,2206000000,2230000000,3142000000,2561000000,2480000000
