,https://roic.ai/company/PXD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,264777000,451385000,655402000,692574000,522459000,516984000,807686000,1101188000,940013000,930196000,513418000,416968000,538000000,530000000,526000000,438000000,970000000,453000000,379000000,367000000
11,COGS and Expenses,- -,- -,- -,- -,- -,550241000,863671000,1182595000,1408645000,1184861000,1217051000,1638456000,1677931000,1418300000,1530945000,2147010000,2475641000,3201000000,3780000000,4320000000,4451000000,7573000000,7809000000,6575000000,11343000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61318000,102306000,61907000,101960000,28310000,321000,- -,3000000,22000000,32000000,29000000,73000000,5000000,5000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153577000,173361000,183084000,181660000,185168000,183657000,201000000,157000000,201000000,158000000,128000000,117000000,143000000,151000000
14,Depreciation and Amortization,212400000,337300000,236000000,214900000,222600000,210566000,370230000,542275000,519102000,201261000,241475000,387677000,- -,- -,- -,- -,- -,- -,1385000000,- -,- -,443000000,23000000,1639000000,2498000000
15,EBITDA,-678300000,-409100000,213500000,367081000,322596000,242342000,716419000,1021488000,1345398000,1077658000,726848000,966956000,73147000,1060609000,1213793000,469837000,-866532000,1687000000,1114000000,-758000000,467000000,1825000000,1127000000,1521000000,5395000000
16,EBITDA ratio,-1.2636,-0.5750,0.3312,0.4305,0.3809,0.3378,0.5517,0.5574,0.5669,0.6600,0.4175,0.4135,0.0427,0.5408,0.5291,0.1671,-0.2483,0.3901,0.3546,-0.1919,0.0882,0.1946,0.1165,0.2165,0.3019
17,Operating Income,536800000,711500000,644600000,852738000,847022000,167193000,434976000,650068000,964578000,448020000,523800000,699831000,33585000,542949000,763118000,664650000,1013877000,1124000000,-638000000,-369000000,843000000,1806000000,1862000000,449000000,2746000000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,0.2330,0.3349,0.3547,0.4064,0.2744,0.3009,0.2993,0.0196,0.2768,0.3326,0.2364,0.2905,0.2599,-0.2031,-0.0934,0.1592,0.1926,0.1925,0.0639,0.1537
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-113071000,-104200000,-170855000,-249119000,-139032000,-169176000,-273378000,-214040000,245534000,-106712000,-384593000,-1575596000,473000000,217000000,-590000000,-534000000,-555000000,-875000000,-710000000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,54122000,330776000,479213000,715459000,308988000,354624000,426453000,-180455000,788483000,656406000,280057000,-561719000,1597000000,-421000000,-959000000,309000000,1251000000,987000000,-261000000,2746000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.0754,0.2547,0.2615,0.3015,0.1892,0.2037,0.1824,-0.1054,0.4020,0.2861,0.0996,-0.1610,0.3692,-0.1340,-0.2427,0.0584,0.1334,0.1021,-0.0372,0.1537
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,5063000,-64403000,166359000,291728000,136666000,112645000,205639000,-48108000,272317000,197644000,92384000,-211775000,556000000,-155000000,-403000000,-524000000,276000000,231000000,-61000000,628000000
23,Net Income,-890700000,-746400000,-22500000,152181000,99996000,26713000,410592000,312854000,534568000,739731000,372728000,220063000,-52106000,605208000,834489000,192285000,-838414000,930000000,-273000000,-556000000,833000000,978000000,756000000,-200000000,2118000000
24,Net Income ratio,-1.6593,-1.0491,-0.0349,0.1785,0.1181,0.0372,0.3162,0.1707,0.2252,0.4530,0.2141,0.0941,-0.0304,0.3086,0.3638,0.0684,-0.2403,0.2150,-0.0869,-0.1407,0.1573,0.1043,0.0782,-0.0285,0.1185
25,EPS,-17.14,-7.46,-0.22,1.53,1.01,0.24,3.50,2.50,3.90,5.95,3.10,1.87,-0.46,5.14,7.01,1.54,-6.16,6.40,-1.83,-3.34,4.86,5.71,4.50,-1.21,8.72
26,EPS Diluted,-17.14,-7.46,-0.22,1.53,1.00,0.23,3.46,2.46,3.80,5.81,3.06,1.85,-0.46,5.08,6.88,1.50,-6.16,6.38,-1.83,-3.34,4.85,5.70,4.50,-1.21,8.72
27,Weighted Average Shares Outstanding,51973000,100055000,100307000,99378000,98529000,112542000,117185000,125156000,137110000,124359000,120158000,117462000,114176000,115062000,116904000,122966000,136130000,144000000,149000000,166000000,170000000,171000000,167000000,165000000,242883992
28,Weighted Average Shares Outstanding Diluted,51973000,100055000,100307000,99378000,99714000,114288000,118513000,127488000,141417000,127608000,121659000,118645000,114176000,116330000,119215000,126320000,136130000,144000000,149000000,166000000,170000000,171000000,167000000,165000000,242883992
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1038357/000103835798000005/0001038357-98-000005-index.html,https://www.sec.gov/Archives/edgar/data/1038357/000095013499001887/0000950134-99-001887-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038357/000103835703000009/0001038357-03-000009-index.html,https://www.sec.gov/Archives/edgar/data/1038357/000103835704000005/0001038357-04-000005-index.html,https://www.sec.gov/Archives/edgar/data/1038357/000103835705000076/0001038357-05-000076-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1038357/000103835708000005/0001038357-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835709000008/0001038357-09-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000119312510042964/0001193125-10-042964-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000119312511047441/0001193125-11-047441-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000119312512088998/0001193125-12-088998-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835713000009/0001038357-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835714000022/0001038357-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835715000010/0001038357-15-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038357/000103835717000012/0001038357-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835718000015/0001038357-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835719000010/0001038357-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835720000009/0001038357-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835721000016/0001038357-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835722000039/0001038357-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,72000000,59000000,35000000,26000000,14000000,8490000,19299000,7257000,18802000,7033000,12171000,48337000,27368000,111160000,537484000,229396000,392646000,1025000000,1391000000,1118000000,896000000,825000000,631000000,1442000000,3847000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1441000000,1218000000,615000000,187000000,123000000,193000000
33,Cash and Short-Term Investments,72000000,59000000,35000000,26000000,14000000,8490000,19299000,7257000,18802000,7033000,12171000,48337000,27368000,111160000,537484000,229396000,392646000,1025000000,1391000000,2559000000,2114000000,1440000000,818000000,1565000000,4040000000
34,Net Receivables,192000000,111000000,119000000,126000000,82000000,98222000,111480000,210279000,337658000,224064000,323878000,268126000,356770000,276204000,283816000,327600000,438269000,463000000,926000000,521000000,647000000,821000000,1042000000,699000000,1685000000
35,Inventory,14000000,15000000,14000000,15000000,15000000,10648000,17509000,40332000,79659000,95131000,97619000,76901000,139177000,173615000,241609000,197056000,220125000,241000000,155000000,181000000,212000000,242000000,205000000,224000000,369000000
36,Other Current Assets,30000000,17000000,15000000,24000000,145000000,29733000,56827000,54331000,187685000,210330000,331387000,93547000,92803000,636204000,416388000,296303000,677394000,630000000,722000000,37000000,37000000,77000000,126000000,107000000,79000000
37,Total Current Assets,308000000,202000000,183000000,191000000,256000000,147093000,205115000,312199000,623804000,536558000,765055000,486911000,616118000,1197183000,1479297000,1050355000,1728434000,2359000000,3194000000,3298000000,3010000000,2580000000,2191000000,2595000000,6173000000
38,PP&E,3560000000,3089000000,2546000000,2541000000,2806000000,3191213000,3515327000,5959763000,6325198000,6414484000,7375631000,8021268000,7721686000,7847328000,9173942000,11296044000,9850548000,11781000000,11545000000,12370000000,13525000000,14839000000,16357000000,16220000000,30224000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,309908000,310870000,310563000,309259000,298182000,298142000,298142000,274329000,272000000,272000000,272000000,270000000,264000000,261000000,261000000,243000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,315880000,311651000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,143000000,143000000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,315880000,311651000,309908000,310870000,310563000,309259000,298182000,298142000,298142000,274329000,272000000,272000000,272000000,270000000,264000000,261000000,261000000,243000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72045000,169532000,204129000,224850000,239000000,- -,420000000,66000000,125000000,- -,- -,- -
43,Tax Assets,12000000,64000000,44000000,29000000,14000000,76840000,192344000,2963000,- -,345000,10263000,553000,387000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,67000000,126000000,156000000,193000000,195000000,39970000,38786000,56436000,68581000,94104000,155162000,343883000,219815000,264364000,403248000,220360000,214627000,275000000,143000000,99000000,132000000,95000000,258000000,153000000,171000000
45,Total Non-Current Assets,3639000000,3279000000,2746000000,2763000000,3015000000,3308023000,3746457000,6335042000,6705430000,6818841000,7851926000,8676267000,8251147000,8481919000,10044864000,12018675000,10564354000,12567000000,11960000000,13161000000,13993000000,15323000000,16876000000,16634000000,30638000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3947000000,3481000000,2929000000,2954000000,3271000000,3455116000,3951572000,6647241000,7329234000,7355399000,8616981000,9163178000,8867265000,9679102000,11524161000,13069030000,12292788000,14926000000,15154000000,16459000000,17003000000,17903000000,19067000000,19229000000,36811000000
48,Accounts Payable,187000000,99000000,87000000,102000000,99000000,117582000,186418000,216051000,345204000,349820000,378416000,356972000,253583000,354890000,647455000,826877000,1060557000,1320000000,883000000,875000000,1282000000,1624000000,1411000000,1030000000,2559000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,448000000,485000000,449000000,- -,450000000,140000000,365000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,4000000,45000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,190327000,181232000,158138000,147905000,90215000,44951000,42069000,- -,- -,- -,- -,- -,- -,- -,- -,1366000000,- -
52,Other Current Liabilities,75000000,428000000,110000000,115000000,129000000,157010000,243334000,328408000,497824000,355927000,457615000,190120000,227393000,369379000,322274000,207913000,189549000,260000000,131000000,206000000,397000000,194000000,635000000,-630000000,1149000000
53,Total Current Liabilities,262000000,527000000,197000000,217000000,228000000,274592000,429752000,544459000,1033355000,886979000,994169000,694997000,571191000,769220000,1011798000,1034790000,1250106000,1580000000,1462000000,1566000000,2128000000,1818000000,2496000000,1906000000,4073000000
54,Long-Term Debt,1944000000,1869000000,1745000000,1579000000,1577000000,1668536000,1555461000,2385950000,2058412000,1497162000,2755491000,2964047000,2761011000,2601670000,2528905000,3721193000,2653059000,2665000000,3207000000,2728000000,2283000000,2284000000,1839000000,3160000000,6931000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177236000,87021000,42069000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,8760000,12121000,526189000,767329000,1172507000,1229677000,1477530000,1470899000,1751310000,2077164000,2140416000,1472717000,1803000000,1776000000,1397000000,899000000,1152000000,1389000000,1366000000,2038000000
57,Other Non-Current Liabilities,192000000,296000000,213000000,254000000,181000000,128331000,194466000,358863000,1253036000,814080000,594922000,207993000,334112000,288808000,255156000,305323000,302148000,289000000,334000000,357000000,414000000,538000000,1224000000,1228000000,932000000
58,Total Non-Current Liabilities,2136000000,2165000000,1958000000,1833000000,1758000000,1805627000,1762048000,3271002000,4078777000,3483749000,4580090000,4826806000,4653043000,4683857000,4861225000,6166932000,4427924000,4757000000,5317000000,4482000000,3596000000,3974000000,4452000000,5754000000,9901000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000000,210000000,364000000
61,Total Liabilities,2398000000,2692000000,2155000000,2050000000,1986000000,2080219000,2191800000,3815461000,5112132000,4370728000,5574259000,5521803000,5224234000,5453077000,5873023000,7201722000,5678030000,6337000000,6779000000,6048000000,5724000000,5792000000,6948000000,7660000000,13974000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000000,1000000,1000000,1000000,1000000,1196000,1197000,1456000,1470000,1227000,1234000,1246000,1252000,1262000,1331000,1350000,1458000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,-796000000,-1552000000,-1575000000,-1423000000,-1323000000,-1298440000,-887848000,-634146000,-184320000,497488000,822089000,998829000,917688000,1510427000,2335066000,2514640000,1665081000,2583000000,2298000000,1728000000,2547000000,3470000000,4025000000,3478000000,3960000000
65,Other Comprehensive Income/Loss,-605000000,-930000000,-752000000,12000000,-1095000000,-1303541000,-1676136000,-2243549000,-448000000,-115000000,-228000000,89000000,51000000,7000000,-3000000,-4412913000,-4903122000,-5431000000,- -,-8211000000,-9196000000,-8218000000,-8583000000,- -,- -
66,Other Total Stockholders Equity,2949000000,3270000000,3101000000,2315000000,3702000000,3975682000,4322559000,5708019000,2847952000,2600956000,2447399000,2493074000,2566248000,2601894000,3155397000,7586277000,9838167000,11427000000,- -,16885000000,17921000000,16857000000,16675000000,8089000000,- -
67,Total Stockholders Equity,1549000000,789000000,775000000,905000000,1285000000,1374897000,1759772000,2831780000,2217102000,2984671000,3042722000,3582149000,3536188000,4120583000,5488794000,5689354000,6601584000,8581000000,8368000000,10404000000,11274000000,12111000000,12119000000,11569000000,22837000000
68,Total Liabilities And Stockholders Equity,3947000000,3481000000,2930000000,2955000000,3271000000,3455116000,3951572000,6647241000,7329234000,7355399000,8616981000,9103952000,8760422000,9573660000,11361817000,12891076000,12279614000,14918000000,15147000000,16452000000,16998000000,17903000000,19067000000,19229000000,36811000000
69,Minority Interest,- -,- -,-1000000,-1000000,- -,- -,- -,- -,- -,- -,- -,59226000,106843000,105442000,162344000,177954000,13174000,8000000,7000000,7000000,5000000,- -,- -,- -,- -
70,Total Liabilities & Equity,3947000000,3481000000,2929000000,2954000000,3271000000,3455116000,3951572000,6647241000,7329234000,7355399000,8616981000,9163178000,8867265000,9679102000,11524161000,13069030000,12292788000,14926000000,15154000000,16459000000,17003000000,17903000000,19067000000,19229000000,36811000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1038357/000103835798000005/0001038357-98-000005-index.html,https://www.sec.gov/Archives/edgar/data/1038357/000095013499001887/0000950134-99-001887-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038357/000103835703000009/0001038357-03-000009-index.html,https://www.sec.gov/Archives/edgar/data/1038357/000103835704000005/0001038357-04-000005-index.html,https://www.sec.gov/Archives/edgar/data/1038357/000103835705000076/0001038357-05-000076-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1038357/000103835708000005/0001038357-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835709000008/0001038357-09-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000119312510042964/0001193125-10-042964-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000119312511047441/0001193125-11-047441-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000119312512088998/0001193125-12-088998-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835713000009/0001038357-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835714000022/0001038357-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835715000010/0001038357-15-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038357/000103835717000012/0001038357-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835718000015/0001038357-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835719000010/0001038357-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835720000009/0001038357-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835721000016/0001038357-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1038357/000103835722000039/0001038357-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-890700000,-746400000,-22500000,152181000,99996000,26713000,410592000,312854000,534568000,739731000,372728000,220063000,-52106000,605208000,834489000,192285000,-838414000,930000000,-273000000,-556000000,833000000,978000000,756000000,-200000000,2118000000
74,Depreciation and Amortization,212400000,337300000,236000000,214900000,222600000,210566000,370230000,542275000,519102000,201261000,241475000,387677000,- -,- -,- -,- -,- -,- -,- -,- -,- -,443000000,23000000,1639000000,- -
75,Deferred Income Tax,-501300000,18600000,- -,-10600000,-7600000,2788000,-75588000,141072000,236586000,154911000,123819000,156948000,-55712000,248146000,188579000,85459000,-222374000,552000000,-178000000,-379000000,-519000000,274000000,236000000,-52000000,583000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62567000,70999000,84000000,90000000,89000000,79000000,85000000,100000000,72000000,106000000
77,Change in Working Capital,20000000,-371000000,311000000,-12000000,54000000,-155499000,-97138000,-7623000,-177291000,59130000,121307000,21028000,253013000,383036000,39536000,-451934000,462763000,300672000,953000000,- -,-850000000,-120000000,-1067000000,994000000,-37000000
78,Accounts Receivable,-40000000,38000000,-82000000,-7000000,44000000,- -,- -,- -,- -,- -,- -,45446000,16293000,36653000,-17925000,-28206000,-122914000,-29000000,54000000,-134000000,-122000000,-52000000,-227000000,309000000,-607000000
79,Inventory,-10000000,-1000000,1000000,-1000000,- -,3023000,-7734000,-14025000,-36948000,-48060000,-10901000,-82403000,-46708000,-26281000,-137401000,33059000,-39062000,-37000000,8000000,-32000000,-35000000,-70000000,-20000000,-20000000,-125000000
80,Accounts Payable,-123000000,88000000,12000000,-15000000,3000000,- -,- -,- -,- -,- -,- -,65644000,-65862000,128927000,136296000,46038000,208692000,104000000,-258000000,58000000,134000000,321000000,-7000000,-179000000,1059000000
81,Other Working Capital,46000000,-325000000,-14000000,-26000000,28000000,-127499000,-224637000,-232260000,-409551000,-350421000,-229114000,-208086000,44927000,427963000,467499000,15565000,478328000,779000000,1732000000,1732000000,882000000,762000000,-305000000,689000000,- -
82,Other Non-Cash Items,1387800000,1075600000,-269300000,85619000,106604000,247677000,155583000,115969000,182345000,-400205000,-84014000,239512000,397864000,48633000,467110000,1949200000,2672305000,499328000,656000000,2344000000,2547000000,1582000000,3067000000,-370000000,3289000000
83,Cash Provided by Operating Activities,228200000,314100000,255200000,430100000,475600000,332245000,763679000,1104547000,1295310000,754828000,775315000,1025228000,543059000,1285023000,1529714000,1837577000,2145279000,2366000000,1248000000,1498000000,2090000000,3242000000,3115000000,2083000000,6059000000
84,CAPEX,-441400000,-538900000,-191500000,-297200000,-547300000,-626981000,-697998000,-652865000,-1162882000,-1499314000,-2203866000,-1444330000,-462585000,-1195772000,-2290211000,-2758073000,-2638799000,-3243000000,-2110000000,-1857000000,-2365000000,-3520000000,-2988000000,-1602000000,-3169000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-880365000,-965000,- -,- -,- -,- -,- -,- -,-297092000,25050000,- -,- -,-428000000,- -,- -,- -,- -,-826000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72864000,-89620000,- -,- -,- -,- -,-2741000000,-899000000,-669000000,- -,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,902000000,1465000000,1373000000,624000000,- -,- -
88,Other Investing Activites,100200000,21900000,390500000,102700000,124600000,118850000,35698000,1709000,1248581000,1644829000,420874000,292920000,51600000,313780000,819044000,-201245000,473945000,544000000,270000000,304000000,16000000,206000000,-83000000,-65000000,3126000000
89,Cash Used for Investing Activites,-341200000,-517000000,199000000,-194500000,-422700000,-508131000,-662300000,-1531521000,84734000,145515000,-1782992000,-1151410000,-410985000,-954856000,-1560787000,-3256410000,-2139804000,-2699000000,-1840000000,-3820000000,-1783000000,-2610000000,-2447000000,-1668000000,-869000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-815272000,-1175703000,-475252000,-294883000,-612001000,-1546771000,-523000000,- -,-455000000,-485000000,-450000000,- -,-907000000,-4658000000
91,Common Stock Issued,- -,- -,- -,- -,- -,250389000,33020000,35068000,41577000,17381000,13891000,165978000,60983000,- -,607136000,- -,1280916000,980000000,- -,2534000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,8600000,-10400000,300000,-23100000,-5500000,- -,-2349000,-92256000,-949259000,-348945000,-221424000,-181497000,-21921000,-14039000,-40355000,-63325000,-20102000,-34000000,-31000000,-25000000,-36000000,-179000000,-653000000,-176000000,-269000000
93,Dividends Paid,-5500000,-10100000,- -,- -,- -,- -,- -,-26557000,-30339000,-31726000,-32804000,-35917000,-29232000,-9488000,-9556000,-10021000,-11138000,-12000000,-12000000,-13000000,-14000000,-55000000,-127000000,-346000000,-1594000000
94,Other Financing Activites,162900000,211400000,-479400000,-221000000,-58500000,-79516000,-122391000,498003000,-433769000,-550253000,1251656000,1029056000,1012830000,252404000,195055000,1796092000,454870000,554000000,1001000000,8000000,6000000,-19000000,-8000000,1810000000,3714000000
95,Cash Used/Provided by Financing Activities,166000000,190900000,-479100000,-244100000,-64000000,170873000,-91720000,414258000,-1371790000,-913543000,1011319000,162348000,-153043000,-246375000,457397000,1110745000,157775000,965000000,958000000,2049000000,-529000000,-703000000,-788000000,381000000,-2807000000
96,Effect of Forex Changes on Cash,- -,-500000,400000,-200000,-600000,-831000,1150000,674000,3291000,1431000,1496000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,53000000,-12500000,-24400000,-8600000,-11800000,-5844000,10809000,-12042000,11545000,-11769000,5138000,36166000,-20969000,83792000,426324000,-308088000,163250000,632000000,366000000,-273000000,-222000000,-71000000,-120000000,796000000,2383000000
98,Cash at the End of Period,72000000,59500000,34600000,26400000,14200000,8490000,19299000,7257000,18802000,7033000,12171000,48337000,27368000,111160000,537484000,229396000,392646000,1025000000,1391000000,1118000000,896000000,825000000,705000000,1501000000,3884000000
99,Cash at the Beginning of Period,19000000,72000000,59000000,35000000,26000000,14334000,8490000,19299000,7257000,18802000,7033000,12171000,48337000,27368000,111160000,537484000,229396000,393000000,1025000000,1391000000,1118000000,896000000,825000000,705000000,1501000000
100,Free Cash Flow,-213200000,-224800000,63700000,132900000,-71700000,-294736000,65681000,451682000,132428000,-744486000,-1428551000,-419102000,80474000,89251000,-760497000,-920496000,-493520000,-877000000,-862000000,-359000000,-275000000,-278000000,127000000,481000000,2890000000
