,https://roic.ai/company/VTR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2315593000,2529778000,2788802000,37969000,100657000,64029000,63266000,69492000,66643000,68496000,100609000,154552000,246118000,270055000,245821000,265221000,365125000,824782000,837065000,948657000,1022092000,1025799000,1023438000,1071621000,1211616000,1264159000,1318079000
11,COGS and Expenses,2315593000,2529778000,2788802000,37969000,100657000,64029000,63266000,69492000,66643000,68496000,100609000,154552000,444243000,576999000,548634000,590692000,1043768000,1804007000,1955012000,2160847000,2432297000,2467872000,2509901000,2762919000,3022143000,3203917000,3406576000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2994000,- -,842000,- -,- -,1106000,2047000,4267000,1052000,876000,6034000,24892000,10984000,7609000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204218000,203184000,178503000,178863000,236807000,293401000,334484000,376842000,367114000,419740000,448196000,442497000,451662000,469541000,440089000
14,Depreciation and Amortization,89478000,99533000,123865000,29049000,42803000,43603000,40365000,41249000,39510000,54340000,88002000,119653000,237501000,236063000,207607000,214707000,459704000,764775000,769881000,828467000,973663000,898924000,887948000,919639000,1045620000,1109763000,1197403000
15,EBITDA,98590000,182713000,344136000,76958000,85338000,-21849000,93616000,104755000,202263000,175240000,218585000,251083000,695995000,649650000,650886000,644938000,1029867000,1414694000,1546046000,1672344000,1719336000,1936552000,2632815000,1731650000,1873988000,1921919000,1691327000
16,EBITDA ratio,0.0424,0.0709,0.1104,0.5133,0.3659,-0.0902,0.4576,0.5326,0.9866,0.7524,0.6732,0.6000,0.9018,0.6987,0.6953,0.6342,0.5835,0.5695,0.5506,0.5445,0.5233,0.5625,0.7379,0.4654,0.4853,0.5064,0.4418
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),24001000,35175000,-102736000,-56004000,-90053000,-239538000,-87032000,-76524000,-41626000,-64242000,-1551000,-1273000,-207197000,-184154000,-191568000,-199042000,-390782000,-381920000,-374512000,-462254000,-502794000,-451908000,-474064000,-581961000,-456636000,-246789000,-360045000
20,Income Before Tax,32364000,83180000,224466000,55960000,42535000,-61245000,54283000,50688000,96734000,100173000,- -,- -,120351000,168613000,195892000,227133000,330441000,298266000,478482000,448378000,350255000,522866000,584150000,376038000,382987000,344651000,61386000
21,Income Before Tax Ratio,0.0139,0.0323,0.0720,0.3732,0.1824,-0.2527,0.2653,0.2577,0.4719,0.4301,- -,- -,0.1559,0.1813,0.2093,0.2234,0.1872,0.1201,0.1704,0.1460,0.1066,0.1519,0.1637,0.1011,0.0992,0.0908,0.0160
22,Income Tax expense (Gain),24001000,35175000,89338000,21151000,- -,- -,2685000,-2200000,- -,- -,- -,- -,-28042000,-15885000,-1719000,5201000,-31137000,-6282000,-11828000,-8732000,-39284000,-31343000,-59799000,-39953000,-56310000,-96534000,4827000
23,Net Income,-14889000,48005000,130933000,26758000,42535000,-65452000,50566000,65706000,162753000,120900000,130583000,131430000,282318000,226288000,266495000,246167000,364493000,362800000,453509000,475767000,417843000,649231000,1356470000,409467000,433016000,439149000,49008000
24,Net Income ratio,-0.0064,0.0186,0.0420,0.1785,0.1824,-0.2701,0.2472,0.3340,0.7939,0.5191,0.4021,0.3141,0.3658,0.2434,0.2847,0.2421,0.2065,0.1460,0.1615,0.1549,0.1272,0.1886,0.3802,0.1100,0.1121,0.1157,0.0128
25,EPS,-0.16,0.68,1.90,0.39,0.63,-0.96,0.74,0.95,2.05,1.45,1.37,1.26,2.26,1.62,1.75,1.57,1.60,1.24,1.55,1.62,1.26,1.88,3.82,1.15,1.18,1.18,0.13
26,EPS Diluted,-0.16,0.68,1.86,0.39,0.63,-0.96,0.73,0.93,2.03,1.43,1.36,1.25,2.25,1.62,1.74,1.56,1.58,1.23,1.54,1.60,1.25,1.86,3.78,1.14,1.17,1.17,0.13
27,Weighted Average Shares Outstanding,62318000,70702000,68938000,68610256,67754000,68010000,68409000,69336000,79340000,83491000,95037000,104206000,122597000,139572000,152566000,156608000,228453000,292064000,292654000,294175000,330311000,344703000,355326000,356265000,365977000,373368000,373368000
28,Weighted Average Shares Outstanding Diluted,71967000,70702000,70359000,68610256,67989000,68131000,69363000,70290000,80094000,84352000,95775000,104731000,123012000,139912000,152758000,157657000,230790000,294488000,295110000,296677000,334007000,348390000,358566000,359301000,369886000,376503000,376503000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/740260/000093066103000809/0000930661-03-000809-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312504031291/0001193125-04-031291-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312505039956/0001193125-05-039956-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312506041443/0001193125-06-041443-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312507036220/0001193125-07-036220-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312508042265/0001193125-08-042265-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312509040636/0001193125-09-040636-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312510035246/0001193125-10-035246-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000095012311015746/0000950123-11-015746-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000104746912001287/0001047469-12-001287-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026013000047/0000740260-13-000047-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026014000063/0000740260-14-000063-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026015000062/0000740260-15-000062-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026016000201/0000740260-16-000201-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026017000056/0000740260-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026018000054/0000740260-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026019000037/0000740260-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026020000042/0000740260-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026021000048/0000740260-21-000048-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026022000057/0000740260-22-000057-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,338000,139594000,87401000,18596000,2455000,82104000,3365000,1641000,1246000,28334000,176812000,107397000,21812000,45807000,67908000,94816000,55348000,53023000,286707000,81355000,72277000,106363000,413327000,149725000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,72204000,16713000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,- -,- -,- -,- -,- -,- -,237360000,237553000,- -
33,Cash and Short-Term Investments,- -,- -,- -,338000,139594000,87401000,90800000,19168000,82104000,3365000,1641000,1246000,28334000,176812000,107397000,21812000,45807000,73308000,94816000,55348000,53023000,286707000,81355000,72277000,343723000,650880000,149725000
34,Net Receivables,- -,- -,- -,10994000,3611000,3422000,3635000,4139000,3772000,3216000,2841000,2466000,2092000,- -,- -,- -,- -,755327000,527058000,954610000,1050423000,944096000,1619130000,743678000,1047169000,832355000,726027000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,93078000,51490000,143377000,219282000,235155000,51985000,55866000,39832000,38940000,76590000,217469000,239997000,282234000,170956000,135608000,207222000,64641000,131172000,47921000,75271000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,116385000,137366000,149958000,223764000,238867000,82411000,232678000,147229000,60752000,122397000,1046104000,861871000,1292192000,1274402000,1366411000,1907707000,880596000,1522064000,1531156000,951023000
38,PP&E,- -,- -,- -,939471000,894791000,848545000,806336000,828802000,681290000,1071132000,2526474000,3083900000,- -,5172939000,5114710000,5279519000,15913732000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515429000,476483000,472052000,1047497000,1033225000,1034641000,1050548000,1051161000,1051650000,1046140000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,981704000,1010181000,1039651000,1357646000,1518819000,1544491000,1508578000,1311301000,1235545000,1377017000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1497133000,1486664000,1511703000,2405143000,2552044000,2579132000,2559126000,2362462000,2287195000,2423157000
42,Investments,- -,- -,- -,- -,- -,- -,- -,16713000,- -,- -,- -,- -,5474013000,- -,- -,15332000,105303000,95409000,91656000,231033000,159386000,179401000,228042000,161576000,104323000,507456000,597067000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47495000,9987000,11152000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160204000,364367000,354306000,402418000,1130478000,16341354000,17291303000,18191243000,18422987000,19068744000,19239660000,18983257000,20655864000,19593610000,20735387000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5634217000,5537306000,5469016000,5697269000,17149513000,17933896000,18869623000,19933979000,20987516000,21800189000,22046834000,21703959000,23170144000,22398248000,23766763000
46,Other Assets,- -,- -,- -,959706000,1071199000,981145000,941859000,779395000,675484000,976977000,2415354000,3014933000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,959706000,1071199000,981145000,941859000,895780000,812850000,1126935000,2639118000,3253800000,5716628000,5769984000,5616245000,5758021000,17271910000,18980000000,19731494000,21226171000,22261918000,23166600000,23954541000,22584555000,24692208000,23929404000,24717786000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,14562000,18718000,60542000,72456000,173576000,168198000,186130000,207143000,1085597000,995156000,1001515000,1005232000,779380000,907928000,1182552000,1086030000,1145700000,1133066000,1090254000
49,Short-Term Debt,- -,- -,- -,400000000,400000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540727000,376343000,919099000,180683000,146538000,538700000,856407000,848729000,193493000,336448000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9065000,7057000,4315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,-362000000,-311000000,213000000,185000000,241000000,101438000,105282000,108458000,142544000,20790000,21931000,17974000,260629000,298416000,47565000,54349000,62097000,115204000,85224000,155160000,99872000,116578000,114690000,117452000
53,Total Current Liabilities,- -,- -,- -,38000000,89000000,213000000,185000000,241000000,116000000,124000000,169000000,215000000,203431000,197186000,208419000,467772000,1384013000,1583448000,1432207000,1986428000,1075267000,1139690000,1876412000,2042309000,2111007000,1441249000,1544154000
54,Long-Term Debt,- -,- -,- -,931127000,974247000,886385000,848368000,707709000,640562000,843178000,1802564000,2329053000,3360499000,3147694000,2670101000,2900044000,6429116000,7730507000,8988649000,9968993000,11026313000,10980788000,10737362000,9877292000,11310044000,11911836000,11888330000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,21027000,18883000,15308000,12887000,10540000,8194000,- -,7057000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,31506000,30506000,30506000,30394000,30394000,30394000,- -,- -,30394000,297590000,257499000,253665000,- -,- -,259715000,250167000,344337000,338382000,316641000,250092000,205219000,200831000,62638000,59259000
57,Other Non-Current Liabilities,- -,- -,- -,-31633000,-30753000,-30891000,-51789000,-48986000,-45264000,-13065000,-10104000,-38641000,- -,-7057000,- -,- -,102837000,316967000,156660000,172016000,196529000,200728000,158490000,188141000,524874000,235490000,280283000
58,Total Non-Current Liabilities,- -,- -,- -,931000000,974000000,886000000,848000000,708000000,641000000,843000000,1803000000,2329000000,3658089000,3405193000,2923766000,2900044000,6531953000,8307189000,9395476000,10485346000,11561224000,11498157000,11145944000,10270652000,12035749000,12209964000,12227872000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1416407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142412000,- -,- -,- -,- -,- -,- -,251196000,209917000,197234000
61,Total Liabilities,- -,- -,- -,968715000,1062854000,1098659000,1032933000,949407000,756535000,966711000,1971799000,2543924000,3861520000,3602379000,3132185000,3367816000,7915966000,9890637000,10827683000,12471774000,12636491000,12637847000,13022356000,12312961000,14146756000,13651213000,13772026000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,18402000,18402000,18402000,18402000,20652000,20652000,21283000,25927000,26545000,33416000,35825000,39160000,39391000,72240000,73904000,74488000,74656000,83579000,88514000,89029000,89125000,93185000,93635000,99838000
64,Retained Earnings,- -,- -,- -,-9637000,6409000,-121323000,-134088000,-134279000,-56790000,-45297000,-50402000,-84176000,-47846000,-110407000,-165710000,-255628000,-412181000,-777927000,-1126541000,-1526388000,-2111958000,-2487695000,-2240698000,-2930214000,-3669050000,-4030376000,-4679889000
65,Other Comprehensive Income/Loss,- -,- -,- -,-246509000,-287756000,-327598000,-369502000,-26909000,-19042000,-9747000,-856000,1037000,17416000,-21089000,19669000,26868000,22062000,23354000,19659000,13121000,-7565000,-57534000,-35120000,-19582000,-34564000,-54354000,-64520000
66,Other Total Stockholders Equity,- -,- -,- -,228735000,271290000,313005000,394114000,86909000,111495000,193985000,692650000,766470000,1820668000,2244139000,2572392000,2576095000,9592836000,9699797000,9856675000,10118795000,11600271000,12916955000,13053015000,13076528000,14056321000,14171262000,15498956000
67,Total Stockholders Equity,- -,- -,- -,-9009000,8345000,-117514000,-91074000,-53627000,56315000,160224000,667319000,709876000,1823654000,2148468000,2465511000,2386726000,9274957000,9019128000,8824281000,8680184000,9564327000,10460240000,10866226000,10215857000,10445892000,10180167000,10854385000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,959706000,1071199000,981145000,941859000,895780000,812850000,1126935000,2639118000,3253800000,5685174000,5750847000,5597696000,5754542000,17190923000,18909765000,19651964000,21151958000,22200818000,23098087000,23888582000,22528818000,24592648000,23831380000,24626411000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31454000,19137000,18549000,3479000,80987000,70235000,79530000,74213000,61100000,68513000,65959000,55737000,99560000,98024000,91375000
70,Total Liabilities & Equity,- -,- -,- -,959706000,1071199000,981145000,941859000,895780000,812850000,1126935000,2639118000,3253800000,5716628000,5769984000,5616245000,5758021000,17271910000,18980000000,19731494000,21226171000,22261918000,23166600000,23954541000,22584555000,24692208000,23929404000,24717786000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/740260/000093066103000809/0000930661-03-000809-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312504031291/0001193125-04-031291-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312505039956/0001193125-05-039956-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312506041443/0001193125-06-041443-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312507036220/0001193125-07-036220-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312508042265/0001193125-08-042265-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312509040636/0001193125-09-040636-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000119312510035246/0001193125-10-035246-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000095012311015746/0000950123-11-015746-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000104746912001287/0001047469-12-001287-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026013000047/0000740260-13-000047-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026014000063/0000740260-14-000063-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026015000062/0000740260-15-000062-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026016000201/0000740260-16-000201-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026017000056/0000740260-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026018000054/0000740260-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026019000037/0000740260-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026020000042/0000740260-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026021000048/0000740260-21-000048-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026022000057/0000740260-22-000057-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-14889000,48005000,130933000,26758000,42535000,-65452000,50566000,65706000,162753000,120900000,130583000,131430000,282318000,226288000,266495000,246167000,364493000,362800000,453509000,475767000,417843000,649231000,1356470000,409467000,433016000,439149000,49008000
74,Depreciation and Amortization,89478000,99533000,123865000,29049000,42803000,43603000,40365000,41249000,39510000,54340000,88002000,119653000,237501000,236063000,207607000,214707000,459704000,764775000,769881000,828467000,973663000,898924000,887948000,919639000,1045620000,1109763000,1197403000
75,Deferred Income Tax,-23570000,-34814000,53164000,21151000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31137000,-6286000,-11828000,-9431000,-42384000,-34227000,-63599000,-43026000,-58918000,-101985000,-1224000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7493000,9976000,11882000,14078000,19346000,20784000,20653000,20994000,19537000,20958000,26543000,29963000,33923000,21487000,31966000
77,Change in Working Capital,-92448000,- -,22850000,-60850000,-51000000,-124000000,28000000,60385000,145981000,4592000,28806000,-30897000,-144887000,156512000,-96682000,-345830000,-854596000,724272000,-32992000,-123900000,893371000,27586000,-195426000,-1193008000,572770000,678850000,-43772000
78,Accounts Receivable,- -,- -,- -,-100000,-27000000,-3515000,4720000,-518000,10486000,-9067000,4724000,-41684000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-3478000,1284000,-2309000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,5500000,29400000,7840000,-5482000,16450000,-4271000,8898000,19637000,46931000,- -,-12600000,- -,3188000,-20117000,-24572000,17689000,-18580000,-9308000,-43583000,-35259000,-37509000,26666000,189785000,16721000
81,Other Working Capital,- -,- -,22850000,-38000000,-89000000,-213000000,-185000000,-124615000,21366000,25958000,54764000,23867000,-121020000,35492000,-61190000,-407020000,-1261616000,-537344000,-570336000,-694236000,199135000,226721000,31295000,-1161713000,-588943000,89907000,- -
82,Other Non-Cash Items,155066000,70815000,-59881000,70649000,69242000,231187000,-39038000,-50955000,-210878000,-29874000,-23627000,18681000,17385000,-264664000,32799000,318500000,815387000,-873529000,-4468000,62948000,-870263000,-195015000,-569756000,1258432000,-588628000,-697088000,-207265000
83,Cash Provided by Operating Activities,113637000,183539000,270931000,86757000,103580000,85338000,79893000,116385000,137366000,149958000,223764000,238867000,399810000,364175000,422101000,447622000,773197000,992816000,1194755000,1254845000,1391767000,1367457000,1442180000,1381467000,1437783000,1450176000,1026116000
84,CAPEX,-136893000,-135027000,-281672000,-14581000,-299000,- -,-1117000,-308000,-258000,-323931000,-589552000,-490679000,-1354726000,-70160000,-59513000,-294296000,-629669000,-183432000,-177355000,-194442000,-227161000,-261103000,-431643000,-462734000,-560647000,-528647000,-432969000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3934000,-14331000,-9115000,-56986000,- -,-61220000,-47007000,-3855000,-286822000,-129291000
86,Purchases of Investments,-12779000,-445000,-4513000,- -,- -,- -,- -,-71881000,- -,- -,-47333000,-196598000,- -,-172506000,-13803000,-38725000,-628133000,-276419000,- -,-96689000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,4715000,78151000,8687000,- -,- -,- -,6120000,6950000,205000,3580000,30394000,195411000,23576000,- -,5000000,19291000,243229000,37500000,5493000,21689000,76800000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-66685000,-23665000,-956162000,13673000,670000,5359000,-2243000,31099000,159754000,21656000,-8550000,9892000,151402000,90051000,52772000,-8045000,-80930000,-1926836000,-1273922000,-1970925000,-2443506000,-1234643000,-915297000,371503000,-1581444000,441117000,-594849000
89,Cash Used for Investing Activites,-211642000,-80986000,-1233660000,-908000,371000,5359000,2760000,-34140000,159701000,-298695000,-615041000,-481974000,-1173376000,-136256000,-1746000,-301920000,-997439000,-2169689000,-1282760000,-2055040000,-2423692000,-1234643000,-976517000,324496000,-1585299000,154295000,-724140000
90,Debt Repayment,-474896000,-33086000,-152568000,-66635000,-132958000,-100478000,-269949000,-135018000,-104553000,-72361000,-241267000,-20960000,-1426769000,-416896000,-818046000,-527454000,-1409002000,-1193023000,-1956521000,-1151395000,-2159053000,-1057750000,-1369084000,-3144116000,-3193807000,-568407000,-2109617000
91,Common Stock Issued,73014000,54489000,13832000,155000,4000,22000,503000,97155000,22604000,81882000,108783000,7465000,1045713000,408540000,299201000,- -,299847000,342469000,141343000,242107000,491023000,1286680000,73596000,- -,942085000,55362000,617438000
92,Common Stock Repurchased,-91268000,-55305000,-81651000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1370000,-2203000,-575000,-96000
93,Dividends Paid,-2779000,- -,- -,- -,-26489000,-42434000,-65266000,-50125000,-80247000,-103523000,-125843000,-160598000,-286188000,-288849000,-324268000,-344167000,-523602000,-732992000,-807163000,-881376000,-1018508000,-1033608000,-832962000,-1134602000,-1166938000,-936092000,-693649000
94,Other Financing Activites,590098000,8633000,1153123000,-19031000,194748000,- -,183254000,-10398000,-55222000,164000000,647880000,416805000,1472893000,216958000,352933000,640169000,1881039000,2782460000,2737337000,2548721000,3716660000,906400000,1457123000,2518151000,3581537000,149691000,1627458000
95,Cash Used/Provided by Financing Activities,94169000,-25269000,932736000,-85511000,35305000,-142890000,-151458000,-98386000,-217418000,69998000,389553000,242712000,805649000,-80247000,-490180000,-231452000,248282000,1198914000,114996000,758057000,1030122000,101722000,-671327000,-1761937000,160674000,-1300021000,-558466000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4995000,806000,410000,165000,-45000,60000,-83000,2670000,-522000,-852000,312000,-815000,1480000,1088000,1447000
97,Net Change In Cash,-3836000,77284000,-29993000,-85511000,139256000,-52193000,-68805000,-16141000,79649000,-78739000,-1724000,-395000,27088000,148478000,-69415000,-85585000,23995000,22101000,26908000,-39468000,-2325000,233684000,-205352000,-56789000,14638000,305538000,-255043000
98,Cash at the End of Period,35182000,112466000,82473000,338000,139594000,87401000,18596000,2455000,82104000,3365000,1641000,1246000,28334000,176812000,107397000,21812000,45807000,67908000,94816000,55348000,53023000,286707000,81355000,131464000,146102000,451640000,196597000
99,Cash at the Beginning of Period,39018000,35182000,112466000,- -,338000,139594000,87401000,18596000,2455000,82104000,3365000,1641000,1246000,28334000,176812000,107397000,21812000,45807000,67908000,94816000,55348000,53023000,286707000,188253000,131464000,146102000,451640000
100,Free Cash Flow,-23256000,48512000,-10741000,72176000,103281000,85338000,78776000,116077000,137108000,-173973000,-365788000,-251812000,-954916000,294015000,362588000,153326000,143528000,809384000,1017400000,1060403000,1164606000,1106354000,1010537000,918733000,877136000,921529000,593147000
