,https://roic.ai/company/SEM,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,0.0641,0.1393,0.0973,0.0912,0.1053,0.0988,0.1108,0.1142,0.1013,0.0928,0.0734,0.0700,0.0801,0.0821,0.0865,0.1026,0.1150
19,Total Other Income Expenses (Gains),- -,-161077000,-131952000,-139756000,-144511000,-119434000,-112145000,-126989000,-93309000,-103635000,-80679000,-66358000,-119113000,-153417000,-181727000,-207132000,-111184000,-84052000
20,Income Before Tax,- -,-41976000,125922000,54129000,51897000,116404000,123992000,183730000,243550000,197801000,203797000,208432000,180734000,202461000,235552000,264749000,456473000,629722000
21,Income Before Tax Ratio,- -,-0.0226,0.0680,0.0272,0.0241,0.0520,0.0519,0.0655,0.0826,0.0665,0.0665,0.0557,0.0422,0.0456,0.0464,0.0485,0.0825,0.1015
22,Income Tax expense (Gain),- -,-10458000,43521000,18699000,26063000,37516000,41628000,70968000,89657000,74792000,75622000,72436000,55464000,-18184000,58610000,63718000,111867000,129773000
23,Net Income,- -,-27924000,94879000,35430000,22441000,75282000,77644000,107846000,148230000,114390000,120627000,130736000,115411000,177184000,137840000,148449000,258995000,402225000
24,Net Income ratio,- -,-0.0150,0.0512,0.0178,0.0104,0.0336,0.0325,0.0385,0.0503,0.0384,0.0394,0.0349,0.0269,0.0399,0.0271,0.0272,0.0468,0.0648
25,EPS,- -,-0.85,1.19,0.19,-0.01,0.61,0.49,0.71,1.05,0.82,0.91,1.00,0.88,1.33,1.02,1.07,1.93,3.83
26,EPS Diluted,- -,-0.85,1.18,0.19,-0.01,0.61,0.48,0.71,1.05,0.82,0.91,0.99,0.87,0.87,1.02,1.07,1.93,3.83
27,Weighted Average Shares Outstanding,- -,60509000,60509000,60509000,198554000,85587000,159184000,150501000,138767000,136879000,129026000,127478000,127813000,128955000,135265864,134328112,129780000,130594000
28,Weighted Average Shares Outstanding Diluted,- -,60991000,60991000,60991000,198554000,86045000,159442000,150725000,139042000,137047000,129465000,127752000,127968000,129126000,135265864,134328112,129780000,130594000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1320414/000089322007001117/w32643e10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1035688/000095012310025544/0000950123-10-025544-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000095012311023720/w81669e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035688/000119312512094194/0001193125-12-094194-index.html,https://www.sec.gov/Archives/edgar/data/1035688/000104746913001696/0001047469-13-001696-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000104746914001304/a2218369z10-k.htm,https://www.sec.gov/Archives/edgar/data/1320414/000104746915001194/a2223150z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035688/000104746916010467/0001047469-16-010467-index.html,https://www.sec.gov/Archives/edgar/data/1035688/000104746917000890/0001047469-17-000890-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828018002017/0001628280-18-002017-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828019001659/0001628280-19-001659-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828020001905/0001628280-20-001905-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828021003313/0001628280-21-003313-index.htm,https://www.sec.gov/Archives/edgar/data/1320414/000162828022003840/0001628280-22-003840-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,35861000,81600000,4529000,64260000,83680000,4365000,12043000,40144000,4319000,3354000,14435000,99029000,122549000,175178000,335882000,577061000,74310000
32,Short-Term Investments,- -,13876000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,49737000,81600000,4529000,64260000,83680000,4365000,12043000,40144000,4319000,3354000,14435000,99029000,122549000,175178000,335882000,577061000,74310000
34,Net Receivables,- -,256798000,199927000,271406000,312418000,307079000,353432000,413743000,359929000,391319000,444269000,603558000,573752000,691732000,706676000,762677000,896763000,889303000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,89315000,63710000,79657000,90184000,83954000,71529000,57624000,53590000,58764000,80021000,131161000,135287000,106545000,110670000,114433000,120176000,175826000
37,Total Current Assets,- -,395850000,345237000,355592000,466862000,474713000,429326000,483410000,453663000,454402000,527644000,749154000,808068000,920826000,992524000,1212992000,1594000000,1139439000
38,PP&E,- -,248541000,356336000,487026000,471065000,466131000,532100000,510028000,501552000,509102000,542310000,864124000,892217000,912591000,979810000,2002392000,1975637000,2040221000
39,Goodwill,- -,1305210000,1323572000,1499485000,1506661000,1548269000,1631252000,1631716000,1640534000,1642633000,1642083000,2314624000,2751000000,2782812000,3320726000,3391955000,3379014000,3448912000
40,Intangible Assets,- -,86789000,79230000,79172000,74078000,65297000,80119000,72123000,71745000,71907000,72519000,318675000,340562000,326519000,437693000,409068000,387541000,374879000
41,Intangible Assets,- -,1391999000,1402802000,1578657000,1580739000,1613566000,1711371000,1703839000,1712279000,1714540000,1714602000,2633299000,3091562000,3109331000,3758419000,3801023000,3766555000,3823791000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,131995000,78149000,73771000,60803000,47823000,49289000,74870000,93867000,139578000,140253000,180089000,152548000,184418000,233512000,323881000,319207000,356720000
45,Total Non-Current Assets,- -,1772535000,1837287000,2139454000,2112607000,2127520000,2292760000,2288737000,2307698000,2363220000,2397165000,3677512000,4136327000,4206340000,4971741000,6127296000,6061399000,6220732000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2168385000,2182524000,2495046000,2579469000,2602233000,2722086000,2772147000,2761361000,2817622000,2924809000,4426666000,4944395000,5127166000,5964265000,7340288000,7655399000,7360171000
48,Accounts Payable,- -,60528000,72597000,73847000,72496000,73434000,74193000,95618000,89547000,88285000,108532000,137409000,126558000,128194000,146693000,145731000,177087000,233844000
49,Short-Term Debt,- -,51613000,43401000,28873000,30176000,4145000,168171000,27457000,29482000,30071000,32620000,262185000,53018000,51650000,68948000,25167000,233034000,289259000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7956000,1437000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404414000,83883000
52,Other Current Liabilities,- -,206153000,201335000,238142000,245820000,226362000,257194000,260863000,269434000,253168000,253272000,338095000,392059000,425559000,489545000,743382000,623831000,666091000
53,Total Current Liabilities,- -,318294000,317333000,340862000,348492000,303941000,499558000,383938000,388463000,371524000,394424000,737689000,571635000,605403000,705186000,914280000,1438366000,1273077000
54,Long-Term Debt,- -,1622373000,1532294000,1747886000,1770879000,1401426000,1281390000,1385950000,1458597000,1427710000,1542102000,2190314000,2685333000,2677715000,3249516000,3419943000,4264765000,4472925000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,19438000,32075000,22966000,42918000,66768000,59074000,82028000,89510000,96287000,109203000,218705000,222847000,124917000,153895000,148258000,132421000,142792000
57,Other Non-Current Liabilities,- -,448582000,467395000,543460000,583581000,60543000,66650000,64905000,79313000,103459000,103840000,371441000,558679000,786527000,939428000,1928772000,566874000,145475000
58,Total Non-Current Liabilities,- -,2090393000,2031764000,2314312000,2397378000,1528737000,1407114000,1532883000,1627420000,1627456000,1755145000,2780460000,3466859000,3589159000,4342839000,5496973000,4964060000,4761192000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060847000,1095780000,1145874000
61,Total Liabilities,- -,2408687000,2349097000,2655174000,2745870000,1832678000,1906672000,1916821000,2015883000,1998980000,2149569000,3518149000,4038494000,4194562000,5048025000,6411253000,6402426000,6034269000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,205000,205000,205000,205000,160000,155000,145000,141000,140000,131000,131000,132000,134000,135000,134000,135000,134000
64,Retained Earnings,- -,48808000,121024000,130716000,128185000,169094000,248097000,328882000,243210000,311365000,325678000,434616000,371685000,359735000,320351000,279800000,553244000,593251000
65,Other Comprehensive Income/Loss,- -,-24305000,5000000,-6000000,-13000000,-9000000,-226141000,-276375000,-316672000,-357193000,-395350000,-448723000,-512751000,-630664000,-764581000,-917295000,-2027000,12282000
66,Other Total Stockholders Equity,- -,-269366000,-295368000,-290810000,-289594000,578734000,761769000,770203000,790369000,831922000,809056000,873229000,956659000,1094163000,1247137000,1408333000,- -,- -
67,Total Stockholders Equity,- -,-244658000,-169139000,-165889000,-174204000,738988000,783880000,822855000,717048000,786234000,739515000,859253000,815725000,823368000,803042000,770972000,1060480000,1109981000
68,Total Liabilities And Stockholders Equity,- -,2164029000,2179958000,2489285000,2571666000,2571666000,2690552000,2739676000,2732931000,2785214000,2889084000,4377402000,4854219000,5017930000,5851067000,7182225000,7462906000,7144250000
69,Minority Interest,- -,4356000,2566000,5761000,7803000,30567000,31534000,32471000,28430000,32408000,35725000,49264000,90176000,109236000,113198000,158063000,192493000,215921000
70,Total Liabilities & Equity,- -,2168385000,2182524000,2495046000,2579469000,2602233000,2722086000,2772147000,2761361000,2817622000,2924809000,4426666000,4944395000,5127166000,5964265000,7340288000,7655399000,7360171000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1320414/000089322007001117/w32643e10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1035688/000095012310025544/0000950123-10-025544-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000095012311023720/w81669e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035688/000119312512094194/0001193125-12-094194-index.html,https://www.sec.gov/Archives/edgar/data/1035688/000104746913001696/0001047469-13-001696-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000104746914001304/a2218369z10-k.htm,https://www.sec.gov/Archives/edgar/data/1320414/000104746915001194/a2223150z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035688/000104746916010467/0001047469-16-010467-index.html,https://www.sec.gov/Archives/edgar/data/1035688/000104746917000890/0001047469-17-000890-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828018002017/0001628280-18-002017-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828019001659/0001628280-19-001659-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828020001905/0001628280-20-001905-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828021003313/0001628280-21-003313-index.htm,https://www.sec.gov/Archives/edgar/data/1320414/000162828022003840/0001628280-22-003840-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-27924000,94879000,35430000,22441000,75282000,77644000,107846000,148230000,114390000,120627000,130736000,115411000,177184000,137840000,148449000,258995000,402225000
74,Depreciation and Amortization,- -,46118000,48020000,58622000,71786000,70981000,68706000,71517000,63311000,64392000,68354000,104981000,145311000,160011000,201655000,212576000,205659000,202645000
75,Deferred Income Tax,- -,- -,- -,2460000,21756000,27103000,9450000,35305000,7909000,7032000,14311000,-2058000,-12591000,-72324000,7217000,-7435000,-14715000,5055000
76,Stock Based Compensation,- -,- -,- -,3746000,2093000,5147000,2236000,3725000,5677000,7033000,11186000,14985000,17413000,19284000,23326000,26451000,27250000,30940000
77,Change in Working Capital,- -,-8830000,-49652000,-13174000,103640000,52402000,-241004000,169704000,-34272000,17678000,50342000,-121755000,224968000,78990000,-28085000,11374000,- -,-329979000
78,Accounts Receivable,- -,-51884000,30804000,-75540000,-88545000,-35455000,-64329000,-111126000,15158000,-67145000,-97802000,-92572000,-39320000,-197191000,54575000,-57991000,-116601000,23101000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,7129000,12081000,-112000,-1351000,963000,-7161000,20629000,-6117000,-1283000,5997000,2345000,-15492000,3903000,-1778000,5743000,27325000,53392000
81,Other Working Capital,- -,77556000,27904000,14730000,118370000,170772000,-70232000,99472000,65200000,82878000,133220000,11465000,236433000,315423000,287338000,298712000,155634000,-323699000
82,Other Non-Cash Items,- -,47847000,134404000,-1071000,-114278000,-65276000,227505000,-170969000,107827000,-18002000,-94178000,81526000,-143909000,-125014000,152241000,53767000,550884000,90342000
83,Cash Provided by Operating Activities,- -,57211000,227651000,86013000,107438000,165639000,144537000,217128000,298682000,192523000,170642000,208415000,346603000,238131000,494194000,445182000,1028073000,401228000
84,CAPEX,- -,-109946000,-155096000,-166074000,-56504000,-57877000,-51761000,-46016000,-68185000,-73660000,-95246000,-182642000,-161633000,-233243000,-167281000,-157126000,-146440000,-180537000
85,Acquisitions Net,- -,- -,72000000,-227000000,-5000000,-21000000,-166000000,-1000000,-6000000,-2000000,-1000000,-1060000000,-472000000,-27000000,-523000000,-94000000,-52233000,-102878000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-110865000,1615000,10398000,1066000,960000,763000,-7719000,1779000,-31646000,-4845000,30888000,79313000,67278000,-6856000,-65603000,83320000,26821000
89,Cash Used for Investing Activites,- -,-220811000,-81481000,-382676000,-60438000,-77917000,-216998000,-54735000,-72406000,-107306000,-101091000,-1211754000,-554320000,-192965000,-697137000,-316729000,-115353000,-256594000
90,Debt Repayment,- -,-474039000,-98663000,-336873000,-391796000,-576689000,-210659000,-1642506000,-703665000,-1650184000,-918667000,-942270000,-1114435000,-2169988000,-846122000,-3078774000,-558224000,-39668000
91,Common Stock Issued,- -,1023000,- -,266000,90000,146000,241000,208000,1817000,1525000,7355000,1649000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1687994000,-41000,-14000,-612000,-80000,-44144000,-72804000,-46902000,-11781000,-130734000,-15827000,-2929000,-4753000,-6837000,-38531000,-16034000,-79476000
93,Dividends Paid,- -,-176942000,-1762000,-1698000,- -,- -,- -,- -,-210888000,-41961000,-53366000,-13129000,- -,- -,- -,- -,- -,-50600000
94,Other Financing Activites,- -,2289442000,- -,557911000,405049000,508321000,247708000,1560387000,761463000,1581359000,1024896000,1983997000,1409675000,2153095000,1108531000,3149556000,-97283000,-477641000
95,Cash Used/Provided by Financing Activities,- -,-48510000,-100466000,219592000,12731000,-68302000,-6854000,-154715000,-198175000,-121042000,-70516000,1014420000,292311000,-21646000,255572000,32251000,-671541000,-647385000
96,Effect of Forex Changes on Cash,- -,495000,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-211615000,45739000,-77071000,59731000,19420000,-79315000,7678000,28101000,-35825000,-965000,11081000,84594000,23520000,52629000,160704000,241179000,-502751000
98,Cash at the End of Period,- -,35861000,81600000,4529000,64260000,83680000,4365000,12043000,40144000,4319000,3354000,14435000,99029000,122549000,175178000,335882000,577061000,74310000
99,Cash at the Beginning of Period,- -,247476000,35861000,81600000,4529000,64260000,83680000,4365000,12043000,40144000,4319000,3354000,14435000,99029000,122549000,175178000,335882000,577061000
100,Free Cash Flow,- -,-52735000,72555000,-80061000,50934000,107762000,92776000,171112000,230497000,118863000,75396000,25773000,184970000,4888000,326913000,288056000,881633000,220691000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1320414/000089322007001117/w32643e10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1035688/000095012310025544/0000950123-10-025544-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000095012311023720/w81669e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035688/000119312512094194/0001193125-12-094194-index.html,https://www.sec.gov/Archives/edgar/data/1035688/000104746913001696/0001047469-13-001696-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000104746914001304/a2218369z10-k.htm,https://www.sec.gov/Archives/edgar/data/1320414/000104746915001194/a2223150z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035688/000104746916010467/0001047469-16-010467-index.html,https://www.sec.gov/Archives/edgar/data/1035688/000104746917000890/0001047469-17-000890-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828018002017/0001628280-18-002017-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828019001659/0001628280-19-001659-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828020001905/0001628280-20-001905-index.html,https://www.sec.gov/Archives/edgar/data/1320414/000162828021003313/0001628280-21-003313-index.htm,https://www.sec.gov/Archives/edgar/data/1320414/000162828022003840/0001628280-22-003840-index.htm
102,false,,,,,,,,,,,,,,,,,,
