,https://roic.ai/company/PKOH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,12000000,12900000,11300000,4100000,4300000,4500000,4400000,4400000,4900000,5900000,10000000,8000000,10400000,12800000,18700000,20048000,19911000,16307000,15562000,15468000,17346000,20140000,20611000,20933000,18918000,17132000,16177000,17991000,19200000,23200000,28700000,29500000,31500000,36300000,34200000,35800000,38000000
15,EBITDA,16300000,700000,5500000,-27000000,7900000,3300000,-5400000,-29300000,12300000,18600000,33800000,41300000,28100000,52900000,47200000,58561000,13666000,-16325000,30796000,64480000,70887000,78804000,83335000,-50015000,36070000,58145000,72561000,94798000,108800000,119800000,126000000,98200000,109800000,140800000,121800000,59100000,-24000000
16,EBITDA ratio,0.0875,0.0051,0.0409,-0.2124,0.0526,0.0248,-0.0468,-0.2446,0.0836,0.0971,0.0910,0.1188,0.0637,0.0959,0.0658,0.0776,0.0215,-0.0257,0.0493,0.0797,0.0760,0.0746,0.0778,-0.0468,0.0515,0.0715,0.0751,0.0836,0.0904,0.0869,0.0861,0.0769,0.0777,0.0849,0.0753,0.0456,-0.0167
17,Operating Income,4300000,-11100000,-3400000,-1300000,3600000,-100000,400000,-5300000,7500000,12600000,23800000,20200000,28000000,40100000,53200000,48631000,-4395000,16167000,15234000,49012000,53541000,58664000,62724000,-70948000,10855000,38803000,56384000,76807000,86500000,97900000,97900000,69200000,90200000,97300000,83100000,15700000,-12100000
18,Operating Income ratio,0.0231,-0.0801,-0.0253,-0.0102,0.0240,-0.0008,0.0035,-0.0442,0.0510,0.0658,0.0641,0.0581,0.0635,0.0727,0.0742,0.0644,-0.0069,0.0255,0.0244,0.0606,0.0574,0.0555,0.0585,-0.0664,0.0155,0.0477,0.0583,0.0677,0.0719,0.0710,0.0669,0.0542,0.0638,0.0587,0.0514,0.0121,-0.0084
19,Total Other Income Expenses (Gains),-3000000,-3500000,-2400000,-1400000,-700000,-1500000,-4300000,-2300000,-1300000,-1900000,-6700000,-5400000,-8800000,-17500000,-24700000,-40930000,-32958000,-27623000,-26151000,-31413000,-27056000,-31267000,-31551000,-27869000,-16892000,-21582000,-32152000,-26350000,-26200000,-26100000,-27900000,-28200000,-42500000,-25500000,-28200000,-23000000,-19900000
20,Income Before Tax,1300000,-14600000,-5800000,-2700000,2900000,-1600000,-3900000,-7600000,6200000,10700000,17100000,14800000,19200000,22600000,28500000,7701000,-37353000,-11456000,-10917000,17599000,26485000,27397000,31173000,-98817000,-6037000,17221000,24232000,50457000,60300000,71800000,70000000,41000000,47700000,71800000,54900000,-7300000,-32000000
21,Income Before Tax Ratio,0.0070,-0.1053,-0.0431,-0.0212,0.0193,-0.0120,-0.0338,-0.0634,0.0421,0.0559,0.0460,0.0426,0.0435,0.0410,0.0397,0.0102,-0.0587,-0.0181,-0.0175,0.0218,0.0284,0.0259,0.0291,-0.0925,-0.0086,0.0212,0.0251,0.0445,0.0501,0.0521,0.0478,0.0321,0.0338,0.0433,0.0339,-0.0056,-0.0223
22,Income Tax expense (Gain),-700000,-6900000,-2700000,-600000,200000,100000,100000,100000,200000,-1800000,-6900000,5100000,7900000,9700000,12200000,7183000,-11400000,897000,904000,3400000,-4323000,3218000,9976000,20986000,-828000,2034000,-5203000,18671000,19400000,24900000,21300000,8800000,18200000,16600000,15200000,-2500000,-33000000
23,Net Income,2000000,-7700000,-3100000,-31900000,2700000,-1700000,-10200000,-34600000,6000000,12500000,24000000,21300000,9800000,12900000,16300000,518000,-25953000,-61152000,-11821000,14199000,30808000,24179000,21197000,-119803000,-5209000,15187000,29435000,31786000,43400000,45600000,48100000,31700000,28600000,53600000,38600000,-4500000,1000000
24,Net Income ratio,0.0107,-0.0556,-0.0230,-0.2510,0.0180,-0.0128,-0.0883,-0.2888,0.0408,0.0653,0.0646,0.0613,0.0222,0.0234,0.0227,0.0007,-0.0408,-0.0964,-0.0189,0.0176,0.0330,0.0229,0.0198,-0.1121,-0.0074,0.0187,0.0305,0.0280,0.0361,0.0331,0.0329,0.0248,0.0202,0.0323,0.0239,-0.0035,0.0007
25,EPS,0.35,-1.39,-0.56,-5.70,0.48,-0.31,-1.83,-5.76,0.90,1.49,2.34,1.94,0.92,1.18,1.52,0.05,-2.49,-5.86,-1.13,1.34,2.82,2.20,1.91,-10.88,-0.47,1.34,2.54,2.67,3.65,3.77,3.94,2.62,2.34,4.37,3.16,-0.37,0.08
26,EPS Diluted,0.35,-1.39,-0.56,-5.70,0.48,-0.31,-1.83,-5.76,0.90,1.49,2.34,1.94,0.88,1.16,1.51,0.05,-2.49,-5.86,-1.13,1.27,2.82,2.11,1.82,-10.88,-0.47,1.29,2.45,2.62,3.56,3.68,3.88,2.58,2.30,4.28,3.12,-0.37,0.08
27,Weighted Average Shares Outstanding,5714286,5539568,5598000,5596491,5625000,5483871,5573770,6006944,6666667,8092000,10257000,10960000,10652174,10932203,10723684,10360000,10422892,10435495,10461062,10596269,10924823,10990455,11097906,11008000,10968000,11314000,11580000,11921000,11900000,12100000,12200000,12100000,12200000,12300000,12200000,12100000,12100000
28,Weighted Average Shares Outstanding Diluted,5714286,5539568,5598000,5596491,5625000,5483871,5573770,6006944,6666667,8350515,10257000,11463415,11136364,11120690,10794702,10360000,10422892,10435495,10937000,11180315,11385000,11459242,11646703,11008000,10968000,11807000,11999000,12116000,12200000,12400000,12400000,12300000,12500000,12500000,12400000,12100000,12100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76282/000095015205002164/0000950152-05-002164-index.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015206002179/l17876ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015207002198/l23669ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015208002006/l29179ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015209002659/0000950152-09-002659-index.html,https://www.sec.gov/Archives/edgar/data/76282/000095012310024652/0000950123-10-024652-index.html,https://www.sec.gov/Archives/edgar/data/76282/000095012311023097/l42052e10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000119312512116583/0001193125-12-116583-index.html,https://www.sec.gov/Archives/edgar/data/76282/000119312513109489/0001193125-13-109489-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628214000011/pkoh20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628215000016/pkoh20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628216000171/0000076282-16-000171-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628217000017/0000076282-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628218000013/0000076282-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628219000021/0000076282-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628220000012/0000076282-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628221000013/0000076282-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628222000014/0000076282-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2700000,1300000,4200000,8000000,4000000,4700000,3100000,100000,100000,2200000,2700000,4700000,1800000,4300000,5900000,2612000,3872000,8812000,3718000,7157000,18696000,21637000,14512000,17825000,23098000,35311000,78001000,44437000,55200000,58000000,62000000,64300000,82800000,55700000,56000000,55000000,54000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2700000,1300000,4200000,8000000,4000000,4700000,3100000,100000,100000,2200000,2700000,4700000,1800000,4300000,5900000,2612000,3872000,8812000,3718000,7157000,18696000,21637000,14512000,17825000,23098000,35311000,78001000,44437000,55200000,58000000,62000000,64300000,82800000,55700000,56000000,55000000,54000000
34,Net Receivables,25400000,20700000,20400000,19100000,21200000,19500000,14200000,18500000,25300000,27200000,61800000,58800000,86800000,95700000,112900000,117318000,99241000,101477000,100938000,145475000,153502000,181893000,197174000,191381000,104643000,126409000,158719000,162658000,174400000,234800000,225800000,194400000,242600000,330700000,323000000,305000000,255000000
35,Inventory,16100000,16200000,13700000,19500000,15400000,14700000,15300000,16600000,19500000,25700000,83200000,83800000,129500000,150100000,192300000,189023000,151463000,151645000,149075000,177294000,190553000,223936000,215409000,228817000,182116000,192542000,202039000,215579000,221400000,238400000,249000000,240600000,282800000,317800000,327200000,310900000,382000000
36,Other Current Assets,1800000,600000,700000,600000,800000,800000,600000,1200000,1600000,1700000,12300000,8600000,8300000,7700000,5800000,13191000,23108000,10307000,10780000,14593000,30278000,58360000,37129000,22264000,40215000,36047000,29351000,41323000,45300000,51000000,12800000,53400000,61400000,16400000,19500000,35500000,84000000
37,Total Current Assets,46000000,38800000,39000000,47200000,41400000,39700000,33200000,36400000,46500000,56800000,160000000,155900000,226400000,257800000,316900000,322144000,277684000,272241000,264511000,344519000,393029000,485826000,464224000,460287000,350072000,390309000,468110000,463997000,496300000,582200000,549600000,552700000,669600000,720600000,725700000,706400000,775000000
38,PP&E,124100000,113300000,104000000,29000000,29900000,29900000,26900000,30200000,42700000,50600000,70400000,53800000,73100000,90200000,124400000,132706000,109325000,113124000,96151000,110673000,116939000,104585000,105557000,90642000,76631000,68783000,61810000,100431000,115400000,141100000,151300000,167100000,177000000,219400000,301900000,305200000,292000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130263000,- -,- -,- -,- -,98180000,100997000,4109000,4155000,9100000,9463000,49715000,60400000,89500000,82000000,86600000,100200000,103400000,108400000,110900000,106000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16700000,44100000,40300000,69000000,99400000,137900000,133612000,- -,81464000,82278000,82565000,82703000,- -,10965000,11609000,- -,- -,- -,50371000,66200000,88100000,92800000,96600000,99500000,95300000,90600000,86800000,81000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16700000,44100000,40300000,69000000,99400000,137900000,133612000,130263000,81464000,82278000,82565000,82703000,98180000,111962000,15718000,4155000,9100000,9463000,100086000,126600000,177600000,174800000,183200000,199700000,198700000,199000000,197700000,187000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000
44,Other Non-Current Assets,800000,800000,2200000,2100000,3200000,2600000,2500000,5100000,8500000,10500000,32500000,32900000,44600000,42200000,50700000,46870000,73104000,73388000,64512000,72265000,73312000,95551000,87446000,52573000,71410000,84340000,74557000,62106000,80400000,73300000,70900000,71300000,86200000,69800000,83800000,91200000,75000000
45,Total Non-Current Assets,124900000,114100000,106200000,31100000,33100000,32500000,29400000,35300000,51200000,77800000,147000000,127000000,186700000,231800000,313000000,313188000,312692000,267976000,242941000,265503000,272954000,298316000,304965000,158933000,152196000,162223000,145830000,262623000,322400000,392000000,397000000,421600000,462900000,487900000,584700000,594100000,585000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,170900000,152900000,145200000,78300000,74500000,72200000,62600000,71700000,97700000,134600000,307000000,282900000,413100000,489600000,629900000,635332000,590376000,540217000,507452000,610022000,665983000,784142000,769189000,619220000,502268000,552532000,613940000,726620000,818700000,974200000,946600000,974300000,1132500000,1208500000,1310400000,1300500000,1360000000
48,Accounts Payable,- -,- -,- -,- -,- -,6500000,6000000,8000000,13200000,15400000,34800000,28500000,49500000,46400000,72500000,76041000,65131000,74868000,66158000,108868000,115401000,132865000,121875000,121995000,75083000,95695000,99588000,102097000,112000000,160300000,129700000,133600000,173700000,177800000,175000000,166700000,194000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,6900000,2200000,2400000,2600000,3904000,- -,- -,- -,- -,- -,- -,2362000,8778000,10894000,13756000,1415000,4411000,4400000,9400000,17800000,30800000,17700000,17900000,16800000,24500000,22000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27165000,20400000,28400000,16800000,- -,- -,39500000,35700000,37400000,51000000
52,Other Current Liabilities,25600000,28500000,19400000,19500000,14100000,8200000,9300000,13100000,12800000,11300000,18000000,20800000,27500000,32100000,33000000,28831000,32269000,54063000,49434000,65815000,72706000,84527000,69048000,76641000,41347000,61665000,75653000,58069000,61200000,65800000,60900000,77500000,84700000,63700000,77500000,78500000,82000000
53,Total Current Liabilities,25600000,28500000,19400000,19500000,14100000,14700000,15300000,21100000,26000000,26700000,58800000,56200000,79200000,80900000,108100000,108776000,97400000,128931000,115592000,174683000,188107000,217392000,193285000,207414000,127324000,171116000,176656000,191742000,198000000,263900000,225200000,241900000,276100000,298900000,305000000,307100000,349000000
54,Long-Term Debt,18900000,15000000,23000000,5100000,4300000,3200000,2600000,10100000,22800000,31700000,114700000,77800000,172300000,237500000,339800000,343248000,328731000,323816000,309164000,335376000,338300000,371490000,357687000,365868000,323103000,302457000,346165000,374267000,379200000,434400000,450300000,439000000,515500000,547500000,545200000,574500000,641000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000
56,Deferred Tax Liabilities,26100000,19200000,16400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3176000,32089000,22722000,9090000,7200000,9721000,1392000,31507000,45300000,43900000,20400000,27700000,22300000,23400000,28500000,36800000,31000000
57,Other Non-Current Liabilities,6500000,6200000,5400000,4700000,4400000,4300000,5000000,31700000,31000000,29500000,37500000,33200000,31800000,30000000,27300000,31182000,39278000,27312000,26671000,27570000,32879000,24434000,24017000,24093000,21831000,22863000,24285000,27353000,32200000,40100000,38500000,29700000,30600000,26100000,82100000,24200000,-366000000
58,Total Non-Current Liabilities,51500000,40400000,44800000,9800000,8700000,7500000,7600000,41800000,53800000,61200000,152200000,111000000,204100000,267500000,367100000,374430000,368009000,351128000,335835000,362946000,374355000,428013000,404426000,399051000,352134000,335041000,371842000,433127000,456700000,518400000,509200000,496400000,568400000,597000000,655800000,635500000,337000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65500000,88300000,- -
61,Total Liabilities,77100000,68900000,64200000,29300000,22800000,22200000,22900000,62900000,79800000,87900000,211000000,167200000,283300000,348400000,475200000,483206000,465409000,480059000,451427000,537629000,562462000,645405000,597711000,606465000,479458000,506157000,548498000,624869000,654700000,782300000,734400000,738300000,844500000,895900000,960800000,942600000,686000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,11210000,11210000,11210000,11288000,11547000,11703000,12110000,12233000,12237000,13274000,13397000,13814000,14109000,14400000,14500000,14700000,14900000,15200000,15600000,15700000,16100000,16000000
64,Retained Earnings,82500000,72700000,69600000,37700000,40400000,38700000,28400000,-6200000,-200000,12300000,36400000,57700000,67500000,80400000,96700000,97192000,71239000,10087000,1007000,15206000,46014000,70193000,90782000,-29021000,-34230000,-19043000,10392000,42178000,85600000,126500000,168300000,193600000,216100000,265900000,298200000,290500000,259000000
65,Other Comprehensive Income/Loss,-102500000,-109900000,-115500000,-57000000,-56400000,-57200000,-58800000,-58900000,-58100000,-61200000,-67400000,-53100000,-59800000,-70500000,-86700000,-101757000,-105155000,-114302000,-129559000,-118821000,-2000000,6000000,18000000,-17000000,-5000000,2000000,-8000000,-7000000,3000000,-14000000,-30000000,-43000000,-18000000,-41000000,-37000000,-18100000,-19000000
66,Other Total Stockholders Equity,113800000,121200000,126900000,68300000,67700000,68500000,70100000,73900000,76200000,95600000,127000000,111100000,122100000,131300000,133600000,145481000,147673000,153163000,173289000,164461000,47804000,50434000,50463000,46539000,48766000,50021000,49236000,52464000,56000000,58600000,52300000,60500000,62700000,58500000,58700000,55700000,324000000
67,Total Stockholders Equity,93800000,84000000,81000000,49000000,51700000,50000000,39700000,8800000,17900000,46700000,96000000,115700000,129800000,141200000,154700000,152126000,124967000,60158000,56025000,72393000,103521000,138737000,171478000,12755000,22810000,46375000,65442000,101751000,159000000,185600000,205300000,226000000,276000000,299000000,335600000,344200000,324000000
68,Total Liabilities And Stockholders Equity,170900000,152900000,145200000,78300000,74500000,72200000,62600000,71700000,97700000,134600000,307000000,282900000,413100000,489600000,629900000,635332000,590376000,540217000,507452000,610022000,665983000,784142000,769189000,619220000,502268000,552532000,613940000,726620000,813700000,967900000,939700000,964300000,1120500000,1194900000,1296400000,1286800000,1010000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,6300000,6900000,10000000,12000000,13600000,14000000,13700000,350000000
70,Total Liabilities & Equity,170900000,152900000,145200000,78300000,74500000,72200000,62600000,71700000,97700000,134600000,307000000,282900000,413100000,489600000,629900000,635332000,590376000,540217000,507452000,610022000,665983000,784142000,769189000,619220000,502268000,552532000,613940000,726620000,818700000,974200000,946600000,974300000,1132500000,1208500000,1310400000,1300500000,1360000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76282/000095015205002164/0000950152-05-002164-index.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015206002179/l17876ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015207002198/l23669ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015208002006/l29179ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015209002659/0000950152-09-002659-index.html,https://www.sec.gov/Archives/edgar/data/76282/000095012310024652/0000950123-10-024652-index.html,https://www.sec.gov/Archives/edgar/data/76282/000095012311023097/l42052e10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000119312512116583/0001193125-12-116583-index.html,https://www.sec.gov/Archives/edgar/data/76282/000119312513109489/0001193125-13-109489-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628214000011/pkoh20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628215000016/pkoh20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628216000171/0000076282-16-000171-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628217000017/0000076282-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628218000013/0000076282-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628219000021/0000076282-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628220000012/0000076282-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628221000013/0000076282-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628222000014/0000076282-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2000000,-7700000,- -,-31900000,2700000,-1700000,-10200000,-34600000,6000000,12500000,24000000,21300000,9800000,12900000,16300000,518000,-25953000,-61152000,-11821000,14199000,30808000,24179000,21197000,-119803000,-5209000,15187000,29435000,31786000,43400000,45600000,48100000,31700000,28600000,53600000,38600000,-4500000,1000000
74,Depreciation and Amortization,12000000,12900000,- -,4100000,4300000,4500000,4400000,4400000,4900000,5900000,10000000,8000000,10400000,12800000,18700000,20048000,19911000,16307000,15562000,15468000,17346000,20140000,20611000,20933000,18918000,17132000,16177000,17991000,19200000,23200000,28700000,29500000,31500000,36300000,34200000,35800000,38000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-8100000,4500000,5900000,6700000,6900000,6217000,-6473000,1951000,- -,- -,-6525000,-4632000,4342000,- -,-1842000,-1126000,-12817000,7539000,-2300000,500000,2900000,2800000,9800000,900000,1400000,6200000,-9000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2365000,1735000,2086000,2725000,4700000,5800000,7300000,10600000,8600000,8300000,4100000,6100000,6000000
77,Change in Working Capital,- -,9300000,- -,8100000,-400000,-2300000,-7100000,-2600000,5200000,9600000,71100000,-1500000,47500000,29700000,31900000,4568000,-33084000,-36974000,5609000,20917000,35086000,63512000,2505000,-18066000,-30125000,-3555000,72261000,-19199000,26045000,20000000,6100000,-13600000,82700000,28200000,-1000000,-21400000,26700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61136000,-7624000,-13533000,9754000,8500000,-27900000,3800000,13700000,-25100000,-11900000,6500000,16700000,-8000000
79,Inventory,- -,- -,- -,- -,- -,600000,-2600000,- -,-700000,-6500000,-15400000,-3100000,-21000000,-10400000,-32700000,3775000,34327000,4682000,6991000,-26541000,-1699000,-28443000,8527000,-12547000,46701000,10067000,-8763000,7133000,-4900000,-23300000,-6700000,8600000,-19000000,-29400000,-7200000,18500000,-71000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000
