,https://roic.ai/company/ORLY,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,12800000,17600000,22300000,30100000,37500000,50000000,73000000,83159000,106727000,130982000,160042000,187737000,251069000,282265000,307488000,302532000,496898000,689373000,815773000,941521000,1058942000,1222182000,1460366000,1637191000,1637804000,1694087000,1790329000,2266405000,2781914000
21,Income Before Tax Ratio,0.0933,0.1053,0.1107,0.1161,0.1185,0.0811,0.0968,0.0934,0.0977,0.0998,0.1059,0.1091,0.1228,0.1236,0.1219,0.0846,0.1025,0.1277,0.1409,0.1523,0.1593,0.1694,0.1833,0.1905,0.1824,0.1776,0.1764,0.1953,0.2087
22,Income Tax expense (Gain),4600000,6500000,8200000,11100000,14400000,19200000,27400000,31451000,40375000,48990000,59955000,70063000,86803000,104180000,113500000,116300000,189400000,270000000,308100000,355775000,388650000,444000000,529150000,599500000,504000000,369600000,399287000,514103000,617229000
23,Net Income,8200000,11100000,14100000,19000000,23100000,30800000,45600000,51708000,66352000,81992000,100087000,139566000,164266000,178085000,193988000,186232000,307498000,419373000,507673000,585746000,670292000,778182000,931216000,1037691000,1133804000,1324487000,1391042000,1752302000,2164685000
24,Net Income ratio,0.0598,0.0664,0.0700,0.0733,0.0730,0.0500,0.0605,0.0581,0.0608,0.0625,0.0662,0.0811,0.0803,0.0780,0.0769,0.0521,0.0634,0.0777,0.0877,0.0947,0.1008,0.1078,0.1169,0.1208,0.1263,0.1389,0.1370,0.1510,0.1624
25,EPS,0.02,0.02,0.03,0.23,0.28,0.36,0.47,0.51,0.64,0.77,0.93,1.27,1.47,1.57,1.69,1.50,2.26,3.02,3.77,4.83,6.14,7.46,9.32,10.87,12.82,16.27,18.07,23.74,31.55
26,EPS Diluted,0.02,0.02,0.03,0.23,0.27,0.35,0.46,0.50,0.63,0.77,0.92,1.25,1.45,1.55,1.67,1.48,2.23,2.95,3.71,4.75,6.03,7.34,9.17,10.73,12.67,16.10,17.88,23.53,31.26
27,Weighted Average Shares Outstanding,68984000,69432000,82896000,83456000,84172000,84952000,97348000,102336000,104242000,106228000,107816000,110020000,111613000,113253000,114667000,124526000,136230000,138654000,134667000,121182000,109244000,104262000,99965000,95447000,88426000,81406000,76985000,73817000,68608000
28,Weighted Average Shares Outstanding Diluted,68984000,69432000,82896000,83456000,85108000,86408000,99430000,103456000,105572000,107384000,109060000,111422000,113385000,115119000,116080000,125413000,137882000,141992000,136983000,123314000,111101000,106041000,101514000,96720000,89502000,82280000,77788000,74462000,69240000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898173/000089817306000027/form105k2005.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817307000024/form10k2006.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817308000015/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/898173/000119312509041373/0001193125-09-041373-index.html,https://www.sec.gov/Archives/edgar/data/898173/000119312510043016/0001193125-10-043016-index.html,https://www.sec.gov/Archives/edgar/data/898173/000119312511049998/d10k.htm,https://www.sec.gov/Archives/edgar/data/898173/000119312512085384/0001193125-12-085384-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817313000006/0000898173-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817314000064/orly-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817315000076/orly-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817316000276/0000898173-16-000276-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817317000091/0000898173-17-000091-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817318000077/0000898173-18-000077-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817319000060/0000898173-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817320000007/0000898173-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817321000012/0000898173-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817322000012/0000898173-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1200000,2300000,1700000,9800000,9204000,15041000,29333000,21094000,69028000,31384000,29903000,47555000,31301000,26935000,29721000,361552000,248128000,231318000,250560000,116301000,146598000,46348000,31315000,40406000,465640000,362113000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,500000,500000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,1200000,2300000,1700000,10300000,9704000,15541000,29333000,21094000,69028000,31384000,29903000,47555000,31301000,26935000,29721000,361552000,248128000,231318000,250560000,116301000,146598000,46348000,31315000,40406000,465640000,362113000
34,Net Receivables,- -,- -,- -,11300000,12500000,27600000,54800000,61848000,79926000,88339000,102930000,113904000,131073000,128838000,132505000,165811000,170997000,183652000,203753000,181174000,198123000,213211000,233687000,279379000,292487000,270181000,294407000,330294000,385674000
35,Inventory,- -,- -,- -,83900000,111800000,246000000,293900000,372069000,447793000,504098000,554309000,625320000,726390000,812938000,881761000,1570144000,1913218000,2023488000,1985748000,2276331000,2375047000,2554789000,2631015000,2778976000,3009800000,3193344000,3454092000,3653195000,3686383000
36,Other Current Assets,- -,- -,- -,3800000,7500000,35600000,5400000,5583000,7403000,9275000,9152000,5225000,21808000,28997000,40483000,108177000,115569000,64391000,56557000,27315000,30713000,48418000,29023000,53022000,49037000,48262000,44757000,50658000,70092000
37,Total Current Assets,- -,- -,- -,100200000,134100000,310900000,364400000,449204000,550663000,631045000,687485000,813477000,910655000,1000676000,1102304000,1875433000,2226719000,2301252000,2607610000,2732948000,2835201000,3066978000,3010026000,3257975000,3397672000,3543102000,3833662000,4499787000,4504262000
38,PP&E,- -,- -,- -,79800000,108400000,171000000,236500000,246854000,289004000,353601000,449058000,567493000,718366000,883095000,1090160000,1449893000,1726379000,1930095000,2093767000,2211590000,2425103000,2658560000,2861556000,3123431000,3343806000,3587002000,5876572000,6090045000,6195993000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50447000,720508000,744313000,743975000,743907000,758410000,756225000,756384000,757142000,785399000,789058000,807260000,936814000,881030000,879340000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50447000,720508000,744313000,743975000,743907000,758410000,756225000,756384000,757142000,785399000,789058000,807260000,936814000,881030000,879340000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28767000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,3600000,5100000,11400000,9500000,19937000,17192000,24773000,51049000,51387000,84878000,93725000,36826000,118716000,84060000,72505000,55217000,46239000,50679000,58379000,47960000,37384000,41349000,43425000,70112000,125780000,139112000
45,Total Non-Current Assets,- -,- -,- -,83400000,113500000,182400000,246000000,266791000,306196000,378374000,500107000,618880000,803244000,976820000,1177433000,2317884000,2554752000,2746575000,2892891000,3016239000,3232007000,3473323000,3666658000,3946214000,4174213000,4437687000,6883498000,7096855000,7214445000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,183600000,247600000,493300000,610400000,715995000,856859000,1009419000,1187592000,1432357000,1713899000,1977496000,2279737000,4193317000,4781471000,5047827000,5500501000,5749187000,6067208000,6540301000,6676684000,7204189000,7571885000,7980789000,10717160000,11596642000,11718707000
48,Accounts Payable,- -,- -,- -,17300000,29700000,66700000,64900000,68947000,61875000,85370000,176513000,240548000,292667000,318404000,380683000,736986000,818153000,895736000,1279294000,1929112000,2056521000,2417167000,2608231000,2936656000,3190029000,3376403000,3604722000,4184662000,4695312000
49,Short-Term Debt,- -,- -,- -,3200000,100000,13700000,19400000,49121000,16843000,682000,925000,592000,75313000,309000,25320000,8131000,106708000,1431000,662000,222000,67000,25000,- -,- -,- -,- -,- -,- -,337832000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,5200000,10600000,22100000,30700000,34864000,42418000,61370000,68430000,92675000,117701000,115071000,122973000,308384000,306514000,331791000,300054000,343531000,366422000,413364000,438167000,463993000,457337000,517617000,864705000,1077755000,841471000
53,Total Current Liabilities,- -,- -,- -,25700000,40400000,102500000,115000000,152932000,121136000,147422000,245868000,333815000,485681000,433784000,528976000,1053501000,1231375000,1228958000,1580010000,2272865000,2423010000,2830556000,3046398000,3400649000,3647366000,3894020000,4469427000,5262417000,5874615000
54,Long-Term Debt,- -,- -,- -,200000,22600000,170200000,90700000,90463000,165618000,190470000,120977000,100322000,25461000,110170000,75149000,724564000,684040000,357273000,796912000,1095734000,1396141000,1396615000,1390018000,1887019000,2978390000,3417122000,3890527000,4123217000,5528735000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1500000,2100000,- -,1200000,4086000,9141000,15939000,29448000,38440000,42516000,38171000,27241000,- -,18321000,68736000,88864000,79544000,80713000,85164000,79772000,90166000,85406000,105566000,133280000,155899000,175212000
57,Other Non-Current Liabilities,- -,- -,- -,400000,500000,2200000,500000,4783000,4673000,5064000,7014000,11963000,14472000,31275000,55894000,133034000,161870000,183175000,189864000,192737000,201023000,209548000,199182000,199219000,207677000,210414000,1826586000,1914851000,206568000
58,Total Non-Current Liabilities,- -,- -,- -,2100000,25200000,172400000,92400000,99332000,179432000,211473000,157439000,150725000,82449000,179616000,158284000,857598000,864231000,609184000,1075640000,1368015000,1677877000,1691327000,1668972000,2176404000,3271473000,3733102000,5850393000,6193967000,5910515000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1971358000,2041469000,2039589000
61,Total Liabilities,- -,- -,- -,27800000,65600000,274900000,207400000,252264000,300568000,358895000,403307000,484540000,568130000,613400000,687260000,1911099000,2095606000,1838142000,2655650000,3640880000,4100887000,4521883000,4715370000,5577053000,6918839000,7627122000,10319820000,11456384000,11785130000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,500000,515000,528000,534000,547000,554000,1124000,1139000,1153000,1348000,1375000,1410000,1272000,1130000,1059000,1016000,977000,929000,843000,790000,756000,711000,670000
64,Retained Earnings,- -,- -,- -,81700000,104800000,135500000,180900000,232616000,298968000,380960000,481047000,620613000,784320000,962405000,1156393000,1342625000,1650123000,2069496000,1733474000,1023267000,846333000,822473000,678840000,289500000,-612840000,-909186000,-889066000,-1139139000,-1365802000
65,Other Comprehensive Income/Loss,- -,- -,- -,-21400000,-29100000,-39300000,-56300000,-76167000,-103361000,-137922000,-177084000,-224301000,-274533000,-331759000,-7000000,-12000000,-8000000,-3000000,-933229000,-1057980000,-1181734000,-1334949000,-1510694000,-1708911000,-1847329000,-2058550000,5000000,-2155,-6799000
66,Other Total Stockholders Equity,- -,- -,- -,95500000,106300000,122200000,277900000,306767000,360156000,406952000,479775000,550951000,634858000,732311000,441931000,950245000,1042367000,1141779000,2043334000,2141890000,2300663000,2529878000,2792191000,3045618000,3112372000,3320613000,1280650000,1278688155,- -
67,Total Stockholders Equity,- -,- -,- -,155800000,182000000,218400000,403000000,463731000,556291000,650524000,784285000,947817000,1145769000,1364096000,1592477000,2282218000,2685865000,3209685000,2844851000,2108307000,1966321000,2018418000,1961314000,1627136000,653046000,353667000,397340000,140258000,-66423000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,183600000,247600000,493300000,610400000,715995000,856859000,1009419000,1187592000,1432357000,1713899000,1977496000,2279737000,4193317000,4781471000,5047827000,5500501000,5749187000,6067208000,6540301000,6676684000,7204189000,7571885000,7980789000,10717160000,11596642000,11718707000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,183600000,247600000,493300000,610400000,715995000,856859000,1009419000,1187592000,1432357000,1713899000,1977496000,2279737000,4193317000,4781471000,5047827000,5500501000,5749187000,6067208000,6540301000,6676684000,7204189000,7571885000,7980789000,10717160000,11596642000,11718707000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898173/000089817306000027/form105k2005.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817307000024/form10k2006.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817308000015/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/898173/000119312509041373/0001193125-09-041373-index.html,https://www.sec.gov/Archives/edgar/data/898173/000119312510043016/0001193125-10-043016-index.html,https://www.sec.gov/Archives/edgar/data/898173/000119312511049998/d10k.htm,https://www.sec.gov/Archives/edgar/data/898173/000119312512085384/0001193125-12-085384-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817313000006/0000898173-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817314000064/orly-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817315000076/orly-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817316000276/0000898173-16-000276-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817317000091/0000898173-17-000091-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817318000077/0000898173-18-000077-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817319000060/0000898173-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817320000007/0000898173-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/898173/000089817321000012/0000898173-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817322000012/0000898173-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8200000,11100000,14100000,19000000,23100000,30800000,45600000,51708000,66352000,81992000,100087000,139566000,164266000,178085000,193988000,186232000,307498000,419373000,507673000,585746000,670292000,778182000,931216000,1037691000,1133804000,1324487000,1391042000,1752302000,2164685000
74,Depreciation and Amortization,2800000,3200000,4000000,6100000,8300000,12200000,17900000,24812000,30544000,36907000,42374000,54325000,57228000,64938000,78943000,112998000,148179000,161442000,165880000,177106000,183180000,194205000,210256000,217866000,233845000,258937000,270875000,314635000,328217000
75,Deferred Income Tax,-100000,- -,900000,1500000,-1000000,7600000,5500000,3245000,6371000,5666000,13796000,7640000,-671000,-1017000,-6341000,11031000,50381000,99257000,54120000,8162000,1919000,1487000,-22650000,10394000,-4593000,20160000,21158000,12381000,20383000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13554000,21413000,16973000,20579000,22026000,21722000,23095000,21899000,18859000,19401000,20176000,21921000,22747000,24656000
77,Change in Working Capital,-13300000,- -,- -,74500000,19200000,114700000,41000000,46872000,133255000,54096000,-42006000,38045000,-54688000,141918000,6436000,248604000,173412000,76950000,-44694000,-567517000,-47892000,-175769000,-272794000,-106302000,-107020000,-101224000,-284847000,-126865000,662853000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7437000,-9714000,-21748000,-21219000,4404000,-16937000,-19271000,-23858000,-38548000,-27742000,18138000,-15577000,-20515000,-47427000
79,Inventory,-10700000,-7600000,-16500000,-24900000,-27900000,-53300000,-47900000,-78145000,-35115000,-56305000,-50211000,-66375000,-62157000,-91427000,-68823000,-142333000,-339742000,-110271000,37740000,-276904000,-96876000,-179742000,-76226000,-119270000,-231802000,-163367000,-239912000,-198864000,-32634000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50410000,79824000,82574000,383632000,645706000,127178000,360646000,191064000,322427000,253265000,177676000,213423000,580608000,510911000
81,Other Working Capital,- -,- -,- -,74500000,93700000,208400000,249400000,296272000,429527000,483623000,441617000,479662000,424974000,566892000,573328000,821932000,995344000,1072294000,1027600000,460083000,412191000,236422000,-36372000,-142674000,-249694000,-350918000,-635765000,-762630000,79664000
82,Other Non-Cash Items,600000,-5900000,-18100000,-96200000,-31700000,-184400000,-80300000,-120805000,-186493000,-74128000,58590000,-13040000,47187000,-197996000,26392000,-273877000,-415683000,-70308000,415433000,1026032000,78805000,369230000,413549000,275659000,128250000,205019000,288330000,861403000,6516000
83,Cash Provided by Operating Activities,-1800000,8400000,900000,4900000,17900000,-19100000,29700000,5832000,50029000,104533000,172841000,226536000,213322000,185928000,299418000,298542000,285200000,703687000,1118991000,1251555000,908026000,1190430000,1281476000,1454167000,1403687000,1727555000,1708479000,2836603000,3207310000
84,CAPEX,-8500000,-13700000,-28600000,-34500000,-37200000,-107000000,-86000000,-81987000,-68521000,-102257000,-136497000,-173486000,-205159000,-228871000,-282655000,-341679000,-414779000,-365419000,-328319000,-300719000,-395881000,-429987000,-414020000,-476344000,-465940000,-504268000,-628057000,-465579000,-442853000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000000,- -,- -,-34000000,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-35000000,-142000000,- -,-180333000
86,Purchases of Investments,-18900000,-1100000,-32400000,-12500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21724000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-164111000,- -
87,Sales/Maturities of Investments,10100000,7700000,11100000,34900000,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17364000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,6200000,-1200000,- -,900000,-500000,5700000,8200000,41470000,-9325000,-3128000,1932000,1500000,-914000,3670000,4061000,8082000,4118000,-3222000,8666000,-16688000,7127000,6585000,6832000,-52752000,4717000,4966000,-26689000,14795000,7566000
89,Cash Used for Investing Activites,-11100000,-8300000,-49900000,-11200000,-37700000,-100800000,-77800000,-40517000,-77846000,-105385000,-134565000,-171986000,-269073000,-225201000,-300318000,-367597000,-410661000,-351277000,-319653000,-317407000,-388754000,-423402000,-407188000,-529096000,-464223000,-534302000,-796746000,-614895000,-615620000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-590187000,-613598000,-980027000,-399843000,-935000,-224000,-72000,-25000,- -,-2755000000,-2473000000,-2734000000,-1923000000,-300000000
91,Common Stock Issued,19800000,600000,48700000,1900000,1500000,3100000,132600000,5354000,17102000,7265000,24162000,14373000,18709000,20493000,21727000,22995000,59508000,63116000,57562000,63514000,69350000,69620000,64613000,59634000,45762000,72146000,60206000,62284000,84915000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-976632000,-1445287000,-933028000,-866484000,-1136213000,-1505437000,-2172530000,-1714013000,-1432791000,-2087194000,-2476048000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-5300000,-500000,-200000,2800000,19400000,116200000,-76500000,28744000,16552000,7879000,-70677000,-20989000,-602000,17299000,-3175000,619993000,675185000,567287000,851406000,335136000,327820000,49150000,63078000,551029000,3842054000,2906581000,3203774000,2151333000,-3725000
95,Cash Used/Provided by Financing Activities,14500000,100000,48500000,4700000,20900000,119300000,56100000,34098000,33654000,15144000,-46515000,-6616000,18107000,37792000,18552000,52801000,121095000,-349624000,-467507000,-1047572000,-536082000,-747786000,-1008547000,-894774000,-1039714000,-1208286000,-902811000,-1796577000,-2694858000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169000,103000,-359000
97,Net Change In Cash,14500000,100000,48500000,- -,- -,- -,8100000,-587000,5837000,14292000,-8239000,47934000,-37644000,-1481000,17652000,-16254000,-4366000,2786000,331831000,-113424000,-16810000,19242000,-134259000,30297000,-100250000,-15033000,9091000,425234000,-103527000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,9800000,9204000,15041000,29333000,21094000,69028000,31384000,29903000,47555000,31301000,26935000,29721000,361552000,248128000,231318000,250560000,116301000,146598000,46348000,31315000,40406000,465640000,362113000
99,Cash at the Beginning of Period,1600000,3200000,3400000,2800000,1200000,2300000,1700000,9791000,9204000,15041000,29333000,21094000,69028000,31384000,29903000,47555000,31301000,26935000,29721000,361552000,248128000,231318000,250560000,116301000,146598000,46348000,31315000,40406000,465640000
