,https://roic.ai/company/SCS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
83,Cash Provided by Operating Activities,80800000,333400000,307700000,305700000,209800000,294600000,41800000,87900000,114700000,175500000,280500000,249700000,103700000,-10900000,72700000,101700000,187300000,178800000,84200000,186400000,170700000,227000000,131200000,360800000,64800000,-102600000
84,CAPEX,-122000000,-126400000,-227600000,-188800000,-260500000,-123000000,-76500000,-43000000,-49200000,-71900000,-58200000,-79600000,- -,-35200000,-46000000,-64900000,-74000000,-86800000,-97500000,-93400000,-61100000,-87900000,-81400000,-73400000,-41300000,-60500000
85,Acquisitions Net,- -,- -,- -,-209600000,-100000,-214600000,-2900000,-2700000,-459200000,- -,-9900000,-13800000,17500000,- -,29800000,-20900000,-6200000,- -,- -,11100000,- -,-49300000,-226200000,68900000,-3800000,-32600000
86,Purchases of Investments,- -,- -,- -,-5900000,-1500000,-9500000,- -,- -,- -,- -,-33100000,-42200000,-15200000,-4700000,-335400000,-195800000,-78600000,-146700000,-91400000,-105700000,-112600000,-52100000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,4400000,- -,- -,- -,- -,- -,407800000,131600000,- -,- -,11400000,15600000,59000000,466100000,62600000,122300000,149100000,95100000,126600000,125600000,- -,2200000,- -,- -
88,Other Investing Activites,46600000,-23500000,-66800000,-110300000,42100000,96700000,395900000,145000000,74900000,68000000,49300000,44300000,-74800000,-20900000,-7700000,-46200000,-63300000,-800000,-72000000,-88300000,-62400000,-71700000,-45400000,-66600000,-26800000,-32900000
89,Cash Used for Investing Activites,-75400000,-149900000,-290000000,-514600000,-220000000,-250400000,316500000,99300000,-25700000,127700000,-51900000,-91300000,-61100000,-10000000,-254300000,203200000,-85500000,-25200000,-14300000,-87800000,-48400000,-47500000,-271600000,4500000,-30600000,-65500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4500000,-5700000,-4500000,-256200000,-4100000,-2800000,-2600000,-34800000,-2300000,-2700000,-575800000,-2900000,-252400000,- -
91,Common Stock Issued,1400000,- -,24800000,- -,100000,500000,3800000,1600000,4100000,12200000,23300000,11500000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-43500000,-15000000,-36700000,-56600000,-4400000,- -,- -,- -,-3400000,-77300000,-165300000,-59200000,-4600000,-10800000,-47700000,-19900000,-49900000,-36300000,-56400000,-48400000,-33800000,-4200000,-8700000,-42700000,-55200000
93,Dividends Paid,-41800000,-210900000,-63100000,-67300000,-65900000,-57500000,-35400000,-35500000,-35600000,-49200000,-67200000,-333700000,-71300000,-26900000,-21600000,-31700000,-45800000,-50200000,-52500000,-57000000,-58500000,-61000000,-64300000,-69100000,-43500000,5500000
94,Other Financing Activites,- -,- -,- -,323400000,81900000,49500000,-269900000,-22900000,-28800000,-61200000,-5900000,3100000,2800000,50200000,248000000,1300000,5600000,1300000,1600000,58100000,3300000,- -,766600000,-1200000,250800000,-70300000
95,Cash Used/Provided by Financing Activities,-40400000,-254400000,-53300000,219400000,-40500000,-11900000,-301500000,-56800000,-60300000,-101600000,-127100000,-484400000,-131700000,13000000,211100000,-334300000,-64200000,-101600000,-89800000,-90100000,-105900000,-97500000,122300000,-81900000,-87800000,-120000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-4300000,2300000,-1900000,2700000,2900000,5700000,5600000,1900000,12700000,-7200000,1400000,1600000,-700000,700000,-600000,-5400000,-3100000,-1200000,4000000,-2700000,-1100000,2100000,-500000
97,Net Change In Cash,-40400000,-254400000,-53300000,6200000,-48400000,30400000,59500000,133300000,34400000,207200000,103400000,-313300000,-96300000,-6500000,31100000,-30100000,38300000,51400000,-25300000,5400000,15200000,86000000,-20800000,282300000,-51500000,-288600000
98,Cash at the End of Period,- -,- -,- -,73700000,25300000,69400000,128900000,262200000,216600000,423800000,527200000,213900000,117600000,111100000,142200000,112100000,150400000,201800000,176500000,181900000,197100000,283100000,264800000,547100000,495600000,207000000
99,Cash at the Beginning of Period,209000000,174000000,103100000,67500000,73700000,39000000,69400000,128900000,182200000,216600000,423800000,527200000,213900000,117600000,111100000,142200000,112100000,150400000,201800000,176500000,181900000,197100000,285600000,264800000,547100000,495600000
100,Free Cash Flow,-41200000,207000000,80100000,116900000,-50700000,171600000,-34700000,44900000,65500000,103600000,222300000,170100000,103700000,-46100000,26700000,36800000,113300000,92000000,-13300000,93000000,109600000,139100000,49800000,287400000,23500000,-163100000
