,https://roic.ai/company/CVX,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,-2759000000,-3443000000,-2724000000,- -,- -,-84000000,-183000000,- -,- -,-450000000,- -,- -,-799000000,- -,- -,- -,- -,-962000000,-2108000000,-686000000,-6000000,-9000000,-35000000,-1001000000,-1000000,- -,-4000000
87,Sales/Maturities of Investments,- -,- -,- -,2903000000,3531000000,2926000000,- -,597000000,80000000,56000000,209000000,378000000,- -,336000000,142000000,185000000,915000000,371000000,- -,- -,3999000000,3027000000,331000000,180000000,523000000,7000000,- -,953000000,35000000,3000000
88,Other Investing Activites,-2264000000,-2385000000,-3219000000,-2948000000,-2690000000,-2765000000,-3859000000,1688000000,1991000000,298000000,2341000000,1175000000,3261000000,2738000000,1452000000,3359000000,1670000000,-16943000000,-20915000000,-24480000000,-27833000000,-36528000000,-29538000000,-23982000000,-17366000000,-8173000000,-11681000000,-12552000000,-7450000000,-6303000000
89,Cash Used for Investing Activites,-2264000000,-2385000000,-3219000000,-2804000000,-2602000000,-2563000000,-3859000000,-5610000000,-5642000000,-9542000000,-5047000000,-4072000000,-3499000000,-11561000000,-12219000000,-13933000000,-17081000000,-16572000000,-20915000000,-27489000000,-24796000000,-35609000000,-29893000000,-23808000000,-16852000000,-8201000000,-12290000000,-11458000000,-6965000000,-5865000000
90,Debt Repayment,-1260000000,-854000000,-588000000,-103000000,-476000000,-584000000,-388000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-496000000,-156000000,-2769000000,-2224000000,-132000000,-43000000,-367000000,-1584000000,-11452000000,-10877000000,-10432000000,-15684000000,-17384000000
91,Common Stock Issued,- -,- -,- -,- -,- -,173000000,- -,108000000,- -,140000000,43000000,57000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211000000,650000000,1117000000,- -,- -,- -,- -
92,Common Stock Repurchased,-382000000,-4000000,-5000000,-4000000,-4000000,- -,- -,- -,-1498000000,-763000000,- -,-75000000,-1663000000,-2737000000,-4491000000,-6389000000,-6821000000,- -,- -,- -,-4142000000,-4494000000,-4412000000,- -,- -,- -,-604000000,-4039000000,-1500000000,- -
93,Dividends Paid,-1115000000,-1139000000,-1206000000,-1255000000,-1358000000,-1493000000,-1596000000,-2672000000,-2789000000,-2858000000,-2991000000,-3070000000,-3277000000,-3876000000,-4396000000,-4791000000,-5162000000,-5302000000,-5674000000,-6139000000,-6844000000,-7474000000,-7928000000,-7992000000,-8032000000,-8132000000,-8502000000,-8959000000,-9651000000,-10179000000
94,Other Financing Activites,1356000000,492000000,902000000,309000000,-1084000000,26000000,1676000000,1434000000,-3202000000,1386000000,-1121000000,-3941000000,-1284000000,-1055000000,-2961000000,-3115000000,1583000000,2252000000,660000000,-2864000000,4230000000,8279000000,7384000000,10963000000,8991000000,3913000000,6284000000,3672000000,23099000000,4450000000
95,Cash Used/Provided by Financing Activities,-1401000000,-1505000000,-897000000,-1053000000,-2922000000,-1878000000,-308000000,-1130000000,-7489000000,-2095000000,-4069000000,-7029000000,-6224000000,-7668000000,-11848000000,-14295000000,-10400000000,-3546000000,-5170000000,-11772000000,-8980000000,-3821000000,-4999000000,2815000000,25000000,-14554000000,-13699000000,-19758000000,-3736000000,-23113000000
96,Effect of Forex Changes on Cash,3000000,21000000,-11000000,-10000000,-2000000,-19000000,-10000000,-30000000,-5000000,-31000000,15000000,95000000,58000000,-124000000,194000000,120000000,-166000000,114000000,70000000,-33000000,39000000,-266000000,-43000000,-226000000,-53000000,65000000,-91000000,332000000,-50000000,-151000000
97,Net Change In Cash,252000000,352000000,-1231000000,208000000,271000000,123000000,-446000000,1001000000,331000000,-211000000,840000000,1309000000,5025000000,752000000,450000000,-3131000000,1985000000,-631000000,5344000000,1804000000,5075000000,-4694000000,-3460000000,-1763000000,-4034000000,-2175000000,4538000000,-3570000000,-174000000,58000000
98,Cash at the End of Period,1292000000,1644000000,413000000,621000000,892000000,1015000000,569000000,1997000000,2328000000,2117000000,2957000000,4266000000,9291000000,10043000000,10493000000,7362000000,9347000000,8716000000,14060000000,15864000000,20939000000,16245000000,12785000000,11022000000,6988000000,4813000000,10481000000,6911000000,6737000000,6795000000
99,Cash at the Beginning of Period,1040000000,1292000000,1644000000,413000000,621000000,892000000,1015000000,996000000,1997000000,2328000000,2117000000,2957000000,4266000000,9291000000,10043000000,10493000000,7362000000,9347000000,8716000000,14060000000,15864000000,20939000000,16245000000,12785000000,11022000000,6988000000,5943000000,10481000000,6911000000,6737000000
100,Free Cash Flow,562000000,898000000,-509000000,546000000,2373000000,684000000,-149000000,-124000000,5838000000,1744000000,2344000000,6690000000,8380000000,11404000000,10510000000,8299000000,9966000000,-470000000,11747000000,14598000000,7874000000,-2983000000,-3932000000,-10048000000,-5263000000,7111000000,16826000000,13198000000,1655000000,21131000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/93410/000009341095000012/0000093410-95-000012-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93410/000095014903000567/f87939e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/93410/000095013405004137/f04196e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095014906000076/f16935e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095014907000074/f27542e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095013408003672/f37829e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000089161809000054/0000891618-09-000054-index.html,https://www.sec.gov/Archives/edgar/data/93410/000095012310016846/0000950123-10-016846-index.html,https://www.sec.gov/Archives/edgar/data/93410/000095012311017688/f56670e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095012312002976/0000950123-12-002976-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341013000003/0000093410-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341014000011/cvx-123113x10kdoc.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341015000010/cvx-123114x10kdoc.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341016000049/0000093410-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341017000013/0000093410-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/0000093410-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/0000093410-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/0000093410-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341021000009/0000093410-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/0000093410-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
