,https://roic.ai/company/ARAY,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,2063000,6676000,- -,17024000,27856000,204830000,122472000,101469000,145315000,95906000,143504000,174397000,171899000,143857000,167010000,95993000,83083000,76798000,107577000,116369000
34,Net Receivables,- -,- -,- -,5087000,11698000,10105000,33918000,36427000,37955000,61853000,67890000,55458000,72152000,77727000,56810000,72789000,65994000,111885000,90599000,85360000
35,Inventory,- -,- -,- -,6371000,10100000,16984000,23047000,28909000,28186000,97836000,81693000,81592000,87752000,106151000,115987000,105054000,108540000,120823000,134374000,125929000
36,Other Current Assets,- -,- -,- -,5186000,8323000,38646000,42928000,25697000,27267000,30127000,23171000,24488000,32667000,26594000,21873000,35167000,26540000,34569000,24936000,25115000
37,Total Current Assets,- -,- -,- -,33668000,57977000,270565000,222365000,192502000,238723000,285722000,316258000,335935000,364470000,354329000,361680000,309003000,284157000,344075000,357486000,352773000
38,PP&E,- -,- -,- -,12961000,21945000,23937000,17140000,15066000,14684000,44823000,37458000,34733000,34391000,31829000,27878000,23062000,23698000,17122000,43996000,34854000
39,Goodwill,- -,- -,- -,4495000,4495000,4495000,4495000,4495000,4495000,54474000,59215000,59368000,58091000,58054000,57848000,57812000,57855000,57770000,57717000,57960000
40,Intangible Assets,- -,- -,- -,1688000,1446000,1184000,926000,668000,388000,66039000,49819000,31896000,23517000,15564000,7611000,964000,821000,679000,663000,435000
41,Intangible Assets,- -,- -,- -,6183000,5941000,5679000,5421000,5163000,4883000,120513000,109034000,91264000,81608000,73618000,65459000,58776000,58676000,58449000,58380000,58395000
42,Investments,- -,- -,- -,- -,- -,- -,- -,57252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13929000,15935000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,34048000,52760000,31928000,50078000,4403000,4894000,4726000,10420000,13997000,14719000,10195000,14016000,15623000,12196000,18535000,17136000,18141000
45,Total Non-Current Assets,- -,- -,- -,53192000,80646000,61544000,72639000,81884000,24461000,170062000,156912000,139994000,130718000,115642000,107353000,97461000,94570000,94106000,133441000,127325000
46,Other Assets,11925000,32347000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11925000,32347000,- -,86860000,138623000,332109000,295004000,274386000,263184000,455784000,473170000,475929000,495188000,469971000,469033000,406464000,378727000,438181000,490927000,480098000
48,Accounts Payable,- -,- -,- -,5445000,4726000,14147000,12962000,14941000,10317000,38645000,18209000,15920000,15639000,13096000,15229000,17486000,19694000,29562000,23126000,19467000
49,Short-Term Debt,- -,- -,- -,2893000,10338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,39900000,113023000,- -,- -,8224000,11959000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,17517000,31641000,78022000,87455000,68105000,42019000,93981000,101248000,104585000,111897000,116165000,114174000,104711000,98300000,98727000,105778000,106597000
52,Other Current Liabilities,- -,- -,- -,5632000,15055000,29874000,34204000,29373000,34339000,70418000,54717000,35354000,57033000,40654000,40909000,49272000,51440000,63892000,45143000,54336000
53,Total Current Liabilities,- -,- -,- -,31487000,61760000,122043000,134621000,112419000,86675000,203044000,174174000,155859000,184569000,169915000,210212000,284492000,169434000,192181000,182271000,192359000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79466000,198768000,195612000,202853000,170512000,51548000,131077000,159844000,189307000,187448000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,7777000,5374000,6092000,9675000,9085000,9866000,10489000,17665000,13823000,20976000,26639000,24125000,23685000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,111545000,157718000,84623000,29620000,288000,1059000,6321000,5988000,5382000,6593000,10934000,10984000,10068000,8608000,9646000,31589000,7766000
58,Total Non-Current Liabilities,- -,- -,- -,111545000,157718000,84623000,29620000,8065000,6433000,12413000,95129000,213235000,212071000,224276000,199161000,75439000,160661000,196129000,245021000,218899000
59,Other Liabilities,35557000,65395000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32397000,25610000
61,Total Liabilities,35557000,65395000,- -,143032000,219478000,206666000,164241000,120484000,93108000,215457000,269303000,369094000,396640000,394191000,409373000,359931000,330095000,388310000,427292000,411258000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,12653000,13276000,53000,55000,57000,59000,70000,72000,75000,77000,79000,81000,84000,86000,89000,91000,91000
64,Retained Earnings,- -,- -,- -,-86947000,-120641000,-126257000,-121126000,-120517000,-117676000,-144385000,-216427000,-319646000,-355094000,-395303000,-420807000,-450386000,-474285000,-485540000,-481713000,-488024000
65,Other Comprehensive Income/Loss,- -,- -,- -,-19359000,-17478000,10000,-1067000,416000,-71000,127000,2837000,1882000,1815000,-426000,-960000,-52000,1093000,-10000,-484000,2093000
66,Other Total Stockholders Equity,- -,- -,- -,37481000,43988000,251637000,- -,273946000,287764000,373963000,409143000,424524000,451750000,471430000,481346000,496887000,521738000,535332000,545741000,554680000
67,Total Stockholders Equity,-23632000,-33048000,- -,-56172000,-80855000,125443000,130763000,153902000,170076000,229775000,195625000,106835000,98548000,75780000,59660000,46533000,48632000,49871000,63635000,68840000
68,Total Liabilities And Stockholders Equity,11925000,32347000,- -,86860000,138623000,332109000,295004000,274386000,263184000,445232000,464928000,475929000,495188000,469971000,469033000,406464000,378727000,438181000,490927000,480098000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,10552000,8242000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11925000,32347000,- -,86860000,138623000,332109000,295004000,274386000,263184000,455784000,473170000,475929000,495188000,469971000,469033000,406464000,378727000,438181000,490927000,480098000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1138723/000110465907066624/0001104659-07-066624-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1138723/000104746910007812/0001047469-10-007812-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746911008120/0001047469-11-008120-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746912008730/0001047469-12-008730-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746913008757/0001047469-13-008757-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746914007280/0001047469-14-007280-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746915007028/0001047469-15-007028-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746916015108/a2229520z10-k.htm,https://www.sec.gov/Archives/edgar/data/1138723/000104746917005403/0001047469-17-005403-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000156459018022303/0001564590-18-022303-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000156459019032909/0001564590-19-032909-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000156459020041201/0001564590-20-041201-index.htm,https://www.sec.gov/Archives/edgar/data/1138723/000156459021044920/0001564590-21-044920-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-25189000,-33694000,-5616000,5383000,609000,2841000,-26682000,-72042000,-103219000,-35448000,-40209000,-25504000,-29579000,-23899000,-16430000,3827000,-6311000
74,Depreciation and Amortization,- -,- -,- -,2080000,3806000,6246000,7688000,6651000,7122000,7566000,32592000,25564000,20564000,19493000,18296000,18043000,9732000,10491000,7541000,6389000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,947000,92000,664000,-404000,-268000,30000,-86000,- -,-114000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,15461000,10232000,13365000,8458000,8216000,11313000,13930000,12638000,13629000,12289000,10601000,8152000,9332000
77,Change in Working Capital,- -,- -,- -,31981000,-5964000,152305000,-49055000,-34567000,71965000,-69370000,59406000,37992000,-175000,4513000,-32946000,-126957000,90212000,37171000,23321000,-14801000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-2817000,-2448000,8698000,-9162000,10858000,-14786000,-8331000,22951000,-15732000,7223000,-46165000,19030000,5235000
79,Inventory,- -,- -,- -,-2294000,-4348000,-8770000,-10427000,-9679000,244000,-4321000,11927000,-5147000,-8341000,-21094000,-10502000,7675000,-8685000,-14165000,-23178000,1688000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1833000,-5364000,10662000,-21425000,-1140000,-1057000,-1822000,2404000,2189000,2002000,9456000,-6770000,-3978000
81,Other Working Capital,- -,- -,- -,2181000,-3783000,148522000,-39943000,-16522000,152048000,82678000,142084000,180076000,179901000,184414000,151468000,24511000,114723000,151894000,175215000,160414000
82,Other Non-Cash Items,- -,- -,- -,9143000,61357000,-141338000,17995000,3800000,-97233000,87524000,-66693000,-35677000,4000000,-15124000,61458000,124752000,-70033000,-71388000,-44310000,44017000
83,Cash Provided by Operating Activities,- -,- -,- -,18015000,25505000,11597000,-17989000,-8046000,-5073000,12403000,-38279000,-66177000,346000,-16733000,33538000,-380000,18331000,-29641000,-1469000,38512000
84,CAPEX,- -,- -,- -,-6249000,-13602000,-7230000,-5030000,-4232000,-5130000,-4022000,-10769000,-15358000,-11931000,-10445000,-8066000,-5364000,-6609000,-4311000,-3728000,-2320000
85,Acquisitions Net,- -,- -,- -,-5613000,- -,- -,- -,- -,- -,-70265000,-1384000,-3861000,- -,- -,- -,- -,- -,- -,- -,-79000
86,Purchases of Investments,- -,- -,- -,-250000,- -,-283000,-177651000,-155934000,-111429000,-100710000,- -,-102403000,-44155000,-107162000,-64356000,-14992000,-5940000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,54089000,157732000,127086000,206414000,- -,- -,64578000,121296000,80684000,38179000,30315000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-153000,1157000,1000,-4830000,4303000,- -,- -,- -,-232000,- -,- -,- -,-333000,-333000,- -,-170000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-12265000,-12445000,-7512000,-133422000,1869000,10527000,31417000,-12153000,-121622000,8492000,3689000,8262000,17823000,17766000,-4311000,-3728000,-2399000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-417000,- -,-66406000,-105158000,-97660000,- -,-263000,-116066000
91,Common Stock Issued,- -,- -,- -,1742000,769000,172306000,7313000,4108000,2030000,3601000,1867000,7455000,9054000,6555000,3849000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-177000,-21000,- -,-23981000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14080000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-2996000,553000,419000,1667000,1807000,2000000,98682000,110462000,-260000,-660000,61800000,50620000,70207000,28473000,26959000,101341000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1565000,-2248000,172859000,-16249000,5775000,3837000,5601000,100549000,117917000,8377000,5895000,-757000,-54538000,-27453000,28473000,26696000,-28805000
96,Effect of Forex Changes on Cash,- -,- -,- -,-13000,20000,30000,-234000,301000,-692000,1051000,-2519000,-309000,1818000,-5646000,-823000,197000,-346000,124000,234000,982000
97,Net Change In Cash,- -,- -,- -,7302000,10832000,176974000,-167894000,-101000,8599000,50472000,47598000,-70191000,19033000,-12795000,40220000,-36898000,8298000,-5355000,21733000,8290000
98,Cash at the End of Period,- -,- -,- -,17024000,27856000,204830000,36936000,36835000,45434000,95906000,143504000,73313000,92346000,79551000,119771000,85235000,93533000,88178000,109911000,118201000
99,Cash at the Beginning of Period,- -,- -,- -,9722000,17024000,27856000,204830000,36936000,36835000,45434000,95906000,143504000,73313000,92346000,79551000,122133000,85235000,93533000,88178000,109911000
100,Free Cash Flow,- -,- -,- -,11766000,11903000,4367000,-23019000,-12278000,-10203000,8381000,-49048000,-81535000,-11585000,-27178000,25472000,-5744000,11722000,-33952000,-5197000,36192000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1138723/000110465907066624/0001104659-07-066624-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1138723/000104746910007812/0001047469-10-007812-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746911008120/0001047469-11-008120-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746912008730/0001047469-12-008730-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746913008757/0001047469-13-008757-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746914007280/0001047469-14-007280-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746915007028/0001047469-15-007028-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000104746916015108/a2229520z10-k.htm,https://www.sec.gov/Archives/edgar/data/1138723/000104746917005403/0001047469-17-005403-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000156459018022303/0001564590-18-022303-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000156459019032909/0001564590-19-032909-index.html,https://www.sec.gov/Archives/edgar/data/1138723/000156459020041201/0001564590-20-041201-index.htm,https://www.sec.gov/Archives/edgar/data/1138723/000156459021044920/0001564590-21-044920-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
