,https://roic.ai/company/RH,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47689000,-76058000,-102034000,1000000,1000000,-1000000,-3000000,-2000000,-342000,-2000000,-3000000,2565000,-1410000
66,Other Total Stockholders Equity,- -,26000,- -,- -,-791000,158980000,160045000,170197000,178921000,183488000,- -,325003000,356171000,395194000,506100000,581600000,650202000,744343000,771651000,-159390000,371574000,430902000,581897000,620577000
67,Total Stockholders Equity,83755000,82882000,80344000,88144000,94734000,100686000,99286000,80132000,92108000,43830000,- -,221079000,215804000,250462000,451611000,545272000,702916000,886160000,919869000,-7336000,-22962000,18651000,447026000,1170277000
68,Total Liabilities And Stockholders Equity,164245000,222361000,228935000,206744000,226228000,232280000,279263000,274268000,316367000,342546000,- -,431528000,501991000,586809000,789611000,1025072000,1525999000,2067944000,2192520000,1732866000,2438746000,2445694000,2898313000,5540470000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000,28000,- -,- -,- -,- -,-15728000,- -,- -,- -
70,Total Liabilities & Equity,164245000,222361000,228935000,206744000,226228000,232280000,279263000,274268000,316367000,342546000,- -,431528000,501991000,586809000,789600000,1025100000,1525999000,2067944000,2192520000,1732866000,2423018000,2445694000,2898313000,5540470000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528849/000119312513178723/0001193125-13-178723-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000119312514122028/d658284d10k.htm,https://www.sec.gov/Archives/edgar/data/1528849/000119312515109678/d853618d10k.htm,https://www.sec.gov/Archives/edgar/data/1528849/000156459016015660/0001564590-16-015660-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000156459017005503/0001564590-17-005503-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000156459018007158/0001564590-18-007158-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000156459019010132/0001564590-19-010132-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000155837020003383/0001558370-20-003383-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000155837021003728/0001558370-21-003728-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837022004753/0001558370-22-004753-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4866000,-3040000,-3091000,-33867000,-3603000,-2941000,1704000,-29307000,3252000,-51936000,- -,-28651000,-8074000,20588000,-12800000,18200000,91002000,91103000,5401000,-2599000,135731000,220375000,272703000,688546000
74,Depreciation and Amortization,6477000,10788000,15915000,20624000,18641000,18021000,15946000,19603000,21696000,23120000,- -,43065000,31263000,29186000,26748000,27654000,34463000,44595000,56995000,70135000,74346000,100739000,100040000,96022000
