,https://roic.ai/company/STRS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,63700000,88700000,8700000,6700000,3800000,2900000,4100000,3600000,3864000,2925000,4283000,4013000,4637000,5777000,6931000,7029000,7554000,7674000,6526000,6653000,6532000,7087000,7887000,8057000,12164000,11401000,11274000,11344000,15036000,24509000
11,COGS and Expenses,90700000,43800000,49200000,52300000,75700000,27100000,18100000,11300000,12545000,12035000,12715000,14242000,19330000,26858000,39954000,27162000,26041000,20663000,18833000,135355000,112956000,115344000,85829000,75868000,79164000,80028000,85427000,34470000,82056000,48721000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1157000,606000,728000,70000,226000,416000,849000,1448000,679000,155000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),11400000,4800000,600000,1100000,3900000,- -,2000000,- -,1280000,456000,639000,917000,958000,529000,1139000,80000,- -,- -,- -,- -,11839000,7093000,3751000,4065000,9408000,6742000,7856000,4248000,14827000,3193000
14,Depreciation and Amortization,54300000,72800000,2300000,2500000,1500000,100000,100000,100000,129000,133000,964000,1432000,1677000,758000,1579000,1272000,1652000,1634000,1886000,8426000,9165000,9053000,8977000,8743000,8082000,7853000,8571000,11006000,13670000,9964000
15,EBITDA,47700000,51800000,-120200000,1100000,5100000,7200000,-400000,3100000,16027000,4529000,1082000,2369000,3307000,9834000,34662000,16377000,-3919000,-7308000,-5412000,-1311000,20054000,19660000,15437000,30561000,8712000,32378000,12140000,12515000,9525000,57974000
16,EBITDA ratio,0.5439,2.0887,-2.9752,0.0228,0.0644,0.2323,-0.0227,0.2109,1.5870,0.3054,0.0935,0.1643,0.1583,0.2794,0.5415,0.6029,-0.2086,-0.6776,-0.5932,-0.0096,0.1733,0.1539,0.1640,0.3779,0.1084,0.4030,0.1386,0.4171,0.1561,2.0532
17,Operating Income,-3000000,-19000000,-8800000,-4100000,3500000,3900000,-500000,3400000,-2446000,2794000,-1146000,180000,1560000,8336000,24053000,2000,-7258000,-9878000,-9710000,1681000,2781000,14151000,10364000,25732000,1177000,23237000,2173000,1216000,-6041000,83660000
18,Operating Income ratio,-0.0342,-0.7661,-0.2178,-0.0851,0.0442,0.1258,-0.0284,0.2313,-0.2422,0.1884,-0.0991,0.0125,0.0747,0.2369,0.3758,0.0001,-0.3864,-0.9159,-1.0643,0.0123,0.0240,0.1108,0.1101,0.3182,0.0147,0.2892,0.0248,0.0405,-0.0990,2.9629
19,Total Other Income Expenses (Gains),-15000000,-1600000,-114300000,1600000,- -,3200000,-2000000,-400000,17064000,1146000,658000,29000,- -,-303000,-723000,4257000,838000,963000,358000,-6117000,-11263000,-7328000,-2901000,-5779000,-9955000,-5449000,-6464000,-4278000,-14616000,-1599000
20,Income Before Tax,-18000000,-20600000,-123100000,-2500000,- -,7100000,-2500000,3000000,14618000,3940000,- -,- -,- -,8033000,23330000,4259000,-6420000,-8915000,-9352000,-4436000,-8482000,6823000,7463000,19953000,-8778000,17788000,-4291000,-3062000,-20657000,82061000
21,Income Before Tax Ratio,-0.2052,-0.8306,-3.0470,-0.0519,- -,0.2290,-0.1420,0.2041,1.4475,0.2657,- -,- -,- -,0.2282,0.3645,0.1568,-0.3418,-0.8266,-1.0251,-0.0324,-0.0733,0.0534,0.0793,0.2467,-0.1093,0.2214,-0.0490,-0.1021,-0.3386,2.9063
22,Income Tax expense (Gain),-5900000,-7000000,-36800000,-2700000,- -,100000,100000,100000,396000,- -,- -,- -,- -,73000,-8344000,1670000,-1734000,-3038000,8038000,651000,636000,929000,-10694000,5576000,-2779000,13904000,-305000,-275000,3818000,-12577000
23,Net Income,-12100000,-18800000,-86300000,200000,-300000,7000000,-2600000,2900000,14222000,3940000,-521000,20000,672000,8474000,40288000,13355000,-3837000,-5904000,-15336000,-10388000,-1586000,2585000,13403000,12177000,-5999000,3879000,-3982000,-2464000,-22790000,57394000
24,Net Income ratio,-0.1380,-0.7581,-2.1361,0.0041,-0.0038,0.2258,-0.1477,0.1973,1.4083,0.2657,-0.0450,0.0014,0.0322,0.2408,0.6294,0.4916,-0.2043,-0.5474,-1.6810,-0.0758,-0.0137,0.0202,0.1424,0.1506,-0.0747,0.0483,-0.0455,-0.0821,-0.3735,2.0327
25,EPS,-1.70,-5.28,-12.08,0.02,0.02,0.98,-0.36,0.40,1.98,0.55,0.26,0.00,0.09,1.18,5.51,1.77,-0.50,-0.79,-2.05,-1.39,-0.20,0.32,1.67,1.51,-0.74,0.48,-0.49,-0.30,-2.78,6.99
26,EPS Diluted,-1.70,-5.28,-12.08,0.02,0.02,0.96,-0.36,0.36,1.74,0.48,0.25,0.00,0.09,1.11,5.26,1.74,-0.50,-0.79,-2.05,-1.39,-0.20,0.32,1.66,1.51,-0.74,0.47,-0.49,-0.30,-2.78,6.99
27,Weighted Average Shares Outstanding,7117647,7191781,7144040,7000000,7191500,7144000,7144000,7144000,7147500,7142000,7116000,7124000,7196000,7209000,7306000,7554000,7621000,7438000,7466000,7482000,7966000,8077000,8037000,8058000,8089000,8122000,8153000,8182000,8211000,8211000
28,Weighted Average Shares Outstanding Diluted,7117647,7191781,7144040,7000000,7857143,7291667,7144000,8119000,8355500,8204000,7392000,7315000,7570000,7636000,7658000,7677000,7621000,7438000,7466000,7482000,7966000,8111000,8078000,8091000,8089000,8171000,8153000,8182000,8211000,8211000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885508/000088550804000001/0000885508-04-000001-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550805000010/0000885508-05-000010-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125906000014/0000831259-06-000014-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125907000047/0000831259-07-000047-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125908000030/0000831259-08-000030-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125909000057/0000831259-09-000057-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125910000017/0000831259-10-000017-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885508/000088550812000011/0000885508-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550813000007/0000885508-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550814000004/0000885508-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550815000007/0000885508-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550816000052/0000885508-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550817000008/0000885508-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550818000011/0000885508-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550819000008/0000885508-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550820000008/0000885508-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550821000016/0000885508-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550822000018/0000885508-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2700000,2500000,1200000,2300000,2100000,900000,5200000,4000000,7996000,3705000,1361000,3413000,379000,1901000,1955000,40985000,17097000,15398000,11730000,7695000,12784000,21307000,29645000,17036000,13597000,14611000,19004000,8765000,12434000,24229000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90284000
33,Cash and Short-Term Investments,2700000,2500000,1200000,2300000,2100000,900000,5200000,4000000,7996000,3705000,1361000,3413000,379000,1901000,1955000,40985000,17097000,15398000,11730000,7695000,12784000,21307000,29645000,17036000,13597000,14611000,19004000,8765000,12434000,114513000
34,Net Receivables,40300000,102800000,5700000,7300000,4100000,1600000,900000,1300000,596000,740000,714000,828000,392000,42000,934000,2626000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60244000,18133000,12245000,25944000,21236000,22612000,16396000,14872000,4204000,- -
36,Other Current Assets,700000,200000,- -,- -,- -,400000,400000,300000,218000,73000,146000,194000,40000,13079000,4844000,1480000,6000,8296000,- -,- -,- -,- -,- -,- -,- -,- -,- -,158748000,36516000,- -
37,Total Current Assets,43700000,105500000,6900000,9600000,6200000,2900000,6500000,5600000,8810000,4518000,2221000,4435000,811000,15022000,7733000,45091000,17103000,23694000,11730000,7695000,73028000,39440000,41890000,42980000,34833000,37223000,35400000,182385000,53154000,114513000
38,PP&E,399800000,286500000,198500000,180000000,118000000,105300000,96600000,91700000,93005000,110042000,132344000,113732000,147121000,152973000,179912000,170703000,200399000,101863000,143049000,301113000,270496000,203934000,323354000,162568000,130526000,133288000,- -,11378000,10871000,10487000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17671000,185393000,3084000,3246000,3402000,4427000,795000,186626000,- -,188390000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7105000,5534000,7330000,- -,170000,- -,- -,- -,11759000,15329000,17223000,11461000,11834000,12311000,44000,6009000
44,Other Non-Current Assets,268700000,3800000,9000000,5200000,6000000,4600000,8700000,18400000,10078000,14918000,4875000,24263000,4929000,5891000,9200000,7029000,10043000,17640000,297153000,109551000,32202000,99142000,24889000,25124000,269593000,35631000,449259000,355294000,479947000,- -
45,Total Non-Current Assets,668500000,290300000,207500000,185200000,124000000,109900000,105300000,110100000,103083000,124960000,137219000,137995000,152050000,158864000,196217000,183266000,235443000,304896000,443456000,413910000,306100000,307503000,360797000,389647000,417342000,368770000,461093000,378983000,490862000,16496000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443209000
47,Total Assets,712200000,395800000,214400000,194800000,130200000,112800000,111800000,115700000,111893000,129478000,139440000,142430000,152861000,173886000,203950000,228357000,252546000,328590000,455186000,421605000,379128000,346943000,402687000,432627000,452175000,405993000,496493000,561368000,544016000,541226000
48,Accounts Payable,22800000,32400000,18700000,8100000,5800000,1200000,600000,900000,1920000,2482000,1663000,1773000,1343000,6305000,5988000,6324000,- -,- -,- -,8760000,13845000,5143000,8076000,14182000,6734000,22809000,20602000,14459000,8047000,14118000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2316000,434000,1531000,169000,311000,242000,- -,12103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351055000,120634000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1100000,64400000,3400000,- -,4300000,1800000,1800000,1500000,1486000,1895000,3067000,3015000,2390000,15746000,6290000,5623000,11089000,19648000,27977000,10217000,8605000,9360000,9670000,10356000,13240000,13429000,11914000,6169000,-338187000,- -
53,Total Current Liabilities,23900000,96800000,22100000,8100000,10100000,3000000,2400000,2400000,3406000,4377000,7046000,5222000,5264000,22220000,12589000,12189000,11089000,31751000,27977000,18977000,22450000,14503000,17746000,24538000,19974000,36238000,32516000,20628000,20915000,134752000
54,Long-Term Debt,473800000,117500000,128600000,121300000,58300000,37100000,29200000,16600000,8440000,25576000,42483000,47105000,54116000,50135000,50364000,61258000,63352000,69002000,201523000,158451000,137035000,151332000,196477000,263114000,291102000,221470000,295531000,224565000,351055000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8675000,- -,- -,- -,- -,11320000,9270000,7654000,6173000,- -
56,Deferred Tax Liabilities,47000000,30200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,800000,5600000,4300000,5900000,5600000,6100000,6200000,19900000,8967000,14866000,3292000,3282000,5285000,7364000,7051000,2510000,3583000,9924000,12886000,26495000,2073000,11792000,13378000,8301000,10073000,9575000,12525000,174439000,56109000,197861000
58,Total Non-Current Liabilities,521600000,153300000,132900000,127200000,63900000,43200000,35400000,36500000,17407000,40442000,45775000,50387000,59401000,57499000,57415000,63768000,66935000,78926000,214409000,184946000,147783000,163124000,209855000,271415000,301175000,242365000,317326000,406658000,413337000,197861000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12636000,13269000,- -
61,Total Liabilities,545500000,250100000,155000000,135300000,74000000,46200000,37800000,38900000,20813000,44819000,52821000,55609000,64665000,79719000,70004000,75957000,78024000,110677000,242386000,203923000,170233000,177627000,227601000,295953000,321149000,278603000,349842000,427286000,434252000,332613000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,100000,143000,72000,72000,72000,72000,74000,81000,81000,83000,83000,84000,84000,90000,91000,91000,91000,92000,93000,93000,93000,94000,188759000
64,Retained Earnings,-12100000,-30900000,-117200000,-117100000,-116800000,-110000000,-112600000,-109800000,-95528000,-91588000,-92109000,-92089000,-91417000,-82943000,-42655000,-29300000,-30095000,-35999000,-51335000,-61723000,-63309000,-60724000,-47321000,-35144000,-41143000,-37121000,-41103000,-43567000,-66357000,-8963000
65,Other Comprehensive Income/Loss,-305100000,-305100000,- -,- -,- -,- -,-122000000,-209000000,-189000000,-322000,-2556000,-452000,-841000,-567000,-3311000,-3617000,-3000,- -,- -,-9494000,-18380000,-22000,-279000,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,481700000,481700000,176600000,176600000,173000000,176600000,308600000,395500000,375465000,176497000,181212000,179290000,180382000,177603000,179831000,185236000,179251000,179392000,- -,189322000,203286000,184276000,183952000,171652000,172002000,164338000,164996000,164573000,165177000,- -
67,Total Stockholders Equity,164500000,145700000,59400000,59500000,56200000,66600000,74000000,76800000,91080000,84659000,86619000,86821000,88196000,94167000,133946000,152400000,149236000,143476000,128550000,118189000,121687000,123621000,136443000,136599000,130951000,127310000,123986000,121099000,98914000,158137000
68,Total Liabilities And Stockholders Equity,710000000,395800000,214400000,194800000,130200000,112800000,111800000,115700000,111893000,129478000,139440000,142430000,152861000,173886000,203950000,228357000,227260000,254153000,370936000,322112000,291920000,301248000,364044000,432552000,452100000,405913000,473828000,548385000,533166000,490750000
69,Minority Interest,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25286000,74437000,84250000,99493000,87208000,45695000,38643000,75000,75000,80000,22665000,12983000,10850000,50476000
70,Total Liabilities & Equity,712200000,395800000,214400000,194800000,130200000,112800000,111800000,115700000,111893000,129478000,139440000,142430000,152861000,173886000,203950000,228357000,252546000,328590000,455186000,421605000,379128000,346943000,402687000,432627000,452175000,405993000,496493000,561368000,544016000,541226000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885508/000088550804000001/0000885508-04-000001-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550805000010/0000885508-05-000010-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125906000014/0000831259-06-000014-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125907000047/0000831259-07-000047-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125908000030/0000831259-08-000030-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125909000057/0000831259-09-000057-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000083125910000017/0000831259-10-000017-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885508/000088550812000011/0000885508-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550813000007/0000885508-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550814000004/0000885508-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550815000007/0000885508-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550816000052/0000885508-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550817000008/0000885508-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550818000011/0000885508-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550819000008/0000885508-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550820000008/0000885508-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550821000016/0000885508-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/885508/000088550822000018/0000885508-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-12100000,-18800000,-86300000,200000,-300000,7000000,-2600000,2900000,14222000,3940000,-521000,20000,672000,8474000,40288000,13355000,-3837000,-5904000,-15336000,-10388000,-1586000,2585000,13403000,12177000,-5999000,3879000,-3982000,-2464000,-22790000,63249000
74,Depreciation and Amortization,54300000,72800000,2300000,2500000,1500000,100000,100000,100000,129000,133000,964000,1432000,1677000,758000,1579000,1272000,1652000,1634000,1886000,8426000,9165000,9053000,8977000,8743000,8082000,7853000,8571000,11006000,13670000,9964000
75,Deferred Income Tax,-8700000,-16900000,-30200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6431000,1314000,-774000,-966000,7973000,18000,-142000,30000,-11358000,2118000,-1894000,5905000,-373000,-318000,12267000,-5965000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1021000,735000,585000,422000,269000,338000,480000,528000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-18700000,-23900000,16700000,-5400000,3800000,4200000,-900000,2204000,-5263000,-4966000,4038000,-3666000,-2745000,2342000,37758000,-26888000,-14071000,-8190000,4965000,61860000,-25641000,-793000,-5702000,-3583000,-13874000,1899000,158873000,-129518000,-116921000,64443000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-461000,- -,4743000,- -,-2608000,1863000,4389000,7240000,-3157000,10126000,-966000,-1836000,-2446000,- -
81,Other Working Capital,8700000,-15200000,1500000,-3900000,-100000,4100000,3200000,5404000,141000,-4825000,-787000,-4453000,-7198000,-4856000,32902000,6014000,-8057000,-16247000,-11282000,50578000,24937000,24144000,18442000,14859000,985000,2884000,161757000,32239000,-84682000,-20239000
82,Other Non-Cash Items,14900000,87700000,109500000,50400000,63700000,18200000,14500000,15396000,8833000,4138000,2774000,10266000,10395000,26207000,-28876000,36611000,-782000,-28925000,-59314000,-24436000,39227000,44728000,-27362000,-21773000,9965000,-9283000,-194978000,118934000,109716000,-185301000
83,Cash Provided by Operating Activities,29700000,100900000,12000000,47700000,68700000,29500000,11100000,20600000,17921000,3245000,7255000,8052000,9999000,37781000,44318000,25664000,-16791000,-41616000,-59241000,35902000,21292000,55941000,-21562000,-1790000,-3720000,10253000,-31889000,-2360000,-4058000,-53610000
84,CAPEX,-15400000,-6000000,-54800000,- -,-5900000,-9500000,-6300000,-8600000,-5447000,-23097000,-9905000,-8995000,-9341000,-39733000,-36278000,-36424000,-15545000,-39267000,-6153000,-17658000,-4995000,-2386000,-6804000,-55178000,-28215000,-36275000,-64044000,-64348000,-7828000,-19562000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3858000,- -,- -,- -,- -,- -,2374000,- -,- -,- -,-185000,-1100000,4069000,-678000,-32000,- -,26000,-10354000,6000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16064000,-1462000,-15000,-500000,-185000,-1100000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-19800000,205400000,83800000,-35200000,- -,- -,-2500000,-300000,- -,-1171000,5447000,191000,-12347000,119000,-5656000,13487000,36000,53000,-69740000,- -,887000,-1286000,-6804000,-11912000,-28215000,72777000,-61932000,-51730000,-6191000,188940000
89,Cash Used for Investing Activites,-35200000,199400000,29000000,-35200000,-5900000,-9500000,-8800000,-8900000,-5447000,-24268000,-8316000,-8804000,-21688000,-39614000,-41934000,-22937000,-29199000,-25285000,-75908000,-18158000,517000,-3486000,-2735000,-12590000,-28247000,70581000,-64018000,-63882000,-7822000,188940000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3087000,-11859000,-13193000,-84440000,-57029000,-113418000,-25443000,-75359000,-182693000,-132742000,-16674000,-102868000,-37186000,-1501000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,10000000,- -,18000,35000,26000,64000,795000,639000,- -,- -,- -,- -,- -,- -,4817000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-242000,-7633000,- -,-248000,-3342000,-3003000,-1453000,-2529000,-525000,- -,-307000,- -,-957000,-679000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8133000,-32000,-31000,-10000,- -
94,Other Financing Activites,8200000,-300500000,-42300000,-11300000,-63000000,-21200000,-7900000,-12900000,-8460000,16939000,6324000,2740000,8108000,6063000,673000,37975000,27830000,77586000,144674000,63358000,35102000,70443000,58757000,77130000,211221000,61055000,112142000,168814000,44668000,-97873000
95,Cash Used/Provided by Financing Activities,8200000,-300500000,-42300000,-11300000,-63000000,-21200000,2100000,-12900000,-8442000,16732000,-1283000,2804000,8655000,3360000,-2330000,36522000,22214000,65202000,131481000,-21389000,-17110000,-43932000,32635000,1771000,28528000,-79820000,95436000,65915000,7472000,-99374000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8200000,-300500000,-42300000,-11300000,-63000000,-21200000,2100000,-1200000,4032000,-4291000,-2344000,2052000,-3034000,1527000,54000,39249000,-23776000,-1699000,-3668000,-3645000,4699000,8523000,8338000,-12609000,-3439000,1014000,-471000,396000,-4408000,35956000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,4000000,7996000,3705000,1361000,3413000,379000,1906000,1955000,40985000,17097000,15398000,11730000,8085000,12784000,21307000,29645000,17036000,13597000,14611000,38919000,14609000,34183000,70139000
99,Cash at the Beginning of Period,- -,2700000,2500000,1200000,2300000,2100000,900000,5200000,3964000,7996000,3705000,1361000,3413000,379000,1901000,1736000,40873000,17097000,15398000,11730000,8085000,12784000,21307000,29645000,17036000,13597000,39390000,14213000,38591000,34183000
