,https://roic.ai/company/ATRC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,36756141,38855,84375,313717,106470,3416360,3282883,2509599,1319000,8218000,149000,54819000,55265000,50535000,31591000,200987000,199573000,1220000
58,Total Non-Current Liabilities,- -,- -,- -,36756141,1084005,776919,596192,6143075,6086026,3944507,7435374,7726000,12630000,223000,54819000,79151000,74635000,67162000,260621000,253008000,75111000
59,Other Liabilities,320000,566000,33696000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,38855,- -,- -,- -,- -,- -,- -,- -,- -,3981000,14160000,13319000,12761000,12172000,14570000,12149000,15906000
61,Total Liabilities,320000,566000,33696000,40061914,6856963,8433803,9834994,14249675,17892576,16979784,18244186,19931000,39343000,25866000,86407000,107979000,106538000,107378000,310537000,302145000,131556000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1880,12086,12189,14132,14275,15353,15664,16369,17000,23000,28000,32000,33000,35000,39000,40000,45000,46000
64,Retained Earnings,-3474000,-9047000,-20135000,-29633009,-42337389,-56054664,-67307730,-77474982,-93969970,-97761593,-103217096,-110751000,-122213000,-138424000,-165636000,-198974000,-225866000,-247003000,-282197000,-330352000,-280153000
65,Other Comprehensive Income/Loss,- -,- -,- -,-981612,-598765,90673,5286,-56789,144290,79625,-37517,77000,-139000,-348000,-611000,-468000,34000,-199000,-158000,312000,-948000
66,Other Total Stockholders Equity,5205000,26067000,1198000,3281447,86107520,86646064,103524814,106636653,110900087,114402234,118852948,123157000,194933000,271282000,352900000,367851000,386963000,496544000,529658000,742389000,- -
67,Total Stockholders Equity,1731000,17020000,-18937000,-27331294,43183452,30694262,36236502,29119157,17089760,16735930,15614704,12500000,72604000,132538000,186685000,168442000,161166000,249381000,247343000,412394000,483756000
68,Total Liabilities And Stockholders Equity,2051000,17586000,14759000,12730620,50040415,39128065,46071496,43368832,34982336,33715714,33858890,32431000,111947000,158404000,273092000,276421000,267704000,356759000,557880000,714539000,615312000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2051000,17586000,14759000,12730620,50040415,39128065,46071496,43368832,34982336,33715714,33858890,32431000,111947000,158404000,273092000,276421000,267704000,356759000,557880000,714539000,615312000
